date,fywiki (100+),fywiki (5+),fywiki (all)
2013/04/07,4,13,72
2013/04/08,4,13,71
2013/04/09,4,13,71
2013/04/10,4,13,71
2013/04/11,3,14,70
2013/04/12,3,17,71
2013/04/13,3,17,67
2013/04/14,3,15,68
2013/04/15,4,16,67
2013/04/16,4,16,67
2013/04/17,4,16,68
2013/04/18,4,17,68
2013/04/19,4,16,69
2013/04/20,4,16,65
2013/04/21,4,15,64
2013/04/22,4,15,64
2013/04/23,4,14,63
2013/04/24,4,14,62
2013/04/25,4,14,59
2013/04/26,3,14,59
2013/04/27,3,15,58
2013/04/28,3,15,56
2013/04/29,4,15,56
2013/04/30,4,14,57
2013/05/01,4,16,57
2013/05/02,4,17,54
2013/05/03,4,18,52
2013/05/04,4,18,55
2013/05/05,4,19,55
2013/05/06,4,18,54
2013/05/07,3,18,57
2013/05/08,3,19,58
2013/05/09,3,19,56
2013/05/10,3,19,56
2013/05/11,3,20,55
2013/05/12,3,19,56
2013/05/13,3,19,59
2013/05/14,3,17,59
2013/05/15,3,17,60
2013/05/16,3,18,58
2013/05/17,3,18,57
2013/05/18,4,17,56
2013/05/19,4,16,55
2013/05/20,4,18,55
2013/05/21,4,18,56
2013/05/22,4,18,58
2013/05/23,4,18,59
2013/05/24,4,19,59
2013/05/25,4,19,59
2013/05/26,4,19,58
2013/05/27,4,17,57
2013/05/28,4,18,57
2013/05/29,5,18,53
2013/05/30,5,17,54
2013/05/31,5,16,56
2013/06/01,5,16,57
2013/06/02,5,13,57
2013/06/03,5,13,55
2013/06/04,5,11,54
2013/06/05,5,14,55
2013/06/06,5,13,54
2013/06/07,5,11,51
2013/06/08,5,11,51
2013/06/09,5,11,51
2013/06/10,5,11,55
2013/06/11,5,11,53
2013/06/12,5,11,53
2013/06/13,5,11,53
2013/06/14,4,11,55
2013/06/15,4,11,55
2013/06/16,4,12,57
2013/06/17,3,12,61
2013/06/18,3,13,63
2013/06/19,3,13,63
2013/06/20,3,13,64
2013/06/21,3,13,60
2013/06/22,3,13,58
2013/06/23,3,13,61
2013/06/24,3,13,60
2013/06/25,3,13,60
2013/06/26,3,13,58
2013/06/27,3,13,59
2013/06/28,3,14,60
2013/06/29,3,15,61
2013/06/30,4,15,61
2013/07/01,4,15,63
2013/07/02,4,15,66
2013/07/03,4,15,68
2013/07/04,4,16,69
2013/07/05,4,16,68
2013/07/06,4,16,70
2013/07/07,4,16,69
2013/07/08,3,16,70
2013/07/09,3,16,76
2013/07/10,3,16,76
2013/07/11,3,16,75
2013/07/12,3,16,75
2013/07/13,3,17,72
2013/07/14,3,17,70
2013/07/15,3,17,69
2013/07/16,3,17,69
2013/07/17,3,17,67
2013/07/18,3,14,65
2013/07/19,3,14,67
2013/07/20,3,14,66
2013/07/21,3,16,66
2013/07/22,3,15,67
2013/07/23,3,15,64
2013/07/24,3,14,66
2013/07/25,3,15,67
2013/07/26,3,15,68
2013/07/27,3,15,68
2013/07/28,3,15,68
2013/07/29,3,14,66
2013/07/30,3,14,66
2013/07/31,3,14,65
2013/08/01,3,14,64
2013/08/02,3,14,62
2013/08/03,3,13,61
2013/08/04,3,14,59
2013/08/05,3,14,58
2013/08/06,3,14,56
2013/08/07,3,16,55
2013/08/08,3,17,55
2013/08/09,3,17,55
2013/08/10,4,16,53
2013/08/11,4,16,55
2013/08/12,4,16,56
2013/08/13,4,18,60
2013/08/14,4,18,59
2013/08/15,4,17,58
2013/08/16,3,17,60
2013/08/17,3,16,57
2013/08/18,3,16,55
2013/08/19,3,15,54
2013/08/20,3,14,53
2013/08/21,3,14,51
2013/08/22,3,13,50
2013/08/23,3,13,47
2013/08/24,3,13,44
2013/08/25,3,13,43
2013/08/26,3,13,42
2013/08/27,3,14,40
2013/08/28,3,14,41
2013/08/29,3,14,42
2013/08/30,3,14,44
2013/08/31,3,14,42
2013/09/01,3,14,44
2013/09/02,4,14,44
2013/09/03,4,14,43
2013/09/04,4,14,42
2013/09/05,4,14,43
2013/09/06,4,14,44
2013/09/07,4,13,43
2013/09/08,4,13,43
2013/09/09,3,12,43
2013/09/10,3,12,41
2013/09/11,3,13,40
2013/09/12,3,13,37
2013/09/13,3,12,37
2013/09/14,3,13,36
2013/09/15,3,13,34
2013/09/16,3,13,34
2013/09/17,3,12,35
2013/09/18,3,12,36
2013/09/19,3,12,38
2013/09/20,3,12,41
2013/09/21,4,12,43
2013/09/22,4,13,44
2013/09/23,3,13,47
2013/09/24,4,14,47
2013/09/25,3,13,48
2013/09/26,3,13,47
2013/09/27,3,12,48
2013/09/28,3,11,49
2013/09/29,3,10,48
2013/09/30,3,10,48
2013/10/01,3,11,47
2013/10/02,3,11,48
2013/10/03,3,11,49
2013/10/04,3,12,50
2013/10/05,2,13,49
2013/10/06,2,12,48
2013/10/07,2,12,48
2013/10/08,2,13,49
2013/10/09,2,13,49
2013/10/10,2,13,49
2013/10/11,2,12,52
2013/10/12,2,14,52
2013/10/13,2,14,53
2013/10/14,2,13,54
2013/10/15,2,12,55
2013/10/16,2,12,55
2013/10/17,2,13,55
2013/10/18,2,13,53
2013/10/19,2,14,53
2013/10/20,2,14,52
2013/10/21,2,14,51
2013/10/22,3,14,51
2013/10/23,3,14,50
2013/10/24,3,14,49
2013/10/25,3,14,51
2013/10/26,3,14,56
2013/10/27,3,14,58
2013/10/28,3,14,58
2013/10/29,3,14,59
2013/10/30,3,14,59
2013/10/31,3,13,59
2013/11/01,3,14,63
2013/11/02,3,13,63
2013/11/03,3,13,62
2013/11/04,3,13,64
2013/11/05,3,14,65
2013/11/06,3,14,65
2013/11/07,3,14,68
2013/11/08,3,14,68
2013/11/09,3,15,68
2013/11/10,3,15,65
2013/11/11,3,14,66
2013/11/12,3,15,66
2013/11/13,3,15,65
2013/11/14,3,14,64
2013/11/15,3,14,63
2013/11/16,3,14,63
2013/11/17,3,14,62
2013/11/18,4,15,62
2013/11/19,4,15,62
2013/11/20,4,15,61
2013/11/21,4,15,61
2013/11/22,4,15,61
2013/11/23,5,15,61
2013/11/24,5,15,57
2013/11/25,5,13,54
2013/11/26,5,14,51
2013/11/27,5,13,51
2013/11/28,5,12,51
2013/11/29,5,12,51
2013/11/30,5,12,51
2013/12/01,5,11,49
2013/12/02,5,13,50
2013/12/03,5,13,53
2013/12/04,5,14,51
2013/12/05,5,14,54
2013/12/06,5,14,57
2013/12/07,5,14,51
2013/12/08,5,14,49
2013/12/09,5,14,51
2013/12/10,5,14,52
2013/12/11,5,14,50
2013/12/12,5,14,51
2013/12/13,5,15,52
2013/12/14,5,14,50
2013/12/15,5,14,50
2013/12/16,5,15,51
2013/12/17,5,15,53
2013/12/18,5,15,53
2013/12/19,4,15,54
2013/12/20,4,15,54
2013/12/21,3,15,53
2013/12/22,2,15,52
2013/12/23,2,15,52
2013/12/24,2,15,52
2013/12/25,2,16,54
2013/12/26,2,15,53
2013/12/27,2,15,53
2013/12/28,2,14,54
2013/12/29,2,14,56
2013/12/30,2,16,57
2013/12/31,2,16,56
2014/01/01,2,16,56
2014/01/02,2,14,54
2014/01/03,2,13,55
2014/01/04,2,13,53
2014/01/05,2,15,55
2014/01/06,2,15,55
2014/01/07,2,15,57
2014/01/08,2,15,56
2014/01/09,2,15,58
2014/01/10,2,16,58
2014/01/11,2,17,62
2014/01/12,2,17,60
2014/01/13,2,17,61
2014/01/14,2,17,63
2014/01/15,2,17,63
2014/01/16,2,17,62
2014/01/17,2,17,63
2014/01/18,2,16,61
2014/01/19,2,16,61
2014/01/20,2,16,62
2014/01/21,2,16,62
2014/01/22,2,16,61
2014/01/23,2,16,61
2014/01/24,2,16,63
2014/01/25,2,16,65
2014/01/26,2,16,65
2014/01/27,2,17,63
2014/01/28,2,17,64
2014/01/29,2,17,61
2014/01/30,2,17,61
2014/01/31,2,17,61
2014/02/01,2,16,61
2014/02/02,2,16,58
2014/02/03,2,16,59
2014/02/04,2,16,56
2014/02/05,3,16,57
2014/02/06,3,16,57
2014/02/07,3,16,57
2014/02/08,3,16,54
2014/02/09,3,15,54
2014/02/10,4,14,50
2014/02/11,4,14,50
2014/02/12,4,14,49
2014/02/13,4,13,47
2014/02/14,4,13,46
2014/02/15,4,13,45
2014/02/16,4,14,44
2014/02/17,4,14,42
2014/02/18,4,15,42
2014/02/19,4,15,42
2014/02/20,4,15,48
2014/02/21,4,15,49
2014/02/22,4,15,50
2014/02/23,4,15,52
2014/02/24,4,15,51
2014/02/25,4,15,53
2014/02/26,4,15,52
2014/02/27,4,14,53
2014/02/28,4,14,54
2014/03/01,4,13,54
2014/03/02,4,13,54
2014/03/03,4,14,55
2014/03/04,4,14,55
2014/03/05,4,14,58
2014/03/06,3,14,58
2014/03/07,3,14,56
2014/03/08,3,12,57
2014/03/09,3,13,58
2014/03/10,3,12,56
2014/03/11,2,12,56
2014/03/12,2,11,56
2014/03/13,2,11,56
2014/03/14,2,11,57
2014/03/15,2,12,60
2014/03/16,2,12,61
2014/03/17,2,12,64
2014/03/18,2,12,66
2014/03/19,2,11,67
2014/03/20,2,11,71
2014/03/21,2,11,73
2014/03/22,2,12,69
2014/03/23,2,12,69
2014/03/24,2,12,71
2014/03/25,2,11,69
2014/03/26,2,11,68
2014/03/27,2,10,69
2014/03/28,2,10,69
2014/03/29,2,10,67
2014/03/30,2,11,66
2014/03/31,2,11,66
2014/04/01,2,13,67
2014/04/02,2,12,66
2014/04/03,2,12,70
2014/04/04,2,12,69
2014/04/05,2,12,68
2014/04/06,2,11,71
2014/04/07,2,11,69
2014/04/08,2,10,71
2014/04/09,2,11,72
2014/04/10,2,11,70
2014/04/11,2,11,69
2014/04/12,2,11,69
2014/04/13,1,11,69
2014/04/14,1,12,67
2014/04/15,1,12,68
2014/04/16,1,12,68
2014/04/17,1,12,66
2014/04/18,1,12,66
2014/04/19,1,13,64
2014/04/20,1,13,61
2014/04/21,1,12,60
2014/04/22,1,13,62
2014/04/23,1,13,58
2014/04/24,1,13,56
2014/04/25,1,13,55
2014/04/26,1,13,55
2014/04/27,1,13,55
2014/04/28,1,13,56
2014/04/29,1,13,56
2014/04/30,1,12,55
2014/05/01,1,11,54
2014/05/02,1,11,53
2014/05/03,1,11,51
2014/05/04,1,11,51
2014/05/05,1,10,52
2014/05/06,1,12,54
2014/05/07,2,12,54
2014/05/08,2,12,52
2014/05/09,2,12,52
2014/05/10,2,12,53
2014/05/11,2,13,53
2014/05/12,2,13,52
2014/05/13,2,13,53
2014/05/14,2,13,53
2014/05/15,2,12,52
2014/05/16,2,12,52
2014/05/17,2,12,53
2014/05/18,2,12,50
2014/05/19,2,12,49
2014/05/20,2,13,48
2014/05/21,2,14,55
2014/05/22,2,13,51
2014/05/23,2,12,52
2014/05/24,2,12,53
2014/05/25,2,13,55
2014/05/26,2,13,53
2014/05/27,2,12,53
2014/05/28,2,11,51
2014/05/29,2,11,50
2014/05/30,2,12,51
2014/05/31,2,11,52
2014/06/01,2,11,54
2014/06/02,2,12,54
2014/06/03,3,12,54
2014/06/04,3,12,52
2014/06/05,3,13,50
2014/06/06,3,13,51
2014/06/07,3,12,49
2014/06/08,3,12,48
2014/06/09,3,13,47
2014/06/10,3,13,47
2014/06/11,3,13,48
2014/06/12,4,13,47
2014/06/13,4,13,47
2014/06/14,4,13,46
2014/06/15,4,13,46
2014/06/16,3,13,46
2014/06/17,3,13,47
2014/06/18,3,13,47
2014/06/19,3,12,46
2014/06/20,3,11,41
2014/06/21,3,12,42
2014/06/22,3,12,43
2014/06/23,3,13,44
2014/06/24,3,13,45
2014/06/25,3,12,44
2014/06/26,3,11,43
2014/06/27,3,10,44
2014/06/28,3,10,46
2014/06/29,3,10,45
2014/06/30,2,10,45
2014/07/01,2,10,45
2014/07/02,2,10,47
2014/07/03,2,10,49
2014/07/04,2,10,49
2014/07/05,2,10,47
2014/07/06,2,10,47
2014/07/07,2,10,47
2014/07/08,2,11,48
2014/07/09,2,10,49
2014/07/10,2,10,47
2014/07/11,2,10,47
2014/07/12,2,11,49
2014/07/13,2,11,49
2014/07/14,2,12,47
2014/07/15,2,12,49
2014/07/16,2,12,49
2014/07/17,2,12,47
2014/07/18,2,12,48
2014/07/19,2,12,48
2014/07/20,2,12,50
2014/07/21,2,11,51
2014/07/22,2,11,49
2014/07/23,2,11,49
2014/07/24,2,11,50
2014/07/25,2,11,50
2014/07/26,2,11,51
2014/07/27,2,11,49
2014/07/28,2,10,48
2014/07/29,2,10,51
2014/07/30,2,12,58
2014/07/31,2,12,57
2014/08/01,2,12,55
2014/08/02,2,12,56
2014/08/03,2,11,55
2014/08/04,2,11,54
2014/08/05,2,11,55
2014/08/06,2,11,54
2014/08/07,2,10,54
2014/08/08,2,10,54
2014/08/09,2,10,55
2014/08/10,2,10,54
2014/08/11,2,10,52
2014/08/12,2,10,56
2014/08/13,2,8,53
2014/08/14,2,9,53
2014/08/15,2,9,54
2014/08/16,2,9,54
2014/08/17,2,10,55
2014/08/18,2,10,57
2014/08/19,2,10,57
2014/08/20,2,10,55
2014/08/21,2,10,57
2014/08/22,2,10,58
2014/08/23,2,10,56
2014/08/24,2,10,58
2014/08/25,2,11,60
2014/08/26,2,11,61
2014/08/27,2,11,61
2014/08/28,2,11,61
2014/08/29,2,10,56
2014/08/30,2,11,58
2014/08/31,2,11,58
2014/09/01,2,11,57
2014/09/02,2,11,60
2014/09/03,2,11,62
2014/09/04,2,10,59
2014/09/05,2,9,58
2014/09/06,2,9,59
2014/09/07,2,9,59
2014/09/08,2,9,59
2014/09/09,2,10,62
2014/09/10,2,10,62
2014/09/11,2,10,57
2014/09/12,2,11,58
2014/09/13,2,11,57
2014/09/14,2,11,56
2014/09/15,2,11,57
2014/09/16,2,12,58
2014/09/17,2,12,60
2014/09/18,2,12,59
2014/09/19,2,12,59
2014/09/20,2,12,57
2014/09/21,2,13,55
2014/09/22,2,13,58
2014/09/23,2,12,57
2014/09/24,2,12,57
2014/09/25,2,12,56
2014/09/26,2,13,57
2014/09/27,2,14,58
2014/09/28,2,13,60
2014/09/29,2,13,60
2014/09/30,2,13,61
2014/10/01,2,13,60
2014/10/02,2,14,60
2014/10/03,2,14,60
2014/10/04,2,14,60
2014/10/05,2,13,59
2014/10/06,3,13,60
2014/10/07,3,14,62
2014/10/08,3,14,61
2014/10/09,3,14,61
2014/10/10,3,14,63
2014/10/11,3,14,63
2014/10/12,3,13,63
2014/10/13,3,13,65
2014/10/14,3,13,64
2014/10/15,3,14,64
2014/10/16,3,12,63
2014/10/17,3,12,63
2014/10/18,3,10,63
2014/10/19,3,10,61
2014/10/20,3,10,61
2014/10/21,3,10,61
2014/10/22,3,11,60
2014/10/23,3,11,57
2014/10/24,3,11,58
2014/10/25,2,11,58
2014/10/26,2,10,58
2014/10/27,2,10,57
2014/10/28,2,10,54
2014/10/29,2,11,55
2014/10/30,2,11,56
2014/10/31,2,12,59
2014/11/01,3,11,59
2014/11/02,3,11,62
2014/11/03,3,11,62
2014/11/04,3,11,62
2014/11/05,3,11,65
2014/11/06,4,11,64
2014/11/07,4,11,63
2014/11/08,4,9,64
2014/11/09,4,9,59
2014/11/10,4,9,60
2014/11/11,4,9,59
2014/11/12,4,9,57
2014/11/13,4,9,58
2014/11/14,4,8,59
2014/11/15,4,8,57
2014/11/16,4,8,56
2014/11/17,4,8,54
2014/11/18,4,8,55
2014/11/19,4,8,55
2014/11/20,4,8,56
2014/11/21,4,7,57
2014/11/22,4,8,57
2014/11/23,4,9,58
2014/11/24,4,10,57
2014/11/25,4,11,55
2014/11/26,4,12,56
2014/11/27,4,12,57
2014/11/28,4,12,56
2014/11/29,4,11,55
2014/11/30,4,11,57
2014/12/01,3,10,59
2014/12/02,3,10,57
2014/12/03,3,10,57
2014/12/04,3,11,55
2014/12/05,3,11,53
2014/12/06,3,11,55
2014/12/07,3,12,55
2014/12/08,3,13,55
2014/12/09,3,13,55
2014/12/10,3,13,57
2014/12/11,3,13,58
2014/12/12,3,13,59
2014/12/13,3,13,62
2014/12/14,3,13,62
2014/12/15,3,14,60
2014/12/16,3,15,61
2014/12/17,3,15,62
2014/12/18,3,16,62
2014/12/19,3,16,61
2014/12/20,3,17,60
2014/12/21,3,16,60
2014/12/22,3,16,60
2014/12/23,3,16,60
2014/12/24,3,14,59
2014/12/25,3,14,57
2014/12/26,3,14,55
2014/12/27,3,14,56
2014/12/28,3,16,58
2014/12/29,3,16,63
2014/12/30,3,15,60
2014/12/31,3,16,57
2015/01/01,3,16,57
2015/01/02,3,16,57
2015/01/03,3,15,57
2015/01/04,3,16,56
2015/01/05,3,16,55
2015/01/06,3,16,59
2015/01/07,3,15,57
2015/01/08,3,15,60
2015/01/09,3,15,61
2015/01/10,3,14,59
2015/01/11,3,15,60
2015/01/12,3,14,60
2015/01/13,3,14,58
2015/01/14,3,13,57
2015/01/15,3,13,56
2015/01/16,3,13,57
2015/01/17,3,12,55
2015/01/18,3,12,55
2015/01/19,3,11,53
2015/01/20,3,11,51
2015/01/21,3,11,49
2015/01/22,3,11,51
2015/01/23,3,11,54
2015/01/24,3,11,56
2015/01/25,3,11,57
2015/01/26,3,10,55
2015/01/27,3,9,58
2015/01/28,3,9,53
2015/01/29,3,9,57
2015/01/30,3,8,59
2015/01/31,3,11,61
2015/02/01,3,11,61
2015/02/02,3,10,64
2015/02/03,3,10,66
2015/02/04,3,10,65
2015/02/05,3,10,64
2015/02/06,3,10,65
