date,ruewiki (100+),ruewiki (5+),ruewiki (all)
2013/05/08,,3,17
2013/05/09,,3,16
2013/05/10,,3,17
2013/05/11,,3,17
2013/05/12,,3,17
2013/05/13,,3,17
2013/05/14,,2,15
2013/05/15,,2,14
2013/05/16,,2,13
2013/05/17,,2,12
2013/05/18,,1,11
2013/05/19,,2,11
2013/05/20,,2,10
2013/05/21,,2,10
2013/05/22,,2,10
2013/05/23,,2,11
2013/05/24,,3,13
2013/05/25,,3,12
2013/05/26,,3,13
2013/05/27,,3,14
2013/05/28,,4,14
2013/05/29,,4,14
2013/05/30,,4,14
2013/05/31,,4,13
2013/06/01,,5,13
2013/06/02,,5,13
2013/06/03,,5,13
2013/06/04,,5,14
2013/06/05,,5,14
2013/06/06,,5,13
2013/06/07,,5,14
2013/06/08,,5,14
2013/06/09,,5,13
2013/06/10,,6,13
2013/06/11,,7,13
2013/06/12,,7,13
2013/06/13,,7,13
2013/06/14,,7,14
2013/06/15,,7,14
2013/06/16,,7,15
2013/06/17,,7,15
2013/06/18,,7,16
2013/06/19,,7,16
2013/06/20,,7,16
2013/06/21,,7,17
2013/06/22,,7,18
2013/06/23,,6,19
2013/06/24,,7,20
2013/06/25,,6,20
2013/06/26,,6,19
2013/06/27,,6,20
2013/06/28,,6,21
2013/06/29,,6,21
2013/06/30,,6,21
2013/07/01,,6,22
2013/07/02,,6,23
2013/07/03,,4,24
2013/07/04,,3,24
2013/07/05,,3,24
2013/07/06,,4,24
2013/07/07,,4,24
2013/07/08,,4,24
2013/07/09,,3,24
2013/07/10,,2,23
2013/07/11,,2,23
2013/07/12,,2,23
2013/07/13,,2,23
2013/07/14,,2,22
2013/07/15,,2,22
2013/07/16,,2,21
2013/07/17,,2,21
2013/07/18,,2,20
2013/07/19,,2,20
2013/07/20,,2,20
2013/07/21,,2,20
2013/07/22,,2,20
2013/07/23,,2,17
2013/07/24,,1,17
2013/07/25,,1,17
2013/07/26,,1,17
2013/07/27,,1,16
2013/07/28,,1,14
2013/07/29,,1,14
2013/07/30,,1,13
2013/07/31,,1,12
2013/08/01,,1,11
2013/08/02,,1,9
2013/08/03,,1,8
2013/08/04,,1,8
2013/08/05,,2,9
2013/08/06,,2,9
2013/08/07,,3,9
2013/08/08,,3,8
2013/08/09,,3,8
2013/08/10,,4,10
2013/08/11,,4,10
2013/08/12,,4,10
2013/08/13,,4,10
2013/08/14,,3,10
2013/08/15,,3,10
2013/08/16,,3,11
2013/08/17,,4,12
2013/08/18,,5,14
2013/08/19,,5,14
2013/08/20,,7,15
2013/08/21,,7,15
2013/08/22,,7,15
2013/08/23,,7,13
2013/08/24,,7,13
2013/08/25,,7,12
2013/08/26,,7,12
2013/08/27,,7,11
2013/08/28,,7,11
2013/08/29,,8,13
2013/08/30,,7,12
2013/08/31,,7,12
2013/09/01,,7,12
2013/09/02,,8,12
2013/09/03,,8,12
2013/09/04,,7,11
2013/09/05,,8,12
2013/09/06,,8,12
2013/09/07,,8,12
2013/09/08,,7,11
2013/09/09,,6,9
2013/09/10,,6,9
2013/09/11,,6,10
2013/09/12,,6,11
2013/09/13,,6,11
2013/09/14,,6,11
2013/09/15,,6,10
2013/09/16,,6,10
2013/09/17,,4,8
2013/09/18,,4,8
2013/09/19,,3,7
2013/09/20,,3,7
2013/09/21,,3,7
2013/09/22,,3,7
2013/09/23,,3,7
2013/09/24,,3,7
2013/09/25,,3,7
2013/09/26,,3,7
2013/09/27,,3,7
2013/09/28,,3,6
2013/09/29,,3,6
2013/09/30,,3,6
2013/10/01,,3,6
2013/10/02,,3,6
2013/10/03,,3,7
2013/10/04,,3,7
2013/10/05,,2,6
2013/10/06,,1,6
2013/10/07,,,6
2013/10/08,,,6
2013/10/09,,,6
2013/10/10,,,6
2013/10/11,,1,6
2013/10/12,,1,5
2013/10/13,,1,5
2013/10/14,,1,5
2013/10/15,,1,5
2013/10/16,,3,9
2013/10/17,,3,10
2013/10/18,,3,10
2013/10/19,,3,12
2013/10/20,,3,12
2013/10/21,,4,12
2013/10/22,,4,12
2013/10/23,,5,14
2013/10/24,,5,14
2013/10/25,,5,14
2013/10/26,,5,14
2013/10/27,,5,14
2013/10/28,,5,15
2013/10/29,,5,14
2013/10/30,,5,14
2013/10/31,,5,14
2013/11/01,,5,14
2013/11/02,,5,13
2013/11/03,,5,13
2013/11/04,,5,13
2013/11/05,,5,13
2013/11/06,,5,12
2013/11/07,,5,12
2013/11/08,,5,13
2013/11/09,,5,13
2013/11/10,,4,12
2013/11/11,,4,13
2013/11/12,,4,13
2013/11/13,,4,13
2013/11/14,,4,16
2013/11/15,,2,15
2013/11/16,,2,13
2013/11/17,,2,14
2013/11/18,,1,12
2013/11/19,,1,12
2013/11/20,,1,12
2013/11/21,,1,11
2013/11/22,,,11
2013/11/23,,,10
2013/11/24,,,11
2013/11/25,,,12
2013/11/26,,,13
2013/11/27,,,13
2013/11/28,,,13
2013/11/29,,,13
2013/11/30,,,13
2013/12/01,,,12
2013/12/02,,,13
2013/12/03,,,13
2013/12/04,,1,13
2013/12/05,,1,14
2013/12/06,,1,15
2013/12/07,,2,15
2013/12/08,,2,14
2013/12/09,,2,15
2013/12/10,,2,16
2013/12/11,,2,16
2013/12/12,,2,16
2013/12/13,,2,16
2013/12/14,,1,14
2013/12/15,,1,14
2013/12/16,,2,14
2013/12/17,,2,15
2013/12/18,,2,15
2013/12/19,,2,15
2013/12/20,,2,15
2013/12/21,,2,16
2013/12/22,,2,15
2013/12/23,,2,15
2013/12/24,,2,14
2013/12/25,,2,14
2013/12/26,,2,13
2013/12/27,,2,13
2013/12/28,,2,13
2013/12/29,,2,14
2013/12/30,,2,14
2013/12/31,,2,15
2014/01/01,,2,14
2014/01/02,,2,15
2014/01/03,,2,16
2014/01/04,,2,15
2014/01/05,,2,14
2014/01/06,,2,13
2014/01/07,,2,13
2014/01/08,,2,12
2014/01/09,,1,12
2014/01/10,,,12
2014/01/11,,,12
2014/01/12,,,11
2014/01/13,,,10
2014/01/14,,1,10
2014/01/15,,1,10
2014/01/16,,1,11
2014/01/17,,2,12
2014/01/18,,2,12
2014/01/19,,2,12
2014/01/20,,1,11
2014/01/21,,1,11
2014/01/22,,1,11
2014/01/23,,1,11
2014/01/24,,1,10
2014/01/25,,1,11
2014/01/26,,1,11
2014/01/27,,1,11
2014/01/28,,1,11
2014/01/29,,1,11
2014/01/30,,1,10
2014/01/31,,2,11
2014/02/01,,2,10
2014/02/02,,2,9
2014/02/03,,2,9
2014/02/04,,2,9
2014/02/05,,2,9
2014/02/06,,2,10
2014/02/07,,2,11
2014/02/08,,2,11
2014/02/09,,2,11
2014/02/10,,2,13
2014/02/11,,2,13
2014/02/12,,2,14
2014/02/13,,2,15
2014/02/14,,2,14
2014/02/15,,2,13
2014/02/16,,1,12
2014/02/17,,1,12
2014/02/18,,1,12
2014/02/19,,1,13
2014/02/20,,1,13
2014/02/21,,1,13
2014/02/22,,1,13
2014/02/23,,1,13
2014/02/24,,2,12
2014/02/25,,2,13
2014/02/26,,2,13
2014/02/27,,3,11
2014/02/28,,3,11
2014/03/01,,3,11
2014/03/02,,3,10
2014/03/03,,3,10
2014/03/04,,2,10
2014/03/05,,2,11
2014/03/06,,2,11
2014/03/07,,2,12
2014/03/08,,2,11
2014/03/09,,3,10
2014/03/10,,3,10
2014/03/11,,3,10
2014/03/12,,3,9
2014/03/13,,3,9
2014/03/14,,3,9
2014/03/15,,3,8
2014/03/16,,3,8
2014/03/17,,3,7
2014/03/18,,3,7
2014/03/19,,3,9
2014/03/20,,3,10
2014/03/21,,3,10
2014/03/22,,3,11
2014/03/23,,3,12
2014/03/24,,4,12
2014/03/25,,4,12
2014/03/26,,3,17
2014/03/27,,3,18
2014/03/28,,3,18
2014/03/29,,3,19
2014/03/30,,3,19
2014/03/31,,2,19
2014/04/01,,2,21
2014/04/02,,2,22
2014/04/03,,2,24
2014/04/04,,2,24
2014/04/05,,2,25
2014/04/06,,2,25
2014/04/07,,2,26
2014/04/08,,2,26
2014/04/09,,1,25
2014/04/10,,1,28
2014/04/11,,1,28
2014/04/12,,1,28
2014/04/13,,1,28
2014/04/14,,1,28
2014/04/15,,1,28
2014/04/16,,1,28
2014/04/17,,1,28
2014/04/18,,1,26
2014/04/19,,1,26
2014/04/20,,1,25
2014/04/21,,1,25
2014/04/22,,1,24
2014/04/23,,,23
2014/04/24,,,24
2014/04/25,,,21
2014/04/26,,,20
2014/04/27,,,20
2014/04/28,,,19
2014/04/29,,,18
2014/04/30,,,18
2014/05/01,,,17
2014/05/02,,,16
2014/05/03,,,13
2014/05/04,,,12
2014/05/05,,,12
2014/05/06,,,12
2014/05/07,,,11
2014/05/08,,,11
2014/05/09,,,11
2014/05/10,,,9
2014/05/11,,,9
2014/05/12,,,9
2014/05/13,,,9
2014/05/14,,,9
2014/05/15,,,9
2014/05/16,,,9
2014/05/17,,,9
2014/05/18,,,9
2014/05/19,,,9
2014/05/20,,,9
2014/05/21,,,9
2014/05/22,,,9
2014/05/23,,,9
2014/05/24,,,6
2014/05/25,,,6
2014/05/26,,,6
2014/05/27,,,6
2014/05/28,,,5
2014/05/29,,,5
2014/05/30,,,5
2014/05/31,,,6
2014/06/01,,,6
2014/06/02,,,7
2014/06/03,,,6
2014/06/04,,,6
2014/06/05,,,8
2014/06/06,,,8
2014/06/07,,,8
2014/06/08,,,9
2014/06/09,,,9
2014/06/10,,,9
2014/06/11,,,10
2014/06/12,,,11
2014/06/13,,,11
2014/06/14,,,11
2014/06/15,,,11
2014/06/16,,,11
2014/06/17,,,11
2014/06/18,,,11
2014/06/19,,,12
2014/06/20,,1,14
2014/06/21,,1,14
2014/06/22,,1,15
2014/06/23,,1,15
2014/06/24,,1,15
2014/06/25,,1,15
2014/06/26,,1,16
2014/06/27,,1,16
2014/06/28,,1,18
2014/06/29,,1,18
2014/06/30,,1,15
2014/07/01,,1,15
2014/07/02,,1,15
2014/07/03,,1,16
2014/07/04,,1,16
2014/07/05,,1,14
2014/07/06,,1,14
2014/07/07,,1,16
2014/07/08,,1,15
2014/07/09,,1,15
2014/07/10,,1,15
2014/07/11,,1,15
2014/07/12,,1,16
2014/07/13,,1,16
2014/07/14,,2,17
2014/07/15,,2,17
2014/07/16,,2,17
2014/07/17,,2,19
2014/07/18,,2,19
2014/07/19,,2,18
2014/07/20,,2,18
2014/07/21,,1,17
2014/07/22,,1,17
2014/07/23,,1,17
2014/07/24,,1,16
2014/07/25,,1,15
2014/07/26,,1,15
2014/07/27,,1,15
2014/07/28,,1,14
2014/07/29,,1,14
2014/07/30,,1,14
2014/07/31,,1,15
2014/08/01,,1,14
2014/08/02,,2,14
2014/08/03,,2,15
2014/08/04,,2,16
2014/08/05,,2,17
2014/08/06,,2,18
2014/08/07,,2,18
2014/08/08,,2,18
2014/08/09,,3,18
2014/08/10,,3,17
2014/08/11,,3,16
2014/08/12,,3,16
2014/08/13,,2,15
2014/08/14,,2,15
2014/08/15,,2,15
2014/08/16,,2,13
2014/08/17,,2,12
2014/08/18,,2,13
2014/08/19,,2,14
2014/08/20,,2,14
2014/08/21,,3,15
2014/08/22,,3,15
2014/08/23,,3,15
2014/08/24,,3,15
2014/08/25,,3,14
2014/08/26,,3,15
2014/08/27,,3,15
2014/08/28,,3,15
2014/08/29,,3,15
2014/08/30,,3,14
2014/08/31,,3,14
2014/09/01,,2,14
2014/09/02,,2,13
2014/09/03,,2,13
2014/09/04,,2,12
2014/09/05,,2,11
2014/09/06,,2,11
2014/09/07,,3,12
2014/09/08,,2,12
2014/09/09,,2,12
2014/09/10,,2,11
2014/09/11,,2,11
2014/09/12,,2,10
2014/09/13,,2,10
2014/09/14,,2,10
2014/09/15,,2,10
2014/09/16,,2,11
2014/09/17,,2,11
2014/09/18,,2,10
2014/09/19,,2,10
2014/09/20,,2,9
2014/09/21,,3,11
2014/09/22,,3,11
2014/09/23,,3,11
2014/09/24,,3,11
2014/09/25,,2,12
2014/09/26,,2,12
2014/09/27,,2,12
2014/09/28,,2,12
2014/09/29,,2,12
2014/09/30,,1,11
2014/10/01,,1,10
2014/10/02,,1,10
2014/10/03,,1,9
2014/10/04,,1,9
2014/10/05,,1,9
2014/10/06,,1,10
2014/10/07,,1,8
2014/10/08,,1,8
2014/10/09,,1,8
2014/10/10,,1,10
2014/10/11,,2,10
2014/10/12,,2,10
2014/10/13,,2,11
2014/10/14,,2,11
2014/10/15,,2,12
2014/10/16,,3,12
