date,krcwiki (100+),krcwiki (5+),krcwiki (all)
2013/01/13,2,7,20
2013/01/14,2,7,19
2013/01/15,2,8,18
2013/01/16,2,8,17
2013/01/17,2,8,16
2013/01/18,2,8,16
2013/01/19,2,8,17
2013/01/20,2,8,17
2013/01/21,2,8,16
2013/01/22,2,8,17
2013/01/23,2,8,18
2013/01/24,2,8,18
2013/01/25,2,8,18
2013/01/26,2,9,18
2013/01/27,2,9,18
2013/01/28,2,9,17
2013/01/29,2,9,17
2013/01/30,1,9,17
2013/01/31,1,8,17
2013/02/01,1,8,17
2013/02/02,1,8,17
2013/02/03,1,8,18
2013/02/04,1,8,18
2013/02/05,1,8,18
2013/02/06,1,8,18
2013/02/07,1,8,18
2013/02/08,1,8,17
2013/02/09,1,7,16
2013/02/10,1,7,16
2013/02/11,1,7,16
2013/02/12,1,7,16
2013/02/13,1,7,17
2013/02/14,1,8,18
2013/02/15,1,8,18
2013/02/16,1,8,19
2013/02/17,1,8,20
2013/02/18,1,8,19
2013/02/19,1,8,20
2013/02/20,1,8,20
2013/02/21,1,9,19
2013/02/22,1,8,19
2013/02/23,1,8,19
2013/02/24,1,8,19
2013/02/25,1,8,19
2013/02/26,1,8,19
2013/02/27,1,9,19
2013/02/28,1,9,19
2013/03/01,1,9,20
2013/03/02,1,9,20
2013/03/03,1,9,21
2013/03/04,1,9,21
2013/03/05,1,8,21
2013/03/06,1,8,20
2013/03/07,1,8,19
2013/03/08,2,9,19
2013/03/09,2,9,19
2013/03/10,2,8,19
2013/03/11,2,8,19
2013/03/12,3,9,19
2013/03/13,3,9,19
2013/03/14,3,9,19
2013/03/15,3,9,17
2013/03/16,3,9,16
2013/03/17,3,9,15
2013/03/18,3,9,14
2013/03/19,3,9,13
2013/03/20,3,9,13
2013/03/21,3,9,13
2013/03/22,3,9,13
2013/03/23,3,9,13
2013/03/24,3,8,13
2013/03/25,3,8,14
2013/03/26,3,7,14
2013/03/27,3,7,14
2013/03/28,3,7,14
2013/03/29,3,7,14
2013/03/30,3,7,15
2013/03/31,3,7,14
2013/04/01,3,6,15
2013/04/02,3,6,14
2013/04/03,2,5,14
2013/04/04,2,5,10
2013/04/05,2,5,11
2013/04/06,2,5,10
2013/04/07,2,5,10
2013/04/08,1,4,9
2013/04/09,1,4,10
2013/04/10,1,3,10
2013/04/11,1,3,10
2013/04/12,1,3,12
2013/04/13,1,3,12
2013/04/14,1,3,14
2013/04/15,1,4,14
2013/04/16,1,4,14
2013/04/17,1,4,15
2013/04/18,1,4,15
2013/04/19,1,4,15
2013/04/20,1,4,15
2013/04/21,1,4,15
2013/04/22,1,4,15
2013/04/23,2,4,15
2013/04/24,2,5,14
2013/04/25,2,5,14
2013/04/26,2,5,14
2013/04/27,2,5,15
2013/04/28,2,6,15
2013/04/29,2,6,14
2013/04/30,2,6,14
2013/05/01,2,6,13
2013/05/02,2,6,13
2013/05/03,2,5,12
2013/05/04,2,6,12
2013/05/05,2,5,13
2013/05/06,1,5,13
2013/05/07,1,5,13
2013/05/08,1,5,13
2013/05/09,1,5,12
2013/05/10,1,5,12
2013/05/11,1,5,12
2013/05/12,1,5,10
2013/05/13,1,5,10
2013/05/14,1,5,10
2013/05/15,,5,10
2013/05/16,,5,10
2013/05/17,,4,10
2013/05/18,,4,10
2013/05/19,,4,10
2013/05/20,,4,10
2013/05/21,,4,11
2013/05/22,,4,11
2013/05/23,,4,12
2013/05/24,,4,11
2013/05/25,,4,11
2013/05/26,,4,11
2013/05/27,,4,11
2013/05/28,,4,10
2013/05/29,,4,10
2013/05/30,,3,10
2013/05/31,,3,10
2013/06/01,,3,12
2013/06/02,,3,12
2013/06/03,,3,12
2013/06/04,,3,11
2013/06/05,,3,11
2013/06/06,,3,10
2013/06/07,,3,9
2013/06/08,,3,9
2013/06/09,,3,9
2013/06/10,,3,9
2013/06/11,,3,10
2013/06/12,,3,10
2013/06/13,,2,10
2013/06/14,,2,10
2013/06/15,,2,9
2013/06/16,,2,9
2013/06/17,,1,9
2013/06/18,,1,9
2013/06/19,,1,9
2013/06/20,,1,8
2013/06/21,,2,9
2013/06/22,,2,8
2013/06/23,,2,8
2013/06/24,,2,9
2013/06/25,,2,9
2013/06/26,,2,9
2013/06/27,,2,9
2013/06/28,,2,9
2013/06/29,,2,9
2013/06/30,,2,9
2013/07/01,,2,7
2013/07/02,,1,7
2013/07/03,,1,10
2013/07/04,,1,10
2013/07/05,,1,10
2013/07/06,,1,10
2013/07/07,,1,10
2013/07/08,,1,11
2013/07/09,,1,11
2013/07/10,,1,11
2013/07/11,,1,10
2013/07/12,,1,9
2013/07/13,,1,12
2013/07/14,,1,12
2013/07/15,,1,12
2013/07/16,,2,12
2013/07/17,,2,12
2013/07/18,,2,12
2013/07/19,,2,12
2013/07/20,,2,12
2013/07/21,,2,11
2013/07/22,,2,11
2013/07/23,,2,11
2013/07/24,,2,10
2013/07/25,,2,10
2013/07/26,,2,10
2013/07/27,,2,10
2013/07/28,,2,10
2013/07/29,,2,10
2013/07/30,,2,11
2013/07/31,,2,11
2013/08/01,,2,11
2013/08/02,,2,9
2013/08/03,,2,9
2013/08/04,,2,9
2013/08/05,,2,10
2013/08/06,,2,10
2013/08/07,,2,9
2013/08/08,,3,9
2013/08/09,,3,9
2013/08/10,,3,9
2013/08/11,,3,9
2013/08/12,,3,7
2013/08/13,,3,7
2013/08/14,,3,7
2013/08/15,,2,6
2013/08/16,,2,6
2013/08/17,,3,6
2013/08/18,,3,7
2013/08/19,,3,7
2013/08/20,,3,8
2013/08/21,,3,8
2013/08/22,,3,8
2013/08/23,,3,8
2013/08/24,,2,9
2013/08/25,,2,9
2013/08/26,,3,9
2013/08/27,,3,9
2013/08/28,,3,9
2013/08/29,,4,9
2013/08/30,,3,8
2013/08/31,,3,8
2013/09/01,,3,8
2013/09/02,,3,8
2013/09/03,,3,8
2013/09/04,,3,8
2013/09/05,,3,8
2013/09/06,,3,9
2013/09/07,,3,9
2013/09/08,,3,8
2013/09/09,,3,8
2013/09/10,,3,8
2013/09/11,,3,7
2013/09/12,,3,8
2013/09/13,,3,8
2013/09/14,,3,8
2013/09/15,,3,8
2013/09/16,,2,8
2013/09/17,,2,6
2013/09/18,,2,6
2013/09/19,,2,5
2013/09/20,,2,7
2013/09/21,,2,7
2013/09/22,,2,6
2013/09/23,,2,7
2013/09/24,,2,7
2013/09/25,,2,7
2013/09/26,,2,7
2013/09/27,,2,7
2013/09/28,,2,7
2013/09/29,,2,8
2013/09/30,,2,8
2013/10/01,,2,8
2013/10/02,,2,8
2013/10/03,,2,9
2013/10/04,,2,10
2013/10/05,,2,10
2013/10/06,,2,9
2013/10/07,,2,9
2013/10/08,,1,8
2013/10/09,,1,8
2013/10/10,,1,8
2013/10/11,,1,8
2013/10/12,,1,7
2013/10/13,,1,8
2013/10/14,,1,8
2013/10/15,,1,8
2013/10/16,,1,9
2013/10/17,,1,9
2013/10/18,,1,9
2013/10/19,,1,9
2013/10/20,,1,8
2013/10/21,,1,8
2013/10/22,,1,8
2013/10/23,,1,7
2013/10/24,,1,7
2013/10/25,,1,7
2013/10/26,,1,8
2013/10/27,,2,9
2013/10/28,,2,9
2013/10/29,,2,8
2013/10/30,,2,8
2013/10/31,,1,8
2013/11/01,,1,8
2013/11/02,,1,8
2013/11/03,,1,7
2013/11/04,,1,7
2013/11/05,,1,7
2013/11/06,,1,8
2013/11/07,,1,9
2013/11/08,,1,9
2013/11/09,,1,9
2013/11/10,,1,9
2013/11/11,,1,9
2013/11/12,,1,8
2013/11/13,,1,8
2013/11/14,,1,8
2013/11/15,,1,7
2013/11/16,,1,7
2013/11/17,,1,7
2013/11/18,,,7
2013/11/19,,,7
2013/11/20,,,6
2013/11/21,,,6
2013/11/22,,,6
2013/11/23,,,6
2013/11/24,,,6
2013/11/25,,,5
2013/11/26,,1,5
2013/11/27,,1,5
2013/11/28,,1,5
2013/11/29,,1,6
2013/11/30,,1,6
2013/12/01,,1,7
2013/12/02,,1,6
2013/12/03,,1,7
2013/12/04,,1,7
2013/12/05,,1,7
2013/12/06,,1,8
2013/12/07,,1,7
2013/12/08,,1,7
2013/12/09,,1,8
2013/12/10,,1,8
2013/12/11,,1,8
2013/12/12,,1,8
2013/12/13,,1,8
2013/12/14,,1,7
2013/12/15,,1,7
2013/12/16,,1,7
2013/12/17,,1,7
2013/12/18,,1,7
2013/12/19,,1,7
2013/12/20,,1,7
2013/12/21,,1,7
2013/12/22,,2,7
2013/12/23,,2,7
2013/12/24,,2,7
2013/12/25,,2,7
2013/12/26,,2,7
2013/12/27,,2,7
2013/12/28,,1,7
2013/12/29,,1,7
2013/12/30,,1,7
2013/12/31,,,7
2014/01/01,,,7
2014/01/02,,,6
2014/01/03,,,6
2014/01/04,,,7
2014/01/05,,,5
2014/01/06,,,5
2014/01/07,,,5
2014/01/08,,,5
2014/01/09,,,5
2014/01/10,,,5
2014/01/11,,,5
2014/01/12,,,5
2014/01/13,,,4
2014/01/14,,,4
2014/01/15,,,5
2014/01/16,,,5
2014/01/17,,,5
2014/01/18,,,5
2014/01/19,,,5
2014/01/20,,,6
2014/01/21,,,6
2014/01/22,,,6
2014/01/23,,,7
2014/01/24,,1,7
2014/01/25,,1,7
2014/01/26,,1,7
2014/01/27,,1,8
2014/01/28,,1,9
2014/01/29,,1,11
2014/01/30,,1,11
2014/01/31,,1,12
2014/02/01,,1,12
2014/02/02,,1,12
2014/02/03,,1,12
2014/02/04,,1,12
2014/02/05,,1,12
2014/02/06,,1,12
2014/02/07,,1,12
2014/02/08,,2,12
2014/02/09,,2,12
2014/02/10,,2,12
2014/02/11,,2,11
2014/02/12,,2,11
2014/02/13,,2,11
2014/02/14,,2,11
2014/02/15,,2,11
2014/02/16,,2,12
2014/02/17,,2,13
2014/02/18,,2,13
2014/02/19,,2,14
2014/02/20,,2,14
2014/02/21,,2,14
2014/02/22,,2,14
2014/02/23,,1,13
2014/02/24,,1,13
2014/02/25,,1,13
2014/02/26,,1,13
2014/02/27,,1,11
2014/02/28,,1,10
2014/03/01,,1,10
2014/03/02,,1,10
2014/03/03,,1,10
2014/03/04,,2,10
2014/03/05,,2,10
2014/03/06,,2,10
2014/03/07,,3,11
2014/03/08,,3,11
2014/03/09,,3,11
2014/03/10,,3,12
2014/03/11,,3,12
2014/03/12,,3,12
2014/03/13,,3,12
2014/03/14,,4,12
2014/03/15,,4,12
2014/03/16,,4,12
2014/03/17,,4,12
2014/03/18,,4,11
2014/03/19,,4,11
2014/03/20,,4,11
2014/03/21,,4,9
2014/03/22,,4,9
2014/03/23,,4,9
2014/03/24,,4,9
2014/03/25,,4,9
2014/03/26,,4,12
2014/03/27,,4,14
2014/03/28,,4,14
2014/03/29,,4,13
2014/03/30,,4,12
2014/03/31,,4,12
2014/04/01,,4,11
2014/04/02,1,4,12
2014/04/03,1,4,13
2014/04/04,1,4,15
2014/04/05,1,4,15
2014/04/06,,4,16
2014/04/07,,4,16
2014/04/08,1,4,16
2014/04/09,,3,15
2014/04/10,,3,15
2014/04/11,,3,15
2014/04/12,,3,16
2014/04/13,,3,16
2014/04/14,,3,16
2014/04/15,,3,16
2014/04/16,,3,16
2014/04/17,,3,16
2014/04/18,,3,17
2014/04/19,,4,18
2014/04/20,,4,19
2014/04/21,,4,20
2014/04/22,,4,20
2014/04/23,,4,20
2014/04/24,,4,20
2014/04/25,,4,18
2014/04/26,,4,16
2014/04/27,,4,16
2014/04/28,,4,16
2014/04/29,,4,16
2014/04/30,,4,16
2014/05/01,,4,17
2014/05/02,,4,16
2014/05/03,,4,13
2014/05/04,,4,12
2014/05/05,,4,12
2014/05/06,,3,11
2014/05/07,,4,11
2014/05/08,,3,9
2014/05/09,,3,9
2014/05/10,,4,10
2014/05/11,,4,11
2014/05/12,,4,11
2014/05/13,,5,11
2014/05/14,,5,11
2014/05/15,,5,11
2014/05/16,,5,11
2014/05/17,,5,11
2014/05/18,,5,10
2014/05/19,,4,9
2014/05/20,,4,8
2014/05/21,,4,7
2014/05/22,,4,8
2014/05/23,,4,9
2014/05/24,,4,9
2014/05/25,,4,9
2014/05/26,,4,9
2014/05/27,,4,9
2014/05/28,,4,9
2014/05/29,,4,9
2014/05/30,,4,9
2014/05/31,,4,9
2014/06/01,,4,10
2014/06/02,,4,10
2014/06/03,,4,10
2014/06/04,,4,10
2014/06/05,,4,10
2014/06/06,,4,11
2014/06/07,,4,12
2014/06/08,,4,12
2014/06/09,,4,12
2014/06/10,,4,11
2014/06/11,,4,11
2014/06/12,,3,10
2014/06/13,,3,10
2014/06/14,,3,10
2014/06/15,,3,10
2014/06/16,,2,11
2014/06/17,,1,10
2014/06/18,,1,11
2014/06/19,,1,11
2014/06/20,,1,11
2014/06/21,,2,10
2014/06/22,,2,9
2014/06/23,,2,9
2014/06/24,,2,9
2014/06/25,,2,9
2014/06/26,,2,9
2014/06/27,,2,9
2014/06/28,,2,9
2014/06/29,,2,9
2014/06/30,,2,8
2014/07/01,,2,7
2014/07/02,,2,7
2014/07/03,,2,7
2014/07/04,,2,7
2014/07/05,,2,7
2014/07/06,,1,6
2014/07/07,,1,5
2014/07/08,,1,6
2014/07/09,,1,6
2014/07/10,,1,6
2014/07/11,,1,6
2014/07/12,,,6
2014/07/13,,,6
2014/07/14,,,6
2014/07/15,,,8
2014/07/16,,,7
2014/07/17,,,7
2014/07/18,,,6
2014/07/19,,,6
2014/07/20,,,6
2014/07/21,,,6
2014/07/22,,,6
2014/07/23,,,6
2014/07/24,,,6
2014/07/25,,,6
2014/07/26,,,6
2014/07/27,,,6
2014/07/28,,,6
2014/07/29,,,6
2014/07/30,,,5
2014/07/31,,,6
2014/08/01,,,7
2014/08/02,,,7
2014/08/03,,,7
2014/08/04,,,7
2014/08/05,,,7
2014/08/06,,,8
2014/08/07,,,7
2014/08/08,,,7
2014/08/09,,,7
2014/08/10,,,7
2014/08/11,,,7
2014/08/12,,,8
2014/08/13,,,8
2014/08/14,,,7
2014/08/15,,,7
2014/08/16,,,7
2014/08/17,,1,8
2014/08/18,,1,8
2014/08/19,,1,8
2014/08/20,,1,8
2014/08/21,,1,8
2014/08/22,,1,7
2014/08/23,,1,7
2014/08/24,,1,7
2014/08/25,,1,6
2014/08/26,,1,7
2014/08/27,,1,7
2014/08/28,,2,8
2014/08/29,,2,8
2014/08/30,,2,7
2014/08/31,,2,6
2014/09/01,,2,6
2014/09/02,,2,6
2014/09/03,,2,6
2014/09/04,,2,6
2014/09/05,,2,5
2014/09/06,,2,5
2014/09/07,,2,5
2014/09/08,,2,5
2014/09/09,,2,5
2014/09/10,,2,5
2014/09/11,,2,5
2014/09/12,,2,5
2014/09/13,,2,4
2014/09/14,,2,4
2014/09/15,,2,4
2014/09/16,,2,3
2014/09/17,,2,3
2014/09/18,,3,6
2014/09/19,,3,6
