date,papwiki (100+),papwiki (5+),papwiki (all)
2013/01/01,2,21,40
2013/01/02,2,21,39
2013/01/03,2,21,36
2013/01/04,2,21,38
2013/01/05,2,20,39
2013/01/06,2,20,39
2013/01/07,2,19,37
2013/01/08,3,19,37
2013/01/09,2,19,35
2013/01/10,2,19,35
2013/01/11,2,19,36
2013/01/12,2,20,37
2013/01/13,1,20,38
2013/01/14,2,20,39
2013/01/15,2,20,40
2013/01/16,2,20,41
2013/01/17,3,19,40
2013/01/18,3,20,37
2013/01/19,3,20,37
2013/01/20,4,20,37
2013/01/21,4,20,36
2013/01/22,4,19,37
2013/01/23,4,20,38
2013/01/24,4,20,38
2013/01/25,4,19,38
2013/01/26,4,19,38
2013/01/27,5,19,40
2013/01/28,5,19,41
2013/01/29,4,19,43
2013/01/30,4,19,44
2013/01/31,4,20,44
2013/02/01,4,21,44
2013/02/02,4,21,44
2013/02/03,4,21,42
2013/02/04,4,20,43
2013/02/05,4,20,43
2013/02/06,4,19,43
2013/02/07,4,19,42
2013/02/08,4,18,41
2013/02/09,4,18,41
2013/02/10,4,20,41
2013/02/11,4,19,40
2013/02/12,4,19,40
2013/02/13,3,18,39
2013/02/14,3,18,38
2013/02/15,3,19,38
2013/02/16,3,19,40
2013/02/17,3,18,40
2013/02/18,3,18,40
2013/02/19,3,18,40
2013/02/20,3,18,40
2013/02/21,3,18,41
2013/02/22,3,18,41
2013/02/23,2,18,41
2013/02/24,2,18,41
2013/02/25,2,18,40
2013/02/26,2,19,36
2013/02/27,2,18,34
2013/02/28,2,18,33
2013/03/01,1,18,31
2013/03/02,1,17,30
2013/03/03,1,16,30
2013/03/04,1,16,30
2013/03/05,1,16,29
2013/03/06,1,16,29
2013/03/07,1,16,30
2013/03/08,2,16,31
2013/03/09,2,16,31
2013/03/10,2,16,31
2013/03/11,2,16,31
2013/03/12,3,14,32
2013/03/13,3,13,32
2013/03/14,3,13,33
2013/03/15,3,13,30
2013/03/16,3,13,29
2013/03/17,3,12,28
2013/03/18,3,12,26
2013/03/19,3,12,25
2013/03/20,3,12,26
2013/03/21,2,12,26
2013/03/22,2,12,26
2013/03/23,2,12,26
2013/03/24,2,12,25
2013/03/25,2,12,26
2013/03/26,2,11,27
2013/03/27,2,11,27
2013/03/28,2,11,28
2013/03/29,2,11,28
2013/03/30,2,10,26
2013/03/31,2,9,27
2013/04/01,2,9,27
2013/04/02,2,9,28
2013/04/03,2,9,28
2013/04/04,2,6,24
2013/04/05,2,5,21
2013/04/06,2,4,17
2013/04/07,2,4,17
2013/04/08,1,3,18
2013/04/09,1,3,17
2013/04/10,1,3,17
2013/04/11,,3,18
2013/04/12,,3,18
2013/04/13,,3,17
2013/04/14,,3,17
2013/04/15,,3,18
2013/04/16,,3,17
2013/04/17,,4,18
2013/04/18,,4,19
2013/04/19,,4,19
2013/04/20,,4,19
2013/04/21,,4,19
2013/04/22,,4,19
2013/04/23,,4,19
2013/04/24,,3,18
2013/04/25,,3,18
2013/04/26,,3,20
2013/04/27,,3,19
2013/04/28,,3,19
2013/04/29,,3,20
2013/04/30,,3,19
2013/05/01,,4,18
2013/05/02,,4,16
2013/05/03,,3,15
2013/05/04,,3,16
2013/05/05,,2,16
2013/05/06,,3,16
2013/05/07,,3,15
2013/05/08,,2,14
2013/05/09,,3,14
2013/05/10,,3,14
2013/05/11,,2,14
2013/05/12,,2,15
2013/05/13,,2,15
2013/05/14,,2,16
2013/05/15,,2,16
2013/05/16,,2,16
2013/05/17,,2,15
2013/05/18,,2,14
2013/05/19,,2,13
2013/05/20,,2,13
2013/05/21,,2,12
2013/05/22,,2,12
2013/05/23,,2,12
2013/05/24,,2,12
2013/05/25,,2,13
2013/05/26,,2,12
2013/05/27,,2,16
2013/05/28,,2,16
2013/05/29,,2,15
2013/05/30,,2,15
2013/05/31,,2,15
2013/06/01,,2,15
2013/06/02,,2,15
2013/06/03,,2,14
2013/06/04,,2,14
2013/06/05,,1,14
2013/06/06,,1,14
2013/06/07,,1,14
2013/06/08,,1,14
2013/06/09,,1,15
2013/06/10,,1,14
2013/06/11,,1,13
2013/06/12,,1,14
2013/06/13,,1,13
2013/06/14,,1,12
2013/06/15,,1,12
2013/06/16,,1,13
2013/06/17,,1,13
2013/06/18,,1,14
2013/06/19,,1,15
2013/06/20,,1,15
2013/06/21,,1,15
2013/06/22,,1,15
2013/06/23,,1,15
2013/06/24,,1,14
2013/06/25,,1,13
2013/06/26,,1,10
2013/06/27,,1,11
2013/06/28,,1,12
2013/06/29,,1,12
2013/06/30,,1,10
2013/07/01,,1,10
2013/07/02,,1,10
2013/07/03,,1,12
2013/07/04,,1,12
2013/07/05,,1,12
2013/07/06,,1,12
2013/07/07,,1,13
2013/07/08,,1,15
2013/07/09,,1,14
2013/07/10,,1,14
2013/07/11,,1,14
2013/07/12,,1,15
2013/07/13,,1,13
2013/07/14,,1,13
2013/07/15,,1,13
2013/07/16,,1,13
2013/07/17,,1,13
2013/07/18,,1,13
2013/07/19,,1,13
2013/07/20,,1,13
2013/07/21,,1,13
2013/07/22,,1,13
2013/07/23,,1,15
2013/07/24,,2,16
2013/07/25,,2,16
2013/07/26,,1,15
2013/07/27,,,14
2013/07/28,,,13
2013/07/29,,,14
2013/07/30,,,14
2013/07/31,,,14
2013/08/01,,,13
2013/08/02,,1,11
2013/08/03,,1,11
2013/08/04,,1,11
2013/08/05,,1,11
2013/08/06,,1,11
2013/08/07,,1,9
2013/08/08,,2,10
2013/08/09,,2,11
2013/08/10,,2,11
2013/08/11,,2,10
2013/08/12,,2,11
2013/08/13,,2,11
2013/08/14,,2,11
2013/08/15,,2,11
2013/08/16,,2,11
2013/08/17,,2,10
2013/08/18,,2,10
2013/08/19,,2,10
2013/08/20,,2,10
2013/08/21,,2,12
2013/08/22,,2,11
2013/08/23,,2,11
2013/08/24,,2,11
2013/08/25,,2,10
2013/08/26,,2,10
2013/08/27,,2,10
2013/08/28,,2,9
2013/08/29,,3,9
2013/08/30,,2,9
2013/08/31,,2,8
2013/09/01,,1,8
2013/09/02,,1,8
2013/09/03,,1,8
2013/09/04,,1,8
2013/09/05,,1,8
2013/09/06,,2,7
2013/09/07,,2,7
2013/09/08,,1,5
2013/09/09,,1,6
2013/09/10,,,6
2013/09/11,,,5
2013/09/12,,,5
2013/09/13,,,5
2013/09/14,,,5
2013/09/15,,,5
2013/09/16,,,5
2013/09/17,,,5
2013/09/18,,,5
2013/09/19,,,5
2013/09/20,,,3
2013/09/21,,,3
2013/09/22,,,2
2013/09/23,,,2
2013/09/24,,1,2
2013/09/25,,1,3
2013/09/26,,2,4
2013/09/27,,2,4
2013/09/28,,2,4
2013/09/29,,2,5
2013/09/30,,2,5
2013/10/01,,2,5
2013/10/02,,2,5
2013/10/03,,2,5
2013/10/04,,2,5
2013/10/05,,2,5
2013/10/06,,2,5
2013/10/07,,2,5
2013/10/08,,2,5
2013/10/09,,2,4
2013/10/10,,2,4
2013/10/11,,2,4
2013/10/12,,2,5
2013/10/13,,2,6
2013/10/14,,2,6
2013/10/15,,2,6
2013/10/16,,2,6
2013/10/17,,2,6
2013/10/18,,2,7
2013/10/19,,2,8
2013/10/20,,2,8
2013/10/21,,2,8
2013/10/22,,2,9
2013/10/23,,2,10
2013/10/24,,2,10
2013/10/25,,2,10
2013/10/26,,1,9
2013/10/27,,1,9
2013/10/28,,1,9
2013/10/29,,1,9
2013/10/30,,1,9
2013/10/31,,1,9
2013/11/01,,1,9
2013/11/02,,1,9
2013/11/03,,1,9
2013/11/04,,1,9
2013/11/05,,1,9
2013/11/06,,1,9
2013/11/07,,1,9
2013/11/08,,1,10
2013/11/09,,1,10
2013/11/10,,1,10
2013/11/11,,1,8
2013/11/12,,1,7
2013/11/13,,1,7
2013/11/14,,1,7
2013/11/15,,1,7
2013/11/16,,1,6
2013/11/17,,1,5
2013/11/18,,1,4
2013/11/19,,1,4
2013/11/20,,1,4
2013/11/21,,1,3
2013/11/22,,1,2
2013/11/23,,1,2
2013/11/24,,1,2
2013/11/25,,1,3
2013/11/26,,1,4
2013/11/27,,1,6
2013/11/28,,1,6
2013/11/29,,1,6
2013/11/30,,1,6
2013/12/01,,1,6
2013/12/02,,1,6
2013/12/03,,1,6
2013/12/04,,2,7
2013/12/05,,2,7
2013/12/06,,2,8
2013/12/07,,2,8
2013/12/08,,2,7
2013/12/09,,2,7
2013/12/10,,2,7
2013/12/11,,2,9
2013/12/12,,2,11
2013/12/13,,2,13
2013/12/14,,2,13
2013/12/15,,2,13
2013/12/16,,2,13
2013/12/17,,2,13
2013/12/18,,2,13
2013/12/19,,2,13
2013/12/20,,2,13
2013/12/21,,2,13
2013/12/22,,2,13
2013/12/23,,2,13
2013/12/24,,2,13
2013/12/25,,3,12
2013/12/26,,2,12
2013/12/27,,2,11
2013/12/28,,2,11
2013/12/29,,2,11
2013/12/30,,2,11
2013/12/31,,2,11
2014/01/01,,2,11
2014/01/02,,3,11
2014/01/03,,2,11
2014/01/04,,2,10
2014/01/05,,2,10
2014/01/06,,2,10
2014/01/07,,2,9
2014/01/08,,2,9
2014/01/09,,2,9
2014/01/10,,2,7
2014/01/11,,2,6
2014/01/12,,2,4
2014/01/13,,2,4
2014/01/14,,2,4
2014/01/15,,2,5
2014/01/16,,2,5
2014/01/17,,2,5
2014/01/18,,2,6
2014/01/19,,2,6
2014/01/20,,2,7
2014/01/21,,1,7
2014/01/22,,1,7
2014/01/23,,1,7
2014/01/24,,1,7
2014/01/25,,1,8
2014/01/26,,1,8
2014/01/27,,1,9
2014/01/28,,1,10
2014/01/29,,,10
2014/01/30,,,10
2014/01/31,,,11
2014/02/01,,,11
2014/02/02,,,10
