date,amwiki (100+),amwiki (5+),amwiki (all)
2013/05/21,2,7,22
2013/05/22,2,7,23
2013/05/23,2,8,23
2013/05/24,2,8,22
2013/05/25,2,7,22
2013/05/26,2,7,21
2013/05/27,2,7,21
2013/05/28,2,7,20
2013/05/29,2,7,19
2013/05/30,2,7,19
2013/05/31,2,7,19
2013/06/01,2,7,19
2013/06/02,2,7,21
2013/06/03,2,7,24
2013/06/04,2,7,24
2013/06/05,2,7,23
2013/06/06,2,7,24
2013/06/07,2,7,25
2013/06/08,2,7,26
2013/06/09,2,7,25
2013/06/10,2,7,24
2013/06/11,2,7,23
2013/06/12,2,8,23
2013/06/13,2,8,24
2013/06/14,2,8,25
2013/06/15,2,8,24
2013/06/16,2,8,25
2013/06/17,2,7,25
2013/06/18,2,7,24
2013/06/19,2,7,24
2013/06/20,2,7,23
2013/06/21,2,7,23
2013/06/22,2,7,24
2013/06/23,2,6,25
2013/06/24,2,6,25
2013/06/25,2,6,24
2013/06/26,2,6,24
2013/06/27,2,6,24
2013/06/28,2,6,25
2013/06/29,2,6,25
2013/06/30,2,6,26
2013/07/01,1,6,27
2013/07/02,1,6,26
2013/07/03,1,5,25
2013/07/04,1,5,24
2013/07/05,1,5,24
2013/07/06,1,5,23
2013/07/07,1,5,22
2013/07/08,1,5,22
2013/07/09,1,5,23
2013/07/10,1,5,23
2013/07/11,1,5,23
2013/07/12,1,5,23
2013/07/13,1,5,23
2013/07/14,1,5,23
2013/07/15,1,5,23
2013/07/16,1,5,23
2013/07/17,1,5,22
2013/07/18,1,4,23
2013/07/19,1,4,23
2013/07/20,1,5,25
2013/07/21,1,5,25
2013/07/22,1,5,24
2013/07/23,1,6,23
2013/07/24,1,5,24
2013/07/25,1,5,24
2013/07/26,1,5,24
2013/07/27,1,4,24
2013/07/28,1,4,23
2013/07/29,1,4,23
2013/07/30,1,5,23
2013/07/31,1,5,23
2013/08/01,1,5,24
2013/08/02,1,5,22
2013/08/03,1,6,22
2013/08/04,1,6,23
2013/08/05,1,6,23
2013/08/06,1,6,24
2013/08/07,1,6,24
2013/08/08,1,6,23
2013/08/09,1,7,23
2013/08/10,1,8,24
2013/08/11,1,8,25
2013/08/12,1,8,25
2013/08/13,1,8,24
2013/08/14,1,8,24
2013/08/15,1,8,24
2013/08/16,1,8,24
2013/08/17,1,8,23
2013/08/18,1,8,24
2013/08/19,1,7,23
2013/08/20,1,6,23
2013/08/21,1,6,23
2013/08/22,1,6,22
2013/08/23,1,6,22
2013/08/24,1,6,23
2013/08/25,1,6,24
2013/08/26,1,6,23
2013/08/27,1,6,23
2013/08/28,1,6,24
2013/08/29,1,5,25
2013/08/30,1,5,24
2013/08/31,1,5,24
2013/09/01,1,5,23
2013/09/02,1,5,24
2013/09/03,1,5,23
2013/09/04,1,4,23
2013/09/05,1,4,25
2013/09/06,1,4,24
2013/09/07,1,4,24
2013/09/08,1,4,24
2013/09/09,1,3,23
2013/09/10,1,3,23
2013/09/11,1,3,23
2013/09/12,1,3,23
2013/09/13,1,3,24
2013/09/14,1,3,25
2013/09/15,1,3,25
2013/09/16,1,3,25
2013/09/17,1,3,23
2013/09/18,1,3,24
2013/09/19,1,3,21
2013/09/20,1,3,20
2013/09/21,1,3,20
2013/09/22,1,3,20
2013/09/23,1,3,19
2013/09/24,1,3,19
2013/09/25,1,3,17
2013/09/26,1,3,17
2013/09/27,1,3,16
2013/09/28,1,3,18
2013/09/29,1,3,18
2013/09/30,1,3,18
2013/10/01,1,3,20
2013/10/02,1,2,19
2013/10/03,1,2,19
2013/10/04,1,2,19
2013/10/05,1,2,17
2013/10/06,1,2,17
2013/10/07,1,2,18
2013/10/08,1,2,18
2013/10/09,1,2,19
2013/10/10,1,2,19
2013/10/11,1,2,18
2013/10/12,1,3,19
2013/10/13,1,4,18
2013/10/14,1,4,17
2013/10/15,1,4,17
2013/10/16,1,5,21
2013/10/17,1,5,21
2013/10/18,1,5,20
2013/10/19,1,5,21
2013/10/20,1,5,22
2013/10/21,1,5,22
2013/10/22,1,5,22
2013/10/23,1,5,22
2013/10/24,1,5,22
2013/10/25,1,5,22
2013/10/26,,5,23
2013/10/27,,5,24
2013/10/28,,5,22
2013/10/29,,5,23
2013/10/30,,5,22
2013/10/31,,4,21
2013/11/01,,4,21
2013/11/02,,4,21
2013/11/03,,4,21
2013/11/04,,4,20
2013/11/05,,4,20
2013/11/06,,5,20
2013/11/07,,5,20
2013/11/08,,6,20
2013/11/09,,6,20
2013/11/10,,6,20
2013/11/11,,7,19
2013/11/12,,6,19
2013/11/13,,6,20
2013/11/14,,5,21
2013/11/15,,4,18
2013/11/16,,5,18
2013/11/17,,5,17
2013/11/18,,5,19
2013/11/19,,5,18
2013/11/20,,5,18
2013/11/21,,5,19
2013/11/22,,5,21
2013/11/23,,5,22
2013/11/24,,5,23
2013/11/25,,5,22
2013/11/26,,6,22
2013/11/27,,7,22
2013/11/28,,7,23
2013/11/29,,7,23
2013/11/30,,6,23
2013/12/01,,6,23
2013/12/02,1,5,23
2013/12/03,1,5,24
2013/12/04,1,5,25
2013/12/05,1,5,25
2013/12/06,1,5,25
2013/12/07,1,5,24
2013/12/08,1,5,23
2013/12/09,1,5,22
2013/12/10,1,5,22
2013/12/11,1,5,22
2013/12/12,1,5,22
2013/12/13,2,5,21
2013/12/14,2,6,20
2013/12/15,2,6,19
2013/12/16,2,6,20
2013/12/17,2,6,19
2013/12/18,2,6,17
2013/12/19,2,6,17
2013/12/20,2,6,17
2013/12/21,2,7,18
2013/12/22,2,6,16
2013/12/23,2,7,16
2013/12/24,1,8,16
2013/12/25,1,8,16
2013/12/26,1,8,17
2013/12/27,1,7,17
2013/12/28,1,7,15
2013/12/29,1,7,15
2013/12/30,1,7,15
2013/12/31,1,7,15
2014/01/01,1,7,15
2014/01/02,1,8,15
2014/01/03,1,7,14
2014/01/04,1,7,15
2014/01/05,1,7,14
2014/01/06,1,8,17
2014/01/07,1,8,17
2014/01/08,2,8,17
2014/01/09,2,8,17
2014/01/10,2,8,17
2014/01/11,1,8,17
2014/01/12,2,8,18
2014/01/13,2,8,18
2014/01/14,2,8,19
2014/01/15,2,9,20
2014/01/16,2,9,21
2014/01/17,2,9,21
2014/01/18,2,9,21
2014/01/19,2,9,22
2014/01/20,2,8,20
2014/01/21,2,8,20
2014/01/22,2,7,21
2014/01/23,2,7,22
2014/01/24,2,7,22
2014/01/25,2,7,22
2014/01/26,2,7,21
2014/01/27,2,7,21
2014/01/28,2,7,21
2014/01/29,2,7,22
2014/01/30,2,7,23
2014/01/31,2,7,23
2014/02/01,2,7,24
2014/02/02,2,6,24
2014/02/03,1,6,23
2014/02/04,1,6,23
2014/02/05,1,5,20
2014/02/06,1,5,20
2014/02/07,1,5,19
2014/02/08,1,5,20
2014/02/09,1,5,20
2014/02/10,1,5,20
2014/02/11,1,5,19
2014/02/12,1,5,19
2014/02/13,1,5,18
2014/02/14,1,4,16
2014/02/15,1,4,15
2014/02/16,1,4,16
2014/02/17,1,4,16
2014/02/18,1,4,15
2014/02/19,1,4,15
2014/02/20,1,4,16
2014/02/21,1,4,15
2014/02/22,1,4,14
2014/02/23,1,4,14
2014/02/24,1,4,14
2014/02/25,1,4,13
2014/02/26,1,3,13
2014/02/27,1,3,13
2014/02/28,1,3,14
2014/03/01,1,3,15
2014/03/02,1,3,15
2014/03/03,1,3,14
2014/03/04,1,3,15
2014/03/05,1,3,15
2014/03/06,1,2,15
2014/03/07,1,2,15
2014/03/08,1,2,15
2014/03/09,1,2,16
2014/03/10,1,2,16
2014/03/11,1,2,16
2014/03/12,1,2,15
2014/03/13,1,2,16
2014/03/14,1,2,16
2014/03/15,1,2,18
2014/03/16,1,2,18
2014/03/17,1,2,19
2014/03/18,1,2,19
2014/03/19,1,2,19
2014/03/20,1,2,21
2014/03/21,1,2,21
2014/03/22,1,2,22
2014/03/23,1,3,24
2014/03/24,1,4,24
2014/03/25,1,5,25
2014/03/26,1,5,29
2014/03/27,1,5,30
2014/03/28,1,5,30
2014/03/29,1,5,29
2014/03/30,1,5,28
2014/03/31,1,5,27
2014/04/01,1,5,27
2014/04/02,1,5,27
2014/04/03,1,6,28
2014/04/04,1,6,26
2014/04/05,1,6,26
2014/04/06,1,6,28
2014/04/07,1,6,30
2014/04/08,1,6,31
2014/04/09,1,6,32
2014/04/10,1,6,32
2014/04/11,1,6,32
2014/04/12,1,6,30
2014/04/13,1,6,30
2014/04/14,1,6,29
2014/04/15,1,6,29
2014/04/16,1,6,28
2014/04/17,1,6,28
2014/04/18,1,5,29
2014/04/19,1,5,27
2014/04/20,1,5,27
2014/04/21,1,5,25
2014/04/22,1,5,23
2014/04/23,1,5,23
2014/04/24,,5,25
2014/04/25,,4,21
2014/04/26,,4,21
2014/04/27,,4,21
2014/04/28,,4,21
2014/04/29,,4,21
2014/04/30,,4,21
2014/05/01,1,4,21
2014/05/02,1,5,22
2014/05/03,1,5,21
2014/05/04,1,5,20
2014/05/05,1,5,20
2014/05/06,1,5,19
2014/05/07,1,5,19
2014/05/08,1,5,18
2014/05/09,1,5,17
2014/05/10,1,5,16
2014/05/11,1,6,18
2014/05/12,1,6,18
2014/05/13,1,5,19
2014/05/14,1,5,20
2014/05/15,1,5,21
2014/05/16,1,5,21
2014/05/17,1,5,20
2014/05/18,1,5,21
2014/05/19,1,6,20
2014/05/20,1,6,20
2014/05/21,1,6,20
2014/05/22,1,6,21
2014/05/23,1,6,21
2014/05/24,1,6,20
2014/05/25,1,6,20
2014/05/26,1,6,20
2014/05/27,1,6,18
2014/05/28,1,6,18
2014/05/29,1,6,18
2014/05/30,1,6,18
2014/05/31,1,6,18
2014/06/01,1,5,21
2014/06/02,2,6,20
2014/06/03,1,6,20
2014/06/04,1,6,20
2014/06/05,2,6,20
2014/06/06,2,6,19
2014/06/07,2,6,19
2014/06/08,2,6,18
2014/06/09,2,6,18
2014/06/10,2,5,17
2014/06/11,2,5,17
2014/06/12,2,5,17
2014/06/13,2,5,15
2014/06/14,2,5,15
2014/06/15,2,4,17
2014/06/16,2,4,17
2014/06/17,2,4,15
2014/06/18,2,4,17
2014/06/19,2,4,17
2014/06/20,2,4,18
2014/06/21,2,4,17
2014/06/22,2,4,17
2014/06/23,2,4,17
2014/06/24,2,4,19
2014/06/25,2,4,20
2014/06/26,2,5,21
2014/06/27,2,5,21
2014/06/28,2,5,21
2014/06/29,2,5,21
2014/06/30,2,5,21
2014/07/01,2,5,19
2014/07/02,2,4,19
2014/07/03,2,4,19
2014/07/04,2,4,20
2014/07/05,2,4,20
