date,klwiki (100+),klwiki (5+),klwiki (all)
2013/09/20,,1,7
2013/09/21,,1,7
2013/09/22,,1,6
2013/09/23,,1,6
2013/09/24,,1,6
2013/09/25,,1,6
2013/09/26,,1,6
2013/09/27,,1,6
2013/09/28,,,5
2013/09/29,,,5
2013/09/30,,,5
2013/10/01,,,6
2013/10/02,,,6
2013/10/03,,,8
2013/10/04,,,8
2013/10/05,,,8
2013/10/06,,,8
2013/10/07,,,8
2013/10/08,,,8
2013/10/09,,1,10
2013/10/10,,1,10
2013/10/11,,1,10
2013/10/12,,1,10
2013/10/13,,1,10
2013/10/14,,1,11
2013/10/15,,1,11
2013/10/16,,1,11
2013/10/17,,1,11
2013/10/18,,1,11
2013/10/19,,1,11
2013/10/20,,1,9
2013/10/21,,1,9
2013/10/22,,1,10
2013/10/23,,1,10
2013/10/24,,1,10
2013/10/25,,1,10
2013/10/26,,1,9
2013/10/27,,1,11
2013/10/28,,1,12
2013/10/29,,1,12
2013/10/30,,1,12
2013/10/31,,1,12
2013/11/01,,1,13
2013/11/02,,1,13
2013/11/03,,1,13
2013/11/04,,1,14
2013/11/05,,1,15
2013/11/06,,1,15
2013/11/07,,1,15
2013/11/08,,,14
2013/11/09,,,14
2013/11/10,,,14
2013/11/11,,,12
2013/11/12,,,13
2013/11/13,,,12
2013/11/14,,,12
2013/11/15,,,11
2013/11/16,,,11
2013/11/17,,,11
2013/11/18,,,11
2013/11/19,,,11
2013/11/20,,1,12
2013/11/21,,1,12
2013/11/22,,1,12
2013/11/23,,1,12
2013/11/24,,1,12
2013/11/25,,1,12
2013/11/26,,1,10
2013/11/27,,1,10
2013/11/28,,1,10
2013/11/29,,1,11
2013/11/30,,1,11
2013/12/01,,1,9
2013/12/02,,1,9
2013/12/03,,1,9
2013/12/04,,1,10
2013/12/05,,1,10
2013/12/06,,1,10
2013/12/07,,1,11
2013/12/08,,1,10
2013/12/09,,1,10
2013/12/10,,1,10
2013/12/11,,1,10
2013/12/12,,1,9
2013/12/13,,1,10
2013/12/14,,1,10
2013/12/15,,1,10
2013/12/16,,1,11
2013/12/17,,1,11
2013/12/18,,1,11
2013/12/19,,1,11
2013/12/20,,,9
2013/12/21,,,8
2013/12/22,,,8
2013/12/23,,,8
2013/12/24,,,8
2013/12/25,,,8
2013/12/26,,,8
2013/12/27,,,7
2013/12/28,,,7
2013/12/29,,,6
2013/12/30,,,6
2013/12/31,,,6
2014/01/01,,,5
2014/01/02,,,5
2014/01/03,,,4
2014/01/04,,,4
2014/01/05,,,4
2014/01/06,,,4
2014/01/07,,,4
2014/01/08,,,5
2014/01/09,,,5
2014/01/10,,,6
2014/01/11,,,5
2014/01/12,,,4
2014/01/13,,,5
2014/01/14,,,6
2014/01/15,,,6
2014/01/16,,,7
2014/01/17,,,7
2014/01/18,,1,8
2014/01/19,,1,8
2014/01/20,,1,9
2014/01/21,,1,10
2014/01/22,,1,11
2014/01/23,,1,10
2014/01/24,,1,11
2014/01/25,,1,11
2014/01/26,,1,11
2014/01/27,,1,11
2014/01/28,,1,11
2014/01/29,,1,11
2014/01/30,,1,11
2014/01/31,,1,11
2014/02/01,,1,12
2014/02/02,,1,12
2014/02/03,,1,14
2014/02/04,,1,15
2014/02/05,,1,15
2014/02/06,,1,16
2014/02/07,,1,17
2014/02/08,,1,19
2014/02/09,,1,18
2014/02/10,,1,18
2014/02/11,,1,18
2014/02/12,,1,17
2014/02/13,,1,16
2014/02/14,,1,15
2014/02/15,,1,14
2014/02/16,,1,13
2014/02/17,,,13
2014/02/18,,,13
2014/02/19,,,13
2014/02/20,,,13
2014/02/21,,,12
2014/02/22,,,12
2014/02/23,,,11
2014/02/24,,,11
2014/02/25,,,11
2014/02/26,,,10
2014/02/27,,,10
2014/02/28,,,10
2014/03/01,,,11
2014/03/02,,,11
2014/03/03,,,11
2014/03/04,,,12
2014/03/05,,,11
2014/03/06,,,11
2014/03/07,,,11
2014/03/08,,,10
2014/03/09,,,9
2014/03/10,,,8
2014/03/11,,,10
2014/03/12,,,11
2014/03/13,,,11
2014/03/14,,,11
2014/03/15,,,11
2014/03/16,,,11
2014/03/17,,,11
2014/03/18,,,11
2014/03/19,,,10
2014/03/20,,,10
2014/03/21,,,9
2014/03/22,,,9
2014/03/23,,,9
2014/03/24,,,9
2014/03/25,,1,9
2014/03/26,,1,13
2014/03/27,,1,14
2014/03/28,,1,14
2014/03/29,,1,15
2014/03/30,,1,15
2014/03/31,,1,15
2014/04/01,,1,15
2014/04/02,,1,15
2014/04/03,,1,14
2014/04/04,,2,15
2014/04/05,,2,14
2014/04/06,,2,14
2014/04/07,,2,14
2014/04/08,,2,15
2014/04/09,,2,14
2014/04/10,,2,13
2014/04/11,,2,11
2014/04/12,,2,11
2014/04/13,,2,11
2014/04/14,,2,12
2014/04/15,,2,13
2014/04/16,,2,13
2014/04/17,,2,13
2014/04/18,,2,13
2014/04/19,,2,13
2014/04/20,,2,13
2014/04/21,,2,13
2014/04/22,,2,13
2014/04/23,,2,13
2014/04/24,,2,13
2014/04/25,,2,11
2014/04/26,,2,9
2014/04/27,,2,10
2014/04/28,,2,10
2014/04/29,,2,11
2014/04/30,,2,10
2014/05/01,,2,10
2014/05/02,,2,10
2014/05/03,,2,9
2014/05/04,,1,8
2014/05/05,,,8
2014/05/06,,,8
2014/05/07,,1,9
2014/05/08,,1,9
2014/05/09,,1,8
2014/05/10,,1,8
2014/05/11,,1,8
2014/05/12,,2,9
2014/05/13,,2,9
2014/05/14,,3,9
2014/05/15,,3,8
2014/05/16,,3,8
2014/05/17,,3,8
2014/05/18,,3,8
2014/05/19,,3,8
2014/05/20,,3,8
2014/05/21,,3,8
2014/05/22,,3,9
2014/05/23,,3,9
2014/05/24,,3,9
2014/05/25,,3,9
2014/05/26,,3,9
2014/05/27,,3,8
2014/05/28,,3,8
2014/05/29,,3,7
2014/05/30,,3,7
2014/05/31,,2,7
2014/06/01,,2,7
2014/06/02,,3,7
2014/06/03,,3,7
2014/06/04,,3,7
2014/06/05,,3,8
2014/06/06,,2,7
2014/06/07,,2,8
2014/06/08,,2,8
2014/06/09,,3,8
2014/06/10,,3,8
2014/06/11,,2,7
2014/06/12,,2,7
2014/06/13,,1,8
2014/06/14,,1,8
2014/06/15,,1,8
2014/06/16,,1,8
2014/06/17,,1,8
2014/06/18,,1,8
2014/06/19,,1,8
2014/06/20,,1,7
2014/06/21,,1,6
2014/06/22,,1,6
2014/06/23,,1,6
2014/06/24,,1,6
2014/06/25,,1,6
2014/06/26,,1,7
2014/06/27,,1,7
2014/06/28,,1,7
2014/06/29,,1,7
2014/06/30,,1,6
2014/07/01,,1,6
2014/07/02,,1,6
2014/07/03,,1,6
2014/07/04,,,6
2014/07/05,,,5
2014/07/06,,,5
2014/07/07,,,4
2014/07/08,,,4
2014/07/09,,,5
2014/07/10,,,5
2014/07/11,,,4
2014/07/12,,,4
2014/07/13,,,3
2014/07/14,,,3
2014/07/15,,,3
2014/07/16,,,3
2014/07/17,,,3
2014/07/18,,,5
2014/07/19,,,5
2014/07/20,,,5
2014/07/21,,,6
2014/07/22,,,6
2014/07/23,,,6
2014/07/24,,,6
2014/07/25,,,6
2014/07/26,,,5
2014/07/27,,,5
2014/07/28,,,5
2014/07/29,,,5
2014/07/30,,,5
2014/07/31,,,4
2014/08/01,,,4
2014/08/02,,,4
2014/08/03,,,4
2014/08/04,,,4
2014/08/05,,,4
2014/08/06,,,4
2014/08/07,,,4
2014/08/08,,,3
2014/08/09,,,4
2014/08/10,,,4
2014/08/11,,,4
2014/08/12,,,4
2014/08/13,,,4
2014/08/14,,,4
2014/08/15,,,4
2014/08/16,,,4
2014/08/17,,,4
2014/08/18,,,4
2014/08/19,,,4
2014/08/20,,,4
2014/08/21,,,4
2014/08/22,,,4
2014/08/23,,,4
2014/08/24,,,5
2014/08/25,,,6
2014/08/26,,1,7
2014/08/27,,1,7
2014/08/28,,1,7
2014/08/29,,1,7
2014/08/30,,1,7
2014/08/31,,1,7
2014/09/01,,2,7
2014/09/02,,2,7
2014/09/03,,2,7
2014/09/04,,2,7
2014/09/05,,2,6
2014/09/06,,2,6
2014/09/07,,2,6
2014/09/08,,2,5
2014/09/09,,2,5
2014/09/10,,2,6
2014/09/11,,2,6
2014/09/12,,2,6
2014/09/13,,2,6
2014/09/14,,2,6
2014/09/15,,2,6
2014/09/16,,2,6
2014/09/17,,2,6
2014/09/18,,2,6
2014/09/19,,2,6
2014/09/20,,2,6
2014/09/21,,2,7
2014/09/22,,2,7
2014/09/23,,2,7
2014/09/24,,2,6
2014/09/25,,1,5
2014/09/26,,1,7
2014/09/27,,1,6
2014/09/28,,1,6
2014/09/29,,1,6
2014/09/30,,1,6
2014/10/01,,1,5
2014/10/02,,1,5
2014/10/03,,1,5
2014/10/04,,1,6
2014/10/05,,1,6
2014/10/06,,1,7
2014/10/07,,1,7
2014/10/08,,1,7
2014/10/09,,1,9
2014/10/10,,1,11
2014/10/11,,1,13
2014/10/12,,1,14
2014/10/13,,1,14
2014/10/14,,1,14
2014/10/15,,1,14
2014/10/16,,,14
2014/10/17,,,14
2014/10/18,,,14
2014/10/19,,,14
2014/10/20,,,14
2014/10/21,,,15
2014/10/22,,,15
2014/10/23,,,15
2014/10/24,,,15
2014/10/25,,,15
2014/10/26,,,13
2014/10/27,,,13
2014/10/28,,,14
2014/10/29,,,14
2014/10/30,,,14
2014/10/31,,,14
2014/11/01,,,14
2014/11/02,,,14
2014/11/03,,,13
2014/11/04,,,13
2014/11/05,,,12
2014/11/06,,,12
2014/11/07,,,12
2014/11/08,,,10
2014/11/09,,,6
2014/11/10,,,5
2014/11/11,,,4
2014/11/12,,,4
2014/11/13,,,6
2014/11/14,,,7
2014/11/15,,,7
2014/11/16,,,7
2014/11/17,,,7
2014/11/18,,,8
2014/11/19,,,8
2014/11/20,,,6
2014/11/21,,,6
2014/11/22,,,6
2014/11/23,,,7
2014/11/24,,,7
2014/11/25,,,7
2014/11/26,,,7
2014/11/27,,,6
2014/11/28,,,6
2014/11/29,,,7
2014/11/30,,,8
2014/12/01,,,7
2014/12/02,,,7
2014/12/03,,,7
2014/12/04,,,7
2014/12/05,,,7
2014/12/06,,,8
2014/12/07,,,8
2014/12/08,,,9
2014/12/09,,,9
2014/12/10,,,9
2014/12/11,,,9
2014/12/12,,,9
2014/12/13,,,8
2014/12/14,,,7
2014/12/15,,1,7
2014/12/16,,1,7
2014/12/17,,1,7
2014/12/18,,1,6
2014/12/19,,1,7
2014/12/20,,1,6
2014/12/21,,1,6
2014/12/22,,1,6
2014/12/23,,1,6
2014/12/24,,1,6
2014/12/25,,1,6
2014/12/26,,1,6
2014/12/27,,1,7
2014/12/28,,1,7
2014/12/29,,1,6
2014/12/30,,2,6
2014/12/31,,2,6
2015/01/01,,2,6
2015/01/02,,2,7
2015/01/03,,2,7
2015/01/04,,2,7
2015/01/05,,2,7
2015/01/06,,2,7
2015/01/07,,2,7
2015/01/08,,2,7
2015/01/09,,2,7
2015/01/10,,2,7
2015/01/11,,2,7
2015/01/12,,2,7
2015/01/13,,2,7
2015/01/14,,1,6
2015/01/15,,1,6
2015/01/16,,1,6
2015/01/17,,1,6
2015/01/18,,1,6
2015/01/19,,1,6
2015/01/20,,1,6
2015/01/21,,1,6
2015/01/22,,1,6
2015/01/23,,2,6
2015/01/24,,2,7
2015/01/25,,2,7
2015/01/26,,2,7
2015/01/27,,2,6
2015/01/28,,2,6
2015/01/29,,1,6
2015/01/30,,1,6
2015/01/31,,1,6
2015/02/01,,,6
2015/02/02,,,8
2015/02/03,,,8
2015/02/04,,,8
2015/02/05,,,9
2015/02/06,,,8
2015/02/07,,,8
2015/02/08,,,8
2015/02/09,,,8
2015/02/10,,,8
2015/02/11,,,9
2015/02/12,,,9
2015/02/13,,,10
2015/02/14,,,10
2015/02/15,,,10
2015/02/16,,1,11
2015/02/17,,1,11
2015/02/18,,1,11
2015/02/19,,1,12
2015/02/20,,1,13
2015/02/21,,1,12
2015/02/22,,1,12
2015/02/23,,1,11
2015/02/24,,1,11
2015/02/25,,1,12
2015/02/26,,1,14
2015/02/27,,1,14
2015/02/28,,1,13
2015/03/01,,1,13
2015/03/02,,1,13
2015/03/03,,1,13
2015/03/04,,1,11
2015/03/05,,2,10
2015/03/06,,2,10
2015/03/07,,2,9
2015/03/08,,2,9
2015/03/09,,2,11
2015/03/10,,2,11
2015/03/11,,2,12
2015/03/12,,2,12
2015/03/13,,2,11
2015/03/14,,2,11
2015/03/15,,2,10
2015/03/16,,2,12
2015/03/17,,2,12
2015/03/18,,1,11
2015/03/19,,1,11
2015/03/20,,1,12
2015/03/21,,1,12
2015/03/22,,1,12
2015/03/23,,1,12
2015/03/24,,1,10
2015/03/25,,1,10
2015/03/26,,1,10
2015/03/27,,1,10
2015/03/28,,1,8
2015/03/29,,1,8
2015/03/30,,1,8
2015/03/31,,1,9
2015/04/01,,1,9
2015/04/02,,1,9
2015/04/03,,1,9
2015/04/04,,,8
2015/04/05,,,8
2015/04/06,,,8
2015/04/07,,,8
2015/04/08,,,6
2015/04/09,,,6
2015/04/10,,,5
2015/04/11,,,5
2015/04/12,,,5
2015/04/13,,,6
2015/04/14,,,6
2015/04/15,,,4
2015/04/16,,,4
2015/04/17,,,4
2015/04/18,,,4
2015/04/19,,,4
2015/04/20,,,4
2015/04/21,,,3
2015/04/22,,,3
2015/04/23,,,3
2015/04/24,,,3
2015/04/25,,,3
2015/04/26,,,3
2015/04/27,,,3
2015/04/28,,,5
2015/04/29,,,5
2015/04/30,,,4
2015/05/01,,,4
2015/05/02,,,4
2015/05/03,,,4
2015/05/04,,,4
2015/05/05,,,6
2015/05/06,,,6
2015/05/07,,,6
2015/05/08,,,6
2015/05/09,,,6
2015/05/10,,,6
2015/05/11,,,6
2015/05/12,,,6
2015/05/13,,,5
2015/05/14,,,5
2015/05/15,,,5
2015/05/16,,,5
2015/05/17,,,5
2015/05/18,,,5
2015/05/19,,,5
2015/05/20,,,5
2015/05/21,,,5
2015/05/22,,,5
2015/05/23,,,5
2015/05/24,,,5
2015/05/25,,,5
2015/05/26,,,5
2015/05/27,,,5
2015/05/28,,,4
2015/05/29,,,4
2015/05/30,,,4
2015/05/31,,,4
2015/06/01,,,4
2015/06/02,,,4
2015/06/03,,,4
2015/06/04,,,2
2015/06/05,,,3
2015/06/06,,,3
2015/06/07,,,3
2015/06/08,,,4
2015/06/09,,,4
2015/06/10,,,4
2015/06/11,,,5
2015/06/12,,,5
2015/06/13,,,5
2015/06/14,,,5
2015/06/15,,,6
2015/06/16,,,6
2015/06/17,,,6
2015/06/18,,,6
2015/06/19,,,6
2015/06/20,,,6
2015/06/21,,,6
2015/06/22,,,6
2015/06/23,,1,7
2015/06/24,,1,8
2015/06/25,,2,10
2015/06/26,,2,12
2015/06/27,,2,11
2015/06/28,,2,11
2015/06/29,,2,11
2015/06/30,,2,11
2015/07/01,,2,11
2015/07/02,,2,11
2015/07/03,,2,12
2015/07/04,,2,12
2015/07/05,,2,11
2015/07/06,,2,11
2015/07/07,,2,11
2015/07/08,,2,10
2015/07/09,,2,11
2015/07/10,,2,11
2015/07/11,,2,11
2015/07/12,,2,11
2015/07/13,,2,11
2015/07/14,,2,11
2015/07/15,,2,10
2015/07/16,,2,10
2015/07/17,,2,11
2015/07/18,,2,10
2015/07/19,,2,10
2015/07/20,,2,11
2015/07/21,,2,11
2015/07/22,,2,12
2015/07/23,,1,11
2015/07/24,,1,10
2015/07/25,,,9
2015/07/26,,,6
2015/07/27,,,7
2015/07/28,,,7
2015/07/29,,,7
2015/07/30,,,7
2015/07/31,,,8
2015/08/01,,,8
2015/08/02,,,7
2015/08/03,,1,8
2015/08/04,,1,8
2015/08/05,,1,8
2015/08/06,,1,8
2015/08/07,,2,9
2015/08/08,,2,8
2015/08/09,,2,8
2015/08/10,,2,8
2015/08/11,,2,8
2015/08/12,,2,9
2015/08/13,,2,9
2015/08/14,,2,9
2015/08/15,,2,9
2015/08/16,,2,8
2015/08/17,,2,8
2015/08/18,,2,8
2015/08/19,,2,7
2015/08/20,,2,7
2015/08/21,,2,6
2015/08/22,,2,6
2015/08/23,,2,6
2015/08/24,,2,6
2015/08/25,,2,6
2015/08/26,,2,5
2015/08/27,,2,6
2015/08/28,,2,6
2015/08/29,,2,6
2015/08/30,,2,5
2015/08/31,,2,5
2015/09/01,,2,6
2015/09/02,,1,6
2015/09/03,,1,7
2015/09/04,,1,7
2015/09/05,,1,7
2015/09/06,,,6
2015/09/07,,,6
2015/09/08,,,6
2015/09/09,,,6
2015/09/10,,,7
2015/09/11,,,6
2015/09/12,,1,8
2015/09/13,,1,8
2015/09/14,,1,8
2015/09/15,,1,8
2015/09/16,,1,9
2015/09/17,,1,9
2015/09/18,,1,9
2015/09/19,,1,9
2015/09/20,,1,9
2015/09/21,,1,9
2015/09/22,,1,9
2015/09/23,,1,9
2015/09/24,,1,9
2015/09/25,,1,9
2015/09/26,,1,8
2015/09/27,,1,9
2015/09/28,,1,9
2015/09/29,,1,9
2015/09/30,,1,9
2015/10/01,,1,9
2015/10/02,,1,9
2015/10/03,,1,8
2015/10/04,,1,8
2015/10/05,,2,9
2015/10/06,,2,9
2015/10/07,,2,9
2015/10/08,,2,9
2015/10/09,,2,8
2015/10/10,,1,7
2015/10/11,,1,7
2015/10/12,,1,6
2015/10/13,,1,5
2015/10/14,,1,6
2015/10/15,,1,7
2015/10/16,,1,6
2015/10/17,,1,6
2015/10/18,,1,7
2015/10/19,,,6
2015/10/20,,,7
2015/10/21,,,8
2015/10/22,,,8
2015/10/23,,,8
2015/10/24,,,8
2015/10/25,,,8
2015/10/26,,,8
2015/10/27,,,8
2015/10/28,,,8
2015/10/29,,,9
2015/10/30,,,9
2015/10/31,,,10
2015/11/01,,,10
2015/11/02,,,11
2015/11/03,,,11
2015/11/04,,,10
2015/11/05,,,10
