date,euwiki (100+),euwiki (5+),euwiki (all)
2012/11/14,24,77,292
2012/11/15,24,74,289
2012/11/16,25,74,285
2012/11/17,24,78,285
2012/11/18,24,78,285
2012/11/19,25,77,284
2012/11/20,25,79,280
2012/11/21,24,79,282
2012/11/22,24,79,281
2012/11/23,24,79,283
2012/11/24,24,79,279
2012/11/25,24,80,280
2012/11/26,24,80,280
2012/11/27,23,80,279
2012/11/28,23,79,282
2012/11/29,23,80,281
2012/11/30,23,81,283
2012/12/01,21,82,282
2012/12/02,21,81,274
2012/12/03,22,81,274
2012/12/04,22,79,276
2012/12/05,23,79,276
2012/12/06,23,79,277
2012/12/07,22,77,276
2012/12/08,22,76,274
2012/12/09,22,74,265
2012/12/10,22,73,265
2012/12/11,22,74,265
2012/12/12,23,77,268
2012/12/13,23,76,273
2012/12/14,22,78,278
2012/12/15,23,85,284
2012/12/16,25,82,282
2012/12/17,25,83,286
2012/12/18,25,86,289
2012/12/19,25,89,286
2012/12/20,25,88,286
2012/12/21,25,86,286
2012/12/22,26,87,286
2012/12/23,25,87,286
2012/12/24,25,85,287
2012/12/25,24,83,288
2012/12/26,24,82,290
2012/12/27,24,83,294
2012/12/28,24,83,294
2012/12/29,24,83,294
2012/12/30,26,81,292
2012/12/31,26,82,297
2013/01/01,25,81,296
2013/01/02,24,81,292
2013/01/03,24,80,290
2013/01/04,22,81,293
2013/01/05,23,81,292
2013/01/06,23,80,291
2013/01/07,23,79,294
2013/01/08,23,78,294
2013/01/09,23,76,288
2013/01/10,23,78,293
2013/01/11,23,75,292
2013/01/12,23,75,288
2013/01/13,23,73,281
2013/01/14,22,67,277
2013/01/15,23,70,281
2013/01/16,23,70,281
2013/01/17,23,71,281
2013/01/18,23,71,283
2013/01/19,25,75,286
2013/01/20,23,76,280
2013/01/21,23,75,277
2013/01/22,24,77,286
2013/01/23,24,75,295
2013/01/24,23,75,298
2013/01/25,23,77,299
2013/01/26,23,77,301
2013/01/27,22,76,299
2013/01/28,22,78,298
2013/01/29,22,80,306
2013/01/30,23,79,300
2013/01/31,21,80,302
2013/02/01,21,79,303
2013/02/02,21,79,301
2013/02/03,21,81,300
2013/02/04,22,83,303
2013/02/05,21,84,312
2013/02/06,21,86,315
2013/02/07,21,85,319
2013/02/08,21,86,322
2013/02/09,22,83,311
2013/02/10,22,83,312
2013/02/11,23,81,310
2013/02/12,23,82,311
2013/02/13,23,84,315
2013/02/14,22,83,314
2013/02/15,21,82,316
2013/02/16,20,83,323
2013/02/17,20,81,326
2013/02/18,20,78,323
2013/02/19,20,78,321
2013/02/20,21,81,321
2013/02/21,21,81,319
2013/02/22,21,83,315
2013/02/23,20,82,309
2013/02/24,20,81,300
2013/02/25,20,78,293
2013/02/26,20,76,309
2013/02/27,19,76,307
2013/02/28,19,77,309
2013/03/01,19,79,308
2013/03/02,19,86,317
2013/03/03,19,87,311
2013/03/04,19,88,313
2013/03/05,19,87,313
2013/03/06,20,87,311
2013/03/07,23,85,305
2013/03/08,23,82,297
2013/03/09,23,83,298
2013/03/10,23,82,292
2013/03/11,22,82,299
2013/03/12,22,85,299
2013/03/13,22,85,301
2013/03/14,21,85,296
2013/03/15,20,84,293
2013/03/16,20,84,290
2013/03/17,19,85,290
2013/03/18,19,83,285
2013/03/19,19,85,283
2013/03/20,19,85,280
2013/03/21,19,84,283
2013/03/22,17,85,283
2013/03/23,17,85,282
2013/03/24,17,82,277
2013/03/25,17,82,280
2013/03/26,19,83,290
2013/03/27,19,86,283
2013/03/28,21,83,282
2013/03/29,20,83,285
2013/03/30,20,83,273
2013/03/31,19,84,277
2013/04/01,19,78,267
2013/04/02,19,77,258
2013/04/03,18,77,259
2013/04/04,18,75,255
2013/04/05,16,73,251
2013/04/06,15,71,251
2013/04/07,14,70,252
2013/04/08,14,71,252
2013/04/09,15,70,261
2013/04/10,15,72,268
2013/04/11,15,73,264
2013/04/12,16,75,261
2013/04/13,15,77,263
2013/04/14,15,76,259
2013/04/15,16,75,258
2013/04/16,16,75,253
2013/04/17,16,74,253
2013/04/18,17,74,247
2013/04/19,17,75,243
2013/04/20,16,72,240
2013/04/21,16,70,240
2013/04/22,18,70,235
2013/04/23,18,70,235
2013/04/24,18,71,240
2013/04/25,17,71,233
2013/04/26,19,74,242
2013/04/27,19,75,243
2013/04/28,19,76,243
2013/04/29,18,76,246
2013/04/30,18,75,258
2013/05/01,19,77,267
2013/05/02,18,80,270
2013/05/03,17,85,280
2013/05/04,18,91,283
2013/05/05,18,90,280
2013/05/06,17,89,278
2013/05/07,17,91,286
2013/05/08,17,91,282
2013/05/09,16,90,277
2013/05/10,15,90,279
2013/05/11,16,93,283
2013/05/12,14,93,283
2013/05/13,13,95,286
2013/05/14,13,97,293
2013/05/15,13,98,300
2013/05/16,14,99,299
2013/05/17,15,100,303
2013/05/18,15,103,310
2013/05/19,15,104,310
2013/05/20,14,109,311
2013/05/21,13,110,316
2013/05/22,13,109,318
2013/05/23,14,111,320
2013/05/24,15,109,317
2013/05/25,15,109,316
2013/05/26,14,108,312
2013/05/27,14,107,314
2013/05/28,14,110,315
2013/05/29,14,115,317
2013/05/30,14,113,306
2013/05/31,13,114,296
2013/06/01,12,114,297
2013/06/02,12,112,297
2013/06/03,13,110,292
2013/06/04,13,110,294
2013/06/05,13,109,290
2013/06/06,13,109,286
2013/06/07,13,110,292
2013/06/08,13,109,290
2013/06/09,13,104,291
2013/06/10,13,94,276
2013/06/11,13,91,274
2013/06/12,14,88,271
2013/06/13,15,87,266
2013/06/14,14,84,258
2013/06/15,13,82,254
2013/06/16,13,83,254
2013/06/17,13,80,251
2013/06/18,13,75,246
2013/06/19,15,73,245
2013/06/20,15,72,244
2013/06/21,15,73,241
2013/06/22,14,74,236
2013/06/23,14,73,235
2013/06/24,14,69,234
2013/06/25,14,69,229
2013/06/26,13,69,227
2013/06/27,13,65,226
2013/06/28,13,64,221
2013/06/29,13,63,217
2013/06/30,13,59,212
2013/07/01,13,57,211
2013/07/02,13,58,211
2013/07/03,13,58,211
2013/07/04,13,59,214
2013/07/05,14,63,212
2013/07/06,14,63,209
2013/07/07,13,64,205
2013/07/08,13,63,201
2013/07/09,13,64,198
2013/07/10,13,63,195
2013/07/11,13,62,190
2013/07/12,14,60,192
2013/07/13,12,61,193
2013/07/14,12,60,189
2013/07/15,13,61,190
2013/07/16,13,60,188
2013/07/17,13,58,182
2013/07/18,13,59,183
2013/07/19,13,60,180
2013/07/20,12,58,178
2013/07/21,12,58,178
2013/07/22,12,55,183
2013/07/23,11,54,183
2013/07/24,11,54,180
2013/07/25,11,53,185
2013/07/26,11,51,185
2013/07/27,10,53,186
2013/07/28,10,52,190
2013/07/29,10,54,193
2013/07/30,10,51,192
2013/07/31,10,51,194
2013/08/01,11,50,192
2013/08/02,12,51,189
2013/08/03,12,48,191
2013/08/04,12,49,185
2013/08/05,13,50,188
2013/08/06,13,50,190
2013/08/07,13,50,188
2013/08/08,14,52,186
2013/08/09,14,53,190
2013/08/10,15,53,192
2013/08/11,14,53,191
2013/08/12,14,51,189
2013/08/13,14,53,190
2013/08/14,14,53,185
2013/08/15,14,54,184
2013/08/16,14,56,186
2013/08/17,14,56,184
2013/08/18,14,56,182
2013/08/19,13,55,178
2013/08/20,13,54,174
2013/08/21,13,52,171
2013/08/22,13,50,173
2013/08/23,13,52,172
2013/08/24,13,51,170
2013/08/25,13,55,169
2013/08/26,14,55,168
2013/08/27,14,58,168
2013/08/28,13,58,166
2013/08/29,14,58,165
2013/08/30,14,56,164
2013/08/31,17,56,164
2013/09/01,17,57,165
2013/09/02,15,55,161
2013/09/03,15,55,161
2013/09/04,15,54,159
2013/09/05,14,55,155
2013/09/06,14,55,157
2013/09/07,13,57,161
2013/09/08,11,55,159
2013/09/09,11,53,155
2013/09/10,12,53,157
2013/09/11,13,54,157
2013/09/12,13,54,163
2013/09/13,13,54,175
2013/09/14,13,54,172
2013/09/15,13,55,174
2013/09/16,12,56,178
2013/09/17,12,55,178
2013/09/18,11,57,178
2013/09/19,11,59,183
2013/09/20,11,60,181
2013/09/21,11,58,182
2013/09/22,11,57,185
2013/09/23,11,59,184
2013/09/24,11,59,186
2013/09/25,11,57,189
2013/09/26,11,59,189
2013/09/27,11,56,186
2013/09/28,12,57,192
2013/09/29,11,54,188
2013/09/30,12,56,193
2013/10/01,14,57,194
2013/10/02,13,57,195
2013/10/03,14,56,192
2013/10/04,14,56,192
2013/10/05,14,57,194
2013/10/06,14,55,193
2013/10/07,14,56,194
2013/10/08,14,55,199
2013/10/09,14,56,204
2013/10/10,14,57,212
2013/10/11,13,55,216
2013/10/12,13,56,212
2013/10/13,13,58,206
2013/10/14,13,60,209
2013/10/15,13,59,206
2013/10/16,13,60,206
2013/10/17,13,61,208
2013/10/18,13,60,210
2013/10/19,13,60,206
2013/10/20,13,56,203
2013/10/21,13,56,205
2013/10/22,12,57,200
2013/10/23,12,56,205
2013/10/24,12,57,208
2013/10/25,13,56,209
2013/10/26,13,53,214
2013/10/27,13,54,214
2013/10/28,13,56,211
2013/10/29,13,60,218
2013/10/30,13,61,221
2013/10/31,12,59,220
2013/11/01,13,64,222
2013/11/02,11,62,222
2013/11/03,11,62,222
2013/11/04,11,62,227
2013/11/05,11,62,232
2013/11/06,11,61,239
2013/11/07,10,67,247
2013/11/08,11,69,245
2013/11/09,11,69,238
2013/11/10,11,71,244
2013/11/11,11,71,243
2013/11/12,11,73,249
2013/11/13,12,75,254
2013/11/14,13,74,256
2013/11/15,13,75,258
2013/11/16,13,76,259
2013/11/17,13,78,257
2013/11/18,13,78,259
2013/11/19,14,81,263
2013/11/20,14,81,264
2013/11/21,14,82,270
2013/11/22,13,80,264
2013/11/23,14,79,255
2013/11/24,14,80,255
2013/11/25,15,80,257
2013/11/26,15,80,261
2013/11/27,15,79,265
2013/11/28,15,73,261
2013/11/29,15,68,258
2013/11/30,15,68,258
2013/12/01,15,67,257
2013/12/02,15,68,262
2013/12/03,15,68,264
2013/12/04,15,68,267
2013/12/05,15,67,269
2013/12/06,15,66,258
2013/12/07,15,67,251
2013/12/08,14,66,244
2013/12/09,14,67,241
2013/12/10,14,63,240
2013/12/11,14,64,240
2013/12/12,14,64,237
2013/12/13,13,63,237
2013/12/14,12,59,245
2013/12/15,12,58,242
2013/12/16,12,59,238
2013/12/17,12,61,242
2013/12/18,12,63,242
2013/12/19,12,62,242
2013/12/20,11,62,240
2013/12/21,11,65,238
2013/12/22,12,65,236
2013/12/23,12,63,235
2013/12/24,12,61,238
2013/12/25,12,61,233
2013/12/26,12,58,230
2013/12/27,12,58,230
2013/12/28,12,62,237
2013/12/29,12,63,232
2013/12/30,13,65,231
2013/12/31,13,66,230
2014/01/01,13,67,225
2014/01/02,13,66,221
2014/01/03,13,66,216
2014/01/04,13,63,208
2014/01/05,14,64,210
2014/01/06,14,66,211
2014/01/07,14,67,212
2014/01/08,14,67,212
2014/01/09,14,69,209
2014/01/10,14,67,208
2014/01/11,14,70,211
2014/01/12,14,67,211
2014/01/13,14,67,205
2014/01/14,15,68,207
2014/01/15,15,69,216
2014/01/16,15,69,215
2014/01/17,15,68,214
2014/01/18,16,68,208
2014/01/19,16,67,209
2014/01/20,16,65,208
2014/01/21,15,66,206
2014/01/22,15,68,208
2014/01/23,15,69,208
2014/01/24,15,70,213
2014/01/25,15,72,215
2014/01/26,15,72,216
2014/01/27,14,74,212
2014/01/28,15,77,215
2014/01/29,14,77,215
2014/01/30,15,76,215
2014/01/31,15,72,220
2014/02/01,14,72,219
2014/02/02,14,71,223
2014/02/03,14,72,226
2014/02/04,13,71,229
2014/02/05,13,70,228
2014/02/06,13,70,232
2014/02/07,13,69,230
2014/02/08,12,72,226
2014/02/09,12,70,231
2014/02/10,12,70,233
2014/02/11,12,70,235
2014/02/12,12,70,236
2014/02/13,12,70,242
2014/02/14,12,67,242
2014/02/15,12,69,237
2014/02/16,12,71,236
2014/02/17,12,73,237
2014/02/18,12,71,239
2014/02/19,12,70,240
2014/02/20,12,72,241
2014/02/21,12,74,240
2014/02/22,12,74,240
2014/02/23,12,75,234
2014/02/24,12,73,232
2014/02/25,12,70,235
2014/02/26,12,71,238
2014/02/27,12,67,242
2014/02/28,11,62,245
2014/03/01,11,64,245
2014/03/02,12,62,244
2014/03/03,12,61,246
2014/03/04,11,61,244
2014/03/05,11,61,241
2014/03/06,11,62,234
2014/03/07,11,63,243
2014/03/08,11,64,241
2014/03/09,11,65,242
2014/03/10,11,63,237
2014/03/11,11,64,239
2014/03/12,10,67,255
2014/03/13,10,64,255
2014/03/14,10,71,262
2014/03/15,10,69,256
2014/03/16,11,73,252
2014/03/17,11,72,255
2014/03/18,11,69,259
2014/03/19,11,72,262
2014/03/20,11,74,269
2014/03/21,11,81,268
2014/03/22,11,79,269
2014/03/23,11,79,268
2014/03/24,11,81,265
2014/03/25,11,81,273
2014/03/26,11,85,279
2014/03/27,11,87,275
2014/03/28,11,87,273
2014/03/29,11,86,276
2014/03/30,12,87,270
2014/03/31,12,88,266
2014/04/01,12,89,273
2014/04/02,12,95,274
2014/04/03,12,95,279
2014/04/04,12,100,282
2014/04/05,12,100,293
2014/04/06,12,102,296
2014/04/07,12,103,298
2014/04/08,12,104,305
2014/04/09,12,100,306
2014/04/10,12,96,304
2014/04/11,12,92,300
2014/04/12,11,93,300
2014/04/13,12,88,288
2014/04/14,12,88,288
2014/04/15,12,88,289
2014/04/16,12,93,289
2014/04/17,11,91,281
2014/04/18,11,90,281
2014/04/19,11,91,277
2014/04/20,11,89,273
2014/04/21,12,89,270
2014/04/22,12,88,270
2014/04/23,12,91,275
2014/04/24,12,89,268
2014/04/25,12,86,259
2014/04/26,12,86,260
2014/04/27,12,85,267
2014/04/28,12,83,265
2014/04/29,11,82,265
2014/04/30,11,83,271
2014/05/01,11,81,269
2014/05/02,11,70,252
2014/05/03,11,69,248
2014/05/04,11,71,241
2014/05/05,11,72,235
2014/05/06,11,71,240
2014/05/07,11,70,241
2014/05/08,11,68,236
2014/05/09,11,72,246
2014/05/10,11,74,259
2014/05/11,12,73,260
2014/05/12,12,73,257
2014/05/13,12,74,262
2014/05/14,9,74,267
2014/05/15,9,76,267
2014/05/16,10,72,270
2014/05/17,9,74,273
2014/05/18,9,72,272
2014/05/19,10,70,270
2014/05/20,10,72,273
2014/05/21,10,73,277
2014/05/22,12,74,275
2014/05/23,12,73,272
2014/05/24,12,70,271
2014/05/25,12,68,269
2014/05/26,12,69,268
2014/05/27,12,68,266
2014/05/28,12,69,270
2014/05/29,12,68,274
2014/05/30,12,66,271
2014/05/31,12,68,272
2014/06/01,12,67,271
2014/06/02,12,65,266
2014/06/03,13,63,267
2014/06/04,13,61,267
2014/06/05,14,59,265
2014/06/06,14,60,259
2014/06/07,14,59,259
2014/06/08,14,58,250
2014/06/09,13,57,240
2014/06/10,13,57,242
2014/06/11,13,58,244
2014/06/12,13,57,239
2014/06/13,13,60,234
2014/06/14,13,64,231
2014/06/15,13,63,232
2014/06/16,12,64,236
2014/06/17,12,63,239
2014/06/18,13,65,238
2014/06/19,13,64,232
2014/06/20,13,63,227
2014/06/21,13,62,221
2014/06/22,13,65,216
2014/06/23,13,65,217
2014/06/24,14,64,216
2014/06/25,14,64,219
2014/06/26,15,64,218
2014/06/27,15,63,216
2014/06/28,16,62,215
2014/06/29,16,62,219
2014/06/30,17,62,217
2014/07/01,16,63,215
2014/07/02,16,66,218
2014/07/03,16,64,220
2014/07/04,15,64,218
2014/07/05,16,64,216
2014/07/06,16,65,214
2014/07/07,16,65,211
2014/07/08,16,68,215
2014/07/09,16,69,216
2014/07/10,16,66,210
2014/07/11,16,67,207
2014/07/12,15,65,202
2014/07/13,15,65,204
2014/07/14,15,61,201
2014/07/15,15,62,201
2014/07/16,16,62,196
2014/07/17,16,60,194
2014/07/18,16,60,189
2014/07/19,16,60,193
2014/07/20,17,59,193
2014/07/21,17,59,194
2014/07/22,18,57,197
2014/07/23,16,57,200
2014/07/24,15,58,202
2014/07/25,15,59,203
2014/07/26,15,58,203
2014/07/27,15,58,202
2014/07/28,15,57,201
2014/07/29,14,58,198
2014/07/30,14,57,198
2014/07/31,14,56,196
2014/08/01,14,54,191
2014/08/02,13,53,188
2014/08/03,13,53,190
2014/08/04,13,52,190
2014/08/05,13,51,189
2014/08/06,13,49,189
2014/08/07,13,47,185
2014/08/08,14,48,184
2014/08/09,15,48,184
2014/08/10,15,48,186
2014/08/11,15,50,186
2014/08/12,15,51,189
2014/08/13,14,52,193
2014/08/14,14,51,191
2014/08/15,13,51,192
2014/08/16,13,51,190
2014/08/17,13,50,194
2014/08/18,13,50,191
2014/08/19,13,48,191
2014/08/20,13,47,194
2014/08/21,13,47,194
2014/08/22,13,48,195
2014/08/23,14,47,193
2014/08/24,15,46,191
2014/08/25,14,46,193
2014/08/26,14,49,189
2014/08/27,14,49,188
2014/08/28,14,52,193
2014/08/29,15,52,186
2014/08/30,15,52,189
2014/08/31,16,51,189
2014/09/01,17,51,189
2014/09/02,17,51,185
2014/09/03,18,52,186
2014/09/04,19,53,190
2014/09/05,17,54,188
2014/09/06,18,53,188
2014/09/07,18,53,192
2014/09/08,19,54,191
2014/09/09,19,54,194
2014/09/10,20,52,195
2014/09/11,20,50,192
2014/09/12,21,50,186
2014/09/13,21,49,188
2014/09/14,21,51,192
2014/09/15,20,52,196
2014/09/16,19,53,190
2014/09/17,18,54,189
2014/09/18,18,54,184
2014/09/19,16,55,186
2014/09/20,16,56,190
2014/09/21,16,56,187
2014/09/22,17,57,188
2014/09/23,18,58,188
2014/09/24,19,59,188
2014/09/25,18,58,190
2014/09/26,17,58,190
2014/09/27,17,57,188
2014/09/28,16,57,189
2014/09/29,17,58,191
2014/09/30,17,59,195
2014/10/01,16,58,201
2014/10/02,16,59,203
2014/10/03,15,59,202
2014/10/04,14,58,200
2014/10/05,14,58,200
2014/10/06,14,60,203
2014/10/07,14,59,202
2014/10/08,14,60,204
2014/10/09,14,59,204
2014/10/10,14,60,206
2014/10/11,14,60,212
2014/10/12,14,60,212
2014/10/13,14,61,211
2014/10/14,14,60,206
2014/10/15,15,61,208
2014/10/16,15,62,217
2014/10/17,16,62,217
2014/10/18,15,65,222
2014/10/19,16,64,219
2014/10/20,16,65,216
2014/10/21,16,66,219
2014/10/22,14,67,220
2014/10/23,14,66,219
2014/10/24,14,65,216
2014/10/25,14,66,215
2014/10/26,15,65,218
2014/10/27,16,66,216
2014/10/28,16,67,216
2014/10/29,17,66,209
2014/10/30,17,64,213
2014/10/31,17,65,216
2014/11/01,17,67,218
2014/11/02,16,66,218
2014/11/03,16,66,221
2014/11/04,16,65,222
2014/11/05,15,67,225
2014/11/06,14,67,229
2014/11/07,14,67,221
2014/11/08,14,69,218
2014/11/09,13,68,219
2014/11/10,14,64,217
2014/11/11,14,65,215
2014/11/12,14,68,228
2014/11/13,13,66,227
2014/11/14,12,66,239
2014/11/15,13,69,235
2014/11/16,13,65,230
2014/11/17,13,61,229
2014/11/18,12,61,239
2014/11/19,12,65,248
2014/11/20,12,63,245
2014/11/21,12,64,249
2014/11/22,12,67,250
2014/11/23,12,66,252
2014/11/24,12,66,252
2014/11/25,13,65,256
2014/11/26,13,65,256
2014/11/27,12,66,257
2014/11/28,12,68,262
2014/11/29,12,69,260
2014/11/30,12,68,255
2014/12/01,12,67,259
2014/12/02,12,67,261
2014/12/03,12,69,263
2014/12/04,12,69,262
2014/12/05,12,68,264
2014/12/06,12,67,265
2014/12/07,12,69,263
2014/12/08,12,67,265
2014/12/09,12,66,267
2014/12/10,13,67,269
2014/12/11,13,70,278
2014/12/12,13,71,274
2014/12/13,12,74,274
2014/12/14,12,76,260
2014/12/15,14,75,261
2014/12/16,14,76,265
2014/12/17,13,77,266
2014/12/18,14,76,257
2014/12/19,14,70,244
2014/12/20,14,71,247
2014/12/21,14,70,247
2014/12/22,13,70,236
2014/12/23,13,70,235
2014/12/24,14,68,236
2014/12/25,14,70,233
2014/12/26,14,70,231
2014/12/27,15,71,225
2014/12/28,15,71,224
2014/12/29,15,72,223
2014/12/30,15,74,220
2014/12/31,15,73,215
2015/01/01,16,75,212
2015/01/02,16,68,213
2015/01/03,16,68,218
2015/01/04,15,66,217
2015/01/05,15,66,216
2015/01/06,15,66,219
2015/01/07,15,68,216
2015/01/08,16,68,214
2015/01/09,16,68,216
2015/01/10,16,63,210
2015/01/11,16,59,204
2015/01/12,16,58,204
2015/01/13,16,57,201
2015/01/14,16,60,208
2015/01/15,16,57,204
2015/01/16,17,57,196
2015/01/17,16,58,195
2015/01/18,16,59,198
2015/01/19,16,58,193
2015/01/20,16,59,194
2015/01/21,17,59,193
2015/01/22,17,57,193
2015/01/23,18,58,189
2015/01/24,18,58,194
2015/01/25,18,60,199
2015/01/26,18,58,197
2015/01/27,18,60,200
2015/01/28,18,61,200
2015/01/29,18,62,201
2015/01/30,18,68,207
2015/01/31,17,67,208
2015/02/01,17,68,211
2015/02/02,17,67,212
2015/02/03,16,63,215
2015/02/04,16,63,214
2015/02/05,14,63,217
2015/02/06,12,63,218
2015/02/07,12,61,219
2015/02/08,11,62,217
2015/02/09,11,63,219
2015/02/10,11,63,222
2015/02/11,11,61,228
2015/02/12,11,60,229
2015/02/13,12,59,228
2015/02/14,12,58,227
2015/02/15,12,58,225
2015/02/16,13,61,226
2015/02/17,13,60,228
2015/02/18,13,61,227
2015/02/19,12,66,226
2015/02/20,12,65,231
2015/02/21,12,68,235
2015/02/22,12,69,236
2015/02/23,12,68,235
2015/02/24,12,70,235
2015/02/25,12,68,248
2015/02/26,11,70,258
2015/02/27,11,69,259
2015/02/28,12,68,254
2015/03/01,12,63,256
2015/03/02,12,62,253
2015/03/03,12,63,254
2015/03/04,11,66,254
2015/03/05,10,68,253
2015/03/06,10,71,260
2015/03/07,10,72,262
2015/03/08,10,72,265
2015/03/09,10,69,261
2015/03/10,10,71,257
2015/03/11,10,74,258
2015/03/12,10,72,261
2015/03/13,10,74,262
2015/03/14,10,75,257
2015/03/15,10,76,257
2015/03/16,11,74,261
2015/03/17,10,74,269
2015/03/18,10,72,267
2015/03/19,11,75,261
2015/03/20,11,78,265
2015/03/21,11,76,265
2015/03/22,11,77,267
2015/03/23,11,75,270
2015/03/24,11,75,274
2015/03/25,11,76,274
2015/03/26,11,78,269
2015/03/27,11,79,274
2015/03/28,12,78,270
2015/03/29,12,80,268
2015/03/30,12,82,269
2015/03/31,12,79,265
2015/04/01,13,80,267
2015/04/02,13,77,267
2015/04/03,14,73,264
2015/04/04,12,73,260
2015/04/05,14,72,256
2015/04/06,13,72,255
2015/04/07,12,72,255
2015/04/08,12,73,253
2015/04/09,13,74,257
2015/04/10,13,75,255
2015/04/11,13,73,256
2015/04/12,12,77,252
2015/04/13,12,80,259
2015/04/14,12,80,267
2015/04/15,12,79,271
2015/04/16,14,80,267
2015/04/17,13,80,268
2015/04/18,14,82,267
2015/04/19,14,80,267
2015/04/20,14,85,264
2015/04/21,14,85,262
2015/04/22,14,85,256
2015/04/23,14,85,256
2015/04/24,14,85,260
2015/04/25,14,88,262
2015/04/26,15,87,256
2015/04/27,14,83,252
2015/04/28,14,84,248
2015/04/29,14,80,251
2015/04/30,14,80,255
2015/05/01,14,81,255
2015/05/02,14,82,253
2015/05/03,13,85,262
2015/05/04,13,87,260
2015/05/05,13,89,262
2015/05/06,12,89,263
2015/05/07,12,89,272
2015/05/08,12,91,275
2015/05/09,12,89,275
2015/05/10,12,85,273
2015/05/11,12,85,271
2015/05/12,12,84,260
2015/05/13,12,84,256
2015/05/14,12,84,255
2015/05/15,12,81,253
2015/05/16,12,83,255
2015/05/17,12,80,255
2015/05/18,12,79,257
2015/05/19,12,80,260
2015/05/20,12,82,259
2015/05/21,12,83,261
2015/05/22,13,89,271
2015/05/23,12,90,268
2015/05/24,12,89,262
2015/05/25,12,89,265
2015/05/26,12,92,266
2015/05/27,12,91,271
2015/05/28,12,90,274
2015/05/29,12,97,272
2015/05/30,12,96,268
2015/05/31,12,99,274
2015/06/01,13,97,275
2015/06/02,12,98,270
2015/06/03,13,100,267
2015/06/04,13,99,268
2015/06/05,13,95,267
2015/06/06,13,93,261
2015/06/07,13,93,257
2015/06/08,13,90,252
2015/06/09,13,88,258
2015/06/10,12,89,257
2015/06/11,13,88,259
2015/06/12,13,90,257
2015/06/13,13,89,258
2015/06/14,13,91,265
2015/06/15,13,87,264
2015/06/16,13,89,269
2015/06/17,12,92,271
2015/06/18,13,94,268
2015/06/19,13,96,265
2015/06/20,13,91,264
2015/06/21,13,86,256
2015/06/22,13,87,254
2015/06/23,13,87,255
2015/06/24,15,89,251
2015/06/25,15,87,249
2015/06/26,15,83,246
2015/06/27,15,82,245
2015/06/28,15,79,244
2015/06/29,16,81,246
2015/06/30,15,78,240
2015/07/01,15,76,239
2015/07/02,15,73,239
2015/07/03,15,71,241
2015/07/04,15,71,240
2015/07/05,15,71,237
2015/07/06,15,74,239
2015/07/07,15,73,235
2015/07/08,15,73,236
2015/07/09,15,72,239
2015/07/10,15,70,240
2015/07/11,15,63,233
2015/07/12,16,62,228
2015/07/13,17,63,233
2015/07/14,17,64,228
2015/07/15,17,65,230
2015/07/16,17,64,225
2015/07/17,18,60,224
2015/07/18,17,62,222
2015/07/19,17,60,217
2015/07/20,17,60,217
2015/07/21,17,61,223
2015/07/22,17,61,220
2015/07/23,17,59,219
2015/07/24,17,58,214
2015/07/25,17,58,219
2015/07/26,17,55,217
