date,ttwiki (100+),ttwiki (5+),ttwiki (all)
2012/11/04,7,29,81
2012/11/05,7,29,82
2012/11/06,7,28,82
2012/11/07,7,28,80
2012/11/08,7,29,81
2012/11/09,7,27,85
2012/11/10,7,29,82
2012/11/11,8,29,86
2012/11/12,8,29,85
2012/11/13,8,29,83
2012/11/14,8,28,81
2012/11/15,8,29,83
2012/11/16,8,29,81
2012/11/17,8,29,83
2012/11/18,8,30,84
2012/11/19,8,29,82
2012/11/20,8,29,84
2012/11/21,8,28,82
2012/11/22,8,27,82
2012/11/23,8,28,80
2012/11/24,8,29,82
2012/11/25,9,29,83
2012/11/26,9,29,78
2012/11/27,9,29,77
2012/11/28,9,29,75
2012/11/29,9,28,74
2012/11/30,9,28,72
2012/12/01,9,28,74
2012/12/02,9,28,72
2012/12/03,10,28,69
2012/12/04,10,29,66
2012/12/05,10,29,64
2012/12/06,10,29,63
2012/12/07,10,29,64
2012/12/08,10,29,63
2012/12/09,10,31,62
2012/12/10,10,31,63
2012/12/11,10,30,60
2012/12/12,10,31,60
2012/12/13,10,31,61
2012/12/14,10,31,62
2012/12/15,10,30,62
2012/12/16,10,30,65
2012/12/17,10,30,63
2012/12/18,10,31,64
2012/12/19,10,32,65
2012/12/20,10,32,64
2012/12/21,9,32,67
2012/12/22,9,33,67
2012/12/23,9,33,69
2012/12/24,9,34,66
2012/12/25,9,34,67
2012/12/26,8,35,67
2012/12/27,8,37,72
2012/12/28,8,39,74
2012/12/29,8,41,75
2012/12/30,9,40,78
2012/12/31,10,40,79
2013/01/01,10,40,81
2013/01/02,9,39,80
2013/01/03,9,41,82
2013/01/04,9,41,82
2013/01/05,9,41,83
2013/01/06,9,41,83
2013/01/07,10,41,83
2013/01/08,11,40,83
2013/01/09,11,40,81
2013/01/10,11,39,84
2013/01/11,11,39,84
2013/01/12,11,40,84
2013/01/13,11,39,84
2013/01/14,11,40,85
2013/01/15,11,38,82
2013/01/16,11,39,83
2013/01/17,11,39,84
2013/01/18,11,39,86
2013/01/19,11,40,87
2013/01/20,11,40,84
2013/01/21,11,40,86
2013/01/22,11,39,86
2013/01/23,11,39,85
2013/01/24,11,38,85
2013/01/25,11,36,84
2013/01/26,11,35,83
2013/01/27,12,33,79
2013/01/28,11,32,77
2013/01/29,11,32,76
2013/01/30,11,33,75
2013/01/31,11,33,74
2013/02/01,11,33,73
2013/02/02,11,31,72
2013/02/03,11,29,74
2013/02/04,11,29,75
2013/02/05,11,28,76
2013/02/06,10,28,73
2013/02/07,9,29,71
2013/02/08,9,30,72
2013/02/09,9,30,70
2013/02/10,9,30,68
2013/02/11,9,29,67
2013/02/12,10,29,69
2013/02/13,10,30,70
2013/02/14,10,29,69
2013/02/15,10,29,69
2013/02/16,10,29,70
2013/02/17,10,30,66
2013/02/18,9,29,67
2013/02/19,9,29,65
2013/02/20,10,29,63
2013/02/21,9,28,63
2013/02/22,9,27,62
2013/02/23,9,27,60
2013/02/24,9,26,60
2013/02/25,9,26,58
2013/02/26,9,25,59
2013/02/27,9,25,59
2013/02/28,9,26,61
2013/03/01,9,25,61
2013/03/02,9,24,62
2013/03/03,10,24,61
2013/03/04,12,24,61
2013/03/05,12,24,59
2013/03/06,12,25,61
2013/03/07,11,25,62
2013/03/08,12,26,62
2013/03/09,13,27,64
2013/03/10,13,27,64
2013/03/11,13,27,65
2013/03/12,14,28,67
2013/03/13,14,28,68
2013/03/14,14,27,65
2013/03/15,14,27,64
2013/03/16,14,25,64
2013/03/17,14,24,63
2013/03/18,14,24,64
2013/03/19,13,24,65
2013/03/20,13,25,65
2013/03/21,13,25,64
2013/03/22,12,24,65
2013/03/23,12,24,65
2013/03/24,12,24,65
2013/03/25,12,24,67
2013/03/26,12,23,68
2013/03/27,12,24,67
2013/03/28,12,23,66
2013/03/29,12,23,64
2013/03/30,13,23,63
2013/03/31,13,23,61
2013/04/01,13,22,58
2013/04/02,13,22,58
2013/04/03,12,22,57
2013/04/04,12,22,58
2013/04/05,12,21,56
2013/04/06,12,20,51
2013/04/07,12,20,50
2013/04/08,11,19,50
2013/04/09,11,19,49
2013/04/10,11,19,50
2013/04/11,10,19,50
2013/04/12,10,19,48
2013/04/13,11,19,48
2013/04/14,12,21,53
2013/04/15,12,21,53
2013/04/16,12,21,52
2013/04/17,12,21,53
2013/04/18,13,22,53
2013/04/19,13,21,52
2013/04/20,13,21,53
2013/04/21,13,21,54
2013/04/22,13,21,54
2013/04/23,13,21,54
2013/04/24,13,21,53
2013/04/25,13,21,54
2013/04/26,13,21,54
2013/04/27,12,21,54
2013/04/28,12,21,57
2013/04/29,12,21,59
2013/04/30,12,21,57
2013/05/01,11,22,58
2013/05/02,11,22,57
2013/05/03,10,21,56
2013/05/04,10,21,58
2013/05/05,10,21,57
2013/05/06,10,22,58
2013/05/07,10,21,56
2013/05/08,11,21,55
2013/05/09,11,21,55
2013/05/10,11,21,55
2013/05/11,11,21,55
2013/05/12,11,21,55
2013/05/13,11,23,58
2013/05/14,10,22,54
2013/05/15,10,22,53
2013/05/16,10,22,53
2013/05/17,10,22,52
2013/05/18,10,22,51
2013/05/19,9,21,51
2013/05/20,9,22,51
2013/05/21,9,23,50
2013/05/22,9,23,49
2013/05/23,9,23,51
2013/05/24,9,23,51
2013/05/25,9,23,49
2013/05/26,9,23,49
2013/05/27,9,22,47
2013/05/28,8,21,46
2013/05/29,8,21,45
2013/05/30,8,21,46
2013/05/31,7,21,47
2013/06/01,7,22,49
2013/06/02,7,22,49
2013/06/03,8,22,47
2013/06/04,8,20,49
2013/06/05,8,19,48
2013/06/06,9,19,49
2013/06/07,9,19,50
2013/06/08,9,19,50
2013/06/09,9,19,49
2013/06/10,9,19,47
2013/06/11,9,19,47
2013/06/12,9,18,47
2013/06/13,9,18,44
2013/06/14,7,18,46
2013/06/15,7,18,48
2013/06/16,7,17,49
2013/06/17,8,17,49
2013/06/18,8,17,50
2013/06/19,8,15,49
2013/06/20,8,14,47
2013/06/21,8,14,47
2013/06/22,8,16,45
2013/06/23,8,15,44
2013/06/24,9,17,44
2013/06/25,9,17,43
2013/06/26,9,17,42
2013/06/27,9,17,42
2013/06/28,9,18,42
2013/06/29,9,18,41
2013/06/30,10,18,39
2013/07/01,10,17,39
2013/07/02,10,17,39
2013/07/03,10,17,42
2013/07/04,10,17,41
2013/07/05,10,17,41
2013/07/06,10,17,40
2013/07/07,10,17,39
2013/07/08,10,17,39
2013/07/09,10,17,43
2013/07/10,10,17,44
2013/07/11,10,17,45
2013/07/12,10,18,44
2013/07/13,10,18,45
2013/07/14,10,17,45
2013/07/15,10,17,43
2013/07/16,10,18,43
2013/07/17,10,18,43
2013/07/18,9,17,42
2013/07/19,9,17,43
2013/07/20,9,17,45
2013/07/21,9,18,44
2013/07/22,8,19,44
2013/07/23,9,19,44
2013/07/24,8,17,45
2013/07/25,8,17,47
2013/07/26,8,17,48
2013/07/27,8,17,47
2013/07/28,8,17,47
2013/07/29,8,17,48
2013/07/30,7,17,48
2013/07/31,8,17,48
2013/08/01,8,17,50
2013/08/02,8,17,48
2013/08/03,8,18,46
2013/08/04,8,18,45
2013/08/05,7,17,46
2013/08/06,7,17,46
2013/08/07,7,18,47
2013/08/08,7,18,44
2013/08/09,8,18,44
2013/08/10,8,18,44
2013/08/11,9,18,43
2013/08/12,9,18,44
2013/08/13,9,18,42
2013/08/14,9,18,42
2013/08/15,9,18,44
2013/08/16,9,17,44
2013/08/17,9,17,45
2013/08/18,9,18,45
2013/08/19,9,18,44
2013/08/20,9,18,45
2013/08/21,9,17,45
2013/08/22,9,17,44
2013/08/23,9,18,43
2013/08/24,10,18,43
2013/08/25,10,18,42
2013/08/26,10,18,42
2013/08/27,10,19,41
2013/08/28,10,19,39
2013/08/29,11,20,40
2013/08/30,9,19,39
2013/08/31,9,19,38
2013/09/01,9,19,40
2013/09/02,8,18,39
2013/09/03,7,17,40
2013/09/04,7,17,40
2013/09/05,7,17,40
2013/09/06,7,16,38
2013/09/07,7,17,40
2013/09/08,7,15,38
2013/09/09,7,15,40
2013/09/10,7,14,41
2013/09/11,7,14,40
2013/09/12,7,15,42
2013/09/13,7,16,43
2013/09/14,7,16,43
2013/09/15,7,16,43
2013/09/16,7,17,43
2013/09/17,7,16,44
2013/09/18,7,16,44
2013/09/19,7,17,44
2013/09/20,7,16,44
2013/09/21,7,15,46
2013/09/22,7,15,45
2013/09/23,7,14,44
2013/09/24,7,14,46
2013/09/25,7,14,48
2013/09/26,7,14,48
2013/09/27,7,15,48
2013/09/28,7,15,48
2013/09/29,7,15,49
2013/09/30,7,15,48
2013/10/01,7,15,45
2013/10/02,7,15,45
2013/10/03,7,16,45
2013/10/04,8,16,46
2013/10/05,8,16,46
2013/10/06,8,17,46
2013/10/07,8,17,46
2013/10/08,8,17,48
2013/10/09,8,17,45
2013/10/10,8,17,45
2013/10/11,8,17,45
2013/10/12,8,16,46
2013/10/13,8,16,46
2013/10/14,8,18,48
2013/10/15,8,18,48
2013/10/16,8,16,48
2013/10/17,8,16,46
2013/10/18,8,16,47
2013/10/19,8,15,46
2013/10/20,8,15,47
2013/10/21,8,15,46
2013/10/22,8,15,48
2013/10/23,8,16,48
2013/10/24,8,16,46
2013/10/25,8,15,47
2013/10/26,8,15,48
2013/10/27,8,15,49
2013/10/28,8,14,50
2013/10/29,8,15,48
2013/10/30,8,15,49
2013/10/31,7,16,50
2013/11/01,7,16,51
2013/11/02,7,16,49
2013/11/03,7,17,47
2013/11/04,6,17,48
2013/11/05,6,17,48
2013/11/06,6,17,48
2013/11/07,6,17,49
2013/11/08,6,18,50
2013/11/09,6,17,49
2013/11/10,7,17,50
2013/11/11,7,17,48
2013/11/12,7,18,49
2013/11/13,7,19,49
2013/11/14,7,19,48
2013/11/15,7,19,49
2013/11/16,7,19,49
2013/11/17,7,19,48
2013/11/18,7,18,48
2013/11/19,7,18,47
2013/11/20,7,20,47
2013/11/21,7,19,47
2013/11/22,7,19,45
2013/11/23,7,20,46
2013/11/24,8,20,44
2013/11/25,8,20,43
2013/11/26,7,20,44
2013/11/27,7,20,43
2013/11/28,7,20,46
2013/11/29,7,20,46
2013/11/30,7,19,44
2013/12/01,7,19,44
2013/12/02,7,19,45
