date,uzwiki (100+),uzwiki (5+),uzwiki (all)
2013/04/13,8,29,96
2013/04/14,9,27,92
2013/04/15,8,27,91
2013/04/16,9,26,87
2013/04/17,9,26,88
2013/04/18,10,27,88
2013/04/19,10,27,85
2013/04/20,10,26,83
2013/04/21,10,27,82
2013/04/22,10,26,79
2013/04/23,10,26,78
2013/04/24,10,25,79
2013/04/25,10,25,78
2013/04/26,10,24,76
2013/04/27,9,24,75
2013/04/28,9,25,76
2013/04/29,10,25,74
2013/04/30,10,24,75
2013/05/01,10,24,76
2013/05/02,10,25,77
2013/05/03,10,25,75
2013/05/04,10,26,72
2013/05/05,10,27,72
2013/05/06,10,27,73
2013/05/07,10,26,71
2013/05/08,10,26,71
2013/05/09,10,27,70
2013/05/10,10,27,68
2013/05/11,10,26,70
2013/05/12,10,24,71
2013/05/13,10,24,70
2013/05/14,9,23,73
2013/05/15,9,25,76
2013/05/16,9,25,75
2013/05/17,9,25,76
2013/05/18,9,25,75
2013/05/19,8,23,75
2013/05/20,6,23,77
2013/05/21,6,23,76
2013/05/22,6,23,77
2013/05/23,6,23,75
2013/05/24,6,23,74
2013/05/25,6,24,74
2013/05/26,6,25,79
2013/05/27,7,26,80
2013/05/28,6,25,80
2013/05/29,6,26,80
2013/05/30,5,24,82
2013/05/31,5,24,81
2013/06/01,7,24,83
2013/06/02,5,24,83
2013/06/03,5,24,85
2013/06/04,6,22,85
2013/06/05,6,22,86
2013/06/06,6,22,88
2013/06/07,6,22,87
2013/06/08,6,23,88
2013/06/09,6,23,89
2013/06/10,7,23,87
2013/06/11,7,22,84
2013/06/12,7,22,83
2013/06/13,8,21,80
2013/06/14,7,22,80
2013/06/15,7,22,81
2013/06/16,7,23,80
2013/06/17,7,23,82
2013/06/18,7,24,83
2013/06/19,8,24,82
2013/06/20,8,26,83
2013/06/21,8,25,82
2013/06/22,7,25,81
2013/06/23,8,25,83
2013/06/24,7,26,82
2013/06/25,8,25,76
2013/06/26,8,25,77
2013/06/27,7,25,78
2013/06/28,7,24,77
2013/06/29,7,24,77
2013/06/30,7,26,77
2013/07/01,7,26,80
2013/07/02,6,25,78
2013/07/03,5,26,80
2013/07/04,5,25,82
2013/07/05,5,25,82
2013/07/06,6,26,82
2013/07/07,5,25,81
2013/07/08,5,25,81
2013/07/09,5,24,78
2013/07/10,5,23,77
2013/07/11,5,25,76
2013/07/12,5,25,76
2013/07/13,5,25,74
2013/07/14,6,24,69
2013/07/15,6,24,69
2013/07/16,5,24,70
2013/07/17,5,22,70
2013/07/18,5,21,69
2013/07/19,6,21,70
2013/07/20,6,21,69
2013/07/21,6,20,66
2013/07/22,6,20,65
2013/07/23,6,20,64
2013/07/24,6,19,64
2013/07/25,6,19,64
2013/07/26,6,19,66
2013/07/27,6,19,67
2013/07/28,6,20,67
2013/07/29,6,20,65
2013/07/30,6,20,66
2013/07/31,6,18,63
2013/08/01,6,19,63
2013/08/02,6,19,60
2013/08/03,6,19,59
2013/08/04,6,19,59
2013/08/05,6,19,57
2013/08/06,6,19,59
2013/08/07,6,19,61
2013/08/08,6,19,61
2013/08/09,5,19,60
2013/08/10,6,19,59
2013/08/11,6,19,59
2013/08/12,6,17,57
2013/08/13,6,17,56
2013/08/14,6,17,55
2013/08/15,4,17,54
2013/08/16,4,18,55
2013/08/17,3,18,56
2013/08/18,3,17,54
2013/08/19,3,18,55
2013/08/20,4,18,55
2013/08/21,4,18,57
2013/08/22,4,18,59
2013/08/23,4,18,58
2013/08/24,4,18,58
2013/08/25,4,18,56
2013/08/26,4,18,56
2013/08/27,4,19,57
2013/08/28,4,19,58
2013/08/29,4,20,58
2013/08/30,3,21,59
2013/08/31,4,19,58
2013/09/01,4,18,57
2013/09/02,4,18,55
2013/09/03,4,19,56
2013/09/04,4,18,54
2013/09/05,5,19,54
2013/09/06,4,20,53
2013/09/07,4,20,51
2013/09/08,5,21,53
2013/09/09,4,19,51
2013/09/10,4,18,52
2013/09/11,4,18,51
2013/09/12,5,18,50
2013/09/13,5,19,52
2013/09/14,5,20,53
2013/09/15,5,20,54
2013/09/16,5,20,53
2013/09/17,5,19,54
2013/09/18,5,20,55
2013/09/19,4,19,56
2013/09/20,4,20,56
2013/09/21,4,21,55
2013/09/22,4,21,54
2013/09/23,4,21,55
2013/09/24,4,22,55
2013/09/25,4,22,55
2013/09/26,4,22,57
2013/09/27,4,20,58
2013/09/28,3,20,59
2013/09/29,3,19,59
2013/09/30,2,19,61
2013/10/01,2,19,61
2013/10/02,2,19,60
2013/10/03,2,18,58
2013/10/04,2,18,57
2013/10/05,2,17,57
2013/10/06,2,17,58
2013/10/07,2,17,58
2013/10/08,2,17,59
2013/10/09,1,18,58
2013/10/10,1,18,60
2013/10/11,1,17,59
2013/10/12,2,18,60
2013/10/13,2,18,58
2013/10/14,2,16,57
2013/10/15,2,17,55
2013/10/16,2,17,56
2013/10/17,2,17,56
2013/10/18,2,17,54
2013/10/19,2,17,54
2013/10/20,2,16,55
2013/10/21,2,15,55
2013/10/22,2,16,61
2013/10/23,2,16,59
2013/10/24,2,17,61
2013/10/25,3,18,62
2013/10/26,4,17,63
2013/10/27,3,17,62
2013/10/28,3,18,62
2013/10/29,3,18,60
2013/10/30,3,18,59
2013/10/31,2,18,61
2013/11/01,3,18,61
2013/11/02,3,19,66
2013/11/03,3,20,66
2013/11/04,2,20,69
2013/11/05,3,21,67
2013/11/06,4,23,69
2013/11/07,4,24,74
2013/11/08,3,24,77
2013/11/09,3,23,76
2013/11/10,3,22,79
2013/11/11,3,21,79
2013/11/12,4,21,80
2013/11/13,5,21,79
2013/11/14,5,20,78
2013/11/15,5,21,79
2013/11/16,6,21,83
2013/11/17,5,21,82
2013/11/18,4,22,85
2013/11/19,3,22,85
2013/11/20,3,22,84
2013/11/21,3,21,84
2013/11/22,4,20,87
2013/11/23,4,19,85
2013/11/24,4,19,85
2013/11/25,4,20,84
2013/11/26,4,20,85
2013/11/27,5,20,88
2013/11/28,5,21,89
2013/11/29,5,22,91
2013/11/30,5,23,92
2013/12/01,5,23,93
2013/12/02,7,23,90
2013/12/03,7,23,89
2013/12/04,7,23,86
2013/12/05,7,23,90
2013/12/06,7,22,90
2013/12/07,7,23,89
2013/12/08,7,26,89
2013/12/09,7,28,91
2013/12/10,7,27,90
2013/12/11,7,27,89
2013/12/12,7,26,86
2013/12/13,6,26,87
2013/12/14,6,26,86
2013/12/15,6,26,85
2013/12/16,6,28,85
2013/12/17,6,27,85
2013/12/18,6,25,84
2013/12/19,6,25,83
2013/12/20,5,26,86
2013/12/21,5,25,82
2013/12/22,5,24,81
2013/12/23,5,24,82
2013/12/24,5,23,81
2013/12/25,5,22,80
2013/12/26,5,23,80
2013/12/27,5,22,78
2013/12/28,5,22,78
2013/12/29,5,21,77
2013/12/30,5,20,77
2013/12/31,5,20,78
2014/01/01,5,20,79
2014/01/02,5,20,79
2014/01/03,5,20,80
2014/01/04,4,19,77
2014/01/05,4,18,76
2014/01/06,4,18,74
2014/01/07,4,19,76
2014/01/08,4,17,72
2014/01/09,3,19,71
2014/01/10,3,20,74
2014/01/11,3,20,76
2014/01/12,3,19,73
2014/01/13,3,20,74
2014/01/14,3,20,75
2014/01/15,3,19,73
2014/01/16,3,18,72
2014/01/17,3,18,72
2014/01/18,3,18,72
2014/01/19,3,17,69
2014/01/20,3,17,72
2014/01/21,3,16,72
2014/01/22,3,16,72
2014/01/23,3,17,73
2014/01/24,3,16,77
2014/01/25,3,17,77
2014/01/26,3,17,78
2014/01/27,2,18,79
2014/01/28,2,18,79
2014/01/29,2,19,82
2014/01/30,2,20,83
2014/01/31,2,20,82
2014/02/01,2,21,82
2014/02/02,3,24,83
2014/02/03,4,25,83
2014/02/04,4,26,81
2014/02/05,4,26,81
2014/02/06,5,26,85
2014/02/07,5,27,85
2014/02/08,5,25,82
2014/02/09,5,25,81
2014/02/10,5,26,80
2014/02/11,5,27,81
2014/02/12,5,26,85
2014/02/13,6,25,83
2014/02/14,6,25,84
2014/02/15,6,26,85
2014/02/16,6,26,86
2014/02/17,5,26,83
2014/02/18,6,26,84
2014/02/19,6,27,83
2014/02/20,6,27,85
2014/02/21,7,28,86
2014/02/22,6,27,85
2014/02/23,5,27,84
2014/02/24,5,25,88
2014/02/25,6,25,86
2014/02/26,6,26,85
2014/02/27,7,25,84
2014/02/28,7,24,80
2014/03/01,7,24,80
2014/03/02,7,24,81
2014/03/03,7,24,78
2014/03/04,6,23,79
2014/03/05,6,24,79
2014/03/06,5,24,81
2014/03/07,5,24,82
2014/03/08,4,24,79
2014/03/09,4,23,78
2014/03/10,5,23,80
2014/03/11,5,23,78
2014/03/12,4,22,78
2014/03/13,4,21,77
2014/03/14,4,21,78
2014/03/15,4,21,78
2014/03/16,4,22,80
2014/03/17,4,21,77
2014/03/18,4,21,73
2014/03/19,4,21,73
2014/03/20,4,21,75
2014/03/21,5,20,73
2014/03/22,5,21,71
2014/03/23,5,21,73
2014/03/24,4,22,76
2014/03/25,4,21,75
2014/03/26,4,23,78
2014/03/27,5,24,78
2014/03/28,5,26,80
2014/03/29,5,27,82
2014/03/30,4,27,85
2014/03/31,4,27,85
2014/04/01,5,27,85
2014/04/02,5,28,86
2014/04/03,5,29,84
2014/04/04,5,27,89
2014/04/05,4,26,91
2014/04/06,4,26,91
2014/04/07,4,27,92
2014/04/08,5,27,93
2014/04/09,5,27,92
2014/04/10,6,26,93
2014/04/11,7,27,95
2014/04/12,7,27,100
2014/04/13,7,27,95
2014/04/14,7,29,95
2014/04/15,7,30,94
2014/04/16,8,30,95
2014/04/17,8,30,94
2014/04/18,8,30,95
2014/04/19,8,30,96
2014/04/20,8,30,96
2014/04/21,8,29,96
2014/04/22,9,29,94
2014/04/23,9,29,97
2014/04/24,8,29,96
2014/04/25,8,27,92
2014/04/26,8,27,93
2014/04/27,8,25,89
2014/04/28,8,26,87
2014/04/29,8,28,86
2014/04/30,8,28,86
2014/05/01,8,28,84
2014/05/02,8,26,89
2014/05/03,8,25,91
2014/05/04,8,25,88
2014/05/05,8,25,86
2014/05/06,8,25,84
2014/05/07,8,25,81
2014/05/08,8,27,82
2014/05/09,8,26,84
2014/05/10,8,26,82
2014/05/11,8,27,81
2014/05/12,8,26,78
2014/05/13,8,27,79
2014/05/14,8,28,81
2014/05/15,8,27,81
2014/05/16,7,26,81
2014/05/17,5,26,81
2014/05/18,5,26,85
2014/05/19,5,26,84
2014/05/20,5,30,84
2014/05/21,5,29,85
2014/05/22,5,29,85
2014/05/23,5,28,83
2014/05/24,5,28,83
2014/05/25,5,28,84
2014/05/26,5,28,85
2014/05/27,5,30,83
2014/05/28,4,30,82
2014/05/29,4,28,83
2014/05/30,4,28,83
2014/05/31,4,29,86
2014/06/01,4,29,85
2014/06/02,4,31,84
2014/06/03,4,31,84
2014/06/04,4,31,83
2014/06/05,4,34,87
2014/06/06,4,33,87
2014/06/07,5,31,87
2014/06/08,5,30,85
2014/06/09,5,30,86
2014/06/10,4,31,86
2014/06/11,4,31,88
2014/06/12,4,30,85
2014/06/13,4,30,84
2014/06/14,4,29,83
2014/06/15,4,29,86
2014/06/16,4,30,89
2014/06/17,4,30,86
2014/06/18,4,30,84
2014/06/19,4,27,84
2014/06/20,4,28,85
2014/06/21,4,29,86
2014/06/22,4,30,84
2014/06/23,4,29,84
2014/06/24,5,29,82
2014/06/25,5,28,81
2014/06/26,4,28,80
2014/06/27,4,29,81
2014/06/28,4,29,82
2014/06/29,4,29,81
2014/06/30,4,27,79
2014/07/01,4,26,76
2014/07/02,4,25,76
2014/07/03,4,24,76
2014/07/04,4,24,76
2014/07/05,4,21,70
2014/07/06,4,21,68
2014/07/07,4,22,66
2014/07/08,4,23,66
2014/07/09,3,24,66
2014/07/10,3,25,65
2014/07/11,3,25,65
2014/07/12,3,27,66
2014/07/13,3,26,66
2014/07/14,3,26,67
2014/07/15,4,25,70
2014/07/16,4,26,65
2014/07/17,3,26,63
2014/07/18,3,24,65
2014/07/19,3,25,65
2014/07/20,3,23,62
2014/07/21,3,22,62
2014/07/22,3,21,62
2014/07/23,3,21,62
2014/07/24,3,21,61
2014/07/25,3,21,61
2014/07/26,3,21,62
2014/07/27,3,21,64
2014/07/28,3,21,62
2014/07/29,3,21,62
2014/07/30,3,21,63
2014/07/31,3,21,65
2014/08/01,3,21,63
2014/08/02,3,21,63
2014/08/03,3,21,62
2014/08/04,3,22,65
2014/08/05,3,21,65
2014/08/06,3,21,62
2014/08/07,3,22,62
2014/08/08,2,23,61
2014/08/09,2,23,63
2014/08/10,2,23,61
2014/08/11,2,22,57
2014/08/12,2,22,60
2014/08/13,1,22,61
2014/08/14,1,21,58
2014/08/15,1,22,60
2014/08/16,1,22,61
2014/08/17,1,22,61
2014/08/18,1,21,63
2014/08/19,1,20,66
2014/08/20,1,21,67
2014/08/21,1,21,68
2014/08/22,1,21,69
2014/08/23,1,21,70
2014/08/24,1,21,70
2014/08/25,2,22,71
2014/08/26,2,21,69
2014/08/27,2,21,70
2014/08/28,2,22,69
2014/08/29,2,21,70
2014/08/30,2,21,71
2014/08/31,2,21,74
2014/09/01,2,21,73
2014/09/02,2,21,73
2014/09/03,3,19,70
2014/09/04,3,19,71
2014/09/05,3,19,71
2014/09/06,2,19,68
2014/09/07,2,18,71
2014/09/08,2,16,70
2014/09/09,2,16,72
2014/09/10,2,16,72
2014/09/11,2,16,70
2014/09/12,2,17,70
2014/09/13,2,17,69
2014/09/14,1,17,67
2014/09/15,1,19,72
2014/09/16,1,19,70
2014/09/17,2,22,69
2014/09/18,2,21,68
2014/09/19,2,20,68
2014/09/20,2,20,69
2014/09/21,2,20,71
2014/09/22,2,21,70
2014/09/23,2,19,69
2014/09/24,2,20,68
2014/09/25,2,20,67
2014/09/26,2,20,66
2014/09/27,2,19,67
2014/09/28,2,19,64
2014/09/29,2,18,65
2014/09/30,2,17,64
2014/10/01,2,16,64
2014/10/02,1,16,64
2014/10/03,1,20,63
2014/10/04,1,20,63
2014/10/05,1,21,65
2014/10/06,1,20,66
2014/10/07,1,22,65
2014/10/08,1,22,66
2014/10/09,1,22,65
2014/10/10,1,22,70
2014/10/11,1,23,72
2014/10/12,1,24,73
2014/10/13,2,24,76
2014/10/14,2,23,80
2014/10/15,2,23,73
2014/10/16,2,22,73
2014/10/17,1,21,76
2014/10/18,1,22,75
2014/10/19,1,22,75
2014/10/20,1,21,74
2014/10/21,1,22,74
2014/10/22,1,22,76
2014/10/23,1,22,75
2014/10/24,1,22,75
2014/10/25,1,22,74
2014/10/26,1,22,75
2014/10/27,1,23,75
2014/10/28,1,22,74
2014/10/29,1,21,74
2014/10/30,1,23,76
2014/10/31,1,23,76
2014/11/01,1,24,77
2014/11/02,1,23,79
2014/11/03,1,22,79
2014/11/04,1,21,76
2014/11/05,1,22,77
2014/11/06,1,22,78
2014/11/07,2,22,77
2014/11/08,2,23,78
2014/11/09,1,23,76
2014/11/10,2,22,75
2014/11/11,2,22,76
2014/11/12,2,21,73
2014/11/13,2,21,73
2014/11/14,2,21,72
2014/11/15,4,21,74
2014/11/16,5,21,74
2014/11/17,5,20,77
2014/11/18,5,20,77
2014/11/19,5,20,80
2014/11/20,5,21,77
2014/11/21,5,24,78
2014/11/22,5,23,78
2014/11/23,5,25,80
2014/11/24,5,26,82
2014/11/25,5,25,84
2014/11/26,5,25,85
2014/11/27,5,25,85
2014/11/28,5,26,86
2014/11/29,5,26,87
2014/11/30,5,27,87
2014/12/01,6,27,88
2014/12/02,6,27,89
2014/12/03,5,27,89
2014/12/04,5,27,89
2014/12/05,5,27,91
2014/12/06,5,26,85
2014/12/07,5,27,86
2014/12/08,4,27,87
2014/12/09,5,28,86
2014/12/10,4,28,85
2014/12/11,5,28,83
2014/12/12,4,27,83
2014/12/13,4,27,81
2014/12/14,3,29,81
2014/12/15,4,29,81
2014/12/16,3,29,81
2014/12/17,4,30,79
2014/12/18,4,31,80
2014/12/19,4,31,79
2014/12/20,4,31,78
2014/12/21,3,31,79
2014/12/22,4,32,79
2014/12/23,5,31,79
2014/12/24,4,31,80
2014/12/25,5,30,81
2014/12/26,5,30,80
2014/12/27,5,29,80
2014/12/28,5,29,83
2014/12/29,5,31,83
2014/12/30,5,31,86
2014/12/31,6,31,87
2015/01/01,6,31,87
2015/01/02,6,31,86
2015/01/03,6,32,88
2015/01/04,6,33,91
2015/01/05,6,33,91
2015/01/06,6,34,93
2015/01/07,6,31,93
2015/01/08,6,31,96
2015/01/09,6,34,98
2015/01/10,6,34,100
2015/01/11,6,35,98
2015/01/12,5,33,100
2015/01/13,5,34,101
2015/01/14,5,33,101
2015/01/15,5,33,100
2015/01/16,5,35,103
2015/01/17,4,34,103
2015/01/18,4,36,104
2015/01/19,4,36,105
2015/01/20,4,36,110
2015/01/21,4,36,117
2015/01/22,5,37,121
2015/01/23,6,36,120
2015/01/24,6,34,120
2015/01/25,3,33,122
2015/01/26,4,34,124
2015/01/27,5,35,121
2015/01/28,5,35,117
2015/01/29,5,34,111
2015/01/30,5,34,111
2015/01/31,5,32,109
2015/02/01,5,32,113
2015/02/02,5,32,117
2015/02/03,5,32,116
2015/02/04,5,32,117
2015/02/05,5,30,120
2015/02/06,5,30,118
2015/02/07,5,29,114
2015/02/08,5,29,115
2015/02/09,5,29,116
2015/02/10,5,28,116
2015/02/11,5,31,123
2015/02/12,5,31,124
2015/02/13,6,31,123
2015/02/14,7,29,124
2015/02/15,7,30,126
2015/02/16,7,31,128
2015/02/17,8,29,127
2015/02/18,8,30,125
2015/02/19,8,30,123
2015/02/20,8,32,119
2015/02/21,8,31,115
2015/02/22,8,31,114
2015/02/23,8,30,116
2015/02/24,8,30,117
2015/02/25,8,29,113
2015/02/26,8,29,112
2015/02/27,8,28,110
2015/02/28,8,29,113
2015/03/01,8,29,116
2015/03/02,8,31,117
2015/03/03,8,31,116
2015/03/04,9,30,111
2015/03/05,9,30,107
2015/03/06,9,30,107
2015/03/07,8,29,105
2015/03/08,9,29,107
2015/03/09,9,31,105
2015/03/10,8,32,104
2015/03/11,8,33,108
2015/03/12,9,34,112
2015/03/13,9,30,106
2015/03/14,9,31,109
2015/03/15,8,30,111
2015/03/16,7,30,110
2015/03/17,6,32,109
2015/03/18,6,31,110
2015/03/19,7,32,110
2015/03/20,7,31,110
2015/03/21,8,31,112
2015/03/22,9,29,110
2015/03/23,10,28,112
2015/03/24,10,28,113
2015/03/25,10,27,110
2015/03/26,10,28,110
2015/03/27,9,28,108
2015/03/28,9,28,107
2015/03/29,8,30,110
2015/03/30,9,31,108
2015/03/31,9,31,104
2015/04/01,10,29,106
2015/04/02,10,30,105
2015/04/03,9,32,106
2015/04/04,9,33,109
2015/04/05,9,33,110
2015/04/06,8,33,109
2015/04/07,9,34,108
2015/04/08,9,36,108
2015/04/09,8,36,108
2015/04/10,8,36,104
2015/04/11,8,34,102
2015/04/12,8,33,100
2015/04/13,7,33,98
2015/04/14,7,31,99
2015/04/15,7,28,101
2015/04/16,7,28,107
2015/04/17,8,28,107
2015/04/18,8,27,108
2015/04/19,7,27,110
2015/04/20,7,27,108
2015/04/21,6,27,108
2015/04/22,6,27,111
2015/04/23,6,26,112
2015/04/24,6,27,121
2015/04/25,5,28,121
2015/04/26,6,28,122
2015/04/27,5,28,122
2015/04/28,4,28,124
2015/04/29,4,28,130
2015/04/30,4,24,134
2015/05/01,5,23,132
2015/05/02,5,24,131
2015/05/03,5,27,133
2015/05/04,5,26,131
2015/05/05,4,27,129
2015/05/06,4,27,131
2015/05/07,4,25,133
2015/05/08,4,24,131
2015/05/09,4,23,130
2015/05/10,4,23,128
2015/05/11,5,23,126
2015/05/12,5,23,126
2015/05/13,5,24,127
2015/05/14,5,23,125
2015/05/15,6,25,125
2015/05/16,4,24,119
2015/05/17,4,24,119
2015/05/18,2,25,122
2015/05/19,2,27,118
2015/05/20,2,27,118
2015/05/21,3,27,118
2015/05/22,2,29,116
2015/05/23,2,28,115
2015/05/24,2,27,107
2015/05/25,2,26,109
2015/05/26,1,27,109
2015/05/27,2,27,107
2015/05/28,2,27,108
2015/05/29,2,27,108
2015/05/30,2,27,104
2015/05/31,2,26,104
2015/06/01,1,23,103
2015/06/02,1,23,102
2015/06/03,1,26,103
2015/06/04,2,26,100
2015/06/05,3,26,95
2015/06/06,2,25,96
2015/06/07,2,25,97
2015/06/08,2,25,96
2015/06/09,2,25,95
2015/06/10,2,25,96
2015/06/11,3,25,96
2015/06/12,3,25,96
2015/06/13,3,25,99
2015/06/14,3,24,101
2015/06/15,3,24,98
2015/06/16,3,22,96
2015/06/17,3,21,96
2015/06/18,4,21,95
2015/06/19,4,21,95
2015/06/20,4,22,95
2015/06/21,4,21,94
2015/06/22,4,23,89
2015/06/23,4,24,92
2015/06/24,4,24,88
2015/06/25,4,23,89
2015/06/26,4,23,89
2015/06/27,4,24,86
2015/06/28,4,24,81
2015/06/29,4,25,82
2015/06/30,4,24,84
2015/07/01,4,24,83
2015/07/02,4,22,81
2015/07/03,4,20,77
2015/07/04,4,20,78
2015/07/05,4,21,80
2015/07/06,4,21,78
2015/07/07,4,21,79
2015/07/08,4,22,81
2015/07/09,4,23,79
2015/07/10,4,22,80
2015/07/11,4,23,80
2015/07/12,4,23,81
2015/07/13,4,24,81
2015/07/14,4,24,81
2015/07/15,3,24,79
2015/07/16,4,25,80
2015/07/17,4,26,78
2015/07/18,3,28,78
2015/07/19,3,28,76
2015/07/20,2,28,76
2015/07/21,2,29,77
2015/07/22,1,29,80
2015/07/23,1,28,81
2015/07/24,2,29,86
2015/07/25,2,31,90
2015/07/26,2,32,93
