date,sewiki (100+),sewiki (5+),sewiki (all)
2013/03/07,1,6,21
2013/03/08,2,7,23
2013/03/09,2,7,24
2013/03/10,2,7,24
2013/03/11,2,7,25
2013/03/12,3,8,26
2013/03/13,3,9,27
2013/03/14,3,8,26
2013/03/15,3,8,27
2013/03/16,3,8,27
2013/03/17,3,8,28
2013/03/18,3,8,27
2013/03/19,3,7,27
2013/03/20,3,7,26
2013/03/21,3,7,25
2013/03/22,3,8,26
2013/03/23,3,7,25
2013/03/24,3,7,25
2013/03/25,3,7,25
2013/03/26,3,7,25
2013/03/27,3,6,25
2013/03/28,3,7,25
2013/03/29,3,7,26
2013/03/30,3,7,26
2013/03/31,3,5,24
2013/04/01,3,5,25
2013/04/02,3,5,26
2013/04/03,3,5,26
2013/04/04,3,4,25
2013/04/05,3,4,24
2013/04/06,3,5,23
2013/04/07,3,5,19
2013/04/08,2,3,18
2013/04/09,2,3,18
2013/04/10,2,3,17
2013/04/11,2,3,17
2013/04/12,2,2,18
2013/04/13,2,2,19
2013/04/14,2,3,17
2013/04/15,2,4,22
2013/04/16,3,4,21
2013/04/17,3,5,21
2013/04/18,4,7,22
2013/04/19,4,7,23
2013/04/20,4,9,24
2013/04/21,4,11,24
2013/04/22,4,11,25
2013/04/23,4,11,25
2013/04/24,4,11,25
2013/04/25,4,11,25
2013/04/26,4,11,25
2013/04/27,4,10,25
2013/04/28,4,10,23
2013/04/29,4,10,24
2013/04/30,4,10,24
2013/05/01,4,12,26
2013/05/02,4,12,26
2013/05/03,3,12,27
2013/05/04,3,12,27
2013/05/05,3,12,27
2013/05/06,3,12,27
2013/05/07,3,12,27
2013/05/08,3,12,27
2013/05/09,3,12,26
2013/05/10,3,12,26
2013/05/11,3,12,26
2013/05/12,4,12,25
2013/05/13,4,12,24
2013/05/14,4,11,23
2013/05/15,4,9,22
2013/05/16,3,9,22
2013/05/17,3,9,21
2013/05/18,2,8,19
2013/05/19,2,8,18
2013/05/20,1,8,17
2013/05/21,1,7,17
2013/05/22,1,7,16
2013/05/23,1,7,16
2013/05/24,2,7,16
2013/05/25,2,7,16
2013/05/26,2,7,16
2013/05/27,2,7,16
2013/05/28,2,7,16
2013/05/29,2,7,16
2013/05/30,2,7,16
2013/05/31,1,6,14
2013/06/01,2,6,14
2013/06/02,1,5,13
2013/06/03,1,5,13
2013/06/04,1,5,13
2013/06/05,1,5,14
2013/06/06,1,6,14
2013/06/07,1,6,13
2013/06/08,1,6,13
2013/06/09,1,5,13
2013/06/10,1,5,13
2013/06/11,1,5,14
2013/06/12,1,5,13
2013/06/13,1,5,13
2013/06/14,1,5,12
2013/06/15,1,5,14
2013/06/16,1,5,15
2013/06/17,1,5,14
2013/06/18,1,5,14
2013/06/19,1,6,16
2013/06/20,2,6,18
2013/06/21,2,6,19
2013/06/22,2,7,20
2013/06/23,1,7,20
2013/06/24,1,7,20
2013/06/25,1,6,20
2013/06/26,1,6,20
2013/06/27,1,6,20
2013/06/28,1,5,20
2013/06/29,1,5,20
2013/06/30,1,5,21
2013/07/01,1,5,21
2013/07/02,1,4,22
2013/07/03,1,4,22
2013/07/04,1,4,24
2013/07/05,1,4,23
2013/07/06,1,3,22
2013/07/07,1,3,22
2013/07/08,1,3,22
2013/07/09,1,3,24
2013/07/10,1,3,23
2013/07/11,1,3,22
2013/07/12,1,3,22
2013/07/13,1,3,22
2013/07/14,1,3,22
2013/07/15,1,3,20
2013/07/16,1,3,19
2013/07/17,1,4,19
2013/07/18,1,4,20
2013/07/19,1,4,16
2013/07/20,1,4,15
2013/07/21,1,3,13
2013/07/22,1,3,13
2013/07/23,,2,13
2013/07/24,,1,13
2013/07/25,,1,13
2013/07/26,,1,13
2013/07/27,,1,13
2013/07/28,,2,13
2013/07/29,,2,14
2013/07/30,,2,13
2013/07/31,,1,12
2013/08/01,,1,12
2013/08/02,,1,12
2013/08/03,,1,10
2013/08/04,,1,12
2013/08/05,,1,13
2013/08/06,,2,14
2013/08/07,,2,16
2013/08/08,,2,16
2013/08/09,,2,16
2013/08/10,,2,15
2013/08/11,,2,16
2013/08/12,,2,18
2013/08/13,,2,18
2013/08/14,,2,18
2013/08/15,,2,18
2013/08/16,,2,18
2013/08/17,,2,19
2013/08/18,,5,20
2013/08/19,,5,20
2013/08/20,,5,20
2013/08/21,,5,20
2013/08/22,,5,20
2013/08/23,,5,19
2013/08/24,,5,19
2013/08/25,,5,19
2013/08/26,,5,19
2013/08/27,,5,18
2013/08/28,,5,17
2013/08/29,,5,17
2013/08/30,,5,18
2013/08/31,1,5,17
2013/09/01,1,5,17
2013/09/02,1,6,17
2013/09/03,1,7,17
2013/09/04,1,7,16
2013/09/05,1,6,14
2013/09/06,1,6,12
2013/09/07,1,6,11
2013/09/08,1,6,11
2013/09/09,1,6,11
2013/09/10,1,6,10
2013/09/11,1,5,9
2013/09/12,1,5,9
2013/09/13,1,5,9
2013/09/14,1,5,9
2013/09/15,1,5,10
2013/09/16,1,5,9
2013/09/17,1,3,8
2013/09/18,1,3,7
2013/09/19,1,2,7
2013/09/20,1,2,7
2013/09/21,1,2,7
2013/09/22,1,2,6
2013/09/23,1,3,6
2013/09/24,1,3,6
2013/09/25,1,3,6
2013/09/26,1,3,6
2013/09/27,1,3,6
2013/09/28,1,3,7
2013/09/29,1,3,7
2013/09/30,1,3,7
2013/10/01,,3,7
2013/10/02,,3,7
2013/10/03,,2,7
2013/10/04,,3,7
2013/10/05,,3,8
2013/10/06,,3,8
2013/10/07,,3,8
2013/10/08,,3,8
2013/10/09,,3,8
2013/10/10,,3,8
2013/10/11,,3,8
2013/10/12,,3,8
2013/10/13,,3,8
2013/10/14,,3,8
2013/10/15,,3,8
2013/10/16,,4,9
2013/10/17,,4,9
2013/10/18,,4,11
2013/10/19,,5,12
2013/10/20,,5,12
2013/10/21,,5,12
2013/10/22,1,6,15
2013/10/23,1,6,16
2013/10/24,1,6,16
2013/10/25,1,8,18
2013/10/26,1,7,20
2013/10/27,1,7,21
2013/10/28,1,7,21
2013/10/29,1,8,23
2013/10/30,1,8,22
2013/10/31,1,8,22
2013/11/01,1,8,25
2013/11/02,1,8,26
2013/11/03,1,9,26
2013/11/04,1,9,26
2013/11/05,1,9,26
2013/11/06,1,9,26
2013/11/07,1,9,28
2013/11/08,1,9,28
2013/11/09,1,10,28
2013/11/10,1,10,28
2013/11/11,1,10,30
2013/11/12,1,10,31
2013/11/13,1,10,31
2013/11/14,1,10,31
2013/11/15,1,9,31
2013/11/16,1,10,32
2013/11/17,1,10,30
2013/11/18,1,9,30
2013/11/19,1,10,31
2013/11/20,1,11,31
2013/11/21,1,10,28
2013/11/22,1,10,26
2013/11/23,,10,26
2013/11/24,,9,26
2013/11/25,,9,23
2013/11/26,,9,22
2013/11/27,,9,21
2013/11/28,,8,20
2013/11/29,,8,20
2013/11/30,,8,20
2013/12/01,,7,19
2013/12/02,,7,18
2013/12/03,,7,17
2013/12/04,,7,19
2013/12/05,,7,19
2013/12/06,,7,20
2013/12/07,,7,18
2013/12/08,,6,18
2013/12/09,,5,17
2013/12/10,,5,18
2013/12/11,,5,16
2013/12/12,,5,16
2013/12/13,,4,15
2013/12/14,,4,14
2013/12/15,,4,14
2013/12/16,,3,14
2013/12/17,,3,14
2013/12/18,,3,14
2013/12/19,,3,15
2013/12/20,,2,13
2013/12/21,,3,13
2013/12/22,,3,13
2013/12/23,,3,12
2013/12/24,,3,12
2013/12/25,,3,12
2013/12/26,,3,12
2013/12/27,,3,13
2013/12/28,,3,11
2013/12/29,,3,11
2013/12/30,,3,12
2013/12/31,,4,13
2014/01/01,,4,13
2014/01/02,,3,12
2014/01/03,,2,12
2014/01/04,,2,12
2014/01/05,,3,13
2014/01/06,,3,12
2014/01/07,,3,12
2014/01/08,,3,11
2014/01/09,,3,10
2014/01/10,,3,10
2014/01/11,,3,10
2014/01/12,,2,10
2014/01/13,,3,10
2014/01/14,,5,11
2014/01/15,,5,13
2014/01/16,,5,13
2014/01/17,,5,13
2014/01/18,,4,12
2014/01/19,,4,12
2014/01/20,,3,12
2014/01/21,,4,15
2014/01/22,,4,15
2014/01/23,,4,15
2014/01/24,,5,18
2014/01/25,,6,20
2014/01/26,,6,19
2014/01/27,,7,19
2014/01/28,,7,20
2014/01/29,,7,20
2014/01/30,,7,20
2014/01/31,,7,22
2014/02/01,,7,22
2014/02/02,,7,21
2014/02/03,,7,22
2014/02/04,,9,24
2014/02/05,,10,25
2014/02/06,,10,26
2014/02/07,,10,27
2014/02/08,,10,27
2014/02/09,,10,26
2014/02/10,,10,27
2014/02/11,,10,28
2014/02/12,,10,27
2014/02/13,,8,26
2014/02/14,,8,25
2014/02/15,,8,24
2014/02/16,,8,24
2014/02/17,,8,25
2014/02/18,,8,26
2014/02/19,,8,29
2014/02/20,,8,28
2014/02/21,,8,29
2014/02/22,,8,29
2014/02/23,,6,27
2014/02/24,,5,24
2014/02/25,,6,25
2014/02/26,,7,26
2014/02/27,,6,25
2014/02/28,,6,24
2014/03/01,,7,26
2014/03/02,,7,25
2014/03/03,,7,25
2014/03/04,,7,25
2014/03/05,,6,23
2014/03/06,,5,21
2014/03/07,,5,20
2014/03/08,,5,20
2014/03/09,,5,19
2014/03/10,,5,19
2014/03/11,,5,19
2014/03/12,,5,18
2014/03/13,,5,18
2014/03/14,,5,18
2014/03/15,,5,18
2014/03/16,,5,19
2014/03/17,,5,20
2014/03/18,,5,20
2014/03/19,,5,19
2014/03/20,,5,19
2014/03/21,,5,17
2014/03/22,,5,17
2014/03/23,,5,16
2014/03/24,,5,16
2014/03/25,,5,17
2014/03/26,,5,18
2014/03/27,,5,17
2014/03/28,,4,16
2014/03/29,,4,16
2014/03/30,,4,15
2014/03/31,,3,12
2014/04/01,,3,12
2014/04/02,,3,13
2014/04/03,,3,14
2014/04/04,,3,14
2014/04/05,,2,13
2014/04/06,,2,14
2014/04/07,,1,13
2014/04/08,,1,14
2014/04/09,,1,14
2014/04/10,,1,14
2014/04/11,,1,15
2014/04/12,,1,15
2014/04/13,,,14
2014/04/14,,,15
2014/04/15,,,15
2014/04/16,,,16
2014/04/17,,,17
2014/04/18,,,17
2014/04/19,,,14
2014/04/20,,,13
2014/04/21,,,13
2014/04/22,,,13
2014/04/23,,,13
2014/04/24,,,14
2014/04/25,,,13
2014/04/26,,,15
2014/04/27,,1,17
2014/04/28,,1,17
2014/04/29,,1,17
2014/04/30,,1,19
2014/05/01,,1,19
2014/05/02,,2,18
2014/05/03,,2,18
2014/05/04,,2,19
2014/05/05,,2,20
2014/05/06,,2,19
2014/05/07,,2,20
2014/05/08,,1,20
2014/05/09,,1,20
2014/05/10,,1,20
2014/05/11,,2,20
2014/05/12,,2,19
2014/05/13,,2,19
2014/05/14,,2,18
2014/05/15,,2,18
2014/05/16,,2,16
2014/05/17,,3,15
2014/05/18,,3,15
2014/05/19,,4,15
2014/05/20,,4,16
2014/05/21,,4,16
2014/05/22,,4,19
2014/05/23,,4,19
2014/05/24,,3,18
2014/05/25,,3,19
2014/05/26,,3,18
2014/05/27,,3,16
2014/05/28,,3,16
2014/05/29,,3,16
2014/05/30,,3,16
2014/05/31,,3,15
2014/06/01,,4,15
2014/06/02,,4,15
2014/06/03,,4,14
2014/06/04,,3,13
2014/06/05,,3,13
2014/06/06,,3,12
2014/06/07,,3,12
2014/06/08,,3,13
2014/06/09,,3,13
2014/06/10,,2,12
2014/06/11,,2,13
2014/06/12,,2,13
2014/06/13,,2,13
2014/06/14,,2,13
2014/06/15,,2,13
2014/06/16,,2,13
2014/06/17,,2,14
2014/06/18,,1,14
2014/06/19,,1,13
2014/06/20,,1,13
2014/06/21,,1,10
2014/06/22,,1,10
2014/06/23,,1,10
2014/06/24,,1,10
2014/06/25,,1,10
2014/06/26,,1,9
2014/06/27,,1,9
2014/06/28,,1,10
2014/06/29,,,9
2014/06/30,,,9
2014/07/01,,,10
2014/07/02,,,9
2014/07/03,,,9
2014/07/04,,,10
2014/07/05,,,10
2014/07/06,,,10
2014/07/07,,,10
2014/07/08,,,9
2014/07/09,,,10
2014/07/10,,,10
2014/07/11,,,10
2014/07/12,,,10
2014/07/13,,,11
2014/07/14,,,12
2014/07/15,,,12
2014/07/16,,1,14
2014/07/17,,1,13
2014/07/18,,1,13
2014/07/19,,1,13
2014/07/20,,1,14
2014/07/21,,1,14
2014/07/22,,1,14
2014/07/23,,1,14
2014/07/24,,1,15
2014/07/25,,1,15
2014/07/26,,1,15
2014/07/27,,1,15
2014/07/28,,1,13
2014/07/29,,1,13
2014/07/30,,1,13
2014/07/31,,1,13
2014/08/01,,1,13
2014/08/02,,1,12
2014/08/03,,2,12
2014/08/04,,2,13
2014/08/05,,2,13
2014/08/06,,2,13
2014/08/07,,2,13
2014/08/08,,3,15
2014/08/09,,3,16
2014/08/10,,3,15
2014/08/11,,3,15
2014/08/12,,3,15
2014/08/13,,3,15
2014/08/14,,3,17
2014/08/15,,3,15
2014/08/16,,2,14
2014/08/17,,2,13
2014/08/18,,2,13
2014/08/19,,2,13
2014/08/20,,2,14
2014/08/21,,2,14
2014/08/22,,2,15
2014/08/23,,2,16
2014/08/24,,3,17
2014/08/25,,3,17
2014/08/26,,3,17
2014/08/27,,3,18
2014/08/28,,4,18
2014/08/29,,4,18
2014/08/30,,4,18
2014/08/31,,4,18
2014/09/01,,4,17
2014/09/02,,3,16
2014/09/03,,3,15
2014/09/04,,3,15
2014/09/05,,3,16
2014/09/06,,3,17
2014/09/07,,2,16
2014/09/08,,2,16
2014/09/09,,2,16
2014/09/10,,2,17
2014/09/11,,2,17
2014/09/12,,2,17
2014/09/13,,3,16
2014/09/14,,3,16
2014/09/15,,3,16
2014/09/16,,3,14
2014/09/17,,3,14
2014/09/18,,3,13
2014/09/19,,3,12
2014/09/20,,3,12
2014/09/21,,3,11
2014/09/22,,3,9
2014/09/23,,3,8
2014/09/24,,3,8
2014/09/25,,3,8
2014/09/26,,3,8
2014/09/27,,2,8
2014/09/28,,2,8
2014/09/29,,2,8
2014/09/30,,2,9
2014/10/01,,3,11
2014/10/02,,3,12
2014/10/03,,3,12
2014/10/04,,3,12
2014/10/05,,3,10
2014/10/06,,3,9
2014/10/07,,3,9
2014/10/08,,3,9
2014/10/09,,3,9
2014/10/10,,3,8
2014/10/11,,3,8
2014/10/12,,3,8
2014/10/13,,2,9
2014/10/14,,2,9
2014/10/15,,2,9
2014/10/16,,2,9
2014/10/17,,2,9
2014/10/18,,2,9
2014/10/19,,2,9
2014/10/20,,2,10
2014/10/21,,2,10
2014/10/22,,3,11
2014/10/23,,3,11
2014/10/24,,3,11
