date,bowiki (100+),bowiki (5+),bowiki (all)
2013/04/18,,7,37
2013/04/19,,7,39
2013/04/20,,7,40
2013/04/21,,7,39
2013/04/22,,7,39
2013/04/23,,7,39
2013/04/24,,6,39
2013/04/25,,6,39
2013/04/26,,6,37
2013/04/27,,6,37
2013/04/28,,6,37
2013/04/29,,7,38
2013/04/30,,6,37
2013/05/01,,6,37
2013/05/02,,6,35
2013/05/03,,5,32
2013/05/04,,5,33
2013/05/05,,5,34
2013/05/06,,5,33
2013/05/07,,5,34
2013/05/08,,5,34
2013/05/09,,5,34
2013/05/10,,5,34
2013/05/11,,5,35
2013/05/12,,5,33
2013/05/13,,5,32
2013/05/14,,5,32
2013/05/15,,4,31
2013/05/16,,4,30
2013/05/17,,4,28
2013/05/18,,4,28
2013/05/19,,4,25
2013/05/20,,4,24
2013/05/21,,4,25
2013/05/22,,4,23
2013/05/23,,4,23
2013/05/24,,4,20
2013/05/25,,2,20
2013/05/26,,1,19
2013/05/27,,1,20
2013/05/28,,2,22
2013/05/29,,1,20
2013/05/30,,2,20
2013/05/31,,2,20
2013/06/01,,3,20
2013/06/02,,3,21
2013/06/03,,2,20
2013/06/04,,2,18
2013/06/05,,1,19
2013/06/06,,1,19
2013/06/07,,1,19
2013/06/08,,1,18
2013/06/09,,2,16
2013/06/10,,2,17
2013/06/11,,2,17
2013/06/12,,2,18
2013/06/13,,3,18
2013/06/14,,3,17
2013/06/15,,3,19
2013/06/16,,3,20
2013/06/17,,3,20
2013/06/18,,2,21
2013/06/19,,2,21
2013/06/20,,2,21
2013/06/21,,2,21
2013/06/22,,2,21
2013/06/23,,2,23
2013/06/24,,2,24
2013/06/25,,2,25
2013/06/26,,2,23
2013/06/27,,2,21
2013/06/28,,2,21
2013/06/29,,1,20
2013/06/30,,1,20
2013/07/01,,1,21
2013/07/02,,1,20
2013/07/03,,2,21
2013/07/04,,2,21
2013/07/05,,1,20
2013/07/06,,1,20
2013/07/07,,1,20
2013/07/08,,1,21
2013/07/09,,1,20
2013/07/10,,1,18
2013/07/11,,1,19
2013/07/12,,1,19
2013/07/13,,1,19
2013/07/14,,1,20
2013/07/15,,1,19
2013/07/16,,1,18
2013/07/17,,1,18
2013/07/18,,1,18
2013/07/19,,1,19
2013/07/20,,1,18
2013/07/21,,1,18
2013/07/22,,1,18
2013/07/23,,1,17
2013/07/24,,1,17
2013/07/25,,1,16
2013/07/26,,1,16
2013/07/27,,1,17
2013/07/28,,1,17
2013/07/29,,1,17
2013/07/30,,1,17
2013/07/31,,3,16
2013/08/01,,3,16
2013/08/02,,3,15
2013/08/03,,4,17
2013/08/04,,4,16
2013/08/05,,4,17
2013/08/06,,4,16
2013/08/07,,4,15
2013/08/08,,4,15
2013/08/09,,4,16
2013/08/10,,5,18
2013/08/11,,5,19
2013/08/12,,5,19
2013/08/13,,5,18
2013/08/14,,5,18
2013/08/15,,6,18
2013/08/16,,5,18
2013/08/17,,5,18
2013/08/18,,6,17
2013/08/19,,6,17
2013/08/20,,7,16
2013/08/21,,7,16
2013/08/22,,7,17
2013/08/23,,7,17
2013/08/24,,7,17
2013/08/25,,7,17
2013/08/26,,7,17
2013/08/27,,7,18
2013/08/28,,7,19
2013/08/29,,8,20
2013/08/30,,7,19
2013/08/31,,7,19
2013/09/01,,7,19
2013/09/02,,7,18
2013/09/03,,7,19
2013/09/04,,7,18
2013/09/05,,6,19
2013/09/06,,6,19
2013/09/07,,6,18
2013/09/08,,6,17
2013/09/09,,5,15
2013/09/10,,4,13
2013/09/11,,4,12
2013/09/12,,4,12
2013/09/13,,4,14
2013/09/14,,3,15
2013/09/15,,3,15
2013/09/16,,3,15
2013/09/17,,3,15
2013/09/18,,3,15
2013/09/19,,2,15
2013/09/20,,1,17
2013/09/21,,1,16
2013/09/22,,1,18
2013/09/23,,1,18
2013/09/24,,1,18
2013/09/25,,1,18
2013/09/26,,1,18
2013/09/27,,1,17
2013/09/28,,1,17
2013/09/29,,1,17
2013/09/30,,1,18
2013/10/01,,1,18
2013/10/02,,1,19
2013/10/03,,,18
2013/10/04,,,17
2013/10/05,,,17
2013/10/06,,,16
2013/10/07,,,19
2013/10/08,,,19
2013/10/09,,,18
2013/10/10,,,19
2013/10/11,,1,20
2013/10/12,,1,20
2013/10/13,,2,18
2013/10/14,,1,17
2013/10/15,,1,17
2013/10/16,,1,17
2013/10/17,,1,18
2013/10/18,,2,19
2013/10/19,,3,18
2013/10/20,,3,19
2013/10/21,,3,19
2013/10/22,,3,17
2013/10/23,,3,16
2013/10/24,,3,16
2013/10/25,,2,15
2013/10/26,,2,16
2013/10/27,,2,16
2013/10/28,,2,17
2013/10/29,,2,19
2013/10/30,,2,19
2013/10/31,,2,19
2013/11/01,,2,20
2013/11/02,,2,20
2013/11/03,,2,20
2013/11/04,,2,22
2013/11/05,,2,23
2013/11/06,,2,21
2013/11/07,,3,21
2013/11/08,,3,22
2013/11/09,,3,22
2013/11/10,,2,20
2013/11/11,,2,22
2013/11/12,,2,22
2013/11/13,,2,22
2013/11/14,,2,23
2013/11/15,,2,23
2013/11/16,,2,22
2013/11/17,,2,21
2013/11/18,,2,21
2013/11/19,,3,19
2013/11/20,,3,19
2013/11/21,,3,19
2013/11/22,,3,19
2013/11/23,,3,19
2013/11/24,,4,20
2013/11/25,,4,20
2013/11/26,,4,20
2013/11/27,,5,21
2013/11/28,,6,20
2013/11/29,,5,18
2013/11/30,,5,18
2013/12/01,,6,18
2013/12/02,,6,18
2013/12/03,,6,21
2013/12/04,,6,22
2013/12/05,,6,20
2013/12/06,,6,20
2013/12/07,,6,19
2013/12/08,,7,19
2013/12/09,,7,19
2013/12/10,,7,19
2013/12/11,,5,18
2013/12/12,1,5,17
2013/12/13,1,4,18
2013/12/14,1,4,18
2013/12/15,1,4,18
2013/12/16,1,4,19
2013/12/17,1,4,21
2013/12/18,1,4,21
2013/12/19,1,4,20
2013/12/20,1,4,20
2013/12/21,1,4,21
2013/12/22,1,4,21
2013/12/23,1,4,21
2013/12/24,,4,22
2013/12/25,,4,21
2013/12/26,,4,23
2013/12/27,,3,22
2013/12/28,,2,21
2013/12/29,,2,22
2013/12/30,,2,23
2013/12/31,,2,21
2014/01/01,,2,21
2014/01/02,,2,18
2014/01/03,,2,17
2014/01/04,,2,18
2014/01/05,,1,18
2014/01/06,,1,18
2014/01/07,,1,17
2014/01/08,,1,19
2014/01/09,,1,19
2014/01/10,,3,20
2014/01/11,,4,20
2014/01/12,,4,20
2014/01/13,,4,20
2014/01/14,,3,21
2014/01/15,,3,20
2014/01/16,,4,21
2014/01/17,,4,21
2014/01/18,,4,23
2014/01/19,,4,23
2014/01/20,,4,23
2014/01/21,,4,24
2014/01/22,,4,24
2014/01/23,,4,23
2014/01/24,,4,25
2014/01/25,,4,23
2014/01/26,,4,24
2014/01/27,,4,24
2014/01/28,,4,24
2014/01/29,1,4,23
2014/01/30,1,4,23
2014/01/31,1,4,23
2014/02/01,1,4,24
2014/02/02,1,4,24
2014/02/03,1,4,24
2014/02/04,1,4,25
2014/02/05,1,4,24
2014/02/06,1,4,24
2014/02/07,1,4,25
2014/02/08,1,4,25
2014/02/09,1,5,26
2014/02/10,1,4,26
2014/02/11,1,4,25
2014/02/12,1,4,25
2014/02/13,1,4,26
2014/02/14,1,4,26
2014/02/15,,3,23
2014/02/16,,3,23
2014/02/17,,4,22
2014/02/18,,4,22
2014/02/19,,5,21
2014/02/20,,5,20
2014/02/21,,5,20
2014/02/22,,5,19
2014/02/23,,4,17
2014/02/24,,4,18
2014/02/25,,4,18
2014/02/26,,5,18
2014/02/27,,4,18
2014/02/28,,4,19
2014/03/01,,4,19
2014/03/02,,4,19
2014/03/03,,4,21
2014/03/04,,4,21
2014/03/05,,5,24
2014/03/06,,4,25
2014/03/07,,5,25
2014/03/08,,5,27
2014/03/09,,5,28
2014/03/10,,5,28
2014/03/11,,4,26
2014/03/12,,4,27
2014/03/13,,4,27
2014/03/14,,4,28
2014/03/15,,3,30
2014/03/16,,3,30
2014/03/17,,3,30
2014/03/18,,3,30
2014/03/19,,2,31
2014/03/20,,2,31
2014/03/21,,2,31
2014/03/22,,1,30
2014/03/23,,1,29
2014/03/24,,1,29
2014/03/25,,1,29
2014/03/26,,1,31
2014/03/27,,1,31
2014/03/28,,1,32
2014/03/29,,1,32
2014/03/30,,1,31
2014/03/31,,1,32
2014/04/01,,1,32
2014/04/02,,1,30
2014/04/03,,1,32
2014/04/04,,1,29
2014/04/05,,1,29
2014/04/06,,1,29
2014/04/07,,1,28
2014/04/08,,1,27
2014/04/09,,1,28
2014/04/10,,1,28
2014/04/11,,1,27
2014/04/12,,1,27
2014/04/13,,1,26
2014/04/14,,1,23
2014/04/15,,1,23
2014/04/16,,1,25
2014/04/17,,1,26
2014/04/18,,1,24
2014/04/19,,1,24
2014/04/20,,1,24
2014/04/21,,1,24
2014/04/22,,1,24
2014/04/23,,1,23
2014/04/24,,1,23
2014/04/25,,1,22
2014/04/26,,1,21
2014/04/27,,1,23
2014/04/28,,1,23
2014/04/29,,1,24
2014/04/30,,1,22
2014/05/01,,1,20
2014/05/02,,,20
2014/05/03,,,19
2014/05/04,,,18
2014/05/05,,,18
2014/05/06,,,17
2014/05/07,,1,16
2014/05/08,,1,17
2014/05/09,,1,15
2014/05/10,,1,15
2014/05/11,,1,15
2014/05/12,,1,15
2014/05/13,,1,15
2014/05/14,,1,15
2014/05/15,,1,15
2014/05/16,,2,16
2014/05/17,,2,15
2014/05/18,,2,15
2014/05/19,,2,13
2014/05/20,,2,14
2014/05/21,,2,16
2014/05/22,,3,16
2014/05/23,,4,17
2014/05/24,,4,18
2014/05/25,1,4,20
2014/05/26,1,4,19
2014/05/27,1,4,16
2014/05/28,1,4,18
2014/05/29,1,4,17
2014/05/30,1,4,18
2014/05/31,1,4,19
2014/06/01,1,4,20
2014/06/02,1,4,19
2014/06/03,1,4,20
2014/06/04,1,4,20
2014/06/05,1,4,22
2014/06/06,1,4,21
2014/06/07,1,4,19
2014/06/08,1,4,19
2014/06/09,1,4,20
2014/06/10,1,4,21
2014/06/11,1,4,21
2014/06/12,1,4,21
2014/06/13,1,4,21
2014/06/14,1,4,21
2014/06/15,1,3,23
2014/06/16,1,4,24
2014/06/17,1,4,24
2014/06/18,1,4,24
2014/06/19,1,4,24
2014/06/20,1,4,21
2014/06/21,1,3,23
2014/06/22,1,3,24
2014/06/23,,3,23
2014/06/24,,3,23
2014/06/25,,2,25
2014/06/26,,2,24
2014/06/27,,2,23
2014/06/28,,2,23
2014/06/29,,2,23
2014/06/30,,2,22
2014/07/01,,2,21
2014/07/02,,2,21
2014/07/03,,2,20
2014/07/04,,2,20
2014/07/05,,3,18
2014/07/06,,3,18
2014/07/07,,3,18
2014/07/08,,3,19
2014/07/09,,4,19
2014/07/10,,4,18
2014/07/11,,4,18
2014/07/12,,4,19
2014/07/13,,4,19
2014/07/14,,4,21
2014/07/15,,4,21
2014/07/16,,3,23
2014/07/17,,3,23
2014/07/18,,3,23
2014/07/19,,3,22
2014/07/20,,3,23
2014/07/21,,3,22
2014/07/22,,3,21
2014/07/23,,3,21
2014/07/24,,4,21
2014/07/25,,4,19
2014/07/26,,4,19
2014/07/27,,4,19
2014/07/28,,4,18
2014/07/29,,3,18
2014/07/30,,3,19
2014/07/31,,3,19
2014/08/01,,4,19
2014/08/02,,4,19
2014/08/03,,4,19
2014/08/04,,3,22
2014/08/05,,3,22
2014/08/06,,3,22
2014/08/07,,3,21
2014/08/08,,2,21
2014/08/09,,2,22
2014/08/10,,2,22
2014/08/11,,2,21
2014/08/12,,2,20
2014/08/13,,2,21
2014/08/14,,2,23
2014/08/15,,2,24
2014/08/16,,3,24
2014/08/17,,3,24
2014/08/18,,3,24
2014/08/19,,3,23
2014/08/20,,3,24
2014/08/21,,3,24
2014/08/22,,3,24
2014/08/23,,3,24
2014/08/24,,3,24
2014/08/25,,3,24
2014/08/26,,3,24
2014/08/27,,2,24
2014/08/28,,2,23
2014/08/29,,2,23
2014/08/30,,2,22
2014/08/31,,2,24
2014/09/01,,2,24
2014/09/02,,3,24
2014/09/03,,3,23
2014/09/04,,3,20
2014/09/05,,3,21
2014/09/06,,3,21
2014/09/07,,3,20
2014/09/08,,3,20
2014/09/09,,3,20
2014/09/10,,3,20
2014/09/11,,3,20
2014/09/12,,3,19
2014/09/13,,2,17
2014/09/14,,2,16
2014/09/15,,2,15
2014/09/16,,3,15
2014/09/17,,3,15
2014/09/18,,3,15
2014/09/19,,3,14
2014/09/20,,3,14
2014/09/21,,3,13
2014/09/22,,3,14
2014/09/23,,4,14
2014/09/24,,4,14
2014/09/25,,3,14
2014/09/26,,3,15
2014/09/27,,3,14
2014/09/28,,3,15
2014/09/29,,4,16
2014/09/30,,4,14
2014/10/01,,4,15
2014/10/02,,3,16
2014/10/03,,3,15
2014/10/04,,2,16
2014/10/05,,2,17
2014/10/06,,2,17
