date,snwiki (100+),snwiki (5+),snwiki (all)
2015/09/27,,2,9
2015/09/28,,2,8
2015/09/29,,2,8
2015/09/30,,2,8
2015/10/01,,2,8
2015/10/02,,2,7
2015/10/03,,2,8
2015/10/04,,3,9
2015/10/05,1,4,9
2015/10/06,1,4,9
2015/10/07,1,4,9
2015/10/08,1,4,9
2015/10/09,1,4,9
2015/10/10,1,4,9
2015/10/11,1,4,9
2015/10/12,1,4,9
2015/10/13,1,4,9
2015/10/14,1,4,8
2015/10/15,1,4,9
2015/10/16,1,4,9
2015/10/17,1,4,8
2015/10/18,1,4,8
2015/10/19,1,5,10
2015/10/20,1,5,11
2015/10/21,1,5,11
2015/10/22,1,5,11
2015/10/23,1,5,11
2015/10/24,1,5,11
2015/10/25,1,5,11
2015/10/26,1,5,11
2015/10/27,1,4,10
2015/10/28,1,4,10
2015/10/29,1,4,10
2015/10/30,1,4,10
2015/10/31,1,4,10
2015/11/01,1,5,11
2015/11/02,1,5,10
2015/11/03,1,5,11
2015/11/04,1,4,10
2015/11/05,1,3,10
2015/11/06,1,4,11
2015/11/07,1,4,11
2015/11/08,1,4,11
2015/11/09,1,4,11
2015/11/10,1,4,12
2015/11/11,1,4,12
2015/11/12,1,4,13
2015/11/13,1,5,13
2015/11/14,1,5,12
2015/11/15,1,6,13
2015/11/16,1,7,13
2015/11/17,1,7,13
2015/11/18,1,6,12
2015/11/19,1,6,12
2015/11/20,1,6,11
2015/11/21,1,6,11
2015/11/22,1,6,11
2015/11/23,1,6,11
2015/11/24,1,6,11
2015/11/25,1,6,11
2015/11/26,1,6,11
2015/11/27,1,6,11
2015/11/28,1,6,11
2015/11/29,1,7,12
2015/11/30,1,7,12
2015/12/01,1,7,12
2015/12/02,1,7,12
2015/12/03,1,7,11
2015/12/04,1,7,12
2015/12/05,1,7,11
2015/12/06,1,7,12
2015/12/07,1,7,12
2015/12/08,1,7,12
2015/12/09,1,7,12
2015/12/10,1,7,11
2015/12/11,1,7,11
2015/12/12,1,7,11
2015/12/13,1,6,10
2015/12/14,1,6,10
2015/12/15,1,6,10
2015/12/16,1,6,10
2015/12/17,1,6,10
2016/01/18,1,3,5
2016/01/19,1,3,5
2016/01/20,1,3,5
2016/01/21,1,3,5
2016/01/22,1,3,6
2016/01/23,1,3,6
2016/01/24,,3,7
2016/01/25,,3,7
2016/01/26,,3,8
2016/01/27,,2,8
2016/01/28,,4,9
2016/01/29,,4,9
2016/01/30,,4,9
2016/01/31,,3,7
2016/02/01,,3,7
2016/02/02,,3,7
2016/02/03,,3,6
2016/02/04,,3,6
2016/02/05,,4,7
2016/02/06,,4,7
2016/02/07,,4,7
2016/02/08,,4,7
2016/02/09,,4,7
2016/02/10,,4,7
2016/02/11,,4,7
2016/02/12,,4,7
2016/02/13,,4,7
2016/02/14,,4,7
2016/02/15,,4,7
2016/02/16,,4,7
2016/02/17,,4,7
2016/02/18,,3,7
2016/02/19,,3,7
2016/02/20,,3,7
2016/02/21,,3,6
2016/02/22,,3,6
2016/02/23,,3,6
2016/02/24,,3,6
2016/02/25,,3,5
2016/02/26,,3,5
2016/02/27,,2,2
2016/02/28,,2,2
2016/02/29,,3,3
2016/03/01,,3,3
2016/03/02,,3,3
2016/03/03,,3,3
2016/03/04,,2,2
2016/03/05,,2,2
2016/03/06,,2,2
2016/03/07,,1,2
2016/03/08,,1,2
2016/03/09,,1,2
2016/03/10,,1,2
2016/03/11,,1,2
2016/03/12,,1,2
2016/03/13,,1,2
2016/03/14,,1,2
2016/03/15,,1,3
2016/03/16,,1,4
2016/03/17,,1,4
2016/03/18,,1,4
2016/03/19,,1,5
2016/03/20,,1,5
2016/03/21,,1,5
2016/03/22,,1,6
2016/03/23,,1,6
2016/03/24,,1,6
2016/03/25,,1,6
2016/03/26,,1,6
2016/03/27,,1,6
2016/03/28,,1,7
2016/03/29,,1,7
2016/03/30,,,6
2016/03/31,,,6
2016/04/01,,,7
2016/04/02,,,7
2016/04/03,,,7
2016/04/04,,,7
2016/04/05,,,7
2016/04/06,,1,7
2016/04/07,,1,7
2016/04/08,,1,7
2016/04/09,,1,7
2016/04/10,,1,8
2016/04/11,,1,9
2016/04/12,,1,9
2016/04/13,,1,9
2016/04/14,,1,8
2016/04/15,,1,7
2016/04/16,,1,7
2016/04/17,,1,7
2016/04/18,,1,7
2016/04/19,,1,7
2016/04/20,,1,7
2016/04/21,,1,6
2016/04/22,,1,6
2016/04/23,,1,6
2016/04/24,,2,7
2016/04/25,,2,7
2016/04/26,,2,7
2016/04/27,,2,6
2016/04/28,,4,8
2016/04/29,,4,8
2016/04/30,,4,8
2016/05/01,,4,6
2016/05/02,,4,6
2016/05/03,,4,6
2016/05/04,,4,8
2016/05/05,,4,9
2016/05/06,,4,9
2016/05/07,,4,9
2016/05/08,,4,9
2016/05/09,,4,9
2016/05/10,,4,9
2016/05/11,,4,8
2016/05/12,,4,9
2016/05/13,,4,9
2016/05/14,,4,9
2016/05/15,,4,9
2016/05/16,,3,9
2016/05/17,,3,9
2016/05/18,,3,9
2016/05/19,,3,8
2016/05/20,,3,8
2016/05/21,,3,8
2016/05/22,,3,9
2016/05/23,,3,9
2016/05/24,,3,8
2016/05/25,,3,8
2016/05/26,,3,9
2016/05/27,,3,9
2016/05/28,,2,8
2016/05/29,1,2,8
2016/05/30,1,2,8
2016/05/31,1,2,8
2016/06/01,1,2,8
2016/06/02,1,2,8
2016/06/03,1,2,7
2016/06/04,1,2,6
2016/06/05,1,2,6
2016/06/06,1,2,6
2016/06/07,1,2,8
2016/06/08,1,2,8
2016/06/09,1,2,8
2016/06/10,1,2,9
2016/06/11,1,2,8
2016/06/12,1,2,8
2016/06/13,1,2,9
2016/06/14,1,2,9
2016/06/15,1,2,9
2016/06/16,1,2,9
2016/06/17,1,2,9
2016/06/18,1,2,9
2016/06/19,1,2,10
2016/06/20,1,2,10
2016/06/21,,2,9
2016/06/22,,2,9
2016/06/23,,2,9
2016/06/24,,2,10
2016/06/25,,2,8
2016/06/26,,2,8
2016/06/27,,2,8
2016/06/28,,2,8
2016/06/29,,2,8
2016/06/30,,2,8
2016/07/01,,2,9
2016/07/02,,2,9
2016/07/03,,2,8
2016/07/04,,2,8
2016/07/05,,2,8
2016/07/06,,2,8
2016/07/07,,2,6
2016/07/08,,2,6
2016/07/09,,2,6
2016/07/10,1,2,7
2016/07/11,1,2,7
2016/07/12,1,2,7
2016/07/13,1,2,6
2016/07/14,1,2,6
2016/07/15,1,2,6
2016/07/16,1,2,6
2016/07/17,1,2,6
2016/07/18,1,2,6
2016/07/19,1,2,5
2016/07/20,1,2,5
2016/07/21,1,2,5
2016/07/22,1,2,5
2016/07/23,1,2,6
2016/07/24,1,2,6
2016/07/25,1,2,6
2016/07/26,1,2,6
2016/07/27,1,2,6
2016/07/28,1,2,8
2016/07/29,1,2,8
2016/07/30,1,2,9
2016/07/31,1,2,8
2016/08/01,1,2,8
2016/08/02,1,2,8
2016/08/03,1,2,8
2016/08/04,1,2,8
2016/08/05,1,2,9
2016/08/06,1,2,9
2016/08/07,1,3,10
2016/08/08,1,3,11
2016/08/09,1,3,10
2016/08/10,1,3,10
2016/08/11,1,3,10
2016/08/12,1,3,10
2016/08/13,1,4,11
2016/08/14,1,4,11
2016/08/15,1,4,11
2016/08/16,1,4,11
2016/08/17,1,4,10
2016/08/18,1,4,11
2016/08/19,1,4,11
2016/08/20,1,4,11
2016/08/21,1,4,11
2016/08/22,1,4,10
2016/08/23,1,4,10
2016/08/24,1,4,10
2016/08/25,1,4,11
2016/08/26,1,4,11
2016/08/27,1,4,11
2016/08/28,1,4,11
2016/08/29,1,4,11
2016/08/30,1,4,12
2016/08/31,1,4,12
2016/09/01,1,4,12
2016/09/02,1,4,12
2016/09/03,1,4,13
2016/09/04,1,4,12
2016/09/05,1,4,12
2016/09/06,1,3,11
2016/09/07,1,3,10
2016/09/08,1,3,10
2016/09/09,1,3,10
2016/09/10,1,3,10
2016/09/11,1,3,11
2016/09/12,1,3,11
2016/09/13,1,2,10
2016/09/14,1,2,10
2016/09/15,1,2,10
2016/09/16,1,2,10
2016/09/17,1,2,8
2016/09/18,1,2,8
2016/09/19,1,2,8
2016/09/20,1,2,8
2016/09/21,1,2,9
2016/09/22,1,2,10
2016/09/23,1,2,10
2016/09/24,1,2,9
2016/09/25,1,2,9
2016/09/26,1,2,9
2016/09/27,1,2,10
2016/09/28,1,2,9
2016/09/29,1,2,8
2016/09/30,1,2,9
2016/10/01,1,3,10
2016/10/02,1,3,11
2016/10/03,1,3,10
2016/10/04,1,3,10
2016/10/05,1,3,11
2016/10/06,1,3,11
2016/10/07,1,3,11
2016/10/08,1,3,11
2016/10/09,1,3,11
2016/10/10,1,3,11
2016/10/11,1,4,11
2016/10/12,1,4,11
2016/10/13,1,4,12
2016/10/14,1,5,12
2016/10/15,1,4,12
2016/10/16,1,4,12
2016/10/17,1,4,12
2016/10/18,1,4,12
2016/10/19,1,4,12
2016/10/20,1,4,12
2016/10/21,1,4,11
2016/10/22,1,4,10
2016/10/23,1,4,10
2016/10/24,1,4,10
2016/10/25,1,4,10
2016/10/26,1,4,10
2016/10/27,1,4,9
2016/10/28,1,5,11
2016/10/29,1,4,9
2016/10/30,1,4,8
2016/10/31,1,4,8
2016/11/01,1,4,7
2016/11/02,1,4,7
2016/11/03,1,4,7
2016/11/04,1,4,6
2016/11/05,1,4,6
2016/11/06,1,4,6
2016/11/07,1,3,5
2016/11/08,1,3,5
2016/11/09,1,3,5
2016/11/10,1,2,4
2016/11/11,1,2,7
2016/11/12,1,2,6
2016/11/13,1,2,6
2016/11/14,1,2,6
2016/11/15,1,2,6
2016/11/16,1,3,7
2016/11/17,1,3,7
2016/11/18,1,3,7
2016/11/19,1,3,7
2016/11/20,1,3,7
2016/11/21,1,3,7
2016/11/22,1,3,7
2016/11/23,1,3,7
2016/11/24,1,3,7
2016/11/25,1,3,7
2016/11/26,1,3,7
2016/11/27,1,4,7
2016/11/28,1,4,7
2016/11/29,1,4,7
2016/11/30,1,4,7
2016/12/01,1,4,7
2016/12/02,1,4,8
2016/12/03,1,4,8
2016/12/04,1,4,8
2016/12/05,1,3,8
2016/12/06,1,3,8
2016/12/07,1,3,8
2016/12/08,1,3,9
