date,lawiki (100+),lawiki (5+),lawiki (all)
2013/09/21,15,69,182
2013/09/22,15,66,179
2013/09/23,14,65,182
2013/09/24,13,64,182
2013/09/25,14,61,178
2013/09/26,15,59,175
2013/09/27,16,61,174
2013/09/28,14,61,170
2013/09/29,14,61,172
2013/09/30,13,63,175
2013/10/01,15,64,175
2013/10/02,14,62,176
2013/10/03,14,62,175
2013/10/04,13,61,175
2013/10/05,14,60,176
2013/10/06,14,59,180
2013/10/07,14,58,181
2013/10/08,14,59,186
2013/10/09,14,61,186
2013/10/10,14,61,185
2013/10/11,14,60,186
2013/10/12,14,61,189
2013/10/13,15,60,188
2013/10/14,15,60,186
2013/10/15,15,59,182
2013/10/16,15,56,179
2013/10/17,15,55,176
2013/10/18,15,55,177
2013/10/19,15,58,181
2013/10/20,15,58,182
2013/10/21,14,58,184
2013/10/22,15,59,184
2013/10/23,15,59,183
2013/10/24,14,58,183
2013/10/25,14,58,182
2013/10/26,15,58,183
2013/10/27,15,58,184
2013/10/28,16,57,185
2013/10/29,17,59,186
2013/10/30,17,61,187
2013/10/31,16,62,186
2013/11/01,16,60,187
2013/11/02,15,60,188
2013/11/03,15,59,189
2013/11/04,15,59,188
2013/11/05,16,60,188
2013/11/06,16,59,187
2013/11/07,16,59,181
2013/11/08,16,56,181
2013/11/09,16,56,185
2013/11/10,16,56,185
2013/11/11,17,56,189
2013/11/12,18,56,190
2013/11/13,19,56,186
2013/11/14,19,57,186
2013/11/15,19,58,185
2013/11/16,19,60,185
2013/11/17,19,63,189
2013/11/18,19,64,189
2013/11/19,19,63,189
2013/11/20,19,62,194
2013/11/21,19,64,193
2013/11/22,20,64,197
2013/11/23,19,63,199
2013/11/24,19,63,202
2013/11/25,20,64,205
2013/11/26,20,65,203
2013/11/27,20,64,205
2013/11/28,20,61,198
2013/11/29,19,60,197
2013/11/30,19,61,203
2013/12/01,18,61,198
2013/12/02,17,59,199
2013/12/03,17,59,193
2013/12/04,17,60,189
2013/12/05,17,61,190
2013/12/06,16,61,192
2013/12/07,16,59,193
2013/12/08,16,57,191
2013/12/09,14,55,186
2013/12/10,14,56,192
2013/12/11,14,54,189
2013/12/12,14,54,188
2013/12/13,14,55,191
2013/12/14,15,53,191
2013/12/15,15,51,191
2013/12/16,15,51,188
2013/12/17,15,53,185
2013/12/18,15,52,184
2013/12/19,15,50,182
2013/12/20,15,50,176
2013/12/21,15,52,179
2013/12/22,15,54,180
2013/12/23,14,54,174
2013/12/24,14,56,175
2013/12/25,14,54,170
2013/12/26,14,54,170
2013/12/27,14,52,170
2013/12/28,14,54,170
2013/12/29,14,55,169
2013/12/30,15,57,169
2013/12/31,14,57,172
2014/01/01,15,58,171
2014/01/02,16,59,177
2014/01/03,15,60,181
2014/01/04,15,58,182
2014/01/05,14,59,181
2014/01/06,14,61,181
2014/01/07,17,61,184
2014/01/08,17,63,185
2014/01/09,18,62,177
2014/01/10,18,64,176
2014/01/11,18,63,166
2014/01/12,18,63,162
2014/01/13,18,62,161
2014/01/14,18,63,163
2014/01/15,18,63,164
2014/01/16,18,63,162
2014/01/17,18,65,165
2014/01/18,18,67,168
2014/01/19,16,68,169
2014/01/20,16,67,168
2014/01/21,16,65,171
2014/01/22,16,65,174
2014/01/23,15,65,165
2014/01/24,16,65,167
2014/01/25,17,65,167
2014/01/26,15,66,175
2014/01/27,15,66,182
2014/01/28,15,67,184
2014/01/29,15,68,186
2014/01/30,15,66,187
2014/01/31,14,66,189
2014/02/01,14,64,187
2014/02/02,15,63,184
2014/02/03,15,62,182
2014/02/04,15,61,181
2014/02/05,15,60,181
2014/02/06,15,57,180
2014/02/07,14,56,176
2014/02/08,13,57,177
2014/02/09,13,56,177
2014/02/10,13,57,180
2014/02/11,13,53,179
2014/02/12,13,53,178
2014/02/13,13,53,175
2014/02/14,13,55,179
2014/02/15,13,52,177
2014/02/16,13,51,173
2014/02/17,14,51,174
2014/02/18,14,52,175
2014/02/19,14,51,175
2014/02/20,14,50,173
2014/02/21,14,52,173
2014/02/22,14,53,174
2014/02/23,14,52,173
2014/02/24,14,51,174
2014/02/25,13,52,170
2014/02/26,14,52,167
2014/02/27,14,49,162
2014/02/28,13,48,159
2014/03/01,13,49,164
2014/03/02,13,52,163
2014/03/03,13,51,165
2014/03/04,14,52,168
2014/03/05,14,53,171
2014/03/06,14,55,175
2014/03/07,14,56,179
2014/03/08,14,59,183
2014/03/09,14,56,185
2014/03/10,13,56,184
2014/03/11,13,58,187
2014/03/12,12,58,189
