date,mrwiki (100+),mrwiki (5+),mrwiki (all)
2013/10/17,6,35,102
2013/10/18,6,35,100
2013/10/19,6,35,101
2013/10/20,6,35,98
2013/10/21,6,34,97
2013/10/22,6,34,98
2013/10/23,6,32,97
2013/10/24,7,32,98
2013/10/25,7,32,103
2013/10/26,6,30,103
2013/10/27,5,29,103
2013/10/28,6,27,100
2013/10/29,6,28,99
2013/10/30,6,28,94
2013/10/31,7,27,93
2013/11/01,6,29,94
2013/11/02,6,28,93
2013/11/03,6,28,93
2013/11/04,6,30,94
2013/11/05,6,28,97
2013/11/06,6,28,96
2013/11/07,6,27,96
2013/11/08,6,26,98
2013/11/09,6,27,98
2013/11/10,6,27,100
2013/11/11,6,27,100
2013/11/12,6,30,97
2013/11/13,6,30,96
2013/11/14,6,29,96
2013/11/15,6,27,94
2013/11/16,6,27,92
2013/11/17,6,27,92
2013/11/18,6,27,90
2013/11/19,6,27,95
2013/11/20,6,27,90
2013/11/21,7,27,91
2013/11/22,8,27,93
2013/11/23,8,27,94
2013/11/24,8,27,91
2013/11/25,8,27,89
2013/11/26,9,29,90
2013/11/27,8,29,91
2013/11/28,7,28,90
2013/11/29,7,28,94
2013/11/30,7,31,97
2013/12/01,7,30,96
2013/12/02,7,29,96
2013/12/03,7,29,99
2013/12/04,6,27,94
2013/12/05,6,27,92
2013/12/06,6,27,94
2013/12/07,6,28,94
2013/12/08,6,27,92
2013/12/09,6,27,92
2013/12/10,6,27,89
2013/12/11,6,27,92
2013/12/12,6,25,94
2013/12/13,6,24,95
2013/12/14,6,24,94
2013/12/15,6,24,96
2013/12/16,6,24,94
2013/12/17,6,25,92
2013/12/18,6,24,93
2013/12/19,6,24,89
2013/12/20,6,24,90
2013/12/21,6,24,86
2013/12/22,6,24,86
2013/12/23,6,24,84
2013/12/24,6,25,80
2013/12/25,6,26,80
2013/12/26,6,24,80
2013/12/27,6,24,81
2013/12/28,6,25,82
2013/12/29,6,23,79
2013/12/30,6,21,75
2013/12/31,6,20,73
2014/01/01,6,21,74
2014/01/02,6,22,72
2014/01/03,6,22,74
2014/01/04,6,22,72
2014/01/05,6,20,72
2014/01/06,6,19,74
2014/01/07,6,21,78
2014/01/08,6,21,77
2014/01/09,6,21,80
2014/01/10,5,22,82
2014/01/11,6,22,81
2014/01/12,6,25,81
2014/01/13,5,24,79
2014/01/14,7,24,80
2014/01/15,7,24,83
2014/01/16,7,23,84
2014/01/17,7,22,86
2014/01/18,7,23,86
2014/01/19,8,23,86
2014/01/20,8,24,87
2014/01/21,8,27,92
2014/01/22,8,28,93
2014/01/23,8,28,93
2014/01/24,8,29,94
2014/01/25,8,32,96
2014/01/26,8,33,97
2014/01/27,8,32,98
2014/01/28,8,32,98
2014/01/29,8,32,96
2014/01/30,8,31,98
2014/01/31,8,31,101
2014/02/01,8,30,99
2014/02/02,8,31,101
2014/02/03,8,31,101
2014/02/04,7,30,100
2014/02/05,7,30,96
2014/02/06,7,29,95
2014/02/07,7,29,91
2014/02/08,7,31,92
2014/02/09,8,31,92
2014/02/10,8,33,97
2014/02/11,8,33,95
2014/02/12,7,33,96
2014/02/13,8,34,98
2014/02/14,8,34,95
2014/02/15,8,33,93
2014/02/16,6,34,91
2014/02/17,6,33,88
2014/02/18,6,33,90
2014/02/19,5,32,90
2014/02/20,5,33,90
2014/02/21,5,33,92
2014/02/22,6,34,92
2014/02/23,6,36,91
2014/02/24,6,34,88
2014/02/25,6,33,89
2014/02/26,6,35,88
2014/02/27,6,35,90
2014/02/28,6,37,97
2014/03/01,6,38,98
2014/03/02,6,38,96
2014/03/03,6,39,99
2014/03/04,6,39,98
2014/03/05,6,41,100
2014/03/06,6,43,104
2014/03/07,6,43,105
2014/03/08,6,42,105
2014/03/09,6,43,107
2014/03/10,6,42,108
2014/03/11,6,41,105
2014/03/12,6,42,101
2014/03/13,6,41,99
2014/03/14,6,41,99
2014/03/15,6,38,93
2014/03/16,7,38,93
2014/03/17,7,39,94
2014/03/18,7,39,96
2014/03/19,7,39,97
2014/03/20,7,39,97
2014/03/21,7,40,95
2014/03/22,6,39,94
2014/03/23,6,40,95
2014/03/24,6,38,91
2014/03/25,6,35,86
2014/03/26,6,35,92
2014/03/27,6,36,96
2014/03/28,6,36,99
2014/03/29,6,36,101
2014/03/30,6,37,97
2014/03/31,6,35,95
2014/04/01,6,35,94
2014/04/02,6,36,93
2014/04/03,6,36,93
2014/04/04,6,34,89
2014/04/05,6,31,84
2014/04/06,6,31,85
2014/04/07,6,31,83
2014/04/08,6,33,83
2014/04/09,6,33,83
2014/04/10,6,34,84
2014/04/11,6,35,90
2014/04/12,6,35,90
2014/04/13,6,36,89
2014/04/14,6,36,87
2014/04/15,6,36,88
2014/04/16,6,35,87
2014/04/17,6,36,85
2014/04/18,6,39,90
2014/04/19,6,39,87
2014/04/20,6,38,90
2014/04/21,6,38,91
2014/04/22,7,37,91
2014/04/23,7,38,94
2014/04/24,7,39,94
2014/04/25,7,40,89
2014/04/26,6,39,82
2014/04/27,6,38,80
2014/04/28,6,38,79
2014/04/29,6,37,77
2014/04/30,6,35,75
2014/05/01,7,35,74
2014/05/02,6,35,74
2014/05/03,7,33,74
2014/05/04,7,33,74
2014/05/05,6,33,74
2014/05/06,6,34,76
2014/05/07,6,36,77
2014/05/08,6,37,79
2014/05/09,7,35,78
2014/05/10,7,37,78
2014/05/11,7,33,72
2014/05/12,7,32,70
2014/05/13,7,30,69
2014/05/14,7,30,71
2014/05/15,7,30,70
2014/05/16,7,30,67
2014/05/17,7,30,68
2014/05/18,7,28,68
2014/05/19,6,27,69
2014/05/20,5,28,69
2014/05/21,5,28,68
2014/05/22,4,28,67
2014/05/23,4,24,68
2014/05/24,4,24,65
2014/05/25,5,22,63
2014/05/26,5,25,65
2014/05/27,6,26,65
2014/05/28,6,26,65
2014/05/29,6,27,66
2014/05/30,6,29,71
2014/05/31,5,29,74
2014/06/01,6,32,75
2014/06/02,6,31,77
2014/06/03,6,30,80
2014/06/04,6,34,85
2014/06/05,6,36,88
2014/06/06,6,36,90
2014/06/07,6,35,89
2014/06/08,6,37,92
2014/06/09,7,36,94
2014/06/10,6,36,95
2014/06/11,6,36,95
2014/06/12,6,37,98
2014/06/13,6,38,97
2014/06/14,6,38,96
2014/06/15,5,38,96
2014/06/16,5,39,100
2014/06/17,5,39,100
2014/06/18,4,41,101
2014/06/19,4,40,98
2014/06/20,4,39,97
2014/06/21,4,42,101
2014/06/22,4,42,98
2014/06/23,4,41,97
2014/06/24,4,41,97
2014/06/25,4,39,96
2014/06/26,4,39,98
2014/06/27,4,40,98
2014/06/28,4,39,95
2014/06/29,4,37,91
2014/06/30,4,37,92
2014/07/01,3,35,95
2014/07/02,3,38,95
2014/07/03,3,39,97
2014/07/04,3,38,98
2014/07/05,3,36,96
2014/07/06,3,33,90
2014/07/07,3,33,91
2014/07/08,3,32,86
2014/07/09,4,31,84
2014/07/10,4,31,85
2014/07/11,4,32,87
2014/07/12,5,34,86
2014/07/13,5,34,85
2014/07/14,5,35,86
2014/07/15,5,36,87
2014/07/16,5,35,84
2014/07/17,5,34,86
2014/07/18,5,34,88
2014/07/19,5,33,87
2014/07/20,6,33,86
2014/07/21,6,31,82
2014/07/22,6,32,85
2014/07/23,6,34,84
2014/07/24,6,35,86
2014/07/25,6,37,88
2014/07/26,6,37,90
2014/07/27,6,38,88
2014/07/28,6,37,88
2014/07/29,6,36,87
2014/07/30,6,36,85
2014/07/31,6,34,83
2014/08/01,7,33,82
2014/08/02,7,32,85
2014/08/03,7,31,85
2014/08/04,7,31,82
2014/08/05,7,31,80
2014/08/06,7,34,80
2014/08/07,6,34,81
2014/08/08,6,34,82
2014/08/09,6,34,79
2014/08/10,6,35,76
2014/08/11,6,34,78
2014/08/12,6,33,81
2014/08/13,6,34,83
2014/08/14,6,32,82
2014/08/15,6,32,83
2014/08/16,6,32,83
2014/08/17,6,32,81
2014/08/18,6,31,78
2014/08/19,6,33,82
2014/08/20,7,33,83
2014/08/21,7,31,81
2014/08/22,7,32,85
2014/08/23,7,33,87
2014/08/24,8,29,85
2014/08/25,8,29,81
2014/08/26,8,31,84
2014/08/27,8,31,86
2014/08/28,8,33,87
2014/08/29,8,33,89
2014/08/30,8,32,85
2014/08/31,7,34,89
2014/09/01,7,34,88
2014/09/02,7,35,85
2014/09/03,7,35,87
2014/09/04,7,35,89
2014/09/05,7,34,90
2014/09/06,7,34,91
2014/09/07,7,35,93
2014/09/08,7,35,94
2014/09/09,8,36,96
2014/09/10,8,37,96
2014/09/11,8,38,97
2014/09/12,8,38,98
2014/09/13,8,54,119
2014/09/14,7,54,117
2014/09/15,7,54,117
2014/09/16,7,53,122
2014/09/17,7,53,119
2014/09/18,6,53,119
2014/09/19,6,52,120
2014/09/20,6,52,122
2014/09/21,6,52,117
2014/09/22,6,52,119
2014/09/23,6,50,119
2014/09/24,6,50,117
2014/09/25,6,49,118
2014/09/26,6,47,114
2014/09/27,6,46,114
2014/09/28,6,46,113
2014/09/29,6,46,115
2014/09/30,6,45,114
2014/10/01,6,45,110
2014/10/02,6,44,110
2014/10/03,6,41,107
2014/10/04,6,42,110
2014/10/05,6,40,108
2014/10/06,6,40,107
2014/10/07,6,39,107
2014/10/08,6,39,105
2014/10/09,5,39,104
2014/10/10,5,39,101
2014/10/11,5,41,99
2014/10/12,5,39,102
2014/10/13,5,24,90
2014/10/14,5,26,91
2014/10/15,5,27,90
2014/10/16,5,28,87
2014/10/17,5,28,87
2014/10/18,5,27,87
2014/10/19,5,28,85
2014/10/20,6,27,83
2014/10/21,5,26,83
2014/10/22,5,26,79
2014/10/23,6,28,79
2014/10/24,6,27,76
2014/10/25,6,29,79
2014/10/26,6,29,78
2014/10/27,6,28,79
2014/10/28,6,30,83
2014/10/29,6,31,85
2014/10/30,6,31,87
2014/10/31,6,34,89
2014/11/01,6,34,88
2014/11/02,7,34,90
2014/11/03,7,34,94
2014/11/04,7,34,92
2014/11/05,7,35,94
2014/11/06,7,34,92
2014/11/07,7,34,92
2014/11/08,7,33,91
2014/11/09,7,33,91
2014/11/10,7,31,88
2014/11/11,7,31,88
2014/11/12,7,31,86
2014/11/13,7,30,87
2014/11/14,7,30,89
2014/11/15,7,30,89
2014/11/16,7,29,86
2014/11/17,7,29,83
2014/11/18,7,30,86
2014/11/19,8,31,89
2014/11/20,8,33,93
2014/11/21,8,33,96
2014/11/22,8,32,92
2014/11/23,8,33,92
2014/11/24,8,31,94
2014/11/25,8,29,92
2014/11/26,8,29,90
2014/11/27,8,30,89
2014/11/28,7,27,87
2014/11/29,6,27,84
2014/11/30,6,25,85
2014/12/01,5,25,87
2014/12/02,5,24,86
2014/12/03,5,24,82
2014/12/04,5,24,81
2014/12/05,5,25,80
2014/12/06,5,26,79
2014/12/07,4,26,81
2014/12/08,4,26,81
2014/12/09,6,27,82
2014/12/10,6,29,86
2014/12/11,6,29,84
2014/12/12,7,29,85
2014/12/13,7,29,86
2014/12/14,8,29,85
2014/12/15,8,27,86
2014/12/16,8,27,88
2014/12/17,8,27,89
2014/12/18,7,26,86
2014/12/19,7,27,87
2014/12/20,7,25,84
2014/12/21,7,26,82
2014/12/22,7,26,83
2014/12/23,7,27,84
2014/12/24,7,25,82
2014/12/25,7,25,83
2014/12/26,7,27,84
2014/12/27,6,28,84
2014/12/28,6,28,83
2014/12/29,5,28,84
2014/12/30,6,28,87
2014/12/31,6,29,89
2015/01/01,6,30,89
2015/01/02,6,30,91
2015/01/03,6,29,93
2015/01/04,4,29,90
2015/01/05,5,29,89
2015/01/06,6,29,87
2015/01/07,6,31,85
2015/01/08,6,30,85
2015/01/09,5,28,83
2015/01/10,5,28,86
2015/01/11,5,30,83
2015/01/12,5,31,82
2015/01/13,5,31,80
2015/01/14,6,30,78
2015/01/15,6,30,78
2015/01/16,6,30,82
2015/01/17,7,31,85
2015/01/18,7,34,88
2015/01/19,6,35,91
2015/01/20,6,36,90
2015/01/21,6,36,90
2015/01/22,7,36,90
2015/01/23,7,35,93
2015/01/24,7,36,94
2015/01/25,7,35,94
2015/01/26,7,36,98
2015/01/27,7,36,98
2015/01/28,7,37,102
2015/01/29,8,38,100
2015/01/30,9,38,99
2015/01/31,9,38,99
2015/02/01,9,38,99
2015/02/02,9,39,103
2015/02/03,9,38,106
2015/02/04,9,40,107
2015/02/05,9,40,112
2015/02/06,9,40,113
2015/02/07,10,38,116
2015/02/08,9,41,119
2015/02/09,10,41,121
2015/02/10,10,38,119
2015/02/11,10,39,121
2015/02/12,10,37,118
2015/02/13,10,38,115
2015/02/14,10,38,115
2015/02/15,10,37,113
2015/02/16,10,36,110
2015/02/17,10,33,109
2015/02/18,10,32,107
2015/02/19,9,30,107
2015/02/20,9,30,107
2015/02/21,7,31,108
2015/02/22,7,30,103
2015/02/23,7,31,103
2015/02/24,9,30,101
2015/02/25,9,30,102
2015/02/26,10,30,103
2015/02/27,10,32,101
2015/02/28,10,31,104
2015/03/01,9,32,106
2015/03/02,9,32,108
2015/03/03,8,32,109
2015/03/04,8,32,105
2015/03/05,8,31,103
2015/03/06,8,32,100
2015/03/07,8,35,102
2015/03/08,8,36,101
2015/03/09,7,36,101
2015/03/10,7,36,101
2015/03/11,8,32,95
2015/03/12,8,35,97
2015/03/13,8,37,97
2015/03/14,8,37,100
2015/03/15,7,38,101
2015/03/16,6,38,100
2015/03/17,6,39,104
2015/03/18,7,39,104
2015/03/19,7,39,100
2015/03/20,7,38,100
2015/03/21,7,38,103
2015/03/22,8,38,104
2015/03/23,8,37,103
2015/03/24,8,38,107
2015/03/25,8,37,108
2015/03/26,8,36,111
2015/03/27,8,38,112
2015/03/28,8,38,110
2015/03/29,8,35,104
2015/03/30,8,34,101
2015/03/31,8,34,100
2015/04/01,8,33,96
2015/04/02,8,35,97
2015/04/03,8,38,97
2015/04/04,8,39,98
2015/04/05,7,38,98
2015/04/06,7,35,94
2015/04/07,7,34,93
2015/04/08,7,34,90
2015/04/09,6,33,91
2015/04/10,6,33,90
2015/04/11,6,31,87
2015/04/12,6,30,88
2015/04/13,6,30,86
2015/04/14,6,28,86
2015/04/15,6,28,86
2015/04/16,6,27,93
2015/04/17,6,27,95
2015/04/18,6,27,97
2015/04/19,6,26,96
2015/04/20,6,26,94
2015/04/21,7,29,93
2015/04/22,5,30,92
2015/04/23,5,28,91
2015/04/24,6,28,91
2015/04/25,6,30,92
2015/04/26,6,27,86
2015/04/27,6,26,85
2015/04/28,6,26,85
2015/04/29,7,28,83
2015/04/30,7,26,83
2015/05/01,7,26,81
2015/05/02,7,26,77
2015/05/03,7,25,77
2015/05/04,6,26,76
2015/05/05,6,28,79
2015/05/06,7,29,79
2015/05/07,7,28,77
2015/05/08,7,27,78
2015/05/09,8,29,78
2015/05/10,8,29,81
2015/05/11,7,30,83
2015/05/12,7,30,80
2015/05/13,7,31,82
2015/05/14,8,31,82
2015/05/15,8,31,82
2015/05/16,8,30,80
2015/05/17,8,30,78
2015/05/18,8,31,77
2015/05/19,8,31,78
2015/05/20,8,34,78
2015/05/21,7,33,77
2015/05/22,7,34,80
2015/05/23,8,34,78
2015/05/24,8,33,78
2015/05/25,7,32,76
2015/05/26,8,31,77
2015/05/27,8,31,79
2015/05/28,8,31,80
2015/05/29,7,30,78
2015/05/30,6,30,77
2015/05/31,6,32,79
2015/06/01,6,30,77
2015/06/02,6,31,79
2015/06/03,7,30,79
2015/06/04,6,28,78
2015/06/05,6,28,78
2015/06/06,6,28,77
2015/06/07,6,28,79
2015/06/08,6,27,77
2015/06/09,6,26,77
2015/06/10,6,25,77
2015/06/11,6,26,79
2015/06/12,6,27,80
2015/06/13,5,27,83
2015/06/14,5,29,86
2015/06/15,5,27,87
2015/06/16,5,26,88
2015/06/17,5,26,87
2015/06/18,5,26,86
2015/06/19,5,25,86
2015/06/20,5,25,87
2015/06/21,5,24,84
2015/06/22,5,24,85
2015/06/23,5,25,87
2015/06/24,5,25,89
2015/06/25,6,27,90
2015/06/26,6,28,89
2015/06/27,5,28,90
2015/06/28,5,29,91
2015/06/29,5,29,91
2015/06/30,5,27,90
2015/07/01,5,27,88
2015/07/02,5,28,88
2015/07/03,5,27,85
2015/07/04,5,30,86
2015/07/05,5,31,84
2015/07/06,5,29,83
2015/07/07,5,30,83
2015/07/08,5,29,82
2015/07/09,5,28,80
2015/07/10,5,28,76
2015/07/11,5,27,74
2015/07/12,5,28,76
2015/07/13,4,28,73
2015/07/14,4,29,78
2015/07/15,4,28,79
2015/07/16,4,28,76
2015/07/17,4,30,79
2015/07/18,4,30,78
2015/07/19,4,31,79
2015/07/20,4,33,81
2015/07/21,4,35,82
2015/07/22,4,34,82
2015/07/23,4,33,80
2015/07/24,3,34,81
2015/07/25,4,34,80
2015/07/26,4,33,78
