date,arcwiki (100+),arcwiki (5+),arcwiki (all)
2012/11/30,2,23,39
2012/12/01,2,23,40
2012/12/02,2,23,40
2012/12/03,2,23,39
2012/12/04,2,23,40
2012/12/05,2,23,40
2012/12/06,2,22,40
2012/12/07,2,22,38
2012/12/08,2,22,38
2012/12/09,2,23,39
2012/12/10,2,23,39
2012/12/11,2,21,39
2012/12/12,2,21,39
2012/12/13,2,21,39
2012/12/14,2,22,38
2012/12/15,3,21,39
2012/12/16,3,20,38
2012/12/17,3,24,38
2012/12/18,3,24,37
2012/12/19,3,23,35
2012/12/20,3,23,35
2012/12/21,3,24,35
2012/12/22,3,24,35
2012/12/23,3,24,35
2012/12/24,3,24,34
2012/12/25,3,24,33
2012/12/26,3,24,32
2012/12/27,3,24,32
2012/12/28,3,23,31
2012/12/29,3,24,31
2012/12/30,4,25,33
2012/12/31,4,25,36
2013/01/01,4,25,38
2013/01/02,4,25,38
2013/01/03,4,25,38
2013/01/04,4,25,39
2013/01/05,4,24,41
2013/01/06,4,24,41
2013/01/07,4,23,43
2013/01/08,4,21,43
2013/01/09,4,21,44
2013/01/10,4,21,45
2013/01/11,4,20,45
2013/01/12,4,20,46
2013/01/13,4,19,47
2013/01/14,3,19,48
2013/01/15,2,17,49
2013/01/16,2,18,50
2013/01/17,2,19,50
2013/01/18,3,20,50
2013/01/19,3,20,50
2013/01/20,3,21,50
2013/01/21,3,21,49
2013/01/22,3,21,48
2013/01/23,3,20,50
2013/01/24,3,20,50
2013/01/25,3,20,50
2013/01/26,3,22,51
2013/01/27,3,20,51
2013/01/28,3,20,51
2013/01/29,3,20,51
2013/01/30,3,20,47
2013/01/31,3,20,47
2013/02/01,3,21,47
2013/02/02,3,22,46
2013/02/03,3,22,46
2013/02/04,3,22,45
2013/02/05,3,22,46
2013/02/06,3,21,44
2013/02/07,3,23,44
2013/02/08,3,23,43
2013/02/09,3,23,42
2013/02/10,3,24,41
2013/02/11,3,26,40
2013/02/12,3,26,40
2013/02/13,3,26,40
2013/02/14,3,26,40
2013/02/15,3,25,39
2013/02/16,3,26,40
2013/02/17,4,25,42
2013/02/18,4,24,41
2013/02/19,4,24,41
2013/02/20,4,25,41
2013/02/21,4,24,40
2013/02/22,4,24,37
2013/02/23,3,24,38
2013/02/24,3,24,38
2013/02/25,3,22,37
2013/02/26,3,22,36
2013/02/27,4,20,36
2013/02/28,4,20,36
2013/03/01,3,20,36
2013/03/02,3,18,37
2013/03/03,3,17,35
2013/03/04,3,16,35
2013/03/05,3,16,37
2013/03/06,4,16,37
2013/03/07,5,16,37
2013/03/08,5,16,37
2013/03/09,6,16,38
2013/03/10,6,16,38
2013/03/11,5,15,38
2013/03/12,5,15,37
2013/03/13,4,15,37
2013/03/14,4,14,35
2013/03/15,4,13,33
2013/03/16,4,13,32
2013/03/17,4,13,31
2013/03/18,4,12,27
2013/03/19,4,11,26
2013/03/20,3,11,27
2013/03/21,3,12,28
2013/03/22,3,12,27
2013/03/23,3,12,27
2013/03/24,3,12,27
2013/03/25,3,12,27
2013/03/26,3,12,27
2013/03/27,2,12,27
2013/03/28,2,12,27
2013/03/29,2,13,27
2013/03/30,2,14,26
2013/03/31,2,13,24
2013/04/01,2,13,25
2013/04/02,2,13,25
2013/04/03,2,12,22
2013/04/04,2,11,19
2013/04/05,2,8,17
2013/04/06,2,8,15
2013/04/07,2,7,13
2013/04/08,1,6,14
2013/04/09,1,6,14
2013/04/10,,5,14
2013/04/11,,5,15
2013/04/12,,5,15
2013/04/13,,5,16
2013/04/14,,5,16
2013/04/15,,5,16
2013/04/16,,5,16
2013/04/17,,5,16
2013/04/18,,5,16
2013/04/19,,5,15
2013/04/20,,5,16
2013/04/21,,5,16
2013/04/22,,4,17
2013/04/23,,5,17
2013/04/24,,5,17
2013/04/25,,5,17
2013/04/26,,5,17
2013/04/27,,5,17
2013/04/28,,4,17
2013/04/29,,3,17
2013/04/30,,2,17
2013/05/01,,2,16
2013/05/02,,2,16
2013/05/03,,2,16
2013/05/04,,2,16
2013/05/05,,2,16
2013/05/06,,2,15
2013/05/07,,2,14
2013/05/08,,1,13
2013/05/09,,1,12
2013/05/10,,2,12
2013/05/11,,2,11
2013/05/12,,2,11
2013/05/13,,2,10
2013/05/14,,2,10
2013/05/15,,2,11
2013/05/16,,2,11
2013/05/17,,2,10
2013/05/18,,2,12
2013/05/19,,2,12
2013/05/20,,2,11
2013/05/21,,2,11
2013/05/22,,2,8
2013/05/23,,2,9
2013/05/24,,1,9
2013/05/25,,1,9
2013/05/26,,1,11
2013/05/27,,1,11
2013/05/28,,2,11
2013/05/29,,2,11
2013/05/30,,2,10
2013/05/31,,2,9
2013/06/01,,3,9
2013/06/02,,3,9
2013/06/03,,3,10
2013/06/04,,3,9
2013/06/05,,2,9
2013/06/06,,2,10
2013/06/07,,2,10
2013/06/08,,2,10
2013/06/09,,4,10
2013/06/10,,4,12
2013/06/11,,4,12
2013/06/12,,4,12
2013/06/13,,4,12
2013/06/14,,4,11
2013/06/15,,4,12
2013/06/16,,3,12
2013/06/17,,2,12
2013/06/18,,2,13
2013/06/19,,2,13
2013/06/20,,2,13
2013/06/21,,4,13
2013/06/22,,4,13
2013/06/23,,4,13
2013/06/24,,5,14
2013/06/25,,5,13
2013/06/26,,5,13
2013/06/27,,5,13
2013/06/28,,5,13
2013/06/29,,5,13
2013/06/30,,5,13
2013/07/01,,4,13
2013/07/02,,4,13
2013/07/03,,3,14
2013/07/04,,3,15
2013/07/05,,3,15
2013/07/06,,3,14
2013/07/07,,4,14
2013/07/08,,4,14
2013/07/09,,4,14
2013/07/10,,5,12
2013/07/11,,5,12
2013/07/12,,5,12
2013/07/13,,5,12
2013/07/14,,5,12
2013/07/15,,5,11
2013/07/16,,5,12
2013/07/17,,4,12
2013/07/18,,4,11
2013/07/19,,4,11
2013/07/20,,4,11
2013/07/21,,4,11
2013/07/22,,4,11
2013/07/23,,4,11
2013/07/24,,3,10
2013/07/25,,3,10
2013/07/26,,3,10
2013/07/27,,3,10
2013/07/28,,3,10
2013/07/29,,2,10
2013/07/30,,2,10
2013/07/31,,2,10
2013/08/01,,3,10
2013/08/02,,3,8
2013/08/03,,3,7
2013/08/04,,3,7
2013/08/05,,3,7
2013/08/06,,3,7
2013/08/07,,3,7
2013/08/08,,2,7
2013/08/09,,2,7
2013/08/10,,2,7
2013/08/11,,2,7
2013/08/12,,2,8
2013/08/13,,3,9
2013/08/14,,3,9
2013/08/15,,3,8
2013/08/16,,3,8
2013/08/17,,3,8
2013/08/18,,3,7
2013/08/19,,3,7
2013/08/20,,3,6
2013/08/21,,3,6
2013/08/22,,3,6
2013/08/23,,3,6
2013/08/24,,3,6
2013/08/25,,3,6
2013/08/26,,3,7
2013/08/27,,3,7
2013/08/28,,3,7
2013/08/29,,4,8
2013/08/30,,3,7
2013/08/31,,2,7
2013/09/01,,2,7
2013/09/02,,2,7
2013/09/03,,2,7
2013/09/04,,1,7
2013/09/05,,1,7
2013/09/06,,1,7
2013/09/07,,1,7
2013/09/08,,1,6
2013/09/09,,1,6
2013/09/10,,1,6
2013/09/11,,1,5
2013/09/12,,1,4
2013/09/13,,1,4
2013/09/14,,1,4
2013/09/15,,1,4
2013/09/16,,1,3
2013/09/17,,1,3
2013/09/18,,,3
2013/09/19,,,3
2013/09/20,,,3
2013/09/21,,,3
2013/09/22,,,4
2013/09/23,,,3
2013/09/24,,,3
2013/09/25,,,3
2013/09/26,,,4
2013/09/27,,,4
2013/09/28,,,5
2013/09/29,,,5
2013/09/30,,,5
2013/10/01,,,5
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,5
2013/10/05,,,5
2013/10/06,,,5
2013/10/07,,,5
2013/10/08,,,5
2013/10/09,,,5
2013/10/10,,,5
2013/10/11,,,5
2013/10/12,,,5
2013/10/13,,,5
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,6
2013/10/18,,,7
2013/10/19,,,7
2013/10/20,,,7
2013/10/21,,,7
2013/10/22,,,7
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,5
2013/10/26,,,5
2013/10/27,,,5
2013/10/28,,,4
2013/10/29,,,5
2013/10/30,,,5
2013/10/31,,,5
2013/11/01,,,5
2013/11/02,,,5
2013/11/03,,,5
2013/11/04,,,5
2013/11/05,,,5
2013/11/06,,,5
2013/11/07,,,6
2013/11/08,,,6
2013/11/09,,,6
2013/11/10,,,6
2013/11/11,,,6
2013/11/12,,,6
2013/11/13,,,5
2013/11/14,,,5
2013/11/15,,,6
2013/11/16,,,7
2013/11/17,,,6
2013/11/18,,,7
2013/11/19,,,7
2013/11/20,,,7
2013/11/21,,,7
2013/11/22,,,8
2013/11/23,,,8
2013/11/24,,,9
2013/11/25,,,9
2013/11/26,,1,9
2013/11/27,,2,10
2013/11/28,,2,9
2013/11/29,,2,9
2013/11/30,,2,9
2013/12/01,,2,9
2013/12/02,,2,9
2013/12/03,,2,10
2013/12/04,,2,10
2013/12/05,,2,10
2013/12/06,,2,11
2013/12/07,,2,10
2013/12/08,,2,11
2013/12/09,,2,11
2013/12/10,,2,11
2013/12/11,,2,11
2013/12/12,,2,11
2013/12/13,,2,11
2013/12/14,,2,11
2013/12/15,,2,10
2013/12/16,,2,10
2013/12/17,,2,10
2013/12/18,,2,9
2013/12/19,,2,9
2013/12/20,,2,9
2013/12/21,,2,9
2013/12/22,,2,8
2013/12/23,,2,8
2013/12/24,,2,7
2013/12/25,,2,7
2013/12/26,,2,7
2013/12/27,,1,6
2013/12/28,,1,6
2013/12/29,,1,6
2013/12/30,,1,6
2013/12/31,,1,6
2014/01/01,,1,6
2014/01/02,,1,5
2014/01/03,,1,5
2014/01/04,,1,6
2014/01/05,,1,6
2014/01/06,,1,5
2014/01/07,,,4
2014/01/08,,,4
2014/01/09,,,4
