date,sswiki (100+),sswiki (5+),sswiki (all)
2013/02/28,1,7,23
2013/03/01,1,6,23
2013/03/02,1,6,23
2013/03/03,1,6,23
2013/03/04,1,6,24
2013/03/05,1,6,24
2013/03/06,1,6,24
2013/03/07,1,6,23
2013/03/08,2,7,22
2013/03/09,2,7,20
2013/03/10,2,7,17
2013/03/11,2,7,17
2013/03/12,2,7,15
2013/03/13,2,7,15
2013/03/14,2,7,14
2013/03/15,2,7,14
2013/03/16,1,7,13
2013/03/17,1,7,13
2013/03/18,1,7,11
2013/03/19,1,7,11
2013/03/20,1,7,11
2013/03/21,1,7,11
2013/03/22,1,7,11
2013/03/23,1,6,11
2013/03/24,1,6,10
2013/03/25,1,6,10
2013/03/26,1,6,10
2013/03/27,1,5,10
2013/03/28,1,5,10
2013/03/29,1,4,9
2013/03/30,1,4,9
2013/03/31,1,4,9
2013/04/01,1,4,8
2013/04/02,1,4,8
2013/04/03,1,4,7
2013/04/04,1,1,7
2013/04/05,1,1,7
2013/04/06,1,1,6
2013/04/07,1,1,4
2013/04/08,,1,5
2013/04/09,,1,5
2013/04/10,,1,5
2013/04/11,,1,6
2013/04/12,,1,6
2013/04/13,,1,6
2013/04/14,,1,6
2013/04/15,,1,6
2013/04/16,,1,6
2013/04/17,,1,6
2013/04/18,,1,6
2013/04/19,,1,6
2013/04/20,,1,6
2013/04/21,,1,6
2013/04/22,,1,6
2013/04/23,,2,7
2013/04/24,,2,7
2013/04/25,,2,7
2013/04/26,,2,7
2013/04/27,,2,7
2013/04/28,,2,7
2013/04/29,,2,7
2013/04/30,,3,7
2013/05/01,,3,7
2013/05/02,,3,6
2013/05/03,,3,7
2013/05/04,,3,7
2013/05/05,,2,7
2013/05/06,,3,7
2013/05/07,,3,7
2013/05/08,,2,7
2013/05/09,,2,7
2013/05/10,,2,7
2013/05/11,,2,6
2013/05/12,,2,6
2013/05/13,,2,6
2013/05/14,,1,6
2013/05/15,,1,6
2013/05/16,,1,6
2013/05/17,,1,6
2013/05/18,,1,6
2013/05/19,,1,6
2013/05/20,,1,6
2013/05/21,,1,7
2013/05/22,,1,8
2013/05/23,,,7
2013/05/24,,,8
2013/05/25,,,9
2013/05/26,,,9
2013/05/27,,,10
2013/05/28,,,10
2013/05/29,,,10
2013/05/30,,,9
2013/05/31,,,9
2013/06/01,,,9
2013/06/02,,,8
2013/06/03,,,8
2013/06/04,,,8
2013/06/05,,,8
2013/06/06,,,8
2013/06/07,,,7
2013/06/08,,,7
2013/06/09,,,8
2013/06/10,,,8
2013/06/11,,,8
2013/06/12,,,8
2013/06/13,,,8
2013/06/14,,,8
2013/06/15,,,8
2013/06/16,,,8
2013/06/17,,,8
2013/06/18,,,8
2013/06/19,,,8
2013/06/20,,,7
2013/06/21,,,8
2013/06/22,,,8
2013/06/23,,,7
2013/06/24,,,6
2013/06/25,,,6
2013/06/26,,,5
2013/06/27,,,5
2013/06/28,,1,5
2013/06/29,,2,5
2013/06/30,,2,5
2013/07/01,,2,5
2013/07/02,,2,5
2013/07/03,,2,5
2013/07/04,,2,5
2013/07/05,,2,5
2013/07/06,,2,5
2013/07/07,,2,5
2013/07/08,,2,5
2013/07/09,,2,4
2013/07/10,,2,4
2013/07/11,,2,4
2013/07/12,,2,4
2013/07/13,,2,4
2013/07/14,,2,4
2013/07/15,,2,4
2013/07/16,,2,4
2013/07/17,,2,4
2013/07/18,,2,4
2013/07/19,,2,4
2013/07/20,,2,4
2013/07/21,,1,5
2013/07/22,,1,4
2013/07/23,,1,4
2013/07/24,,1,4
2013/07/25,,1,4
2013/07/26,,1,4
2013/07/27,,1,4
2013/07/28,,,4
2013/07/29,,,3
2013/07/30,,,3
2013/07/31,,,3
2013/08/01,,,2
2013/08/02,,,1
2013/08/03,,,1
2013/08/04,,,1
2013/08/05,,,1
2013/08/06,,,2
2013/08/07,,,2
2013/08/08,,,2
2013/08/09,,,2
2013/08/10,,,2
2013/08/11,,,2
2013/08/12,,,2
2013/08/13,,,2
2013/08/14,,,2
2013/08/15,,,2
2013/08/16,,,2
2013/08/17,,,2
2013/08/18,,,2
2013/08/19,,,2
2013/08/20,,,1
2013/08/21,,,1
2013/08/22,,,1
2013/08/23,,,2
2013/08/24,,,2
2013/08/25,,,2
2013/08/26,,,2
2013/08/27,,,2
2013/08/28,,,2
2013/08/29,,,2
2013/08/30,,,2
2013/08/31,,,2
2013/09/01,,,2
2013/09/02,,,2
2013/09/03,,,2
2013/09/04,,,2
2013/09/05,,,1
2013/09/06,,,1
2013/09/07,,,1
2013/09/08,,,1
2013/09/09,,,1
2013/09/10,,,1
2013/09/11,,,1
2013/09/12,,,1
2013/09/13,,,1
2013/09/14,,,1
2013/09/15,,,1
2013/09/16,,,1
2013/09/17,,,1
2013/09/18,,,1
2013/09/19,,,1
2013/09/20,,,1
2013/09/21,,,3
2013/09/22,,,2
2013/09/23,,,2
2013/09/24,,,2
2013/09/25,,,2
2013/09/26,,,2
2013/09/27,,,2
2013/09/28,,,2
2013/09/29,,,3
2013/09/30,,,3
2013/10/01,,,5
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,5
2013/10/05,,,5
2013/10/06,,,6
2013/10/07,,1,6
2013/10/08,,1,6
2013/10/09,,1,6
2013/10/10,,1,6
2013/10/11,,1,6
2013/10/12,,1,6
2013/10/13,,1,6
2013/10/14,,1,6
2013/10/15,,1,6
2013/10/16,,1,6
2013/10/17,,1,6
2013/10/18,,2,6
2013/10/19,,2,6
2013/10/20,,2,6
2013/10/21,,2,6
2013/10/22,,2,6
2013/10/23,,2,6
2013/10/24,,2,6
2013/10/25,,2,6
2013/10/26,,2,6
2013/10/27,,2,6
2013/10/28,,2,6
2013/10/29,,2,5
2013/10/30,,2,5
2013/10/31,,2,4
2013/11/01,,2,4
2013/11/02,,2,4
2013/11/03,,2,4
2013/11/04,,2,5
2013/11/05,,2,5
2013/11/06,,2,5
2013/11/07,,2,5
2013/11/08,,1,6
2013/11/09,,1,6
2013/11/10,,1,7
2013/11/11,,1,7
2013/11/12,,1,8
2013/11/13,,1,8
2013/11/14,,1,8
2013/11/15,,1,8
2013/11/16,,1,8
2013/11/17,,1,8
2013/11/18,,1,7
2013/11/19,,1,7
2013/11/20,,2,7
2013/11/21,,2,7
2013/11/22,,2,7
2013/11/23,,2,7
2013/11/24,,2,7
2013/11/25,,2,7
2013/11/26,,2,7
2013/11/27,,2,7
2013/11/28,,2,7
2013/11/29,,2,7
2013/11/30,,2,7
2013/12/01,,2,7
2013/12/02,,2,7
2013/12/03,,2,7
2013/12/04,,2,7
2013/12/05,,2,7
2013/12/06,,2,7
2013/12/07,,2,7
2013/12/08,,3,6
2013/12/09,,3,6
2013/12/10,,3,5
2013/12/11,,3,5
2013/12/12,,3,4
2013/12/13,,3,5
2013/12/14,,3,5
2013/12/15,,3,5
2013/12/16,,3,5
2013/12/17,,3,5
2013/12/18,,3,5
2013/12/19,,3,5
2013/12/20,,3,5
2013/12/21,,2,4
2013/12/22,,2,4
2013/12/23,,2,4
2013/12/24,,2,4
2013/12/25,,2,4
2013/12/26,,2,4
2013/12/27,,2,4
2013/12/28,,2,4
2013/12/29,,2,4
2013/12/30,,2,3
2013/12/31,,2,3
2014/01/01,,2,3
2014/01/02,,2,3
2014/01/03,,2,3
2014/01/04,,2,3
2014/01/05,,1,4
2014/01/06,,1,4
2014/01/07,,,4
2014/01/08,,,2
2014/01/09,,,2
2014/01/10,,,2
2014/01/11,,,2
2014/01/12,,,1
