date,sawiki (100+),sawiki (5+),sawiki (all)
2012/11/17,7,34,60
2012/11/18,7,34,61
2012/11/19,7,34,62
2012/11/20,7,33,62
2012/11/21,7,33,62
2012/11/22,7,33,62
2012/11/23,7,34,62
2012/11/24,7,34,63
2012/11/25,7,32,63
2012/11/26,7,31,63
2012/11/27,8,31,60
2012/11/28,8,30,61
2012/11/29,8,29,61
2012/11/30,8,29,61
2012/12/01,8,28,59
2012/12/02,8,28,58
2012/12/03,8,27,56
2012/12/04,7,27,55
2012/12/05,7,28,55
2012/12/06,7,28,54
2012/12/07,7,29,54
2012/12/08,8,29,55
2012/12/09,9,28,55
2012/12/10,9,28,54
2012/12/11,9,28,53
2012/12/12,9,28,53
2012/12/13,9,28,54
2012/12/14,9,28,51
2012/12/15,8,28,51
2012/12/16,8,28,50
2012/12/17,8,31,50
2012/12/18,8,30,50
2012/12/19,8,29,50
2012/12/20,8,29,50
2012/12/21,8,28,49
2012/12/22,7,28,49
2012/12/23,7,28,48
2012/12/24,7,28,47
2012/12/25,7,29,49
2012/12/26,7,27,49
2012/12/27,7,27,52
2012/12/28,7,27,50
2012/12/29,7,28,50
2012/12/30,7,27,50
2012/12/31,8,27,51
2013/01/01,8,27,54
2013/01/02,8,28,53
2013/01/03,8,28,54
2013/01/04,8,28,54
2013/01/05,8,28,56
2013/01/06,8,27,57
2013/01/07,8,28,56
2013/01/08,9,28,58
2013/01/09,8,29,58
2013/01/10,7,30,59
2013/01/11,7,30,59
2013/01/12,7,30,59
2013/01/13,7,31,60
2013/01/14,7,31,62
2013/01/15,7,32,63
2013/01/16,7,32,63
2013/01/17,7,33,63
2013/01/18,7,34,64
2013/01/19,7,34,65
2013/01/20,7,34,65
2013/01/21,7,34,66
2013/01/22,7,34,67
2013/01/23,7,34,67
2013/01/24,8,35,65
2013/01/25,9,35,65
2013/01/26,8,35,64
2013/01/27,8,34,64
2013/01/28,8,35,65
2013/01/29,9,36,66
2013/01/30,9,35,67
2013/01/31,8,36,65
2013/02/01,11,38,67
2013/02/02,11,38,66
2013/02/03,11,38,66
2013/02/04,11,37,64
2013/02/05,11,37,67
2013/02/06,11,35,69
2013/02/07,9,35,66
2013/02/08,9,35,67
2013/02/09,9,36,67
2013/02/10,9,35,68
2013/02/11,9,36,68
2013/02/12,9,37,67
2013/02/13,9,37,65
2013/02/14,9,37,66
2013/02/15,9,36,66
2013/02/16,9,34,68
2013/02/17,9,36,70
2013/02/18,8,35,67
2013/02/19,8,34,67
2013/02/20,8,34,66
2013/02/21,8,33,64
2013/02/22,8,33,65
2013/02/23,8,33,65
2013/02/24,9,33,65
2013/02/25,9,33,64
2013/02/26,9,34,64
2013/02/27,9,34,63
2013/02/28,9,32,62
2013/03/01,9,33,59
2013/03/02,10,33,59
2013/03/03,10,32,59
2013/03/04,9,31,61
2013/03/05,9,32,59
2013/03/06,9,33,60
2013/03/07,9,35,58
2013/03/08,10,36,57
2013/03/09,9,36,56
2013/03/10,9,37,56
2013/03/11,8,36,57
2013/03/12,9,33,55
2013/03/13,9,32,55
2013/03/14,9,31,58
2013/03/15,8,29,56
2013/03/16,6,29,55
2013/03/17,6,28,50
2013/03/18,6,27,47
2013/03/19,6,27,47
2013/03/20,6,27,45
2013/03/21,6,27,45
2013/03/22,5,28,45
2013/03/23,5,28,46
2013/03/24,5,28,47
2013/03/25,6,28,48
2013/03/26,6,28,47
2013/03/27,5,28,44
2013/03/28,5,28,44
2013/03/29,3,28,45
2013/03/30,3,27,43
2013/03/31,3,26,42
2013/04/01,3,26,40
2013/04/02,3,26,40
2013/04/03,3,26,41
2013/04/04,3,22,37
2013/04/05,3,22,35
2013/04/06,4,20,30
2013/04/07,5,20,30
2013/04/08,5,19,30
2013/04/09,5,18,29
2013/04/10,5,17,31
2013/04/11,4,17,32
2013/04/12,4,15,32
2013/04/13,4,16,32
2013/04/14,4,16,33
2013/04/15,2,14,35
2013/04/16,4,14,35
2013/04/17,4,15,36
2013/04/18,4,16,37
2013/04/19,4,16,38
2013/04/20,3,16,38
2013/04/21,3,15,38
2013/04/22,3,14,39
2013/04/23,3,14,40
2013/04/24,3,14,39
2013/04/25,3,14,40
2013/04/26,3,15,40
2013/04/27,3,15,40
2013/04/28,3,15,41
2013/04/29,3,15,39
2013/04/30,4,15,39
2013/05/01,4,14,41
2013/05/02,4,14,40
2013/05/03,4,13,40
2013/05/04,4,13,40
2013/05/05,4,13,39
2013/05/06,4,13,39
2013/05/07,4,13,39
2013/05/08,4,14,38
2013/05/09,4,13,37
2013/05/10,3,12,34
2013/05/11,3,12,31
2013/05/12,3,12,30
2013/05/13,3,12,30
2013/05/14,3,12,30
2013/05/15,3,12,28
2013/05/16,3,12,29
2013/05/17,3,13,29
2013/05/18,3,12,30
2013/05/19,3,13,32
2013/05/20,3,15,33
2013/05/21,3,15,34
2013/05/22,3,15,33
2013/05/23,3,15,31
2013/05/24,3,15,31
2013/05/25,3,14,31
2013/05/26,3,12,30
2013/05/27,3,12,30
2013/05/28,3,10,29
2013/05/29,3,10,29
2013/05/30,3,11,31
2013/05/31,3,11,30
2013/06/01,3,11,29
2013/06/02,3,13,30
2013/06/03,3,13,30
2013/06/04,3,13,30
2013/06/05,3,11,31
2013/06/06,3,13,32
2013/06/07,3,14,32
2013/06/08,3,14,34
2013/06/09,3,14,34
2013/06/10,3,14,33
2013/06/11,3,15,34
2013/06/12,3,17,34
2013/06/13,3,17,35
2013/06/14,4,16,36
2013/06/15,4,16,38
2013/06/16,4,17,38
2013/06/17,4,16,39
2013/06/18,4,15,38
2013/06/19,4,13,39
2013/06/20,4,14,38
2013/06/21,4,15,41
2013/06/22,4,17,44
2013/06/23,4,18,44
2013/06/24,4,19,43
2013/06/25,5,20,44
2013/06/26,5,21,45
2013/06/27,5,23,48
2013/06/28,6,23,49
2013/06/29,7,23,47
2013/06/30,7,22,45
2013/07/01,7,21,45
2013/07/02,7,20,45
2013/07/03,7,21,48
2013/07/04,7,22,49
2013/07/05,7,22,49
2013/07/06,7,22,49
2013/07/07,7,23,49
2013/07/08,7,22,47
2013/07/09,7,22,49
2013/07/10,7,22,49
2013/07/11,7,22,47
2013/07/12,8,23,47
2013/07/13,8,22,48
2013/07/14,9,22,48
2013/07/15,9,21,48
2013/07/16,9,21,48
2013/07/17,10,21,46
2013/07/18,10,21,46
2013/07/19,10,22,44
2013/07/20,10,23,45
2013/07/21,10,24,43
2013/07/22,9,25,44
2013/07/23,9,24,45
2013/07/24,9,24,46
2013/07/25,10,25,46
2013/07/26,10,26,46
2013/07/27,10,25,46
2013/07/28,9,24,45
2013/07/29,9,24,45
2013/07/30,10,24,45
2013/07/31,10,24,44
2013/08/01,10,23,45
2013/08/02,10,24,45
2013/08/03,10,23,44
2013/08/04,9,21,43
2013/08/05,9,22,45
2013/08/06,10,23,45
2013/08/07,11,23,45
2013/08/08,10,24,43
2013/08/09,10,24,42
2013/08/10,9,25,44
2013/08/11,9,25,41
2013/08/12,7,25,41
2013/08/13,7,23,41
2013/08/14,7,24,42
2013/08/15,7,24,42
2013/08/16,7,22,42
2013/08/17,7,25,45
2013/08/18,7,25,46
2013/08/19,8,25,45
2013/08/20,8,25,45
2013/08/21,8,24,46
2013/08/22,7,24,46
2013/08/23,8,24,46
2013/08/24,8,24,46
2013/08/25,9,24,46
2013/08/26,8,24,48
2013/08/27,8,24,49
2013/08/28,8,24,51
2013/08/29,7,25,50
2013/08/30,6,24,50
2013/08/31,6,25,48
2013/09/01,7,25,47
2013/09/02,7,25,47
2013/09/03,7,25,47
2013/09/04,7,26,46
2013/09/05,7,27,46
2013/09/06,9,27,46
2013/09/07,10,27,47
2013/09/08,10,26,46
2013/09/09,10,26,44
2013/09/10,10,26,44
2013/09/11,10,26,44
2013/09/12,10,25,43
2013/09/13,10,23,42
2013/09/14,10,22,43
2013/09/15,10,22,42
2013/09/16,10,20,42
2013/09/17,9,20,41
2013/09/18,9,20,41
2013/09/19,9,19,40
2013/09/20,9,18,38
2013/09/21,9,19,36
2013/09/22,9,20,38
2013/09/23,9,20,38
2013/09/24,9,20,37
2013/09/25,9,18,37
2013/09/26,9,18,37
2013/09/27,9,17,36
2013/09/28,9,17,35
2013/09/29,9,17,34
2013/09/30,9,16,33
2013/10/01,8,15,32
2013/10/02,8,15,30
2013/10/03,8,14,33
2013/10/04,8,14,33
2013/10/05,8,14,31
2013/10/06,5,14,32
2013/10/07,5,15,32
2013/10/08,5,15,34
2013/10/09,5,16,36
2013/10/10,5,16,38
2013/10/11,5,16,36
2013/10/12,5,16,34
2013/10/13,5,16,35
2013/10/14,5,16,34
2013/10/15,5,16,35
2013/10/16,5,15,36
2013/10/17,5,16,36
2013/10/18,6,16,36
2013/10/19,6,17,35
2013/10/20,6,17,37
2013/10/21,6,18,38
2013/10/22,6,17,36
2013/10/23,6,16,34
2013/10/24,6,16,35
2013/10/25,6,16,34
2013/10/26,6,17,36
2013/10/27,6,17,41
2013/10/28,6,18,41
2013/10/29,5,17,40
2013/10/30,5,17,41
2013/10/31,5,17,40
2013/11/01,5,17,40
2013/11/02,6,17,38
2013/11/03,6,18,39
2013/11/04,6,18,40
2013/11/05,6,18,42
2013/11/06,6,17,41
2013/11/07,5,17,38
2013/11/08,5,19,45
2013/11/09,5,21,45
2013/11/10,4,21,48
2013/11/11,4,21,49
2013/11/12,4,19,46
2013/11/13,4,20,47
2013/11/14,4,20,50
2013/11/15,4,20,50
2013/11/16,4,20,51
2013/11/17,4,20,51
2013/11/18,4,20,51
2013/11/19,3,21,51
2013/11/20,3,20,51
2013/11/21,3,21,52
2013/11/22,3,21,53
2013/11/23,3,21,52
2013/11/24,4,21,52
2013/11/25,4,19,54
2013/11/26,5,19,49
2013/11/27,5,19,50
2013/11/28,4,21,50
2013/11/29,4,21,52
2013/11/30,3,21,52
2013/12/01,2,21,52
2013/12/02,2,21,53
2013/12/03,3,20,54
2013/12/04,3,19,53
2013/12/05,3,21,55
2013/12/06,3,21,55
2013/12/07,3,21,56
2013/12/08,3,18,51
2013/12/09,3,16,49
2013/12/10,3,15,46
2013/12/11,4,15,45
2013/12/12,4,14,46
2013/12/13,3,14,47
2013/12/14,3,15,44
2013/12/15,3,15,44
2013/12/16,3,14,44
2013/12/17,3,16,46
2013/12/18,4,16,44
2013/12/19,4,16,44
2013/12/20,4,16,44
2013/12/21,4,17,43
2013/12/22,4,17,42
2013/12/23,4,18,41
2013/12/24,4,18,41
2013/12/25,5,17,40
2013/12/26,5,17,40
2013/12/27,5,16,39
2013/12/28,4,15,37
2013/12/29,4,14,37
2013/12/30,4,14,36
2013/12/31,3,14,35
2014/01/01,3,14,35
2014/01/02,3,15,36
2014/01/03,3,16,36
2014/01/04,3,17,37
2014/01/05,2,17,36
2014/01/06,2,17,35
2014/01/07,1,17,34
2014/01/08,3,18,35
2014/01/09,3,18,35
2014/01/10,3,20,34
2014/01/11,3,21,34
2014/01/12,6,22,34
2014/01/13,5,22,34
2014/01/14,5,22,35
2014/01/15,5,20,35
2014/01/16,5,21,36
2014/01/17,5,19,35
2014/01/18,5,19,36
2014/01/19,5,19,36
2014/01/20,5,20,36
2014/01/21,6,20,36
2014/01/22,7,19,37
2014/01/23,7,19,37
2014/01/24,7,20,37
2014/01/25,7,20,37
2014/01/26,6,20,37
2014/01/27,6,19,35
2014/01/28,6,19,37
2014/01/29,6,21,45
2014/01/30,6,22,56
2014/01/31,7,27,83
2014/02/01,7,30,101
2014/02/02,7,41,113
2014/02/03,7,44,125
2014/02/04,7,46,136
2014/02/05,7,46,144
2014/02/06,6,48,151
2014/02/07,6,50,157
2014/02/08,6,50,161
2014/02/09,6,51,162
2014/02/10,6,50,162
2014/02/11,5,50,164
2014/02/12,5,50,163
2014/02/13,4,49,162
2014/02/14,4,48,164
2014/02/15,4,47,163
2014/02/16,5,48,163
2014/02/17,5,48,163
2014/02/18,5,48,162
2014/02/19,5,47,163
2014/02/20,5,48,163
2014/02/21,5,48,163
2014/02/22,5,48,162
2014/02/23,5,48,161
2014/02/24,5,48,161
2014/02/25,5,48,160
2014/02/26,5,48,160
2014/02/27,5,48,159
2014/02/28,5,46,157
2014/03/01,4,41,154
2014/03/02,4,32,133
2014/03/03,4,31,117
2014/03/04,4,22,96
2014/03/05,4,20,79
2014/03/06,5,17,69
2014/03/07,5,16,62
2014/03/08,5,15,48
2014/03/09,4,13,38
2014/03/10,4,14,33
2014/03/11,4,14,34
2014/03/12,4,14,33
2014/03/13,4,15,32
2014/03/14,4,15,33
2014/03/15,4,14,33
2014/03/16,4,14,31
2014/03/17,4,13,31
2014/03/18,3,12,30
2014/03/19,3,14,29
2014/03/20,3,15,30
2014/03/21,3,14,28
2014/03/22,3,14,28
2014/03/23,3,14,29
2014/03/24,3,14,30
2014/03/25,3,14,29
2014/03/26,3,13,28
2014/03/27,3,13,29
2014/03/28,3,13,30
2014/03/29,2,13,31
2014/03/30,3,13,30
2014/03/31,3,12,30
2014/04/01,3,12,30
2014/04/02,3,11,30
2014/04/03,3,12,30
2014/04/04,3,14,31
2014/04/05,3,14,32
2014/04/06,3,14,31
2014/04/07,3,15,35
2014/04/08,3,15,35
2014/04/09,3,14,36
2014/04/10,3,15,36
2014/04/11,3,14,36
2014/04/12,3,14,35
2014/04/13,4,16,33
2014/04/14,4,16,34
2014/04/15,4,16,34
2014/04/16,4,16,35
2014/04/17,4,16,34
2014/04/18,4,17,34
2014/04/19,4,16,34
2014/04/20,5,16,35
2014/04/21,5,16,35
2014/04/22,5,15,36
2014/04/23,5,15,37
2014/04/24,5,15,37
2014/04/25,4,15,37
2014/04/26,4,15,37
2014/04/27,4,15,36
2014/04/28,4,16,35
2014/04/29,4,15,34
2014/04/30,4,15,34
2014/05/01,4,15,35
2014/05/02,4,15,35
2014/05/03,4,15,37
2014/05/04,3,14,37
2014/05/05,3,15,38
2014/05/06,3,15,38
2014/05/07,3,14,35
2014/05/08,3,14,35
2014/05/09,3,14,35
2014/05/10,3,13,35
2014/05/11,3,13,35
2014/05/12,3,13,33
2014/05/13,3,12,32
2014/05/14,3,12,33
2014/05/15,3,13,37
2014/05/16,4,13,37
2014/05/17,4,12,36
2014/05/18,4,12,37
2014/05/19,4,12,37
2014/05/20,3,11,36
2014/05/21,3,11,36
2014/05/22,3,11,34
2014/05/23,3,11,32
2014/05/24,3,12,33
2014/05/25,2,12,33
2014/05/26,2,12,33
2014/05/27,2,13,33
2014/05/28,2,12,32
2014/05/29,2,12,31
2014/05/30,2,12,33
2014/05/31,2,12,32
2014/06/01,2,12,33
2014/06/02,2,13,33
2014/06/03,2,13,33
2014/06/04,2,12,32
2014/06/05,2,12,31
2014/06/06,1,12,28
2014/06/07,2,12,30
2014/06/08,2,12,30
2014/06/09,1,13,31
2014/06/10,1,13,31
2014/06/11,1,13,31
2014/06/12,1,14,32
2014/06/13,1,14,32
2014/06/14,1,14,29
2014/06/15,1,14,28
2014/06/16,1,15,29
2014/06/17,1,15,29
2014/06/18,1,15,30
2014/06/19,1,14,30
2014/06/20,1,13,27
2014/06/21,1,12,25
2014/06/22,1,12,27
2014/06/23,2,12,30
2014/06/24,2,13,33
2014/06/25,2,14,34
2014/06/26,3,15,36
2014/06/27,3,18,38
2014/06/28,3,19,38
2014/06/29,3,18,37
2014/06/30,3,17,36
2014/07/01,3,17,37
2014/07/02,3,16,37
2014/07/03,4,16,36
2014/07/04,4,17,36
2014/07/05,5,17,36
2014/07/06,6,18,38
2014/07/07,6,18,37
2014/07/08,6,18,39
2014/07/09,6,17,39
2014/07/10,7,17,41
2014/07/11,7,17,42
2014/07/12,7,17,41
2014/07/13,7,17,41
2014/07/14,7,17,40
2014/07/15,7,17,41
2014/07/16,7,15,42
2014/07/17,7,15,42
2014/07/18,7,15,42
2014/07/19,7,15,43
2014/07/20,7,15,44
2014/07/21,7,15,44
2014/07/22,7,15,42
2014/07/23,7,15,41
2014/07/24,7,16,39
2014/07/25,7,15,41
2014/07/26,6,15,41
2014/07/27,6,15,41
2014/07/28,6,14,39
2014/07/29,6,14,39
2014/07/30,6,14,39
2014/07/31,6,15,41
2014/08/01,6,15,40
2014/08/02,6,15,41
2014/08/03,6,15,41
2014/08/04,6,15,41
2014/08/05,6,17,43
2014/08/06,6,17,43
2014/08/07,6,16,40
2014/08/08,6,17,40
2014/08/09,5,17,39
2014/08/10,5,17,40
2014/08/11,5,19,40
2014/08/12,4,19,40
2014/08/13,4,19,39
2014/08/14,4,19,39
2014/08/15,4,19,38
2014/08/16,4,19,38
2014/08/17,4,20,39
2014/08/18,4,20,39
2014/08/19,4,19,37
2014/08/20,4,19,37
2014/08/21,4,19,38
2014/08/22,4,18,39
2014/08/23,4,19,39
2014/08/24,4,19,40
2014/08/25,3,19,40
2014/08/26,2,19,41
2014/08/27,2,19,42
2014/08/28,2,19,41
2014/08/29,3,19,41
2014/08/30,2,19,39
2014/08/31,2,19,40
2014/09/01,1,19,41
2014/09/02,1,18,41
2014/09/03,1,18,43
2014/09/04,1,17,41
2014/09/05,2,17,41
2014/09/06,2,17,41
2014/09/07,2,16,39
2014/09/08,3,16,38
2014/09/09,3,15,37
2014/09/10,3,15,35
2014/09/11,3,16,34
2014/09/12,3,16,34
2014/09/13,3,16,33
2014/09/14,3,15,33
2014/09/15,3,15,33
