date,warwiki (100+),warwiki (5+),warwiki (all)
2012/12/19,12,28,85
2012/12/20,12,28,83
2012/12/21,12,29,82
2012/12/22,12,29,83
2012/12/23,12,31,84
2012/12/24,12,33,86
2012/12/25,12,33,85
2012/12/26,12,32,85
2012/12/27,12,33,85
2012/12/28,12,32,81
2012/12/29,12,32,81
2012/12/30,12,33,79
2012/12/31,12,34,80
2013/01/01,12,34,80
2013/01/02,11,33,79
2013/01/03,11,34,77
2013/01/04,11,33,73
2013/01/05,11,33,72
2013/01/06,11,32,71
2013/01/07,11,32,67
2013/01/08,12,32,64
2013/01/09,12,32,64
2013/01/10,12,32,65
2013/01/11,11,32,66
2013/01/12,11,32,65
2013/01/13,11,34,67
2013/01/14,12,33,67
2013/01/15,12,33,69
2013/01/16,14,34,70
2013/01/17,14,33,69
2013/01/18,14,33,69
2013/01/19,13,33,71
2013/01/20,13,34,72
2013/01/21,13,34,74
2013/01/22,12,33,73
2013/01/23,12,32,75
2013/01/24,13,32,74
2013/01/25,13,32,78
2013/01/26,13,31,78
2013/01/27,13,31,79
2013/01/28,12,31,79
2013/01/29,13,31,81
2013/01/30,13,31,80
2013/01/31,13,31,81
2013/02/01,13,31,80
2013/02/02,13,30,79
2013/02/03,12,30,84
2013/02/04,12,30,83
2013/02/05,12,30,85
2013/02/06,12,32,85
2013/02/07,12,32,84
2013/02/08,12,34,84
2013/02/09,12,32,83
2013/02/10,14,32,83
2013/02/11,14,31,83
2013/02/12,15,30,85
2013/02/13,15,30,82
2013/02/14,15,30,82
2013/02/15,15,29,81
2013/02/16,15,29,86
2013/02/17,15,29,86
2013/02/18,14,28,88
2013/02/19,14,28,88
2013/02/20,14,29,87
2013/02/21,14,28,87
2013/02/22,15,30,84
2013/02/23,14,30,82
2013/02/24,14,30,80
2013/02/25,13,30,80
2013/02/26,13,28,80
2013/02/27,13,27,79
2013/02/28,13,27,78
2013/03/01,13,26,79
2013/03/02,13,25,77
2013/03/03,13,25,78
2013/03/04,13,25,80
2013/03/05,13,24,75
2013/03/06,13,24,77
2013/03/07,13,24,76
2013/03/08,14,25,77
2013/03/09,14,25,79
2013/03/10,14,25,80
2013/03/11,13,25,82
2013/03/12,14,25,82
2013/03/13,14,25,84
2013/03/14,13,25,82
2013/03/15,12,25,85
2013/03/16,11,25,82
2013/03/17,11,25,81
2013/03/18,11,25,77
2013/03/19,11,25,76
2013/03/20,11,25,73
2013/03/21,11,25,73
2013/03/22,11,25,70
2013/03/23,11,25,71
2013/03/24,11,25,72
2013/03/25,11,25,72
2013/03/26,11,25,73
2013/03/27,11,25,74
2013/03/28,9,25,74
2013/03/29,9,25,74
2013/03/30,9,24,73
2013/03/31,9,25,73
2013/04/01,7,25,73
2013/04/02,7,24,73
2013/04/03,8,25,73
2013/04/04,9,23,72
2013/04/05,9,23,73
2013/04/06,8,19,69
2013/04/07,8,19,65
2013/04/08,8,18,65
2013/04/09,8,18,67
2013/04/10,8,18,70
2013/04/11,8,18,70
2013/04/12,8,18,70
2013/04/13,8,18,72
2013/04/14,8,16,71
2013/04/15,8,16,73
2013/04/16,8,16,73
2013/04/17,8,16,74
2013/04/18,8,16,73
2013/04/19,8,16,74
2013/04/20,8,16,76
2013/04/21,7,16,76
2013/04/22,7,16,76
2013/04/23,7,16,77
2013/04/24,8,17,80
2013/04/25,7,17,80
2013/04/26,7,17,83
2013/04/27,7,17,81
2013/04/28,6,17,81
2013/04/29,6,17,81
2013/04/30,6,17,80
2013/05/01,6,17,79
2013/05/02,6,17,76
2013/05/03,5,17,74
2013/05/04,5,17,73
2013/05/05,5,17,71
2013/05/06,5,16,70
2013/05/07,5,16,71
2013/05/08,5,16,69
2013/05/09,4,16,66
2013/05/10,4,16,62
2013/05/11,4,16,61
2013/05/12,4,16,59
2013/05/13,4,16,56
2013/05/14,4,15,56
2013/05/15,4,15,57
2013/05/16,4,14,56
2013/05/17,4,14,56
2013/05/18,4,14,55
2013/05/19,4,14,55
2013/05/20,4,14,57
2013/05/21,4,14,55
2013/05/22,4,14,55
2013/05/23,4,14,55
2013/05/24,4,12,53
2013/05/25,4,12,54
2013/05/26,4,14,53
2013/05/27,4,13,53
2013/05/28,3,12,56
2013/05/29,3,13,57
2013/05/30,4,12,58
2013/05/31,4,13,58
2013/06/01,4,13,58
2013/06/02,4,12,58
2013/06/03,4,12,58
2013/06/04,4,12,58
2013/06/05,4,12,59
2013/06/06,4,12,56
2013/06/07,4,14,55
2013/06/08,4,14,55
2013/06/09,4,14,56
2013/06/10,4,14,55
2013/06/11,4,14,56
2013/06/12,4,15,57
2013/06/13,4,15,57
2013/06/14,4,14,57
2013/06/15,4,14,58
2013/06/16,4,14,60
2013/06/17,4,14,62
2013/06/18,4,14,65
2013/06/19,4,13,64
2013/06/20,4,13,67
2013/06/21,3,13,65
2013/06/22,3,13,65
2013/06/23,3,13,65
2013/06/24,3,13,68
2013/06/25,3,13,68
2013/06/26,4,13,69
2013/06/27,4,14,68
2013/06/28,4,13,67
2013/06/29,4,13,65
2013/06/30,4,14,65
2013/07/01,4,13,65
2013/07/02,4,13,67
2013/07/03,4,13,65
2013/07/04,4,13,66
2013/07/05,4,13,66
2013/07/06,4,14,66
2013/07/07,4,13,65
2013/07/08,4,13,64
2013/07/09,4,14,64
2013/07/10,4,14,66
2013/07/11,4,15,67
2013/07/12,4,15,68
2013/07/13,4,15,68
2013/07/14,4,14,72
2013/07/15,4,14,70
2013/07/16,4,16,69
2013/07/17,4,16,69
2013/07/18,4,16,66
2013/07/19,4,18,66
2013/07/20,4,19,66
2013/07/21,4,19,67
2013/07/22,4,19,68
2013/07/23,4,18,66
2013/07/24,4,17,62
2013/07/25,4,17,64
2013/07/26,4,17,63
2013/07/27,4,17,65
2013/07/28,4,17,66
2013/07/29,4,17,66
2013/07/30,4,16,65
2013/07/31,4,16,64
2013/08/01,4,16,66
2013/08/02,4,17,65
2013/08/03,4,17,63
2013/08/04,4,19,61
2013/08/05,4,19,62
2013/08/06,4,18,63
2013/08/07,3,16,64
2013/08/08,3,17,62
2013/08/09,3,17,61
2013/08/10,3,16,61
2013/08/11,3,15,60
2013/08/12,2,15,63
2013/08/13,2,16,63
2013/08/14,2,16,64
2013/08/15,1,16,66
2013/08/16,1,16,70
2013/08/17,1,16,71
2013/08/18,1,15,75
2013/08/19,1,15,73
2013/08/20,1,15,73
2013/08/21,1,15,73
2013/08/22,1,16,74
2013/08/23,1,15,75
2013/08/24,1,16,72
2013/08/25,1,16,73
2013/08/26,1,15,73
2013/08/27,1,15,74
2013/08/28,1,15,74
2013/08/29,1,16,75
2013/08/30,1,15,74
2013/08/31,1,15,71
2013/09/01,1,14,72
2013/09/02,1,14,73
2013/09/03,1,13,74
2013/09/04,1,12,77
2013/09/05,1,12,75
2013/09/06,1,12,78
2013/09/07,1,12,79
2013/09/08,1,12,77
2013/09/09,1,12,77
2013/09/10,1,13,75
2013/09/11,1,13,73
2013/09/12,1,15,74
2013/09/13,1,16,77
2013/09/14,1,14,73
2013/09/15,1,13,72
2013/09/16,1,14,71
2013/09/17,1,13,67
2013/09/18,1,13,65
2013/09/19,,12,67
2013/09/20,,12,68
2013/09/21,,12,68
2013/09/22,,12,68
2013/09/23,,11,68
2013/09/24,,13,65
2013/09/25,,13,66
2013/09/26,,12,67
2013/09/27,,12,70
2013/09/28,,12,71
2013/09/29,,12,72
2013/09/30,,12,72
2013/10/01,,12,72
2013/10/02,,12,71
2013/10/03,,12,70
2013/10/04,,12,67
2013/10/05,,13,71
2013/10/06,,15,72
2013/10/07,2,16,74
2013/10/08,2,17,77
2013/10/09,2,17,76
2013/10/10,2,16,79
2013/10/11,2,16,79
2013/10/12,2,15,75
2013/10/13,2,15,71
2013/10/14,2,16,71
2013/10/15,3,16,73
2013/10/16,3,15,72
2013/10/17,3,15,73
2013/10/18,3,15,72
2013/10/19,3,16,72
2013/10/20,3,16,72
2013/10/21,3,17,73
2013/10/22,3,16,72
2013/10/23,3,16,71
2013/10/24,3,16,72
2013/10/25,3,17,72
2013/10/26,3,16,76
2013/10/27,3,15,76
2013/10/28,3,14,76
2013/10/29,3,15,78
2013/10/30,3,14,80
2013/10/31,3,14,81
2013/11/01,3,15,83
2013/11/02,3,16,81
2013/11/03,3,15,81
2013/11/04,3,15,80
2013/11/05,3,15,79
2013/11/06,3,14,78
2013/11/07,3,14,79
2013/11/08,3,15,79
2013/11/09,3,15,77
2013/11/10,3,18,80
2013/11/11,3,21,82
2013/11/12,3,21,82
2013/11/13,3,21,82
2013/11/14,3,21,83
2013/11/15,3,21,85
2013/11/16,2,21,85
2013/11/17,2,20,81
2013/11/18,2,20,80
2013/11/19,1,21,80
2013/11/20,1,21,79
2013/11/21,1,22,79
2013/11/22,1,21,78
2013/11/23,1,21,79
2013/11/24,1,22,79
2013/11/25,1,21,77
2013/11/26,1,21,78
2013/11/27,1,20,79
2013/11/28,1,20,78
2013/11/29,1,19,76
2013/11/30,1,19,75
2013/12/01,1,19,75
2013/12/02,1,19,74
2013/12/03,,19,75
2013/12/04,,19,73
2013/12/05,,20,75
2013/12/06,,20,75
2013/12/07,,20,73
2013/12/08,,20,72
2013/12/09,,19,72
2013/12/10,,18,74
2013/12/11,,15,75
2013/12/12,,15,74
2013/12/13,,13,73
2013/12/14,,13,71
2013/12/15,,13,72
2013/12/16,1,12,71
2013/12/17,1,11,72
2013/12/18,1,11,72
2013/12/19,1,11,74
2013/12/20,1,11,72
2013/12/21,1,11,70
2013/12/22,1,10,69
2013/12/23,1,10,67
2013/12/24,1,9,68
2013/12/25,1,10,66
2013/12/26,1,9,68
2013/12/27,1,9,69
2013/12/28,1,9,68
2013/12/29,1,9,70
2013/12/30,1,10,70
2013/12/31,1,10,73
2014/01/01,1,11,73
2014/01/02,1,12,75
2014/01/03,1,12,75
2014/01/04,1,11,77
2014/01/05,1,12,80
2014/01/06,1,11,80
2014/01/07,1,12,79
2014/01/08,1,12,76
2014/01/09,1,12,72
2014/01/10,1,12,71
2014/01/11,1,11,70
2014/01/12,1,10,69
2014/01/13,1,9,68
2014/01/14,1,9,65
2014/01/15,,9,66
2014/01/16,,8,68
2014/01/17,,8,69
2014/01/18,,9,67
2014/01/19,,9,68
2014/01/20,,8,71
2014/01/21,,10,70
2014/01/22,,12,72
2014/01/23,,11,71
2014/01/24,,11,75
2014/01/25,,11,72
2014/01/26,,13,69
2014/01/27,,14,69
2014/01/28,,16,70
2014/01/29,,15,70
2014/01/30,,16,67
2014/01/31,,15,67
2014/02/01,,16,68
2014/02/02,,16,68
2014/02/03,,16,64
2014/02/04,,16,62
2014/02/05,,16,62
2014/02/06,,16,67
2014/02/07,,16,64
2014/02/08,,16,66
2014/02/09,,18,69
2014/02/10,,18,70
2014/02/11,,18,72
2014/02/12,,18,76
2014/02/13,,18,76
2014/02/14,,21,77
2014/02/15,,23,76
2014/02/16,,23,74
2014/02/17,,23,72
2014/02/18,,21,75
2014/02/19,,21,76
2014/02/20,,20,77
2014/02/21,,20,77
2014/02/22,,22,76
2014/02/23,,22,72
2014/02/24,,21,72
2014/02/25,,20,73
2014/02/26,,19,74
2014/02/27,,18,73
2014/02/28,,18,73
2014/03/01,,17,73
2014/03/02,,17,71
2014/03/03,,17,69
2014/03/04,,16,69
2014/03/05,,16,71
2014/03/06,,16,71
2014/03/07,1,18,75
2014/03/08,1,17,71
2014/03/09,1,16,75
2014/03/10,1,16,74
2014/03/11,1,15,69
2014/03/12,1,15,73
2014/03/13,1,15,71
2014/03/14,1,15,68
2014/03/15,1,14,69
2014/03/16,1,14,71
2014/03/17,1,13,71
2014/03/18,1,13,75
2014/03/19,1,11,76
2014/03/20,1,11,76
2014/03/21,1,12,75
2014/03/22,1,12,74
2014/03/23,1,12,75
2014/03/24,1,13,74
2014/03/25,1,13,76
2014/03/26,1,12,79
2014/03/27,1,12,76
2014/03/28,1,12,77
2014/03/29,1,12,77
2014/03/30,1,11,78
2014/03/31,1,11,79
2014/04/01,1,13,79
2014/04/02,2,13,79
2014/04/03,2,13,79
2014/04/04,2,12,78
2014/04/05,2,14,78
2014/04/06,3,14,78
2014/04/07,3,14,78
2014/04/08,4,14,75
2014/04/09,4,14,73
2014/04/10,4,14,73
2014/04/11,4,13,72
2014/04/12,4,13,72
2014/04/13,4,14,71
2014/04/14,4,14,71
2014/04/15,4,15,70
2014/04/16,4,15,67
2014/04/17,4,16,62
2014/04/18,4,17,66
2014/04/19,4,17,66
2014/04/20,4,17,66
2014/04/21,4,17,68
2014/04/22,5,20,67
2014/04/23,5,19,69
2014/04/24,5,19,68
2014/04/25,6,18,65
2014/04/26,6,19,66
2014/04/27,6,19,66
2014/04/28,6,19,67
2014/04/29,6,19,65
2014/04/30,6,18,65
2014/05/01,6,17,64
2014/05/02,5,17,64
2014/05/03,5,17,68
2014/05/04,4,17,67
2014/05/05,5,17,67
2014/05/06,5,16,67
2014/05/07,5,17,65
2014/05/08,5,17,64
2014/05/09,5,17,65
2014/05/10,5,17,64
2014/05/11,5,17,65
2014/05/12,5,17,64
2014/05/13,5,16,65
2014/05/14,5,15,64
2014/05/15,5,15,66
2014/05/16,5,16,69
2014/05/17,5,17,68
2014/05/18,4,18,69
2014/05/19,4,17,66
2014/05/20,3,17,67
2014/05/21,3,17,68
2014/05/22,2,14,67
2014/05/23,3,14,66
2014/05/24,3,14,66
2014/05/25,3,14,66
2014/05/26,3,12,68
2014/05/27,3,12,67
2014/05/28,3,12,65
2014/05/29,3,12,66
2014/05/30,3,13,69
2014/05/31,2,13,70
2014/06/01,2,15,70
2014/06/02,2,16,68
2014/06/03,1,16,69
2014/06/04,1,16,68
2014/06/05,1,15,65
2014/06/06,1,15,64
2014/06/07,,16,67
2014/06/08,2,17,68
2014/06/09,1,19,70
2014/06/10,1,20,72
2014/06/11,1,20,73
2014/06/12,1,21,72
2014/06/13,1,21,72
2014/06/14,1,22,72
2014/06/15,1,21,70
2014/06/16,1,19,71
2014/06/17,1,20,70
2014/06/18,1,20,69
2014/06/19,1,20,67
2014/06/20,1,20,66
2014/06/21,1,20,66
2014/06/22,1,22,63
2014/06/23,1,22,65
2014/06/24,1,22,66
2014/06/25,1,23,65
2014/06/26,1,24,66
2014/06/27,1,24,69
2014/06/28,1,24,68
2014/06/29,1,23,66
2014/06/30,1,22,63
2014/07/01,1,21,65
2014/07/02,1,20,63
2014/07/03,1,20,62
2014/07/04,2,21,64
2014/07/05,2,21,66
2014/07/06,1,21,67
2014/07/07,1,20,67
2014/07/08,1,20,70
2014/07/09,1,19,69
2014/07/10,1,17,70
2014/07/11,1,18,73
2014/07/12,1,17,74
2014/07/13,1,17,76
2014/07/14,1,16,76
2014/07/15,1,18,78
2014/07/16,1,19,78
2014/07/17,1,18,76
2014/07/18,1,17,77
2014/07/19,1,17,79
2014/07/20,1,20,81
2014/07/21,1,21,78
2014/07/22,1,18,81
2014/07/23,1,18,81
2014/07/24,1,18,80
2014/07/25,1,18,80
2014/07/26,1,18,79
2014/07/27,1,17,78
2014/07/28,1,17,80
2014/07/29,1,19,82
2014/07/30,1,19,82
2014/07/31,1,18,79
2014/08/01,1,19,82
2014/08/02,1,19,82
2014/08/03,,18,84
2014/08/04,,19,87
2014/08/05,,19,87
2014/08/06,,20,82
2014/08/07,,20,79
2014/08/08,,20,81
2014/08/09,1,19,82
2014/08/10,1,19,79
2014/08/11,1,19,78
