date,hifwiki (100+),hifwiki (5+),hifwiki (all)
2013/03/03,8,25,61
2013/03/04,8,26,62
2013/03/05,7,26,59
2013/03/06,7,28,60
2013/03/07,7,27,58
2013/03/08,8,26,59
2013/03/09,7,25,61
2013/03/10,9,24,59
2013/03/11,9,25,61
2013/03/12,10,26,61
2013/03/13,10,27,61
2013/03/14,10,25,61
2013/03/15,10,26,62
2013/03/16,10,24,60
2013/03/17,9,24,62
2013/03/18,10,25,61
2013/03/19,10,25,60
2013/03/20,8,24,59
2013/03/21,8,24,57
2013/03/22,8,24,57
2013/03/23,8,23,56
2013/03/24,8,23,57
2013/03/25,7,25,58
2013/03/26,7,25,56
2013/03/27,6,25,54
2013/03/28,6,26,55
2013/03/29,5,24,52
2013/03/30,5,24,50
2013/03/31,5,22,51
2013/04/01,5,21,51
2013/04/02,5,21,51
2013/04/03,5,18,46
2013/04/04,5,18,44
2013/04/05,5,14,41
2013/04/06,5,13,39
2013/04/07,5,13,39
2013/04/08,5,14,39
2013/04/09,5,14,40
2013/04/10,5,13,39
2013/04/11,3,12,39
2013/04/12,3,11,39
2013/04/13,3,11,38
2013/04/14,3,10,36
2013/04/15,3,10,36
2013/04/16,3,8,32
2013/04/17,3,7,33
2013/04/18,3,7,33
2013/04/19,2,7,33
2013/04/20,2,7,32
2013/04/21,2,9,31
2013/04/22,2,8,30
2013/04/23,2,8,30
2013/04/24,2,7,30
2013/04/25,2,5,29
2013/04/26,2,5,30
2013/04/27,2,5,29
2013/04/28,2,5,30
2013/04/29,2,5,32
2013/04/30,2,5,32
2013/05/01,2,6,30
2013/05/02,2,6,30
2013/05/03,2,5,29
2013/05/04,2,5,28
2013/05/05,2,5,26
2013/05/06,2,4,26
2013/05/07,1,4,25
2013/05/08,1,4,26
2013/05/09,1,4,26
2013/05/10,1,4,26
2013/05/11,1,4,26
2013/05/12,,4,28
2013/05/13,,4,30
2013/05/14,,4,32
2013/05/15,,4,34
2013/05/16,,4,34
2013/05/17,,3,32
2013/05/18,,3,32
2013/05/19,,3,31
2013/05/20,,3,30
2013/05/21,,4,30
2013/05/22,,4,31
2013/05/23,,5,31
2013/05/24,,5,29
2013/05/25,,3,28
2013/05/26,,3,29
2013/05/27,,3,29
2013/05/28,,3,28
2013/05/29,,3,29
2013/05/30,,4,32
2013/05/31,,4,32
2013/06/01,,5,32
2013/06/02,,5,32
2013/06/03,,5,32
2013/06/04,,5,32
2013/06/05,,4,31
2013/06/06,,4,32
2013/06/07,,4,30
2013/06/08,,4,29
2013/06/09,,5,28
2013/06/10,,5,28
2013/06/11,,5,27
2013/06/12,,5,24
2013/06/13,,5,23
2013/06/14,,5,22
2013/06/15,,5,22
2013/06/16,,5,24
2013/06/17,,8,28
2013/06/18,,7,28
2013/06/19,,7,30
2013/06/20,,8,31
2013/06/21,,8,32
2013/06/22,,9,34
2013/06/23,,10,35
2013/06/24,,10,36
2013/06/25,,11,36
2013/06/26,,11,35
2013/06/27,,11,36
2013/06/28,,11,36
2013/06/29,,10,33
2013/06/30,,10,33
2013/07/01,,10,35
2013/07/02,,11,37
2013/07/03,,11,39
2013/07/04,,12,40
2013/07/05,,13,42
2013/07/06,,12,43
2013/07/07,,12,44
2013/07/08,,13,44
2013/07/09,,13,45
2013/07/10,,13,45
2013/07/11,,13,45
2013/07/12,,13,46
2013/07/13,,13,46
2013/07/14,,13,45
2013/07/15,,12,47
2013/07/16,,12,47
2013/07/17,,11,46
2013/07/18,,10,45
2013/07/19,,11,45
2013/07/20,,10,43
2013/07/21,,10,45
2013/07/22,,9,46
2013/07/23,,8,44
2013/07/24,,8,44
2013/07/25,,8,45
2013/07/26,,8,47
2013/07/27,,8,48
2013/07/28,,8,47
2013/07/29,,8,47
2013/07/30,,9,47
2013/07/31,,9,46
2013/08/01,,11,44
2013/08/02,,11,45
2013/08/03,,10,44
2013/08/04,,10,42
2013/08/05,,10,40
2013/08/06,,10,39
2013/08/07,,10,39
2013/08/08,,10,39
2013/08/09,,10,39
2013/08/10,,10,38
2013/08/11,,9,36
2013/08/12,,9,36
2013/08/13,,9,36
2013/08/14,,9,35
2013/08/15,,9,34
2013/08/16,,8,33
2013/08/17,,8,32
2013/08/18,,7,33
2013/08/19,,7,32
2013/08/20,,6,30
2013/08/21,,6,28
2013/08/22,1,7,29
2013/08/23,1,7,26
2013/08/24,1,7,25
2013/08/25,1,7,23
2013/08/26,1,7,22
2013/08/27,1,7,21
2013/08/28,1,7,22
2013/08/29,1,8,23
2013/08/30,1,7,26
2013/08/31,1,7,25
2013/09/01,1,7,25
2013/09/02,1,7,26
2013/09/03,1,7,26
2013/09/04,1,6,25
2013/09/05,1,5,25
2013/09/06,1,5,25
2013/09/07,1,5,24
2013/09/08,1,4,23
2013/09/09,1,5,25
2013/09/10,1,5,27
2013/09/11,1,5,29
2013/09/12,1,6,31
2013/09/13,1,6,29
2013/09/14,1,5,31
2013/09/15,1,5,31
2013/09/16,1,5,32
2013/09/17,1,5,32
2013/09/18,1,4,33
2013/09/19,2,5,33
2013/09/20,2,6,33
2013/09/21,1,5,33
2013/09/22,1,4,33
2013/09/23,1,4,33
2013/09/24,1,4,34
2013/09/25,1,4,34
2013/09/26,1,4,36
2013/09/27,1,4,34
2013/09/28,1,5,35
2013/09/29,1,5,30
2013/09/30,1,5,30
2013/10/01,1,5,30
2013/10/02,1,5,29
2013/10/03,1,5,29
2013/10/04,1,5,29
2013/10/05,1,6,29
2013/10/06,1,6,28
2013/10/07,1,6,28
2013/10/08,1,6,28
2013/10/09,1,6,25
2013/10/10,1,6,22
2013/10/11,1,5,20
2013/10/12,1,4,18
2013/10/13,1,4,18
2013/10/14,1,3,17
2013/10/15,1,4,18
2013/10/16,1,4,18
2013/10/17,1,4,19
2013/10/18,1,4,19
2013/10/19,1,4,19
2013/10/20,1,3,18
2013/10/21,1,3,18
2013/10/22,1,4,18
2013/10/23,1,4,19
2013/10/24,1,4,20
2013/10/25,1,4,21
2013/10/26,1,4,19
2013/10/27,1,4,19
2013/10/28,1,4,19
2013/10/29,1,4,20
2013/10/30,1,4,20
2013/10/31,1,4,20
2013/11/01,1,5,22
2013/11/02,,4,22
2013/11/03,,4,22
2013/11/04,,4,22
2013/11/05,,4,23
2013/11/06,,4,23
2013/11/07,,4,25
2013/11/08,,4,26
2013/11/09,,4,26
2013/11/10,,4,26
2013/11/11,,4,25
2013/11/12,,5,27
2013/11/13,,5,27
2013/11/14,,5,26
2013/11/15,,2,25
2013/11/16,,2,26
2013/11/17,,2,27
2013/11/18,,2,28
2013/11/19,,2,28
2013/11/20,,2,27
2013/11/21,,2,29
2013/11/22,,2,28
2013/11/23,,2,26
2013/11/24,,1,26
2013/11/25,,1,27
2013/11/26,,1,28
2013/11/27,,1,28
2013/11/28,,1,28
2013/11/29,,1,28
2013/11/30,,1,29
2013/12/01,,1,27
2013/12/02,,1,27
2013/12/03,,1,25
2013/12/04,,1,25
2013/12/05,,1,24
2013/12/06,,1,25
2013/12/07,,1,24
2013/12/08,,1,23
2013/12/09,,1,25
2013/12/10,,1,26
2013/12/11,,1,27
2013/12/12,,1,26
2013/12/13,,2,28
2013/12/14,,2,27
2013/12/15,,3,28
2013/12/16,,3,27
2013/12/17,,3,25
2013/12/18,,3,25
2013/12/19,,3,24
2013/12/20,,3,24
2013/12/21,,5,22
2013/12/22,,5,23
2013/12/23,,5,23
2013/12/24,,5,24
2013/12/25,,5,23
2013/12/26,,4,22
2013/12/27,,4,21
2013/12/28,,4,20
2013/12/29,,4,21
2013/12/30,,4,23
2013/12/31,,4,22
2014/01/01,,4,22
2014/01/02,,4,22
2014/01/03,,5,23
2014/01/04,,5,23
2014/01/05,,5,22
2014/01/06,,6,23
2014/01/07,1,6,22
2014/01/08,1,6,21
2014/01/09,1,6,20
2014/01/10,1,6,20
2014/01/11,1,6,18
2014/01/12,1,5,17
2014/01/13,1,5,17
2014/01/14,1,4,18
2014/01/15,1,5,20
2014/01/16,1,5,20
2014/01/17,1,6,23
2014/01/18,1,6,24
2014/01/19,1,6,24
2014/01/20,1,5,25
2014/01/21,1,5,24
2014/01/22,1,5,24
2014/01/23,1,5,23
2014/01/24,1,5,26
2014/01/25,1,5,27
2014/01/26,1,5,27
2014/01/27,1,5,28
2014/01/28,1,5,28
2014/01/29,1,5,26
2014/01/30,1,5,29
2014/01/31,1,5,29
2014/02/01,1,5,30
2014/02/02,1,5,31
2014/02/03,1,4,33
2014/02/04,1,4,34
2014/02/05,1,4,35
2014/02/06,,4,37
2014/02/07,,3,36
2014/02/08,,4,39
2014/02/09,,5,39
2014/02/10,,5,41
2014/02/11,,5,41
2014/02/12,,6,42
2014/02/13,,6,43
2014/02/14,,6,43
2014/02/15,,5,43
2014/02/16,,5,38
2014/02/17,,5,38
2014/02/18,,5,39
2014/02/19,,5,38
2014/02/20,,5,40
2014/02/21,,6,40
2014/02/22,,6,39
2014/02/23,,6,38
2014/02/24,,6,38
2014/02/25,,7,39
2014/02/26,,7,38
2014/02/27,1,7,38
2014/02/28,1,7,38
2014/03/01,1,7,36
2014/03/02,1,7,36
2014/03/03,1,7,35
2014/03/04,1,7,37
2014/03/05,1,7,36
2014/03/06,1,7,34
2014/03/07,1,7,35
2014/03/08,1,6,34
2014/03/09,1,6,35
2014/03/10,1,6,34
2014/03/11,1,5,34
2014/03/12,1,5,31
2014/03/13,1,5,31
2014/03/14,1,5,30
2014/03/15,1,5,30
2014/03/16,1,5,30
2014/03/17,1,5,29
2014/03/18,1,5,30
2014/03/19,1,5,28
2014/03/20,1,5,27
2014/03/21,1,5,27
2014/03/22,1,4,26
2014/03/23,1,4,25
2014/03/24,1,5,25
2014/03/25,1,5,23
2014/03/26,1,5,22
2014/03/27,1,5,24
2014/03/28,1,5,25
2014/03/29,1,6,25
2014/03/30,1,6,25
2014/03/31,,6,25
2014/04/01,,6,25
2014/04/02,,6,25
2014/04/03,,6,23
2014/04/04,,6,23
2014/04/05,1,6,23
2014/04/06,1,4,22
2014/04/07,2,4,23
2014/04/08,2,5,22
2014/04/09,2,4,23
2014/04/10,2,4,21
2014/04/11,2,4,20
2014/04/12,2,4,20
2014/04/13,2,5,20
2014/04/14,2,5,18
2014/04/15,2,5,18
2014/04/16,2,5,19
2014/04/17,2,4,19
2014/04/18,2,4,20
2014/04/19,2,4,21
2014/04/20,2,5,22
2014/04/21,2,6,21
2014/04/22,3,6,22
2014/04/23,5,8,21
2014/04/24,5,8,21
2014/04/25,5,8,20
2014/04/26,5,8,20
2014/04/27,5,8,19
2014/04/28,5,8,20
2014/04/29,5,8,20
2014/04/30,5,8,21
2014/05/01,5,8,22
2014/05/02,5,8,23
2014/05/03,5,8,23
2014/05/04,5,8,22
2014/05/05,5,8,22
2014/05/06,5,8,21
2014/05/07,3,8,21
2014/05/08,3,7,20
2014/05/09,3,7,19
2014/05/10,3,8,21
2014/05/11,3,8,21
2014/05/12,3,8,23
2014/05/13,3,8,23
2014/05/14,3,7,23
2014/05/15,3,6,24
2014/05/16,3,5,23
2014/05/17,3,6,23
2014/05/18,3,6,21
2014/05/19,3,6,20
2014/05/20,3,5,19
2014/05/21,3,5,19
2014/05/22,3,6,22
2014/05/23,,3,21
2014/05/24,,3,21
2014/05/25,,3,22
2014/05/26,,3,22
2014/05/27,,3,21
2014/05/28,,5,21
2014/05/29,,5,22
2014/05/30,,5,23
2014/05/31,,5,22
2014/06/01,,5,24
2014/06/02,,6,25
2014/06/03,,6,26
2014/06/04,,6,26
2014/06/05,,6,26
2014/06/06,,6,25
2014/06/07,,6,26
2014/06/08,,6,26
2014/06/09,,5,27
2014/06/10,,5,28
2014/06/11,,5,27
2014/06/12,,5,27
2014/06/13,,5,28
2014/06/14,,5,27
2014/06/15,,5,27
2014/06/16,,5,29
2014/06/17,,5,29
2014/06/18,,5,29
2014/06/19,,5,29
2014/06/20,,4,29
2014/06/21,,4,28
2014/06/22,,4,27
2014/06/23,,4,27
2014/06/24,,3,26
2014/06/25,,2,25
2014/06/26,,2,27
2014/06/27,,2,26
2014/06/28,,2,25
2014/06/29,,2,23
2014/06/30,,2,23
2014/07/01,,2,21
2014/07/02,,2,21
2014/07/03,,2,21
2014/07/04,,2,22
2014/07/05,,2,22
2014/07/06,,2,22
2014/07/07,,3,22
2014/07/08,,4,23
2014/07/09,,3,21
2014/07/10,,3,21
2014/07/11,,3,21
2014/07/12,,3,22
2014/07/13,,3,21
2014/07/14,,3,22
2014/07/15,,2,22
2014/07/16,,2,20
2014/07/17,,2,20
2014/07/18,,2,21
2014/07/19,,2,21
2014/07/20,,2,22
2014/07/21,,2,22
2014/07/22,,2,20
2014/07/23,,2,21
2014/07/24,,2,21
2014/07/25,,2,21
2014/07/26,,2,19
2014/07/27,,2,19
2014/07/28,,2,19
2014/07/29,,2,20
2014/07/30,,2,19
2014/07/31,,2,18
2014/08/01,,2,17
2014/08/02,,2,17
2014/08/03,,2,16
2014/08/04,,2,16
2014/08/05,,2,16
2014/08/06,,1,15
2014/08/07,,1,15
2014/08/08,,,14
2014/08/09,,,13
2014/08/10,,,12
2014/08/11,,1,11
2014/08/12,,2,13
2014/08/13,,2,14
2014/08/14,,2,13
2014/08/15,,2,14
2014/08/16,,2,14
2014/08/17,,3,14
2014/08/18,,3,17
2014/08/19,,3,18
2014/08/20,,3,18
2014/08/21,,3,18
2014/08/22,,3,18
2014/08/23,,3,18
2014/08/24,,3,17
2014/08/25,,3,17
2014/08/26,,4,17
2014/08/27,,5,17
2014/08/28,,5,17
2014/08/29,,6,17
2014/08/30,,6,18
2014/08/31,,6,18
2014/09/01,,8,20
2014/09/02,,8,22
2014/09/03,,8,22
2014/09/04,,8,24
2014/09/05,,9,24
2014/09/06,,9,24
2014/09/07,,9,24
2014/09/08,,9,24
2014/09/09,,9,24
2014/09/10,,9,24
2014/09/11,,8,23
2014/09/12,,8,21
2014/09/13,,9,22
2014/09/14,,9,21
2014/09/15,,9,22
2014/09/16,,9,21
2014/09/17,,8,19
2014/09/18,,8,18
2014/09/19,,8,18
2014/09/20,,8,18
2014/09/21,,8,18
2014/09/22,,8,20
2014/09/23,,7,19
2014/09/24,,7,19
2014/09/25,,7,20
2014/09/26,,7,20
2014/09/27,,6,20
2014/09/28,,5,20
2014/09/29,,5,20
2014/09/30,,5,20
2014/10/01,,3,19
2014/10/02,,3,18
2014/10/03,,3,18
2014/10/04,,3,17
2014/10/05,,2,17
2014/10/06,,2,17
2014/10/07,,2,16
2014/10/08,,1,17
2014/10/09,,1,17
2014/10/10,,1,16
2014/10/11,,1,16
2014/10/12,,1,16
2014/10/13,,,15
2014/10/14,,,15
2014/10/15,,,14
2014/10/16,,,15
2014/10/17,,,15
2014/10/18,,,15
2014/10/19,,,15
2014/10/20,,,17
2014/10/21,,,19
2014/10/22,,,17
2014/10/23,,,18
2014/10/24,,,19
2014/10/25,,,18
2014/10/26,,1,18
2014/10/27,,1,18
2014/10/28,,1,19
2014/10/29,,1,18
2014/10/30,,1,18
2014/10/31,,1,16
2014/11/01,,2,16
2014/11/02,,2,17
2014/11/03,,2,17
2014/11/04,,2,16
2014/11/05,,2,17
2014/11/06,,2,18
2014/11/07,,2,17
2014/11/08,,2,17
2014/11/09,,2,17
2014/11/10,,2,18
2014/11/11,,2,19
2014/11/12,,2,19
2014/11/13,,2,19
2014/11/14,,2,20
2014/11/15,,1,21
2014/11/16,,1,21
2014/11/17,,1,21
2014/11/18,,1,21
2014/11/19,,1,19
2014/11/20,,1,19
2014/11/21,,1,19
2014/11/22,,1,18
2014/11/23,,1,17
2014/11/24,,,17
2014/11/25,,,15
2014/11/26,,1,15
2014/11/27,,1,15
2014/11/28,,2,15
2014/11/29,,2,14
2014/11/30,,2,14
2014/12/01,,2,13
2014/12/02,,2,12
2014/12/03,,2,12
2014/12/04,,2,13
2014/12/05,,2,12
2014/12/06,,2,13
2014/12/07,,2,15
2014/12/08,,3,15
2014/12/09,,3,15
2014/12/10,,3,15
2014/12/11,,3,15
2014/12/12,,3,15
2014/12/13,,3,15
2014/12/14,,3,14
2014/12/15,,3,13
2014/12/16,,3,12
2014/12/17,,3,12
2014/12/18,,3,13
2014/12/19,,3,13
2014/12/20,,3,14
2014/12/21,,3,13
2014/12/22,,3,13
2014/12/23,1,3,14
2014/12/24,1,3,14
2014/12/25,1,3,15
2014/12/26,1,2,15
2014/12/27,1,1,14
2014/12/28,1,2,14
2014/12/29,1,3,15
2014/12/30,1,3,16
2014/12/31,1,3,15
2015/01/01,1,3,15
2015/01/02,1,3,16
2015/01/03,,3,17
2015/01/04,,3,18
2015/01/05,,3,17
2015/01/06,,3,18
2015/01/07,,4,18
2015/01/08,,4,17
2015/01/09,,4,17
2015/01/10,,5,15
2015/01/11,,5,15
2015/01/12,,5,15
2015/01/13,,5,15
