date,biwiki (100+),biwiki (5+),biwiki (all)
2012/11/29,,18,32
2012/11/30,,18,32
2012/12/01,,18,32
2012/12/02,,18,32
2012/12/03,,17,31
2012/12/04,,17,30
2012/12/05,,17,30
2012/12/06,,16,29
2012/12/07,,16,28
2012/12/08,1,16,27
2012/12/09,,16,27
2012/12/10,,16,26
2012/12/11,,16,26
2012/12/12,,16,26
2012/12/13,,17,27
2012/12/14,1,17,27
2012/12/15,1,16,26
2012/12/16,1,16,27
2012/12/17,,15,27
2012/12/18,,16,27
2012/12/19,,16,27
2012/12/20,,16,26
2012/12/21,,16,25
2012/12/22,,16,25
2012/12/23,,14,25
2012/12/24,,13,25
2012/12/25,,13,25
2012/12/26,,13,25
2012/12/27,,13,23
2012/12/28,,12,23
2012/12/29,,12,23
2012/12/30,,12,23
2012/12/31,,11,24
2013/01/01,,11,24
2013/01/02,,11,24
2013/01/03,,11,25
2013/01/04,,12,25
2013/01/05,,12,25
2013/01/06,,12,25
2013/01/07,,12,24
2013/01/08,1,12,26
2013/01/09,1,12,28
2013/01/10,1,12,28
2013/01/11,1,12,29
2013/01/12,1,12,29
2013/01/13,1,13,30
2013/01/14,1,13,30
2013/01/15,2,13,32
2013/01/16,2,13,33
2013/01/17,2,13,33
2013/01/18,2,14,36
2013/01/19,2,14,36
2013/01/20,2,14,39
2013/01/21,2,14,39
2013/01/22,2,13,39
2013/01/23,2,12,39
2013/01/24,2,12,39
2013/01/25,2,13,40
2013/01/26,2,14,39
2013/01/27,2,13,38
2013/01/28,2,13,38
2013/01/29,2,13,38
2013/01/30,3,12,37
2013/01/31,3,14,37
2013/02/01,3,15,37
2013/02/02,3,15,39
2013/02/03,3,15,38
2013/02/04,3,14,38
2013/02/05,2,14,38
2013/02/06,2,13,37
2013/02/07,2,13,37
2013/02/08,2,13,35
2013/02/09,2,13,34
2013/02/10,2,13,34
2013/02/11,2,13,34
2013/02/12,2,13,34
2013/02/13,2,12,34
2013/02/14,2,12,32
2013/02/15,2,12,31
2013/02/16,2,12,32
2013/02/17,1,13,31
2013/02/18,1,12,32
2013/02/19,1,11,29
2013/02/20,1,11,29
2013/02/21,1,11,29
2013/02/22,1,11,28
2013/02/23,1,12,28
2013/02/24,1,12,28
2013/02/25,1,10,28
2013/02/26,1,11,27
2013/02/27,1,11,27
2013/02/28,1,11,27
2013/03/01,1,10,27
2013/03/02,1,10,27
2013/03/03,1,10,27
2013/03/04,1,10,24
2013/03/05,1,10,24
2013/03/06,1,10,23
2013/03/07,2,11,24
2013/03/08,2,10,24
2013/03/09,2,10,26
2013/03/10,1,10,24
2013/03/11,1,10,23
2013/03/12,1,11,25
2013/03/13,1,11,24
2013/03/14,1,11,24
2013/03/15,1,11,22
2013/03/16,1,11,22
2013/03/17,1,11,22
2013/03/18,1,11,21
2013/03/19,1,11,21
2013/03/20,1,10,20
2013/03/21,1,10,20
2013/03/22,1,10,20
2013/03/23,1,10,20
2013/03/24,1,10,20
2013/03/25,1,9,19
2013/03/26,1,9,19
2013/03/27,1,9,21
2013/03/28,1,9,21
2013/03/29,1,8,21
2013/03/30,1,8,21
2013/03/31,1,8,20
2013/04/01,1,8,21
2013/04/02,1,8,21
2013/04/03,1,7,20
2013/04/04,1,6,22
2013/04/05,1,5,20
2013/04/06,1,5,19
2013/04/07,1,3,17
2013/04/08,,4,17
2013/04/09,,4,17
2013/04/10,,4,16
2013/04/11,,3,15
2013/04/12,,4,17
2013/04/13,,4,17
2013/04/14,,4,17
2013/04/15,,4,17
2013/04/16,,4,17
2013/04/17,,4,17
2013/04/18,,4,17
2013/04/19,,4,17
2013/04/20,,4,17
2013/04/21,,3,18
2013/04/22,,3,18
2013/04/23,,3,18
2013/04/24,,3,18
2013/04/25,,2,18
2013/04/26,,2,16
2013/04/27,,2,16
2013/04/28,,2,16
2013/04/29,,2,16
2013/04/30,,2,16
2013/05/01,,2,14
2013/05/02,,2,14
2013/05/03,,2,14
2013/05/04,,2,14
2013/05/05,,2,13
2013/05/06,,3,13
2013/05/07,,3,14
2013/05/08,,2,12
2013/05/09,,2,12
2013/05/10,,2,12
2013/05/11,,2,12
2013/05/12,,1,10
2013/05/13,,1,10
2013/05/14,,1,11
2013/05/15,,1,12
2013/05/16,,2,12
2013/05/17,,2,12
2013/05/18,,2,12
2013/05/19,,2,12
2013/05/20,,2,12
2013/05/21,,2,10
2013/05/22,,2,11
2013/05/23,,2,11
2013/05/24,,2,11
2013/05/25,,2,11
2013/05/26,,2,11
2013/05/27,,2,11
2013/05/28,,2,12
2013/05/29,,2,12
2013/05/30,,2,12
2013/05/31,,2,12
2013/06/01,,2,12
2013/06/02,,1,11
2013/06/03,,,9
2013/06/04,,,9
2013/06/05,,,7
2013/06/06,,1,7
2013/06/07,,1,7
2013/06/08,,1,7
2013/06/09,,1,8
2013/06/10,,1,9
2013/06/11,,1,9
2013/06/12,,1,9
2013/06/13,,1,8
2013/06/14,,1,6
2013/06/15,,1,5
2013/06/16,,1,5
2013/06/17,,1,6
2013/06/18,,1,6
2013/06/19,,1,6
2013/06/20,,1,6
2013/06/21,,1,6
2013/06/22,,1,6
2013/06/23,,1,6
2013/06/24,,1,7
2013/06/25,,1,7
2013/06/26,,1,7
2013/06/27,,1,6
2013/06/28,,1,6
2013/06/29,,1,6
2013/06/30,,1,6
2013/07/01,,1,6
2013/07/02,,1,7
2013/07/03,,1,9
2013/07/04,,1,10
2013/07/05,,1,10
2013/07/06,,,10
2013/07/07,,,10
2013/07/08,,,10
2013/07/09,,,9
2013/07/10,,,8
2013/07/11,,,8
2013/07/12,,,8
2013/07/13,,,9
2013/07/14,,,8
2013/07/15,,,8
2013/07/16,,,8
2013/07/17,,,7
2013/07/18,,,7
2013/07/19,,,8
2013/07/20,,,8
2013/07/21,,,7
2013/07/22,,,7
2013/07/23,,,7
2013/07/24,,,6
2013/07/25,,,7
2013/07/26,,,7
2013/07/27,,,7
2013/07/28,,,7
2013/07/29,,1,7
2013/07/30,,1,7
2013/07/31,,1,7
2013/08/01,,1,6
2013/08/02,,1,4
2013/08/03,,1,3
2013/08/04,,1,3
2013/08/05,,1,3
2013/08/06,,1,3
2013/08/07,,1,3
2013/08/08,,1,3
2013/08/09,,1,3
2013/08/10,,1,3
2013/08/11,,1,3
2013/08/12,,1,4
2013/08/13,,1,4
2013/08/14,,1,4
2013/08/15,,1,4
2013/08/16,,1,4
2013/08/17,,1,4
2013/08/18,,,4
2013/08/19,,,4
2013/08/20,,,4
2013/08/21,,,3
2013/08/22,,,3
2013/08/23,,,3
2013/08/24,,,2
2013/08/25,,1,2
2013/08/26,,1,2
2013/08/27,,1,2
2013/08/28,,,2
2013/08/29,,,2
2013/08/30,,,3
2013/08/31,,,3
2013/09/01,,,3
2013/09/02,,,3
2013/09/03,,,3
2013/09/04,,,3
2013/09/05,,,3
2013/09/06,,,3
2013/09/07,,,3
2013/09/08,,,3
2013/09/09,,,3
2013/09/10,,,3
2013/09/11,,,2
2013/09/12,,,2
2013/09/13,,,2
2013/09/14,,,2
2013/09/15,,,2
2013/09/16,,,2
2013/09/17,,,2
2013/09/18,,,2
2013/09/19,,,2
2013/09/20,,,2
2013/09/21,,,2
2013/09/22,,,3
2013/09/23,,,3
2013/09/24,,,2
2013/09/25,,,2
2013/09/26,,,2
2013/09/27,,,2
2013/09/28,,,2
2013/09/29,,,1
2013/09/30,,,1
2013/10/01,,,1
2013/10/02,,,1
2013/10/03,,,1
2013/10/04,,,2
2013/10/05,,,2
2013/10/06,,,2
2013/10/07,,,2
2013/10/08,,,3
2013/10/09,,,3
2013/10/10,,,3
2013/10/11,,,3
2013/10/12,,,4
2013/10/13,,,4
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,7
2013/10/18,,,7
2013/10/19,,,7
2013/10/20,,,7
2013/10/21,,,7
2013/10/22,,,7
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,6
2013/10/26,,,6
2013/10/27,,,6
2013/10/28,,,6
2013/10/29,,,6
2013/10/30,,,6
2013/10/31,,,6
2013/11/01,,,6
2013/11/02,,,6
2013/11/03,,,5
2013/11/04,,1,8
2013/11/05,,1,8
2013/11/06,,1,8
2013/11/07,,1,7
2013/11/08,,1,7
2013/11/09,,1,7
2013/11/10,,1,8
2013/11/11,,2,8
2013/11/12,,2,8
2013/11/13,,2,8
2013/11/14,,3,9
2013/11/15,,3,9
2013/11/16,,3,7
2013/11/17,,3,7
2013/11/18,,3,7
2013/11/19,,3,8
2013/11/20,,4,9
2013/11/21,,4,9
2013/11/22,,4,9
2013/11/23,,4,9
2013/11/24,,4,10
2013/11/25,,4,10
2013/11/26,,4,10
2013/11/27,,4,10
2013/11/28,,4,11
2013/11/29,,4,11
2013/11/30,,4,11
2013/12/01,,4,12
2013/12/02,,4,12
2013/12/03,,4,12
2013/12/04,,4,11
2013/12/05,,4,11
2013/12/06,,4,11
2013/12/07,,4,12
2013/12/08,,4,12
2013/12/09,,3,11
2013/12/10,,2,11
2013/12/11,,2,9
2013/12/12,,2,9
2013/12/13,,2,9
2013/12/14,,1,9
2013/12/15,,1,9
2013/12/16,,1,9
2013/12/17,,1,9
2013/12/18,,1,9
2013/12/19,,1,7
2013/12/20,,,6
2013/12/21,,,6
2013/12/22,,,6
2013/12/23,,,6
2013/12/24,,,5
2013/12/25,,,5
2013/12/26,,,5
2013/12/27,,,5
2013/12/28,,,4
2013/12/29,,,5
2013/12/30,,,5
2013/12/31,,,5
2014/01/01,,,4
2014/01/02,,,4
2014/01/03,,,3
2014/01/04,,,3
2014/01/05,,,3
2014/01/06,,,3
2014/01/07,,,3
2014/01/08,,,2
2014/01/09,,,2
2014/01/10,,,2
2014/01/11,,,2
2014/01/12,,,2
2014/01/13,,,2
2014/01/14,,,3
2014/01/15,,,3
2014/01/16,,,4
2014/01/17,,,5
2014/01/18,,,5
2014/01/19,,,6
2014/01/20,,,7
2014/01/21,,,7
2014/01/22,,,7
2014/01/23,,,8
2014/01/24,,,8
2014/01/25,,,8
2014/01/26,,,8
2014/01/27,,,8
2014/01/28,,,7
2014/01/29,,,7
2014/01/30,,,7
2014/01/31,,,7
2014/02/01,,,6
2014/02/02,,,6
2014/02/03,,,6
2014/02/04,,,6
2014/02/05,,,6
2014/02/06,,,7
2014/02/07,,,7
2014/02/08,,,7
2014/02/09,,,7
2014/02/10,,,7
2014/02/11,,,7
2014/02/12,,,7
2014/02/13,,,7
2014/02/14,,,7
2014/02/15,,,6
2014/02/16,,,5
2014/02/17,,,5
2014/02/18,,,4
2014/02/19,,,3
2014/02/20,,,4
2014/02/21,,,4
2014/02/22,,,3
2014/02/23,,,3
2014/02/24,,,3
2014/02/25,,,3
2014/02/26,,,3
2014/02/27,,,3
2014/02/28,,,3
2014/03/01,,,3
2014/03/02,,,3
2014/03/03,,,3
2014/03/04,,,3
2014/03/05,,,3
2014/03/06,,,3
2014/03/07,,,3
2014/03/08,,,2
2014/03/09,,,2
2014/03/10,,,2
2014/03/11,,,3
2014/03/12,,,3
2014/03/13,,,3
2014/03/14,,,3
2014/03/15,,,5
2014/03/16,,,5
2014/03/17,,,5
2014/03/18,,,5
2014/03/19,,,6
2014/03/20,,,7
2014/03/21,,,7
2014/03/22,,,7
2014/03/23,,1,8
2014/03/24,,1,8
2014/03/25,,1,8
2014/03/26,,1,9
2014/03/27,,1,9
2014/03/28,,1,9
2014/03/29,,1,8
2014/03/30,,1,9
2014/03/31,,1,10
2014/04/01,,1,10
2014/04/02,,1,10
2014/04/03,,1,10
2014/04/04,,2,10
2014/04/05,,2,10
2014/04/06,,2,10
2014/04/07,,2,10
2014/04/08,,2,11
2014/04/09,,2,12
2014/04/10,,2,12
2014/04/11,,2,12
2014/04/12,,2,12
2014/04/13,,2,12
2014/04/14,,2,11
2014/04/15,,2,11
2014/04/16,,2,11
2014/04/17,,2,11
2014/04/18,,2,10
2014/04/19,,2,9
2014/04/20,,2,9
2014/04/21,,2,8
2014/04/22,,2,8
2014/04/23,,2,9
2014/04/24,,2,9
2014/04/25,,2,8
2014/04/26,,2,8
2014/04/27,,2,8
2014/04/28,,2,8
2014/04/29,,2,8
2014/04/30,,2,8
2014/05/01,,2,8
2014/05/02,,2,9
2014/05/03,,2,9
2014/05/04,,1,9
2014/05/05,,1,9
2014/05/06,,1,9
2014/05/07,,1,9
2014/05/08,,1,9
2014/05/09,,1,8
2014/05/10,,,7
2014/05/11,,,6
2014/05/12,,,9
2014/05/13,,,9
2014/05/14,,,8
2014/05/15,,,10
2014/05/16,,,10
2014/05/17,,,10
2014/05/18,,,10
2014/05/19,,,11
2014/05/20,,,11
2014/05/21,,,11
2014/05/22,,,12
2014/05/23,,,11
2014/05/24,,,11
2014/05/25,,,12
2014/05/26,,,14
2014/05/27,,,14
2014/05/28,,,14
2014/05/29,,,14
2014/05/30,,,14
2014/05/31,,,14
2014/06/01,,,15
2014/06/02,,,16
2014/06/03,,,16
2014/06/04,,,16
2014/06/05,,,16
2014/06/06,,,16
2014/06/07,,1,17
2014/06/08,,2,19
2014/06/09,,2,20
2014/06/10,,2,21
2014/06/11,,2,18
2014/06/12,,2,19
2014/06/13,,2,19
2014/06/14,,2,18
2014/06/15,,2,18
2014/06/16,,2,19
2014/06/17,,2,19
2014/06/18,,2,18
2014/06/19,,2,18
2014/06/20,,2,18
2014/06/21,,2,17
2014/06/22,,2,17
2014/06/23,,2,19
2014/06/24,,2,18
2014/06/25,,2,17
2014/06/26,,1,17
2014/06/27,,1,17
2014/06/28,,1,17
2014/06/29,,1,16
2014/06/30,,1,16
2014/07/01,,1,14
2014/07/02,,1,13
2014/07/03,,1,12
2014/07/04,,2,13
2014/07/05,,2,13
2014/07/06,,2,14
2014/07/07,,2,13
2014/07/08,,2,11
2014/07/09,,1,10
2014/07/10,,1,9
2014/07/11,,1,10
2014/07/12,,1,9
2014/07/13,,1,9
2014/07/14,,1,10
2014/07/15,,1,10
2014/07/16,,1,10
2014/07/17,,1,10
2014/07/18,,1,10
2014/07/19,,1,10
2014/07/20,,1,10
2014/07/21,,1,12
2014/07/22,,1,12
2014/07/23,,1,10
2014/07/24,,1,10
2014/07/25,,1,9
2014/07/26,,1,9
2014/07/27,,1,9
2014/07/28,,1,9
2014/07/29,,1,9
2014/07/30,,1,10
2014/07/31,,1,10
2014/08/01,,1,10
2014/08/02,,1,10
2014/08/03,,1,10
2014/08/04,,1,10
2014/08/05,,1,9
2014/08/06,,,10
2014/08/07,,,11
2014/08/08,,,11
2014/08/09,,,11
2014/08/10,,,9
2014/08/11,,,9
2014/08/12,,,9
2014/08/13,,,8
2014/08/14,,,8
2014/08/15,,,8
2014/08/16,,,7
2014/08/17,,,8
2014/08/18,,,8
2014/08/19,,,8
2014/08/20,,,6
2014/08/21,,,6
2014/08/22,,,6
2014/08/23,,,8
2014/08/24,,,8
2014/08/25,,,9
2014/08/26,,,8
2014/08/27,,,9
2014/08/28,,,9
2014/08/29,,,8
2014/08/30,,,8
2014/08/31,,,8
2014/09/01,,,8
2014/09/02,,,8
2014/09/03,,,8
2014/09/04,,,8
2014/09/05,,,8
2014/09/06,,,7
2014/09/07,,,7
2014/09/08,,,7
2014/09/09,,,7
2014/09/10,,,8
2014/09/11,,,8
2014/09/12,,,8
2014/09/13,,,8
2014/09/14,,,8
2014/09/15,,,8
2014/09/16,,1,7
2014/09/17,,1,7
2014/09/18,,1,8
2014/09/19,,1,8
2014/09/20,,,8
2014/09/21,,,8
2014/09/22,,,6
2014/09/23,,,6
2014/09/24,,,6
2014/09/25,,,6
2014/09/26,,,5
2014/09/27,,,5
2014/09/28,,,5
2014/09/29,,,5
2014/09/30,,,6
2014/10/01,,,6
2014/10/02,,,7
2014/10/03,,,8
2014/10/04,,,8
2014/10/05,,,7
2014/10/06,,,8
2014/10/07,,,8
2014/10/08,,,8
2014/10/09,,,8
2014/10/10,,,7
2014/10/11,,,7
2014/10/12,,,7
2014/10/13,,,7
2014/10/14,,,7
2014/10/15,,,8
2014/10/16,,,8
2014/10/17,,,8
2014/10/18,,,7
2014/10/19,,,7
2014/10/20,,,7
2014/10/21,,,7
2014/10/22,,,8
2014/10/23,,,8
2014/10/24,,,8
2014/10/25,,,9
2014/10/26,,,9
2014/10/27,,,9
2014/10/28,,,9
2014/10/29,,,10
2014/10/30,,,9
2014/10/31,,,9
2014/11/01,,,8
2014/11/02,,,7
2014/11/03,,,7
2014/11/04,,1,7
2014/11/05,,1,6
2014/11/06,,1,6
2014/11/07,,1,6
2014/11/08,,1,6
2014/11/09,,1,6
2014/11/10,,1,6
2014/11/11,,1,6
2014/11/12,,1,7
2014/11/13,,1,8
2014/11/14,,1,6
2014/11/15,,1,5
2014/11/16,,1,5
2014/11/17,,1,5
2014/11/18,,1,5
2014/11/19,,1,6
2014/11/20,,1,6
2014/11/21,,2,5
2014/11/22,,2,5
2014/11/23,,2,5
2014/11/24,,1,5
2014/11/25,,1,5
2014/11/26,,1,5
2014/11/27,,1,5
2014/11/28,,1,6
2014/11/29,,1,6
2014/11/30,,1,6
2014/12/01,,1,7
2014/12/02,,,7
2014/12/03,,,7
2014/12/04,,1,6
2014/12/05,,1,7
2014/12/06,,1,8
2014/12/07,,1,8
2014/12/08,,1,8
2014/12/09,,1,8
2014/12/10,,1,8
2014/12/11,,1,8
2014/12/12,,1,7
2014/12/13,,1,6
2014/12/14,,1,6
2014/12/15,,1,6
2014/12/16,,1,6
2014/12/17,,1,7
2014/12/18,,1,7
2014/12/19,,2,8
2014/12/20,,2,8
2014/12/21,,2,8
2014/12/22,,2,8
2014/12/23,,2,8
2014/12/24,,2,9
2014/12/25,,2,8
2014/12/26,,2,8
2014/12/27,,2,8
2014/12/28,,2,6
2014/12/29,,2,6
2014/12/30,,2,6
2014/12/31,,2,6
2015/01/01,,2,6
2015/01/02,,2,6
2015/01/03,,2,6
2015/01/04,,1,5
2015/01/05,,1,4
2015/01/06,,1,4
2015/01/07,,1,4
2015/01/08,,1,5
2015/01/09,,1,5
2015/01/10,,1,5
2015/01/11,,1,6
2015/01/12,,1,6
2015/01/13,,1,6
2015/01/14,,1,6
2015/01/15,,1,6
2015/01/16,,1,5
2015/01/17,,1,5
2015/01/18,,,4
2015/01/19,,,6
2015/01/20,,,6
2015/01/21,,,6
2015/01/22,,,6
2015/01/23,,,5
2015/01/24,,,5
2015/01/25,,,5
2015/01/26,,,5
2015/01/27,,,6
2015/01/28,,1,7
2015/01/29,,1,7
2015/01/30,,1,7
2015/01/31,,1,10
2015/02/01,,2,12
2015/02/02,,2,12
2015/02/03,,2,12
2015/02/04,,2,12
2015/02/05,,2,13
2015/02/06,,2,13
2015/02/07,,2,12
2015/02/08,,2,12
2015/02/09,,2,12
2015/02/10,,3,12
2015/02/11,,3,12
2015/02/12,,3,12
2015/02/13,,3,14
2015/02/14,,3,14
2015/02/15,,3,14
2015/02/16,,3,14
2015/02/17,,3,14
