date,bgwiki (100+),bgwiki (5+),bgwiki (all)
2013/02/10,60,343,1010
2013/02/11,60,341,1003
2013/02/12,61,335,1002
2013/02/13,59,339,997
2013/02/14,59,335,999
2013/02/15,60,338,993
2013/02/16,60,336,1008
2013/02/17,61,337,1009
2013/02/18,62,336,1008
2013/02/19,63,335,996
2013/02/20,60,327,992
2013/02/21,59,323,989
2013/02/22,59,317,982
2013/02/23,59,320,974
2013/02/24,57,314,963
2013/02/25,56,306,961
2013/02/26,53,301,959
2013/02/27,55,301,959
2013/02/28,55,304,950
2013/03/01,54,307,959
2013/03/02,56,301,954
2013/03/03,54,303,951
2013/03/04,54,306,955
2013/03/05,54,310,957
2013/03/06,53,313,960
2013/03/07,53,308,961
2013/03/08,53,303,961
2013/03/09,53,303,970
2013/03/10,53,303,970
2013/03/11,54,304,979
2013/03/12,54,304,978
2013/03/13,58,303,974
2013/03/14,56,296,969
2013/03/15,54,300,974
2013/03/16,53,305,966
2013/03/17,53,308,966
2013/03/18,51,310,952
2013/03/19,53,316,945
2013/03/20,53,316,948
2013/03/21,52,315,951
2013/03/22,53,317,945
2013/03/23,53,321,939
2013/03/24,53,324,942
2013/03/25,54,330,954
2013/03/26,55,328,954
2013/03/27,55,330,946
2013/03/28,54,328,935
2013/03/29,54,322,932
2013/03/30,54,321,926
2013/03/31,54,318,920
2013/04/01,55,320,922
2013/04/02,52,316,919
2013/04/03,52,311,917
2013/04/04,52,311,902
2013/04/05,52,314,902
2013/04/06,53,316,889
2013/04/07,53,314,886
2013/04/08,52,311,875
2013/04/09,54,307,879
2013/04/10,53,308,873
2013/04/11,51,309,878
2013/04/12,49,307,865
2013/04/13,47,304,864
2013/04/14,45,297,859
2013/04/15,46,286,838
2013/04/16,47,283,826
2013/04/17,46,278,821
2013/04/18,46,283,817
2013/04/19,46,279,807
2013/04/20,47,278,796
2013/04/21,50,272,788
2013/04/22,51,274,782
2013/04/23,50,270,781
2013/04/24,48,269,766
2013/04/25,48,268,755
2013/04/26,48,271,751
2013/04/27,50,271,744
2013/04/28,50,276,740
2013/04/29,50,274,739
2013/04/30,49,273,735
2013/05/01,49,269,721
2013/05/02,51,271,719
2013/05/03,50,269,716
2013/05/04,50,267,719
2013/05/05,51,272,709
2013/05/06,51,270,709
2013/05/07,51,270,710
2013/05/08,53,278,720
2013/05/09,49,279,723
2013/05/10,50,279,727
2013/05/11,50,280,721
2013/05/12,53,280,727
2013/05/13,48,278,721
2013/05/14,49,278,718
2013/05/15,48,278,720
2013/05/16,48,281,723
2013/05/17,49,279,727
2013/05/18,48,275,724
2013/05/19,47,272,727
2013/05/20,47,266,721
2013/05/21,46,266,727
2013/05/22,43,263,731
2013/05/23,43,265,743
2013/05/24,44,270,742
2013/05/25,44,275,747
2013/05/26,44,277,752
2013/05/27,44,273,756
2013/05/28,42,269,760
2013/05/29,43,266,761
2013/05/30,43,270,776
2013/05/31,45,276,788
2013/06/01,46,277,788
2013/06/02,46,288,797
2013/06/03,47,289,801
2013/06/04,46,296,809
2013/06/05,45,292,806
2013/06/06,47,283,806
2013/06/07,48,281,810
2013/06/08,47,279,805
2013/06/09,45,279,799
2013/06/10,45,277,800
2013/06/11,44,287,800
2013/06/12,47,290,816
2013/06/13,48,292,820
2013/06/14,45,301,830
2013/06/15,46,297,844
2013/06/16,45,300,840
2013/06/17,45,299,826
2013/06/18,44,303,829
2013/06/19,44,304,828
2013/06/20,44,306,825
2013/06/21,45,309,823
2013/06/22,45,307,817
2013/06/23,45,303,823
2013/06/24,45,305,829
2013/06/25,45,306,820
2013/06/26,48,313,825
2013/06/27,48,316,829
2013/06/28,47,318,826
2013/06/29,48,318,827
2013/06/30,48,315,816
2013/07/01,49,318,816
2013/07/02,47,311,812
2013/07/03,47,313,809
2013/07/04,47,307,807
2013/07/05,47,306,813
2013/07/06,48,310,815
2013/07/07,44,310,801
2013/07/08,45,316,806
2013/07/09,44,317,812
2013/07/10,42,319,805
2013/07/11,41,314,802
2013/07/12,41,311,798
2013/07/13,39,313,798
2013/07/14,40,304,799
2013/07/15,41,295,782
2013/07/16,41,295,791
2013/07/17,43,292,792
2013/07/18,42,291,792
2013/07/19,42,294,797
2013/07/20,43,293,795
2013/07/21,42,290,793
2013/07/22,42,293,801
2013/07/23,42,291,795
2013/07/24,43,294,797
2013/07/25,44,294,795
2013/07/26,45,292,788
2013/07/27,46,292,799
2013/07/28,47,286,793
2013/07/29,46,285,793
2013/07/30,46,283,790
2013/07/31,44,283,796
2013/08/01,44,284,804
2013/08/02,47,280,806
2013/08/03,47,278,796
2013/08/04,46,280,792
2013/08/05,46,285,793
2013/08/06,46,291,805
2013/08/07,45,298,822
2013/08/08,47,300,818
2013/08/09,47,300,816
2013/08/10,47,297,817
2013/08/11,47,297,819
2013/08/12,47,298,807
2013/08/13,46,305,809
2013/08/14,44,303,817
2013/08/15,44,301,809
2013/08/16,42,305,807
2013/08/17,40,307,803
2013/08/18,41,306,800
2013/08/19,42,317,812
2013/08/20,43,316,812
2013/08/21,43,316,816
2013/08/22,43,317,821
2013/08/23,43,323,826
2013/08/24,42,326,826
2013/08/25,43,327,830
2013/08/26,43,332,830
2013/08/27,43,342,847
2013/08/28,44,342,850
2013/08/29,45,351,867
2013/08/30,46,360,870
2013/08/31,46,370,869
2013/09/01,47,371,875
2013/09/02,46,385,904
2013/09/03,45,382,916
2013/09/04,44,381,921
2013/09/05,43,383,914
2013/09/06,45,373,902
2013/09/07,42,368,901
2013/09/08,43,367,901
2013/09/09,43,365,903
2013/09/10,43,367,900
2013/09/11,43,367,910
2013/09/12,42,367,902
2013/09/13,42,370,917
2013/09/14,41,371,922
2013/09/15,43,371,917
2013/09/16,43,374,926
2013/09/17,43,378,928
2013/09/18,44,377,919
2013/09/19,45,372,907
2013/09/20,46,372,899
2013/09/21,45,370,898
2013/09/22,46,371,893
2013/09/23,46,366,895
2013/09/24,46,367,893
2013/09/25,47,364,895
2013/09/26,44,359,889
2013/09/27,43,352,886
2013/09/28,43,349,877
2013/09/29,42,341,867
2013/09/30,40,331,861
2013/10/01,41,319,835
2013/10/02,41,302,812
2013/10/03,41,300,807
2013/10/04,40,288,777
2013/10/05,39,273,738
2013/10/06,40,276,733
2013/10/07,40,278,731
2013/10/08,40,276,734
2013/10/09,38,284,738
2013/10/10,38,280,744
2013/10/11,40,278,739
2013/10/12,40,275,744
2013/10/13,41,276,736
2013/10/14,41,277,744
2013/10/15,41,278,746
2013/10/16,40,278,745
2013/10/17,40,281,749
2013/10/18,41,275,754
2013/10/19,40,275,760
2013/10/20,42,274,764
2013/10/21,41,271,769
2013/10/22,41,271,756
2013/10/23,40,270,747
2013/10/24,40,274,744
2013/10/25,40,275,743
2013/10/26,37,272,750
2013/10/27,34,276,756
2013/10/28,39,273,754
2013/10/29,38,275,754
2013/10/30,37,275,742
2013/10/31,37,275,748
2013/11/01,37,271,746
2013/11/02,37,271,742
2013/11/03,38,272,763
2013/11/04,38,267,767
2013/11/05,38,268,777
2013/11/06,37,264,774
2013/11/07,37,266,784
2013/11/08,37,263,783
2013/11/09,37,264,782
2013/11/10,38,265,778
2013/11/11,37,261,782
2013/11/12,37,262,789
2013/11/13,35,265,789
2013/11/14,34,267,776
2013/11/15,34,268,784
2013/11/16,35,266,784
2013/11/17,36,265,783
2013/11/18,35,264,799
2013/11/19,34,273,808
2013/11/20,34,273,812
2013/11/21,34,278,820
2013/11/22,33,281,820
2013/11/23,33,280,831
2013/11/24,34,277,834
2013/11/25,35,274,832
2013/11/26,35,271,827
2013/11/27,33,272,821
2013/11/28,35,275,813
2013/11/29,35,276,803
2013/11/30,36,276,812
2013/12/01,36,281,820
2013/12/02,36,286,821
2013/12/03,36,288,824
2013/12/04,36,288,820
2013/12/05,36,291,821
2013/12/06,36,296,829
2013/12/07,39,295,825
2013/12/08,39,294,820
2013/12/09,38,295,823
2013/12/10,38,300,836
2013/12/11,38,303,842
2013/12/12,38,301,842
2013/12/13,37,294,842
2013/12/14,37,295,846
2013/12/15,37,295,843
2013/12/16,37,289,844
2013/12/17,37,293,840
2013/12/18,37,286,828
2013/12/19,35,281,827
2013/12/20,35,283,826
2013/12/21,34,277,819
2013/12/22,34,278,824
2013/12/23,35,275,828
2013/12/24,37,274,822
2013/12/25,36,276,815
2013/12/26,37,272,809
2013/12/27,36,269,809
2013/12/28,36,274,806
2013/12/29,36,274,812
2013/12/30,36,278,811
2013/12/31,36,279,813
2014/01/01,36,276,815
2014/01/02,34,274,801
2014/01/03,34,277,815
2014/01/04,36,279,824
2014/01/05,37,280,834
2014/01/06,37,283,842
2014/01/07,38,283,849
2014/01/08,38,277,852
2014/01/09,37,281,848
2014/01/10,35,282,853
2014/01/11,36,282,858
2014/01/12,37,289,866
2014/01/13,36,290,877
2014/01/14,37,294,879
2014/01/15,37,294,882
2014/01/16,37,295,890
2014/01/17,37,298,891
2014/01/18,37,300,890
2014/01/19,37,296,887
2014/01/20,38,301,893
2014/01/21,40,301,891
2014/01/22,40,299,883
2014/01/23,39,300,894
2014/01/24,40,301,905
2014/01/25,40,299,908
2014/01/26,40,305,911
2014/01/27,39,307,915
2014/01/28,40,301,910
2014/01/29,40,300,908
2014/01/30,40,301,908
2014/01/31,40,308,917
2014/02/01,40,306,919
2014/02/02,40,302,905
2014/02/03,41,299,899
2014/02/04,41,291,899
2014/02/05,41,290,896
2014/02/06,43,287,891
2014/02/07,44,289,899
2014/02/08,44,289,888
2014/02/09,46,288,883
2014/02/10,46,297,891
2014/02/11,47,298,888
2014/02/12,46,290,871
2014/02/13,49,283,872
2014/02/14,50,281,870
2014/02/15,49,284,855
2014/02/16,49,282,850
2014/02/17,51,284,854
2014/02/18,51,289,859
2014/02/19,51,286,854
2014/02/20,52,286,855
2014/02/21,52,284,862
2014/02/22,52,283,860
2014/02/23,54,283,848
2014/02/24,52,278,847
2014/02/25,54,277,847
2014/02/26,57,275,848
2014/02/27,57,272,851
2014/02/28,58,269,843
2014/03/01,57,270,846
2014/03/02,58,271,836
2014/03/03,58,269,835
2014/03/04,57,274,845
2014/03/05,57,274,843
2014/03/06,55,273,828
2014/03/07,55,268,825
2014/03/08,54,271,820
2014/03/09,53,268,816
2014/03/10,54,267,814
2014/03/11,55,269,814
2014/03/12,57,256,798
2014/03/13,56,254,791
2014/03/14,56,254,793
2014/03/15,58,256,803
2014/03/16,57,255,794
2014/03/17,57,254,800
2014/03/18,57,256,805
2014/03/19,54,255,803
2014/03/20,53,254,806
2014/03/21,52,256,801
2014/03/22,53,258,800
2014/03/23,52,261,795
2014/03/24,52,264,799
2014/03/25,51,265,807
2014/03/26,48,268,798
2014/03/27,48,264,788
2014/03/28,47,262,780
2014/03/29,46,268,778
2014/03/30,47,262,783
2014/03/31,47,263,786
2014/04/01,44,258,789
2014/04/02,42,256,784
2014/04/03,40,252,776
2014/04/04,41,250,774
2014/04/05,41,254,766
2014/04/06,41,257,767
2014/04/07,43,258,770
2014/04/08,44,258,777
2014/04/09,41,262,778
2014/04/10,41,260,781
2014/04/11,40,260,772
2014/04/12,39,259,777
2014/04/13,38,260,773
2014/04/14,37,254,759
2014/04/15,37,251,760
2014/04/16,37,256,747
2014/04/17,37,256,746
2014/04/18,37,266,757
2014/04/19,40,266,758
2014/04/20,39,271,762
2014/04/21,39,269,758
2014/04/22,39,269,757
2014/04/23,39,265,746
2014/04/24,40,263,736
2014/04/25,41,262,746
2014/04/26,42,266,757
2014/04/27,42,264,767
2014/04/28,42,266,769
2014/04/29,44,268,767
2014/04/30,43,271,772
2014/05/01,40,269,774
2014/05/02,39,273,785
2014/05/03,40,275,793
2014/05/04,39,274,800
2014/05/05,39,272,802
2014/05/06,41,269,793
2014/05/07,39,262,797
2014/05/08,38,259,795
2014/05/09,37,255,803
2014/05/10,38,255,808
2014/05/11,40,262,809
2014/05/12,42,258,805
2014/05/13,43,260,819
2014/05/14,42,265,820
2014/05/15,41,268,825
2014/05/16,42,267,837
2014/05/17,41,271,829
2014/05/18,45,269,825
2014/05/19,45,266,817
2014/05/20,46,268,810
2014/05/21,46,268,820
2014/05/22,46,268,816
2014/05/23,47,269,824
2014/05/24,47,271,830
2014/05/25,45,267,829
2014/05/26,47,262,818
2014/05/27,47,264,824
2014/05/28,47,263,820
2014/05/29,45,273,829
2014/05/30,44,271,818
2014/05/31,41,268,814
2014/06/01,41,268,801
2014/06/02,41,267,804
2014/06/03,41,264,806
2014/06/04,43,271,811
2014/06/05,40,274,818
2014/06/06,41,273,818
2014/06/07,42,275,820
2014/06/08,41,274,823
2014/06/09,39,275,812
2014/06/10,38,273,818
2014/06/11,40,275,816
2014/06/12,39,271,803
2014/06/13,39,269,792
2014/06/14,37,264,780
2014/06/15,36,259,768
2014/06/16,37,260,769
2014/06/17,36,255,774
2014/06/18,36,259,781
2014/06/19,34,264,783
2014/06/20,33,268,779
2014/06/21,34,270,769
2014/06/22,33,268,765
2014/06/23,32,264,762
2014/06/24,33,267,756
2014/06/25,33,271,757
2014/06/26,32,271,759
2014/06/27,33,274,755
2014/06/28,33,273,739
2014/06/29,36,264,731
2014/06/30,36,261,725
2014/07/01,35,263,724
2014/07/02,34,257,727
2014/07/03,34,257,721
2014/07/04,34,257,721
2014/07/05,33,262,712
2014/07/06,33,256,698
2014/07/07,34,256,693
2014/07/08,34,247,683
2014/07/09,35,242,672
2014/07/10,34,234,656
2014/07/11,32,230,649
2014/07/12,33,229,645
2014/07/13,33,229,654
2014/07/14,33,230,664
2014/07/15,33,227,671
2014/07/16,33,224,673
2014/07/17,32,224,672
2014/07/18,32,219,671
2014/07/19,34,216,669
2014/07/20,33,214,677
2014/07/21,32,208,677
2014/07/22,33,211,679
2014/07/23,33,211,674
2014/07/24,33,218,682
2014/07/25,34,217,677
2014/07/26,33,214,671
2014/07/27,34,212,670
2014/07/28,32,215,673
2014/07/29,32,214,677
2014/07/30,34,214,678
2014/07/31,33,215,690
2014/08/01,33,218,695
2014/08/02,32,216,693
2014/08/03,31,215,690
2014/08/04,31,215,692
2014/08/05,31,220,698
2014/08/06,32,219,700
2014/08/07,30,222,702
2014/08/08,29,224,712
2014/08/09,30,227,725
2014/08/10,29,228,720
2014/08/11,30,232,721
2014/08/12,31,238,718
2014/08/13,31,237,718
2014/08/14,32,237,720
2014/08/15,31,239,723
2014/08/16,32,241,721
2014/08/17,31,240,718
2014/08/18,33,234,717
2014/08/19,33,231,710
2014/08/20,34,234,714
2014/08/21,33,234,706
2014/08/22,34,229,702
2014/08/23,34,224,702
2014/08/24,34,226,710
2014/08/25,34,228,718
2014/08/26,34,235,733
2014/08/27,34,241,747
2014/08/28,36,243,745
2014/08/29,36,244,744
2014/08/30,35,240,737
2014/08/31,35,238,737
2014/09/01,33,236,730
2014/09/02,34,235,731
2014/09/03,34,235,726
2014/09/04,35,232,724
2014/09/05,32,234,721
2014/09/06,32,232,717
2014/09/07,34,235,716
2014/09/08,34,233,718
2014/09/09,32,231,723
2014/09/10,33,232,735
2014/09/11,33,227,740
2014/09/12,33,225,733
2014/09/13,32,221,733
2014/09/14,33,221,732
2014/09/15,34,215,744
2014/09/16,33,215,748
2014/09/17,34,215,746
2014/09/18,33,215,744
2014/09/19,31,220,743
2014/09/20,33,219,743
2014/09/21,33,222,746
2014/09/22,35,222,734
2014/09/23,36,219,732
2014/09/24,36,227,727
2014/09/25,34,219,711
2014/09/26,32,220,705
2014/09/27,32,215,696
2014/09/28,32,215,693
2014/09/29,29,218,690
2014/09/30,31,219,699
2014/10/01,31,221,696
2014/10/02,32,221,694
2014/10/03,32,221,691
2014/10/04,32,220,689
2014/10/05,33,219,689
2014/10/06,31,219,685
2014/10/07,32,218,687
2014/10/08,34,218,682
2014/10/09,34,221,683
2014/10/10,34,211,671
2014/10/11,33,214,661
2014/10/12,33,219,664
2014/10/13,34,218,667
2014/10/14,35,219,668
2014/10/15,35,223,648
2014/10/16,38,225,662
2014/10/17,38,221,671
2014/10/18,37,221,668
2014/10/19,38,217,664
2014/10/20,38,212,666
2014/10/21,38,220,673
2014/10/22,37,222,675
2014/10/23,35,223,681
2014/10/24,35,220,680
2014/10/25,35,220,677
2014/10/26,35,220,674
2014/10/27,35,215,677
2014/10/28,34,217,686
2014/10/29,36,217,687
2014/10/30,34,216,680
2014/10/31,34,217,678
2014/11/01,35,217,678
2014/11/02,34,220,680
2014/11/03,33,216,682
2014/11/04,32,214,687
2014/11/05,33,212,693
2014/11/06,34,206,697
2014/11/07,30,207,701
2014/11/08,30,204,706
2014/11/09,30,207,694
2014/11/10,29,211,707
2014/11/11,32,213,704
2014/11/12,32,214,710
2014/11/13,33,219,710
2014/11/14,32,220,716
2014/11/15,35,216,705
2014/11/16,36,219,695
2014/11/17,35,222,698
2014/11/18,35,220,694
2014/11/19,34,221,694
2014/11/20,34,220,693
2014/11/21,32,223,694
2014/11/22,35,224,695
2014/11/23,38,227,707
2014/11/24,37,226,710
2014/11/25,38,229,715
2014/11/26,38,233,727
2014/11/27,38,229,726
2014/11/28,39,231,722
2014/11/29,39,235,717
2014/11/30,39,235,721
