date,mhrwiki (100+),mhrwiki (5+),mhrwiki (all)
2013/08/17,1,6,13
2013/08/18,1,6,13
2013/08/19,1,6,14
2013/08/20,1,6,14
2013/08/21,1,6,13
2013/08/22,1,6,13
2013/08/23,1,6,13
2013/08/24,1,6,13
2013/08/25,2,6,12
2013/08/26,2,6,13
2013/08/27,2,7,14
2013/08/28,2,7,14
2013/08/29,2,8,16
2013/08/30,2,7,15
2013/08/31,2,7,15
2013/09/01,2,6,15
2013/09/02,2,6,15
2013/09/03,2,5,14
2013/09/04,2,5,14
2013/09/05,2,5,13
2013/09/06,2,5,13
2013/09/07,2,6,14
2013/09/08,2,6,13
2013/09/09,2,6,12
2013/09/10,2,6,13
2013/09/11,2,7,14
2013/09/12,2,7,15
2013/09/13,2,7,16
2013/09/14,2,7,16
2013/09/15,2,7,16
2013/09/16,2,6,17
2013/09/17,2,6,16
2013/09/18,2,6,15
2013/09/19,2,6,16
2013/09/20,2,6,16
2013/09/21,2,7,16
2013/09/22,2,7,15
2013/09/23,2,6,15
2013/09/24,2,6,15
2013/09/25,3,6,15
2013/09/26,3,5,13
2013/09/27,3,5,13
2013/09/28,3,5,13
2013/09/29,3,5,12
2013/09/30,3,5,13
2013/10/01,3,5,13
2013/10/02,3,5,13
2013/10/03,3,5,13
2013/10/04,2,5,15
2013/10/05,1,5,15
2013/10/06,1,5,16
2013/10/07,1,4,16
2013/10/08,1,5,16
2013/10/09,1,5,16
2013/10/10,1,5,16
2013/10/11,1,3,15
2013/10/12,1,3,15
2013/10/13,1,3,14
2013/10/14,1,3,14
2013/10/15,1,3,14
2013/10/16,1,2,12
2013/10/17,1,2,13
2013/10/18,1,2,13
2013/10/19,1,2,12
2013/10/20,1,2,12
2013/10/21,1,2,12
2013/10/22,1,2,12
2013/10/23,1,2,14
2013/10/24,1,2,14
2013/10/25,,2,14
2013/10/26,,2,14
2013/10/27,1,2,15
2013/10/28,1,1,14
2013/10/29,1,1,14
2013/10/30,1,1,14
2013/10/31,1,1,15
2013/11/01,1,1,15
2013/11/02,1,1,15
2013/11/03,1,1,14
2013/11/04,1,1,15
2013/11/05,1,1,14
2013/11/06,,1,13
2013/11/07,,1,14
2013/11/08,,2,15
2013/11/09,,2,16
2013/11/10,,2,16
2013/11/11,,2,15
2013/11/12,,2,15
2013/11/13,,2,15
2013/11/14,,2,15
2013/11/15,,2,15
2013/11/16,1,2,14
2013/11/17,1,2,15
2013/11/18,1,3,15
2013/11/19,1,3,16
2013/11/20,1,3,16
2013/11/21,1,3,15
2013/11/22,1,3,14
2013/11/23,1,3,14
2013/11/24,1,3,13
2013/11/25,1,3,13
2013/11/26,1,3,12
2013/11/27,1,3,13
2013/11/28,1,3,14
2013/11/29,1,3,13
2013/11/30,1,3,12
2013/12/01,1,3,12
2013/12/02,1,3,12
2013/12/03,1,3,12
2013/12/04,1,4,14
2013/12/05,1,4,15
2013/12/06,1,6,17
2013/12/07,1,8,17
2013/12/08,1,10,18
2013/12/09,1,11,20
2013/12/10,1,11,20
2013/12/11,1,11,21
2013/12/12,1,11,21
2013/12/13,1,11,21
2013/12/14,1,11,21
2013/12/15,1,11,21
2013/12/16,1,11,21
2013/12/17,1,12,24
2013/12/18,1,13,24
2013/12/19,1,13,23
2013/12/20,1,13,23
2013/12/21,1,14,24
2013/12/22,1,14,26
