date,hawiki (100+),hawiki (5+),hawiki (all)
2012/11/18,,10,27
2012/11/19,,10,28
2012/11/20,,10,30
2012/11/21,,10,27
2012/11/22,,10,26
2012/11/23,,10,27
2012/11/24,,10,27
2012/11/25,,10,28
2012/11/26,,10,28
2012/11/27,,10,28
2012/11/28,,9,29
2012/11/29,,9,31
2012/11/30,,10,31
2012/12/01,,11,32
2012/12/02,,11,32
2012/12/03,,11,30
2012/12/04,,11,30
2012/12/05,,11,30
2012/12/06,,11,29
2012/12/07,,11,28
2012/12/08,,11,27
2012/12/09,,11,27
2012/12/10,,11,26
2012/12/11,,12,26
2012/12/12,,12,28
2012/12/13,,10,28
2012/12/14,,10,30
2012/12/15,,10,30
2012/12/16,,10,29
2012/12/17,,10,30
2012/12/18,,10,30
2012/12/19,,10,29
2012/12/20,,11,27
2012/12/21,,10,27
2012/12/22,,10,28
2012/12/23,,10,28
2012/12/24,,11,28
2012/12/25,,10,28
2012/12/26,,10,28
2012/12/27,,11,28
2012/12/28,,11,28
2012/12/29,,11,26
2012/12/30,,10,27
2012/12/31,,10,27
2013/01/01,,10,27
2013/01/02,,9,27
2013/01/03,,9,27
2013/01/04,,9,27
2013/01/05,,9,27
2013/01/06,,9,27
2013/01/07,,9,26
2013/01/08,,9,27
2013/01/09,,9,27
2013/01/10,,10,27
2013/01/11,,10,26
2013/01/12,,10,25
2013/01/13,,10,25
2013/01/14,,10,25
2013/01/15,,9,28
2013/01/16,,9,27
2013/01/17,,9,29
2013/01/18,,8,30
2013/01/19,,8,30
2013/01/20,,7,32
2013/01/21,,8,33
2013/01/22,,8,32
2013/01/23,,8,32
2013/01/24,,8,32
2013/01/25,,8,31
2013/01/26,,8,32
2013/01/27,,8,32
2013/01/28,,8,32
2013/01/29,,8,34
2013/01/30,,8,34
2013/01/31,,8,35
2013/02/01,,8,34
2013/02/02,,8,34
2013/02/03,,8,34
2013/02/04,,8,34
2013/02/05,,8,34
2013/02/06,,8,36
2013/02/07,,8,36
2013/02/08,,8,35
2013/02/09,,8,34
2013/02/10,,8,34
2013/02/11,,8,33
2013/02/12,,8,35
2013/02/13,,8,35
2013/02/14,,8,33
2013/02/15,,7,33
2013/02/16,,7,34
2013/02/17,,6,33
2013/02/18,,6,32
2013/02/19,,6,30
2013/02/20,,7,28
2013/02/21,,7,29
2013/02/22,,7,29
2013/02/23,,7,29
2013/02/24,,7,28
2013/02/25,,7,28
2013/02/26,,7,30
2013/02/27,,7,31
2013/02/28,,8,29
2013/03/01,,8,31
2013/03/02,,9,29
2013/03/03,,9,29
2013/03/04,,8,29
2013/03/05,,8,30
2013/03/06,,8,31
2013/03/07,,8,31
2013/03/08,1,9,29
2013/03/09,1,9,28
2013/03/10,1,9,28
2013/03/11,1,9,28
2013/03/12,1,10,27
2013/03/13,1,10,27
2013/03/14,1,10,26
2013/03/15,1,10,25
2013/03/16,1,10,23
2013/03/17,1,10,23
2013/03/18,1,10,21
2013/03/19,1,10,21
2013/03/20,1,10,21
2013/03/21,1,10,21
2013/03/22,1,10,21
2013/03/23,1,10,20
2013/03/24,1,10,19
2013/03/25,1,8,19
2013/03/26,1,7,19
2013/03/27,1,5,18
2013/03/28,1,4,18
2013/03/29,1,3,17
2013/03/30,1,3,14
2013/03/31,1,3,12
2013/04/01,1,3,12
2013/04/02,1,3,11
2013/04/03,1,3,10
2013/04/04,1,2,7
2013/04/05,1,2,5
2013/04/06,1,2,3
2013/04/07,,2,3
2013/04/08,,2,4
2013/04/09,,2,4
2013/04/10,,2,4
2013/04/11,,1,4
2013/04/12,,1,4
2013/04/13,,1,4
2013/04/14,,1,4
2013/04/15,,1,4
2013/04/16,,,4
2013/04/17,,1,4
2013/04/18,,1,4
2013/04/19,,1,4
2013/04/20,,1,4
2013/04/21,,,5
2013/04/22,,,5
2013/04/23,,,5
2013/04/24,,1,4
2013/04/25,,1,4
2013/04/26,,1,4
2013/04/27,,1,4
2013/04/28,,1,4
2013/04/29,,1,4
2013/04/30,,1,5
2013/05/01,,1,5
2013/05/02,,1,5
2013/05/03,,1,4
2013/05/04,,1,5
2013/05/05,,1,7
2013/05/06,,1,7
2013/05/07,,1,7
2013/05/08,,1,6
2013/05/09,,1,6
2013/05/10,,1,6
2013/05/11,,1,6
2013/05/12,,1,6
2013/05/13,,1,6
2013/05/14,,1,6
2013/05/15,,1,6
2013/05/16,,1,6
2013/05/17,,1,6
2013/05/18,,1,6
2013/05/19,,1,6
2013/05/20,,1,6
2013/05/21,,1,6
2013/05/22,,1,7
2013/05/23,,1,7
2013/05/24,,1,7
2013/05/25,,1,7
2013/05/26,,,7
2013/05/27,,,7
2013/05/28,,,7
2013/05/29,,,8
2013/05/30,,,7
2013/05/31,,,7
2013/06/01,,,7
2013/06/02,,,7
2013/06/03,,,6
2013/06/04,,,4
2013/06/05,,,4
2013/06/06,,,3
2013/06/07,,,3
2013/06/08,,2,5
2013/06/09,,2,5
2013/06/10,,2,5
2013/06/11,,2,5
2013/06/12,,2,5
2013/06/13,,2,5
2013/06/14,,2,5
2013/06/15,,2,5
2013/06/16,,2,6
2013/06/17,,2,6
2013/06/18,,2,6
2013/06/19,,2,6
2013/06/20,,2,6
2013/06/21,,2,6
2013/06/22,,2,6
2013/06/23,,2,6
2013/06/24,,2,6
2013/06/25,,2,6
2013/06/26,,2,7
2013/06/27,,2,7
2013/06/28,,2,5
2013/06/29,,2,5
2013/06/30,,2,5
2013/07/01,,2,5
2013/07/02,,2,5
2013/07/03,,2,5
2013/07/04,,2,5
2013/07/05,,2,5
2013/07/06,,2,5
2013/07/07,,2,5
2013/07/08,,,2
2013/07/09,,,3
2013/07/10,,,3
2013/07/11,,,3
2013/07/12,,,3
2013/07/13,,,4
2013/07/14,,,4
2013/07/15,,,4
2013/07/16,,,3
2013/07/17,,,3
2013/07/18,,,3
2013/07/19,,,3
2013/07/20,,,3
2013/07/21,,,3
2013/07/22,,,3
2013/07/23,,,3
2013/07/24,,,3
2013/07/25,,,3
2013/07/26,,,2
2013/07/27,,,2
2013/07/28,,,3
2013/07/29,,,3
2013/07/30,,,3
2013/07/31,,,3
2013/08/01,,,3
2013/08/02,,,3
2013/08/03,,,3
2013/08/04,,,3
2013/08/05,,,3
2013/08/06,,,3
2013/08/07,,,3
2013/08/08,,,2
2013/08/09,,,2
2013/08/10,,,2
2013/08/11,,,2
2013/08/12,,,2
2013/08/13,,,3
2013/08/14,,,3
2013/08/15,,,3
2013/08/16,,,5
2013/08/17,,,5
2013/08/18,,,5
2013/08/19,,,5
2013/08/20,,,5
2013/08/21,,,5
2013/08/22,,,5
2013/08/23,,,5
2013/08/24,,,5
2013/08/25,,,5
2013/08/26,,,5
2013/08/27,,,4
2013/08/28,,,4
2013/08/29,,,5
2013/08/30,,,4
2013/08/31,,,3
2013/09/01,,,3
2013/09/02,,,3
2013/09/03,,,3
2013/09/04,,,3
2013/09/05,,,3
2013/09/06,,,3
2013/09/07,,,3
2013/09/08,,,3
2013/09/09,,,4
2013/09/10,,,4
2013/09/11,,,4
2013/09/12,,,4
2013/09/13,,,5
2013/09/14,,,4
2013/09/15,,,2
2013/09/16,,,2
2013/09/17,,,2
2013/09/18,,,3
2013/09/19,,,3
2013/09/20,,,3
2013/09/21,,,3
2013/09/22,,,3
2013/09/23,,,3
2013/09/24,,,3
2013/09/25,,,4
2013/09/26,,,4
2013/09/27,,,4
2013/09/28,,,4
2013/09/29,,,4
2013/09/30,,,4
2013/10/01,,,4
2013/10/02,,,4
2013/10/03,,,4
2013/10/04,,,4
2013/10/05,,,5
2013/10/06,,,5
2013/10/07,,,5
2013/10/08,,,6
2013/10/09,,,6
2013/10/10,,,6
2013/10/11,,,6
2013/10/12,,,6
2013/10/13,,,5
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,5
2013/10/17,,,5
2013/10/18,,,5
2013/10/19,,,5
2013/10/20,,,5
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,7
2013/10/24,,,7
2013/10/25,,,5
2013/10/26,,,5
2013/10/27,,,5
2013/10/28,,,5
2013/10/29,,,5
2013/10/30,,,4
2013/10/31,,,4
2013/11/01,,,4
2013/11/02,,,4
2013/11/03,,,4
2013/11/04,,,3
2013/11/05,,,3
2013/11/06,,,3
2013/11/07,,,2
2013/11/08,,,2
2013/11/09,,,2
2013/11/10,,,2
2013/11/11,,,2
2013/11/12,,,2
2013/11/13,,,2
2013/11/14,,,2
2013/11/15,,,2
2013/11/16,,,2
2013/11/17,,,2
2013/11/18,,,2
2013/11/19,,,2
2013/11/20,,,1
2013/11/21,,,1
2013/11/24,,1,1
2013/11/25,,1,1
2013/11/26,,1,1
2013/11/27,,1,1
2013/11/28,,1,1
2013/11/29,,1,1
2013/11/30,,1,1
2013/12/01,,1,2
2013/12/02,,1,2
2013/12/03,,1,3
2013/12/04,,1,3
2013/12/05,,1,3
2013/12/06,,1,4
2013/12/07,,1,5
2013/12/08,,1,5
2013/12/09,,1,5
2013/12/10,,1,6
2013/12/11,,1,6
2013/12/12,,1,8
2013/12/13,,1,9
2013/12/14,,1,10
2013/12/15,,1,10
2013/12/16,,1,11
2013/12/17,,1,11
2013/12/18,,1,12
2013/12/19,,1,12
2013/12/20,,1,12
2013/12/21,,1,12
2013/12/22,,1,12
2013/12/23,,1,12
2013/12/24,,,11
2013/12/25,,,11
2013/12/26,,,11
2013/12/27,,,11
2013/12/28,,,11
2013/12/29,,,11
2013/12/30,,,11
2013/12/31,,,10
2014/01/01,,1,11
2014/01/02,,1,10
2014/01/03,,1,10
2014/01/04,,1,10
2014/01/05,,1,9
2014/01/06,,1,8
2014/01/07,,1,8
2014/01/08,,1,8
2014/01/09,,1,7
2014/01/10,,1,7
2014/01/11,,1,5
2014/01/12,,1,5
2014/01/13,,1,5
2014/01/14,,1,5
2014/01/15,,1,4
2014/01/16,,1,4
2014/01/17,,1,4
2014/01/18,,1,4
2014/01/19,,1,5
2014/01/20,,1,6
2014/01/21,,1,7
2014/01/22,,1,8
2014/01/23,,1,8
2014/01/24,,1,8
2014/01/25,,2,9
2014/01/26,,2,9
2014/01/27,,2,9
2014/01/28,,2,10
2014/01/29,,2,10
2014/01/30,,2,11
2014/01/31,,1,11
2014/02/01,,1,11
2014/02/02,,1,11
2014/02/03,,1,12
2014/02/04,,1,13
2014/02/05,,1,14
2014/02/06,1,1,14
2014/02/07,1,1,13
2014/02/08,1,1,13
2014/02/09,1,1,13
2014/02/10,1,1,14
2014/02/11,1,1,14
2014/02/12,1,1,15
2014/02/13,1,1,15
2014/02/14,1,2,15
2014/02/15,1,2,15
2014/02/16,1,2,15
2014/02/17,1,2,16
2014/02/18,1,2,14
2014/02/19,1,2,15
2014/02/20,1,2,14
2014/02/21,1,2,13
2014/02/22,1,2,13
2014/02/23,1,2,13
2014/02/24,1,2,13
2014/02/25,1,2,13
2014/02/26,1,2,13
2014/02/27,1,2,13
2014/02/28,1,2,12
2014/03/01,1,2,11
2014/03/02,1,2,10
2014/03/03,1,2,10
2014/03/04,1,2,10
2014/03/05,1,2,9
2014/03/06,1,2,8
2014/03/07,1,2,7
2014/03/08,1,2,7
2014/03/09,1,2,7
2014/03/10,1,2,7
2014/03/11,1,2,7
2014/03/12,1,2,7
2014/03/13,1,2,7
2014/03/14,1,2,6
2014/03/15,1,2,6
2014/03/16,1,2,6
2014/03/17,1,1,5
2014/03/18,1,1,5
2014/03/19,,,4
2014/03/20,,,4
2014/03/21,,,2
2014/03/22,,,2
2014/03/23,,,2
2014/03/24,,,2
2014/03/25,,,3
2014/03/26,,,3
2014/03/27,,,3
2014/03/28,,,3
2014/03/29,,,2
2014/03/30,,,1
2014/03/31,,,1
2014/04/01,,,1
2014/04/02,,,3
2014/04/03,,,3
2014/04/04,,,3
2014/04/05,,,3
2014/04/06,,,3
2014/04/07,,,3
2014/04/08,,,4
2014/04/09,,,4
2014/04/10,,,4
2014/04/11,,,4
2014/04/12,,,4
2014/04/13,,,4
2014/04/14,,,5
2014/04/15,,,6
2014/04/16,,,6
2014/04/17,,,6
2014/04/18,,,6
2014/04/19,,,6
2014/04/20,,,6
2014/04/21,,,6
2014/04/22,,,6
2014/04/23,,,6
2014/04/24,,,5
2014/04/25,,,6
2014/04/26,,,6
2014/04/27,,,6
2014/04/28,,,6
2014/04/29,,,6
2014/04/30,,,6
2014/05/01,,,6
2014/05/02,,,4
2014/05/03,,,4
2014/05/04,,,4
2014/05/05,,,4
2014/05/06,,,5
2014/05/07,,,5
2014/05/08,,,5
2014/05/09,,,5
2014/05/10,,,5
2014/05/11,,,5
2014/05/12,,,4
2014/05/13,,,4
2014/05/14,,,4
2014/05/15,,,3
2014/05/16,,,4
2014/05/17,,,4
2014/05/18,,,5
2014/05/19,,,5
2014/05/20,,,5
2014/05/21,,,5
2014/05/22,,,7
2014/05/23,,,7
2014/05/24,,,7
2014/05/25,,,6
2014/05/26,,,6
2014/05/27,,,6
2014/05/28,,,6
2014/05/29,,,6
2014/05/30,,,6
2014/05/31,,,6
2014/06/01,,,7
2014/06/02,,,7
2014/06/03,,,10
2014/06/04,,,10
2014/06/05,,,10
2014/06/06,,,10
2014/06/07,,,10
2014/06/08,,,10
2014/06/09,,,10
2014/06/10,,,12
2014/06/11,,,12
2014/06/12,,,12
2014/06/13,,,11
2014/06/14,,,11
2014/06/15,,,10
2014/06/16,,1,12
2014/06/17,,1,11
2014/06/18,,1,12
2014/06/19,,1,12
2014/06/20,,1,12
2014/06/21,,1,10
2014/06/22,,1,10
2014/06/23,,1,10
2014/06/24,,1,10
2014/06/25,,1,10
2014/06/26,,1,10
2014/06/27,,1,10
2014/06/28,,1,10
2014/06/29,,1,10
2014/06/30,,1,10
2014/07/01,,1,10
2014/07/02,,1,10
2014/07/03,,1,8
2014/07/04,,1,8
2014/07/05,1,2,7
2014/07/06,1,2,7
2014/07/07,1,2,7
2014/07/08,1,2,7
2014/07/09,1,2,7
2014/07/10,1,2,6
2014/07/11,1,2,6
2014/07/12,1,2,5
2014/07/13,1,2,5
2014/07/14,1,2,5
2014/07/15,1,2,5
2014/07/16,1,2,5
2014/07/17,1,2,5
2014/07/18,1,1,6
2014/07/19,1,1,6
2014/07/20,1,1,5
2014/07/21,1,1,6
2014/07/22,1,1,6
2014/07/23,1,1,6
2014/07/24,1,1,6
2014/07/25,1,1,6
2014/07/26,1,1,7
2014/07/27,1,1,7
2014/07/28,1,1,7
2014/07/29,1,1,7
2014/07/30,1,1,7
2014/07/31,1,1,7
2014/08/01,1,1,7
2014/08/02,1,1,7
2014/08/03,1,1,7
2014/08/04,,1,7
2014/08/05,,1,7
2014/08/06,,1,7
2014/08/07,,1,8
2014/08/08,,1,8
2014/08/09,,1,7
2014/08/10,,1,7
2014/08/11,,1,7
2014/08/12,,1,7
2014/08/13,,1,8
2014/08/14,,1,8
2014/08/15,,,8
2014/08/16,,,9
2014/08/17,,,7
2014/08/18,,,8
2014/08/19,,,8
2014/08/20,,,8
2014/08/21,,1,8
2014/08/22,,1,8
2014/08/23,,1,8
2014/08/24,,1,8
2014/08/25,,1,7
2014/08/26,,1,7
2014/08/27,,1,7
2014/08/28,,1,7
2014/08/29,,1,8
2014/08/30,,1,7
2014/08/31,,1,7
2014/09/01,,1,8
2014/09/02,,1,8
2014/09/03,,1,7
2014/09/04,,1,7
2014/09/05,,1,8
2014/09/06,,1,7
2014/09/07,,1,7
2014/09/08,,1,7
2014/09/09,,1,7
2014/09/10,,1,7
2014/09/11,,1,7
2014/09/12,,1,7
2014/09/13,,1,7
2014/09/14,,1,8
2014/09/15,,1,8
2014/09/16,,1,7
2014/09/17,,1,6
2014/09/18,,1,9
2014/09/19,,1,9
2014/09/20,,1,9
2014/09/21,,1,10
2014/09/22,,1,10
2014/09/23,,1,10
2014/09/24,,1,10
2014/09/25,,1,10
2014/09/26,,1,10
2014/09/27,,1,10
2014/09/28,,1,10
2014/09/29,,1,8
2014/09/30,,1,8
2014/10/01,,1,8
2014/10/02,,1,8
2014/10/03,,1,9
2014/10/04,,1,8
2014/10/05,,1,7
2014/10/06,,1,7
2014/10/07,,1,8
2014/10/08,,1,8
2014/10/09,,1,8
2014/10/10,,1,8
2014/10/11,,1,9
2014/10/12,,1,9
2014/10/13,,1,9
2014/10/14,,1,8
2014/10/15,,,8
2014/10/16,,,8
2014/10/17,,,8
2014/10/18,,,5
2014/10/19,,,6
2014/10/20,,,6
2014/10/21,,,5
2014/10/22,,1,6
2014/10/23,,1,6
2014/10/24,,1,6
2014/10/25,,1,7
2014/10/26,,1,7
2014/10/27,,1,7
2014/10/28,,1,6
2014/10/29,,1,6
2014/10/30,,1,6
2014/10/31,,1,6
