date,szlwiki (100+),szlwiki (5+),szlwiki (all)
2013/06/18,1,4,23
2013/06/19,1,4,24
2013/06/20,1,4,24
2013/06/21,1,4,23
2013/06/22,1,4,23
2013/06/23,1,4,22
2013/06/24,1,3,23
2013/06/25,1,2,22
2013/06/26,1,2,23
2013/06/27,1,2,23
2013/06/28,1,2,22
2013/06/29,1,2,21
2013/06/30,1,2,21
2013/07/01,1,2,21
2013/07/02,1,2,21
2013/07/03,1,2,23
2013/07/04,1,2,23
2013/07/05,1,2,23
2013/07/06,1,2,23
2013/07/07,1,2,23
2013/07/08,1,2,22
2013/07/09,1,2,22
2013/07/10,1,2,22
2013/07/11,1,2,20
2013/07/12,1,2,18
2013/07/13,1,2,18
2013/07/14,1,2,18
2013/07/15,1,2,16
2013/07/16,1,2,17
2013/07/17,1,2,17
2013/07/18,1,2,18
2013/07/19,1,2,16
2013/07/20,1,2,16
2013/07/21,1,2,16
2013/07/22,1,3,18
2013/07/23,1,3,19
2013/07/24,1,3,16
2013/07/25,,3,16
2013/07/26,,3,14
2013/07/27,,3,14
2013/07/28,,3,14
2013/07/29,,3,14
2013/07/30,,2,15
2013/07/31,,2,15
2013/08/01,,2,15
2013/08/02,,2,13
2013/08/03,,2,13
2013/08/04,,2,14
2013/08/05,,2,14
2013/08/06,1,2,14
2013/08/07,1,2,15
2013/08/08,1,2,15
2013/08/09,1,3,15
2013/08/10,1,3,15
2013/08/11,1,3,16
2013/08/12,1,4,19
2013/08/13,1,4,19
2013/08/14,1,4,19
2013/08/15,1,4,20
2013/08/16,1,4,20
2013/08/17,1,4,19
2013/08/18,1,4,20
2013/08/19,1,5,21
2013/08/20,1,5,21
2013/08/21,1,4,19
2013/08/22,1,4,20
2013/08/23,1,4,20
2013/08/24,1,4,21
2013/08/25,1,4,21
2013/08/26,1,3,22
2013/08/27,1,3,22
2013/08/28,1,3,22
2013/08/29,1,3,22
2013/08/30,1,3,21
2013/08/31,1,3,22
2013/09/01,1,3,22
2013/09/02,1,3,23
2013/09/03,1,4,22
2013/09/04,1,4,22
2013/09/05,1,4,22
2013/09/06,1,4,21
2013/09/07,1,4,21
2013/09/08,1,4,20
2013/09/09,1,4,19
2013/09/10,1,4,18
2013/09/11,1,3,14
2013/09/12,1,3,14
2013/09/13,1,3,14
2013/09/14,1,3,13
2013/09/15,1,3,13
2013/09/16,1,3,14
2013/09/17,1,3,14
2013/09/18,1,3,13
2013/09/19,1,3,13
2013/09/20,1,3,14
2013/09/21,1,3,14
2013/09/22,1,3,14
2013/09/23,1,3,13
2013/09/24,1,3,12
2013/09/25,1,3,13
2013/09/26,1,4,14
2013/09/27,1,4,14
2013/09/28,1,4,13
2013/09/29,1,4,14
2013/09/30,1,5,13
2013/10/01,1,5,13
2013/10/02,1,5,13
2013/10/03,1,4,13
2013/10/04,1,4,13
2013/10/05,1,5,13
2013/10/06,1,6,15
2013/10/07,1,6,15
2013/10/08,1,6,15
2013/10/09,1,6,16
2013/10/10,1,6,16
2013/10/11,1,6,18
2013/10/12,1,6,18
2013/10/13,1,6,19
2013/10/14,1,6,19
2013/10/15,1,6,19
2013/10/16,1,6,18
2013/10/17,1,6,17
2013/10/18,1,5,16
2013/10/19,1,5,17
2013/10/20,1,5,16
2013/10/21,1,6,16
2013/10/22,1,6,16
2013/10/23,1,6,16
2013/10/24,1,6,16
2013/10/25,1,6,16
2013/10/26,1,6,18
2013/10/27,1,6,18
2013/10/28,1,6,19
2013/10/29,1,6,19
2013/10/30,1,6,19
2013/10/31,1,6,19
2013/11/01,1,6,19
2013/11/02,1,6,19
2013/11/03,1,6,21
2013/11/04,1,6,21
2013/11/05,1,6,21
2013/11/06,1,6,21
2013/11/07,2,6,21
2013/11/08,2,6,20
2013/11/09,2,6,21
2013/11/10,2,6,19
2013/11/11,2,7,19
2013/11/12,2,7,19
2013/11/13,2,6,19
2013/11/14,2,6,19
2013/11/15,2,6,20
2013/11/16,2,6,19
2013/11/17,2,6,19
2013/11/18,2,5,19
2013/11/19,2,5,22
2013/11/20,2,5,23
2013/11/21,2,4,23
2013/11/22,2,4,24
2013/11/23,2,4,24
2013/11/24,2,4,23
2013/11/25,2,4,20
2013/11/26,2,4,20
2013/11/27,2,4,19
2013/11/28,2,4,19
2013/11/29,2,4,20
2013/11/30,2,4,20
2013/12/01,2,4,21
2013/12/02,2,4,21
2013/12/03,2,5,20
2013/12/04,2,5,20
2013/12/05,2,6,21
2013/12/06,2,6,22
2013/12/07,2,6,22
2013/12/08,2,6,22
2013/12/09,2,6,21
2013/12/10,1,6,22
2013/12/11,,6,23
2013/12/12,,6,22
2013/12/13,,5,21
2013/12/14,,5,21
2013/12/15,,5,19
2013/12/16,,5,20
2013/12/17,,5,20
2013/12/18,,5,20
2013/12/19,,5,17
2013/12/20,,5,16
2013/12/21,,5,15
2013/12/22,,5,15
2013/12/23,,6,15
2013/12/24,,6,15
2013/12/25,,6,15
2013/12/26,,6,16
2013/12/27,,6,16
2013/12/28,,6,16
2013/12/29,,6,15
2013/12/30,1,6,16
2013/12/31,1,6,15
2014/01/01,1,6,16
2014/01/02,1,5,17
2014/01/03,1,5,17
2014/01/04,1,4,16
2014/01/05,,3,14
2014/01/06,,3,15
2014/01/07,,3,15
2014/01/08,,3,12
2014/01/09,,3,11
2014/01/10,,3,11
2014/01/11,,3,13
2014/01/12,,3,13
2014/01/13,,3,13
2014/01/14,,3,14
2014/01/15,,3,13
2014/01/16,,3,14
2014/01/17,,3,14
2014/01/18,,3,15
2014/01/19,,3,16
2014/01/20,,4,17
2014/01/21,,3,17
2014/01/22,1,4,18
2014/01/23,1,4,18
2014/01/24,1,4,18
2014/01/25,1,4,17
2014/01/26,1,4,17
2014/01/27,1,4,18
2014/01/28,1,4,18
2014/01/29,1,4,19
2014/01/30,1,4,19
2014/01/31,1,5,20
2014/02/01,1,5,19
2014/02/02,1,5,19
2014/02/03,1,5,20
2014/02/04,1,5,20
2014/02/05,1,5,19
2014/02/06,1,4,20
2014/02/07,1,4,20
2014/02/08,1,4,20
2014/02/09,1,4,18
2014/02/10,1,3,17
2014/02/11,1,3,17
2014/02/12,1,4,17
2014/02/13,2,4,17
2014/02/14,2,5,18
2014/02/15,2,5,17
2014/02/16,2,5,19
2014/02/17,1,4,17
2014/02/18,1,4,17
2014/02/19,1,4,17
2014/02/20,1,4,18
2014/02/21,1,4,18
2014/02/22,1,4,19
2014/02/23,1,4,19
2014/02/24,1,4,19
2014/02/25,1,4,18
2014/02/26,1,4,17
2014/02/27,1,4,17
2014/02/28,1,4,16
2014/03/01,1,4,16
2014/03/02,1,4,15
2014/03/03,1,4,15
2014/03/04,1,4,15
2014/03/05,1,4,14
2014/03/06,1,4,14
2014/03/07,1,4,15
2014/03/08,1,4,14
2014/03/09,1,4,14
2014/03/10,,4,14
2014/03/11,,4,14
2014/03/12,,4,14
2014/03/13,,4,15
2014/03/14,,4,15
2014/03/15,,4,16
2014/03/16,,3,14
2014/03/17,,3,16
2014/03/18,,3,17
2014/03/19,,3,16
2014/03/20,,4,17
2014/03/21,,4,16
2014/03/22,,4,17
2014/03/23,,4,14
2014/03/24,,4,13
2014/03/25,,4,13
2014/03/26,,4,16
2014/03/27,,4,17
2014/03/28,,4,17
2014/03/29,,4,18
2014/03/30,,4,18
2014/03/31,,5,19
2014/04/01,,4,19
2014/04/02,,4,19
2014/04/03,,4,19
2014/04/04,,4,19
2014/04/05,,4,19
2014/04/06,,4,20
2014/04/07,,4,20
2014/04/08,,4,21
2014/04/09,,4,23
2014/04/10,,4,23
2014/04/11,,4,24
2014/04/12,,4,23
2014/04/13,,4,24
2014/04/14,,4,24
2014/04/15,,4,24
2014/04/16,,4,23
2014/04/17,,4,21
2014/04/18,,4,21
2014/04/19,,4,21
2014/04/20,,4,21
2014/04/21,,4,23
2014/04/22,,4,23
2014/04/23,,4,23
2014/04/24,,4,23
2014/04/25,,4,20
2014/04/26,,4,20
2014/04/27,,4,22
2014/04/28,,4,22
2014/04/29,,4,23
2014/04/30,,4,24
2014/05/01,,4,24
2014/05/02,,4,24
2014/05/03,,4,26
2014/05/04,,4,26
2014/05/05,,4,26
2014/05/06,,4,24
2014/05/07,,4,24
2014/05/08,,4,23
2014/05/09,,4,21
2014/05/10,,4,21
2014/05/11,,4,22
2014/05/12,,4,22
2014/05/13,,4,21
2014/05/14,,4,20
2014/05/15,,4,21
2014/05/16,,4,22
2014/05/17,,4,22
2014/05/18,,6,22
2014/05/19,,6,22
2014/05/20,,6,21
2014/05/21,,5,18
2014/05/22,,5,18
2014/05/23,,5,18
2014/05/24,,5,18
2014/05/25,,5,18
2014/05/26,,5,18
2014/05/27,,6,16
2014/05/28,,6,15
2014/05/29,,6,16
2014/05/30,,6,14
2014/05/31,,6,14
2014/06/01,,6,15
2014/06/02,,6,14
2014/06/03,,6,14
2014/06/04,,6,14
2014/06/05,,6,16
2014/06/06,,5,16
2014/06/07,,5,15
2014/06/08,,6,16
2014/06/09,,6,16
2014/06/10,,5,18
2014/06/11,,5,18
2014/06/12,,5,18
2014/06/13,,5,18
2014/06/14,,5,17
2014/06/15,,5,16
2014/06/16,,5,18
2014/06/17,,5,19
2014/06/18,,5,19
2014/06/19,,5,19
2014/06/20,,5,18
2014/06/21,,6,19
2014/06/22,,7,20
2014/06/23,,7,21
2014/06/24,,7,21
2014/06/25,1,7,22
2014/06/26,1,6,21
2014/06/27,1,6,22
2014/06/28,1,6,21
2014/06/29,1,5,21
2014/06/30,1,5,21
2014/07/01,1,5,20
2014/07/02,,5,20
2014/07/03,,5,20
2014/07/04,,5,20
2014/07/05,1,5,19
2014/07/06,1,5,20
2014/07/07,1,5,20
2014/07/08,1,4,21
2014/07/09,1,4,21
2014/07/10,1,4,18
2014/07/11,1,4,20
2014/07/12,1,4,20
2014/07/13,1,4,20
2014/07/14,1,5,20
2014/07/15,1,5,20
2014/07/16,1,5,18
2014/07/17,1,5,17
2014/07/18,1,5,17
2014/07/19,1,5,16
2014/07/20,1,5,17
2014/07/21,1,5,18
2014/07/22,1,5,16
2014/07/23,1,5,15
2014/07/24,1,5,15
2014/07/25,1,5,15
2014/07/26,1,5,17
2014/07/27,1,5,17
2014/07/28,1,5,19
2014/07/29,1,5,19
2014/07/30,1,5,19
2014/07/31,1,5,20
2014/08/01,1,5,21
2014/08/02,1,5,21
2014/08/03,1,5,21
2014/08/04,1,4,21
2014/08/05,1,4,20
2014/08/06,,4,20
2014/08/07,,5,19
2014/08/08,,4,19
2014/08/09,,4,19
2014/08/10,1,3,17
2014/08/11,1,3,18
2014/08/12,2,3,19
2014/08/13,2,3,20
2014/08/14,2,3,20
2014/08/15,2,3,20
2014/08/16,2,3,21
2014/08/17,2,3,21
2014/08/18,2,3,22
2014/08/19,2,3,23
2014/08/20,2,3,22
2014/08/21,2,3,22
2014/08/22,2,3,22
2014/08/23,2,3,22
2014/08/24,2,3,21
2014/08/25,2,3,19
2014/08/26,2,3,21
2014/08/27,1,3,21
2014/08/28,1,3,22
2014/08/29,1,3,22
2014/08/30,1,2,22
2014/08/31,1,2,19
2014/09/01,1,2,20
2014/09/02,1,2,21
2014/09/03,1,2,21
2014/09/04,1,2,20
2014/09/05,1,2,20
2014/09/06,1,2,20
2014/09/07,1,3,21
2014/09/08,1,3,22
2014/09/09,1,3,21
2014/09/10,1,3,22
2014/09/11,1,4,21
2014/09/12,1,4,20
2014/09/13,1,4,21
2014/09/14,1,4,22
2014/09/15,1,4,21
2014/09/16,1,5,21
2014/09/17,1,5,20
2014/09/18,1,5,19
2014/09/19,1,5,18
2014/09/20,1,5,18
2014/09/21,1,5,18
2014/09/22,1,5,18
2014/09/23,1,5,18
2014/09/24,1,5,18
2014/09/25,1,5,17
2014/09/26,1,4,17
2014/09/27,1,4,17
2014/09/28,1,4,17
2014/09/29,1,3,17
2014/09/30,1,3,17
2014/10/01,1,3,17
2014/10/02,1,3,18
2014/10/03,1,3,18
2014/10/04,1,3,18
2014/10/05,1,3,18
2014/10/06,1,3,18
2014/10/07,1,3,16
2014/10/08,1,3,15
2014/10/09,1,3,17
2014/10/10,1,3,17
2014/10/11,1,3,19
2014/10/12,1,3,19
2014/10/13,1,3,18
2014/10/14,1,3,17
2014/10/15,1,3,17
2014/10/16,1,3,16
2014/10/17,1,3,16
2014/10/18,1,3,16
2014/10/19,1,3,16
2014/10/20,1,3,17
2014/10/21,1,3,17
2014/10/22,1,3,18
2014/10/23,1,3,18
2014/10/24,1,3,18
2014/10/25,1,3,18
2014/10/26,1,3,17
2014/10/27,,3,17
2014/10/28,,3,17
2014/10/29,,3,18
2014/10/30,,3,18
2014/10/31,,3,18
2014/11/01,,3,18
2014/11/02,,3,18
2014/11/03,,3,18
2014/11/04,,3,18
2014/11/05,,3,17
2014/11/06,,3,17
2014/11/07,,3,20
2014/11/08,,3,19
2014/11/09,,3,17
2014/11/10,,3,16
2014/11/11,,3,16
2014/11/12,,3,16
2014/11/13,,3,16
2014/11/14,,3,16
2014/11/15,,3,16
2014/11/16,,3,16
2014/11/17,,3,15
2014/11/18,,3,16
2014/11/19,,3,16
2014/11/20,,3,17
2014/11/21,,3,16
2014/11/22,,3,15
2014/11/23,,3,17
2014/11/24,,3,17
2014/11/25,,3,17
2014/11/26,,3,17
2014/11/27,,3,17
2014/11/28,,3,17
2014/11/29,,3,18
2014/11/30,,3,17
2014/12/01,,3,16
2014/12/02,,3,16
2014/12/03,,3,19
2014/12/04,,4,20
2014/12/05,,4,20
2014/12/06,,3,21
2014/12/07,,3,18
2014/12/08,,3,18
2014/12/09,,3,17
2014/12/10,,3,17
2014/12/11,,3,17
2014/12/12,,3,17
2014/12/13,,3,18
2014/12/14,,3,18
2014/12/15,,3,18
2014/12/16,,3,18
2014/12/17,,3,18
2014/12/18,,3,18
2014/12/19,,3,19
2014/12/20,,3,18
2014/12/21,,3,17
2014/12/22,,2,17
2014/12/23,,2,14
2014/12/24,,2,15
2014/12/25,,2,15
2014/12/26,,2,15
2014/12/27,,3,15
2014/12/28,,3,14
2014/12/29,,3,13
2014/12/30,,3,13
2014/12/31,,3,13
2015/01/01,,3,13
2015/01/02,,2,12
2015/01/03,,1,12
2015/01/04,,1,12
2015/01/05,,1,11
2015/01/06,,1,10
2015/01/07,,1,11
2015/01/08,,1,12
2015/01/09,,2,12
2015/01/10,,2,12
2015/01/11,,2,12
2015/01/12,,2,11
2015/01/13,,2,11
2015/01/14,,3,13
2015/01/15,1,3,13
2015/01/16,1,3,14
2015/01/17,1,3,15
2015/01/18,1,3,16
2015/01/19,1,3,18
2015/01/20,1,3,18
2015/01/21,1,3,18
2015/01/22,1,3,18
2015/01/23,1,3,18
2015/01/24,1,3,20
2015/01/25,1,4,21
2015/01/26,1,4,21
2015/01/27,1,4,20
2015/01/28,1,4,20
2015/01/29,1,4,22
2015/01/30,1,5,23
2015/01/31,1,5,23
2015/02/01,1,6,24
2015/02/02,1,6,23
2015/02/03,1,6,23
2015/02/04,1,6,24
2015/02/05,1,6,24
2015/02/06,1,6,23
2015/02/07,1,6,22
2015/02/08,1,6,23
2015/02/09,1,6,23
2015/02/10,1,6,24
2015/02/11,1,6,24
2015/02/12,1,6,24
2015/02/13,1,6,23
2015/02/14,,6,24
2015/02/15,,6,23
2015/02/16,,6,23
2015/02/17,,6,21
2015/02/18,,6,19
2015/02/19,,6,19
2015/02/20,,6,21
2015/02/21,,6,21
2015/02/22,,6,20
2015/02/23,,6,18
2015/02/24,,5,18
2015/02/25,,5,16
2015/02/26,,5,17
2015/02/27,,5,17
2015/02/28,,5,15
2015/03/01,,4,15
2015/03/02,,4,15
2015/03/03,,3,14
2015/03/04,,3,14
2015/03/05,,3,14
2015/03/06,,2,13
2015/03/07,,2,14
2015/03/08,,2,14
2015/03/09,,2,14
2015/03/10,,2,14
2015/03/11,,2,15
2015/03/12,,2,14
2015/03/13,,3,15
2015/03/14,,3,15
2015/03/15,,3,15
2015/03/16,,3,15
2015/03/17,,3,16
2015/03/18,,2,15
2015/03/19,,2,15
2015/03/20,,2,15
2015/03/21,,2,15
2015/03/22,,2,13
2015/03/23,,2,13
2015/03/24,,2,13
2015/03/25,,2,13
2015/03/26,,2,13
2015/03/27,,2,13
2015/03/28,,2,14
2015/03/29,,2,14
2015/03/30,,2,13
2015/03/31,,2,13
2015/04/01,,2,13
2015/04/02,,2,14
2015/04/03,,2,14
2015/04/04,,2,14
2015/04/05,,2,15
2015/04/06,,2,14
2015/04/07,,2,17
2015/04/08,,3,19
2015/04/09,,3,19
2015/04/10,,3,18
2015/04/11,,3,18
2015/04/12,,3,17
2015/04/13,,3,17
2015/04/14,,3,17
2015/04/15,,3,16
2015/04/16,,2,15
2015/04/17,,2,15
2015/04/18,,2,15
2015/04/19,,2,16
2015/04/20,,2,16
2015/04/21,,2,16
2015/04/22,,2,15
2015/04/23,,2,15
2015/04/24,,2,15
2015/04/25,,3,15
2015/04/26,,3,15
2015/04/27,,3,14
2015/04/28,,2,14
2015/04/29,,2,15
2015/04/30,,2,15
2015/05/01,,2,15
2015/05/02,,2,14
2015/05/03,,2,14
2015/05/04,,2,14
2015/05/05,,2,13
2015/05/06,,2,14
2015/05/07,,2,11
2015/05/08,,1,10
2015/05/09,,,10
2015/05/10,,1,11
2015/05/11,,1,12
2015/05/12,,1,13
2015/05/13,,1,13
2015/05/14,,1,12
2015/05/15,,1,14
2015/05/16,,1,14
2015/05/17,,1,14
2015/05/18,,1,14
2015/05/19,,1,13
2015/05/20,,,14
2015/05/21,,,14
2015/05/22,,,14
2015/05/23,,1,15
2015/05/24,,1,15
2015/05/25,,2,18
2015/05/26,,2,18
2015/05/27,,2,18
2015/05/28,,2,18
2015/05/29,,2,17
2015/05/30,,2,17
2015/05/31,,2,17
2015/06/01,,1,17
2015/06/02,,1,17
2015/06/03,,1,16
2015/06/04,,1,16
2015/06/05,,1,15
2015/06/06,,1,15
2015/06/07,,1,14
2015/06/08,,1,15
2015/06/09,,1,14
2015/06/10,,1,14
2015/06/11,,1,13
2015/06/12,,1,15
2015/06/13,,1,15
2015/06/14,,1,14
2015/06/15,,1,14
2015/06/16,,1,14
2015/06/17,,1,14
2015/06/18,,1,14
2015/06/19,,1,16
2015/06/20,,2,17
2015/06/21,,3,18
2015/06/22,,3,16
2015/06/23,,4,17
2015/06/24,,4,14
2015/06/25,,4,15
2015/06/26,,4,15
2015/06/27,,4,14
2015/06/28,,4,14
2015/06/29,,5,14
2015/06/30,,5,15
2015/07/01,,5,15
2015/07/02,,5,15
2015/07/03,,5,17
2015/07/04,,5,17
2015/07/05,,5,17
2015/07/06,,5,17
2015/07/07,,5,17
2015/07/08,,5,16
2015/07/09,,5,17
2015/07/10,,5,17
2015/07/11,,5,19
2015/07/12,,5,17
2015/07/13,,5,17
2015/07/14,,5,16
2015/07/15,,5,16
2015/07/16,,5,16
2015/07/17,,5,17
2015/07/18,,5,17
2015/07/19,,5,16
2015/07/20,,4,16
2015/07/21,,3,16
2015/07/22,,3,16
2015/07/23,,3,15
2015/07/24,,3,15
2015/07/25,,3,14
2015/07/26,,2,14
2015/07/27,,2,15
2015/07/28,,2,15
2015/07/29,,2,15
2015/07/30,,2,13
2015/07/31,,2,13
2015/08/01,,2,15
2015/08/02,,2,13
2015/08/03,,2,13
2015/08/04,,3,14
2015/08/05,,3,15
2015/08/06,,3,14
2015/08/07,,3,14
2015/08/08,,3,12
2015/08/09,,3,11
2015/08/10,,3,10
2015/08/11,,3,10
2015/08/12,,4,10
2015/08/13,,4,10
2015/08/14,,4,10
2015/08/15,,4,10
2015/08/16,,4,10
2015/08/17,,4,12
2015/08/18,,4,13
2015/08/19,,4,13
2015/08/20,,4,12
2015/08/21,,4,12
2015/08/22,,4,12
2015/08/23,,4,12
2015/08/24,,4,12
2015/08/25,,4,12
2015/08/26,,4,11
2015/08/27,,4,11
2015/08/28,,4,11
2015/08/29,,4,11
2015/08/30,,4,11
2015/08/31,,4,11
