date,simplewiki (100+),simplewiki (5+),simplewiki (all)
2012/12/16,26,208,742
2012/12/17,27,208,755
2012/12/18,28,211,760
2012/12/19,29,214,751
2012/12/20,29,214,753
2012/12/21,28,212,746
2012/12/22,29,209,741
2012/12/23,29,211,742
2012/12/24,30,212,750
2012/12/25,30,209,740
2012/12/26,30,213,735
2012/12/27,29,216,740
2012/12/28,31,218,736
2012/12/29,31,223,735
2012/12/30,30,222,733
2012/12/31,29,221,731
2013/01/01,29,221,729
2013/01/02,28,220,736
2013/01/03,29,217,723
2013/01/04,29,211,706
2013/01/05,29,213,707
2013/01/06,27,208,691
2013/01/07,26,206,683
2013/01/08,25,207,690
2013/01/09,25,209,700
2013/01/10,26,204,697
2013/01/11,25,206,697
2013/01/12,25,211,696
2013/01/13,27,209,698
2013/01/14,27,218,701
2013/01/15,27,223,712
2013/01/16,26,225,709
2013/01/17,25,221,714
2013/01/18,27,215,715
2013/01/19,29,219,715
2013/01/20,29,219,710
2013/01/21,29,217,709
2013/01/22,28,220,720
2013/01/23,27,222,715
2013/01/24,28,222,723
2013/01/25,28,220,728
2013/01/26,29,220,736
2013/01/27,28,218,738
2013/01/28,28,216,737
2013/01/29,28,219,727
2013/01/30,28,218,727
2013/01/31,29,218,745
2013/02/01,28,216,745
2013/02/02,28,218,746
2013/02/03,28,218,759
2013/02/04,28,216,764
2013/02/05,28,222,771
2013/02/06,29,222,786
2013/02/07,30,223,787
2013/02/08,29,218,784
2013/02/09,28,217,792
2013/02/10,28,212,788
2013/02/11,28,202,785
2013/02/12,28,201,778
2013/02/13,27,190,771
2013/02/14,27,191,751
2013/02/15,26,176,741
2013/02/16,25,174,737
2013/02/17,25,173,724
2013/02/18,23,171,719
2013/02/19,23,174,727
2013/02/20,22,178,732
2013/02/21,24,175,728
2013/02/22,25,178,709
2013/02/23,25,176,701
2013/02/24,26,177,698
2013/02/25,25,173,676
2013/02/26,25,172,686
2013/02/27,26,175,680
2013/02/28,27,182,725
2013/03/01,27,185,725
2013/03/02,27,186,715
2013/03/03,26,185,707
2013/03/04,26,185,706
2013/03/05,26,186,705
2013/03/06,26,182,708
2013/03/07,26,177,701
2013/03/08,24,176,692
2013/03/09,24,173,694
2013/03/10,25,171,691
2013/03/11,25,173,680
2013/03/12,26,176,676
2013/03/13,26,177,675
2013/03/14,27,174,672
2013/03/15,27,175,662
2013/03/16,27,174,666
2013/03/17,28,175,665
2013/03/18,26,169,671
2013/03/19,27,172,687
2013/03/20,27,169,690
2013/03/21,27,170,690
2013/03/22,29,170,682
2013/03/23,30,169,684
2013/03/24,30,165,684
2013/03/25,29,164,684
2013/03/26,29,163,685
2013/03/27,28,164,682
2013/03/28,28,166,681
2013/03/29,27,159,679
2013/03/30,27,151,627
2013/03/31,27,150,618
2013/04/01,26,150,618
2013/04/02,27,149,618
2013/04/03,27,145,617
2013/04/04,27,145,618
2013/04/05,28,145,607
2013/04/06,26,143,606
2013/04/07,27,137,606
2013/04/08,27,132,602
2013/04/09,27,128,600
2013/04/10,27,130,610
2013/04/11,27,135,608
2013/04/12,26,134,603
2013/04/13,26,134,603
2013/04/14,26,133,592
2013/04/15,26,137,596
2013/04/16,25,137,589
2013/04/17,24,141,587
2013/04/18,27,140,583
2013/04/19,28,137,575
2013/04/20,28,135,563
2013/04/21,27,134,559
2013/04/22,27,138,552
2013/04/23,27,139,552
2013/04/24,26,140,552
2013/04/25,28,142,546
2013/04/26,28,142,545
2013/04/27,26,144,550
2013/04/28,27,147,550
2013/04/29,27,146,558
2013/04/30,27,149,568
2013/05/01,26,151,586
2013/05/02,27,151,589
2013/05/03,26,156,600
2013/05/04,25,156,602
2013/05/05,23,153,595
2013/05/06,23,154,592
2013/05/07,25,156,597
2013/05/08,24,157,602
2013/05/09,25,169,615
2013/05/10,25,168,619
2013/05/11,24,171,615
2013/05/12,26,170,621
2013/05/13,27,175,625
2013/05/14,26,181,634
2013/05/15,25,182,633
2013/05/16,26,186,637
2013/05/17,27,183,648
2013/05/18,28,182,650
2013/05/19,28,186,653
2013/05/20,29,187,653
2013/05/21,30,187,656
2013/05/22,31,191,656
2013/05/23,30,190,655
2013/05/24,31,186,653
2013/05/25,31,187,659
2013/05/26,32,191,663
2013/05/27,32,185,658
2013/05/28,32,182,655
2013/05/29,32,184,664
2013/05/30,32,181,654
2013/05/31,32,187,672
2013/06/01,32,194,672
2013/06/02,32,189,671
2013/06/03,31,189,670
2013/06/04,30,191,668
2013/06/05,30,191,658
2013/06/06,30,191,656
2013/06/07,29,192,648
2013/06/08,29,188,643
2013/06/09,29,189,636
2013/06/10,29,182,621
2013/06/11,30,182,629
2013/06/12,29,177,621
2013/06/13,29,170,617
2013/06/14,28,162,615
2013/06/15,28,159,616
2013/06/16,27,156,611
2013/06/17,27,157,603
2013/06/18,28,155,610
2013/06/19,27,158,614
2013/06/20,27,160,615
2013/06/21,27,160,614
2013/06/22,26,160,605
2013/06/23,27,162,616
2013/06/24,27,169,618
2013/06/25,28,166,620
2013/06/26,29,168,621
2013/06/27,30,167,620
2013/06/28,30,166,612
2013/06/29,30,168,612
2013/06/30,31,156,591
2013/07/01,29,152,583
2013/07/02,29,153,573
2013/07/03,28,151,571
2013/07/04,27,148,569
2013/07/05,27,141,564
2013/07/06,28,141,566
2013/07/07,29,139,557
2013/07/08,30,137,552
2013/07/09,30,137,550
2013/07/10,30,138,548
2013/07/11,29,141,537
2013/07/12,29,142,533
2013/07/13,30,143,534
2013/07/14,28,143,527
2013/07/15,28,141,528
2013/07/16,28,146,532
2013/07/17,28,140,525
2013/07/18,29,138,521
2013/07/19,30,137,517
2013/07/20,31,137,514
2013/07/21,31,133,504
2013/07/22,31,135,505
2013/07/23,30,134,500
2013/07/24,30,132,496
2013/07/25,30,129,490
2013/07/26,29,125,483
2013/07/27,28,128,482
2013/07/28,29,131,487
2013/07/29,29,127,489
2013/07/30,30,131,491
2013/07/31,29,131,490
2013/08/01,29,132,497
2013/08/02,29,132,485
2013/08/03,28,132,482
2013/08/04,28,132,483
2013/08/05,29,133,487
2013/08/06,29,130,500
2013/08/07,30,131,502
2013/08/08,30,129,509
2013/08/09,29,128,503
2013/08/10,27,124,501
2013/08/11,27,127,508
2013/08/12,26,125,507
2013/08/13,25,125,518
2013/08/14,25,128,517
2013/08/15,24,126,505
2013/08/16,25,129,507
2013/08/17,23,128,507
2013/08/18,21,127,497
2013/08/19,19,123,494
2013/08/20,20,122,500
2013/08/21,20,120,503
2013/08/22,21,116,498
2013/08/23,20,116,486
2013/08/24,20,115,484
2013/08/25,20,115,478
2013/08/26,20,112,474
2013/08/27,21,116,474
2013/08/28,21,124,477
2013/08/29,21,122,485
2013/08/30,20,120,483
2013/08/31,20,119,478
2013/09/01,20,118,483
2013/09/02,20,117,483
2013/09/03,22,115,480
2013/09/04,22,113,469
2013/09/05,22,114,461
2013/09/06,21,117,463
2013/09/07,20,118,449
2013/09/08,20,116,449
2013/09/09,23,115,455
2013/09/10,24,114,458
2013/09/11,25,116,460
2013/09/12,26,116,447
2013/09/13,27,112,446
2013/09/14,27,113,444
2013/09/15,25,113,447
2013/09/16,25,111,458
2013/09/17,25,111,469
2013/09/18,25,112,468
2013/09/19,24,109,472
2013/09/20,23,108,472
2013/09/21,24,108,471
2013/09/22,24,107,476
2013/09/23,22,105,476
2013/09/24,21,108,490
2013/09/25,20,105,486
2013/09/26,20,105,480
2013/09/27,20,104,474
2013/09/28,21,103,473
2013/09/29,21,100,472
2013/09/30,22,101,479
2013/10/01,22,102,483
2013/10/02,22,105,482
2013/10/03,22,107,490
2013/10/04,22,109,492
2013/10/05,22,106,495
2013/10/06,22,106,499
2013/10/07,22,104,510
2013/10/08,23,105,511
2013/10/09,22,107,516
2013/10/10,22,109,514
2013/10/11,22,106,515
2013/10/12,22,111,528
2013/10/13,22,112,533
2013/10/14,22,113,536
2013/10/15,22,115,527
2013/10/16,22,112,518
2013/10/17,23,116,518
2013/10/18,23,118,521
2013/10/19,22,118,518
2013/10/20,22,122,518
2013/10/21,21,122,525
2013/10/22,21,118,524
2013/10/23,22,119,523
2013/10/24,22,115,517
2013/10/25,23,116,521
2013/10/26,23,119,523
2013/10/27,25,119,517
2013/10/28,24,117,515
2013/10/29,25,118,523
2013/10/30,24,120,525
2013/10/31,24,121,522
2013/11/01,24,119,521
2013/11/02,24,122,520
2013/11/03,25,123,521
2013/11/04,25,122,517
2013/11/05,25,120,518
2013/11/06,25,123,513
2013/11/07,25,129,525
2013/11/08,25,127,520
2013/11/09,24,124,510
2013/11/10,24,125,516
2013/11/11,24,121,511
2013/11/12,24,122,509
2013/11/13,24,122,514
2013/11/14,24,123,515
2013/11/15,24,124,515
2013/11/16,23,121,522
2013/11/17,22,125,528
2013/11/18,22,130,536
2013/11/19,23,129,539
2013/11/20,24,131,557
2013/11/21,25,131,563
2013/11/22,25,134,564
2013/11/23,25,136,564
2013/11/24,25,137,566
2013/11/25,25,136,570
2013/11/26,25,141,582
2013/11/27,25,155,589
2013/11/28,25,156,592
2013/11/29,27,157,591
2013/11/30,28,156,594
2013/12/01,27,159,595
2013/12/02,28,158,595
2013/12/03,28,161,601
2013/12/04,28,176,610
2013/12/05,29,179,650
2013/12/06,29,179,668
2013/12/07,29,177,668
2013/12/08,30,183,681
2013/12/09,29,186,681
2013/12/10,31,189,690
2013/12/11,32,193,696
2013/12/12,31,196,696
2013/12/13,32,200,704
2013/12/14,32,204,709
2013/12/15,32,202,705
2013/12/16,32,202,702
2013/12/17,32,202,707
2013/12/18,32,206,711
2013/12/19,31,208,715
2013/12/20,31,208,718
2013/12/21,29,210,713
2013/12/22,29,211,716
2013/12/23,29,208,717
2013/12/24,29,207,709
2013/12/25,29,207,701
2013/12/26,29,201,695
2013/12/27,29,196,694
2013/12/28,28,191,682
2013/12/29,28,190,680
2013/12/30,28,191,684
2013/12/31,28,193,682
2014/01/01,28,192,675
2014/01/02,29,187,661
2014/01/03,29,179,657
2014/01/04,28,179,624
2014/01/05,27,174,615
2014/01/06,27,173,614
2014/01/07,26,172,608
2014/01/08,28,181,603
2014/01/09,28,175,590
2014/01/10,29,165,573
2014/01/11,29,162,569
2014/01/12,28,158,559
2014/01/13,25,157,554
2014/01/14,25,158,551
2014/01/15,25,162,552
2014/01/16,25,159,553
2014/01/17,25,153,546
2014/01/18,24,149,526
2014/01/19,23,148,520
2014/01/20,22,145,516
2014/01/21,22,143,523
2014/01/22,22,152,528
2014/01/23,23,150,529
2014/01/24,23,153,536
2014/01/25,23,159,547
2014/01/26,22,162,552
2014/01/27,21,163,556
2014/01/28,21,162,556
2014/01/29,22,161,564
2014/01/30,22,160,576
2014/01/31,23,163,586
2014/02/01,22,165,594
2014/02/02,21,164,599
2014/02/03,21,164,601
2014/02/04,22,165,600
2014/02/05,23,166,591
2014/02/06,23,160,590
2014/02/07,23,152,591
2014/02/08,23,152,588
2014/02/09,23,153,597
2014/02/10,25,157,598
2014/02/11,26,158,603
2014/02/12,25,160,607
2014/02/13,23,160,613
2014/02/14,24,155,607
2014/02/15,23,154,594
2014/02/16,24,155,595
2014/02/17,25,160,599
2014/02/18,25,163,604
2014/02/19,25,170,622
2014/02/20,26,167,625
2014/02/21,25,161,612
2014/02/22,24,165,616
2014/02/23,25,164,616
2014/02/24,25,162,607
2014/02/25,25,163,606
2014/02/26,26,160,608
2014/02/27,24,165,629
2014/02/28,25,163,622
2014/03/01,26,164,602
2014/03/02,26,158,590
2014/03/03,25,152,588
2014/03/04,25,151,583
2014/03/05,25,151,584
2014/03/06,25,153,581
2014/03/07,27,149,586
2014/03/08,27,151,585
2014/03/09,26,149,584
2014/03/10,27,152,588
2014/03/11,27,149,590
2014/03/12,26,150,589
2014/03/13,26,149,593
2014/03/14,26,151,591
2014/03/15,26,148,594
2014/03/16,25,144,596
2014/03/17,27,144,605
2014/03/18,27,146,602
2014/03/19,25,144,613
2014/03/20,25,145,621
2014/03/21,24,143,611
2014/03/22,23,140,614
2014/03/23,24,142,616
2014/03/24,24,142,612
2014/03/25,24,143,618
2014/03/26,24,142,621
2014/03/27,23,138,627
2014/03/28,23,140,624
2014/03/29,23,135,605
2014/03/30,23,132,603
2014/03/31,24,135,605
2014/04/01,23,138,617
2014/04/02,22,140,619
2014/04/03,23,139,623
2014/04/04,23,139,622
2014/04/05,22,141,622
2014/04/06,22,139,614
2014/04/07,21,140,609
2014/04/08,21,144,605
2014/04/09,21,145,604
2014/04/10,23,146,600
2014/04/11,23,144,602
2014/04/12,22,143,600
2014/04/13,22,138,592
2014/04/14,22,138,585
2014/04/15,22,138,582
2014/04/16,21,139,581
2014/04/17,20,134,578
2014/04/18,20,131,572
2014/04/19,19,124,573
2014/04/20,21,121,568
2014/04/21,21,123,559
2014/04/22,20,119,556
2014/04/23,20,121,554
2014/04/24,20,120,547
2014/04/25,19,121,541
2014/04/26,20,126,533
2014/04/27,21,129,532
2014/04/28,20,136,537
2014/04/29,21,135,547
2014/04/30,21,135,554
2014/05/01,21,133,545
2014/05/02,22,133,550
2014/05/03,22,131,554
2014/05/04,24,134,557
2014/05/05,23,132,558
2014/05/06,23,131,556
2014/05/07,23,136,567
2014/05/08,23,135,568
2014/05/09,22,135,566
2014/05/10,21,137,567
2014/05/11,21,140,558
2014/05/12,21,136,557
2014/05/13,21,137,561
2014/05/14,22,137,564
2014/05/15,23,137,566
2014/05/16,22,135,565
2014/05/17,22,134,563
2014/05/18,22,134,565
2014/05/19,22,134,559
2014/05/20,23,140,563
2014/05/21,19,142,572
2014/05/22,17,141,580
2014/05/23,17,140,579
2014/05/24,17,144,577
2014/05/25,17,143,569
2014/05/26,18,137,576
2014/05/27,18,135,569
2014/05/28,18,137,566
2014/05/29,18,144,570
2014/05/30,18,142,564
2014/05/31,18,145,574
2014/06/01,19,140,563
2014/06/02,19,139,556
2014/06/03,19,141,560
2014/06/04,19,141,556
2014/06/05,19,140,557
2014/06/06,18,142,566
2014/06/07,18,139,566
2014/06/08,18,140,559
2014/06/09,19,139,560
2014/06/10,20,141,562
2014/06/11,20,152,569
2014/06/12,21,153,572
2014/06/13,20,153,571
2014/06/14,20,154,563
2014/06/15,20,157,564
2014/06/16,20,160,572
2014/06/17,21,157,571
2014/06/18,21,159,581
2014/06/19,21,157,574
2014/06/20,21,154,571
2014/06/21,21,159,568
2014/06/22,20,158,567
2014/06/23,21,155,565
2014/06/24,22,156,573
2014/06/25,22,156,572
2014/06/26,21,158,574
2014/06/27,22,159,578
2014/06/28,21,148,559
2014/06/29,20,147,556
2014/06/30,20,147,556
2014/07/01,21,147,561
2014/07/02,22,147,565
2014/07/03,23,141,550
2014/07/04,22,143,548
2014/07/05,22,141,546
2014/07/06,22,136,539
2014/07/07,22,138,548
2014/07/08,22,141,551
2014/07/09,22,147,551
2014/07/10,20,147,543
2014/07/11,20,137,528
2014/07/12,20,137,525
2014/07/13,20,131,529
2014/07/14,20,131,531
2014/07/15,20,131,531
2014/07/16,21,125,512
2014/07/17,21,122,508
2014/07/18,19,122,511
2014/07/19,20,125,511
2014/07/20,20,126,517
2014/07/21,20,123,514
2014/07/22,20,123,520
2014/07/23,20,119,512
2014/07/24,19,120,513
2014/07/25,20,119,509
2014/07/26,19,119,509
2014/07/27,18,127,510
2014/07/28,18,127,514
2014/07/29,18,125,510
2014/07/30,18,126,522
2014/07/31,18,132,521
2014/08/01,17,131,519
2014/08/02,17,129,523
2014/08/03,18,131,528
2014/08/04,18,131,531
2014/08/05,17,128,537
2014/08/06,17,126,540
2014/08/07,18,123,539
2014/08/08,18,121,537
2014/08/09,18,117,537
2014/08/10,18,118,536
2014/08/11,18,117,526
2014/08/12,18,119,520
2014/08/13,18,121,528
2014/08/14,19,122,526
2014/08/15,19,122,526
2014/08/16,18,120,525
2014/08/17,18,124,518
2014/08/18,16,122,510
2014/08/19,17,124,505
2014/08/20,16,121,497
2014/08/21,16,122,494
2014/08/22,16,124,502
2014/08/23,16,124,507
2014/08/24,15,123,503
2014/08/25,15,119,510
2014/08/26,16,116,499
2014/08/27,18,120,509
2014/08/28,20,123,506
2014/08/29,19,120,502
2014/08/30,18,119,499
2014/08/31,21,121,497
2014/09/01,20,119,500
2014/09/02,21,118,508
2014/09/03,21,117,512
2014/09/04,20,117,515
2014/09/05,20,118,514
2014/09/06,20,120,515
2014/09/07,20,116,514
2014/09/08,22,118,518
2014/09/09,23,120,525
2014/09/10,24,124,535
2014/09/11,22,122,531
2014/09/12,23,119,526
2014/09/13,22,122,525
2014/09/14,23,123,525
2014/09/15,24,125,539
2014/09/16,24,122,546
2014/09/17,26,122,549
2014/09/18,27,125,551
2014/09/19,27,128,553
2014/09/20,26,129,558
2014/09/21,26,132,560
2014/09/22,24,133,557
2014/09/23,25,136,567
2014/09/24,25,135,563
2014/09/25,25,137,569
2014/09/26,24,136,559
2014/09/27,23,139,562
2014/09/28,24,136,556
2014/09/29,24,134,554
2014/09/30,24,137,550
2014/10/01,24,138,554
2014/10/02,23,136,542
2014/10/03,24,135,542
2014/10/04,23,135,539
2014/10/05,22,135,541
2014/10/06,24,133,543
2014/10/07,23,135,544
2014/10/08,23,137,548
2014/10/09,25,138,557
2014/10/10,25,142,558
2014/10/11,24,148,566
2014/10/12,23,145,563
2014/10/13,23,148,571
2014/10/14,23,152,580
2014/10/15,25,151,571
2014/10/16,25,148,557
2014/10/17,25,152,560
2014/10/18,25,153,566
2014/10/19,25,158,565
2014/10/20,25,152,556
2014/10/21,24,149,559
2014/10/22,25,150,559
2014/10/23,25,152,552
2014/10/24,25,153,552
2014/10/25,25,151,550
2014/10/26,24,151,554
2014/10/27,23,148,551
2014/10/28,23,148,559
2014/10/29,23,149,562
2014/10/30,23,148,567
2014/10/31,23,148,564
2014/11/01,23,147,564
2014/11/02,22,149,558
2014/11/03,22,145,554
2014/11/04,23,145,555
2014/11/05,23,146,566
2014/11/06,23,144,569
2014/11/07,22,142,572
2014/11/08,21,145,563
2014/11/09,21,140,566
2014/11/10,20,137,556
2014/11/11,20,141,577
2014/11/12,20,144,580
2014/11/13,20,143,575
2014/11/14,20,147,577
2014/11/15,21,151,585
2014/11/16,22,146,580
2014/11/17,23,144,577
2014/11/18,23,141,585
2014/11/19,24,144,598
2014/11/20,24,145,598
2014/11/21,24,147,607
2014/11/22,25,144,610
2014/11/23,26,148,609
2014/11/24,25,153,601
2014/11/25,25,152,609
2014/11/26,26,152,614
2014/11/27,26,149,625
2014/11/28,27,154,630
2014/11/29,27,152,624
2014/11/30,25,153,619
2014/12/01,24,156,618
2014/12/02,24,155,621
2014/12/03,25,157,619
2014/12/04,24,154,618
2014/12/05,24,154,618
2014/12/06,23,151,613
2014/12/07,23,145,605
2014/12/08,24,142,610
2014/12/09,25,153,618
2014/12/10,26,157,625
2014/12/11,27,154,614
2014/12/12,26,154,616
2014/12/13,25,157,622
2014/12/14,23,152,617
2014/12/15,22,153,613
2014/12/16,21,152,624
2014/12/17,23,152,623
2014/12/18,23,156,627
2014/12/19,23,156,619
2014/12/20,22,157,608
2014/12/21,22,158,593
2014/12/22,23,162,597
2014/12/23,21,156,589
2014/12/24,21,155,596
2014/12/25,21,155,588
2014/12/26,21,150,578
2014/12/27,21,146,563
2014/12/28,21,140,559
2014/12/29,19,142,560
2014/12/30,19,143,560
2014/12/31,19,142,562
2015/01/01,17,144,561
2015/01/02,17,144,561
2015/01/03,17,146,555
2015/01/04,17,148,551
2015/01/05,18,146,552
2015/01/06,17,146,557
2015/01/07,17,144,547
2015/01/08,16,140,532
2015/01/09,19,141,542
2015/01/10,18,142,546
2015/01/11,19,142,540
2015/01/12,20,140,539
2015/01/13,19,141,541
2015/01/14,19,141,547
2015/01/15,19,140,537
2015/01/16,19,139,535
2015/01/17,18,136,531
2015/01/18,19,135,536
2015/01/19,19,133,540
2015/01/20,19,137,550
2015/01/21,19,139,555
2015/01/22,19,139,565
2015/01/23,20,139,562
2015/01/24,22,141,583
2015/01/25,22,144,587
2015/01/26,22,148,593
2015/01/27,21,150,597
2015/01/28,21,150,601
2015/01/29,23,157,621
2015/01/30,23,161,649
2015/01/31,23,164,654
2015/02/01,24,165,670
2015/02/02,24,163,674
2015/02/03,25,162,688
2015/02/04,24,163,693
2015/02/05,22,163,688
2015/02/06,23,168,693
2015/02/07,22,168,705
2015/02/08,22,165,702
2015/02/09,21,165,691
2015/02/10,21,167,706
2015/02/11,19,166,715
2015/02/12,18,162,705
2015/02/13,19,166,710
2015/02/14,19,173,720
2015/02/15,19,172,715
2015/02/16,19,171,718
2015/02/17,18,172,707
2015/02/18,20,173,704
2015/02/19,22,174,703
2015/02/20,20,176,697
2015/02/21,19,177,701
2015/02/22,19,178,707
2015/02/23,18,176,695
2015/02/24,19,179,709
2015/02/25,18,182,707
2015/02/26,18,183,710
2015/02/27,18,187,713
2015/02/28,18,181,703
2015/03/01,18,175,673
2015/03/02,19,175,671
2015/03/03,20,174,665
2015/03/04,20,174,671
2015/03/05,19,175,659
2015/03/06,19,172,658
2015/03/07,19,173,654
2015/03/08,18,170,655
2015/03/09,19,166,646
2015/03/10,20,166,660
2015/03/11,19,169,660
2015/03/12,19,168,654
2015/03/13,18,172,653
2015/03/14,18,175,662
2015/03/15,17,170,661
2015/03/16,17,172,665
2015/03/17,17,183,673
2015/03/18,19,181,683
2015/03/19,20,178,687
2015/03/20,19,181,688
2015/03/21,17,180,686
2015/03/22,17,177,679
2015/03/23,19,173,672
2015/03/24,19,185,707
2015/03/25,18,192,722
2015/03/26,17,190,715
2015/03/27,18,192,715
2015/03/28,18,187,712
2015/03/29,17,182,706
2015/03/30,17,185,700
2015/03/31,18,185,712
2015/04/01,18,187,716
2015/04/02,19,188,709
2015/04/03,18,186,701
2015/04/04,18,183,696
2015/04/05,18,183,686
2015/04/06,18,188,683
2015/04/07,19,184,681
2015/04/08,19,185,677
2015/04/09,20,184,666
2015/04/10,19,183,670
2015/04/11,19,180,662
2015/04/12,17,181,652
2015/04/13,18,179,649
2015/04/14,18,183,641
2015/04/15,19,175,645
2015/04/16,20,175,642
2015/04/17,19,177,633
2015/04/18,20,183,630
2015/04/19,20,177,635
2015/04/20,19,183,639
2015/04/21,19,186,646
2015/04/22,17,191,655
2015/04/23,18,172,617
2015/04/24,18,171,612
2015/04/25,19,169,603
2015/04/26,17,167,597
2015/04/27,17,163,602
2015/04/28,21,162,603
2015/04/29,21,163,621
2015/04/30,19,161,606
2015/05/01,19,160,606
2015/05/02,18,160,601
2015/05/03,19,159,600
2015/05/04,19,155,593
2015/05/05,19,153,599
2015/05/06,19,160,615
2015/05/07,20,160,621
2015/05/08,19,165,625
2015/05/09,19,166,628
2015/05/10,20,167,632
2015/05/11,21,170,636
2015/05/12,21,169,643
2015/05/13,20,184,653
2015/05/14,22,185,660
2015/05/15,22,187,671
2015/05/16,22,186,669
2015/05/17,22,183,666
2015/05/18,23,176,670
2015/05/19,23,183,684
2015/05/20,22,177,680
2015/05/21,22,178,674
2015/05/22,23,176,661
2015/05/23,22,175,650
2015/05/24,22,171,634
2015/05/25,22,171,632
2015/05/26,20,175,640
2015/05/27,20,179,645
2015/05/28,20,176,643
2015/05/29,19,177,641
2015/05/30,19,178,646
2015/05/31,19,177,645
2015/06/01,19,173,652
2015/06/02,18,174,657
2015/06/03,18,176,662
2015/06/04,18,180,671
2015/06/05,19,177,660
2015/06/06,20,175,652
2015/06/07,21,170,654
2015/06/08,20,175,654
2015/06/09,20,177,660
2015/06/10,20,177,661
2015/06/11,20,173,666
2015/06/12,20,160,642
2015/06/13,20,157,641
2015/06/14,20,157,627
2015/06/15,19,155,632
2015/06/16,19,161,635
2015/06/17,19,159,637
2015/06/18,18,156,622
2015/06/19,17,161,613
2015/06/20,18,155,614
2015/06/21,18,152,617
2015/06/22,18,152,623
2015/06/23,17,150,641
2015/06/24,18,156,648
2015/06/25,17,156,644
2015/06/26,18,159,636
2015/06/27,18,162,636
2015/06/28,18,159,631
2015/06/29,17,160,635
2015/06/30,17,163,645
2015/07/01,18,168,645
2015/07/02,18,166,635
2015/07/03,17,165,631
2015/07/04,17,157,622
2015/07/05,16,155,620
2015/07/06,17,157,625
2015/07/07,17,163,634
2015/07/08,18,156,627
2015/07/09,17,153,618
2015/07/10,17,154,616
2015/07/11,17,154,607
2015/07/12,17,155,603
2015/07/13,16,156,603
2015/07/14,16,154,592
2015/07/15,16,154,597
2015/07/16,15,150,597
2015/07/17,15,151,598
2015/07/18,15,153,592
2015/07/19,15,153,587
2015/07/20,17,152,580
2015/07/21,18,150,585
2015/07/22,18,151,583
2015/07/23,18,152,576
2015/07/24,17,150,573
2015/07/25,17,150,567
2015/07/26,17,145,568
