date,xhwiki (100+),xhwiki (5+),xhwiki (all)
2013/07/11,,,14
2013/07/12,,,14
2013/07/13,,,14
2013/07/14,,,15
2013/07/15,,1,16
2013/07/16,,1,16
2013/07/17,,1,16
2013/07/18,,1,16
2013/07/19,,1,17
2013/07/20,,1,17
2013/07/21,,1,17
2013/07/22,,1,17
2013/07/23,,1,17
2013/07/24,,1,17
2013/07/25,,1,17
2013/07/26,,2,24
2013/07/27,,2,24
2013/07/28,,2,24
2013/07/29,,2,24
2013/07/30,,2,23
2013/07/31,,2,23
2013/08/01,,1,16
2013/08/02,,8,21
2013/08/03,,8,21
2013/08/04,,8,21
2013/08/05,,8,21
2013/08/06,,8,20
2013/08/07,,8,20
2013/08/08,,8,20
2013/08/09,,8,20
2013/08/10,,9,22
2013/08/11,,9,22
2013/08/12,,9,22
2013/08/13,,9,22
2013/08/14,,9,21
2013/08/15,,9,21
2013/08/16,,10,27
2013/08/17,,10,27
2013/08/18,,10,26
2013/08/19,,10,26
2013/08/20,,10,27
2013/08/21,,10,27
2013/08/22,,10,27
2013/08/23,,10,27
2013/08/24,,10,27
2013/08/25,,8,24
2013/08/26,,8,24
2013/08/27,,8,24
2013/08/28,,8,24
2013/08/29,,8,25
2013/08/30,,8,26
2013/08/31,,8,26
2013/09/01,,3,17
2013/09/02,,3,16
2013/09/03,,3,16
2013/09/04,,3,16
2013/09/05,,3,16
2013/09/06,,3,15
2013/09/07,,3,15
2013/09/08,,3,15
2013/09/09,,2,14
2013/09/10,,2,14
2013/09/11,,2,15
2013/09/12,,2,15
2013/09/13,,2,15
2013/09/14,,2,15
2013/09/15,,1,6
2013/09/16,,,5
2013/09/17,,,5
2013/09/18,,,6
2013/09/19,,,6
2013/09/20,,,6
2013/09/21,,,6
2013/09/22,,,6
2013/09/23,,,6
2013/09/24,,,6
2013/09/25,,,6
2013/09/26,,,6
2013/09/27,,,6
2013/09/28,,,5
2013/09/29,,,4
2013/09/30,,,5
2013/10/01,,1,5
2013/10/02,,1,5
2013/10/03,,1,5
2013/10/04,,1,5
2013/10/05,,1,5
2013/10/06,,1,5
2013/10/07,,1,5
2013/10/08,,1,5
2013/10/09,,1,4
2013/10/10,,1,4
2013/10/11,,1,3
2013/10/12,,1,4
2013/10/13,,1,4
2013/10/14,,1,4
2013/10/15,,1,4
2013/10/16,,1,5
2013/10/17,,2,7
2013/10/18,,2,7
2013/10/19,,2,6
2013/10/20,,2,6
2013/10/21,,2,7
2013/10/22,,2,7
2013/10/23,,2,7
2013/10/24,,2,7
2013/10/25,,2,7
2013/10/26,,2,7
2013/10/27,,2,7
2013/10/28,,2,7
2013/10/29,,2,7
2013/10/30,,2,6
2013/10/31,,2,6
2013/11/01,,1,6
2013/11/02,,1,6
2013/11/03,,1,6
2013/11/04,,1,7
2013/11/05,,1,7
2013/11/06,,1,8
2013/11/07,,1,9
2013/11/08,,1,9
2013/11/09,,1,10
2013/11/10,,1,10
2013/11/11,,1,9
2013/11/12,,1,10
2013/11/13,,1,10
2013/11/14,,1,10
2013/11/15,,1,8
2013/11/16,,1,8
2013/11/17,,,8
2013/11/18,,,8
2013/11/19,,,8
2013/11/20,,,7
2013/11/21,,,7
2013/11/22,,,7
2013/11/23,,,7
2013/11/24,,,7
2013/11/25,,,8
2013/11/26,,,8
2013/11/27,,,8
2013/11/28,,,8
2013/11/29,,,8
2013/11/30,,,8
2013/12/01,,,7
2013/12/02,,,7
2013/12/03,,,7
2013/12/04,,,7
2013/12/05,,,7
2013/12/06,,,8
2013/12/07,,,7
2013/12/08,,,7
2013/12/09,,,7
2013/12/10,,,7
2013/12/11,,,7
2013/12/12,,,5
2013/12/13,,,5
2013/12/14,,,5
2013/12/15,,,5
2013/12/16,,,3
2013/12/17,,,3
2013/12/18,,,3
2013/12/19,,,3
2013/12/20,,,3
2013/12/21,,,3
2013/12/22,,,3
2013/12/23,,,3
2013/12/24,,,3
2013/12/25,,,2
2013/12/26,,,2
2013/12/27,,3,5
2013/12/28,,3,5
2013/12/29,,3,5
2013/12/30,,3,5
2013/12/31,,3,5
2014/01/01,,3,5
2014/01/02,,3,5
2014/01/03,,3,5
2014/01/04,,3,6
2014/01/05,,3,5
2014/01/06,,3,5
2014/01/07,,3,5
2014/01/08,,3,5
2014/01/09,,4,6
2014/01/10,,4,6
2014/01/11,,4,6
2014/01/12,,4,6
2014/01/13,,4,6
2014/01/14,,4,6
2014/01/15,,4,6
2014/01/16,,4,6
2014/01/17,,4,7
2014/01/18,,4,7
2014/01/19,,4,7
2014/01/20,,4,8
2014/01/21,,4,8
2014/01/22,,4,8
2014/01/23,,4,8
2014/01/24,,4,8
2014/01/25,,4,8
2014/01/26,,1,6
2014/01/27,,1,6
2014/01/28,,1,6
2014/01/29,,1,6
2014/01/30,,1,6
2014/01/31,,1,7
2014/02/01,,1,7
2014/02/02,,1,8
2014/02/03,,1,6
2014/02/04,,1,7
2014/02/05,,1,7
2014/02/06,,1,9
2014/02/07,,1,8
2014/02/08,,,8
2014/02/09,,,8
2014/02/10,,,7
2014/02/11,,,7
2014/02/12,,,8
2014/02/13,,,9
2014/02/14,,,9
2014/02/15,,,10
2014/02/16,,,10
2014/02/17,,,10
2014/02/18,,,10
2014/02/19,,,9
2014/02/20,,,9
2014/02/21,,,10
2014/02/22,,,10
2014/02/23,,,10
2014/02/24,,,10
2014/02/25,,,10
2014/02/26,,,10
2014/02/27,,,10
2014/02/28,,,10
2014/03/01,,,10
2014/03/02,,,10
2014/03/03,,,10
2014/03/04,,,9
2014/03/05,,,9
2014/03/06,,,8
2014/03/07,,,9
2014/03/08,,,7
2014/03/09,,,7
2014/03/10,,,7
2014/03/11,,1,8
2014/03/12,,1,8
2014/03/13,,1,8
2014/03/14,,1,9
2014/03/15,,2,8
2014/03/16,,2,8
2014/03/17,1,3,8
2014/03/18,1,3,7
2014/03/19,1,3,7
2014/03/20,1,4,8
2014/03/21,1,4,8
2014/03/22,1,4,8
2014/03/23,1,4,7
2014/03/24,1,4,8
2014/03/25,1,4,8
2014/03/26,1,4,8
2014/03/27,1,4,8
2014/03/28,1,4,9
2014/03/29,1,4,9
2014/03/30,1,4,9
2014/03/31,1,4,9
2014/04/01,1,4,9
2014/04/02,1,4,9
2014/04/03,1,5,11
2014/04/04,2,5,12
2014/04/05,2,5,13
2014/04/06,2,5,13
2014/04/07,2,5,13
2014/04/08,2,5,13
2014/04/09,2,5,13
2014/04/10,2,5,12
2014/04/11,2,5,12
2014/04/12,2,5,12
2014/04/13,2,5,11
2014/04/14,2,4,11
2014/04/15,2,4,10
2014/04/16,1,4,10
2014/04/17,1,4,10
2014/04/18,1,4,11
2014/04/19,1,4,10
2014/04/20,1,4,10
2014/04/21,1,4,10
2014/04/22,1,4,10
2014/04/23,1,4,9
2014/04/24,1,4,9
2014/04/25,1,4,11
2014/04/26,1,4,11
2014/04/27,1,4,12
2014/04/28,1,4,13
2014/04/29,1,4,13
2014/04/30,1,4,13
2014/05/01,1,4,13
2014/05/02,1,4,13
2014/05/03,1,3,11
2014/05/04,1,3,12
2014/05/05,,3,12
2014/05/06,,3,11
2014/05/07,,3,11
2014/05/08,,3,11
2014/05/09,,3,12
2014/05/10,,3,12
2014/05/11,,3,12
2014/05/12,,3,12
2014/05/13,,3,12
2014/05/14,,3,13
2014/05/15,,3,13
2014/05/16,,3,13
2014/05/17,,3,13
2014/05/18,,3,13
2014/05/19,,2,13
2014/05/20,,2,13
2014/05/21,,2,13
2014/05/22,,2,13
2014/05/23,,2,13
2014/05/24,,2,13
2014/05/25,,2,11
2014/05/26,,2,10
2014/05/27,,2,8
2014/05/28,,2,7
2014/05/29,,2,7
2014/05/30,,2,7
2014/05/31,,2,7
2014/06/01,,2,8
2014/06/02,,2,8
2014/06/03,,2,9
2014/06/04,,2,9
2014/06/05,,2,9
2014/06/06,,2,10
2014/06/07,,2,10
2014/06/08,,2,10
2014/06/09,,2,11
2014/06/10,,2,11
2014/06/11,,2,10
2014/06/12,,2,10
2014/06/13,,2,9
2014/06/14,,2,9
2014/06/15,,3,10
2014/06/16,,3,10
2014/06/17,,3,9
2014/06/18,,2,9
2014/06/19,,2,10
2014/06/20,,2,10
2014/06/21,,2,10
2014/06/22,,2,10
2014/06/23,,2,10
2014/06/24,,2,10
2014/06/25,,2,9
2014/06/26,,2,9
2014/06/27,,2,9
2014/06/28,,2,9
2014/06/29,,2,9
2014/06/30,,2,9
2014/07/01,,2,7
2014/07/02,,2,7
2014/07/03,,2,6
2014/07/04,,2,6
2014/07/05,,2,6
2014/07/06,,2,5
2014/07/07,,2,5
2014/07/08,,2,4
2014/07/09,,2,3
2014/07/10,,2,3
2014/07/11,,2,3
2014/07/12,,2,3
2014/07/13,,2,3
2014/07/14,,3,3
2014/07/15,,2,2
2014/07/16,,2,2
2014/07/17,,2,3
2014/07/18,,2,3
2014/07/19,,2,3
2014/07/20,,3,4
2014/07/21,,3,4
2014/07/22,,3,4
2014/07/23,,3,4
2014/07/24,,3,4
2014/07/25,,4,6
2014/07/26,,4,6
2014/07/27,,5,7
2014/07/28,,5,7
2014/07/29,,5,7
2014/07/30,,5,7
2014/07/31,,5,7
2014/08/01,,5,11
2014/08/02,,5,12
2014/08/03,,5,12
2014/08/04,,5,14
2014/08/05,,5,14
2014/08/06,,5,14
2014/08/07,,5,15
2014/08/08,,5,18
2014/08/09,,5,18
2014/08/10,,5,18
2014/08/11,,6,20
2014/08/12,,6,20
2014/08/13,,6,20
2014/08/14,,6,20
2014/08/15,,6,20
2014/08/16,,6,19
2014/08/17,,6,19
2014/08/18,,6,19
2014/08/19,,5,19
2014/08/20,,5,19
2014/08/21,,5,20
2014/08/22,,5,20
2014/08/23,,5,20
2014/08/24,,5,20
2014/08/25,,5,20
2014/08/26,,4,20
2014/08/27,,4,20
2014/08/28,,4,19
2014/08/29,,7,28
2014/08/30,,8,28
2014/08/31,,7,25
2014/09/01,,7,24
2014/09/02,,8,25
2014/09/03,,8,23
2014/09/04,,8,25
2014/09/05,,8,25
2014/09/06,,8,24
2014/09/07,,7,22
2014/09/08,,7,23
2014/09/09,,7,23
2014/09/10,,5,21
2014/09/11,,5,21
2014/09/12,,5,21
2014/09/13,,5,21
2014/09/14,,5,20
2014/09/15,,5,20
2014/09/16,,5,20
2014/09/17,,5,20
2014/09/18,,5,20
2014/09/19,,5,20
2014/09/20,,5,20
2014/09/21,,4,20
2014/09/22,,4,19
2014/09/23,,4,19
2014/09/24,,4,18
2014/09/25,,4,18
2014/09/26,,4,18
2014/09/27,,4,18
2014/09/28,,2,10
2014/09/29,,2,9
2014/09/30,,2,10
2014/10/01,,2,11
2014/10/02,,1,11
2014/10/03,,1,11
2014/10/04,,1,9
2014/10/05,,1,7
2014/10/06,,1,7
2014/10/07,,1,7
2014/10/08,,1,6
2014/10/09,,1,6
2014/10/10,,1,6
2014/10/11,,1,6
2014/10/12,,1,6
2014/10/13,,1,6
2014/10/14,,1,6
2014/10/15,,1,7
2014/10/16,,1,7
2014/10/17,,1,7
2014/10/18,,1,7
2014/10/19,,1,7
2014/10/20,,1,7
2014/10/21,,1,8
2014/10/22,,1,8
2014/10/23,,1,8
2014/10/24,,1,8
2014/10/25,,1,8
2014/10/26,,1,8
2014/10/27,,1,8
2014/10/28,,1,8
2014/10/29,,1,8
2014/10/30,,1,7
2014/10/31,,1,6
2014/11/01,,1,6
2014/11/02,,1,6
2014/11/03,,1,6
2014/11/04,,1,6
2014/11/05,,1,5
2014/11/06,,1,5
2014/11/07,,1,6
2014/11/08,,1,6
2014/11/09,,1,6
2014/11/10,,1,6
2014/11/11,,1,6
2014/11/12,,1,6
2014/11/13,,1,7
2014/11/14,,1,7
2014/11/15,,1,7
2014/11/16,,1,7
2014/11/17,,1,8
2014/11/18,,1,8
2014/11/19,,1,7
2014/11/20,,1,6
2014/11/21,,1,6
2014/11/22,,2,7
2014/11/23,,2,7
2014/11/24,,2,7
2014/11/25,,2,7
2014/11/26,,2,7
2014/11/27,,2,7
2014/11/28,,2,7
2014/11/29,,2,7
2014/11/30,,2,7
2014/12/01,,2,7
2014/12/02,,2,6
2014/12/03,,2,6
2014/12/04,,2,6
2014/12/05,,2,6
2014/12/06,,2,8
2014/12/07,,2,7
2014/12/08,,2,7
2014/12/09,,2,7
2014/12/10,,2,8
2014/12/11,,3,8
2014/12/12,,3,8
2014/12/13,,3,7
2014/12/14,,3,8
2014/12/15,,3,8
2014/12/16,,3,8
2014/12/17,,4,8
2014/12/18,,4,8
2014/12/19,,4,8
2014/12/20,,3,8
2014/12/21,,3,8
2014/12/22,,2,7
2014/12/23,,2,7
2014/12/24,,2,7
2014/12/25,,2,8
2014/12/26,,2,8
2014/12/27,,2,8
2014/12/28,,2,8
2014/12/29,,2,8
2014/12/30,,2,8
2014/12/31,,3,8
2015/01/01,,3,8
2015/01/02,,3,8
2015/01/03,,3,8
2015/01/04,,3,7
