date,tswiki (100+),tswiki (5+),tswiki (all)
2012/12/14,,10,32
2012/12/15,,10,33
2012/12/16,,10,34
2012/12/17,,10,35
2012/12/18,,10,35
2012/12/19,,10,35
2012/12/20,,9,35
2012/12/21,,9,35
2012/12/22,,9,36
2012/12/23,,9,36
2012/12/24,,9,35
2012/12/25,,9,33
2012/12/26,,9,31
2012/12/27,,9,30
2012/12/28,,8,28
2012/12/29,,8,27
2012/12/30,,8,27
2012/12/31,,9,26
2013/01/01,,9,26
2013/01/02,,8,27
2013/01/03,,8,27
2013/01/04,,8,27
2013/01/05,,8,27
2013/01/06,,8,26
2013/01/07,,8,26
2013/01/08,,8,26
2013/01/09,,9,28
2013/01/10,,9,25
2013/01/11,,9,25
2013/01/12,,9,25
2013/01/13,,8,25
2013/01/14,,9,24
2013/01/15,,9,24
2013/01/16,,9,23
2013/01/17,,9,24
2013/01/18,,9,25
2013/01/19,,9,25
2013/01/20,,9,25
2013/01/21,,9,24
2013/01/22,,9,23
2013/01/23,,9,23
2013/01/24,,9,23
2013/01/25,,9,24
2013/01/26,,9,24
2013/01/27,,9,24
2013/01/28,,9,24
2013/01/29,,8,24
2013/01/30,,8,24
2013/01/31,,8,23
2013/02/01,,8,21
2013/02/02,,8,21
2013/02/03,,7,21
2013/02/04,,7,21
2013/02/05,,8,21
2013/02/06,,8,21
2013/02/07,,8,22
2013/02/08,,7,21
2013/02/09,,7,22
2013/02/10,,7,22
2013/02/11,,7,23
2013/02/12,,8,24
2013/02/13,,6,25
2013/02/14,,6,25
2013/02/15,,6,24
2013/02/16,,6,25
2013/02/17,,5,25
2013/02/18,,6,25
2013/02/19,,5,25
2013/02/20,,5,25
2013/02/21,,5,24
2013/02/22,,6,24
2013/02/23,,6,23
2013/02/24,,6,23
2013/02/25,,6,23
2013/02/26,,6,24
2013/02/27,,6,22
2013/02/28,,6,23
2013/03/01,,6,23
2013/03/02,,7,22
2013/03/03,,7,22
2013/03/04,,7,24
2013/03/05,,7,24
2013/03/06,,7,24
2013/03/07,,7,24
2013/03/08,1,8,25
2013/03/09,1,8,25
2013/03/10,1,8,23
2013/03/11,1,7,22
2013/03/12,1,8,21
2013/03/13,1,8,21
2013/03/14,1,8,19
2013/03/15,1,8,16
2013/03/16,1,8,16
2013/03/17,1,8,16
2013/03/18,1,8,13
2013/03/19,1,8,13
2013/03/20,1,8,13
2013/03/21,1,8,13
2013/03/22,1,8,13
2013/03/23,1,8,13
2013/03/24,1,8,12
2013/03/25,1,8,12
2013/03/26,1,8,12
2013/03/27,1,7,12
2013/03/28,1,6,11
2013/03/29,1,5,11
2013/03/30,1,5,9
2013/03/31,1,4,9
2013/04/01,1,4,10
2013/04/02,1,3,10
2013/04/03,1,3,9
2013/04/04,1,2,8
2013/04/05,1,2,8
2013/04/06,1,2,7
2013/04/07,,2,7
2013/04/08,,2,8
2013/04/09,,2,8
2013/04/10,,1,7
2013/04/11,,,7
2013/04/12,,,7
2013/04/13,,,7
2013/04/14,,,7
2013/04/15,,,8
2013/04/16,,,7
2013/04/17,,,7
2013/04/18,,,7
2013/04/19,,,8
2013/04/20,,,8
2013/04/21,,,8
2013/04/22,,,9
2013/04/23,,,9
2013/04/24,,,9
2013/04/25,,,9
2013/04/26,,,9
2013/04/27,,,9
2013/04/28,,,9
2013/04/29,,,9
2013/04/30,,,9
2013/05/01,,,9
2013/05/02,,,9
2013/05/03,,,7
2013/05/04,,,5
2013/05/05,,,5
2013/05/06,,,6
2013/05/07,,,6
2013/05/08,,,5
2013/05/09,,,5
2013/05/10,,,5
2013/05/11,,,5
2013/05/12,,,5
2013/05/13,,,5
2013/05/14,,,5
2013/05/15,,,4
2013/05/16,,,4
2013/05/17,,,4
2013/05/18,,,4
2013/05/19,,,3
2013/05/20,,,3
2013/05/21,,,3
2013/05/22,,,2
2013/05/23,,,2
2013/05/24,,,2
2013/05/25,,,2
2013/05/26,,,2
2013/05/27,,,2
2013/05/28,,,2
2013/05/29,,,2
2013/05/30,,,2
2013/05/31,,,1
2013/06/01,,,1
2013/06/02,,,1
2013/06/03,,,1
2013/06/04,,,1
2013/06/17,,,2
2013/06/18,,,2
2013/06/19,,,2
2013/06/20,,,2
2013/06/21,,,2
2013/06/22,,,3
2013/06/23,,1,4
2013/06/24,,1,4
2013/06/25,,1,4
2013/06/26,,1,4
2013/06/27,,1,4
2013/06/28,,1,4
2013/06/29,,1,4
2013/06/30,,1,4
2013/07/01,,1,4
2013/07/02,,1,4
2013/07/03,,1,4
2013/07/04,,1,4
2013/07/05,,1,4
2013/07/06,,1,4
2013/07/07,,1,4
2013/07/08,,1,4
2013/07/09,,1,4
2013/07/10,,1,4
2013/07/11,,1,4
2013/07/12,,1,4
2013/07/13,,1,4
2013/07/14,,1,5
2013/07/15,,1,5
2013/07/16,,1,5
2013/07/17,,1,4
2013/07/18,,1,3
2013/07/19,,1,3
2013/07/20,,1,3
2013/07/21,,1,3
2013/07/22,,1,3
2013/07/23,,,3
2013/07/24,,,3
2013/07/25,,,3
2013/07/26,,,3
2013/07/27,,,3
2013/07/28,,1,4
2013/07/29,,1,4
2013/07/30,,1,4
2013/07/31,,1,4
2013/08/01,,1,4
2013/08/02,,1,4
2013/08/03,,1,4
2013/08/04,,1,4
2013/08/05,,1,4
2013/08/06,,1,4
2013/08/07,,1,4
2013/08/08,,1,4
2013/08/09,,1,4
2013/08/10,,1,4
2013/08/11,,1,4
2013/08/12,,1,4
2013/08/13,,1,3
2013/08/14,,1,3
2013/08/15,,1,3
2013/08/16,,1,3
2013/08/17,,1,3
2013/08/18,,1,3
2013/08/19,,1,3
2013/08/20,,1,3
2013/08/21,,1,2
2013/08/22,,1,1
2013/08/23,,1,1
2013/08/24,,1,1
2013/08/25,,1,1
2013/08/26,,1,1
2013/09/06,,1,1
2013/09/07,,1,1
2013/09/08,,1,1
2013/09/09,,1,1
2013/09/10,,1,1
2013/09/11,,1,1
2013/09/12,,1,1
2013/09/13,,1,1
2013/09/14,,1,1
2013/09/15,,1,1
2013/09/16,,1,1
2013/09/17,,1,1
2013/09/18,,1,1
2013/09/19,,1,1
2013/09/20,,1,1
2013/09/21,,1,1
2013/09/22,,1,1
2013/09/23,,1,1
2013/09/24,,1,1
2013/09/25,,1,1
2013/09/26,,1,1
2013/09/27,,1,1
2013/09/28,,1,1
2013/09/29,,1,1
2013/09/30,,1,1
2013/10/01,,1,1
2013/10/02,,1,1
2013/10/03,,1,1
2013/10/04,,1,2
2013/10/05,,1,2
2013/10/06,,,1
2013/10/07,,,1
2013/10/08,,,1
2013/10/09,,,1
2013/10/10,,,1
2013/10/11,,,1
2013/10/12,,,1
2013/10/13,,,1
2013/10/14,,,2
2013/10/15,,,2
2013/10/16,,,2
2013/10/17,,,2
2013/10/18,,,3
2013/10/19,,,4
2013/10/20,,,4
2013/10/21,,,4
2013/10/22,,,4
2013/10/23,,,4
2013/10/24,,,4
2013/10/25,,,4
2013/10/26,,,4
2013/10/27,,,4
2013/10/28,,,4
2013/10/29,,,4
2013/10/30,,,4
2013/10/31,,,4
2013/11/01,,,4
2013/11/02,,,4
2013/11/03,,,3
2013/11/04,,,3
2013/11/05,,,3
2013/11/06,,,3
2013/11/07,,,3
2013/11/08,,,3
2013/11/09,,,3
2013/11/10,,,3
2013/11/11,,,3
2013/11/12,,,3
2013/11/13,,,2
2013/11/14,,,2
2013/11/15,,,2
2013/11/16,,,2
2013/11/17,,,1
2013/11/26,,,1
2013/11/27,,,1
2013/11/28,,,2
2013/11/29,,,2
2013/11/30,,,2
2013/12/01,,,2
2013/12/02,,,2
2013/12/03,,,2
2013/12/04,,,2
2013/12/05,,,2
2013/12/06,,,4
2013/12/07,,,4
2013/12/08,,,4
2013/12/09,,,4
2013/12/10,,,4
2013/12/11,,,4
2013/12/12,,,4
2013/12/13,,,4
2013/12/14,,,4
2013/12/15,,,4
2013/12/16,,,4
2013/12/17,,,4
2013/12/18,,,4
2013/12/19,,,4
2013/12/20,,,4
2013/12/21,,,4
2013/12/22,,,4
2013/12/23,,,4
2013/12/24,,,4
2013/12/25,,,4
2013/12/26,,,3
2013/12/27,,,3
2013/12/28,,,3
2013/12/29,,,3
2013/12/30,,,3
2013/12/31,,,3
2014/01/01,,,3
2014/01/02,,,3
2014/01/03,,,3
2014/01/04,,,3
2014/01/05,,,1
2014/01/06,,,1
2014/01/07,,,1
2014/01/08,,,1
2014/01/09,,,1
2014/01/10,,,1
2014/01/11,,,1
2014/01/12,,,1
2014/01/13,,,1
2014/01/14,,,1
2014/01/15,,,1
2014/01/16,,,1
2014/01/17,,,2
2014/01/18,,,2
2014/01/19,,,2
2014/01/20,,,2
2014/01/21,,,2
2014/01/22,,,2
2014/01/23,,,2
2014/01/24,,,2
2014/01/25,,,2
2014/01/26,,,2
2014/01/27,,,1
2014/01/28,,,1
2014/01/29,,,1
2014/01/30,,,1
2014/01/31,,,1
2014/02/01,,,1
2014/02/02,,,1
2014/02/03,,,1
2014/02/04,,,1
2014/02/05,,,1
2014/02/06,,,1
2014/02/07,,,1
2014/02/08,,,1
2014/02/09,,,1
2014/02/10,,,1
2014/02/11,,,1
2014/02/12,,,1
2014/02/13,,,1
2014/02/14,,,1
2014/02/15,,,1
2014/03/11,,,1
2014/03/12,,,1
2014/03/13,,,1
2014/03/14,,1,2
2014/03/15,,1,2
2014/03/16,,1,2
2014/03/17,,1,2
2014/03/18,,1,2
2014/03/19,,1,2
2014/03/20,,1,2
2014/03/21,,1,3
2014/03/22,,1,3
2014/03/23,,1,3
2014/03/24,,1,3
2014/03/25,,1,3
2014/03/26,,1,3
2014/03/27,,1,3
2014/03/28,,1,3
2014/03/29,,1,4
2014/03/30,,1,4
2014/03/31,,1,4
2014/04/01,,1,4
2014/04/02,,1,4
2014/04/03,,1,4
2014/04/04,,1,4
2014/04/05,,1,4
2014/04/06,,1,4
2014/04/07,,1,4
2014/04/08,,1,4
2014/04/09,,1,4
2014/04/10,,1,3
2014/04/11,,1,3
2014/04/12,,1,3
2014/04/13,,1,3
2014/04/14,,1,3
2014/04/15,,1,3
2014/04/16,,1,3
2014/04/17,,1,3
2014/04/18,,1,3
2014/04/19,,1,3
2014/04/20,,1,2
2014/04/21,,1,2
2014/04/22,,1,2
2014/04/23,,1,2
2014/04/24,,1,2
2014/04/25,,1,2
2014/04/26,,1,2
2014/04/27,,1,2
2014/04/28,,1,1
2014/04/29,,1,1
2014/04/30,,1,1
2014/05/01,,1,2
2014/05/02,,1,2
2014/05/03,,1,2
2014/05/04,,1,2
2014/05/05,,,2
2014/05/06,,,2
2014/05/07,,,2
2014/05/08,,,2
2014/05/09,,,2
2014/05/10,,,2
2014/05/11,,,2
2014/05/12,,,2
2014/05/13,,,2
2014/05/14,,1,3
2014/05/15,,1,3
2014/05/16,,1,3
2014/05/17,,1,3
2014/05/18,,1,3
2014/05/19,,1,3
2014/05/20,,1,4
2014/05/21,,1,4
2014/05/22,,1,4
2014/05/23,,1,4
2014/05/24,,1,4
2014/05/25,,1,4
2014/05/26,,1,4
2014/05/27,,1,5
2014/05/28,,1,5
2014/05/29,,1,4
2014/05/30,,1,4
2014/05/31,,1,3
2014/06/01,,1,3
2014/06/02,,1,3
2014/06/03,,1,3
2014/06/04,,1,3
2014/06/05,,1,4
2014/06/06,,1,4
2014/06/07,,1,4
2014/06/08,,1,4
2014/06/09,,1,6
2014/06/10,,1,6
2014/06/11,,1,7
2014/06/12,,1,7
2014/06/13,,,6
2014/06/14,,,6
2014/06/15,,,6
2014/06/16,,,6
2014/06/17,,,6
2014/06/18,,,6
2014/06/19,,,5
2014/06/20,,,5
2014/06/21,,,5
2014/06/22,,,5
2014/06/23,,,5
2014/06/24,,,5
2014/06/25,,,5
2014/06/26,,,4
2014/06/27,,,4
2014/06/28,,,4
2014/06/29,,,4
2014/06/30,,,4
2014/07/01,,,4
2014/07/02,,,4
2014/07/03,,,4
2014/07/04,,,4
2014/07/05,,,3
2014/07/06,,,3
2014/07/07,,,3
2014/07/08,,,3
2014/07/09,,,1
2014/07/10,,,1
2014/07/28,,1,1
2014/07/29,,1,1
2014/07/30,,1,1
2014/07/31,,1,2
2014/08/01,,1,2
2014/08/02,,2,4
2014/08/03,,2,4
2014/08/04,,2,4
2014/08/05,,2,4
2014/08/06,,2,4
2014/08/07,,2,4
2014/08/08,,2,4
2014/08/09,,2,4
2014/08/10,,2,4
2014/08/11,,2,4
2014/08/12,,2,4
2014/08/13,,2,4
