date,dsbwiki (100+),dsbwiki (5+),dsbwiki (all)
2012/11/25,1,19,39
2012/11/26,1,19,39
2012/11/27,1,19,40
2012/11/28,1,19,41
2012/11/29,1,19,40
2012/11/30,1,19,41
2012/12/01,1,19,42
2012/12/02,1,19,40
2012/12/03,1,20,38
2012/12/04,1,20,39
2012/12/05,1,20,39
2012/12/06,1,20,41
2012/12/07,1,19,41
2012/12/08,1,19,43
2012/12/09,1,19,43
2012/12/10,1,20,43
2012/12/11,1,21,42
2012/12/12,1,20,43
2012/12/13,1,20,43
2012/12/14,1,20,42
2012/12/15,1,20,43
2012/12/16,1,19,42
2012/12/17,1,19,42
2012/12/18,1,19,41
2012/12/19,1,19,41
2012/12/20,1,18,40
2012/12/21,1,18,39
2012/12/22,1,18,38
2012/12/23,1,18,38
2012/12/24,1,17,38
2012/12/25,2,17,37
2012/12/26,2,17,38
2012/12/27,2,16,39
2012/12/28,2,17,41
2012/12/29,2,17,42
2012/12/30,2,17,42
2012/12/31,2,21,44
2013/01/01,2,20,44
2013/01/02,2,21,44
2013/01/03,2,21,43
2013/01/04,2,21,42
2013/01/05,2,20,42
2013/01/06,2,20,44
2013/01/07,2,19,44
2013/01/08,2,18,45
2013/01/09,2,18,45
2013/01/10,2,16,44
2013/01/11,2,17,43
2013/01/12,2,17,44
2013/01/13,2,17,45
2013/01/14,1,17,44
2013/01/15,1,17,44
2013/01/16,1,16,45
2013/01/17,1,16,46
2013/01/18,2,18,45
2013/01/19,2,18,45
2013/01/20,2,18,45
2013/01/21,2,18,45
2013/01/22,2,18,44
2013/01/23,2,18,45
2013/01/24,2,19,45
2013/01/25,2,18,45
2013/01/26,2,19,45
2013/01/27,2,18,46
2013/01/28,2,18,46
2013/01/29,2,18,44
2013/01/30,2,17,43
2013/01/31,2,18,44
2013/02/01,2,18,43
2013/02/02,2,18,45
2013/02/03,2,18,45
2013/02/04,2,18,45
2013/02/05,2,18,43
2013/02/06,2,17,41
2013/02/07,2,19,42
2013/02/08,2,19,42
2013/02/09,2,19,41
2013/02/10,2,20,41
2013/02/11,2,21,40
2013/02/12,2,20,41
2013/02/13,2,21,40
2013/02/14,2,21,39
2013/02/15,2,20,38
2013/02/16,2,20,38
2013/02/17,2,20,39
2013/02/18,2,19,41
2013/02/19,2,18,41
2013/02/20,2,18,42
2013/02/21,2,17,42
2013/02/22,2,16,42
2013/02/23,2,16,43
2013/02/24,2,16,44
2013/02/25,2,16,44
2013/02/26,2,16,43
2013/02/27,2,16,41
2013/02/28,2,16,42
2013/03/01,1,16,41
2013/03/02,1,14,41
2013/03/03,1,14,40
2013/03/04,1,14,39
2013/03/05,1,14,39
2013/03/06,1,14,39
2013/03/07,2,14,41
2013/03/08,3,15,40
2013/03/09,3,15,40
2013/03/10,3,15,41
2013/03/11,3,15,40
2013/03/12,3,14,40
2013/03/13,3,13,39
2013/03/14,3,13,36
2013/03/15,3,14,35
2013/03/16,3,14,35
2013/03/17,3,14,35
2013/03/18,3,12,34
2013/03/19,3,12,36
2013/03/20,3,12,34
2013/03/21,3,12,34
2013/03/22,3,12,33
2013/03/23,2,12,33
2013/03/24,2,12,31
2013/03/25,2,12,32
2013/03/26,2,12,30
2013/03/27,2,12,31
2013/03/28,2,11,32
2013/03/29,2,11,32
2013/03/30,2,12,32
2013/03/31,2,12,33
2013/04/01,2,12,35
2013/04/02,2,11,36
2013/04/03,2,10,35
2013/04/04,2,7,36
2013/04/05,2,7,33
2013/04/06,2,7,29
2013/04/07,2,6,28
2013/04/08,2,4,27
2013/04/09,1,4,27
2013/04/10,1,4,28
2013/04/11,,4,28
2013/04/12,,4,27
2013/04/13,,4,27
2013/04/14,,4,27
2013/04/15,,4,28
2013/04/16,,4,29
2013/04/17,,4,28
2013/04/18,,4,25
2013/04/19,,4,26
2013/04/20,,4,27
2013/04/21,,4,28
2013/04/22,1,4,28
2013/04/23,,4,28
2013/04/24,,4,27
2013/04/25,,4,27
2013/04/26,,4,26
2013/04/27,,4,25
2013/04/28,,4,25
2013/04/29,,4,25
2013/04/30,,4,24
2013/05/01,,4,24
2013/05/02,,4,23
2013/05/03,,3,22
2013/05/04,,3,21
2013/05/05,,3,19
2013/05/06,,3,19
2013/05/07,,3,19
2013/05/08,,3,16
2013/05/09,,3,15
2013/05/10,,3,12
2013/05/11,,2,12
2013/05/12,,2,12
2013/05/13,,2,11
2013/05/14,,2,11
2013/05/15,,2,11
2013/05/16,,2,9
2013/05/17,,2,9
2013/05/18,,1,11
2013/05/19,,1,9
2013/05/20,,1,8
2013/05/21,,1,7
2013/05/22,,1,9
2013/05/23,,1,10
2013/05/24,,1,11
2013/05/25,,1,11
2013/05/26,,1,11
2013/05/27,,1,12
2013/05/28,,2,12
2013/05/29,,2,12
2013/05/30,,2,12
2013/05/31,,2,12
2013/06/01,,2,13
2013/06/02,,2,13
2013/06/03,,2,14
2013/06/04,,2,14
2013/06/05,,2,14
2013/06/06,,2,15
2013/06/07,,2,15
2013/06/08,,2,15
2013/06/09,,2,16
2013/06/10,,2,16
2013/06/11,,3,17
2013/06/12,,3,18
2013/06/13,,3,18
2013/06/14,,3,18
2013/06/15,,3,19
2013/06/16,,3,21
2013/06/17,,3,21
2013/06/18,,3,24
2013/06/19,,3,26
2013/06/20,,3,26
2013/06/21,,3,24
2013/06/22,,3,23
2013/06/23,,3,22
2013/06/24,,3,23
2013/06/25,,3,24
2013/06/26,,3,23
2013/06/27,,2,21
2013/06/28,,2,21
2013/06/29,,2,22
2013/06/30,,3,23
2013/07/01,,4,23
2013/07/02,,4,23
2013/07/03,,4,24
2013/07/04,,4,24
2013/07/05,,4,26
2013/07/06,,4,27
2013/07/07,,4,27
2013/07/08,,4,27
2013/07/09,,4,28
2013/07/10,,4,28
2013/07/11,,4,28
2013/07/12,,4,28
2013/07/13,,4,28
2013/07/14,,4,28
2013/07/15,,5,27
2013/07/16,,5,25
2013/07/17,,5,24
2013/07/18,,5,21
2013/07/19,,5,20
2013/07/20,,5,19
2013/07/21,,5,19
2013/07/22,,5,19
2013/07/23,,5,19
2013/07/24,,5,17
2013/07/25,,5,16
2013/07/26,,5,16
2013/07/27,,5,16
2013/07/28,,5,17
2013/07/29,,5,17
2013/07/30,,4,17
2013/07/31,,3,18
2013/08/01,,3,18
2013/08/02,,3,15
2013/08/03,,2,14
2013/08/04,,2,12
2013/08/05,,2,11
2013/08/06,,2,11
2013/08/07,,2,11
2013/08/08,,1,11
2013/08/09,,1,11
2013/08/10,,1,11
2013/08/11,,1,10
2013/08/12,,,11
2013/08/13,,,9
2013/08/14,,,9
2013/08/15,,,10
2013/08/16,,,10
2013/08/17,,,10
2013/08/18,,,10
2013/08/19,,1,10
2013/08/20,,1,10
2013/08/21,,1,11
2013/08/22,,1,11
2013/08/23,,1,11
2013/08/24,,1,11
2013/08/25,,1,11
2013/08/26,,1,11
2013/08/27,,1,10
2013/08/28,,1,9
2013/08/29,,1,10
2013/08/30,,1,8
2013/08/31,,1,7
2013/09/01,,1,7
2013/09/02,,1,7
2013/09/03,,2,8
2013/09/04,,2,8
2013/09/05,,2,8
2013/09/06,,2,8
2013/09/07,,2,8
2013/09/08,,2,8
2013/09/09,,2,9
2013/09/10,,2,9
2013/09/11,,2,8
2013/09/12,,2,8
2013/09/13,,2,8
2013/09/14,,2,8
2013/09/15,,2,8
2013/09/16,,2,9
2013/09/17,,2,9
2013/09/18,,2,10
2013/09/19,,2,10
2013/09/20,,2,10
2013/09/21,,2,10
2013/09/22,,2,10
2013/09/23,,2,11
2013/09/24,,2,10
2013/09/25,,2,12
2013/09/26,,2,11
2013/09/27,,2,10
2013/09/28,,2,10
2013/09/29,,2,11
2013/09/30,,2,12
2013/10/01,,2,14
2013/10/02,,2,14
2013/10/03,,1,14
2013/10/04,,1,15
2013/10/05,,1,15
2013/10/06,,1,15
2013/10/07,,1,14
2013/10/08,,1,14
2013/10/09,,1,14
2013/10/10,,2,14
2013/10/11,,2,14
2013/10/12,,2,14
2013/10/13,,2,14
2013/10/14,,2,14
2013/10/15,,2,14
2013/10/16,,2,14
2013/10/17,,2,14
2013/10/18,,2,13
2013/10/19,,2,14
2013/10/20,,2,13
2013/10/21,,2,13
2013/10/22,,2,13
2013/10/23,,2,12
2013/10/24,,2,14
2013/10/25,,2,13
2013/10/26,,2,13
2013/10/27,,2,13
2013/10/28,,2,13
2013/10/29,,3,13
2013/10/30,,3,14
2013/10/31,,2,14
2013/11/01,,2,14
2013/11/02,,3,12
2013/11/03,,2,12
2013/11/04,,2,12
2013/11/05,,2,12
2013/11/06,,2,12
2013/11/07,,2,12
2013/11/08,,2,12
2013/11/09,,2,12
2013/11/10,,2,12
2013/11/11,,2,13
2013/11/12,,2,13
2013/11/13,,2,12
2013/11/14,,1,12
2013/11/15,,1,12
2013/11/16,,1,13
2013/11/17,,1,13
2013/11/18,,1,14
2013/11/19,,1,15
2013/11/20,,1,15
2013/11/21,,1,15
2013/11/22,,1,16
2013/11/23,,1,14
2013/11/24,,1,13
2013/11/25,,2,16
2013/11/26,,3,16
2013/11/27,,3,16
2013/11/28,,3,16
2013/11/29,,3,17
2013/11/30,,3,18
2013/12/01,,3,19
2013/12/02,,3,18
2013/12/03,,3,19
2013/12/04,,3,21
2013/12/05,,3,21
2013/12/06,,3,23
2013/12/07,,3,23
2013/12/08,,3,23
2013/12/09,,3,22
2013/12/10,,3,22
2013/12/11,,3,20
2013/12/12,,3,20
2013/12/13,,3,20
2013/12/14,,3,20
2013/12/15,,3,20
2013/12/16,,3,20
2013/12/17,,3,20
2013/12/18,,3,20
2013/12/19,,4,19
2013/12/20,,4,18
2013/12/21,,4,18
2013/12/22,,4,17
2013/12/23,,4,17
2013/12/24,,4,18
2013/12/25,,4,17
2013/12/26,,4,17
2013/12/27,,4,17
2013/12/28,,3,18
2013/12/29,,3,18
2013/12/30,,3,17
2013/12/31,,3,16
2014/01/01,,3,16
2014/01/02,,3,17
2014/01/03,,3,15
2014/01/04,,3,16
2014/01/05,,3,16
2014/01/06,,3,16
2014/01/07,1,3,16
2014/01/08,1,3,15
2014/01/09,1,3,15
2014/01/10,1,3,16
2014/01/11,1,3,16
2014/01/12,1,3,15
2014/01/13,1,3,15
2014/01/14,1,3,15
