date,viwiki (100+),viwiki (5+),viwiki (all)
2015/06/04,46,419,1305
2015/06/05,45,424,1301
2015/06/06,46,423,1295
2015/06/07,45,423,1290
2015/06/08,45,421,1287
2015/06/09,49,416,1277
2015/06/10,50,419,1281
2015/06/11,50,422,1285
2015/06/12,51,421,1293
2015/06/13,47,415,1293
2015/06/14,45,413,1286
2015/06/15,44,411,1278
2015/06/16,46,411,1282
2015/06/17,47,414,1289
2015/06/18,47,407,1289
2015/06/19,47,405,1286
2015/06/20,46,407,1289
2015/06/21,46,412,1303
2015/06/22,47,414,1303
2015/06/23,48,413,1319
2015/06/24,48,419,1322
2015/06/25,48,414,1311
2015/06/26,47,415,1301
2015/06/27,47,416,1304
2015/06/28,47,419,1306
2015/06/29,49,417,1309
2015/06/30,49,420,1306
2015/07/01,50,420,1315
2015/07/02,51,425,1303
2015/07/03,51,424,1285
2015/07/04,52,430,1291
2015/07/05,53,434,1295
2015/07/06,53,435,1293
2015/07/07,49,435,1309
2015/07/08,49,433,1319
2015/07/09,49,434,1326
2015/07/10,49,429,1324
2015/07/11,48,428,1317
2015/07/12,49,434,1319
2015/07/13,50,434,1319
2015/07/14,53,433,1329
2015/07/15,55,436,1328
2015/07/16,52,438,1327
2015/07/17,54,438,1321
2015/07/18,55,437,1324
2015/07/19,56,437,1325
2015/07/20,56,442,1312
2015/07/21,55,443,1310
2015/07/22,56,439,1303
2015/07/23,57,437,1308
2015/07/24,60,432,1307
2015/07/25,60,432,1298
2015/07/26,59,430,1296
2015/07/27,58,427,1295
2015/07/28,60,430,1306
2015/07/29,59,424,1315
2015/07/30,58,424,1326
2015/07/31,59,425,1335
2015/08/01,61,425,1369
2015/08/02,63,429,1375
2015/08/03,64,432,1386
2015/08/04,62,436,1390
2015/08/05,62,435,1402
2015/08/06,65,439,1385
2015/08/07,64,439,1391
2015/08/08,68,438,1383
2015/08/09,66,437,1381
2015/08/10,67,431,1384
2015/08/11,71,435,1387
2015/08/12,71,437,1392
2015/08/13,69,438,1388
2015/08/14,70,430,1378
2015/08/15,69,429,1367
2015/08/16,70,436,1365
2015/08/17,69,436,1368
2015/08/18,66,429,1383
2015/08/19,66,423,1382
2015/08/20,65,418,1371
2015/08/21,65,416,1386
2015/08/22,68,421,1382
2015/08/23,66,420,1374
2015/08/24,65,418,1361
2015/08/25,66,410,1362
2015/08/26,66,412,1365
2015/08/27,64,408,1363
2015/08/28,66,406,1351
2015/08/29,64,406,1338
2015/08/30,64,403,1325
2015/08/31,63,394,1311
2015/09/01,63,395,1303
2015/09/02,64,394,1298
2015/09/03,65,390,1298
2015/09/04,65,394,1311
2015/09/05,65,400,1325
2015/09/06,63,390,1315
2015/09/07,65,388,1312
2015/09/08,65,383,1310
2015/09/09,66,383,1319
2015/09/10,67,384,1314
2015/09/11,67,382,1318
2015/09/12,63,382,1320
2015/09/13,61,385,1311
2015/09/14,61,383,1312
2015/09/15,66,388,1317
2015/09/16,68,394,1319
2015/09/17,65,392,1322
2015/09/18,64,400,1329
2015/09/19,63,402,1325
2015/09/20,66,398,1318
2015/09/21,67,400,1313
2015/09/22,68,396,1320
2015/09/23,66,393,1327
2015/09/24,67,387,1327
2015/09/25,66,387,1315
2015/09/26,65,388,1303
2015/09/27,64,387,1320
2015/09/28,63,385,1310
2015/09/29,61,384,1307
2015/09/30,62,387,1307
2015/10/01,62,387,1311
2015/10/02,62,380,1307
2015/10/03,59,381,1301
2015/10/04,59,386,1296
2015/10/05,61,383,1270
2015/10/06,63,379,1279
2015/10/07,63,366,1278
2015/10/08,61,373,1276
2015/10/09,60,373,1267
2015/10/10,61,373,1288
2015/10/11,62,368,1272
2015/10/12,62,369,1282
2015/10/13,61,373,1286
2015/10/14,59,370,1282
2015/10/15,58,371,1279
2015/10/16,60,369,1270
2015/10/17,58,363,1256
2015/10/18,57,358,1259
2015/10/19,56,355,1250
2015/10/20,57,351,1249
2015/10/21,57,346,1236
2015/10/22,58,350,1235
2015/10/23,56,353,1229
2015/10/24,57,354,1230
2015/10/25,56,351,1232
2015/10/26,57,352,1246
