date,fiwiki (100+),fiwiki (5+),fiwiki (all)
2013/04/06,95,595,1848
2013/04/07,94,601,1840
2013/04/08,96,605,1824
2013/04/09,93,613,1833
2013/04/10,94,613,1823
2013/04/11,93,609,1806
2013/04/12,92,607,1791
2013/04/13,90,605,1771
2013/04/14,90,605,1764
2013/04/15,89,605,1751
2013/04/16,88,603,1756
2013/04/17,86,610,1755
2013/04/18,86,610,1736
2013/04/19,84,614,1735
2013/04/20,81,612,1731
2013/04/21,83,615,1739
2013/04/22,83,610,1731
2013/04/23,83,602,1735
2013/04/24,80,602,1737
2013/04/25,82,606,1738
2013/04/26,82,603,1727
2013/04/27,81,600,1723
2013/04/28,81,602,1706
2013/04/29,79,604,1699
2013/04/30,79,606,1725
2013/05/01,76,607,1751
2013/05/02,76,601,1744
2013/05/03,76,608,1742
2013/05/04,77,603,1733
2013/05/05,77,603,1727
2013/05/06,75,604,1733
2013/05/07,79,596,1738
2013/05/08,77,588,1734
2013/05/09,76,582,1706
2013/05/10,77,583,1702
2013/05/11,79,574,1698
2013/05/12,81,570,1683
2013/05/13,81,566,1676
2013/05/14,79,570,1664
2013/05/15,76,562,1669
2013/05/16,78,550,1657
2013/05/17,80,543,1656
2013/05/18,78,544,1645
2013/05/19,78,536,1640
2013/05/20,79,529,1622
2013/05/21,78,539,1637
2013/05/22,75,539,1643
2013/05/23,76,536,1629
2013/05/24,76,534,1624
2013/05/25,75,530,1621
2013/05/26,75,523,1608
2013/05/27,76,517,1590
2013/05/28,76,514,1605
2013/05/29,74,522,1591
2013/05/30,72,520,1575
2013/05/31,73,514,1549
2013/06/01,72,519,1554
2013/06/02,71,508,1538
2013/06/03,72,516,1538
2013/06/04,73,517,1541
2013/06/05,72,518,1533
2013/06/06,72,523,1533
2013/06/07,71,524,1524
2013/06/08,70,525,1529
2013/06/09,70,519,1530
2013/06/10,72,521,1540
2013/06/11,73,524,1538
2013/06/12,73,522,1539
2013/06/13,77,517,1541
2013/06/14,78,515,1538
2013/06/15,78,514,1529
2013/06/16,78,517,1523
2013/06/17,80,520,1525
2013/06/18,82,528,1531
2013/06/19,81,531,1533
2013/06/20,75,525,1522
2013/06/21,76,525,1511
2013/06/22,78,518,1496
2013/06/23,81,516,1477
2013/06/24,82,516,1471
2013/06/25,82,518,1474
2013/06/26,81,515,1478
2013/06/27,79,512,1474
2013/06/28,79,513,1476
2013/06/29,80,512,1467
2013/06/30,81,508,1461
2013/07/01,81,508,1456
2013/07/02,85,522,1470
2013/07/03,85,522,1476
2013/07/04,87,521,1468
2013/07/05,88,521,1461
2013/07/06,87,513,1450
2013/07/07,87,520,1436
2013/07/08,86,528,1450
2013/07/09,89,521,1458
2013/07/10,87,523,1458
2013/07/11,88,523,1467
2013/07/12,86,526,1461
2013/07/13,85,526,1445
2013/07/14,85,524,1436
2013/07/15,86,519,1434
2013/07/16,86,522,1444
2013/07/17,83,527,1449
2013/07/18,86,522,1445
2013/07/19,81,517,1454
2013/07/20,81,516,1434
2013/07/21,82,516,1418
2013/07/22,83,514,1424
2013/07/23,82,512,1425
2013/07/24,86,509,1427
2013/07/25,84,507,1425
2013/07/26,84,503,1420
2013/07/27,86,501,1408
2013/07/28,86,498,1395
2013/07/29,86,496,1387
2013/07/30,87,500,1399
2013/07/31,86,501,1407
2013/08/01,84,501,1408
2013/08/02,84,501,1405
2013/08/03,87,496,1396
2013/08/04,86,493,1388
2013/08/05,85,490,1399
2013/08/06,87,488,1415
2013/08/07,89,487,1418
2013/08/08,88,481,1419
2013/08/09,89,484,1444
2013/08/10,89,488,1448
2013/08/11,91,490,1432
2013/08/12,94,491,1427
2013/08/13,95,488,1439
2013/08/14,94,492,1444
2013/08/15,95,496,1441
2013/08/16,94,496,1443
2013/08/17,95,511,1446
2013/08/18,94,506,1450
2013/08/19,94,501,1453
2013/08/20,98,503,1450
2013/08/21,98,505,1454
2013/08/22,97,499,1454
2013/08/23,97,502,1467
2013/08/24,95,499,1463
2013/08/25,94,501,1454
2013/08/26,96,505,1457
2013/08/27,96,509,1468
2013/08/28,97,510,1474
2013/08/29,97,513,1483
2013/08/30,95,510,1495
2013/08/31,94,507,1504
2013/09/01,91,501,1501
2013/09/02,90,505,1514
2013/09/03,89,508,1513
2013/09/04,90,501,1509
2013/09/05,88,498,1500
2013/09/06,87,503,1494
2013/09/07,87,497,1493
2013/09/08,83,496,1484
2013/09/09,86,505,1489
2013/09/10,85,509,1507
2013/09/11,85,519,1522
2013/09/12,83,521,1516
2013/09/13,83,518,1520
2013/09/14,82,517,1529
2013/09/15,82,515,1525
2013/09/16,82,511,1538
2013/09/17,81,517,1533
2013/09/18,80,517,1547
2013/09/19,80,517,1531
2013/09/20,79,519,1537
2013/09/21,80,520,1535
2013/09/22,82,513,1526
2013/09/23,83,513,1523
2013/09/24,81,520,1544
2013/09/25,83,516,1559
2013/09/26,82,517,1554
2013/09/27,78,519,1557
2013/09/28,80,520,1550
2013/09/29,80,524,1549
2013/09/30,80,521,1556
2013/10/01,80,525,1566
2013/10/02,79,531,1569
2013/10/03,78,532,1577
2013/10/04,80,530,1589
2013/10/05,79,534,1598
2013/10/06,81,530,1597
2013/10/07,81,539,1595
2013/10/08,79,540,1601
2013/10/09,80,536,1595
2013/10/10,79,534,1594
2013/10/11,79,536,1589
2013/10/12,79,531,1593
2013/10/13,79,535,1588
2013/10/14,80,541,1594
2013/10/15,82,545,1605
2013/10/16,82,548,1614
2013/10/17,81,547,1611
2013/10/18,78,549,1600
2013/10/19,81,546,1605
2013/10/20,82,541,1592
2013/10/21,86,543,1598
2013/10/22,83,545,1596
2013/10/23,83,542,1602
2013/10/24,83,540,1586
2013/10/25,81,535,1583
2013/10/26,81,526,1601
2013/10/27,85,527,1606
2013/10/28,86,529,1601
2013/10/29,87,530,1607
2013/10/30,88,528,1618
2013/10/31,88,531,1616
2013/11/01,88,534,1606
2013/11/02,87,531,1592
2013/11/03,87,535,1576
2013/11/04,88,534,1572
2013/11/05,91,534,1572
2013/11/06,90,533,1597
2013/11/07,89,536,1618
2013/11/08,89,540,1645
2013/11/09,88,537,1643
2013/11/10,87,539,1635
2013/11/11,85,539,1632
2013/11/12,85,549,1654
2013/11/13,83,545,1661
2013/11/14,83,541,1668
2013/11/15,87,540,1655
2013/11/16,88,537,1645
2013/11/17,91,540,1640
2013/11/18,91,537,1635
2013/11/19,91,536,1646
2013/11/20,93,522,1646
2013/11/21,90,516,1664
2013/11/22,91,514,1666
2013/11/23,90,512,1670
2013/11/24,90,516,1666
2013/11/25,92,522,1659
2013/11/26,88,520,1654
2013/11/27,86,524,1661
2013/11/28,88,519,1666
2013/11/29,87,517,1649
2013/11/30,90,519,1650
2013/12/01,89,529,1665
2013/12/02,90,536,1676
2013/12/03,89,540,1689
2013/12/04,89,545,1693
2013/12/05,91,548,1688
2013/12/06,89,547,1698
2013/12/07,90,546,1674
2013/12/08,89,551,1639
2013/12/09,88,551,1648
2013/12/10,91,552,1646
2013/12/11,89,553,1649
2013/12/12,89,546,1640
2013/12/13,89,553,1633
2013/12/14,89,547,1635
2013/12/15,85,543,1626
2013/12/16,85,551,1639
2013/12/17,86,555,1642
2013/12/18,86,556,1647
2013/12/19,89,559,1650
2013/12/20,86,563,1644
2013/12/21,88,557,1640
2013/12/22,89,550,1634
2013/12/23,88,556,1640
2013/12/24,88,557,1650
2013/12/25,86,556,1619
2013/12/26,85,551,1611
2013/12/27,85,554,1603
2013/12/28,84,547,1585
2013/12/29,88,554,1582
2013/12/30,89,559,1583
2013/12/31,87,558,1571
2014/01/01,85,548,1561
2014/01/02,85,551,1560
2014/01/03,88,553,1550
2014/01/04,86,545,1535
2014/01/05,87,544,1523
2014/01/06,89,544,1527
2014/01/07,85,553,1534
2014/01/08,88,540,1550
2014/01/09,88,540,1562
2014/01/10,88,538,1579
2014/01/11,87,547,1593
2014/01/12,89,551,1584
2014/01/13,92,545,1582
2014/01/14,92,552,1599
2014/01/15,91,548,1598
2014/01/16,92,547,1607
2014/01/17,92,554,1607
2014/01/18,95,555,1612
2014/01/19,95,549,1610
2014/01/20,97,553,1612
2014/01/21,95,560,1638
2014/01/22,95,576,1659
2014/01/23,94,587,1666
2014/01/24,94,604,1698
2014/01/25,92,614,1719
2014/01/26,92,613,1739
2014/01/27,92,620,1752
2014/01/28,90,618,1754
2014/01/29,93,621,1755
2014/01/30,96,629,1755
2014/01/31,97,636,1770
2014/02/01,96,636,1773
2014/02/02,95,631,1770
2014/02/03,94,645,1783
2014/02/04,95,646,1791
2014/02/05,96,643,1781
2014/02/06,95,646,1777
2014/02/07,93,649,1757
2014/02/08,96,646,1756
2014/02/09,96,639,1763
2014/02/10,100,636,1766
2014/02/11,97,640,1773
2014/02/12,97,642,1782
2014/02/13,97,641,1790
2014/02/14,96,639,1804
2014/02/15,96,631,1812
2014/02/16,96,632,1814
2014/02/17,97,636,1811
2014/02/18,93,644,1833
2014/02/19,93,644,1841
2014/02/20,89,638,1830
2014/02/21,84,628,1830
2014/02/22,86,610,1816
2014/02/23,84,597,1786
2014/02/24,84,606,1798
2014/02/25,81,615,1806
2014/02/26,83,617,1804
2014/02/27,84,615,1801
2014/02/28,85,619,1801
2014/03/01,84,616,1787
2014/03/02,84,611,1770
2014/03/03,82,613,1789
2014/03/04,81,609,1800
2014/03/05,81,616,1809
2014/03/06,82,622,1814
2014/03/07,83,616,1814
2014/03/08,83,622,1824
2014/03/09,82,622,1826
2014/03/10,82,628,1828
2014/03/11,84,633,1812
2014/03/12,83,634,1811
2014/03/13,87,641,1816
2014/03/14,84,641,1804
2014/03/15,85,644,1805
2014/03/16,85,643,1792
2014/03/17,85,642,1795
2014/03/18,85,638,1796
2014/03/19,89,631,1797
2014/03/20,88,627,1794
2014/03/21,88,625,1782
2014/03/22,86,625,1778
2014/03/23,86,620,1770
2014/03/24,89,621,1768
2014/03/25,88,615,1775
2014/03/26,89,619,1778
2014/03/27,90,610,1765
2014/03/28,90,610,1754
2014/03/29,88,606,1746
2014/03/30,88,601,1722
2014/03/31,88,607,1716
2014/04/01,86,612,1713
2014/04/02,83,612,1707
2014/04/03,84,612,1702
2014/04/04,86,614,1683
2014/04/05,86,606,1679
2014/04/06,85,604,1680
2014/04/07,85,588,1664
2014/04/08,87,590,1657
2014/04/09,87,593,1647
2014/04/10,86,602,1656
2014/04/11,87,600,1659
2014/04/12,84,594,1670
2014/04/13,85,583,1659
2014/04/14,85,582,1641
2014/04/15,84,582,1653
2014/04/16,83,585,1649
2014/04/17,86,585,1660
2014/04/18,84,588,1669
2014/04/19,85,584,1652
2014/04/20,85,587,1652
2014/04/21,87,590,1646
2014/04/22,87,594,1652
2014/04/23,88,588,1652
2014/04/24,89,598,1643
2014/04/25,89,591,1627
2014/04/26,90,586,1638
2014/04/27,92,586,1642
2014/04/28,92,587,1639
2014/04/29,91,588,1654
2014/04/30,93,593,1660
2014/05/01,92,597,1660
2014/05/02,90,585,1648
2014/05/03,90,587,1644
2014/05/04,86,574,1644
2014/05/05,88,579,1648
2014/05/06,88,582,1669
2014/05/07,87,576,1669
2014/05/08,87,578,1681
2014/05/09,89,573,1670
2014/05/10,85,557,1660
2014/05/11,85,555,1649
2014/05/12,87,551,1624
2014/05/13,85,548,1618
2014/05/14,83,558,1636
2014/05/15,81,557,1636
2014/05/16,83,556,1629
2014/05/17,83,565,1614
2014/05/18,83,563,1600
2014/05/19,82,562,1593
2014/05/20,81,559,1602
2014/05/21,81,569,1609
2014/05/22,81,565,1619
2014/05/23,80,565,1620
2014/05/24,77,562,1625
2014/05/25,77,556,1632
2014/05/26,76,557,1621
2014/05/27,76,552,1633
2014/05/28,77,559,1648
2014/05/29,78,554,1649
2014/05/30,79,554,1639
2014/05/31,78,557,1640
2014/06/01,76,559,1626
2014/06/02,77,555,1622
2014/06/03,79,558,1618
2014/06/04,80,557,1607
2014/06/05,77,553,1590
2014/06/06,76,556,1580
2014/06/07,75,556,1561
2014/06/08,78,554,1545
2014/06/09,78,550,1547
2014/06/10,78,554,1544
2014/06/11,78,559,1553
2014/06/12,77,551,1546
2014/06/13,78,544,1535
2014/06/14,80,558,1536
2014/06/15,80,552,1521
2014/06/16,79,551,1520
2014/06/17,78,550,1526
2014/06/18,77,554,1550
2014/06/19,79,544,1540
2014/06/20,77,544,1551
2014/06/21,77,532,1537
2014/06/22,77,530,1519
2014/06/23,76,538,1511
2014/06/24,75,542,1523
2014/06/25,76,533,1537
2014/06/26,76,533,1532
2014/06/27,77,533,1521
2014/06/28,78,532,1515
2014/06/29,77,523,1501
2014/06/30,78,528,1523
2014/07/01,78,530,1535
2014/07/02,79,535,1542
2014/07/03,77,532,1530
2014/07/04,78,533,1523
2014/07/05,78,535,1534
2014/07/06,80,529,1529
2014/07/07,78,523,1524
2014/07/08,81,527,1519
2014/07/09,84,532,1525
2014/07/10,85,534,1519
2014/07/11,85,523,1509
2014/07/12,86,527,1513
2014/07/13,82,531,1510
2014/07/14,81,531,1517
2014/07/15,82,533,1520
2014/07/16,84,532,1524
2014/07/17,87,533,1505
2014/07/18,89,531,1507
2014/07/19,92,531,1498
2014/07/20,92,525,1488
2014/07/21,92,526,1508
2014/07/22,90,519,1507
2014/07/23,91,525,1513
2014/07/24,90,519,1509
2014/07/25,90,522,1489
2014/07/26,90,522,1467
2014/07/27,90,515,1464
2014/07/28,90,508,1459
2014/07/29,91,506,1477
2014/07/30,93,499,1467
2014/07/31,93,500,1466
2014/08/01,93,501,1470
2014/08/02,91,495,1472
2014/08/03,91,493,1474
2014/08/04,92,486,1462
2014/08/05,90,492,1471
2014/08/06,91,503,1477
2014/08/07,90,504,1489
2014/08/08,88,500,1495
2014/08/09,88,495,1497
2014/08/10,88,500,1490
2014/08/11,88,491,1510
2014/08/12,89,488,1517
2014/08/13,89,489,1524
2014/08/14,88,493,1536
2014/08/15,88,491,1536
2014/08/16,84,495,1554
2014/08/17,84,490,1542
2014/08/18,86,489,1553
2014/08/19,82,491,1558
2014/08/20,80,489,1552
2014/08/21,80,494,1560
2014/08/22,79,482,1545
2014/08/23,77,480,1547
2014/08/24,77,476,1548
2014/08/25,77,471,1559
2014/08/26,81,474,1565
2014/08/27,78,480,1577
2014/08/28,77,477,1567
2014/08/29,76,486,1565
2014/08/30,80,478,1555
2014/08/31,81,478,1543
2014/09/01,83,483,1535
2014/09/02,85,489,1553
2014/09/03,81,488,1557
2014/09/04,81,494,1549
2014/09/05,78,500,1549
2014/09/06,80,495,1547
2014/09/07,78,500,1544
2014/09/08,78,499,1548
2014/09/09,80,503,1549
2014/09/10,81,505,1545
2014/09/11,84,505,1555
2014/09/12,83,507,1545
2014/09/13,85,506,1557
2014/09/14,88,501,1581
2014/09/15,86,500,1572
2014/09/16,88,503,1599
2014/09/17,87,504,1607
2014/09/18,90,495,1601
2014/09/19,90,498,1601
2014/09/20,92,502,1600
2014/09/21,91,506,1599
2014/09/22,93,508,1599
2014/09/23,93,511,1599
2014/09/24,92,514,1580
2014/09/25,90,507,1591
2014/09/26,89,507,1594
2014/09/27,86,502,1596
2014/09/28,85,497,1594
2014/09/29,86,503,1600
2014/09/30,85,502,1607
2014/10/01,85,504,1635
2014/10/02,83,507,1659
2014/10/03,84,523,1677
2014/10/04,85,524,1675
2014/10/05,84,524,1676
2014/10/06,84,536,1690
2014/10/07,85,540,1713
2014/10/08,84,551,1722
2014/10/09,83,560,1736
2014/10/10,81,566,1743
2014/10/11,81,566,1745
2014/10/12,81,554,1747
2014/10/13,82,561,1760
2014/10/14,82,554,1769
2014/10/15,83,553,1763
2014/10/16,81,546,1756
2014/10/17,81,541,1741
2014/10/18,86,547,1745
2014/10/19,88,543,1735
2014/10/20,88,547,1731
2014/10/21,89,544,1747
2014/10/22,87,542,1751
2014/10/23,88,544,1764
2014/10/24,88,534,1770
2014/10/25,89,541,1767
2014/10/26,92,537,1756
2014/10/27,91,545,1745
2014/10/28,91,547,1754
2014/10/29,92,544,1746
2014/10/30,92,547,1754
2014/10/31,93,551,1742
2014/11/01,91,544,1717
2014/11/02,91,552,1721
2014/11/03,94,553,1727
2014/11/04,94,549,1718
2014/11/05,94,546,1698
2014/11/06,92,544,1685
2014/11/07,97,547,1679
2014/11/08,96,535,1685
2014/11/09,96,521,1681
2014/11/10,97,526,1681
2014/11/11,94,531,1675
2014/11/12,93,531,1677
2014/11/13,93,520,1680
2014/11/14,94,518,1687
2014/11/15,90,525,1677
2014/11/16,89,534,1685
2014/11/17,89,533,1680
2014/11/18,91,546,1698
2014/11/19,90,546,1702
2014/11/20,90,549,1705
2014/11/21,89,551,1716
2014/11/22,88,544,1692
2014/11/23,92,549,1687
2014/11/24,96,557,1689
2014/11/25,97,574,1724
2014/11/26,97,567,1732
2014/11/27,97,559,1725
2014/11/28,98,565,1739
2014/11/29,98,561,1729
2014/11/30,97,557,1719
2014/12/01,96,560,1728
2014/12/02,98,564,1736
2014/12/03,97,558,1735
2014/12/04,96,554,1738
2014/12/05,95,552,1754
2014/12/06,93,544,1756
2014/12/07,94,545,1748
2014/12/08,96,552,1746
2014/12/09,96,551,1753
2014/12/10,93,556,1754
2014/12/11,95,555,1770
2014/12/12,96,552,1770
2014/12/13,94,553,1767
2014/12/14,92,552,1756
2014/12/15,92,545,1758
2014/12/16,95,543,1758
2014/12/17,94,544,1782
2014/12/18,97,536,1782
2014/12/19,96,539,1790
2014/12/20,95,537,1772
2014/12/21,95,533,1765
2014/12/22,95,542,1779
2014/12/23,93,546,1780
2014/12/24,91,543,1772
2014/12/25,93,534,1739
2014/12/26,92,524,1729
2014/12/27,92,523,1725
2014/12/28,93,524,1718
2014/12/29,91,531,1727
2014/12/30,91,543,1748
2014/12/31,92,549,1752
2015/01/01,91,542,1739
2015/01/02,95,552,1745
2015/01/03,93,557,1749
2015/01/04,97,553,1751
2015/01/05,99,563,1756
2015/01/06,98,561,1772
2015/01/07,99,563,1777
2015/01/08,101,571,1796
2015/01/09,101,568,1798
2015/01/10,101,571,1789
2015/01/11,104,565,1787
2015/01/12,104,564,1775
2015/01/13,103,569,1772
2015/01/14,106,572,1799
2015/01/15,105,577,1812
2015/01/16,109,588,1807
2015/01/17,110,591,1797
2015/01/18,113,583,1787
2015/01/19,113,585,1785
2015/01/20,112,593,1811
