date,pswiki (100+),pswiki (5+),pswiki (all)
2012/12/30,4,35,58
2012/12/31,4,35,58
2013/01/01,4,35,58
2013/01/02,4,34,56
2013/01/03,4,35,56
2013/01/04,4,35,56
2013/01/05,4,33,55
2013/01/06,4,31,54
2013/01/07,4,33,54
2013/01/08,4,33,53
2013/01/09,4,34,53
2013/01/10,4,34,53
2013/01/11,4,33,52
2013/01/12,4,33,52
2013/01/13,4,33,53
2013/01/14,3,30,52
2013/01/15,3,31,50
2013/01/16,3,32,50
2013/01/17,3,31,52
2013/01/18,3,32,53
2013/01/19,3,33,53
2013/01/20,3,34,54
2013/01/21,3,34,53
2013/01/22,3,34,52
2013/01/23,3,35,53
2013/01/24,3,35,51
2013/01/25,3,34,51
2013/01/26,3,34,52
2013/01/27,3,35,53
2013/01/28,4,37,53
2013/01/29,4,36,52
2013/01/30,4,33,51
2013/01/31,4,34,51
2013/02/01,4,34,52
2013/02/02,4,34,53
2013/02/03,4,32,52
2013/02/04,4,33,51
2013/02/05,4,33,48
2013/02/06,4,32,47
2013/02/07,5,30,47
2013/02/08,5,30,47
2013/02/09,5,30,44
2013/02/10,5,32,43
2013/02/11,5,33,42
2013/02/12,5,33,43
2013/02/13,5,32,43
2013/02/14,5,32,42
2013/02/15,5,32,43
2013/02/16,5,32,45
2013/02/17,5,33,46
2013/02/18,5,32,47
2013/02/19,5,32,46
2013/02/20,5,31,47
2013/02/21,5,31,46
2013/02/22,4,30,45
2013/02/23,4,30,45
2013/02/24,4,30,45
2013/02/25,4,30,44
2013/02/26,4,29,44
2013/02/27,4,29,42
2013/02/28,4,29,42
2013/03/01,4,28,42
2013/03/02,4,28,43
2013/03/03,4,27,42
2013/03/04,4,26,44
2013/03/05,4,26,46
2013/03/06,4,26,46
2013/03/07,4,26,46
2013/03/08,5,27,47
2013/03/09,5,27,46
2013/03/10,5,27,45
2013/03/11,5,26,46
2013/03/12,6,24,47
2013/03/13,6,23,47
2013/03/14,6,22,45
2013/03/15,6,22,44
2013/03/16,5,20,45
2013/03/17,5,20,43
2013/03/18,5,18,43
2013/03/19,5,19,42
2013/03/20,5,17,41
2013/03/21,4,17,40
2013/03/22,4,17,40
2013/03/23,4,16,40
2013/03/24,3,16,40
2013/03/25,3,16,40
2013/03/26,3,16,39
2013/03/27,2,15,38
2013/03/28,2,14,37
2013/03/29,2,14,36
2013/03/30,2,14,33
2013/03/31,2,13,32
2013/04/01,2,13,32
2013/04/02,2,13,33
2013/04/03,2,11,30
2013/04/04,2,9,25
2013/04/05,2,8,25
2013/04/06,2,6,21
2013/04/07,2,6,19
2013/04/08,2,7,22
2013/04/09,2,8,22
2013/04/10,2,8,21
2013/04/11,,9,23
2013/04/12,,9,23
2013/04/13,,9,23
2013/04/14,,10,24
2013/04/15,,11,23
2013/04/16,,11,22
2013/04/17,,11,21
2013/04/18,1,12,22
2013/04/19,1,12,22
2013/04/20,1,12,21
2013/04/21,1,12,20
2013/04/22,1,12,20
2013/04/23,1,12,20
2013/04/24,1,12,19
2013/04/25,1,12,19
2013/04/26,1,13,21
2013/04/27,1,13,21
2013/04/28,1,13,21
2013/04/29,1,13,22
2013/04/30,1,13,22
2013/05/01,1,13,22
2013/05/02,1,12,20
2013/05/03,1,10,20
2013/05/04,1,10,20
2013/05/05,1,10,20
2013/05/06,2,12,22
2013/05/07,2,12,22
2013/05/08,2,11,21
2013/05/09,2,10,20
2013/05/10,2,9,21
2013/05/11,1,10,22
2013/05/12,1,10,22
2013/05/13,1,10,23
2013/05/14,1,10,24
2013/05/15,1,10,24
2013/05/16,1,10,24
2013/05/17,1,10,23
2013/05/18,1,9,22
2013/05/19,1,9,23
2013/05/20,1,8,23
2013/05/21,1,8,23
2013/05/22,1,8,23
2013/05/23,1,7,23
2013/05/24,1,8,23
2013/05/25,1,8,23
2013/05/26,1,8,22
2013/05/27,1,8,22
2013/05/28,1,7,23
2013/05/29,1,7,23
2013/05/30,1,7,23
2013/05/31,1,7,22
2013/06/01,1,7,22
2013/06/02,1,7,22
2013/06/03,1,7,22
2013/06/04,1,7,21
2013/06/05,1,5,20
2013/06/06,1,6,22
2013/06/07,1,6,23
2013/06/08,1,6,25
2013/06/09,1,6,25
2013/06/10,1,6,24
2013/06/11,1,6,24
2013/06/12,1,6,24
2013/06/13,1,6,23
2013/06/14,1,5,23
2013/06/15,1,5,23
2013/06/16,1,6,25
2013/06/17,1,6,25
2013/06/18,1,6,24
2013/06/19,,6,23
2013/06/20,,6,21
2013/06/21,,6,21
2013/06/22,,6,21
2013/06/23,,6,21
2013/06/24,,6,22
2013/06/25,,6,25
2013/06/26,,6,27
2013/06/27,,6,27
2013/06/28,,6,26
2013/06/29,1,6,26
2013/06/30,1,7,26
2013/07/01,1,8,26
2013/07/02,1,8,26
2013/07/03,1,8,27
2013/07/04,1,8,27
2013/07/05,1,7,28
2013/07/06,1,7,25
2013/07/07,1,7,24
2013/07/08,1,7,23
2013/07/09,1,7,22
2013/07/10,1,7,22
2013/07/11,1,7,22
2013/07/12,1,7,20
2013/07/13,1,7,20
2013/07/14,1,7,20
2013/07/15,1,9,23
2013/07/16,1,8,23
2013/07/17,2,8,23
2013/07/18,2,8,23
2013/07/19,2,8,24
2013/07/20,2,8,24
2013/07/21,2,8,25
2013/07/22,2,9,26
2013/07/23,2,9,24
2013/07/24,2,8,23
2013/07/25,2,8,20
2013/07/26,2,8,19
2013/07/27,2,8,18
2013/07/28,2,8,18
2013/07/29,1,8,18
2013/07/30,1,8,18
2013/07/31,1,8,18
2013/08/01,1,8,18
2013/08/02,1,8,16
2013/08/03,1,8,16
2013/08/04,2,8,15
2013/08/05,2,8,15
2013/08/06,2,8,16
2013/08/07,2,8,17
2013/08/08,2,8,17
2013/08/09,2,8,17
2013/08/10,2,8,18
2013/08/11,2,8,18
2013/08/12,2,8,18
2013/08/13,2,8,18
2013/08/14,2,8,15
2013/08/15,2,6,14
2013/08/16,2,5,13
2013/08/17,2,4,12
2013/08/18,2,5,12
2013/08/19,2,6,13
2013/08/20,2,6,13
2013/08/21,2,6,13
2013/08/22,2,7,15
2013/08/23,2,7,15
2013/08/24,2,7,15
2013/08/25,2,7,15
2013/08/26,2,7,15
2013/08/27,2,7,14
2013/08/28,2,8,14
2013/08/29,2,9,14
2013/08/30,2,8,14
2013/08/31,2,8,14
2013/09/01,2,8,14
2013/09/02,2,8,14
2013/09/03,2,9,14
2013/09/04,2,8,13
2013/09/05,2,8,15
2013/09/06,2,8,14
2013/09/07,2,8,15
2013/09/08,2,9,17
2013/09/09,2,9,16
2013/09/10,2,9,16
2013/09/11,1,9,16
2013/09/12,,9,16
2013/09/13,,9,17
2013/09/14,,8,16
2013/09/15,,8,15
2013/09/16,1,8,15
2013/09/17,1,7,15
2013/09/18,1,6,15
2013/09/19,1,6,15
2013/09/20,1,6,15
2013/09/21,1,6,16
2013/09/22,1,6,14
2013/09/23,1,6,14
2013/09/24,1,6,14
2013/09/25,1,5,14
2013/09/26,1,5,14
2013/09/27,1,5,14
2013/09/28,1,5,15
2013/09/29,1,5,17
2013/09/30,1,5,17
2013/10/01,1,5,17
2013/10/02,1,5,17
2013/10/03,1,4,17
2013/10/04,1,4,17
2013/10/05,1,4,19
2013/10/06,1,5,20
2013/10/07,1,4,18
2013/10/08,1,3,15
2013/10/09,1,3,15
2013/10/10,1,4,15
2013/10/11,1,4,14
2013/10/12,1,4,14
2013/10/13,1,4,13
2013/10/14,1,4,14
2013/10/15,1,4,14
2013/10/16,1,4,14
2013/10/17,1,4,14
2013/10/18,1,4,14
2013/10/19,1,5,14
2013/10/20,1,5,16
2013/10/21,1,4,17
2013/10/22,1,4,17
2013/10/23,1,4,17
2013/10/24,1,4,17
2013/10/25,1,4,15
2013/10/26,1,4,14
2013/10/27,1,4,14
2013/10/28,1,4,14
2013/10/29,1,4,12
2013/10/30,1,4,12
2013/10/31,1,4,12
2013/11/01,1,5,13
2013/11/02,1,5,13
2013/11/03,1,5,13
2013/11/04,1,5,13
2013/11/05,1,5,13
2013/11/06,1,5,13
2013/11/07,1,5,14
2013/11/08,1,5,17
2013/11/09,1,5,16
2013/11/10,1,5,16
2013/11/11,1,5,16
2013/11/12,1,5,16
2013/11/13,1,5,16
2013/11/14,1,5,16
2013/11/15,1,5,17
2013/11/16,1,5,17
2013/11/17,1,6,17
2013/11/18,1,6,17
2013/11/19,1,6,15
2013/11/20,1,6,14
2013/11/21,1,6,14
2013/11/22,1,6,14
2013/11/23,1,6,14
2013/11/24,1,6,14
2013/11/25,1,6,14
2013/11/26,1,6,14
2013/11/27,1,6,15
2013/11/28,1,6,15
2013/11/29,1,6,15
2013/11/30,1,6,15
2013/12/01,1,6,16
2013/12/02,1,6,16
2013/12/03,1,6,16
2013/12/04,1,6,15
2013/12/05,1,6,15
2013/12/06,1,6,15
2013/12/07,1,6,15
2013/12/08,1,6,11
2013/12/09,1,5,11
2013/12/10,1,5,12
2013/12/11,1,5,13
2013/12/12,2,4,13
2013/12/13,2,4,12
2013/12/14,2,4,12
2013/12/15,2,4,11
2013/12/16,2,4,11
2013/12/17,3,4,12
2013/12/18,3,4,12
2013/12/19,3,4,12
2013/12/20,3,4,12
2013/12/21,3,4,12
2013/12/22,3,4,12
2013/12/23,3,4,12
2013/12/24,3,4,12
2013/12/25,3,4,12
2013/12/26,3,4,11
2013/12/27,3,5,10
2013/12/28,3,5,10
2013/12/29,3,5,10
2013/12/30,3,5,10
2013/12/31,3,4,9
2014/01/01,3,4,9
