date,shwiki (100+),shwiki (5+),shwiki (all)
2013/01/31,21,67,252
2013/02/01,19,66,252
2013/02/02,19,68,248
2013/02/03,19,69,253
2013/02/04,17,68,250
2013/02/05,18,68,252
2013/02/06,17,68,254
2013/02/07,16,69,253
2013/02/08,16,69,254
2013/02/09,17,68,252
2013/02/10,17,66,250
2013/02/11,17,65,247
2013/02/12,17,63,249
2013/02/13,17,64,252
2013/02/14,17,63,252
2013/02/15,16,62,249
2013/02/16,17,62,248
2013/02/17,17,62,249
2013/02/18,17,63,247
2013/02/19,17,66,244
2013/02/20,16,65,244
2013/02/21,16,63,243
2013/02/22,16,61,239
2013/02/23,16,61,236
2013/02/24,16,62,238
2013/02/25,15,59,229
2013/02/26,15,60,229
2013/02/27,15,62,228
2013/02/28,15,62,225
2013/03/01,15,59,227
2013/03/02,15,57,224
2013/03/03,15,56,221
2013/03/04,15,54,220
2013/03/05,15,53,222
2013/03/06,15,53,226
2013/03/07,14,54,219
2013/03/08,15,58,218
2013/03/09,15,58,224
2013/03/10,14,60,223
2013/03/11,14,61,223
2013/03/12,14,59,227
2013/03/13,14,60,231
2013/03/14,14,61,229
2013/03/15,14,61,233
2013/03/16,14,62,232
2013/03/17,15,61,236
2013/03/18,15,62,235
2013/03/19,15,63,239
2013/03/20,15,60,238
2013/03/21,14,58,229
2013/03/22,14,60,232
2013/03/23,14,61,231
2013/03/24,13,62,232
2013/03/25,13,63,233
2013/03/26,13,62,237
2013/03/27,13,62,233
2013/03/28,13,62,232
2013/03/29,13,60,230
2013/03/30,13,61,230
2013/03/31,13,60,229
2013/04/01,12,63,225
2013/04/02,12,63,229
2013/04/03,12,63,225
2013/04/04,13,61,224
2013/04/05,12,58,222
2013/04/06,12,57,219
2013/04/07,11,56,220
2013/04/08,11,57,221
2013/04/09,10,53,219
2013/04/10,10,53,223
2013/04/11,10,52,223
2013/04/12,11,52,219
2013/04/13,12,52,217
2013/04/14,12,52,212
2013/04/15,13,52,214
2013/04/16,13,52,210
2013/04/17,13,51,212
2013/04/18,14,51,208
2013/04/19,14,50,206
2013/04/20,14,48,207
2013/04/21,14,47,202
2013/04/22,14,46,207
2013/04/23,12,47,206
2013/04/24,12,47,202
2013/04/25,13,45,195
2013/04/26,13,45,202
2013/04/27,14,47,204
2013/04/28,15,47,204
2013/04/29,14,47,204
2013/04/30,14,46,201
2013/05/01,14,45,197
2013/05/02,14,42,194
2013/05/03,14,43,195
2013/05/04,14,45,191
2013/05/05,14,45,186
2013/05/06,12,47,187
2013/05/07,12,48,187
2013/05/08,12,47,186
2013/05/09,11,50,189
2013/05/10,11,50,185
2013/05/11,12,52,186
2013/05/12,12,52,182
2013/05/13,12,53,192
2013/05/14,11,53,194
2013/05/15,11,51,194
2013/05/16,11,52,196
2013/05/17,11,52,193
2013/05/18,10,52,190
2013/05/19,10,52,193
2013/05/20,11,53,193
2013/05/21,12,54,202
2013/05/22,12,53,200
2013/05/23,12,53,201
2013/05/24,12,51,208
2013/05/25,12,53,211
2013/05/26,12,52,212
2013/05/27,12,53,217
2013/05/28,12,54,214
2013/05/29,12,57,217
2013/05/30,12,61,224
2013/05/31,12,62,221
2013/06/01,12,62,222
2013/06/02,12,62,218
2013/06/03,12,60,218
2013/06/04,12,62,220
2013/06/05,12,62,223
2013/06/06,12,61,223
2013/06/07,11,64,223
2013/06/08,10,64,219
2013/06/09,9,63,221
2013/06/10,11,64,216
2013/06/11,9,63,222
2013/06/12,9,64,215
2013/06/13,9,63,213
2013/06/14,8,63,214
2013/06/15,8,62,212
2013/06/16,9,65,216
2013/06/17,10,65,217
2013/06/18,10,61,219
2013/06/19,10,59,217
2013/06/20,11,59,211
2013/06/21,11,59,209
2013/06/22,11,56,204
2013/06/23,11,52,204
2013/06/24,11,52,202
2013/06/25,11,52,197
2013/06/26,11,51,197
2013/06/27,11,49,194
2013/06/28,11,49,194
2013/06/29,11,50,190
2013/06/30,11,49,190
2013/07/01,11,48,191
2013/07/02,11,48,195
2013/07/03,10,48,192
2013/07/04,10,48,195
2013/07/05,10,47,194
2013/07/06,10,46,187
2013/07/07,10,46,182
2013/07/08,10,45,181
2013/07/09,10,44,185
2013/07/10,10,45,185
2013/07/11,10,43,180
2013/07/12,10,47,181
2013/07/13,10,47,190
2013/07/14,10,48,190
2013/07/15,9,51,188
2013/07/16,10,48,185
2013/07/17,10,48,183
2013/07/18,9,49,183
2013/07/19,9,50,182
2013/07/20,9,48,185
2013/07/21,10,48,189
2013/07/22,11,50,189
2013/07/23,11,51,185
2013/07/24,12,52,183
2013/07/25,12,51,188
2013/07/26,11,51,185
2013/07/27,11,51,186
2013/07/28,11,50,188
2013/07/29,11,50,187
2013/07/30,10,52,186
2013/07/31,11,48,183
2013/08/01,12,48,178
2013/08/02,13,50,179
2013/08/03,12,49,177
2013/08/04,12,50,181
2013/08/05,12,52,181
2013/08/06,11,51,181
2013/08/07,11,50,184
2013/08/08,10,52,180
2013/08/09,10,51,176
2013/08/10,10,51,178
2013/08/11,10,50,179
2013/08/12,9,48,176
2013/08/13,10,48,175
2013/08/14,10,47,174
2013/08/15,10,45,174
2013/08/16,10,45,173
2013/08/17,11,44,170
2013/08/18,11,45,171
2013/08/19,11,45,169
2013/08/20,11,46,163
2013/08/21,11,44,165
2013/08/22,11,43,162
2013/08/23,10,42,161
2013/08/24,11,41,157
2013/08/25,11,41,158
2013/08/26,11,40,158
2013/08/27,11,38,155
2013/08/28,11,38,158
2013/08/29,10,39,165
2013/08/30,9,39,167
2013/08/31,9,40,169
2013/09/01,9,38,165
2013/09/02,9,38,165
2013/09/03,9,36,162
2013/09/04,10,36,162
2013/09/05,9,37,164
2013/09/06,9,36,166
2013/09/07,9,36,163
2013/09/08,9,35,163
2013/09/09,9,35,161
2013/09/10,9,36,159
2013/09/11,10,36,160
2013/09/12,10,38,164
2013/09/13,10,39,165
2013/09/14,10,40,161
2013/09/15,9,42,169
2013/09/16,9,43,174
2013/09/17,9,44,176
2013/09/18,7,45,179
2013/09/19,7,47,182
2013/09/20,7,49,185
2013/09/21,7,50,187
2013/09/22,8,53,190
2013/09/23,8,50,191
2013/09/24,11,52,192
2013/09/25,11,54,190
2013/09/26,11,56,191
2013/09/27,11,56,187
2013/09/28,11,52,184
2013/09/29,11,51,183
2013/09/30,12,52,182
2013/10/01,12,52,179
2013/10/02,14,53,179
2013/10/03,13,56,176
2013/10/04,13,57,172
2013/10/05,14,58,174
2013/10/06,14,58,173
2013/10/07,15,58,180
2013/10/08,15,61,182
2013/10/09,17,59,185
2013/10/10,17,62,191
2013/10/11,17,63,190
2013/10/12,17,65,193
2013/10/13,17,65,194
2013/10/14,15,64,197
2013/10/15,15,63,194
2013/10/16,15,65,192
2013/10/17,16,65,194
2013/10/18,15,65,193
2013/10/19,14,65,198
2013/10/20,15,63,199
2013/10/21,15,66,203
2013/10/22,14,61,203
2013/10/23,14,62,201
2013/10/24,13,60,196
2013/10/25,13,61,196
2013/10/26,12,59,197
2013/10/27,12,60,201
2013/10/28,12,60,196
2013/10/29,14,62,199
2013/10/30,14,62,199
2013/10/31,13,61,198
2013/11/01,11,60,197
2013/11/02,11,61,200
2013/11/03,11,60,198
2013/11/04,11,61,201
2013/11/05,11,62,202
2013/11/06,11,61,199
2013/11/07,11,61,204
2013/11/08,11,60,208
2013/11/09,11,57,206
2013/11/10,11,57,205
2013/11/11,12,55,203
2013/11/12,12,50,202
2013/11/13,12,49,204
2013/11/14,12,50,207
2013/11/15,11,48,208
2013/11/16,11,47,204
2013/11/17,11,45,204
2013/11/18,11,44,197
2013/11/19,11,43,193
2013/11/20,11,42,195
2013/11/21,11,42,191
2013/11/22,11,41,192
2013/11/23,11,42,191
2013/11/24,11,42,196
2013/11/25,11,45,195
2013/11/26,11,45,193
2013/11/27,11,48,198
2013/11/28,11,48,199
2013/11/29,11,48,197
2013/11/30,11,48,203
2013/12/01,11,50,203
2013/12/02,11,52,209
2013/12/03,11,56,211
2013/12/04,11,58,210
2013/12/05,11,58,212
2013/12/06,11,58,213
2013/12/07,11,60,210
2013/12/08,11,62,208
2013/12/09,11,64,208
2013/12/10,12,66,211
2013/12/11,12,67,214
2013/12/12,14,66,215
2013/12/13,13,64,211
2013/12/14,14,64,208
2013/12/15,14,65,210
2013/12/16,13,66,218
2013/12/17,13,66,216
2013/12/18,11,67,220
2013/12/19,11,67,219
2013/12/20,12,69,214
2013/12/21,12,69,215
2013/12/22,13,68,216
2013/12/23,13,67,217
2013/12/24,13,66,211
2013/12/25,13,65,207
2013/12/26,13,66,208
2013/12/27,13,66,209
2013/12/28,13,67,206
2013/12/29,13,65,201
2013/12/30,13,64,200
2013/12/31,13,63,197
2014/01/01,13,60,197
2014/01/02,13,58,200
2014/01/03,13,57,199
2014/01/04,13,57,195
2014/01/05,13,57,191
2014/01/06,13,58,191
2014/01/07,13,56,186
2014/01/08,12,56,186
2014/01/09,13,54,182
2014/01/10,12,55,180
2014/01/11,12,55,177
2014/01/12,12,55,178
2014/01/13,12,52,182
2014/01/14,12,50,185
2014/01/15,12,50,183
2014/01/16,12,51,188
2014/01/17,12,51,185
2014/01/18,12,52,189
2014/01/19,12,51,192
2014/01/20,12,55,196
2014/01/21,11,54,196
2014/01/22,11,53,194
2014/01/23,12,55,196
2014/01/24,12,54,197
2014/01/25,13,53,199
2014/01/26,12,54,197
2014/01/27,12,52,196
2014/01/28,13,53,198
2014/01/29,13,57,206
2014/01/30,14,58,205
2014/01/31,14,59,206
2014/02/01,14,59,213
2014/02/02,13,60,213
2014/02/03,14,58,213
2014/02/04,14,61,215
2014/02/05,14,66,221
2014/02/06,14,67,228
2014/02/07,14,64,229
2014/02/08,13,63,232
2014/02/09,13,61,229
2014/02/10,13,62,234
2014/02/11,13,62,236
2014/02/12,13,64,238
2014/02/13,13,65,237
2014/02/14,12,65,234
2014/02/15,12,62,228
2014/02/16,12,61,232
2014/02/17,11,61,232
2014/02/18,13,64,236
2014/02/19,13,64,239
2014/02/20,13,65,238
2014/02/21,13,65,241
2014/02/22,13,64,238
2014/02/23,12,64,238
2014/02/24,12,60,236
2014/02/25,12,62,246
2014/02/26,11,63,250
2014/02/27,11,63,247
2014/02/28,11,66,245
2014/03/01,11,65,243
2014/03/02,11,66,243
2014/03/03,12,68,244
2014/03/04,12,69,247
2014/03/05,13,69,250
2014/03/06,13,70,253
2014/03/07,13,73,255
2014/03/08,14,73,252
2014/03/09,14,72,251
2014/03/10,14,69,246
2014/03/11,15,69,247
2014/03/12,15,69,242
2014/03/13,14,70,238
2014/03/14,14,70,238
2014/03/15,14,69,233
2014/03/16,14,69,235
2014/03/17,14,70,234
2014/03/18,14,70,234
2014/03/19,14,71,230
2014/03/20,14,70,219
2014/03/21,14,71,214
2014/03/22,13,73,216
2014/03/23,13,72,217
2014/03/24,13,72,221
2014/03/25,13,72,220
2014/03/26,13,72,228
2014/03/27,12,71,222
2014/03/28,12,69,223
2014/03/29,12,68,217
2014/03/30,12,67,212
2014/03/31,12,67,219
2014/04/01,12,65,217
2014/04/02,12,61,215
2014/04/03,12,59,215
2014/04/04,12,58,220
2014/04/05,12,55,219
2014/04/06,12,52,219
2014/04/07,12,52,219
2014/04/08,13,54,226
2014/04/09,12,54,233
2014/04/10,12,56,239
2014/04/11,13,59,236
2014/04/12,13,58,235
2014/04/13,13,58,232
2014/04/14,13,59,234
2014/04/15,13,61,234
2014/04/16,13,64,235
2014/04/17,13,63,235
2014/04/18,13,63,238
2014/04/19,13,68,249
2014/04/20,13,67,251
2014/04/21,13,68,253
2014/04/22,13,67,254
2014/04/23,14,67,250
2014/04/24,14,66,251
2014/04/25,14,66,240
2014/04/26,14,67,247
2014/04/27,14,68,242
2014/04/28,14,71,251
2014/04/29,14,74,259
2014/04/30,15,76,258
2014/05/01,15,75,258
2014/05/02,15,79,266
2014/05/03,15,77,268
2014/05/04,15,78,266
2014/05/05,15,78,269
2014/05/06,15,77,270
2014/05/07,14,75,273
2014/05/08,14,72,264
2014/05/09,14,71,254
2014/05/10,14,70,259
2014/05/11,13,71,262
2014/05/12,13,71,260
2014/05/13,13,71,264
2014/05/14,12,72,266
2014/05/15,12,69,265
2014/05/16,12,68,267
2014/05/17,12,67,261
2014/05/18,12,69,267
2014/05/19,12,65,258
2014/05/20,12,65,258
2014/05/21,12,63,249
2014/05/22,12,65,248
2014/05/23,12,66,247
2014/05/24,12,64,247
2014/05/25,12,64,246
2014/05/26,12,66,242
2014/05/27,12,69,240
2014/05/28,11,68,232
2014/05/29,12,65,232
2014/05/30,12,64,228
2014/05/31,11,64,225
2014/06/01,12,62,226
2014/06/02,12,65,228
2014/06/03,12,60,231
2014/06/04,12,59,228
2014/06/05,12,59,225
2014/06/06,12,59,224
2014/06/07,13,59,222
2014/06/08,13,59,224
2014/06/09,14,57,214
2014/06/10,14,56,218
2014/06/11,14,56,216
2014/06/12,14,56,215
2014/06/13,14,55,216
2014/06/14,14,55,213
2014/06/15,14,58,214
2014/06/16,14,57,217
2014/06/17,14,54,211
2014/06/18,13,53,208
2014/06/19,13,53,204
2014/06/20,13,52,204
2014/06/21,13,51,205
2014/06/22,13,51,207
2014/06/23,14,51,205
2014/06/24,13,52,205
2014/06/25,13,52,208
2014/06/26,13,53,208
2014/06/27,13,51,211
2014/06/28,14,51,210
2014/06/29,14,52,211
2014/06/30,13,57,215
2014/07/01,13,57,211
2014/07/02,15,55,212
2014/07/03,14,55,217
2014/07/04,14,57,217
2014/07/05,14,58,217
2014/07/06,14,57,210
2014/07/07,15,57,211
2014/07/08,13,58,211
2014/07/09,13,58,210
2014/07/10,13,58,203
2014/07/11,13,56,202
2014/07/12,13,56,201
2014/07/13,12,54,199
2014/07/14,12,55,202
2014/07/15,13,56,200
2014/07/16,12,55,204
2014/07/17,12,58,202
2014/07/18,12,58,201
2014/07/19,13,58,202
2014/07/20,13,59,203
2014/07/21,13,58,203
2014/07/22,13,55,201
2014/07/23,13,55,204
2014/07/24,13,55,202
2014/07/25,12,53,207
2014/07/26,12,53,207
2014/07/27,13,51,209
2014/07/28,13,50,209
2014/07/29,12,52,213
2014/07/30,12,50,213
2014/07/31,12,50,217
2014/08/01,12,51,217
2014/08/02,12,53,207
2014/08/03,12,50,212
2014/08/04,12,47,211
2014/08/05,13,51,213
2014/08/06,13,48,208
2014/08/07,12,47,209
2014/08/08,12,48,211
2014/08/09,12,47,209
2014/08/10,12,47,203
2014/08/11,12,46,202
2014/08/12,12,47,208
2014/08/13,12,47,210
2014/08/14,11,45,203
2014/08/15,11,46,206
2014/08/16,11,44,210
2014/08/17,11,42,215
2014/08/18,10,44,217
2014/08/19,10,44,221
2014/08/20,10,43,220
2014/08/21,10,45,221
2014/08/22,10,44,217
2014/08/23,9,44,219
2014/08/24,9,47,218
2014/08/25,9,46,216
2014/08/26,10,47,216
2014/08/27,11,49,216
2014/08/28,10,49,214
2014/08/29,11,48,212
2014/08/30,11,47,213
2014/08/31,10,49,215
2014/09/01,10,50,219
2014/09/02,10,49,219
2014/09/03,10,51,219
2014/09/04,11,51,219
2014/09/05,11,51,221
2014/09/06,11,51,217
2014/09/07,12,49,214
2014/09/08,13,49,218
2014/09/09,13,50,223
2014/09/10,14,53,224
2014/09/11,13,54,224
2014/09/12,13,54,220
2014/09/13,13,55,221
2014/09/14,12,54,218
2014/09/15,12,55,222
2014/09/16,13,55,218
2014/09/17,13,56,219
2014/09/18,14,55,212
2014/09/19,14,54,211
2014/09/20,14,52,209
2014/09/21,15,52,213
2014/09/22,16,52,209
2014/09/23,15,50,207
2014/09/24,15,51,207
2014/09/25,15,50,206
2014/09/26,15,50,203
2014/09/27,15,50,199
2014/09/28,15,50,196
2014/09/29,14,49,195
2014/09/30,14,45,186
2014/10/01,14,44,189
2014/10/02,14,40,191
2014/10/03,14,38,191
2014/10/04,15,38,192
2014/10/05,13,37,193
2014/10/06,13,37,200
2014/10/07,12,37,198
2014/10/08,12,35,198
2014/10/09,12,34,198
2014/10/10,12,32,196
2014/10/11,12,32,200
2014/10/12,12,33,199
2014/10/13,12,34,206
2014/10/14,12,34,205
2014/10/15,12,34,200
2014/10/16,12,35,202
2014/10/17,12,36,204
2014/10/18,12,37,206
2014/10/19,12,37,208
2014/10/20,12,39,207
2014/10/21,12,42,204
2014/10/22,12,41,206
2014/10/23,12,41,205
2014/10/24,13,40,204
2014/10/25,13,41,203
2014/10/26,13,41,202
2014/10/27,14,42,201
2014/10/28,14,44,204
2014/10/29,14,44,202
2014/10/30,14,45,200
2014/10/31,14,46,198
2014/11/01,14,47,194
2014/11/02,14,47,197
2014/11/03,14,50,194
2014/11/04,14,49,192
2014/11/05,14,49,187
2014/11/06,14,50,192
2014/11/07,14,50,195
2014/11/08,14,50,196
2014/11/09,14,50,196
2014/11/10,14,54,197
2014/11/11,14,55,200
2014/11/12,14,55,195
2014/11/13,15,57,198
2014/11/14,15,57,200
2014/11/15,15,56,196
2014/11/16,15,55,192
2014/11/17,15,54,197
2014/11/18,16,55,193
2014/11/19,16,54,199
2014/11/20,16,52,198
2014/11/21,16,55,198
2014/11/22,15,54,199
2014/11/23,15,56,203
2014/11/24,15,57,206
2014/11/25,15,56,211
2014/11/26,14,57,212
2014/11/27,15,56,210
2014/11/28,15,56,211
2014/11/29,14,57,216
2014/11/30,15,58,216
2014/12/01,14,58,217
2014/12/02,15,58,214
2014/12/03,15,58,219
2014/12/04,15,61,221
2014/12/05,15,60,222
2014/12/06,15,59,220
2014/12/07,15,58,216
2014/12/08,15,59,222
2014/12/09,14,60,225
2014/12/10,14,61,228
2014/12/11,14,61,228
2014/12/12,13,60,231
2014/12/13,14,59,231
2014/12/14,14,60,233
2014/12/15,14,61,237
2014/12/16,13,61,233
2014/12/17,13,62,226
2014/12/18,13,62,226
2014/12/19,13,60,226
2014/12/20,13,59,227
2014/12/21,13,58,226
2014/12/22,13,58,231
2014/12/23,13,56,229
2014/12/24,13,56,229
2014/12/25,12,57,224
2014/12/26,11,56,230
2014/12/27,11,54,229
2014/12/28,11,55,238
2014/12/29,11,56,233
2014/12/30,13,57,236
2014/12/31,12,58,233
2015/01/01,12,59,229
2015/01/02,12,59,227
2015/01/03,12,57,223
2015/01/04,10,58,225
2015/01/05,10,58,231
2015/01/06,11,57,231
2015/01/07,12,57,228
2015/01/08,13,58,225
2015/01/09,13,56,222
2015/01/10,12,56,226
2015/01/11,12,57,227
2015/01/12,12,57,224
2015/01/13,11,56,223
2015/01/14,11,56,226
2015/01/15,11,59,229
2015/01/16,11,60,226
2015/01/17,11,59,227
2015/01/18,11,60,223
2015/01/19,12,63,229
2015/01/20,11,66,228
2015/01/21,11,68,229
2015/01/22,11,66,229
2015/01/23,11,68,231
2015/01/24,11,68,232
2015/01/25,11,68,225
2015/01/26,11,68,222
2015/01/27,11,68,219
2015/01/28,11,65,216
2015/01/29,11,66,222
2015/01/30,11,66,222
2015/01/31,12,62,225
2015/02/01,12,62,231
2015/02/02,12,64,238
2015/02/03,12,64,238
2015/02/04,12,67,240
2015/02/05,12,67,249
2015/02/06,12,66,246
2015/02/07,12,66,248
2015/02/08,12,68,246
2015/02/09,12,68,250
2015/02/10,13,69,253
2015/02/11,13,67,254
2015/02/12,14,67,255
2015/02/13,14,68,253
2015/02/14,14,71,257
2015/02/15,13,69,257
2015/02/16,13,72,258
2015/02/17,13,72,264
2015/02/18,13,68,262
2015/02/19,13,67,258
2015/02/20,14,66,258
2015/02/21,15,64,257
2015/02/22,14,62,256
2015/02/23,14,66,264
2015/02/24,14,67,264
2015/02/25,14,69,264
2015/02/26,14,69,269
2015/02/27,14,68,270
2015/02/28,14,68,263
2015/03/01,14,67,262
2015/03/02,14,68,262
2015/03/03,14,68,268
2015/03/04,14,67,257
2015/03/05,14,67,254
2015/03/06,14,67,250
2015/03/07,14,65,246
2015/03/08,14,67,247
2015/03/09,13,67,244
2015/03/10,13,66,235
2015/03/11,12,64,230
2015/03/12,11,63,228
2015/03/13,11,64,231
2015/03/14,11,60,229
2015/03/15,11,59,228
2015/03/16,11,61,223
2015/03/17,11,59,225
2015/03/18,11,59,226
2015/03/19,11,59,220
2015/03/20,11,59,219
2015/03/21,12,57,221
2015/03/22,12,55,224
2015/03/23,12,55,226
2015/03/24,12,53,223
2015/03/25,13,50,219
2015/03/26,13,51,224
2015/03/27,12,49,220
2015/03/28,12,47,219
2015/03/29,12,50,219
2015/03/30,12,52,218
2015/03/31,12,55,218
2015/04/01,11,57,217
2015/04/02,11,57,216
2015/04/03,11,59,220
2015/04/04,10,60,218
2015/04/05,12,57,220
2015/04/06,12,59,219
2015/04/07,12,59,216
2015/04/08,13,59,217
2015/04/09,13,59,218
2015/04/10,12,59,214
2015/04/11,13,58,216
2015/04/12,13,56,217
2015/04/13,14,55,212
2015/04/14,15,57,210
2015/04/15,15,58,214
2015/04/16,15,57,215
2015/04/17,15,57,212
2015/04/18,14,58,213
2015/04/19,14,57,215
2015/04/20,13,58,216
2015/04/21,13,59,216
2015/04/22,14,60,215
2015/04/23,14,59,214
2015/04/24,14,59,213
2015/04/25,14,59,219
2015/04/26,14,57,223
2015/04/27,15,58,222
2015/04/28,14,56,222
2015/04/29,15,56,223
2015/04/30,15,54,219
2015/05/01,14,53,218
2015/05/02,15,52,218
2015/05/03,15,51,217
2015/05/04,15,56,221
2015/05/05,14,57,221
2015/05/06,14,57,222
2015/05/07,13,59,223
2015/05/08,12,62,232
2015/05/09,12,63,231
2015/05/10,12,60,233
2015/05/11,12,60,233
2015/05/12,13,61,234
2015/05/13,12,61,233
2015/05/14,11,63,236
2015/05/15,11,61,228
2015/05/16,11,61,227
2015/05/17,11,62,227
2015/05/18,12,64,228
2015/05/19,12,65,227
2015/05/20,14,67,226
2015/05/21,14,68,223
2015/05/22,14,68,220
2015/05/23,14,68,219
2015/05/24,14,67,218
2015/05/25,14,66,214
2015/05/26,14,67,212
2015/05/27,13,66,213
2015/05/28,14,66,213
2015/05/29,14,67,214
2015/05/30,14,67,213
2015/05/31,14,67,215
2015/06/01,14,68,225
2015/06/02,14,67,226
2015/06/03,14,62,219
2015/06/04,14,62,217
2015/06/05,13,61,215
2015/06/06,13,63,219
2015/06/07,13,60,213
2015/06/08,13,57,215
2015/06/09,15,60,213
2015/06/10,15,62,218
2015/06/11,15,60,218
2015/06/12,14,62,218
2015/06/13,14,60,218
2015/06/14,14,60,220
2015/06/15,15,60,213
2015/06/16,14,61,218
2015/06/17,13,58,216
2015/06/18,13,56,213
2015/06/19,14,52,207
2015/06/20,14,53,212
2015/06/21,14,54,215
2015/06/22,14,54,216
2015/06/23,14,54,222
2015/06/24,14,57,217
2015/06/25,14,57,221
2015/06/26,14,58,218
2015/06/27,14,58,223
2015/06/28,14,57,223
2015/06/29,14,57,228
2015/06/30,14,53,224
2015/07/01,15,53,215
2015/07/02,14,53,216
2015/07/03,14,55,220
2015/07/04,14,55,221
2015/07/05,15,53,217
2015/07/06,15,53,220
2015/07/07,15,53,218
2015/07/08,14,54,218
2015/07/09,11,54,218
2015/07/10,11,52,213
2015/07/11,12,54,213
2015/07/12,11,52,217
2015/07/13,11,51,222
2015/07/14,12,55,223
2015/07/15,12,56,225
2015/07/16,12,55,223
2015/07/17,12,55,222
2015/07/18,13,55,223
2015/07/19,13,54,221
2015/07/20,13,57,221
2015/07/21,13,58,222
2015/07/22,12,58,226
2015/07/23,12,59,221
2015/07/24,13,58,224
2015/07/25,12,57,220
2015/07/26,12,57,223
