date,lnwiki (100+),lnwiki (5+),lnwiki (all)
2012/12/11,2,21,35
2012/12/12,2,20,35
2012/12/13,2,20,36
2012/12/14,2,19,36
2012/12/15,3,20,37
2012/12/16,3,20,38
2012/12/17,3,20,40
2012/12/18,3,20,40
2012/12/19,3,20,40
2012/12/20,3,20,40
2012/12/21,3,20,38
2012/12/22,3,20,38
2012/12/23,3,20,38
2012/12/24,3,20,39
2012/12/25,3,20,38
2012/12/26,3,19,37
2012/12/27,3,17,37
2012/12/28,4,18,37
2012/12/29,4,19,36
2012/12/30,4,19,37
2012/12/31,4,19,38
2013/01/01,4,19,38
2013/01/02,4,19,39
2013/01/03,4,19,39
2013/01/04,4,19,38
2013/01/05,4,18,39
2013/01/06,4,17,38
2013/01/07,4,17,40
2013/01/08,4,17,38
2013/01/09,3,17,40
2013/01/10,3,17,41
2013/01/11,3,17,41
2013/01/12,2,18,41
2013/01/13,2,18,43
2013/01/14,2,20,41
2013/01/15,3,19,39
2013/01/16,3,19,38
2013/01/17,3,20,39
2013/01/18,3,19,39
2013/01/19,3,19,39
2013/01/20,3,19,39
2013/01/21,3,19,38
2013/01/22,3,19,38
2013/01/23,3,19,38
2013/01/24,3,19,38
2013/01/25,3,19,38
2013/01/26,3,20,39
2013/01/27,3,20,39
2013/01/28,3,20,39
2013/01/29,3,21,37
2013/01/30,3,20,37
2013/01/31,3,20,37
2013/02/01,3,20,35
2013/02/02,3,20,33
2013/02/03,3,21,33
2013/02/04,3,21,33
2013/02/05,3,21,33
2013/02/06,3,19,33
2013/02/07,3,19,33
2013/02/08,3,20,32
2013/02/09,3,19,34
2013/02/10,3,20,34
2013/02/11,3,19,34
2013/02/12,3,19,34
2013/02/13,3,16,36
2013/02/14,3,17,35
2013/02/15,3,17,36
2013/02/16,2,16,37
2013/02/17,2,15,38
2013/02/18,3,13,37
2013/02/19,2,14,37
2013/02/20,2,14,36
2013/02/21,2,15,35
2013/02/22,2,15,35
2013/02/23,2,15,35
2013/02/24,2,15,35
2013/02/25,2,15,34
2013/02/26,2,15,34
2013/02/27,2,15,35
2013/02/28,2,15,35
2013/03/01,2,15,35
2013/03/02,2,14,35
2013/03/03,2,13,33
2013/03/04,2,12,35
2013/03/05,2,13,35
2013/03/06,2,12,35
2013/03/07,2,14,36
2013/03/08,3,15,37
2013/03/09,3,15,36
2013/03/10,3,15,35
2013/03/11,3,16,33
2013/03/12,4,15,34
2013/03/13,3,15,33
2013/03/14,3,15,32
2013/03/15,3,15,29
2013/03/16,3,15,28
2013/03/17,3,13,27
2013/03/18,3,13,26
2013/03/19,3,12,26
2013/03/20,3,12,26
2013/03/21,3,12,26
2013/03/22,3,12,26
2013/03/23,3,12,26
2013/03/24,3,12,26
2013/03/25,2,12,27
2013/03/26,2,12,27
2013/03/27,2,12,26
2013/03/28,2,12,25
2013/03/29,2,12,24
2013/03/30,2,12,23
2013/03/31,2,11,23
2013/04/01,2,11,24
2013/04/02,2,11,24
2013/04/03,2,9,22
2013/04/04,2,8,22
2013/04/05,2,7,20
2013/04/06,2,6,16
2013/04/07,2,5,16
2013/04/08,2,5,17
2013/04/09,1,5,17
2013/04/10,1,5,17
2013/04/11,,5,16
2013/04/12,,5,16
2013/04/13,,5,17
2013/04/14,,5,17
2013/04/15,,4,17
2013/04/16,,4,17
2013/04/17,,4,18
2013/04/18,,3,16
2013/04/19,,3,16
2013/04/20,,3,16
2013/04/21,,3,16
2013/04/22,,3,15
2013/04/23,,3,15
2013/04/24,,2,15
2013/04/25,,2,16
2013/04/26,,3,17
2013/04/27,,3,17
2013/04/28,,3,17
2013/04/29,,3,16
2013/04/30,,4,15
2013/05/01,,3,14
2013/05/02,,3,15
2013/05/03,,2,14
2013/05/04,,3,14
2013/05/05,,4,14
2013/05/06,,4,13
2013/05/07,,4,13
2013/05/08,,4,11
2013/05/09,,4,11
2013/05/10,,4,11
2013/05/11,,5,12
2013/05/12,,5,11
2013/05/13,,5,10
2013/05/14,,5,10
2013/05/15,,5,10
2013/05/16,,5,10
2013/05/17,,5,10
2013/05/18,,5,10
2013/05/19,,5,9
2013/05/20,,5,9
2013/05/21,,5,10
2013/05/22,,5,11
2013/05/23,,5,11
2013/05/24,,5,11
2013/05/25,,5,9
2013/05/26,,4,8
2013/05/27,,4,8
2013/05/28,,4,8
2013/05/29,,4,8
2013/05/30,,4,8
2013/05/31,,4,9
2013/06/01,,4,9
2013/06/02,,4,9
2013/06/03,,4,8
2013/06/04,,3,8
2013/06/05,,2,8
2013/06/06,,2,8
2013/06/07,,2,8
2013/06/08,,2,8
2013/06/09,,2,8
2013/06/10,,2,7
2013/06/11,,2,7
2013/06/12,,2,8
2013/06/13,,2,8
2013/06/14,,2,8
2013/06/15,,2,9
2013/06/16,,2,10
2013/06/17,,2,10
2013/06/18,,2,11
2013/06/19,,2,12
2013/06/20,,1,11
2013/06/21,,1,9
2013/06/22,,1,9
2013/06/23,,1,9
2013/06/24,,1,9
2013/06/25,,1,9
2013/06/26,,1,9
2013/06/27,,1,9
2013/06/28,,1,9
2013/06/29,,1,9
2013/06/30,,1,8
2013/07/01,,1,8
2013/07/02,,1,8
2013/07/03,,1,10
2013/07/04,,1,11
2013/07/05,,1,11
2013/07/06,,1,11
2013/07/07,,1,11
2013/07/08,,1,10
2013/07/09,,1,10
2013/07/10,,,9
2013/07/11,,,9
2013/07/12,,,8
2013/07/13,,,8
2013/07/14,,,8
2013/07/15,,,8
2013/07/16,,,7
2013/07/17,,,8
2013/07/18,,,7
2013/07/19,,,6
2013/07/20,,,6
2013/07/21,,,6
2013/07/22,,,6
2013/07/23,,,6
2013/07/24,,,6
2013/07/25,,,8
2013/07/26,,,8
2013/07/27,,,8
2013/07/28,,,8
2013/07/29,,,8
2013/07/30,,,9
2013/07/31,,,9
2013/08/01,,,7
2013/08/02,,1,5
2013/08/03,,1,5
2013/08/04,,1,6
2013/08/05,,1,6
2013/08/06,,1,6
2013/08/07,,1,6
2013/08/08,,1,6
2013/08/09,,1,6
2013/08/10,,1,6
2013/08/11,,1,7
2013/08/12,,1,7
2013/08/13,,1,7
2013/08/14,,1,7
2013/08/15,,1,7
2013/08/16,,1,6
2013/08/17,,2,6
2013/08/18,,2,6
2013/08/19,,2,7
2013/08/20,,2,7
2013/08/21,,2,7
2013/08/22,,2,8
2013/08/23,,2,8
2013/08/24,,2,7
2013/08/25,,2,8
2013/08/26,,2,8
2013/08/27,,2,8
2013/08/28,,2,8
2013/08/29,,3,8
2013/08/30,,2,7
2013/08/31,,2,7
2013/09/01,,2,7
2013/09/02,,2,7
2013/09/03,,2,6
2013/09/04,,2,6
2013/09/05,,2,6
2013/09/06,,2,6
2013/09/07,,2,6
2013/09/08,,1,6
2013/09/09,,1,5
2013/09/10,,1,4
2013/09/11,,1,4
2013/09/12,,2,4
2013/09/13,,2,4
2013/09/14,,2,4
2013/09/15,,2,4
2013/09/16,,1,4
2013/09/17,,1,4
2013/09/18,,,4
2013/09/19,,,4
2013/09/20,,,4
2013/09/21,,,4
2013/09/22,,,4
2013/09/23,,,4
2013/09/24,,,3
2013/09/25,,,3
2013/09/26,,,3
2013/09/27,,,3
2013/09/28,,,3
2013/09/29,,,3
2013/09/30,,1,4
2013/10/01,,1,4
2013/10/02,,1,4
2013/10/03,,1,5
2013/10/04,,1,5
2013/10/05,,1,5
2013/10/06,,1,5
2013/10/07,,2,5
2013/10/08,,2,5
2013/10/09,,2,5
2013/10/10,,2,6
2013/10/11,,2,6
2013/10/12,,2,6
2013/10/13,,2,7
2013/10/14,,2,7
2013/10/15,,2,7
2013/10/16,,2,7
2013/10/17,,2,7
2013/10/18,,2,8
2013/10/19,,2,8
2013/10/20,,2,8
2013/10/21,,2,10
2013/10/22,,2,11
2013/10/23,,2,11
2013/10/24,,2,11
2013/10/25,,2,11
2013/10/26,,2,11
2013/10/27,,2,11
2013/10/28,,2,11
2013/10/29,,2,11
2013/10/30,,1,11
2013/10/31,,1,11
2013/11/01,,1,12
2013/11/02,,1,11
2013/11/03,,1,11
2013/11/04,,1,11
2013/11/05,,1,11
2013/11/06,,,10
2013/11/07,,,10
2013/11/08,,,10
2013/11/09,,,10
2013/11/10,,,10
2013/11/11,,,8
2013/11/12,,,8
2013/11/13,,,7
2013/11/14,,,7
2013/11/15,,,8
2013/11/16,,,8
2013/11/17,,1,8
2013/11/18,,1,9
2013/11/19,,1,10
2013/11/20,,1,10
2013/11/21,,1,9
2013/11/22,,1,9
2013/11/23,,1,9
2013/11/24,,1,9
2013/11/25,,2,11
2013/11/26,,2,11
2013/11/27,,2,12
2013/11/28,,2,12
2013/11/29,,2,11
2013/11/30,,3,12
2013/12/01,,3,12
2013/12/02,,3,12
2013/12/03,,3,13
2013/12/04,,3,13
2013/12/05,,3,13
2013/12/06,,3,13
2013/12/07,,3,13
2013/12/08,,3,12
2013/12/09,,3,13
2013/12/10,,4,13
2013/12/11,,4,13
2013/12/12,,4,13
2013/12/13,,4,14
2013/12/14,,4,14
2013/12/15,,3,14
2013/12/16,,3,14
2013/12/17,,3,14
2013/12/18,,3,13
2013/12/19,,2,11
2013/12/20,,2,10
2013/12/21,,2,10
2013/12/22,,2,10
2013/12/23,,2,10
2013/12/24,,2,10
2013/12/25,,1,8
2013/12/26,,1,9
2013/12/27,,1,8
2013/12/28,,2,8
2013/12/29,,2,8
2013/12/30,,1,8
2013/12/31,,1,8
2014/01/01,,1,9
2014/01/02,,1,8
2014/01/03,,1,8
2014/01/04,,1,8
2014/01/05,,1,8
2014/01/06,,1,8
2014/01/07,,1,8
2014/01/08,,1,7
2014/01/09,,1,7
2014/01/10,,1,7
2014/01/11,,1,7
2014/01/12,,1,6
2014/01/13,,1,6
2014/01/14,,1,6
2014/01/15,,1,6
2014/01/16,,1,7
2014/01/17,,1,7
2014/01/18,,2,8
2014/01/19,,2,8
2014/01/20,,2,8
2014/01/21,,2,8
2014/01/22,,2,8
2014/01/23,,2,9
2014/01/24,,2,9
2014/01/25,,2,8
2014/01/26,,2,8
2014/01/27,,2,8
2014/01/28,,2,8
2014/01/29,,1,7
2014/01/30,,1,7
2014/01/31,,1,6
2014/02/01,,1,6
2014/02/02,,1,6
2014/02/03,,1,6
2014/02/04,,1,6
2014/02/05,,1,5
2014/02/06,,1,5
2014/02/07,,1,6
2014/02/08,,1,7
2014/02/09,,1,7
2014/02/10,,1,7
2014/02/11,,1,7
2014/02/12,,1,7
2014/02/13,,1,7
2014/02/14,,1,7
2014/02/15,,1,6
2014/02/16,,1,6
2014/02/17,,1,7
2014/02/18,,1,7
2014/02/19,,1,8
2014/02/20,,1,8
2014/02/21,,1,8
2014/02/22,,1,7
2014/02/23,,1,7
2014/02/24,,2,8
2014/02/25,,2,8
2014/02/26,,2,8
2014/02/27,,2,8
2014/02/28,,2,8
2014/03/01,,2,8
2014/03/02,,2,8
2014/03/03,,2,8
2014/03/04,,2,8
2014/03/05,,2,8
2014/03/06,,2,8
2014/03/07,,2,8
2014/03/08,,2,8
2014/03/09,,2,6
2014/03/10,,2,5
2014/03/11,,2,6
2014/03/12,,2,6
2014/03/13,,2,7
2014/03/14,,2,8
2014/03/15,,2,9
2014/03/16,,2,9
2014/03/17,,2,10
2014/03/18,,2,10
2014/03/19,,1,9
2014/03/20,,2,9
2014/03/21,,2,8
2014/03/22,,2,8
2014/03/23,,2,8
2014/03/24,,2,9
2014/03/25,,2,9
2014/03/26,,2,10
2014/03/27,,1,10
2014/03/28,,1,10
2014/03/29,,1,10
2014/03/30,,1,10
2014/03/31,,1,10
2014/04/01,,1,10
2014/04/02,,1,10
2014/04/03,,1,12
2014/04/04,,1,12
2014/04/05,,1,12
2014/04/06,,1,12
2014/04/07,,1,12
2014/04/08,,1,12
2014/04/09,,1,12
2014/04/10,,1,11
2014/04/11,,1,10
2014/04/12,,1,9
2014/04/13,,1,8
2014/04/14,,1,8
2014/04/15,,1,8
2014/04/16,,1,8
2014/04/17,,1,8
2014/04/18,,1,8
2014/04/19,,,7
2014/04/20,,,7
2014/04/21,,,7
2014/04/22,,,7
2014/04/23,,,6
2014/04/24,,,6
2014/04/25,,,6
2014/04/26,,1,5
2014/04/27,,1,6
2014/04/28,,1,7
2014/04/29,,1,8
2014/04/30,,1,8
2014/05/01,,2,9
2014/05/02,,2,9
2014/05/03,,2,7
2014/05/04,,2,9
2014/05/05,,2,9
2014/05/06,,2,10
2014/05/07,,2,11
2014/05/08,,2,11
2014/05/09,,2,11
2014/05/10,,2,11
2014/05/11,,2,12
2014/05/12,,3,12
2014/05/13,,4,13
2014/05/14,,4,12
2014/05/15,,4,12
2014/05/16,,4,12
2014/05/17,,5,12
2014/05/18,,5,12
2014/05/19,,5,12
2014/05/20,,5,11
2014/05/21,,5,11
2014/05/22,,5,12
2014/05/23,,5,12
2014/05/24,,5,12
2014/05/25,,5,13
2014/05/26,,5,15
2014/05/27,,5,14
2014/05/28,,5,13
2014/05/29,,5,12
2014/05/30,,5,12
2014/05/31,,4,12
2014/06/01,,4,13
2014/06/02,,4,13
2014/06/03,,4,13
2014/06/04,,4,13
2014/06/05,,4,12
2014/06/06,,4,13
2014/06/07,,4,13
2014/06/08,,4,13
2014/06/09,,4,13
2014/06/10,,4,13
2014/06/11,,4,13
2014/06/12,,3,11
2014/06/13,,3,11
2014/06/14,,3,11
2014/06/15,,3,11
2014/06/16,,2,12
2014/06/17,,2,12
2014/06/18,,2,12
2014/06/19,,2,11
2014/06/20,,2,11
2014/06/21,,2,10
2014/06/22,,3,10
2014/06/23,,3,10
2014/06/24,,3,9
2014/06/25,,2,8
2014/06/26,,2,8
2014/06/27,,2,8
2014/06/28,,2,8
2014/06/29,,2,8
2014/06/30,,2,7
2014/07/01,,2,6
2014/07/02,,2,6
2014/07/03,,1,5
2014/07/04,,1,5
2014/07/05,,,5
2014/07/06,,,4
2014/07/07,,,4
2014/07/08,,,3
2014/07/09,,,3
2014/07/10,,,3
2014/07/11,,,2
2014/07/12,,1,3
2014/07/13,,1,3
2014/07/14,,1,3
2014/07/15,,1,3
2014/07/16,,1,2
2014/07/17,,1,3
2014/07/18,,1,3
2014/07/19,,1,3
2014/07/20,,1,3
2014/07/21,,1,3
2014/07/22,,1,2
2014/07/23,,1,2
2014/07/24,,1,3
2014/07/25,,1,3
2014/07/26,,1,3
2014/07/27,,1,3
2014/07/28,,1,4
2014/07/29,,1,4
2014/07/30,,1,4
2014/07/31,,1,5
2014/08/01,,1,5
2014/08/02,,1,5
2014/08/03,,1,5
2014/08/04,,1,5
2014/08/05,,1,6
2014/08/06,,1,7
2014/08/07,,1,7
2014/08/08,,1,7
2014/08/09,,1,7
2014/08/10,,1,7
2014/08/11,,,6
2014/08/12,,,6
2014/08/13,,,7
2014/08/14,,,8
