date,tgwiki (100+),tgwiki (5+),tgwiki (all)
2012/11/24,7,30,58
2012/11/25,7,29,56
2012/11/26,7,30,57
2012/11/27,7,31,61
2012/11/28,7,30,62
2012/11/29,7,30,62
2012/11/30,7,31,64
2012/12/01,7,29,63
2012/12/02,7,26,60
2012/12/03,7,27,58
2012/12/04,7,27,59
2012/12/05,7,27,58
2012/12/06,7,27,61
2012/12/07,7,27,61
2012/12/08,7,27,62
2012/12/09,7,28,61
2012/12/10,7,28,61
2012/12/11,7,28,61
2012/12/12,7,28,61
2012/12/13,8,28,62
2012/12/14,8,28,63
2012/12/15,8,29,63
2012/12/16,8,30,64
2012/12/17,9,30,63
2012/12/18,9,29,63
2012/12/19,9,28,63
2012/12/20,9,28,61
2012/12/21,9,29,59
2012/12/22,9,28,59
2012/12/23,9,28,59
2012/12/24,9,28,59
2012/12/25,9,28,56
2012/12/26,9,28,55
2012/12/27,9,28,54
2012/12/28,9,28,52
2012/12/29,9,28,52
2012/12/30,9,28,52
2012/12/31,9,28,51
2013/01/01,9,28,51
2013/01/02,9,28,52
2013/01/03,9,28,49
2013/01/04,9,29,47
2013/01/05,9,28,46
2013/01/06,8,29,49
2013/01/07,8,29,49
2013/01/08,8,30,48
2013/01/09,9,30,49
2013/01/10,9,30,50
2013/01/11,9,30,50
2013/01/12,8,30,49
2013/01/13,8,29,49
2013/01/14,8,28,49
2013/01/15,8,27,48
2013/01/16,8,28,50
2013/01/17,8,28,51
2013/01/18,7,28,53
2013/01/19,7,28,54
2013/01/20,7,28,55
2013/01/21,7,31,58
2013/01/22,7,31,57
2013/01/23,7,31,58
2013/01/24,7,31,59
2013/01/25,7,32,59
2013/01/26,8,32,61
2013/01/27,8,32,61
2013/01/28,8,32,61
2013/01/29,7,32,61
2013/01/30,7,32,61
2013/01/31,7,31,62
2013/02/01,7,31,65
2013/02/02,7,31,65
2013/02/03,7,31,66
2013/02/04,7,31,67
2013/02/05,7,30,70
2013/02/06,8,30,72
2013/02/07,8,29,72
2013/02/08,8,29,72
2013/02/09,9,29,72
2013/02/10,10,29,72
2013/02/11,10,29,70
2013/02/12,10,29,70
2013/02/13,10,29,72
2013/02/14,10,28,72
2013/02/15,10,28,72
2013/02/16,10,28,73
2013/02/17,10,29,71
2013/02/18,9,28,71
2013/02/19,9,27,70
2013/02/20,9,25,66
2013/02/21,9,24,67
2013/02/22,9,24,66
2013/02/23,9,24,66
2013/02/24,9,24,66
2013/02/25,7,24,63
2013/02/26,7,24,64
2013/02/27,8,24,64
2013/02/28,7,23,61
2013/03/01,7,23,61
2013/03/02,7,25,60
2013/03/03,8,24,58
2013/03/04,8,25,60
2013/03/05,8,25,61
2013/03/06,8,26,61
2013/03/07,8,25,60
2013/03/08,9,25,59
2013/03/09,9,25,61
2013/03/10,8,25,60
2013/03/11,8,25,58
2013/03/12,9,26,59
2013/03/13,9,25,63
2013/03/14,9,26,62
2013/03/15,9,26,61
2013/03/16,9,24,60
2013/03/17,9,24,61
2013/03/18,9,24,59
2013/03/19,10,24,59
2013/03/20,9,23,59
2013/03/21,9,24,59
2013/03/22,9,24,59
2013/03/23,8,25,58
2013/03/24,7,25,57
2013/03/25,6,25,57
2013/03/26,6,25,56
2013/03/27,6,24,56
2013/03/28,6,23,55
2013/03/29,6,23,54
2013/03/30,4,22,53
2013/03/31,4,22,53
2013/04/01,4,20,53
2013/04/02,4,20,52
2013/04/03,4,16,49
2013/04/04,3,16,44
2013/04/05,3,15,43
2013/04/06,3,10,38
2013/04/07,3,11,35
2013/04/08,3,11,34
2013/04/09,3,11,34
2013/04/10,3,11,34
2013/04/11,3,11,34
2013/04/12,3,10,30
2013/04/13,3,8,29
2013/04/14,2,9,28
2013/04/15,2,9,30
2013/04/16,2,9,30
2013/04/17,2,9,32
2013/04/18,2,10,33
2013/04/19,2,11,35
2013/04/20,2,11,35
2013/04/21,2,11,35
2013/04/22,2,11,34
2013/04/23,2,11,35
2013/04/24,2,10,34
2013/04/25,2,9,33
2013/04/26,2,9,32
2013/04/27,2,9,33
2013/04/28,2,9,32
2013/04/29,1,9,35
2013/04/30,1,9,35
2013/05/01,1,10,37
2013/05/02,1,12,38
2013/05/03,1,10,36
2013/05/04,1,10,36
2013/05/05,1,10,36
2013/05/06,1,11,36
2013/05/07,1,10,33
2013/05/08,1,9,33
2013/05/09,1,8,35
2013/05/10,1,8,35
2013/05/11,1,8,36
2013/05/12,,8,37
2013/05/13,,8,36
2013/05/14,,8,35
2013/05/15,,8,35
2013/05/16,,8,35
2013/05/17,,8,33
2013/05/18,,7,32
2013/05/19,,7,30
2013/05/20,,7,28
2013/05/21,,7,28
2013/05/22,,8,29
2013/05/23,,8,31
2013/05/24,,8,33
2013/05/25,,8,35
2013/05/26,,8,35
2013/05/27,,9,35
2013/05/28,,10,38
2013/05/29,,11,35
2013/05/30,,11,35
2013/05/31,,11,35
2013/06/01,,10,35
2013/06/02,,10,35
2013/06/03,,10,35
2013/06/04,,10,34
2013/06/05,,10,35
2013/06/06,,10,35
2013/06/07,,10,35
2013/06/08,,11,34
2013/06/09,,12,37
2013/06/10,,11,35
2013/06/11,,11,35
2013/06/12,,11,35
2013/06/13,1,11,38
2013/06/14,1,12,40
2013/06/15,1,12,39
2013/06/16,1,12,41
2013/06/17,1,12,41
2013/06/18,1,12,40
2013/06/19,1,12,41
2013/06/20,1,12,43
2013/06/21,1,12,43
2013/06/22,1,12,43
2013/06/23,1,13,44
2013/06/24,1,13,41
2013/06/25,1,13,41
2013/06/26,1,12,42
2013/06/27,1,10,41
2013/06/28,1,11,40
2013/06/29,1,11,41
2013/06/30,1,11,40
2013/07/01,1,11,41
2013/07/02,1,12,42
2013/07/03,1,12,43
2013/07/04,1,12,43
2013/07/05,1,12,44
2013/07/06,1,13,44
2013/07/07,1,13,43
2013/07/08,1,13,40
2013/07/09,1,12,38
2013/07/10,1,11,39
2013/07/11,1,12,38
2013/07/12,,13,38
2013/07/13,,13,35
2013/07/14,,11,33
2013/07/15,,11,33
2013/07/16,,10,32
2013/07/17,,10,32
2013/07/18,,10,32
2013/07/19,,10,31
2013/07/20,,10,33
2013/07/21,,10,33
2013/07/22,,9,35
2013/07/23,,8,32
2013/07/24,,8,32
2013/07/25,,8,32
2013/07/26,1,7,28
2013/07/27,,7,29
2013/07/28,,7,31
2013/07/29,,6,30
2013/07/30,1,7,31
2013/07/31,1,6,29
2013/08/01,1,5,28
2013/08/02,1,5,27
2013/08/03,,6,27
2013/08/04,,6,26
2013/08/05,,6,28
2013/08/06,,7,29
2013/08/07,,7,28
2013/08/08,,7,28
2013/08/09,,7,27
2013/08/10,,6,27
2013/08/11,,6,26
2013/08/12,,7,28
2013/08/13,,7,25
2013/08/14,,6,24
2013/08/15,,6,25
2013/08/16,,6,27
2013/08/17,,6,29
2013/08/18,,7,30
2013/08/19,,7,29
2013/08/20,,7,29
2013/08/21,1,8,29
2013/08/22,1,9,28
2013/08/23,2,12,31
2013/08/24,2,12,31
2013/08/25,2,12,32
2013/08/26,2,13,31
2013/08/27,4,13,32
2013/08/28,4,13,32
2013/08/29,4,14,33
2013/08/30,4,14,31
2013/08/31,5,15,32
2013/09/01,5,16,33
2013/09/02,6,17,33
2013/09/03,6,17,34
2013/09/04,6,17,34
2013/09/05,6,16,33
2013/09/06,7,16,33
2013/09/07,7,16,33
2013/09/08,7,15,33
2013/09/09,7,15,34
2013/09/10,7,15,34
2013/09/11,8,14,32
2013/09/12,8,14,32
2013/09/13,8,14,32
2013/09/14,8,14,33
2013/09/15,8,15,32
2013/09/16,8,15,30
2013/09/17,8,15,30
2013/09/18,8,15,31
2013/09/19,8,15,32
2013/09/20,8,15,32
2013/09/21,7,15,32
2013/09/22,7,14,30
2013/09/23,7,14,29
2013/09/24,7,14,28
2013/09/25,7,13,26
2013/09/26,6,13,26
2013/09/27,6,12,26
2013/09/28,6,12,28
2013/09/29,6,12,29
2013/09/30,5,13,29
2013/10/01,5,12,29
2013/10/02,4,11,28
2013/10/03,4,11,28
2013/10/04,4,11,27
2013/10/05,4,11,27
2013/10/06,3,11,27
2013/10/07,3,11,29
2013/10/08,3,10,30
2013/10/09,3,10,28
2013/10/10,3,10,30
2013/10/11,3,10,31
2013/10/12,3,10,30
2013/10/13,2,9,29
2013/10/14,2,8,28
2013/10/15,2,7,29
2013/10/16,2,7,31
2013/10/17,2,7,31
2013/10/18,,6,30
2013/10/19,,5,28
2013/10/20,,5,28
2013/10/21,,5,28
2013/10/22,,5,28
2013/10/23,,6,31
2013/10/24,,6,31
2013/10/25,,6,32
2013/10/26,,6,34
2013/10/27,,7,34
2013/10/28,,7,32
2013/10/29,,6,32
2013/10/30,,5,31
2013/10/31,,6,32
2013/11/01,,6,35
2013/11/02,,7,35
2013/11/03,,7,36
2013/11/04,,8,35
2013/11/05,,8,35
2013/11/06,,8,34
2013/11/07,,8,35
2013/11/08,,8,35
2013/11/09,1,8,35
2013/11/10,1,8,36
2013/11/11,1,9,35
2013/11/12,1,9,35
2013/11/13,1,9,34
2013/11/14,1,8,32
2013/11/15,1,8,30
2013/11/16,1,8,32
2013/11/17,1,8,30
2013/11/18,1,8,30
2013/11/19,1,8,29
2013/11/20,1,8,29
2013/11/21,1,8,30
2013/11/22,1,7,32
2013/11/23,1,8,33
2013/11/24,1,8,34
2013/11/25,1,8,31
2013/11/26,1,8,31
2013/11/27,1,8,33
2013/11/28,1,8,34
2013/11/29,1,8,35
2013/11/30,1,8,37
2013/12/01,1,8,35
2013/12/02,1,8,35
2013/12/03,1,9,33
2013/12/04,1,9,33
2013/12/05,1,9,33
2013/12/06,2,9,32
2013/12/07,2,9,31
2013/12/08,2,9,31
2013/12/09,2,7,31
2013/12/10,2,7,31
2013/12/11,2,6,31
2013/12/12,2,6,30
2013/12/13,2,5,31
2013/12/14,2,6,32
2013/12/15,2,7,34
2013/12/16,2,7,33
2013/12/17,2,7,39
2013/12/18,2,8,42
2013/12/19,2,8,42
2013/12/20,2,9,41
2013/12/21,2,9,40
2013/12/22,3,8,39
2013/12/23,3,8,39
2013/12/24,3,8,37
2013/12/25,3,8,37
2013/12/26,3,8,37
2013/12/27,3,8,39
2013/12/28,3,8,38
2013/12/29,3,8,40
2013/12/30,3,8,38
2013/12/31,3,8,36
2014/01/01,3,8,37
2014/01/02,3,8,36
2014/01/03,3,8,36
2014/01/04,3,8,37
2014/01/05,3,8,37
2014/01/06,4,8,36
2014/01/07,4,9,39
2014/01/08,4,9,41
2014/01/09,4,9,44
2014/01/10,4,10,45
2014/01/11,4,10,46
2014/01/12,4,10,45
2014/01/13,4,9,45
2014/01/14,4,9,43
2014/01/15,5,10,44
2014/01/16,5,10,38
2014/01/17,5,10,39
2014/01/18,5,10,40
2014/01/19,4,10,41
2014/01/20,4,11,43
2014/01/21,4,11,45
2014/01/22,4,11,44
2014/01/23,4,11,45
2014/01/24,5,13,47
2014/01/25,5,13,48
2014/01/26,5,13,46
2014/01/27,5,13,45
2014/01/28,5,13,42
2014/01/29,5,14,42
2014/01/30,5,14,44
2014/01/31,5,14,44
2014/02/01,6,14,45
2014/02/02,7,14,45
2014/02/03,7,13,44
2014/02/04,7,13,46
2014/02/05,7,13,46
2014/02/06,7,12,45
2014/02/07,7,12,42
2014/02/08,7,12,40
2014/02/09,7,11,41
2014/02/10,7,11,40
2014/02/11,7,11,40
2014/02/12,7,11,39
2014/02/13,7,13,45
2014/02/14,6,11,41
2014/02/15,6,10,41
2014/02/16,6,11,41
2014/02/17,6,10,39
2014/02/18,6,10,38
2014/02/19,6,11,38
2014/02/20,6,11,37
2014/02/21,6,11,37
2014/02/22,6,11,36
2014/02/23,6,10,35
2014/02/24,6,10,33
2014/02/25,6,11,35
2014/02/26,6,11,35
2014/02/27,6,11,33
2014/02/28,6,11,40
2014/03/01,6,10,38
2014/03/02,6,10,38
2014/03/03,6,10,38
2014/03/04,5,9,39
2014/03/05,5,9,39
2014/03/06,4,9,39
2014/03/07,4,9,40
2014/03/08,4,9,39
2014/03/09,4,9,39
2014/03/10,4,9,39
2014/03/11,2,8,35
2014/03/12,2,7,36
2014/03/13,2,7,38
2014/03/14,2,7,37
2014/03/15,2,6,37
2014/03/16,2,6,38
2014/03/17,2,6,38
2014/03/18,2,6,36
2014/03/19,2,7,38
2014/03/20,2,7,38
2014/03/21,1,6,37
2014/03/22,1,7,38
2014/03/23,1,6,39
2014/03/24,1,6,40
2014/03/25,1,6,42
2014/03/26,1,6,42
2014/03/27,2,5,41
2014/03/28,2,6,42
2014/03/29,2,6,43
2014/03/30,2,7,37
2014/03/31,2,7,37
2014/04/01,2,7,38
2014/04/02,2,7,37
2014/04/03,2,6,38
2014/04/04,2,6,38
2014/04/05,2,6,36
2014/04/06,2,6,35
2014/04/07,2,8,36
2014/04/08,2,9,38
2014/04/09,2,10,39
2014/04/10,2,11,40
2014/04/11,2,11,39
2014/04/12,2,10,37
2014/04/13,2,11,40
2014/04/14,2,11,36
2014/04/15,2,12,35
2014/04/16,2,12,36
2014/04/17,2,12,37
2014/04/18,2,11,36
2014/04/19,2,13,37
2014/04/20,2,13,39
2014/04/21,2,13,37
2014/04/22,2,13,36
2014/04/23,2,13,36
2014/04/24,2,14,34
2014/04/25,2,15,32
2014/04/26,2,15,32
2014/04/27,2,15,33
2014/04/28,2,15,34
2014/04/29,2,14,34
2014/04/30,2,14,35
2014/05/01,2,14,34
2014/05/02,2,14,36
2014/05/03,2,14,35
2014/05/04,2,14,36
2014/05/05,2,14,36
2014/05/06,2,14,37
2014/05/07,2,14,38
2014/05/08,2,14,39
2014/05/09,2,12,39
2014/05/10,2,11,39
2014/05/11,2,11,38
2014/05/12,2,11,39
2014/05/13,2,10,37
2014/05/14,2,9,40
2014/05/15,2,10,37
2014/05/16,2,10,40
2014/05/17,2,10,39
2014/05/18,2,10,41
2014/05/19,2,8,40
2014/05/20,2,8,40
2014/05/21,2,6,43
2014/05/22,2,6,44
2014/05/23,2,6,45
2014/05/24,2,6,44
2014/05/25,2,6,46
2014/05/26,2,6,45
2014/05/27,2,6,44
2014/05/28,2,6,44
2014/05/29,1,6,45
2014/05/30,1,5,43
2014/05/31,2,5,43
2014/06/01,2,6,44
2014/06/02,2,6,43
2014/06/03,2,5,42
2014/06/04,2,5,40
2014/06/05,2,5,41
2014/06/06,2,5,40
2014/06/07,2,4,40
2014/06/08,2,5,41
2014/06/09,2,7,42
2014/06/10,2,8,42
2014/06/11,2,10,43
2014/06/12,1,10,44
2014/06/13,1,9,43
2014/06/14,1,9,42
2014/06/15,3,9,39
2014/06/16,3,9,38
2014/06/17,3,9,36
2014/06/18,3,9,37
2014/06/19,2,9,36
2014/06/20,2,9,34
2014/06/21,2,9,33
2014/06/22,2,9,30
2014/06/23,2,9,30
2014/06/24,2,9,32
2014/06/25,2,9,31
2014/06/26,2,10,32
2014/06/27,2,11,34
2014/06/28,2,11,34
2014/06/29,2,11,34
2014/06/30,2,11,33
2014/07/01,1,10,31
2014/07/02,1,10,30
2014/07/03,1,10,31
2014/07/04,1,10,33
2014/07/05,1,10,33
2014/07/06,1,10,32
2014/07/07,1,10,32
2014/07/08,2,10,31
2014/07/09,2,9,31
2014/07/10,1,9,30
2014/07/11,1,8,31
2014/07/12,1,8,30
2014/07/13,1,7,29
2014/07/14,1,7,30
2014/07/15,1,7,30
2014/07/16,1,6,29
2014/07/17,1,6,31
2014/07/18,1,7,31
2014/07/19,1,7,31
2014/07/20,1,7,31
2014/07/21,1,8,33
2014/07/22,1,8,33
2014/07/23,1,8,33
2014/07/24,2,8,34
2014/07/25,2,8,36
2014/07/26,2,6,35
2014/07/27,2,6,34
2014/07/28,2,6,34
2014/07/29,2,6,36
2014/07/30,2,6,38
2014/07/31,2,6,38
2014/08/01,2,6,37
2014/08/02,2,6,38
2014/08/03,2,6,37
2014/08/04,1,7,36
2014/08/05,1,7,35
2014/08/06,1,8,37
2014/08/07,1,7,37
2014/08/08,1,7,38
2014/08/09,1,7,38
2014/08/10,1,7,36
2014/08/11,1,7,36
2014/08/12,1,7,36
2014/08/13,1,7,36
2014/08/14,1,7,36
2014/08/15,1,7,35
2014/08/16,1,7,36
2014/08/17,1,8,38
2014/08/18,1,8,38
2014/08/19,1,8,37
2014/08/20,1,8,36
2014/08/21,2,7,36
2014/08/22,1,7,36
2014/08/23,1,7,35
2014/08/24,1,7,33
2014/08/25,1,7,33
2014/08/26,1,7,33
2014/08/27,1,7,34
2014/08/28,1,6,32
2014/08/29,1,6,32
2014/08/30,1,6,33
2014/08/31,1,7,34
2014/09/01,2,7,33
2014/09/02,2,8,32
2014/09/03,3,8,31
2014/09/04,3,8,31
2014/09/05,2,7,28
2014/09/06,3,6,28
2014/09/07,2,8,28
2014/09/08,2,7,28
2014/09/09,1,7,27
2014/09/10,2,7,27
2014/09/11,2,7,26
2014/09/12,2,6,25
2014/09/13,2,6,26
2014/09/14,1,6,27
2014/09/15,1,5,24
2014/09/16,1,5,22
2014/09/17,1,5,22
2014/09/18,1,5,20
2014/09/19,1,5,20
2014/09/20,1,5,21
2014/09/21,1,4,21
2014/09/22,1,4,20
2014/09/23,1,4,20
2014/09/24,1,4,20
2014/09/25,1,4,20
2014/09/26,1,4,21
2014/09/27,1,4,22
2014/09/28,2,5,21
2014/09/29,2,5,20
2014/09/30,2,6,20
2014/10/01,1,6,20
2014/10/02,1,6,20
2014/10/03,1,6,20
2014/10/04,1,6,21
2014/10/05,1,6,23
2014/10/06,1,7,22
2014/10/07,1,7,21
2014/10/08,1,7,20
2014/10/09,1,7,20
2014/10/10,1,7,20
2014/10/11,1,7,22
2014/10/12,1,7,22
2014/10/13,1,7,24
2014/10/14,1,7,23
2014/10/15,2,8,24
2014/10/16,3,8,25
2014/10/17,3,8,27
2014/10/18,3,8,29
2014/10/19,3,8,29
2014/10/20,3,9,29
2014/10/21,3,9,31
2014/10/22,3,9,31
2014/10/23,3,9,29
2014/10/24,3,9,29
2014/10/25,3,9,30
2014/10/26,3,8,30
2014/10/27,3,8,33
2014/10/28,3,8,32
2014/10/29,3,8,34
2014/10/30,3,7,34
2014/10/31,3,6,34
2014/11/01,3,6,34
2014/11/02,3,6,34
2014/11/03,3,7,35
2014/11/04,3,7,35
2014/11/05,3,8,37
2014/11/06,3,8,37
2014/11/07,3,8,37
2014/11/08,3,8,37
2014/11/09,3,9,37
2014/11/10,3,9,37
2014/11/11,3,9,40
2014/11/12,3,9,37
2014/11/13,3,8,38
2014/11/14,2,7,37
2014/11/15,2,7,36
2014/11/16,2,7,35
2014/11/17,3,8,34
2014/11/18,2,9,34
2014/11/19,2,9,35
2014/11/20,2,10,36
2014/11/21,2,11,37
2014/11/22,2,11,38
2014/11/23,2,11,37
2014/11/24,2,11,37
2014/11/25,2,11,37
2014/11/26,2,11,33
2014/11/27,2,11,33
2014/11/28,2,11,32
2014/11/29,2,11,30
2014/11/30,2,11,28
2014/12/01,2,11,29
2014/12/02,2,12,29
2014/12/03,2,12,28
2014/12/04,2,12,28
2014/12/05,2,11,28
2014/12/06,2,11,30
2014/12/07,2,10,29
2014/12/08,2,10,29
2014/12/09,2,10,28
2014/12/10,2,10,29
2014/12/11,2,10,24
2014/12/12,2,9,25
2014/12/13,2,10,24
2014/12/14,2,11,26
2014/12/15,2,11,26
2014/12/16,2,11,26
2014/12/17,1,10,25
2014/12/18,1,10,28
2014/12/19,1,10,27
2014/12/20,1,11,28
2014/12/21,1,10,27
2014/12/22,1,10,25
2014/12/23,1,10,25
2014/12/24,1,11,28
2014/12/25,1,11,28
2014/12/26,1,11,29
2014/12/27,1,10,30
2014/12/28,1,10,30
2014/12/29,1,10,31
2014/12/30,1,10,31
2014/12/31,1,10,34
2015/01/01,1,10,35
2015/01/02,1,10,38
2015/01/03,1,10,38
2015/01/04,1,11,42
2015/01/05,1,11,43
2015/01/06,1,12,46
2015/01/07,1,13,48
2015/01/08,1,15,49
2015/01/09,1,15,47
2015/01/10,1,15,48
2015/01/11,1,17,48
2015/01/12,1,17,49
2015/01/13,1,18,50
2015/01/14,1,19,55
2015/01/15,2,19,55
2015/01/16,2,20,57
2015/01/17,2,20,55
2015/01/18,2,21,58
2015/01/19,2,21,57
2015/01/20,2,21,56
2015/01/21,2,22,55
2015/01/22,2,22,55
2015/01/23,2,21,54
2015/01/24,2,21,55
2015/01/25,2,21,56
2015/01/26,2,21,54
2015/01/27,2,21,55
2015/01/28,3,21,54
2015/01/29,3,20,55
2015/01/30,3,20,54
2015/01/31,3,20,53
2015/02/01,3,20,51
2015/02/02,3,20,53
2015/02/03,3,20,50
2015/02/04,3,20,50
2015/02/05,3,18,50
2015/02/06,3,19,51
2015/02/07,3,17,50
2015/02/08,3,17,51
2015/02/09,3,17,52
2015/02/10,3,17,53
2015/02/11,3,17,55
2015/02/12,3,16,53
2015/02/13,3,15,51
2015/02/14,3,15,51
2015/02/15,3,15,51
2015/02/16,3,16,53
2015/02/17,3,13,52
2015/02/18,3,13,54
2015/02/19,3,13,53
2015/02/20,3,14,55
2015/02/21,3,14,55
2015/02/22,3,14,52
2015/02/23,3,14,50
2015/02/24,2,13,47
2015/02/25,2,12,47
2015/02/26,2,10,47
2015/02/27,2,11,48
2015/02/28,2,11,45
2015/03/01,2,10,46
2015/03/02,3,12,52
2015/03/03,2,12,54
2015/03/04,2,12,53
2015/03/05,2,13,53
2015/03/06,2,13,53
2015/03/07,2,12,51
2015/03/08,3,12,49
2015/03/09,3,12,52
2015/03/10,4,12,52
2015/03/11,5,11,53
2015/03/12,4,12,51
2015/03/13,6,12,48
2015/03/14,6,11,47
2015/03/15,6,11,46
2015/03/16,7,14,48
2015/03/17,7,14,49
2015/03/18,7,13,47
2015/03/19,7,13,44
2015/03/20,7,14,43
2015/03/21,8,16,45
2015/03/22,8,16,45
2015/03/23,8,16,44
2015/03/24,8,16,44
2015/03/25,9,18,46
2015/03/26,9,17,47
2015/03/27,9,17,46
2015/03/28,9,17,44
2015/03/29,9,17,44
2015/03/30,9,18,44
2015/03/31,9,18,41
2015/04/01,9,18,38
2015/04/02,8,18,35
2015/04/03,9,18,37
2015/04/04,9,18,37
2015/04/05,9,18,39
2015/04/06,9,19,40
2015/04/07,9,20,43
2015/04/08,9,21,41
2015/04/09,7,22,41
2015/04/10,7,23,42
2015/04/11,7,23,42
2015/04/12,5,23,44
2015/04/13,5,22,46
2015/04/14,5,21,47
2015/04/15,5,20,45
2015/04/16,5,20,43
2015/04/17,4,18,43
2015/04/18,3,18,42
2015/04/19,3,15,40
2015/04/20,3,14,41
2015/04/21,3,14,43
2015/04/22,4,14,45
2015/04/23,4,14,45
2015/04/24,3,13,42
2015/04/25,3,13,42
2015/04/26,3,13,44
2015/04/27,3,13,44
2015/04/28,3,14,45
2015/04/29,3,13,46
2015/04/30,3,13,45
2015/05/01,3,13,45
2015/05/02,3,13,46
2015/05/03,3,13,49
2015/05/04,3,14,50
2015/05/05,3,14,49
2015/05/06,3,14,49
2015/05/07,3,14,50
2015/05/08,3,12,50
2015/05/09,3,12,49
2015/05/10,3,11,47
2015/05/11,3,11,47
2015/05/12,3,11,46
2015/05/13,3,12,45
2015/05/14,3,12,45
2015/05/15,3,12,47
2015/05/16,3,12,50
2015/05/17,3,11,50
2015/05/18,3,11,51
2015/05/19,3,11,51
2015/05/20,3,12,51
2015/05/21,3,13,49
2015/05/22,3,11,48
2015/05/23,3,10,51
2015/05/24,3,10,51
2015/05/25,3,11,50
2015/05/26,3,11,46
2015/05/27,3,11,46
2015/05/28,2,10,45
2015/05/29,2,10,46
2015/05/30,2,10,47
2015/05/31,2,10,46
2015/06/01,2,10,44
2015/06/02,2,13,43
2015/06/03,2,11,41
2015/06/04,2,11,39
2015/06/05,3,12,41
2015/06/06,3,12,40
2015/06/07,3,13,41
2015/06/08,3,13,42
2015/06/09,3,13,44
2015/06/10,3,13,44
2015/06/11,3,13,45
2015/06/12,3,12,45
2015/06/13,3,11,44
2015/06/14,3,11,43
2015/06/15,3,11,39
2015/06/16,4,10,41
2015/06/17,4,10,40
2015/06/18,4,10,40
2015/06/19,4,8,38
2015/06/20,4,8,39
2015/06/21,4,8,39
2015/06/22,4,9,37
2015/06/23,4,9,37
2015/06/24,4,9,36
2015/06/25,3,9,37
2015/06/26,3,9,37
2015/06/27,3,9,36
2015/06/28,3,9,35
2015/06/29,2,9,34
2015/06/30,2,9,35
2015/07/01,2,8,38
2015/07/02,2,8,35
2015/07/03,2,8,37
2015/07/04,1,9,37
2015/07/05,1,10,36
2015/07/06,1,10,36
2015/07/07,1,9,35
2015/07/08,1,9,35
2015/07/09,1,10,35
2015/07/10,1,10,34
2015/07/11,1,10,33
2015/07/12,1,10,31
2015/07/13,1,11,33
2015/07/14,1,11,34
2015/07/15,1,11,36
2015/07/16,1,11,34
2015/07/17,1,11,35
2015/07/18,1,10,36
2015/07/19,1,10,36
2015/07/20,1,9,33
2015/07/21,1,10,32
2015/07/22,1,9,33
2015/07/23,1,9,34
2015/07/24,1,9,32
2015/07/25,1,9,32
2015/07/26,1,8,33
2015/07/27,1,8,34
2015/07/28,1,8,34
2015/07/29,1,9,35
2015/07/30,1,9,34
2015/07/31,1,8,31
2015/08/01,1,8,31
2015/08/02,1,8,33
