date,mtwiki (100+),mtwiki (5+),mtwiki (all)
2015/08/17,,4,13
2015/08/18,,4,13
2015/08/19,,4,13
2015/08/20,,4,12
2015/08/21,,4,12
2015/08/22,,4,12
2015/08/23,,4,11
2015/08/24,,4,11
2015/08/25,,4,11
2015/08/26,,4,11
2015/08/27,,4,11
2015/08/28,,4,13
2015/08/29,,4,13
2015/08/30,,4,14
2015/08/31,,4,14
2015/09/01,,4,14
2015/09/02,,4,17
2015/09/03,,4,17
2015/09/04,,4,16
2015/09/05,,4,16
2015/09/06,,4,16
2015/09/07,,4,15
2015/09/08,,4,13
2015/09/09,,4,13
2015/09/10,,4,12
2015/09/11,,4,13
2015/09/12,,4,14
2015/09/13,,4,15
2015/09/14,,4,14
2015/09/15,,2,13
2015/09/16,,2,12
2015/09/17,,2,12
2015/09/18,,2,12
2015/09/19,,2,13
2015/09/20,,2,12
2015/09/21,,2,12
2015/09/22,,2,15
2015/09/23,,2,16
2015/09/24,,2,17
2015/09/25,,2,17
2015/09/26,,2,17
2015/09/27,,2,16
2015/09/28,,2,17
2015/09/29,,2,16
2015/09/30,,2,16
2015/10/01,,2,16
2015/10/02,,1,13
2015/10/03,,1,13
2015/10/04,,1,13
2015/10/05,,1,13
2015/10/06,,1,13
2015/10/07,,1,13
2015/10/08,,1,12
2015/10/09,,1,13
2015/10/10,,1,14
2015/10/11,,1,14
2015/10/12,,1,15
2015/10/13,,1,16
2015/10/14,,1,16
2015/10/15,,1,16
2015/10/16,,1,15
2015/10/17,,1,15
2015/10/18,,1,17
2015/10/19,,1,19
2015/10/20,,1,20
2015/10/21,,2,22
2015/10/22,,2,21
2015/10/23,,2,24
2015/10/24,,2,25
2015/10/25,,2,26
2015/10/26,,2,26
2015/10/27,,2,26
2015/10/28,,2,25
2015/10/29,,2,25
2015/10/30,,2,26
2015/10/31,,2,27
2015/11/01,,2,27
2015/11/02,,3,27
2015/11/03,,3,27
2015/11/04,,3,27
2015/11/05,,3,28
2015/11/06,,4,28
2015/11/07,,4,28
2015/11/08,,4,29
2015/11/09,,4,29
2015/11/10,,4,28
2015/11/11,,4,27
2015/11/12,,4,25
2015/11/13,,4,25
2015/11/14,,4,25
2015/11/15,,5,28
2015/11/16,,5,28
2015/11/17,,6,26
2015/11/18,,5,24
2015/11/19,,5,25
2015/11/20,1,5,23
2015/11/21,1,5,21
2015/11/22,1,4,16
2015/11/23,1,4,15
2015/11/24,1,5,15
2015/11/25,1,5,15
2015/11/26,1,5,15
2015/11/27,1,5,15
