date,slwiki (100+),slwiki (5+),slwiki (all)
2013/03/05,21,157,527
2013/03/06,21,154,525
2013/03/07,22,145,511
2013/03/08,23,139,494
2013/03/09,21,139,490
2013/03/10,22,139,486
2013/03/11,22,144,489
2013/03/12,22,146,486
2013/03/13,21,145,486
2013/03/14,21,149,491
2013/03/15,20,149,487
2013/03/16,20,147,487
2013/03/17,21,145,486
2013/03/18,20,143,486
2013/03/19,20,144,487
2013/03/20,19,148,482
2013/03/21,19,147,483
2013/03/22,19,145,488
2013/03/23,18,146,482
2013/03/24,18,149,475
2013/03/25,18,150,476
2013/03/26,18,154,482
2013/03/27,18,153,475
2013/03/28,18,155,472
2013/03/29,18,155,473
2013/03/30,18,154,467
2013/03/31,18,153,461
2013/04/01,17,152,457
2013/04/02,18,155,457
2013/04/03,18,161,468
2013/04/04,19,168,474
2013/04/05,19,170,471
2013/04/06,18,171,478
2013/04/07,18,172,474
2013/04/08,18,170,473
2013/04/09,18,171,478
2013/04/10,19,175,487
2013/04/11,21,178,490
2013/04/12,19,173,489
2013/04/13,18,170,481
2013/04/14,18,173,482
2013/04/15,19,173,479
2013/04/16,17,175,486
2013/04/17,16,181,488
2013/04/18,19,181,479
2013/04/19,20,181,480
2013/04/20,19,181,473
2013/04/21,18,175,465
2013/04/22,18,176,467
2013/04/23,18,178,477
2013/04/24,19,186,492
2013/04/25,20,188,495
2013/04/26,18,186,493
2013/04/27,18,181,498
2013/04/28,18,186,499
2013/04/29,18,190,500
2013/04/30,17,192,504
2013/05/01,17,191,502
2013/05/02,18,191,503
2013/05/03,18,188,496
2013/05/04,18,185,497
2013/05/05,19,190,505
2013/05/06,19,191,510
2013/05/07,20,202,514
2013/05/08,20,213,518
2013/05/09,20,219,514
2013/05/10,20,218,512
2013/05/11,21,213,509
2013/05/12,20,214,507
2013/05/13,21,218,515
2013/05/14,22,222,521
2013/05/15,21,228,531
2013/05/16,22,229,531
2013/05/17,21,235,544
2013/05/18,20,232,546
2013/05/19,20,230,544
2013/05/20,21,233,544
2013/05/21,21,240,545
2013/05/22,22,243,542
2013/05/23,22,237,540
2013/05/24,21,232,537
2013/05/25,20,235,533
2013/05/26,21,227,529
2013/05/27,21,232,527
2013/05/28,22,234,538
2013/05/29,22,236,541
2013/05/30,21,238,541
2013/05/31,21,239,544
2013/06/01,20,239,549
2013/06/02,20,239,554
2013/06/03,23,240,560
2013/06/04,24,240,557
2013/06/05,21,240,553
2013/06/06,21,233,556
2013/06/07,21,223,545
2013/06/08,21,223,539
2013/06/09,24,224,534
2013/06/10,21,222,535
2013/06/11,22,225,542
2013/06/12,22,219,543
2013/06/13,21,207,526
2013/06/14,22,198,504
2013/06/15,22,195,495
2013/06/16,21,194,493
2013/06/17,22,194,495
2013/06/18,20,198,499
2013/06/19,22,194,497
2013/06/20,21,184,483
2013/06/21,20,183,473
2013/06/22,21,181,471
2013/06/23,21,181,467
2013/06/24,21,181,469
2013/06/25,22,181,471
2013/06/26,21,179,477
2013/06/27,20,177,467
2013/06/28,18,167,460
2013/06/29,19,163,453
2013/06/30,20,162,452
2013/07/01,20,161,449
2013/07/02,20,158,446
2013/07/03,19,150,446
2013/07/04,17,145,448
2013/07/05,16,141,446
2013/07/06,14,133,428
2013/07/07,14,128,411
2013/07/08,12,130,410
2013/07/09,11,124,411
2013/07/10,12,124,409
2013/07/11,12,127,401
2013/07/12,12,126,388
2013/07/13,12,128,393
2013/07/14,11,126,389
2013/07/15,12,125,385
2013/07/16,13,122,384
2013/07/17,13,124,378
2013/07/18,13,121,371
2013/07/19,13,120,370
2013/07/20,13,120,370
2013/07/21,12,114,362
2013/07/22,12,113,361
2013/07/23,12,110,358
2013/07/24,12,109,359
2013/07/25,12,105,351
2013/07/26,13,104,345
2013/07/27,13,101,342
2013/07/28,14,101,334
2013/07/29,15,102,335
2013/07/30,14,101,335
2013/07/31,12,103,338
2013/08/01,12,104,339
2013/08/02,14,107,333
2013/08/03,15,103,320
2013/08/04,15,101,319
2013/08/05,15,104,322
2013/08/06,16,106,324
2013/08/07,15,106,323
2013/08/08,15,109,318
2013/08/09,15,105,320
2013/08/10,13,104,323
2013/08/11,13,106,328
2013/08/12,12,104,323
2013/08/13,11,107,325
2013/08/14,12,106,328
2013/08/15,12,115,339
2013/08/16,13,115,339
2013/08/17,10,112,338
2013/08/18,10,112,334
2013/08/19,10,113,331
2013/08/20,10,113,333
2013/08/21,10,114,336
2013/08/22,10,115,334
2013/08/23,10,111,331
2013/08/24,10,112,328
2013/08/25,10,110,328
2013/08/26,10,109,327
2013/08/27,11,113,329
2013/08/28,11,112,327
2013/08/29,11,117,325
2013/08/30,11,113,321
2013/08/31,10,109,309
2013/09/01,11,109,310
2013/09/02,11,109,308
2013/09/03,10,111,308
2013/09/04,11,108,312
2013/09/05,14,106,313
2013/09/06,13,106,313
2013/09/07,13,110,327
2013/09/08,13,107,325
2013/09/09,13,109,326
2013/09/10,12,110,327
2013/09/11,13,111,328
2013/09/12,13,110,327
2013/09/13,12,110,328
2013/09/14,14,105,315
2013/09/15,15,106,312
2013/09/16,16,111,321
2013/09/17,16,108,319
2013/09/18,17,109,325
2013/09/19,18,107,326
2013/09/20,20,103,330
2013/09/21,19,104,333
2013/09/22,19,108,335
2013/09/23,19,110,337
2013/09/24,18,109,340
2013/09/25,18,115,341
2013/09/26,18,112,343
2013/09/27,18,116,341
2013/09/28,17,119,344
2013/09/29,17,119,351
2013/09/30,17,121,349
2013/10/01,18,124,353
2013/10/02,18,127,359
2013/10/03,18,126,360
2013/10/04,18,125,359
2013/10/05,17,126,354
2013/10/06,17,126,352
2013/10/07,17,123,345
2013/10/08,17,122,353
2013/10/09,17,120,357
2013/10/10,18,118,353
2013/10/11,16,120,361
2013/10/12,15,122,356
2013/10/13,15,121,355
2013/10/14,15,119,350
2013/10/15,14,119,359
2013/10/16,14,117,355
2013/10/17,15,116,356
2013/10/18,14,113,355
2013/10/19,14,114,348
2013/10/20,14,114,345
2013/10/21,13,117,350
2013/10/22,13,117,349
2013/10/23,12,116,352
2013/10/24,13,117,355
2013/10/25,13,116,353
2013/10/26,13,117,354
2013/10/27,13,117,354
2013/10/28,13,113,355
2013/10/29,13,112,353
2013/10/30,14,111,357
2013/10/31,15,108,361
2013/11/01,15,106,353
2013/11/02,15,104,351
2013/11/03,16,102,353
2013/11/04,17,103,358
2013/11/05,16,107,363
2013/11/06,18,107,365
2013/11/07,18,108,373
2013/11/08,16,107,380
2013/11/09,17,106,378
2013/11/10,17,108,375
2013/11/11,18,114,377
2013/11/12,18,115,378
2013/11/13,19,116,380
2013/11/14,18,117,382
2013/11/15,18,116,377
2013/11/16,17,115,371
2013/11/17,18,116,370
2013/11/18,17,116,370
2013/11/19,17,117,371
2013/11/20,20,115,382
2013/11/21,21,114,387
2013/11/22,19,121,394
2013/11/23,19,121,394
2013/11/24,20,122,388
2013/11/25,21,122,388
2013/11/26,21,124,394
2013/11/27,21,126,396
2013/11/28,21,131,405
2013/11/29,21,132,407
2013/11/30,21,136,401
2013/12/01,21,138,406
2013/12/02,21,139,410
2013/12/03,20,142,412
2013/12/04,20,140,411
2013/12/05,20,140,408
2013/12/06,20,141,413
2013/12/07,20,140,408
2013/12/08,19,139,410
2013/12/09,20,143,419
2013/12/10,20,148,429
2013/12/11,20,147,425
2013/12/12,19,149,428
2013/12/13,19,148,433
2013/12/14,17,148,433
2013/12/15,18,154,440
2013/12/16,18,154,442
2013/12/17,15,159,452
2013/12/18,15,160,459
2013/12/19,15,162,455
2013/12/20,15,164,458
2013/12/21,15,168,461
2013/12/22,15,167,455
2013/12/23,15,168,455
2013/12/24,15,170,457
2013/12/25,15,168,447
2013/12/26,15,164,443
2013/12/27,14,162,449
2013/12/28,15,161,450
2013/12/29,16,158,456
2013/12/30,15,157,448
2013/12/31,15,162,445
2014/01/01,15,161,448
2014/01/02,14,161,450
2014/01/03,14,165,468
2014/01/04,13,168,484
2014/01/05,12,165,487
2014/01/06,12,163,486
2014/01/07,13,163,478
2014/01/08,14,167,477
2014/01/09,13,164,476
2014/01/10,13,167,483
2014/01/11,13,163,480
2014/01/12,14,165,481
2014/01/13,14,163,480
2014/01/14,15,164,481
2014/01/15,15,165,493
2014/01/16,15,172,493
2014/01/17,15,177,500
2014/01/18,14,185,508
2014/01/19,14,190,511
2014/01/20,15,198,534
2014/01/21,15,199,542
2014/01/22,16,198,543
2014/01/23,17,202,548
2014/01/24,19,201,550
2014/01/25,21,204,552
2014/01/26,21,202,557
2014/01/27,21,208,558
2014/01/28,21,207,561
2014/01/29,21,212,575
2014/01/30,21,209,581
2014/01/31,21,204,579
2014/02/01,21,201,578
2014/02/02,21,193,561
2014/02/03,22,189,548
2014/02/04,22,190,549
2014/02/05,22,187,548
2014/02/06,22,183,546
2014/02/07,22,176,547
2014/02/08,22,170,532
2014/02/09,21,165,521
2014/02/10,21,165,522
2014/02/11,21,165,527
2014/02/12,21,169,526
2014/02/13,21,162,519
2014/02/14,21,162,514
2014/02/15,21,157,502
2014/02/16,21,158,495
2014/02/17,19,151,478
2014/02/18,19,142,461
2014/02/19,18,128,434
2014/02/20,18,127,430
2014/02/21,18,125,426
2014/02/22,19,124,415
2014/02/23,17,122,419
2014/02/24,16,123,418
2014/02/25,16,123,414
2014/02/26,17,118,409
2014/02/27,17,114,408
2014/02/28,17,117,400
2014/03/01,17,118,399
2014/03/02,17,118,404
2014/03/03,17,115,405
2014/03/04,17,115,405
2014/03/05,15,121,405
2014/03/06,16,129,416
2014/03/07,16,132,425
2014/03/08,17,135,423
2014/03/09,16,146,425
2014/03/10,16,145,432
2014/03/11,16,147,431
2014/03/12,16,154,435
2014/03/13,16,154,434
2014/03/14,16,153,433
2014/03/15,17,156,430
2014/03/16,17,154,425
2014/03/17,18,152,426
2014/03/18,17,153,422
2014/03/19,17,156,424
2014/03/20,16,161,432
2014/03/21,16,166,439
2014/03/22,17,172,441
2014/03/23,17,175,443
2014/03/24,17,181,454
2014/03/25,17,182,457
2014/03/26,16,192,468
2014/03/27,16,194,476
2014/03/28,17,198,484
2014/03/29,17,204,481
2014/03/30,16,201,480
2014/03/31,15,197,480
2014/04/01,16,199,475
2014/04/02,16,216,497
2014/04/03,16,224,502
2014/04/04,16,225,498
2014/04/05,16,218,488
2014/04/06,16,209,479
2014/04/07,16,209,474
2014/04/08,16,204,470
2014/04/09,17,211,474
2014/04/10,17,209,472
2014/04/11,16,205,465
2014/04/12,16,209,465
2014/04/13,16,211,484
2014/04/14,15,213,495
2014/04/15,16,219,517
2014/04/16,16,222,520
2014/04/17,17,222,526
2014/04/18,17,220,531
2014/04/19,17,217,532
2014/04/20,16,217,525
2014/04/21,15,217,530
2014/04/22,15,228,543
2014/04/23,15,231,543
2014/04/24,14,232,533
2014/04/25,15,229,517
2014/04/26,16,231,513
2014/04/27,15,231,504
2014/04/28,16,229,496
2014/04/29,16,228,490
2014/04/30,16,230,498
2014/05/01,16,222,486
2014/05/02,17,215,474
2014/05/03,18,208,466
2014/05/04,18,207,463
2014/05/05,17,206,458
2014/05/06,17,204,461
2014/05/07,17,203,468
2014/05/08,17,202,472
2014/05/09,18,195,470
2014/05/10,18,199,468
2014/05/11,18,200,464
2014/05/12,18,202,471
2014/05/13,18,201,480
2014/05/14,19,201,476
2014/05/15,20,197,470
2014/05/16,20,194,472
2014/05/17,20,197,468
2014/05/18,20,197,464
2014/05/19,22,200,467
2014/05/20,21,196,472
2014/05/21,21,194,468
2014/05/22,21,185,454
2014/05/23,22,167,429
2014/05/24,22,164,425
2014/05/25,21,167,426
2014/05/26,21,166,428
2014/05/27,23,170,437
2014/05/28,23,174,448
2014/05/29,24,179,456
2014/05/30,22,180,460
2014/05/31,22,180,458
2014/06/01,24,182,461
2014/06/02,23,180,461
2014/06/03,24,182,470
2014/06/04,23,183,469
2014/06/05,22,182,464
2014/06/06,23,181,462
2014/06/07,23,174,458
2014/06/08,23,174,460
2014/06/09,23,177,460
2014/06/10,23,175,462
2014/06/11,22,174,462
2014/06/12,21,168,456
2014/06/13,21,162,454
2014/06/14,21,161,454
2014/06/15,20,159,454
2014/06/16,20,156,451
2014/06/17,20,151,445
2014/06/18,19,148,437
2014/06/19,20,149,434
2014/06/20,20,148,423
2014/06/21,20,145,415
2014/06/22,20,145,410
2014/06/23,20,141,407
2014/06/24,20,140,406
2014/06/25,18,140,406
2014/06/26,19,133,404
2014/06/27,19,127,394
2014/06/28,19,120,381
2014/06/29,19,117,368
2014/06/30,20,115,365
2014/07/01,19,114,365
2014/07/02,19,113,362
2014/07/03,19,112,355
2014/07/04,19,112,353
2014/07/05,19,111,350
2014/07/06,18,111,340
2014/07/07,17,110,338
2014/07/08,18,105,333
2014/07/09,18,102,330
2014/07/10,18,101,327
2014/07/11,18,98,322
2014/07/12,18,100,322
2014/07/13,18,100,316
2014/07/14,18,102,312
2014/07/15,18,103,313
2014/07/16,18,104,314
2014/07/17,18,106,310
2014/07/18,18,106,311
2014/07/19,18,105,301
2014/07/20,18,106,300
2014/07/21,18,107,302
2014/07/22,18,109,310
2014/07/23,18,108,311
2014/07/24,18,110,315
2014/07/25,17,107,313
2014/07/26,16,108,307
2014/07/27,16,106,299
2014/07/28,17,107,300
2014/07/29,17,110,305
2014/07/30,18,113,308
2014/07/31,17,114,306
2014/08/01,17,113,300
2014/08/02,17,113,301
2014/08/03,17,108,295
2014/08/04,17,107,289
2014/08/05,18,108,291
2014/08/06,17,109,292
2014/08/07,18,107,288
2014/08/08,17,109,282
2014/08/09,17,111,287
2014/08/10,17,109,280
2014/08/11,19,104,273
2014/08/12,19,106,278
2014/08/13,21,103,281
2014/08/14,21,100,278
2014/08/15,20,100,275
2014/08/16,19,101,271
2014/08/17,21,100,270
2014/08/18,21,103,272
2014/08/19,22,103,277
2014/08/20,21,103,279
2014/08/21,21,100,276
2014/08/22,20,97,274
2014/08/23,20,96,274
2014/08/24,19,95,267
2014/08/25,19,96,264
2014/08/26,18,97,260
2014/08/27,19,96,268
2014/08/28,19,94,271
2014/08/29,20,95,263
2014/08/30,20,91,265
2014/08/31,21,92,261
2014/09/01,20,94,259
2014/09/02,20,95,262
2014/09/03,19,97,264
2014/09/04,20,99,267
2014/09/05,21,98,265
2014/09/06,21,97,270
2014/09/07,21,94,273
2014/09/08,21,92,266
2014/09/09,21,92,268
2014/09/10,21,90,278
2014/09/11,21,87,274
2014/09/12,20,88,271
2014/09/13,19,86,271
2014/09/14,19,86,274
2014/09/15,19,87,278
2014/09/16,19,87,277
2014/09/17,19,85,281
2014/09/18,18,86,282
2014/09/19,18,86,284
2014/09/20,17,83,282
2014/09/21,18,81,283
2014/09/22,19,79,285
2014/09/23,17,80,292
2014/09/24,18,77,289
2014/09/25,18,75,293
2014/09/26,18,75,288
2014/09/27,18,74,284
2014/09/28,18,75,291
2014/09/29,19,76,289
2014/09/30,18,75,293
2014/10/01,19,74,294
2014/10/02,17,76,291
2014/10/03,17,77,290
2014/10/04,16,76,291
2014/10/05,17,80,292
2014/10/06,18,82,289
2014/10/07,17,84,291
2014/10/08,18,84,293
2014/10/09,18,85,296
2014/10/10,17,86,287
2014/10/11,17,89,292
2014/10/12,17,87,294
2014/10/13,16,87,294
2014/10/14,14,85,297
2014/10/15,17,86,302
2014/10/16,18,87,302
2014/10/17,16,88,294
2014/10/18,18,88,288
2014/10/19,16,89,285
2014/10/20,17,91,283
2014/10/21,16,91,285
2014/10/22,16,93,285
2014/10/23,14,93,281
2014/10/24,14,94,287
2014/10/25,12,93,286
2014/10/26,13,92,280
2014/10/27,14,93,281
2014/10/28,14,92,282
2014/10/29,13,91,284
2014/10/30,15,90,286
2014/10/31,14,93,291
2014/11/01,15,95,294
2014/11/02,16,94,292
2014/11/03,17,97,296
2014/11/04,17,96,296
2014/11/05,15,97,306
2014/11/06,16,97,312
2014/11/07,16,99,313
2014/11/08,16,103,314
2014/11/09,17,104,318
2014/11/10,18,104,317
2014/11/11,18,104,319
2014/11/12,17,106,320
2014/11/13,18,108,322
2014/11/14,16,109,324
2014/11/15,16,108,325
2014/11/16,16,107,328
2014/11/17,16,111,338
2014/11/18,16,112,341
2014/11/19,15,114,343
2014/11/20,15,116,344
2014/11/21,15,117,342
2014/11/22,15,116,343
2014/11/23,16,115,341
2014/11/24,17,118,343
2014/11/25,16,122,352
