date,kbdwiki (100+),kbdwiki (5+),kbdwiki (all)
2012/12/20,,11,24
2012/12/21,,11,24
2012/12/22,,11,24
2012/12/23,,11,24
2012/12/24,,11,24
2012/12/25,,12,23
2012/12/26,,12,24
2012/12/27,,12,24
2012/12/28,,11,24
2012/12/29,,11,25
2012/12/30,,11,25
2012/12/31,,12,25
2013/01/01,,12,25
2013/01/02,,12,24
2013/01/03,,12,24
2013/01/04,,12,24
2013/01/05,,12,24
2013/01/06,,12,24
2013/01/07,,12,23
2013/01/08,,12,23
2013/01/09,,11,23
2013/01/10,,11,23
2013/01/11,,11,23
2013/01/12,,11,23
2013/01/13,,11,24
2013/01/14,,11,23
2013/01/15,,11,24
2013/01/16,,11,22
2013/01/17,,11,21
2013/01/18,,11,22
2013/01/19,,9,22
2013/01/20,,9,22
2013/01/21,,8,25
2013/01/22,,8,25
2013/01/23,,9,25
2013/01/24,,9,26
2013/01/25,,9,25
2013/01/26,1,9,26
2013/01/27,1,9,26
2013/01/28,1,10,25
2013/01/29,1,9,26
2013/01/30,1,8,26
2013/01/31,1,9,26
2013/02/01,1,9,27
2013/02/02,1,9,26
2013/02/03,1,9,26
2013/02/04,1,10,27
2013/02/05,1,10,27
2013/02/06,1,10,26
2013/02/07,1,11,26
2013/02/08,1,11,26
2013/02/09,1,11,25
2013/02/10,1,11,26
2013/02/11,1,11,28
2013/02/12,1,11,27
2013/02/13,1,11,27
2013/02/14,1,12,27
2013/02/15,1,12,26
2013/02/16,1,12,26
2013/02/17,1,11,26
2013/02/18,1,11,26
2013/02/19,1,10,26
2013/02/20,1,10,26
2013/02/21,1,9,26
2013/02/22,1,8,28
2013/02/23,1,9,27
2013/02/24,1,9,26
2013/02/25,1,9,25
2013/02/26,1,9,25
2013/02/27,1,9,25
2013/02/28,1,8,24
2013/03/01,1,9,24
2013/03/02,1,9,25
2013/03/03,1,10,24
2013/03/04,1,10,24
2013/03/05,1,10,23
2013/03/06,1,9,24
2013/03/07,1,9,24
2013/03/08,2,9,25
2013/03/09,2,9,27
2013/03/10,2,8,27
2013/03/11,2,8,28
2013/03/12,2,8,28
2013/03/13,2,8,27
2013/03/14,2,7,24
2013/03/15,2,7,24
2013/03/16,2,6,23
2013/03/17,2,6,22
2013/03/18,2,6,22
2013/03/19,2,6,22
2013/03/20,2,6,21
2013/03/21,1,6,21
2013/03/22,1,6,20
2013/03/23,1,6,21
2013/03/24,1,6,22
2013/03/25,1,6,21
2013/03/26,1,6,21
2013/03/27,1,6,21
2013/03/28,1,7,21
2013/03/29,1,7,20
2013/03/30,1,6,19
2013/03/31,1,6,19
2013/04/01,1,6,20
2013/04/02,1,5,18
2013/04/03,1,5,18
2013/04/04,1,5,18
2013/04/05,1,4,15
2013/04/06,1,4,13
2013/04/07,1,3,13
2013/04/08,1,3,14
2013/04/09,1,3,14
2013/04/10,1,4,14
2013/04/11,1,4,14
2013/04/12,1,4,14
2013/04/13,1,4,13
2013/04/14,1,4,13
2013/04/15,1,4,13
2013/04/16,1,4,14
2013/04/17,,4,14
2013/04/18,1,5,16
2013/04/19,1,5,16
2013/04/20,,5,17
2013/04/21,,6,18
2013/04/22,,6,18
2013/04/23,,6,17
2013/04/24,1,7,18
2013/04/25,1,8,18
2013/04/26,1,8,18
2013/04/27,1,7,18
2013/04/28,2,7,18
2013/04/29,2,7,19
2013/04/30,2,7,19
2013/05/01,2,7,20
2013/05/02,2,7,20
2013/05/03,2,7,20
2013/05/04,2,7,21
2013/05/05,2,7,21
2013/05/06,2,7,21
2013/05/07,2,7,21
2013/05/08,2,7,20
2013/05/09,2,7,20
2013/05/10,2,6,17
2013/05/11,2,6,16
2013/05/12,2,6,15
2013/05/13,2,6,15
2013/05/14,2,6,15
2013/05/15,2,6,15
2013/05/16,2,6,14
2013/05/17,2,6,14
2013/05/18,2,5,13
2013/05/19,2,5,13
2013/05/20,2,5,11
2013/05/21,2,5,11
2013/05/22,2,5,12
2013/05/23,2,5,12
2013/05/24,2,4,11
2013/05/25,2,4,11
2013/05/26,1,4,12
2013/05/27,,4,13
2013/05/28,,4,13
2013/05/29,,4,12
2013/05/30,,3,12
2013/05/31,,3,11
2013/06/01,,3,12
2013/06/02,,3,12
2013/06/03,,3,11
2013/06/04,,3,10
2013/06/05,,3,10
2013/06/06,,4,10
2013/06/07,,3,8
2013/06/08,,3,8
2013/06/09,,3,8
2013/06/10,,3,10
2013/06/11,,3,10
2013/06/12,,3,10
2013/06/13,,3,9
2013/06/14,,3,9
2013/06/15,,4,9
2013/06/16,,4,9
2013/06/17,,4,9
2013/06/18,,4,9
2013/06/19,,4,10
2013/06/20,,4,12
2013/06/21,,4,11
2013/06/22,,4,12
2013/06/23,,4,12
2013/06/24,,4,12
2013/06/25,,3,12
2013/06/26,,3,12
2013/06/27,,3,12
2013/06/28,,3,13
2013/06/29,,2,13
2013/06/30,,2,13
2013/07/01,,2,12
2013/07/02,,2,12
2013/07/03,,2,13
2013/07/04,,1,13
2013/07/05,,1,14
2013/07/06,,1,14
2013/07/07,,1,14
2013/07/08,,1,15
2013/07/09,,1,14
2013/07/10,,2,12
2013/07/11,,2,12
2013/07/12,,2,12
2013/07/13,,2,12
2013/07/14,,2,12
2013/07/15,,2,11
2013/07/16,,2,11
2013/07/17,,2,11
2013/07/18,,2,12
2013/07/19,,2,11
2013/07/20,,1,9
2013/07/21,,1,9
2013/07/22,,1,9
2013/07/23,,1,9
2013/07/24,,1,9
2013/07/25,,1,10
2013/07/26,,1,10
2013/07/27,,1,11
2013/07/28,,1,10
2013/07/29,,1,11
2013/07/30,,1,11
2013/07/31,,1,12
2013/08/01,,1,11
2013/08/02,,1,10
2013/08/03,,1,10
2013/08/04,,1,9
2013/08/05,,1,9
2013/08/06,,1,9
2013/08/07,,1,8
2013/08/08,,1,8
2013/08/09,,,10
2013/08/10,,,10
2013/08/11,,,10
2013/08/12,,,11
2013/08/13,,,11
2013/08/14,,,11
2013/08/15,,,11
2013/08/16,,,11
2013/08/17,,1,11
2013/08/18,,1,12
2013/08/19,,1,12
2013/08/20,,1,12
2013/08/21,,1,12
2013/08/22,,1,12
2013/08/23,,1,12
2013/08/24,,1,10
2013/08/25,,1,10
2013/08/26,,1,9
2013/08/27,,1,9
2013/08/28,,1,9
2013/08/29,,1,9
2013/08/30,,1,6
2013/08/31,,1,6
2013/09/01,,1,6
2013/09/02,,1,6
2013/09/03,,1,6
2013/09/04,,1,6
2013/09/05,,1,6
2013/09/06,,1,6
2013/09/07,,1,5
2013/09/08,,1,5
2013/09/09,,1,5
2013/09/10,,1,5
2013/09/11,,1,3
2013/09/12,,1,3
2013/09/13,,1,3
2013/09/14,,1,3
2013/09/15,,1,3
2013/09/16,,,2
2013/09/17,,,1
2013/09/18,,,2
2013/09/19,,,2
2013/09/20,,,2
2013/09/21,,,2
2013/09/22,,,3
2013/09/23,,,4
2013/09/24,,,4
2013/09/25,,,4
2013/09/26,,,4
2013/09/27,,,4
2013/09/28,,,4
2013/09/29,,,4
2013/09/30,,,5
2013/10/01,,,5
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,6
2013/10/05,,1,6
2013/10/06,,1,6
2013/10/07,,1,6
2013/10/08,,1,6
2013/10/09,,1,6
2013/10/10,,1,6
2013/10/11,,1,6
2013/10/12,,1,6
2013/10/13,,1,7
2013/10/14,,1,7
2013/10/15,,1,7
2013/10/16,,2,8
2013/10/17,,2,8
2013/10/18,,2,7
2013/10/19,,2,7
2013/10/20,,2,7
2013/10/21,,2,8
2013/10/22,,2,8
2013/10/23,,2,7
2013/10/24,,2,7
2013/10/25,,2,7
2013/10/26,,2,7
2013/10/27,,2,8
2013/10/28,,2,8
2013/10/29,,2,7
2013/10/30,,3,7
2013/10/31,,3,7
2013/11/01,,3,7
2013/11/02,,3,7
2013/11/03,,3,8
2013/11/04,,3,8
2013/11/05,,3,8
2013/11/06,,3,8
2013/11/07,,3,8
2013/11/08,,3,8
2013/11/09,,3,8
2013/11/10,,3,8
2013/11/11,,3,8
2013/11/12,,3,7
2013/11/13,,3,7
2013/11/14,,3,7
2013/11/15,,2,6
2013/11/16,,2,6
2013/11/17,,2,6
2013/11/18,,2,6
2013/11/19,,2,6
2013/11/20,,2,7
2013/11/21,,2,8
2013/11/22,,2,8
2013/11/23,,2,8
2013/11/24,,2,10
2013/11/25,,2,10
2013/11/26,,2,9
2013/11/27,,2,9
2013/11/28,,2,9
2013/11/29,,2,8
2013/11/30,,2,8
2013/12/01,,2,9
2013/12/02,,2,9
2013/12/03,,2,8
2013/12/04,,2,8
2013/12/05,,2,8
2013/12/06,,2,7
2013/12/07,,2,7
2013/12/08,,2,7
2013/12/09,,2,8
2013/12/10,,2,8
2013/12/11,,2,8
2013/12/12,,2,8
2013/12/13,,1,8
2013/12/14,,1,8
2013/12/15,,1,8
2013/12/16,,1,8
2013/12/17,,1,8
2013/12/18,,1,8
2013/12/19,,1,8
2013/12/20,,1,8
2013/12/21,,1,8
2013/12/22,,1,8
2013/12/23,,1,8
2013/12/24,,2,7
2013/12/25,,2,7
2013/12/26,1,2,7
2013/12/27,1,2,8
2013/12/28,1,1,8
2013/12/29,1,2,8
2013/12/30,1,3,8
2013/12/31,1,3,8
2014/01/01,1,3,8
2014/01/02,1,2,8
2014/01/03,1,2,7
2014/01/04,1,3,7
2014/01/05,1,3,7
2014/01/06,1,3,7
2014/01/07,1,3,7
2014/01/08,,3,6
2014/01/09,,3,6
2014/01/10,,3,6
2014/01/11,,3,6
2014/01/12,,3,7
2014/01/13,,3,7
2014/01/14,,3,7
2014/01/15,,3,7
2014/01/16,,3,8
2014/01/17,,3,8
2014/01/18,,3,8
2014/01/19,,3,9
2014/01/20,,3,8
2014/01/21,,3,8
2014/01/22,,3,8
2014/01/23,,3,9
2014/01/24,,2,10
2014/01/25,,3,10
2014/01/26,,3,11
2014/01/27,,3,13
2014/01/28,,3,12
2014/01/29,,3,12
2014/01/30,,3,11
2014/01/31,,3,10
2014/02/01,,3,10
2014/02/02,,3,11
2014/02/03,,2,12
2014/02/04,,3,12
2014/02/05,,3,12
2014/02/06,,3,12
2014/02/07,,3,12
2014/02/08,,3,13
2014/02/09,,3,13
2014/02/10,,3,13
2014/02/11,,3,13
2014/02/12,,3,13
2014/02/13,,3,15
2014/02/14,,3,15
2014/02/15,,3,15
2014/02/16,,3,16
2014/02/17,,3,17
2014/02/18,,3,16
2014/02/19,,3,17
2014/02/20,,3,17
2014/02/21,,3,17
2014/02/22,,4,19
2014/02/23,,4,18
2014/02/24,,4,17
2014/02/25,,3,16
2014/02/26,,3,15
2014/02/27,,3,15
2014/02/28,,3,14
2014/03/01,,3,14
2014/03/02,,3,14
2014/03/03,,3,14
2014/03/04,,3,14
2014/03/05,,3,14
2014/03/06,,3,14
2014/03/07,,3,16
2014/03/08,,3,16
2014/03/09,,3,16
2014/03/10,,3,16
2014/03/11,,3,16
2014/03/12,,3,16
2014/03/13,,3,15
2014/03/14,,3,15
2014/03/15,,3,13
2014/03/16,,3,14
2014/03/17,,3,14
2014/03/18,,3,14
2014/03/19,,3,14
2014/03/20,,3,14
2014/03/21,,3,13
2014/03/22,,3,14
2014/03/23,,3,14
2014/03/24,,1,13
2014/03/25,,1,13
2014/03/26,,1,13
2014/03/27,,1,13
2014/03/28,,1,13
2014/03/29,,1,11
2014/03/30,,1,12
2014/03/31,,1,11
2014/04/01,,2,11
2014/04/02,,2,11
2014/04/03,,2,11
2014/04/04,,2,11
2014/04/05,,2,11
2014/04/06,,2,9
2014/04/07,,2,9
2014/04/08,,2,9
2014/04/09,,3,10
2014/04/10,,3,10
2014/04/11,,3,10
2014/04/12,,3,10
2014/04/13,,3,10
2014/04/14,,3,9
2014/04/15,,3,8
2014/04/16,,3,9
2014/04/17,,3,11
2014/04/18,,2,12
2014/04/19,,2,11
2014/04/20,,2,11
2014/04/21,,2,10
2014/04/22,,2,10
2014/04/23,,2,10
2014/04/24,,2,10
2014/04/25,,2,10
2014/04/26,,2,10
2014/04/27,1,2,10
2014/04/28,1,2,11
2014/04/29,1,2,10
2014/04/30,1,3,10
2014/05/01,,3,10
2014/05/02,,3,10
2014/05/03,,3,11
2014/05/04,,3,12
2014/05/05,,3,12
2014/05/06,,2,13
2014/05/07,,2,13
2014/05/08,,2,13
2014/05/09,,2,12
2014/05/10,,2,12
2014/05/11,1,2,12
2014/05/12,1,2,13
2014/05/13,1,2,13
2014/05/14,,2,13
2014/05/15,,2,13
2014/05/16,1,2,12
2014/05/17,1,2,10
2014/05/18,1,2,9
2014/05/19,1,2,10
2014/05/20,1,2,10
2014/05/21,1,2,10
2014/05/22,1,2,11
2014/05/23,1,2,13
2014/05/24,1,2,13
2014/05/25,1,2,13
2014/05/26,1,1,12
2014/05/27,1,1,12
2014/05/28,1,1,11
2014/05/29,1,1,11
2014/05/30,1,1,11
2014/05/31,1,1,11
2014/06/01,1,1,13
2014/06/02,1,1,12
2014/06/03,1,2,13
2014/06/04,1,2,13
2014/06/05,1,2,12
2014/06/06,1,2,12
2014/06/07,1,2,12
2014/06/08,1,2,12
2014/06/09,1,2,12
2014/06/10,1,2,13
2014/06/11,1,2,12
2014/06/12,1,2,12
2014/06/13,1,2,12
2014/06/14,1,2,12
2014/06/15,1,2,12
2014/06/16,1,2,13
2014/06/17,1,2,13
2014/06/18,1,2,12
2014/06/19,1,2,12
2014/06/20,1,2,13
2014/06/21,1,2,12
2014/06/22,1,3,11
2014/06/23,1,3,11
2014/06/24,1,3,12
2014/06/25,1,3,12
2014/06/26,1,3,12
2014/06/27,1,3,12
2014/06/28,1,3,13
2014/06/29,1,3,13
2014/06/30,1,3,14
2014/07/01,1,3,14
2014/07/02,1,3,14
2014/07/03,1,3,14
2014/07/04,1,3,13
2014/07/05,1,3,14
2014/07/06,1,3,14
2014/07/07,1,3,14
2014/07/08,1,3,14
2014/07/09,1,2,13
2014/07/10,1,2,11
2014/07/11,1,2,13
2014/07/12,1,2,13
2014/07/13,1,2,13
2014/07/14,1,2,12
2014/07/15,1,2,12
2014/07/16,1,2,11
2014/07/17,1,2,11
2014/07/18,1,2,12
2014/07/19,1,2,12
2014/07/20,,2,11
2014/07/21,,2,11
2014/07/22,,1,11
2014/07/23,,1,11
2014/07/24,,1,11
2014/07/25,,1,13
2014/07/26,1,2,12
2014/07/27,1,2,13
2014/07/28,1,2,12
2014/07/29,1,2,12
2014/07/30,,2,10
2014/07/31,1,2,8
2014/08/01,1,2,8
2014/08/02,1,2,8
2014/08/03,1,2,8
2014/08/04,1,2,8
2014/08/05,1,2,8
