date,afwiki (100+),afwiki (5+),afwiki (all)
2013/06/08,7,32,128
2013/06/09,7,32,128
2013/06/10,7,32,125
2013/06/11,8,32,126
2013/06/12,8,32,127
2013/06/13,8,33,128
2013/06/14,8,33,127
2013/06/15,7,34,129
2013/06/16,7,33,127
2013/06/17,8,32,126
2013/06/18,8,31,132
2013/06/19,8,31,134
2013/06/20,8,31,132
2013/06/21,8,33,130
2013/06/22,8,33,131
2013/06/23,8,32,130
2013/06/24,8,32,130
2013/06/25,8,33,127
2013/06/26,8,33,125
2013/06/27,9,33,130
2013/06/28,9,35,129
2013/06/29,7,35,126
2013/06/30,7,34,122
2013/07/01,8,33,120
2013/07/02,7,34,124
2013/07/03,8,34,123
2013/07/04,8,34,118
2013/07/05,8,36,120
2013/07/06,8,36,119
2013/07/07,8,36,116
2013/07/08,9,34,113
2013/07/09,9,34,117
2013/07/10,9,34,117
2013/07/11,9,35,116
2013/07/12,9,35,118
2013/07/13,9,35,121
2013/07/14,9,34,124
2013/07/15,9,34,121
2013/07/16,11,38,122
2013/07/17,10,39,123
2013/07/18,10,39,119
2013/07/19,10,39,117
2013/07/20,10,39,119
2013/07/21,10,37,120
2013/07/22,10,37,121
2013/07/23,10,36,117
2013/07/24,10,37,120
2013/07/25,10,35,120
2013/07/26,10,36,125
2013/07/27,10,36,123
2013/07/28,10,36,122
2013/07/29,10,35,124
2013/07/30,10,36,126
2013/07/31,11,37,128
2013/08/01,10,36,123
2013/08/02,10,36,122
2013/08/03,10,35,122
2013/08/04,11,33,121
2013/08/05,10,32,118
2013/08/06,10,32,120
2013/08/07,10,32,123
2013/08/08,10,33,121
2013/08/09,10,33,120
2013/08/10,10,32,121
2013/08/11,9,34,120
2013/08/12,9,34,119
2013/08/13,9,34,116
2013/08/14,9,33,116
2013/08/15,9,31,116
2013/08/16,9,30,114
2013/08/17,9,29,116
2013/08/18,9,28,116
2013/08/19,10,28,114
2013/08/20,10,29,115
2013/08/21,10,29,117
2013/08/22,10,29,115
2013/08/23,10,28,112
2013/08/24,10,29,110
2013/08/25,10,29,108
2013/08/26,10,29,111
2013/08/27,10,29,113
2013/08/28,10,29,107
2013/08/29,10,30,111
2013/08/30,9,27,113
2013/08/31,9,27,115
2013/09/01,9,25,116
2013/09/02,9,25,114
2013/09/03,9,24,116
2013/09/04,9,25,116
2013/09/05,9,25,112
2013/09/06,9,25,112
2013/09/07,8,25,113
2013/09/08,8,24,114
2013/09/09,8,24,117
2013/09/10,8,23,119
2013/09/11,8,23,119
2013/09/12,8,24,122
2013/09/13,8,25,122
2013/09/14,9,23,120
2013/09/15,9,23,121
2013/09/16,9,23,119
2013/09/17,9,25,120
2013/09/18,9,25,120
2013/09/19,9,24,120
2013/09/20,9,25,115
2013/09/21,9,27,120
2013/09/22,9,26,117
2013/09/23,9,28,119
2013/09/24,9,28,123
2013/09/25,8,28,122
2013/09/26,8,28,122
2013/09/27,8,28,122
2013/09/28,8,27,119
2013/09/29,8,26,118
2013/09/30,8,26,117
2013/10/01,8,27,114
2013/10/02,8,27,115
2013/10/03,8,27,118
2013/10/04,8,27,116
2013/10/05,8,26,116
2013/10/06,8,25,117
2013/10/07,8,23,113
2013/10/08,8,24,116
2013/10/09,8,24,112
2013/10/10,8,24,110
2013/10/11,7,23,112
2013/10/12,7,22,112
2013/10/13,8,22,112
2013/10/14,8,21,115
2013/10/15,8,21,114
2013/10/16,8,22,113
2013/10/17,8,21,114
2013/10/18,8,21,115
2013/10/19,7,21,117
2013/10/20,7,22,124
2013/10/21,8,21,122
2013/10/22,6,21,124
2013/10/23,6,19,125
2013/10/24,6,20,123
2013/10/25,7,22,126
2013/10/26,7,22,127
2013/10/27,6,22,129
2013/10/28,6,22,132
2013/10/29,6,22,132
2013/10/30,6,24,136
2013/10/31,6,24,139
2013/11/01,6,26,137
2013/11/02,6,25,133
2013/11/03,6,26,134
2013/11/04,6,26,138
2013/11/05,6,26,135
2013/11/06,6,28,136
2013/11/07,6,29,135
2013/11/08,6,29,140
2013/11/09,6,29,139
2013/11/10,6,29,139
2013/11/11,6,29,137
2013/11/12,7,27,138
2013/11/13,7,28,138
2013/11/14,8,29,137
2013/11/15,9,29,138
2013/11/16,9,28,136
2013/11/17,9,28,135
2013/11/18,9,28,131
2013/11/19,9,28,125
2013/11/20,9,29,122
2013/11/21,9,29,122
2013/11/22,9,29,120
2013/11/23,9,29,119
2013/11/24,9,29,117
2013/11/25,9,30,115
2013/11/26,9,31,114
2013/11/27,9,31,117
2013/11/28,8,33,117
2013/11/29,8,32,112
2013/11/30,8,32,111
2013/12/01,9,32,111
2013/12/02,9,33,112
2013/12/03,9,31,113
2013/12/04,9,31,115
2013/12/05,9,33,118
2013/12/06,9,35,119
2013/12/07,9,35,114
2013/12/08,9,35,113
2013/12/09,9,35,118
2013/12/10,9,36,125
2013/12/11,9,35,123
2013/12/12,10,35,123
2013/12/13,10,37,123
2013/12/14,10,34,125
2013/12/15,9,35,124
2013/12/16,9,35,127
2013/12/17,9,34,127
2013/12/18,9,34,129
2013/12/19,9,33,127
2013/12/20,9,34,127
2013/12/21,9,34,128
2013/12/22,9,34,127
2013/12/23,9,34,124
2013/12/24,9,34,122
2013/12/25,9,34,119
2013/12/26,8,33,119
2013/12/27,8,32,117
2013/12/28,8,34,115
2013/12/29,8,32,116
2013/12/30,8,32,117
2013/12/31,8,33,119
2014/01/01,8,33,119
2014/01/02,8,33,116
2014/01/03,8,31,114
2014/01/04,8,30,113
2014/01/05,8,28,113
2014/01/06,8,28,114
2014/01/07,7,27,113
2014/01/08,7,26,111
2014/01/09,7,25,110
2014/01/10,7,26,113
2014/01/11,7,28,118
2014/01/12,7,29,116
2014/01/13,7,29,116
2014/01/14,7,29,116
2014/01/15,7,30,115
2014/01/16,7,31,117
2014/01/17,6,32,119
2014/01/18,6,33,119
2014/01/19,6,34,121
2014/01/20,7,33,120
2014/01/21,7,33,121
2014/01/22,6,33,125
2014/01/23,6,33,132
2014/01/24,6,34,135
2014/01/25,7,34,136
2014/01/26,7,33,139
2014/01/27,7,32,136
2014/01/28,7,33,139
2014/01/29,7,33,141
2014/01/30,7,36,141
2014/01/31,7,35,144
2014/02/01,7,35,142
2014/02/02,7,34,140
2014/02/03,7,35,139
2014/02/04,7,35,142
2014/02/05,7,35,139
2014/02/06,7,35,137
2014/02/07,7,37,135
2014/02/08,7,37,132
2014/02/09,7,35,127
2014/02/10,7,35,129
2014/02/11,7,32,127
2014/02/12,7,32,127
2014/02/13,7,32,126
2014/02/14,7,34,127
2014/02/15,7,33,128
2014/02/16,7,32,131
2014/02/17,7,35,131
2014/02/18,8,36,135
2014/02/19,8,37,141
2014/02/20,8,38,138
2014/02/21,8,36,137
2014/02/22,8,35,131
2014/02/23,8,35,127
2014/02/24,8,34,128
2014/02/25,7,33,127
2014/02/26,7,34,127
2014/02/27,7,34,122
2014/02/28,7,34,120
2014/03/01,7,35,122
2014/03/02,7,34,119
2014/03/03,7,34,118
2014/03/04,7,33,117
2014/03/05,7,31,121
2014/03/06,7,33,117
2014/03/07,7,33,117
2014/03/08,8,32,117
2014/03/09,8,31,116
2014/03/10,7,31,117
2014/03/11,7,31,116
2014/03/12,7,32,115
2014/03/13,7,33,116
2014/03/14,7,32,117
2014/03/15,9,32,119
2014/03/16,9,31,117
2014/03/17,9,31,116
2014/03/18,9,31,114
2014/03/19,9,29,113
2014/03/20,8,28,109
2014/03/21,9,28,103
2014/03/22,9,29,105
2014/03/23,7,30,105
2014/03/24,7,31,107
2014/03/25,7,32,112
2014/03/26,7,31,113
2014/03/27,7,32,113
2014/03/28,8,31,114
2014/03/29,8,32,115
2014/03/30,8,32,118
2014/03/31,8,32,119
2014/04/01,8,34,121
2014/04/02,8,33,126
2014/04/03,8,33,124
2014/04/04,8,34,126
2014/04/05,9,32,128
2014/04/06,9,32,132
2014/04/07,9,32,135
2014/04/08,9,33,134
2014/04/09,8,34,135
2014/04/10,8,34,135
2014/04/11,9,33,132
2014/04/12,8,33,136
2014/04/13,8,34,133
2014/04/14,8,37,133
2014/04/15,8,38,132
2014/04/16,8,39,137
2014/04/17,9,39,134
2014/04/18,9,38,134
2014/04/19,9,39,136
2014/04/20,9,40,145
2014/04/21,9,40,143
2014/04/22,9,36,146
2014/04/23,9,35,144
2014/04/24,10,36,141
2014/04/25,10,34,138
2014/04/26,10,33,140
2014/04/27,9,34,144
2014/04/28,9,34,144
2014/04/29,9,35,146
2014/04/30,9,35,143
2014/05/01,9,33,145
2014/05/02,9,33,143
2014/05/03,9,33,147
2014/05/04,10,33,150
2014/05/05,10,34,153
2014/05/06,10,33,152
2014/05/07,10,33,147
2014/05/08,10,33,147
2014/05/09,10,33,148
2014/05/10,10,34,147
2014/05/11,10,33,148
2014/05/12,10,33,143
2014/05/13,10,33,146
2014/05/14,9,31,146
2014/05/15,8,30,149
2014/05/16,8,31,146
2014/05/17,8,31,147
2014/05/18,8,31,149
2014/05/19,9,31,150
2014/05/20,9,31,139
2014/05/21,9,32,138
2014/05/22,9,31,136
2014/05/23,9,31,136
2014/05/24,9,31,137
2014/05/25,9,32,138
2014/05/26,9,32,139
2014/05/27,9,31,136
2014/05/28,8,33,140
2014/05/29,8,32,138
2014/05/30,8,33,139
2014/05/31,8,33,138
2014/06/01,8,33,139
2014/06/02,8,32,134
2014/06/03,8,31,129
2014/06/04,8,30,127
2014/06/05,8,29,125
2014/06/06,8,29,123
2014/06/07,8,29,124
2014/06/08,8,29,123
2014/06/09,8,28,123
2014/06/10,9,28,125
2014/06/11,9,28,125
2014/06/12,9,27,124
2014/06/13,9,28,122
2014/06/14,9,28,121
2014/06/15,9,28,118
2014/06/16,9,29,120
2014/06/17,10,28,119
2014/06/18,10,29,119
2014/06/19,10,29,122
2014/06/20,10,28,121
2014/06/21,10,29,122
2014/06/22,10,30,119
2014/06/23,10,32,119
2014/06/24,10,32,120
2014/06/25,11,33,116
2014/06/26,11,34,122
2014/06/27,11,32,120
2014/06/28,11,32,119
2014/06/29,13,32,119
2014/06/30,13,31,119
2014/07/01,13,31,117
2014/07/02,13,31,118
2014/07/03,13,32,124
2014/07/04,14,32,124
2014/07/05,14,32,129
2014/07/06,13,32,129
2014/07/07,13,32,128
2014/07/08,13,33,128
2014/07/09,13,33,125
2014/07/10,13,33,122
2014/07/11,13,32,122
2014/07/12,13,33,121
2014/07/13,13,31,126
2014/07/14,13,31,124
2014/07/15,13,31,122
2014/07/16,12,31,117
2014/07/17,11,31,117
2014/07/18,12,30,113
2014/07/19,12,30,109
2014/07/20,11,30,111
2014/07/21,12,28,113
2014/07/22,11,28,111
2014/07/23,9,27,111
2014/07/24,9,27,108
2014/07/25,9,27,108
2014/07/26,9,27,104
2014/07/27,9,28,102
2014/07/28,9,28,104
2014/07/29,8,28,102
2014/07/30,8,27,100
2014/07/31,8,28,103
2014/08/01,8,28,103
2014/08/02,8,26,98
2014/08/03,8,27,97
2014/08/04,8,26,93
2014/08/05,8,26,98
2014/08/06,8,26,104
2014/08/07,8,30,121
2014/08/08,8,31,125
2014/08/09,7,33,127
2014/08/10,7,34,127
2014/08/11,7,34,128
2014/08/12,7,35,127
2014/08/13,7,34,131
2014/08/14,7,34,134
2014/08/15,8,35,135
2014/08/16,8,35,137
2014/08/17,8,34,138
2014/08/18,9,34,140
2014/08/19,9,34,140
2014/08/20,9,35,137
2014/08/21,9,35,139
2014/08/22,9,35,139
2014/08/23,9,36,142
2014/08/24,9,37,145
2014/08/25,9,38,141
2014/08/26,9,38,144
2014/08/27,9,38,144
2014/08/28,9,38,144
2014/08/29,9,36,143
2014/08/30,9,34,146
2014/08/31,9,34,147
2014/09/01,10,35,147
2014/09/02,11,36,149
2014/09/03,11,36,153
2014/09/04,11,36,149
2014/09/05,11,36,144
2014/09/06,11,32,133
2014/09/07,11,32,133
2014/09/08,11,32,136
2014/09/09,11,33,136
2014/09/10,11,34,137
2014/09/11,11,34,135
2014/09/12,11,34,127
2014/09/13,12,34,121
2014/09/14,10,32,122
2014/09/15,10,32,119
2014/09/16,11,34,117
2014/09/17,10,34,115
2014/09/18,10,34,114
2014/09/19,10,33,114
2014/09/20,10,33,116
2014/09/21,10,34,115
2014/09/22,11,34,112
2014/09/23,11,32,109
2014/09/24,11,31,111
2014/09/25,10,30,106
2014/09/26,10,31,108
2014/09/27,10,31,109
2014/09/28,10,31,108
2014/09/29,10,31,105
2014/09/30,9,31,111
2014/10/01,9,30,110
2014/10/02,9,29,107
2014/10/03,9,30,104
2014/10/04,9,31,112
2014/10/05,9,31,115
2014/10/06,10,31,118
2014/10/07,10,30,117
2014/10/08,10,32,113
2014/10/09,11,32,116
2014/10/10,10,32,115
2014/10/11,10,32,117
2014/10/12,10,32,121
2014/10/13,10,32,122
2014/10/14,11,32,123
2014/10/15,11,32,123
2014/10/16,10,32,123
2014/10/17,10,31,124
2014/10/18,10,32,125
2014/10/19,10,32,122
2014/10/20,10,33,122
2014/10/21,9,31,123
2014/10/22,9,29,120
2014/10/23,9,29,120
2014/10/24,9,29,120
2014/10/25,9,29,121
2014/10/26,9,27,117
2014/10/27,8,28,119
2014/10/28,8,28,119
2014/10/29,8,28,117
2014/10/30,9,27,113
2014/10/31,9,28,111
2014/11/01,9,28,110
2014/11/02,9,26,109
2014/11/03,7,25,104
2014/11/04,8,25,102
2014/11/05,8,25,101
2014/11/06,7,25,101
2014/11/07,7,25,104
2014/11/08,7,25,100
2014/11/09,7,25,98
2014/11/10,7,25,96
2014/11/11,7,24,97
2014/11/12,7,25,99
2014/11/13,7,25,97
2014/11/14,7,24,98
2014/11/15,7,23,103
2014/11/16,7,23,102
2014/11/17,7,23,99
2014/11/18,7,22,101
2014/11/19,7,22,103
2014/11/20,7,23,105
2014/11/21,7,24,104
2014/11/22,7,25,101
2014/11/23,7,26,103
2014/11/24,7,26,102
2014/11/25,7,26,100
2014/11/26,7,25,100
2014/11/27,7,26,99
2014/11/28,7,26,103
2014/11/29,7,26,104
2014/11/30,7,26,104
2014/12/01,7,26,105
2014/12/02,7,25,106
2014/12/03,7,26,102
2014/12/04,7,27,109
2014/12/05,7,27,106
2014/12/06,7,26,106
2014/12/07,7,26,104
2014/12/08,7,25,104
2014/12/09,7,27,104
2014/12/10,7,28,104
2014/12/11,7,30,102
2014/12/12,7,29,102
2014/12/13,7,30,102
2014/12/14,7,30,102
2014/12/15,7,31,105
2014/12/16,6,33,111
2014/12/17,6,34,112
2014/12/18,6,33,111
2014/12/19,6,33,111
2014/12/20,6,33,115
2014/12/21,7,33,113
2014/12/22,7,33,118
2014/12/23,7,35,118
2014/12/24,7,35,114
2014/12/25,7,36,115
2014/12/26,7,35,114
2014/12/27,6,34,114
2014/12/28,7,32,112
2014/12/29,8,31,117
2014/12/30,8,33,120
2014/12/31,8,34,122
2015/01/01,8,37,127
2015/01/02,8,37,126
2015/01/03,8,36,127
2015/01/04,8,36,132
2015/01/05,8,36,138
2015/01/06,8,41,139
2015/01/07,8,40,141
2015/01/08,8,39,141
2015/01/09,8,38,142
2015/01/10,7,37,144
2015/01/11,8,36,142
2015/01/12,8,35,145
2015/01/13,9,37,146
2015/01/14,9,37,146
2015/01/15,9,36,140
2015/01/16,10,36,139
2015/01/17,10,37,140
2015/01/18,10,37,138
2015/01/19,10,36,137
2015/01/20,10,38,139
2015/01/21,10,39,140
2015/01/22,10,37,139
2015/01/23,10,38,144
2015/01/24,10,41,146
2015/01/25,10,40,146
2015/01/26,10,43,148
2015/01/27,10,43,156
2015/01/28,10,43,151
2015/01/29,10,42,153
2015/01/30,10,42,152
2015/01/31,9,38,148
2015/02/01,9,39,152
2015/02/02,9,38,150
2015/02/03,10,37,147
2015/02/04,9,38,148
2015/02/05,9,37,148
2015/02/06,9,37,148
2015/02/07,9,36,148
2015/02/08,9,35,151
2015/02/09,9,33,149
2015/02/10,9,34,153
2015/02/11,8,34,150
2015/02/12,8,33,148
2015/02/13,8,33,152
2015/02/14,7,33,153
2015/02/15,7,33,152
2015/02/16,7,33,152
2015/02/17,7,34,152
2015/02/18,7,33,155
2015/02/19,7,32,154
2015/02/20,7,30,149
2015/02/21,7,30,148
2015/02/22,7,29,146
2015/02/23,7,28,149
2015/02/24,7,30,154
2015/02/25,7,29,155
2015/02/26,7,28,149
2015/02/27,7,27,152
2015/02/28,7,26,154
2015/03/01,7,27,157
2015/03/02,7,27,155
2015/03/03,7,27,154
2015/03/04,7,28,151
2015/03/05,7,28,150
2015/03/06,7,29,148
2015/03/07,7,28,144
2015/03/08,7,29,142
2015/03/09,7,29,143
2015/03/10,7,30,146
2015/03/11,7,30,146
2015/03/12,7,31,142
2015/03/13,7,32,146
2015/03/14,7,31,143
2015/03/15,7,30,138
2015/03/16,8,30,134
2015/03/17,8,30,138
2015/03/18,8,31,142
2015/03/19,8,30,147
2015/03/20,8,31,147
2015/03/21,8,32,146
2015/03/22,8,30,149
2015/03/23,8,31,153
2015/03/24,8,33,151
2015/03/25,9,33,143
2015/03/26,9,31,142
2015/03/27,9,31,139
2015/03/28,9,30,140
2015/03/29,9,30,138
2015/03/30,9,30,139
2015/03/31,9,30,130
2015/04/01,9,29,131
2015/04/02,9,29,131
2015/04/03,9,27,133
2015/04/04,9,26,136
2015/04/05,9,27,138
2015/04/06,9,27,138
2015/04/07,9,26,137
2015/04/08,9,28,134
2015/04/09,9,27,128
2015/04/10,9,28,129
2015/04/11,9,27,136
2015/04/12,9,28,135
2015/04/13,10,28,135
2015/04/14,10,27,136
2015/04/15,10,28,136
2015/04/16,9,27,134
2015/04/17,10,28,130
2015/04/18,11,29,127
2015/04/19,11,28,128
2015/04/20,11,28,128
2015/04/21,11,28,129
2015/04/22,11,28,125
2015/04/23,11,27,124
2015/04/24,11,27,125
2015/04/25,11,28,123
2015/04/26,11,28,120
2015/04/27,10,28,118
2015/04/28,10,27,123
2015/04/29,10,28,123
2015/04/30,10,28,127
2015/05/01,10,28,129
2015/05/02,10,28,130
2015/05/03,10,28,129
2015/05/04,10,28,128
2015/05/05,10,28,126
2015/05/06,10,28,125
2015/05/07,10,28,125
2015/05/08,10,27,130
2015/05/09,10,27,134
2015/05/10,10,27,136
2015/05/11,10,27,132
2015/05/12,10,26,130
2015/05/13,10,27,130
2015/05/14,10,27,127
2015/05/15,9,27,128
2015/05/16,9,28,127
2015/05/17,8,27,131
2015/05/18,7,27,134
2015/05/19,7,28,131
2015/05/20,7,29,130
2015/05/21,7,31,131
2015/05/22,7,32,133
2015/05/23,7,32,137
2015/05/24,7,33,137
2015/05/25,7,31,141
2015/05/26,7,31,146
2015/05/27,7,30,142
2015/05/28,6,29,139
2015/05/29,6,28,137
2015/05/30,7,31,138
2015/05/31,7,31,140
2015/06/01,7,31,136
2015/06/02,7,31,134
2015/06/03,7,30,137
2015/06/04,7,30,140
2015/06/05,7,32,145
2015/06/06,8,34,150
2015/06/07,8,33,150
2015/06/08,8,34,146
2015/06/09,9,36,148
2015/06/10,9,36,148
2015/06/11,9,37,150
2015/06/12,9,38,147
2015/06/13,8,39,145
2015/06/14,9,39,150
2015/06/15,10,38,145
2015/06/16,10,39,147
2015/06/17,10,38,145
2015/06/18,11,39,145
2015/06/19,11,40,147
2015/06/20,11,40,150
2015/06/21,11,39,147
2015/06/22,11,40,146
2015/06/23,11,40,143
2015/06/24,11,40,141
2015/06/25,11,39,140
2015/06/26,11,39,144
2015/06/27,11,39,146
2015/06/28,11,39,150
2015/06/29,11,38,149
2015/06/30,11,39,147
2015/07/01,11,39,151
2015/07/02,11,39,150
2015/07/03,10,37,146
2015/07/04,10,37,144
2015/07/05,11,37,142
2015/07/06,11,36,139
2015/07/07,10,35,136
2015/07/08,10,35,135
2015/07/09,10,33,137
2015/07/10,10,32,134
2015/07/11,10,32,133
2015/07/12,10,31,138
2015/07/13,10,32,142
2015/07/14,8,29,137
2015/07/15,7,33,141
2015/07/16,8,32,138
2015/07/17,9,31,135
2015/07/18,8,31,136
2015/07/19,8,28,135
2015/07/20,9,28,135
2015/07/21,9,26,132
2015/07/22,9,25,133
2015/07/23,9,25,134
2015/07/24,11,25,131
2015/07/25,10,25,133
2015/07/26,10,25,131
