date,iuwiki (100+),iuwiki (5+),iuwiki (all)
2013/08/27,,,4
2013/08/28,,,4
2013/08/29,,,5
2013/08/30,,,4
2013/08/31,,,5
2013/09/01,,,5
2013/09/02,,,5
2013/09/03,,,5
2013/09/04,,,5
2013/09/05,,,4
2013/09/06,,,4
2013/09/07,,,4
2013/09/08,,,3
2013/09/09,,,3
2013/09/10,,,3
2013/09/11,,,2
2013/09/12,,,2
2013/09/13,,,2
2013/09/14,,,2
2013/09/15,,,2
2013/09/16,,,1
2013/09/17,,,1
2013/09/18,,,2
2013/09/19,,,2
2013/09/20,,,2
2013/09/21,,,2
2013/09/22,,,2
2013/09/23,,,2
2013/09/24,,,2
2013/09/25,,,2
2013/09/26,,,2
2013/09/27,,,2
2013/09/28,,,2
2013/09/29,,,2
2013/09/30,,,1
2013/10/01,,,1
2013/10/02,,1,2
2013/10/03,,1,2
2013/10/04,,1,3
2013/10/05,,1,3
2013/10/06,,1,3
2013/10/07,,1,3
2013/10/08,,1,3
2013/10/09,,1,3
2013/10/10,,1,3
2013/10/11,,1,3
2013/10/12,,1,3
2013/10/13,,1,3
2013/10/14,,1,3
2013/10/15,,1,4
2013/10/16,,1,4
2013/10/17,,1,4
2013/10/18,,1,3
2013/10/19,,1,3
2013/10/20,,1,3
2013/10/21,,1,3
2013/10/22,,1,3
2013/10/23,,1,3
2013/10/24,,1,3
2013/10/25,,1,3
2013/10/26,,1,3
2013/10/27,,1,3
2013/10/28,,1,3
2013/10/29,,1,4
2013/10/30,,1,4
2013/10/31,,1,4
2013/11/01,,,3
2013/11/02,,,3
2013/11/03,,,2
2013/11/04,,,3
2013/11/05,,,3
2013/11/06,,,3
2013/11/07,,,4
2013/11/08,,,4
2013/11/09,,,5
2013/11/10,,,5
2013/11/11,,,5
2013/11/12,,,5
2013/11/13,,,5
2013/11/14,,,4
2013/11/15,,,5
2013/11/16,,,5
2013/11/17,,,6
2013/11/18,,,6
2013/11/19,,,6
2013/11/20,,,6
2013/11/21,,,6
2013/11/22,,,6
2013/11/23,,,6
2013/11/24,,,6
2013/11/25,,,6
2013/11/26,,,6
2013/11/27,,,6
2013/11/28,,,5
2013/11/29,,,5
2013/11/30,,,5
2013/12/01,,,5
2013/12/02,,,5
2013/12/03,,,5
2013/12/04,,,5
2013/12/05,,,5
2013/12/06,,,7
