date,lbwiki (100+),lbwiki (5+),lbwiki (all)
2012/12/27,8,32,97
2012/12/28,8,31,100
2012/12/29,9,32,98
2012/12/30,9,32,96
2012/12/31,10,32,98
2013/01/01,10,32,99
2013/01/02,10,32,99
2013/01/03,10,31,99
2013/01/04,10,30,99
2013/01/05,10,30,99
2013/01/06,10,30,98
2013/01/07,10,29,100
2013/01/08,10,29,101
2013/01/09,10,31,103
2013/01/10,10,31,103
2013/01/11,10,32,106
2013/01/12,10,32,111
2013/01/13,10,33,110
2013/01/14,10,33,113
2013/01/15,10,30,112
2013/01/16,9,27,109
2013/01/17,11,27,105
2013/01/18,10,27,103
2013/01/19,11,26,99
2013/01/20,11,26,97
2013/01/21,11,26,95
2013/01/22,10,26,95
2013/01/23,10,25,97
2013/01/24,10,25,93
2013/01/25,9,26,92
2013/01/26,10,25,92
2013/01/27,10,24,91
2013/01/28,10,23,89
2013/01/29,10,23,87
2013/01/30,10,23,85
2013/01/31,10,23,85
2013/02/01,10,23,83
2013/02/02,10,23,85
2013/02/03,10,23,87
2013/02/04,9,23,90
2013/02/05,9,25,90
2013/02/06,9,25,93
2013/02/07,9,25,94
2013/02/08,9,24,90
2013/02/09,9,24,91
2013/02/10,9,24,87
2013/02/11,8,22,89
2013/02/12,8,22,89
2013/02/13,9,22,86
2013/02/14,9,21,86
2013/02/15,6,21,87
2013/02/16,6,21,94
2013/02/17,8,22,96
2013/02/18,8,26,99
2013/02/19,8,26,98
2013/02/20,8,25,96
2013/02/21,8,27,97
2013/02/22,8,28,99
2013/02/23,8,28,99
2013/02/24,8,28,101
2013/02/25,8,27,99
2013/02/26,8,26,100
2013/02/27,8,28,98
2013/02/28,8,29,103
2013/03/01,7,30,105
2013/03/02,8,30,103
2013/03/03,9,29,106
2013/03/04,9,29,106
2013/03/05,9,28,100
2013/03/06,9,28,99
2013/03/07,9,27,98
2013/03/08,10,28,96
2013/03/09,10,28,96
2013/03/10,10,29,98
2013/03/11,10,29,100
2013/03/12,11,30,100
2013/03/13,11,29,97
2013/03/14,11,29,97
2013/03/15,10,29,98
2013/03/16,11,29,101
2013/03/17,11,31,104
2013/03/18,11,31,102
2013/03/19,11,31,101
2013/03/20,11,30,97
2013/03/21,11,30,98
2013/03/22,12,30,98
2013/03/23,12,30,97
2013/03/24,11,29,95
2013/03/25,11,28,94
2013/03/26,11,27,95
2013/03/27,9,26,95
2013/03/28,8,25,95
2013/03/29,7,24,96
2013/03/30,8,22,88
2013/03/31,9,23,87
2013/04/01,9,25,86
2013/04/02,8,24,88
2013/04/03,8,24,89
2013/04/04,8,25,90
2013/04/05,11,27,91
2013/04/06,11,26,90
2013/04/07,10,28,89
2013/04/08,10,28,88
2013/04/09,10,30,89
2013/04/10,10,30,90
2013/04/11,10,28,89
2013/04/12,10,27,89
2013/04/13,10,28,88
2013/04/14,9,29,87
2013/04/15,9,29,84
2013/04/16,9,27,83
2013/04/17,9,27,82
2013/04/18,9,27,85
2013/04/19,9,25,87
2013/04/20,10,25,86
2013/04/21,10,26,86
2013/04/22,10,27,87
2013/04/23,10,27,86
2013/04/24,10,28,87
2013/04/25,10,28,86
2013/04/26,10,28,87
2013/04/27,10,27,88
2013/04/28,10,27,88
2013/04/29,10,27,88
2013/04/30,10,27,91
2013/05/01,10,26,90
2013/05/02,9,26,90
2013/05/03,9,25,89
2013/05/04,8,25,85
2013/05/05,8,25,83
2013/05/06,8,25,84
2013/05/07,8,25,86
2013/05/08,8,25,86
2013/05/09,8,25,83
2013/05/10,8,26,84
2013/05/11,9,26,81
2013/05/12,9,27,80
2013/05/13,9,28,83
2013/05/14,9,28,83
2013/05/15,9,29,86
2013/05/16,9,29,87
2013/05/17,9,29,88
2013/05/18,10,29,85
2013/05/19,10,30,84
2013/05/20,11,30,83
2013/05/21,11,30,86
2013/05/22,9,29,88
2013/05/23,8,29,88
2013/05/24,7,29,90
2013/05/25,8,29,90
2013/05/26,8,29,90
2013/05/27,8,29,88
2013/05/28,8,30,90
2013/05/29,9,31,91
2013/05/30,6,30,87
2013/05/31,7,31,89
2013/06/01,6,31,88
2013/06/02,5,31,87
2013/06/03,5,31,88
2013/06/04,6,31,89
2013/06/05,6,32,89
2013/06/06,6,32,86
2013/06/07,7,31,88
2013/06/08,7,30,88
2013/06/09,7,28,85
2013/06/10,6,28,89
2013/06/11,7,29,93
2013/06/12,7,27,90
2013/06/13,7,27,90
2013/06/14,7,24,86
2013/06/15,6,24,87
2013/06/16,6,23,90
2013/06/17,6,25,91
2013/06/18,6,26,90
2013/06/19,7,26,88
2013/06/20,7,25,84
2013/06/21,7,25,82
2013/06/22,7,25,81
2013/06/23,7,25,83
2013/06/24,7,23,86
2013/06/25,7,24,88
2013/06/26,7,24,85
2013/06/27,7,25,83
2013/06/28,7,25,85
2013/06/29,6,24,82
2013/06/30,5,23,80
2013/07/01,6,24,81
2013/07/02,7,26,85
2013/07/03,7,26,87
2013/07/04,8,26,89
2013/07/05,8,25,88
2013/07/06,8,25,90
2013/07/07,8,24,89
2013/07/08,8,25,88
2013/07/09,8,25,94
2013/07/10,8,26,95
2013/07/11,6,26,92
2013/07/12,5,25,91
2013/07/13,5,25,89
2013/07/14,5,25,92
2013/07/15,6,25,90
2013/07/16,5,25,90
2013/07/17,5,25,86
2013/07/18,5,25,87
2013/07/19,6,26,89
2013/07/20,6,26,90
2013/07/21,6,26,92
2013/07/22,6,27,93
2013/07/23,6,28,89
2013/07/24,7,27,86
2013/07/25,7,25,87
2013/07/26,7,25,88
2013/07/27,7,25,88
2013/07/28,7,25,88
2013/07/29,6,25,92
2013/07/30,6,26,93
2013/07/31,6,25,94
2013/08/01,5,24,92
2013/08/02,6,25,89
2013/08/03,6,28,88
2013/08/04,6,28,90
2013/08/05,7,28,90
2013/08/06,7,29,94
2013/08/07,7,30,96
2013/08/08,7,30,97
2013/08/09,7,30,94
2013/08/10,7,32,96
2013/08/11,7,32,97
2013/08/12,8,33,99
2013/08/13,8,33,97
2013/08/14,8,33,97
2013/08/15,8,33,94
2013/08/16,8,32,94
2013/08/17,9,33,90
2013/08/18,9,32,89
2013/08/19,9,31,89
2013/08/20,9,32,88
2013/08/21,9,30,89
2013/08/22,9,32,90
2013/08/23,8,32,89
2013/08/24,8,31,89
2013/08/25,8,30,91
2013/08/26,8,29,89
2013/08/27,9,29,90
2013/08/28,9,28,87
2013/08/29,10,27,84
2013/08/30,10,27,80
2013/08/31,10,27,78
2013/09/01,10,28,75
2013/09/02,10,27,74
2013/09/03,9,26,71
2013/09/04,9,26,72
2013/09/05,9,25,70
2013/09/06,9,26,71
2013/09/07,9,25,70
2013/09/08,9,26,69
2013/09/09,7,26,65
2013/09/10,8,26,66
2013/09/11,9,24,62
2013/09/12,9,24,61
2013/09/13,10,26,61
2013/09/14,11,26,62
2013/09/15,11,26,64
2013/09/16,10,27,66
2013/09/17,10,26,67
2013/09/18,10,27,68
2013/09/19,9,28,70
2013/09/20,9,29,69
2013/09/21,9,29,71
2013/09/22,9,27,73
2013/09/23,9,27,69
2013/09/24,10,27,67
2013/09/25,9,27,68
2013/09/26,9,25,69
2013/09/27,9,25,69
2013/09/28,9,25,67
2013/09/29,9,26,68
2013/09/30,9,25,66
2013/10/01,9,25,66
2013/10/02,9,26,67
2013/10/03,9,25,68
2013/10/04,9,25,70
2013/10/05,10,24,73
2013/10/06,9,23,72
2013/10/07,10,23,69
2013/10/08,9,23,71
2013/10/09,9,23,73
2013/10/10,8,23,72
2013/10/11,9,23,72
2013/10/12,9,22,73
2013/10/13,8,20,71
2013/10/14,8,20,73
2013/10/15,8,20,72
2013/10/16,8,19,73
2013/10/17,8,19,73
2013/10/18,8,18,73
2013/10/19,8,18,74
2013/10/20,7,17,71
2013/10/21,7,19,66
2013/10/22,7,19,65
2013/10/23,8,20,66
2013/10/24,6,21,67
2013/10/25,6,21,68
2013/10/26,6,21,67
2013/10/27,6,22,70
2013/10/28,7,22,72
2013/10/29,8,21,71
2013/10/30,8,21,73
2013/10/31,7,22,72
2013/11/01,7,21,71
2013/11/02,8,21,71
2013/11/03,8,21,72
2013/11/04,8,21,71
2013/11/05,8,21,74
2013/11/06,8,21,75
2013/11/07,8,22,74
2013/11/08,8,22,73
2013/11/09,8,24,73
2013/11/10,8,24,74
2013/11/11,8,25,72
2013/11/12,8,26,72
2013/11/13,8,26,72
2013/11/14,8,26,72
2013/11/15,8,27,70
2013/11/16,8,27,70
2013/11/17,8,27,68
2013/11/18,7,26,65
2013/11/19,7,27,74
2013/11/20,6,28,75
2013/11/21,6,28,76
2013/11/22,6,28,77
2013/11/23,6,28,76
2013/11/24,7,29,75
2013/11/25,7,30,74
2013/11/26,7,30,72
2013/11/27,7,30,71
2013/11/28,7,30,76
2013/11/29,7,29,75
2013/11/30,7,29,75
2013/12/01,7,32,75
2013/12/02,8,32,78
2013/12/03,8,32,77
2013/12/04,8,31,77
2013/12/05,8,32,77
2013/12/06,8,32,78
2013/12/07,8,32,81
2013/12/08,7,32,81
2013/12/09,7,31,80
2013/12/10,7,31,80
2013/12/11,7,31,83
2013/12/12,7,32,86
2013/12/13,7,33,89
2013/12/14,6,33,89
2013/12/15,8,33,90
2013/12/16,8,32,89
2013/12/17,8,32,90
2013/12/18,8,32,95
2013/12/19,8,33,88
2013/12/20,8,35,90
2013/12/21,8,34,90
2013/12/22,8,34,90
2013/12/23,8,35,91
2013/12/24,8,34,92
2013/12/25,8,33,91
2013/12/26,8,34,92
2013/12/27,9,33,89
2013/12/28,9,33,88
2013/12/29,9,31,91
2013/12/30,9,31,91
2013/12/31,9,32,92
2014/01/01,9,33,93
2014/01/02,9,32,92
2014/01/03,10,32,90
2014/01/04,10,31,89
2014/01/05,10,31,92
2014/01/06,9,32,88
2014/01/07,9,33,90
2014/01/08,10,33,89
2014/01/09,10,33,88
2014/01/10,9,31,86
2014/01/11,9,29,85
2014/01/12,9,29,81
2014/01/13,8,29,79
2014/01/14,9,30,80
2014/01/15,9,30,79
2014/01/16,9,29,80
2014/01/17,9,31,78
2014/01/18,8,31,76
2014/01/19,9,30,75
2014/01/20,9,31,76
2014/01/21,9,30,74
2014/01/22,9,29,76
2014/01/23,10,31,75
2014/01/24,10,32,75
2014/01/25,10,33,77
2014/01/26,10,33,80
2014/01/27,10,33,78
2014/01/28,10,32,77
2014/01/29,10,31,79
2014/01/30,10,30,77
2014/01/31,10,30,74
2014/02/01,10,31,75
2014/02/02,10,30,74
2014/02/03,10,28,73
2014/02/04,9,28,72
2014/02/05,9,27,74
2014/02/06,8,26,73
2014/02/07,8,26,73
2014/02/08,8,26,75
2014/02/09,9,26,76
2014/02/10,10,26,76
2014/02/11,10,25,75
2014/02/12,10,24,72
2014/02/13,10,24,72
2014/02/14,10,24,74
2014/02/15,10,24,74
2014/02/16,10,23,73
2014/02/17,10,26,76
2014/02/18,10,27,77
2014/02/19,10,25,78
2014/02/20,10,26,81
2014/02/21,10,26,83
2014/02/22,10,25,82
2014/02/23,10,24,83
2014/02/24,10,22,84
2014/02/25,11,24,82
2014/02/26,11,23,83
2014/02/27,11,23,83
2014/02/28,11,22,83
2014/03/01,11,22,86
2014/03/02,11,23,84
2014/03/03,11,23,85
2014/03/04,11,24,84
2014/03/05,11,24,87
2014/03/06,11,25,85
2014/03/07,12,25,85
2014/03/08,12,26,89
2014/03/09,12,26,87
2014/03/10,11,26,89
2014/03/11,11,25,89
2014/03/12,12,25,88
2014/03/13,12,25,88
2014/03/14,12,25,89
2014/03/15,12,24,91
2014/03/16,12,25,91
2014/03/17,12,25,92
2014/03/18,12,25,91
2014/03/19,12,26,90
2014/03/20,12,26,88
2014/03/21,12,27,87
2014/03/22,12,27,84
2014/03/23,12,27,82
2014/03/24,12,28,85
2014/03/25,11,29,84
2014/03/26,12,29,83
2014/03/27,10,29,83
2014/03/28,10,29,82
2014/03/29,10,29,85
2014/03/30,11,28,84
2014/03/31,10,28,83
2014/04/01,9,28,84
2014/04/02,9,28,86
2014/04/03,9,27,92
2014/04/04,9,27,90
2014/04/05,9,27,92
2014/04/06,8,26,92
2014/04/07,7,25,87
2014/04/08,7,26,86
2014/04/09,7,25,85
2014/04/10,7,23,85
2014/04/11,8,24,85
2014/04/12,7,24,85
2014/04/13,7,26,84
2014/04/14,7,27,86
2014/04/15,7,27,86
2014/04/16,7,25,85
2014/04/17,7,25,85
2014/04/18,7,25,87
2014/04/19,7,24,87
2014/04/20,7,22,90
2014/04/21,7,23,91
2014/04/22,7,24,92
2014/04/23,7,22,91
2014/04/24,7,21,89
2014/04/25,7,22,90
2014/04/26,6,21,92
2014/04/27,7,21,94
2014/04/28,7,23,89
2014/04/29,7,23,90
2014/04/30,7,23,90
2014/05/01,7,23,88
2014/05/02,7,22,86
2014/05/03,7,22,83
2014/05/04,7,21,85
2014/05/05,7,20,84
2014/05/06,7,20,82
2014/05/07,7,20,85
2014/05/08,7,20,82
2014/05/09,7,21,79
2014/05/10,7,21,80
2014/05/11,7,22,81
2014/05/12,7,23,81
2014/05/13,7,24,83
2014/05/14,7,23,84
2014/05/15,7,24,88
2014/05/16,7,23,86
2014/05/17,7,23,86
2014/05/18,7,24,83
2014/05/19,7,24,81
2014/05/20,7,25,79
2014/05/21,8,25,81
2014/05/22,8,25,78
2014/05/23,8,26,78
2014/05/24,8,27,80
2014/05/25,8,26,83
2014/05/26,8,27,82
2014/05/27,8,27,80
2014/05/28,8,27,84
2014/05/29,8,27,83
2014/05/30,8,27,84
2014/05/31,8,26,87
2014/06/01,8,26,89
2014/06/02,8,26,85
2014/06/03,8,27,84
2014/06/04,8,26,83
2014/06/05,8,26,85
2014/06/06,8,28,85
2014/06/07,7,29,84
2014/06/08,7,28,87
2014/06/09,7,26,87
2014/06/10,7,26,85
2014/06/11,7,26,85
2014/06/12,6,25,85
2014/06/13,6,25,84
2014/06/14,6,26,81
2014/06/15,6,25,81
2014/06/16,6,26,82
2014/06/17,6,26,83
2014/06/18,5,27,88
2014/06/19,5,28,89
2014/06/20,5,28,87
2014/06/21,5,27,87
2014/06/22,5,27,84
2014/06/23,5,27,83
2014/06/24,5,25,80
2014/06/25,5,25,80
2014/06/26,5,25,81
2014/06/27,5,24,81
2014/06/28,5,22,81
2014/06/29,5,22,82
2014/06/30,5,23,80
2014/07/01,5,24,82
2014/07/02,5,26,81
2014/07/03,5,24,82
2014/07/04,5,24,82
2014/07/05,5,24,78
2014/07/06,5,22,77
2014/07/07,5,22,76
2014/07/08,5,22,75
2014/07/09,5,22,75
2014/07/10,4,21,75
2014/07/11,4,22,75
2014/07/12,4,22,76
2014/07/13,4,22,76
2014/07/14,5,21,77
2014/07/15,5,21,80
2014/07/16,5,20,77
2014/07/17,5,20,77
2014/07/18,5,20,73
2014/07/19,5,19,71
2014/07/20,5,18,69
2014/07/21,5,19,72
2014/07/22,5,20,74
2014/07/23,5,20,72
2014/07/24,5,21,72
2014/07/25,5,21,73
2014/07/26,5,21,73
2014/07/27,5,21,74
2014/07/28,5,21,78
2014/07/29,5,22,79
2014/07/30,5,22,78
2014/07/31,4,18,78
2014/08/01,4,17,77
2014/08/02,4,18,75
2014/08/03,3,18,76
2014/08/04,3,19,79
2014/08/05,3,19,79
2014/08/06,3,18,78
2014/08/07,3,18,77
2014/08/08,3,18,79
2014/08/09,4,18,80
2014/08/10,4,19,79
2014/08/11,4,19,78
2014/08/12,4,19,79
2014/08/13,5,19,77
2014/08/14,6,20,75
2014/08/15,6,20,76
2014/08/16,6,19,75
2014/08/17,7,19,76
2014/08/18,7,19,78
2014/08/19,7,19,80
2014/08/20,7,19,81
2014/08/21,7,19,80
2014/08/22,7,19,83
2014/08/23,7,18,82
2014/08/24,7,18,79
2014/08/25,7,18,81
2014/08/26,7,19,83
2014/08/27,6,20,79
2014/08/28,6,21,75
2014/08/29,6,21,75
2014/08/30,6,21,75
2014/08/31,6,19,74
2014/09/01,6,20,73
2014/09/02,5,20,74
2014/09/03,6,20,77
2014/09/04,6,20,77
2014/09/05,5,20,78
2014/09/06,5,20,80
2014/09/07,6,20,80
2014/09/08,6,19,80
2014/09/09,6,19,81
2014/09/10,6,20,79
2014/09/11,6,20,78
2014/09/12,6,20,79
2014/09/13,4,21,76
2014/09/14,4,18,76
2014/09/15,3,18,72
2014/09/16,3,19,70
2014/09/17,3,20,66
2014/09/18,3,19,67
2014/09/19,3,20,63
2014/09/20,3,20,62
2014/09/21,3,20,59
2014/09/22,3,20,59
2014/09/23,3,19,60
2014/09/24,3,19,59
2014/09/25,3,19,60
2014/09/26,3,17,59
2014/09/27,3,18,57
2014/09/28,3,18,57
2014/09/29,3,18,54
2014/09/30,3,18,53
2014/10/01,3,19,53
2014/10/02,3,18,55
2014/10/03,3,19,55
2014/10/04,3,18,56
2014/10/05,3,19,57
2014/10/06,3,20,57
2014/10/07,3,20,56
2014/10/08,3,20,57
2014/10/09,3,20,54
2014/10/10,3,19,55
2014/10/11,3,18,54
2014/10/12,3,18,54
2014/10/13,3,18,58
2014/10/14,3,17,59
2014/10/15,3,17,61
2014/10/16,3,18,63
2014/10/17,3,17,64
2014/10/18,3,17,64
2014/10/19,3,15,64
2014/10/20,3,17,65
2014/10/21,3,17,65
2014/10/22,3,19,65
2014/10/23,3,20,65
2014/10/24,3,19,64
2014/10/25,3,19,63
2014/10/26,3,21,63
2014/10/27,3,22,66
2014/10/28,3,21,67
2014/10/29,3,21,69
2014/10/30,3,21,69
2014/10/31,3,19,67
2014/11/01,3,19,65
2014/11/02,4,20,67
2014/11/03,4,21,67
2014/11/04,5,21,64
2014/11/05,5,21,62
2014/11/06,5,21,63
2014/11/07,5,21,63
2014/11/08,5,21,66
2014/11/09,5,22,67
2014/11/10,5,22,67
2014/11/11,5,23,69
2014/11/12,5,23,65
2014/11/13,5,24,67
2014/11/14,5,24,67
2014/11/15,5,23,66
2014/11/16,5,24,66
2014/11/17,5,24,66
2014/11/18,5,24,66
2014/11/19,5,25,67
2014/11/20,5,25,69
2014/11/21,5,24,68
2014/11/22,5,23,70
2014/11/23,5,23,70
2014/11/24,5,24,70
2014/11/25,5,24,72
2014/11/26,5,24,71
2014/11/27,5,24,69
2014/11/28,5,24,68
2014/11/29,5,24,69
2014/11/30,5,24,68
2014/12/01,5,24,72
2014/12/02,5,21,71
2014/12/03,5,20,72
2014/12/04,5,20,73
2014/12/05,5,19,75
2014/12/06,5,19,73
2014/12/07,5,21,73
2014/12/08,5,21,72
2014/12/09,5,20,72
2014/12/10,5,19,71
2014/12/11,5,19,69
2014/12/12,5,20,73
2014/12/13,5,18,74
2014/12/14,5,17,76
2014/12/15,5,17,77
2014/12/16,6,17,77
2014/12/17,6,15,80
2014/12/18,6,16,82
2014/12/19,6,16,83
2014/12/20,6,18,82
2014/12/21,6,19,82
2014/12/22,6,19,80
2014/12/23,6,21,79
2014/12/24,6,21,79
2014/12/25,6,21,75
2014/12/26,6,22,74
2014/12/27,6,22,78
2014/12/28,6,22,79
2014/12/29,6,22,82
2014/12/30,6,22,83
2014/12/31,6,22,80
2015/01/01,6,22,78
2015/01/02,6,23,79
2015/01/03,6,23,79
2015/01/04,7,24,82
2015/01/05,8,24,80
2015/01/06,7,23,80
2015/01/07,7,24,82
2015/01/08,8,25,82
2015/01/09,8,25,83
2015/01/10,8,24,85
2015/01/11,8,24,82
2015/01/12,8,25,85
2015/01/13,8,27,81
2015/01/14,8,28,83
2015/01/15,9,28,81
2015/01/16,9,28,78
2015/01/17,9,29,78
2015/01/18,9,29,78
2015/01/19,9,29,77
2015/01/20,9,30,81
2015/01/21,9,30,81
2015/01/22,9,28,81
2015/01/23,9,28,81
2015/01/24,9,28,83
2015/01/25,9,29,84
2015/01/26,9,28,85
2015/01/27,9,26,84
2015/01/28,8,26,81
2015/01/29,9,26,82
2015/01/30,9,26,85
2015/01/31,9,26,87
2015/02/01,9,25,88
2015/02/02,9,24,88
2015/02/03,10,24,85
2015/02/04,9,25,85
2015/02/05,8,25,86
2015/02/06,8,24,84
2015/02/07,8,26,83
2015/02/08,9,25,83
2015/02/09,9,24,82
2015/02/10,9,23,83
2015/02/11,9,23,82
2015/02/12,7,22,83
2015/02/13,7,22,82
2015/02/14,7,22,82
2015/02/15,7,22,82
2015/02/16,7,21,82
2015/02/17,7,22,83
2015/02/18,7,22,80
2015/02/19,7,21,79
2015/02/20,7,22,80
2015/02/21,7,22,82
2015/02/22,8,22,82
2015/02/23,8,22,79
2015/02/24,6,22,77
2015/02/25,6,22,76
2015/02/26,6,22,75
2015/02/27,6,22,74
2015/02/28,6,23,72
2015/03/01,6,23,77
2015/03/02,6,23,76
2015/03/03,7,23,75
2015/03/04,7,23,75
2015/03/05,7,22,74
2015/03/06,7,22,76
2015/03/07,7,23,78
2015/03/08,7,22,77
2015/03/09,7,22,75
2015/03/10,6,23,73
2015/03/11,6,22,73
2015/03/12,6,21,72
2015/03/13,6,21,70
2015/03/14,6,22,72
2015/03/15,7,21,71
2015/03/16,7,22,71
2015/03/17,7,22,72
2015/03/18,7,22,72
2015/03/19,7,21,71
2015/03/20,7,23,73
2015/03/21,7,23,74
2015/03/22,7,21,74
2015/03/23,7,21,73
2015/03/24,7,21,71
2015/03/25,7,21,73
2015/03/26,7,21,75
2015/03/27,6,21,74
2015/03/28,7,21,75
2015/03/29,7,21,75
2015/03/30,7,21,76
2015/03/31,7,19,72
2015/04/01,7,19,70
2015/04/02,6,19,70
2015/04/03,6,20,73
2015/04/04,6,20,74
2015/04/05,6,21,75
2015/04/06,6,22,76
2015/04/07,6,23,75
2015/04/08,6,23,76
2015/04/09,6,22,75
2015/04/10,6,23,78
2015/04/11,6,24,80
2015/04/12,6,25,81
2015/04/13,6,27,77
2015/04/14,6,27,79
2015/04/15,6,28,82
2015/04/16,6,28,82
2015/04/17,6,29,84
2015/04/18,7,30,83
2015/04/19,7,30,81
2015/04/20,7,30,80
2015/04/21,7,30,80
2015/04/22,7,31,80
2015/04/23,7,31,81
2015/04/24,7,31,79
2015/04/25,7,31,76
2015/04/26,7,31,76
2015/04/27,7,31,75
2015/04/28,7,31,77
2015/04/29,7,30,78
2015/04/30,6,29,77
2015/05/01,6,30,77
2015/05/02,7,30,78
2015/05/03,7,29,80
2015/05/04,8,29,79
2015/05/05,7,27,74
2015/05/06,7,24,75
2015/05/07,5,23,74
2015/05/08,5,23,72
2015/05/09,5,23,73
2015/05/10,5,24,77
2015/05/11,6,23,77
2015/05/12,5,23,78
2015/05/13,5,24,78
2015/05/14,5,24,78
2015/05/15,5,23,74
2015/05/16,5,23,77
2015/05/17,5,23,80
2015/05/18,5,23,82
2015/05/19,5,23,88
2015/05/20,6,23,88
2015/05/21,6,25,89
2015/05/22,6,25,87
2015/05/23,6,27,87
2015/05/24,6,28,90
2015/05/25,6,28,91
2015/05/26,6,30,95
2015/05/27,7,30,94
2015/05/28,6,29,94
2015/05/29,6,29,93
2015/05/30,6,29,95
2015/05/31,6,28,94
2015/06/01,6,29,95
2015/06/02,6,31,95
2015/06/03,7,32,97
2015/06/04,7,32,97
2015/06/05,6,32,95
2015/06/06,6,32,94
2015/06/07,6,32,96
2015/06/08,7,33,96
2015/06/09,7,31,90
2015/06/10,8,32,87
2015/06/11,8,32,86
2015/06/12,8,32,85
2015/06/13,8,31,85
2015/06/14,8,30,86
2015/06/15,8,30,87
2015/06/16,8,33,88
2015/06/17,8,31,87
2015/06/18,8,30,83
2015/06/19,9,29,84
2015/06/20,9,30,82
2015/06/21,9,30,84
2015/06/22,9,30,82
2015/06/23,9,30,80
2015/06/24,8,30,81
2015/06/25,8,30,81
2015/06/26,8,30,80
2015/06/27,8,29,79
2015/06/28,8,30,80
2015/06/29,8,30,78
2015/06/30,8,30,79
2015/07/01,8,29,81
2015/07/02,8,27,79
2015/07/03,8,26,78
2015/07/04,8,25,79
2015/07/05,8,26,77
2015/07/06,8,25,79
2015/07/07,8,25,77
2015/07/08,8,26,75
2015/07/09,8,25,76
2015/07/10,7,25,77
2015/07/11,7,24,77
2015/07/12,7,24,77
2015/07/13,7,25,80
2015/07/14,7,25,80
2015/07/15,7,24,78
2015/07/16,7,24,75
2015/07/17,6,24,74
2015/07/18,5,24,74
2015/07/19,6,24,75
2015/07/20,6,26,72
2015/07/21,6,26,71
2015/07/22,6,27,72
2015/07/23,6,27,73
2015/07/24,6,26,70
2015/07/25,6,26,67
2015/07/26,6,26,66
