date,napwiki (100+),napwiki (5+),napwiki (all)
2013/11/23,2,6,19
2013/11/24,2,6,19
2013/11/25,2,6,18
2013/11/26,2,6,19
2013/11/27,2,6,19
2013/11/28,2,6,19
2013/11/29,1,6,19
2013/11/30,1,6,20
2013/12/01,1,6,20
2013/12/02,1,6,19
2013/12/03,1,6,19
2013/12/04,1,6,19
2013/12/05,1,6,19
2013/12/06,,6,20
2013/12/07,,6,21
2013/12/08,1,6,21
2013/12/09,1,6,23
2013/12/10,,6,23
2013/12/11,,5,23
2013/12/12,,5,22
2013/12/13,,6,21
2013/12/14,,5,20
2013/12/15,,5,21
2013/12/16,1,5,21
2013/12/17,1,5,21
2013/12/18,1,5,22
2013/12/19,1,5,21
2013/12/20,1,5,20
2013/12/21,1,4,18
2013/12/22,1,4,18
2013/12/23,1,4,18
2013/12/24,1,4,19
2013/12/25,1,4,20
2013/12/26,1,4,18
2013/12/27,1,5,19
2013/12/28,1,5,20
2013/12/29,1,5,20
2013/12/30,1,5,20
2013/12/31,1,5,19
2014/01/01,1,5,19
2014/01/02,1,5,18
2014/01/03,1,5,18
2014/01/04,1,5,18
2014/01/05,1,5,18
2014/01/06,2,5,18
2014/01/07,2,5,17
2014/01/08,2,5,16
2014/01/09,2,5,16
2014/01/10,2,5,16
2014/01/11,2,6,18
2014/01/12,2,6,18
2014/01/13,2,6,18
2014/01/14,2,7,18
2014/01/15,2,7,21
2014/01/16,2,7,21
2014/01/17,2,7,21
2014/01/18,2,7,22
2014/01/19,3,8,22
2014/01/20,3,8,22
2014/01/21,3,8,24
2014/01/22,3,8,24
2014/01/23,3,8,23
2014/01/24,3,8,23
2014/01/25,3,8,24
2014/01/26,3,7,24
2014/01/27,3,8,25
2014/01/28,3,7,24
2014/01/29,3,7,24
2014/01/30,3,7,24
2014/01/31,3,7,26
2014/02/01,3,7,26
2014/02/02,3,7,26
2014/02/03,3,8,26
2014/02/04,3,8,26
2014/02/05,3,8,26
2014/02/06,3,8,27
2014/02/07,3,7,27
2014/02/08,3,7,26
2014/02/09,3,7,26
2014/02/10,3,6,25
2014/02/11,3,6,25
2014/02/12,3,6,25
2014/02/13,3,5,24
2014/02/14,3,5,21
2014/02/15,3,5,21
2014/02/16,3,5,21
2014/02/17,3,6,22
2014/02/18,3,6,22
2014/02/19,2,6,23
2014/02/20,2,6,22
2014/02/21,2,7,24
2014/02/22,2,7,26
2014/02/23,2,8,27
2014/02/24,2,8,27
2014/02/25,2,8,28
2014/02/26,2,8,27
2014/02/27,2,8,28
2014/02/28,2,8,31
2014/03/01,2,8,32
2014/03/02,2,8,30
2014/03/03,2,7,30
2014/03/04,2,7,32
2014/03/05,2,7,31
2014/03/06,2,7,30
2014/03/07,2,7,29
