date,crhwiki (100+),crhwiki (5+),crhwiki (all)
2013/04/04,2,5,26
2013/04/05,2,5,24
2013/04/06,2,4,23
2013/04/07,2,4,20
2013/04/08,2,4,20
2013/04/09,1,3,21
2013/04/10,1,3,21
2013/04/11,,3,20
2013/04/12,,3,20
2013/04/13,,3,20
2013/04/14,,3,17
2013/04/15,,3,17
2013/04/16,,3,17
2013/04/17,,4,17
2013/04/18,,4,17
2013/04/19,,4,18
2013/04/20,,4,17
2013/04/21,,4,16
2013/04/22,,5,17
2013/04/23,,5,16
2013/04/24,,5,16
2013/04/25,,5,15
2013/04/26,,5,15
2013/04/27,,6,16
2013/04/28,,6,16
2013/04/29,,6,16
2013/04/30,,6,17
2013/05/01,,6,17
2013/05/02,,6,15
2013/05/03,,5,13
2013/05/04,,5,12
2013/05/05,,5,12
2013/05/06,,5,13
2013/05/07,,5,13
2013/05/08,,4,14
2013/05/09,,4,13
2013/05/10,,4,13
2013/05/11,,4,13
2013/05/12,,4,12
2013/05/13,,4,12
2013/05/14,,4,13
2013/05/15,,4,13
2013/05/16,,4,13
2013/05/17,,4,12
2013/05/18,,4,12
2013/05/19,,4,11
2013/05/20,,4,11
2013/05/21,,4,11
2013/05/22,,4,9
2013/05/23,,4,9
2013/05/24,,4,9
2013/05/25,,4,9
2013/05/26,,4,9
2013/05/27,,4,9
2013/05/28,,3,9
2013/05/29,,3,9
2013/05/30,,3,8
2013/05/31,,3,9
2013/06/01,,3,9
2013/06/02,,3,9
2013/06/03,,3,10
2013/06/04,,3,10
2013/06/05,,2,12
2013/06/06,,2,14
2013/06/07,,2,13
2013/06/08,,2,13
2013/06/09,,2,13
2013/06/10,,2,13
2013/06/11,,1,12
2013/06/12,,1,12
2013/06/13,,1,12
2013/06/14,,1,12
2013/06/15,,1,12
2013/06/16,,1,14
2013/06/17,,1,13
2013/06/18,,1,14
2013/06/19,,1,15
2013/06/20,,1,15
2013/06/21,,1,15
2013/06/22,,1,15
2013/06/23,,1,16
2013/06/24,,1,16
2013/06/25,,1,16
2013/06/26,,,16
2013/06/27,,,17
2013/06/28,,,17
2013/06/29,,,17
2013/06/30,,,17
2013/07/01,,,17
2013/07/02,,,17
2013/07/03,,,17
2013/07/04,,,17
2013/07/05,,,16
2013/07/06,,,15
2013/07/07,,,14
2013/07/08,,,14
2013/07/09,,,14
2013/07/10,,,14
2013/07/11,,,14
2013/07/12,,,15
2013/07/13,,,14
2013/07/14,,,14
2013/07/15,,,14
2013/07/16,,,12
2013/07/17,,,12
2013/07/18,,,11
2013/07/19,,,11
2013/07/20,,,11
2013/07/21,,,11
2013/07/22,,,11
2013/07/23,,,11
2013/07/24,,,11
2013/07/25,,,11
2013/07/26,,,12
2013/07/27,,,11
2013/07/28,,,11
2013/07/29,,,10
2013/07/30,,,9
2013/07/31,,,10
2013/08/01,,,10
2013/08/02,,,8
2013/08/03,,,8
2013/08/04,,,8
2013/08/05,,,7
2013/08/06,,,7
2013/08/07,,,7
2013/08/08,,,6
2013/08/09,,,6
2013/08/10,,,6
2013/08/11,,,6
2013/08/12,,,7
2013/08/13,,,7
2013/08/14,,,8
2013/08/15,,,9
2013/08/16,,,10
2013/08/17,,,10
2013/08/18,,,9
2013/08/19,,,9
2013/08/20,,,9
2013/08/21,,,9
2013/08/22,,,9
2013/08/23,,,9
2013/08/24,,,10
2013/08/25,,,9
2013/08/26,,,9
2013/08/27,,,9
2013/08/28,,,9
2013/08/29,,,9
2013/08/30,,,7
2013/08/31,,,7
2013/09/01,,,9
2013/09/02,,,9
2013/09/03,,,9
2013/09/04,,,10
2013/09/05,,,10
2013/09/06,,,9
2013/09/07,,,9
2013/09/08,,,9
2013/09/09,,,8
2013/09/10,,,8
2013/09/11,,,8
2013/09/12,,,9
2013/09/13,,,9
2013/09/14,,,8
2013/09/15,,,9
2013/09/16,,,9
2013/09/17,,,9
2013/09/18,,,9
2013/09/19,,,9
2013/09/20,,,9
2013/09/21,,,9
2013/09/22,,,9
2013/09/23,,,9
2013/09/24,,,9
2013/09/25,,1,10
2013/09/26,,1,10
2013/09/27,,1,12
2013/09/28,,1,13
2013/09/29,,1,14
2013/09/30,,1,14
2013/10/01,,1,13
2013/10/02,,1,13
2013/10/03,,1,13
2013/10/04,,1,12
2013/10/05,,1,12
2013/10/06,,1,13
2013/10/07,,1,13
2013/10/08,,1,14
2013/10/09,,1,14
2013/10/10,,2,14
2013/10/11,,2,13
2013/10/12,,2,14
2013/10/13,,2,14
2013/10/14,,2,15
2013/10/15,,2,15
2013/10/16,,2,14
2013/10/17,,2,14
2013/10/18,,2,15
2013/10/19,,3,16
2013/10/20,,3,16
2013/10/21,,3,17
2013/10/22,,3,17
2013/10/23,,3,16
2013/10/24,,3,17
2013/10/25,,2,16
2013/10/26,,2,16
2013/10/27,,2,15
2013/10/28,,3,16
2013/10/29,,3,16
2013/10/30,,3,17
2013/10/31,,3,17
2013/11/01,,3,17
2013/11/02,,3,17
2013/11/03,,3,17
2013/11/04,,3,17
2013/11/05,,3,16
2013/11/06,,3,16
2013/11/07,,3,16
2013/11/08,,3,17
2013/11/09,,3,17
2013/11/10,,3,18
2013/11/11,,3,17
2013/11/12,,3,19
2013/11/13,,3,18
2013/11/14,,3,18
2013/11/15,,3,18
2013/11/16,1,3,18
2013/11/17,1,4,17
2013/11/18,1,4,17
2013/11/19,1,4,18
2013/11/20,1,5,18
2013/11/21,1,5,18
2013/11/22,1,5,18
2013/11/23,1,5,17
2013/11/24,1,5,17
2013/11/25,1,5,19
2013/11/26,1,4,18
2013/11/27,1,4,18
2013/11/28,1,4,18
2013/11/29,1,4,18
2013/11/30,1,4,18
2013/12/01,1,4,19
2013/12/02,1,4,20
2013/12/03,1,4,21
2013/12/04,1,4,21
2013/12/05,1,4,21
2013/12/06,1,4,21
2013/12/07,1,4,20
2013/12/08,1,4,19
2013/12/09,1,4,20
2013/12/10,1,4,18
2013/12/11,1,4,19
2013/12/12,1,3,18
2013/12/13,1,3,18
2013/12/14,1,3,18
2013/12/15,1,3,18
2013/12/16,1,3,18
2013/12/17,,3,18
2013/12/18,,2,19
2013/12/19,,2,19
2013/12/20,,2,17
2013/12/21,,2,17
2013/12/22,,2,17
2013/12/23,,2,17
2013/12/24,,2,17
2013/12/25,,2,15
2013/12/26,,2,15
2013/12/27,,2,14
2013/12/28,,2,15
2013/12/29,,2,15
2013/12/30,,2,15
2013/12/31,,2,14
2014/01/01,,2,13
2014/01/02,,2,12
2014/01/03,,2,12
2014/01/04,,3,13
2014/01/05,,3,13
2014/01/06,,3,13
2014/01/07,,3,13
2014/01/08,,3,12
2014/01/09,,3,13
2014/01/10,,4,13
2014/01/11,,4,12
2014/01/12,,4,11
2014/01/13,,3,11
2014/01/14,,3,12
2014/01/15,,3,12
2014/01/16,,3,12
2014/01/17,,3,12
2014/01/18,,3,14
2014/01/19,,3,15
2014/01/20,,3,16
2014/01/21,,3,16
2014/01/22,,3,17
2014/01/23,,3,17
2014/01/24,,3,17
2014/01/25,,3,17
2014/01/26,,3,17
2014/01/27,,4,16
2014/01/28,,4,16
2014/01/29,,4,16
2014/01/30,,3,16
2014/01/31,,3,16
2014/02/01,,3,16
2014/02/02,,3,16
2014/02/03,,2,16
2014/02/04,,2,16
2014/02/05,,2,16
2014/02/06,,2,16
2014/02/07,,2,17
2014/02/08,,2,17
2014/02/09,,2,16
2014/02/10,,2,16
2014/02/11,,2,15
2014/02/12,,2,15
2014/02/13,,2,15
2014/02/14,,2,16
2014/02/15,,2,16
2014/02/16,,2,15
2014/02/17,,2,12
2014/02/18,,2,11
2014/02/19,,2,10
2014/02/20,,2,12
2014/02/21,,2,12
2014/02/22,,2,12
2014/02/23,,3,13
2014/02/24,,3,12
2014/02/25,,3,12
2014/02/26,,3,12
2014/02/27,,3,12
2014/02/28,,3,11
2014/03/01,,3,11
2014/03/02,,3,11
2014/03/03,,3,12
2014/03/04,,3,13
2014/03/05,,3,12
2014/03/06,,3,11
2014/03/07,,3,13
2014/03/08,,3,13
2014/03/09,,3,13
2014/03/10,,3,13
2014/03/11,,3,13
2014/03/12,,3,14
2014/03/13,,3,17
2014/03/14,,3,18
2014/03/15,,3,21
2014/03/16,,3,20
2014/03/17,,3,20
2014/03/18,,3,20
2014/03/19,,3,20
2014/03/20,,3,20
2014/03/21,,3,20
2014/03/22,,3,18
2014/03/23,,3,18
2014/03/24,,4,19
2014/03/25,,3,19
2014/03/26,,3,19
2014/03/27,,3,19
2014/03/28,,3,19
2014/03/29,,3,18
2014/03/30,,3,20
2014/03/31,,4,21
2014/04/01,,4,21
2014/04/02,,4,22
2014/04/03,,3,23
2014/04/04,,3,23
2014/04/05,,3,23
2014/04/06,,3,21
2014/04/07,,3,21
2014/04/08,,3,20
2014/04/09,,3,22
2014/04/10,,3,23
2014/04/11,,3,22
2014/04/12,,3,20
2014/04/13,,3,19
2014/04/14,,4,17
2014/04/15,,4,17
2014/04/16,1,4,17
2014/04/17,1,4,17
2014/04/18,1,4,17
2014/04/19,1,4,19
2014/04/20,1,4,20
2014/04/21,1,4,22
2014/04/22,1,4,22
2014/04/23,1,3,21
2014/04/24,1,3,22
2014/04/25,1,3,22
2014/04/26,1,3,23
2014/04/27,,3,26
2014/04/28,,3,26
2014/04/29,,5,27
2014/04/30,,4,25
2014/05/01,,4,26
2014/05/02,,4,24
2014/05/03,,4,23
2014/05/04,,4,24
2014/05/05,,4,24
2014/05/06,,5,25
2014/05/07,,6,25
2014/05/08,,6,25
2014/05/09,1,6,23
2014/05/10,1,6,22
2014/05/11,1,6,25
2014/05/12,1,6,25
2014/05/13,1,6,26
2014/05/14,1,6,24
2014/05/15,1,6,24
2014/05/16,1,5,24
2014/05/17,1,6,24
2014/05/18,1,6,24
2014/05/19,1,6,22
2014/05/20,1,6,21
2014/05/21,1,6,19
2014/05/22,1,6,20
2014/05/23,1,6,21
2014/05/24,1,5,20
2014/05/25,1,6,20
2014/05/26,1,6,19
2014/05/27,2,6,18
2014/05/28,2,6,18
2014/05/29,1,5,17
2014/05/30,1,6,19
2014/05/31,1,6,20
2014/06/01,1,6,21
2014/06/02,1,5,20
2014/06/03,1,5,19
2014/06/04,1,5,19
2014/06/05,1,4,18
2014/06/06,1,3,19
2014/06/07,1,3,19
2014/06/08,1,3,20
2014/06/09,,2,19
2014/06/10,,2,16
2014/06/11,,2,16
2014/06/12,,2,14
2014/06/13,,2,14
2014/06/14,,2,15
2014/06/15,,2,15
2014/06/16,,2,15
2014/06/17,,2,15
2014/06/18,,2,16
2014/06/19,,2,16
2014/06/20,,2,17
2014/06/21,,2,17
2014/06/22,,2,16
2014/06/23,,2,17
2014/06/24,,3,18
2014/06/25,,3,20
2014/06/26,,4,19
2014/06/27,,4,20
2014/06/28,,4,19
2014/06/29,,4,18
2014/06/30,,4,19
2014/07/01,,4,18
2014/07/02,,4,18
2014/07/03,,4,19
2014/07/04,,4,19
2014/07/05,,4,19
2014/07/06,,4,19
2014/07/07,,4,19
2014/07/08,,4,19
2014/07/09,,4,19
2014/07/10,,4,19
2014/07/11,,3,18
2014/07/12,,3,18
2014/07/13,,3,18
2014/07/14,,3,17
2014/07/15,,3,17
2014/07/16,,3,16
2014/07/17,,3,16
2014/07/18,,3,16
2014/07/19,,3,16
2014/07/20,,2,16
2014/07/21,,2,15
2014/07/22,,2,15
2014/07/23,,2,14
2014/07/24,,1,13
2014/07/25,,1,12
2014/07/26,,1,13
2014/07/27,,,12
2014/07/28,,,12
2014/07/29,,1,12
2014/07/30,,1,10
2014/07/31,,2,10
2014/08/01,,3,10
2014/08/02,,3,9
2014/08/03,,3,9
2014/08/04,,3,10
2014/08/05,,3,9
2014/08/06,,3,11
2014/08/07,,3,11
2014/08/08,,3,11
2014/08/09,,3,11
2014/08/10,,3,11
2014/08/11,,3,12
2014/08/12,,4,13
2014/08/13,,4,13
2014/08/14,,4,13
2014/08/15,,4,13
2014/08/16,,4,13
2014/08/17,,4,14
2014/08/18,,4,16
2014/08/19,,4,16
2014/08/20,,4,17
2014/08/21,,4,17
2014/08/22,,4,18
2014/08/23,,4,18
2014/08/24,,4,18
2014/08/25,,3,16
2014/08/26,,3,16
2014/08/27,,3,16
2014/08/28,,3,16
2014/08/29,,3,17
2014/08/30,,3,18
2014/08/31,,2,17
2014/09/01,,2,18
2014/09/02,,2,18
2014/09/03,,2,18
2014/09/04,,2,18
2014/09/05,,2,16
2014/09/06,,2,15
2014/09/07,,4,15
2014/09/08,,4,16
2014/09/09,,4,17
2014/09/10,,4,16
2014/09/11,,4,15
2014/09/12,,4,15
2014/09/13,,4,15
2014/09/14,,4,15
2014/09/15,,4,15
2014/09/16,,4,15
2014/09/17,,4,14
2014/09/18,,4,14
2014/09/19,1,5,15
2014/09/20,1,5,15
2014/09/21,1,5,14
2014/09/22,1,5,15
2014/09/23,1,5,15
2014/09/24,1,4,15
2014/09/25,1,4,15
2014/09/26,1,4,16
2014/09/27,1,4,15
2014/09/28,1,3,16
2014/09/29,1,3,15
2014/09/30,1,3,15
2014/10/01,1,1,15
2014/10/02,1,1,16
2014/10/03,1,1,16
2014/10/04,1,1,16
2014/10/05,1,1,16
2014/10/06,1,1,16
2014/10/07,1,2,14
2014/10/08,1,2,14
2014/10/09,1,2,12
2014/10/10,1,2,12
2014/10/11,1,2,13
2014/10/12,1,2,15
2014/10/13,1,2,15
2014/10/14,1,2,15
2014/10/15,1,2,15
2014/10/16,1,2,15
