date,pawiki (100+),pawiki (5+),pawiki (all)
2012/12/20,15,46,110
2012/12/21,15,46,110
2012/12/22,15,46,110
2012/12/23,16,47,107
2012/12/24,16,47,95
2012/12/25,15,46,94
2012/12/26,14,49,94
2012/12/27,14,47,92
2012/12/28,14,46,88
2012/12/29,14,45,89
2012/12/30,15,44,88
2012/12/31,15,43,85
2013/01/01,15,44,86
2013/01/02,15,44,86
2013/01/03,14,44,84
2013/01/04,12,45,83
2013/01/05,12,45,82
2013/01/06,12,45,83
2013/01/07,12,45,82
2013/01/08,12,45,83
2013/01/09,12,46,81
2013/01/10,10,45,81
2013/01/11,10,43,82
2013/01/12,10,43,82
2013/01/13,10,43,85
2013/01/14,10,42,84
2013/01/15,10,43,83
2013/01/16,10,44,83
2013/01/17,9,45,80
2013/01/18,9,43,79
2013/01/19,9,42,76
2013/01/20,9,40,75
2013/01/21,9,40,74
2013/01/22,10,40,72
2013/01/23,10,41,71
2013/01/24,10,38,69
2013/01/25,10,36,67
2013/01/26,10,37,68
2013/01/27,10,37,67
2013/01/28,10,38,66
2013/01/29,10,36,67
2013/01/30,10,34,69
2013/01/31,9,34,68
2013/02/01,9,36,68
2013/02/02,9,37,67
2013/02/03,9,37,69
2013/02/04,10,38,72
2013/02/05,10,38,72
2013/02/06,10,38,73
2013/02/07,10,38,72
2013/02/08,10,37,71
2013/02/09,10,37,68
2013/02/10,10,38,66
2013/02/11,9,38,66
2013/02/12,9,41,67
2013/02/13,9,42,66
2013/02/14,9,41,67
2013/02/15,9,41,66
2013/02/16,9,39,69
2013/02/17,8,39,69
2013/02/18,8,38,70
2013/02/19,8,39,71
2013/02/20,8,39,70
2013/02/21,9,39,70
2013/02/22,8,39,71
2013/02/23,8,38,71
2013/02/24,8,38,70
2013/02/25,8,38,70
2013/02/26,8,38,71
2013/02/27,8,38,69
2013/02/28,9,38,68
2013/03/01,9,38,66
2013/03/02,8,38,66
2013/03/03,7,36,62
2013/03/04,7,35,62
2013/03/05,6,34,61
2013/03/06,7,32,59
2013/03/07,6,31,59
2013/03/08,7,32,59
2013/03/09,7,31,59
2013/03/10,7,30,58
2013/03/11,7,28,60
2013/03/12,8,28,62
2013/03/13,8,28,63
2013/03/14,8,26,58
2013/03/15,8,22,55
2013/03/16,8,23,51
2013/03/17,8,24,50
2013/03/18,7,24,48
2013/03/19,6,23,48
2013/03/20,6,22,47
2013/03/21,6,22,45
2013/03/22,6,22,47
2013/03/23,6,22,48
2013/03/24,6,22,48
2013/03/25,6,22,49
2013/03/26,6,22,49
2013/03/27,6,22,47
2013/03/28,6,22,48
2013/03/29,6,22,48
2013/03/30,6,21,47
2013/03/31,5,20,47
2013/04/01,5,20,45
2013/04/02,5,19,45
2013/04/03,5,20,45
2013/04/04,5,17,43
2013/04/05,5,14,42
2013/04/06,5,14,39
2013/04/07,5,15,40
2013/04/08,5,15,42
2013/04/09,5,16,41
2013/04/10,5,16,39
2013/04/11,5,15,40
2013/04/12,5,14,39
2013/04/13,5,16,42
2013/04/14,5,18,44
2013/04/15,5,19,45
2013/04/16,5,19,44
2013/04/17,5,20,45
2013/04/18,5,20,46
2013/04/19,6,20,46
2013/04/20,6,20,48
2013/04/21,5,22,46
2013/04/22,5,21,45
2013/04/23,5,21,45
2013/04/24,5,21,45
2013/04/25,5,20,46
2013/04/26,5,20,47
2013/04/27,5,20,45
2013/04/28,5,20,43
2013/04/29,5,20,44
2013/04/30,5,19,44
2013/05/01,5,21,44
2013/05/02,5,21,44
2013/05/03,4,21,43
2013/05/04,4,22,43
2013/05/05,4,21,42
2013/05/06,4,21,42
2013/05/07,3,21,43
2013/05/08,3,21,43
2013/05/09,3,20,42
2013/05/10,3,20,42
2013/05/11,3,19,43
2013/05/12,3,19,44
2013/05/13,3,18,41
2013/05/14,3,16,42
2013/05/15,3,15,40
2013/05/16,3,16,41
2013/05/17,3,15,40
2013/05/18,3,14,39
2013/05/19,3,14,38
2013/05/20,3,14,37
2013/05/21,3,13,37
2013/05/22,3,14,36
2013/05/23,3,16,36
2013/05/24,3,16,36
2013/05/25,3,15,35
2013/05/26,3,15,35
2013/05/27,3,15,36
2013/05/28,3,15,36
2013/05/29,3,16,36
2013/05/30,3,16,36
2013/05/31,3,15,36
2013/06/01,3,15,34
2013/06/02,3,14,32
2013/06/03,3,14,33
2013/06/04,3,14,32
2013/06/05,3,14,30
2013/06/06,3,15,30
2013/06/07,3,15,28
2013/06/08,3,15,27
2013/06/09,3,16,27
2013/06/10,3,16,28
2013/06/11,3,16,29
2013/06/12,3,15,30
2013/06/13,2,14,31
2013/06/14,2,14,31
2013/06/15,2,14,29
2013/06/16,2,14,29
2013/06/17,2,15,29
2013/06/18,2,15,29
2013/06/19,2,15,29
2013/06/20,2,13,28
2013/06/21,2,13,31
2013/06/22,2,13,32
2013/06/23,2,14,33
2013/06/24,2,15,33
2013/06/25,2,16,32
2013/06/26,2,15,31
2013/06/27,2,14,31
2013/06/28,2,13,31
2013/06/29,2,13,32
2013/06/30,2,14,33
2013/07/01,2,14,34
2013/07/02,2,12,36
2013/07/03,3,12,37
2013/07/04,3,13,40
2013/07/05,3,12,41
2013/07/06,3,10,40
2013/07/07,3,10,40
2013/07/08,3,12,40
2013/07/09,3,12,42
2013/07/10,3,12,39
2013/07/11,3,12,38
2013/07/12,3,13,39
2013/07/13,3,13,37
2013/07/14,3,14,38
2013/07/15,3,13,37
2013/07/16,3,12,38
2013/07/17,3,12,40
2013/07/18,3,14,40
2013/07/19,3,15,41
2013/07/20,3,15,41
2013/07/21,3,17,38
2013/07/22,3,17,40
2013/07/23,4,17,40
2013/07/24,5,17,41
2013/07/25,5,17,42
2013/07/26,5,16,42
2013/07/27,5,15,40
2013/07/28,5,15,41
2013/07/29,6,15,42
2013/07/30,6,17,42
2013/07/31,6,17,42
2013/08/01,6,17,41
2013/08/02,5,17,42
2013/08/03,5,17,41
2013/08/04,5,17,40
2013/08/05,5,17,38
2013/08/06,5,17,39
2013/08/07,5,17,39
2013/08/08,5,18,37
2013/08/09,5,18,37
2013/08/10,5,17,37
2013/08/11,5,18,36
2013/08/12,6,18,37
2013/08/13,6,18,37
2013/08/14,6,18,37
2013/08/15,6,18,35
2013/08/16,6,18,35
2013/08/17,6,17,36
2013/08/18,6,17,34
2013/08/19,6,17,35
2013/08/20,6,17,35
2013/08/21,6,16,33
2013/08/22,5,16,33
2013/08/23,5,16,32
2013/08/24,5,16,30
2013/08/25,5,16,31
2013/08/26,5,16,30
2013/08/27,4,14,28
2013/08/28,4,14,26
2013/08/29,4,15,29
2013/08/30,4,14,30
2013/08/31,4,13,31
2013/09/01,4,13,31
2013/09/02,4,12,30
2013/09/03,4,12,32
2013/09/04,4,13,33
2013/09/05,4,14,32
2013/09/06,3,14,31
2013/09/07,3,15,32
2013/09/08,3,14,31
2013/09/09,3,13,30
2013/09/10,3,13,30
2013/09/11,2,13,29
2013/09/12,2,13,30
2013/09/13,2,13,30
2013/09/14,2,13,30
2013/09/15,2,13,30
2013/09/16,2,13,31
2013/09/17,2,12,32
2013/09/18,2,13,31
2013/09/19,2,13,32
2013/09/20,2,13,31
2013/09/21,2,15,32
2013/09/22,2,15,31
2013/09/23,2,14,31
2013/09/24,2,15,30
2013/09/25,2,15,33
2013/09/26,2,15,33
2013/09/27,2,15,33
2013/09/28,2,14,33
2013/09/29,2,16,34
2013/09/30,2,16,33
2013/10/01,2,16,34
2013/10/02,2,16,33
2013/10/03,2,16,32
2013/10/04,2,15,31
2013/10/05,2,15,36
2013/10/06,2,15,36
2013/10/07,2,15,36
2013/10/08,2,16,36
2013/10/09,2,15,37
2013/10/10,2,14,37
2013/10/11,2,13,38
2013/10/12,2,12,36
2013/10/13,2,12,35
2013/10/14,2,12,35
2013/10/15,3,12,34
2013/10/16,3,12,34
2013/10/17,3,12,33
2013/10/18,3,12,31
2013/10/19,3,12,32
2013/10/20,3,12,33
2013/10/21,3,12,32
2013/10/22,3,14,35
2013/10/23,3,14,38
2013/10/24,2,14,37
2013/10/25,2,14,36
2013/10/26,2,16,39
2013/10/27,2,17,39
2013/10/28,2,17,41
2013/10/29,2,16,41
2013/10/30,3,16,42
2013/10/31,3,15,41
2013/11/01,3,16,44
2013/11/02,3,16,43
2013/11/03,3,15,42
2013/11/04,3,15,39
2013/11/05,2,15,39
2013/11/06,3,15,39
2013/11/07,3,14,40
2013/11/08,3,14,42
2013/11/09,3,15,42
2013/11/10,3,15,42
2013/11/11,3,15,41
2013/11/12,3,15,41
2013/11/13,4,15,39
2013/11/14,4,15,40
2013/11/15,4,14,39
2013/11/16,4,14,39
2013/11/17,4,15,41
2013/11/18,4,15,41
2013/11/19,3,15,40
2013/11/20,3,15,40
2013/11/21,3,14,40
2013/11/22,3,15,41
2013/11/23,3,14,41
2013/11/24,3,13,40
2013/11/25,3,13,39
2013/11/26,3,13,43
2013/11/27,3,13,43
2013/11/28,3,13,43
2013/11/29,3,17,47
2013/11/30,3,17,47
2013/12/01,3,17,45
2013/12/02,3,18,45
2013/12/03,4,18,49
2013/12/04,4,17,50
2013/12/05,4,17,50
2013/12/06,4,17,50
2013/12/07,4,17,49
2013/12/08,4,17,51
2013/12/09,3,16,51
2013/12/10,3,16,50
2013/12/11,3,16,51
2013/12/12,3,16,53
2013/12/13,2,16,53
2013/12/14,3,16,52
2013/12/15,3,16,51
2013/12/16,4,16,53
2013/12/17,3,16,54
2013/12/18,3,16,53
2013/12/19,3,17,51
2013/12/20,3,17,53
2013/12/21,3,18,51
2013/12/22,3,18,49
2013/12/23,3,18,49
2013/12/24,3,18,49
2013/12/25,3,18,49
2013/12/26,2,19,48
2013/12/27,2,19,47
2013/12/28,2,19,46
2013/12/29,2,18,41
2013/12/30,2,17,41
2013/12/31,2,17,42
2014/01/01,2,16,43
2014/01/02,2,14,37
2014/01/03,2,14,35
2014/01/04,2,13,37
2014/01/05,2,12,37
2014/01/06,2,13,39
2014/01/07,2,12,39
2014/01/08,2,11,38
2014/01/09,2,11,37
2014/01/10,2,12,35
2014/01/11,2,11,35
2014/01/12,2,12,36
2014/01/13,2,13,37
2014/01/14,3,13,37
2014/01/15,3,13,38
2014/01/16,3,15,39
2014/01/17,3,14,40
2014/01/18,2,14,41
2014/01/19,2,15,41
2014/01/20,2,17,44
2014/01/21,2,18,47
2014/01/22,3,17,44
2014/01/23,3,18,47
2014/01/24,4,18,48
2014/01/25,4,18,49
2014/01/26,4,18,50
2014/01/27,4,17,50
2014/01/28,4,18,49
2014/01/29,4,19,50
2014/01/30,4,18,51
2014/01/31,4,18,51
2014/02/01,4,19,52
2014/02/02,5,19,53
2014/02/03,5,19,52
2014/02/04,5,19,51
2014/02/05,5,18,52
2014/02/06,5,19,53
2014/02/07,5,19,53
2014/02/08,5,20,54
2014/02/09,5,20,54
2014/02/10,5,20,53
2014/02/11,5,21,53
2014/02/12,5,21,52
2014/02/13,5,21,51
2014/02/14,5,22,50
2014/02/15,5,21,47
2014/02/16,5,21,46
2014/02/17,5,21,46
2014/02/18,5,21,46
