date,pmswiki (100+),pmswiki (5+),pmswiki (all)
2012/11/11,7,19,56
2012/11/12,7,19,56
2012/11/13,7,19,55
2012/11/14,7,19,55
2012/11/15,7,19,55
2012/11/16,7,20,53
2012/11/17,7,19,52
2012/11/18,7,19,51
2012/11/19,7,19,51
2012/11/20,7,19,50
2012/11/21,7,19,49
2012/11/22,7,19,50
2012/11/23,7,19,46
2012/11/24,7,19,47
2012/11/25,7,19,46
2012/11/26,7,19,43
2012/11/27,7,19,45
2012/11/28,7,19,47
2012/11/29,7,19,47
2012/11/30,7,20,47
2012/12/01,7,20,47
2012/12/02,8,20,49
2012/12/03,10,20,48
2012/12/04,10,21,51
2012/12/05,10,21,52
2012/12/06,10,21,52
2012/12/07,10,21,53
2012/12/08,10,21,55
2012/12/09,10,21,55
2012/12/10,10,22,57
2012/12/11,10,21,58
2012/12/12,10,21,57
2012/12/13,10,21,56
2012/12/14,10,21,55
2012/12/15,10,22,56
2012/12/16,10,22,57
2012/12/17,10,22,57
2012/12/18,10,22,58
2012/12/19,10,22,57
2012/12/20,10,22,57
2012/12/21,10,22,57
2012/12/22,10,22,56
2012/12/23,9,22,56
2012/12/24,9,22,54
2012/12/25,10,22,56
2012/12/26,10,21,56
2012/12/27,10,23,55
2012/12/28,10,23,54
2012/12/29,10,22,55
2012/12/30,10,22,55
2012/12/31,9,21,55
2013/01/01,9,21,54
2013/01/02,8,21,52
2013/01/03,8,21,51
2013/01/04,8,21,50
2013/01/05,8,21,51
2013/01/06,8,21,50
2013/01/07,8,21,48
2013/01/08,7,21,48
2013/01/09,7,21,49
2013/01/10,7,21,51
2013/01/11,7,21,51
2013/01/12,7,22,53
2013/01/13,7,23,54
2013/01/14,8,23,54
2013/01/15,8,24,53
2013/01/16,8,24,54
2013/01/17,8,25,53
2013/01/18,8,25,54
2013/01/19,8,25,54
2013/01/20,7,26,54
2013/01/21,7,25,53
2013/01/22,7,25,54
2013/01/23,7,25,56
2013/01/24,6,25,54
2013/01/25,6,25,54
2013/01/26,6,25,56
2013/01/27,8,25,58
2013/01/28,7,25,58
2013/01/29,7,26,62
2013/01/30,7,26,63
2013/01/31,7,26,64
2013/02/01,7,26,63
2013/02/02,7,26,64
2013/02/03,7,26,65
2013/02/04,8,25,65
2013/02/05,8,25,67
2013/02/06,9,25,68
2013/02/07,9,25,67
2013/02/08,8,26,68
2013/02/09,8,26,66
2013/02/10,8,26,65
2013/02/11,9,26,64
2013/02/12,9,25,63
2013/02/13,8,25,64
2013/02/14,8,25,65
2013/02/15,8,24,66
2013/02/16,8,24,69
2013/02/17,8,24,70
2013/02/18,8,23,69
2013/02/19,8,22,70
2013/02/20,8,23,73
2013/02/21,8,22,73
2013/02/22,8,22,70
2013/02/23,8,22,68
2013/02/24,8,22,70
2013/02/25,8,22,66
2013/02/26,8,23,65
2013/02/27,8,22,65
2013/02/28,8,20,60
2013/03/01,8,22,57
2013/03/02,8,23,56
2013/03/03,7,23,54
2013/03/04,7,24,54
2013/03/05,7,24,54
2013/03/06,8,24,54
2013/03/07,7,23,54
2013/03/08,8,23,52
2013/03/09,8,23,53
2013/03/10,8,23,52
2013/03/11,8,23,54
2013/03/12,8,23,55
2013/03/13,7,22,56
2013/03/14,7,23,55
2013/03/15,7,24,57
2013/03/16,7,24,55
2013/03/17,6,24,55
2013/03/18,6,24,53
2013/03/19,6,24,53
2013/03/20,6,23,53
2013/03/21,6,21,53
2013/03/22,6,21,51
2013/03/23,6,21,50
2013/03/24,6,21,50
2013/03/25,6,19,50
2013/03/26,6,19,48
2013/03/27,6,19,48
2013/03/28,6,17,50
2013/03/29,6,15,50
2013/03/30,6,15,50
2013/03/31,6,15,48
2013/04/01,6,16,49
2013/04/02,5,15,50
2013/04/03,5,15,48
2013/04/04,5,15,49
2013/04/05,4,11,48
2013/04/06,4,9,45
2013/04/07,4,9,44
2013/04/08,4,9,45
2013/04/09,4,9,45
2013/04/10,4,9,46
2013/04/11,4,9,48
2013/04/12,4,9,47
2013/04/13,4,9,48
2013/04/14,4,9,46
2013/04/15,4,9,46
2013/04/16,4,9,43
2013/04/17,4,9,43
2013/04/18,4,9,43
2013/04/19,4,9,42
2013/04/20,4,9,44
2013/04/21,5,10,44
2013/04/22,5,10,47
2013/04/23,5,10,46
2013/04/24,5,10,48
2013/04/25,5,10,48
2013/04/26,5,11,49
2013/04/27,5,11,47
2013/04/28,5,12,46
2013/04/29,5,12,46
2013/04/30,5,12,45
2013/05/01,5,12,43
2013/05/02,5,12,43
2013/05/03,5,12,42
2013/05/04,5,12,41
2013/05/05,5,12,39
2013/05/06,5,12,39
2013/05/07,5,12,38
2013/05/08,5,12,36
2013/05/09,5,12,35
2013/05/10,5,11,33
2013/05/11,5,11,31
2013/05/12,5,11,31
2013/05/13,5,11,29
2013/05/14,5,10,30
2013/05/15,5,10,31
2013/05/16,5,10,31
2013/05/17,5,10,30
2013/05/18,5,10,30
2013/05/19,5,11,30
2013/05/20,5,11,30
2013/05/21,5,11,30
2013/05/22,5,11,27
2013/05/23,5,12,28
2013/05/24,5,11,27
2013/05/25,5,11,28
2013/05/26,5,10,28
2013/05/27,5,10,31
2013/05/28,5,10,30
2013/05/29,5,10,29
2013/05/30,5,11,29
2013/05/31,5,11,28
2013/06/01,5,11,28
2013/06/02,5,11,27
2013/06/03,5,11,26
2013/06/04,5,11,29
2013/06/05,5,11,29
2013/06/06,5,11,30
2013/06/07,5,12,33
2013/06/08,5,12,33
2013/06/09,5,12,35
2013/06/10,5,12,35
2013/06/11,5,11,35
2013/06/12,5,11,37
2013/06/13,5,11,36
2013/06/14,5,10,35
2013/06/15,5,10,36
2013/06/16,5,10,36
2013/06/17,5,10,36
2013/06/18,5,10,36
2013/06/19,5,11,35
2013/06/20,5,11,37
2013/06/21,5,12,38
2013/06/22,5,12,36
2013/06/23,6,13,39
2013/06/24,6,13,39
2013/06/25,6,14,38
2013/06/26,6,14,36
2013/06/27,6,14,37
2013/06/28,6,14,37
2013/06/29,6,14,37
2013/06/30,6,15,38
2013/07/01,6,15,37
2013/07/02,5,15,39
2013/07/03,5,15,39
2013/07/04,5,15,38
2013/07/05,5,15,38
2013/07/06,5,16,37
2013/07/07,3,16,36
2013/07/08,3,16,36
2013/07/09,3,16,34
2013/07/10,4,16,34
2013/07/11,3,16,34
2013/07/12,4,16,32
2013/07/13,2,15,34
2013/07/14,3,14,36
2013/07/15,3,14,35
2013/07/16,3,15,36
2013/07/17,3,15,37
2013/07/18,3,14,38
2013/07/19,3,14,38
2013/07/20,3,13,37
2013/07/21,3,13,38
2013/07/22,3,13,40
2013/07/23,2,11,35
2013/07/24,2,12,36
2013/07/25,2,12,35
2013/07/26,2,10,32
2013/07/27,2,10,33
2013/07/28,2,10,33
2013/07/29,2,8,32
2013/07/30,2,8,32
2013/07/31,2,10,32
2013/08/01,2,11,30
2013/08/02,2,10,31
2013/08/03,2,11,29
2013/08/04,2,11,28
2013/08/05,2,11,30
2013/08/06,2,11,31
2013/08/07,2,11,31
2013/08/08,2,10,32
2013/08/09,2,11,32
2013/08/10,2,11,33
2013/08/11,2,11,33
2013/08/12,2,11,32
2013/08/13,2,11,32
2013/08/14,2,11,33
2013/08/15,2,11,32
2013/08/16,2,11,32
2013/08/17,2,11,31
2013/08/18,3,11,30
2013/08/19,3,11,30
2013/08/20,2,10,29
2013/08/21,2,9,27
2013/08/22,2,9,27
2013/08/23,2,9,25
2013/08/24,2,9,25
2013/08/25,2,10,28
2013/08/26,2,10,28
2013/08/27,2,10,30
2013/08/28,2,10,29
2013/08/29,2,11,29
2013/08/30,2,8,30
2013/08/31,2,8,31
2013/09/01,2,8,31
2013/09/02,2,8,31
2013/09/03,2,7,31
2013/09/04,2,9,28
2013/09/05,2,9,30
2013/09/06,2,9,33
2013/09/07,2,9,33
2013/09/08,2,9,33
2013/09/09,2,8,32
2013/09/10,2,9,32
2013/09/11,2,9,31
2013/09/12,2,9,31
2013/09/13,2,9,30
2013/09/14,2,9,30
2013/09/15,2,8,29
2013/09/16,2,8,29
2013/09/17,1,8,29
2013/09/18,1,8,29
2013/09/19,1,8,29
2013/09/20,1,8,31
2013/09/21,1,8,32
2013/09/22,1,8,28
2013/09/23,1,8,30
2013/09/24,1,9,28
2013/09/25,1,9,27
2013/09/26,1,9,26
2013/09/27,1,9,26
2013/09/28,1,9,26
2013/09/29,1,9,26
2013/09/30,1,9,25
2013/10/01,1,10,26
2013/10/02,1,10,26
2013/10/03,1,10,26
2013/10/04,1,9,27
2013/10/05,1,9,26
2013/10/06,1,9,24
2013/10/07,1,9,24
2013/10/08,1,9,24
2013/10/09,1,9,23
2013/10/10,1,9,24
2013/10/11,1,9,24
2013/10/12,1,9,25
2013/10/13,1,9,24
2013/10/14,1,9,24
2013/10/15,1,9,24
2013/10/16,1,9,26
2013/10/17,1,9,26
2013/10/18,1,8,27
2013/10/19,1,9,28
2013/10/20,1,8,26
2013/10/21,1,9,25
2013/10/22,1,8,27
2013/10/23,1,8,26
2013/10/24,1,8,29
2013/10/25,1,8,28
2013/10/26,1,8,28
2013/10/27,1,8,28
2013/10/28,1,8,28
2013/10/29,1,8,28
2013/10/30,1,8,28
2013/10/31,1,8,28
2013/11/01,1,8,28
2013/11/02,1,7,28
2013/11/03,1,6,28
2013/11/04,1,7,31
2013/11/05,1,7,31
2013/11/06,1,7,32
2013/11/07,1,7,30
2013/11/08,1,7,32
2013/11/09,1,7,34
2013/11/10,1,8,35
2013/11/11,1,8,36
2013/11/12,1,8,36
2013/11/13,1,8,36
2013/11/14,1,8,36
2013/11/15,1,8,36
2013/11/16,1,8,36
2013/11/17,1,8,37
2013/11/18,1,8,36
2013/11/19,1,8,36
2013/11/20,1,8,36
2013/11/21,1,8,35
2013/11/22,1,8,34
2013/11/23,1,7,32
2013/11/24,1,7,32
2013/11/25,1,7,33
2013/11/26,1,7,34
2013/11/27,1,7,34
2013/11/28,1,7,34
2013/11/29,1,7,35
2013/11/30,1,7,34
2013/12/01,1,7,34
2013/12/02,1,7,34
2013/12/03,1,8,34
2013/12/04,1,8,31
2013/12/05,1,7,31
2013/12/06,1,7,32
2013/12/07,1,7,31
2013/12/08,1,7,32
2013/12/09,1,7,29
2013/12/10,1,6,30
2013/12/11,1,6,29
2013/12/12,1,6,26
2013/12/13,1,7,26
2013/12/14,1,6,26
2013/12/15,1,6,26
2013/12/16,1,7,29
2013/12/17,1,7,28
2013/12/18,2,8,28
2013/12/19,2,9,30
2013/12/20,2,9,28
2013/12/21,2,10,28
2013/12/22,2,9,28
2013/12/23,2,9,28
2013/12/24,2,9,29
2013/12/25,2,10,29
2013/12/26,2,10,30
2013/12/27,2,10,30
2013/12/28,2,8,30
2013/12/29,2,7,29
2013/12/30,2,7,30
2013/12/31,2,7,30
2014/01/01,2,7,30
2014/01/02,2,7,30
2014/01/03,2,8,30
2014/01/04,2,9,29
2014/01/05,2,10,30
2014/01/06,2,10,30
2014/01/07,2,10,30
2014/01/08,2,10,30
2014/01/09,2,10,26
2014/01/10,2,10,27
2014/01/11,2,10,29
2014/01/12,2,10,31
2014/01/13,2,10,30
2014/01/14,2,10,31
2014/01/15,2,10,30
2014/01/16,2,9,31
2014/01/17,2,9,33
2014/01/18,2,8,31
2014/01/19,2,7,31
2014/01/20,2,8,33
2014/01/21,2,9,35
2014/01/22,2,8,35
2014/01/23,1,8,34
2014/01/24,1,9,34
2014/01/25,1,9,34
2014/01/26,1,10,35
2014/01/27,1,10,36
2014/01/28,1,10,36
2014/01/29,1,10,37
2014/01/30,2,10,37
2014/01/31,2,10,38
2014/02/01,2,10,38
2014/02/02,2,10,38
2014/02/03,2,9,37
2014/02/04,2,9,37
2014/02/05,2,9,39
2014/02/06,2,10,40
2014/02/07,2,10,40
2014/02/08,2,11,41
2014/02/09,2,14,42
2014/02/10,2,13,42
2014/02/11,2,13,40
2014/02/12,2,13,40
2014/02/13,2,13,39
2014/02/14,2,12,38
2014/02/15,3,12,39
2014/02/16,3,14,40
2014/02/17,2,14,39
2014/02/18,3,13,40
2014/02/19,3,12,42
2014/02/20,3,13,42
2014/02/21,3,12,42
2014/02/22,3,12,43
2014/02/23,3,12,41
2014/02/24,3,11,42
2014/02/25,3,11,40
2014/02/26,3,11,38
2014/02/27,3,11,38
2014/02/28,4,11,37
2014/03/01,4,11,38
2014/03/02,4,11,38
2014/03/03,4,11,39
2014/03/04,4,11,39
2014/03/05,4,11,39
2014/03/06,4,11,39
2014/03/07,4,12,39
2014/03/08,4,12,37
2014/03/09,4,13,38
2014/03/10,4,12,37
2014/03/11,3,12,36
2014/03/12,3,12,34
2014/03/13,3,13,36
2014/03/14,3,13,37
2014/03/15,3,13,37
2014/03/16,3,14,37
2014/03/17,3,14,37
2014/03/18,3,11,33
2014/03/19,3,11,33
2014/03/20,3,11,34
2014/03/21,3,11,33
2014/03/22,2,12,33
2014/03/23,2,12,33
2014/03/24,2,12,32
2014/03/25,2,12,31
2014/03/26,2,12,31
2014/03/27,2,12,31
2014/03/28,2,12,31
2014/03/29,2,12,31
2014/03/30,2,14,34
