date,abwiki (100+),abwiki (5+),abwiki (all)
2013/01/04,,11,37
2013/01/05,,12,36
2013/01/06,,12,35
2013/01/07,,12,36
2013/01/08,,12,40
2013/01/09,,12,42
2013/01/10,,12,43
2013/01/11,,12,44
2013/01/12,,12,43
2013/01/13,,11,43
2013/01/14,,11,44
2013/01/15,,10,43
2013/01/16,,11,43
2013/01/17,,11,44
2013/01/18,,11,43
2013/01/19,,12,44
2013/01/20,,12,43
2013/01/21,,12,43
2013/01/22,,12,41
2013/01/23,,12,40
2013/01/24,,12,40
2013/01/25,,12,40
2013/01/26,,12,40
2013/01/27,,12,38
2013/01/28,,12,37
2013/01/29,,12,38
2013/01/30,,11,38
2013/01/31,,11,38
2013/02/01,,11,37
2013/02/02,,11,38
2013/02/03,,11,36
2013/02/04,,10,36
2013/02/05,,10,36
2013/02/06,,10,34
2013/02/07,,11,35
2013/02/08,,11,33
2013/02/09,,12,33
2013/02/10,,12,33
2013/02/11,,13,33
2013/02/12,,12,33
2013/02/13,,12,34
2013/02/14,,11,32
2013/02/15,,10,32
2013/02/16,1,9,34
2013/02/17,1,9,34
2013/02/18,1,10,33
2013/02/19,1,10,34
2013/02/20,1,10,34
2013/02/21,1,9,34
2013/02/22,1,9,35
2013/02/23,1,9,34
2013/02/24,,9,34
2013/02/25,,9,33
2013/02/26,,9,32
2013/02/27,,9,32
2013/02/28,,9,32
2013/03/01,1,9,32
2013/03/02,,9,33
2013/03/03,,9,34
2013/03/04,,9,34
2013/03/05,,9,34
2013/03/06,,9,34
2013/03/07,1,10,35
2013/03/08,1,11,35
2013/03/09,1,12,36
2013/03/10,1,11,37
2013/03/11,1,11,34
2013/03/12,1,11,34
2013/03/13,1,9,34
2013/03/14,1,9,33
2013/03/15,1,9,32
2013/03/16,1,8,29
2013/03/17,1,8,28
2013/03/18,1,8,25
2013/03/19,1,8,25
2013/03/20,1,8,25
2013/03/21,1,8,24
2013/03/22,1,8,24
2013/03/23,1,8,24
2013/03/24,1,8,23
2013/03/25,1,8,22
2013/03/26,1,8,22
2013/03/27,1,7,21
2013/03/28,1,6,21
2013/03/29,1,7,21
2013/03/30,1,8,19
2013/03/31,1,8,18
2013/04/01,1,6,19
2013/04/02,1,5,18
2013/04/03,1,4,17
2013/04/04,1,4,14
2013/04/05,1,3,14
2013/04/06,1,3,12
2013/04/07,,2,9
2013/04/08,,1,9
2013/04/09,,1,8
2013/04/10,,1,8
2013/04/11,,1,8
2013/04/12,,1,9
2013/04/13,,1,10
2013/04/14,,1,9
2013/04/15,,1,9
2013/04/16,,1,10
2013/04/17,,1,11
2013/04/18,,1,12
2013/04/19,,1,13
2013/04/20,,1,13
2013/04/21,,1,14
2013/04/22,,1,14
2013/04/23,,1,14
2013/04/24,,1,14
2013/04/25,,1,14
2013/04/26,,1,14
2013/04/27,,1,15
2013/04/28,,2,15
2013/04/29,,2,14
2013/04/30,,2,13
2013/05/01,,2,12
2013/05/02,,2,12
2013/05/03,,1,12
2013/05/04,,1,12
2013/05/05,,1,12
2013/05/06,,1,12
2013/05/07,,1,12
2013/05/08,,1,11
2013/05/09,,1,11
2013/05/10,,1,11
2013/05/11,,1,11
2013/05/12,,1,12
2013/05/13,,1,12
2013/05/14,,1,13
2013/05/15,,1,13
2013/05/16,,1,12
2013/05/17,,1,11
2013/05/18,,1,11
2013/05/19,,1,9
2013/05/20,,1,9
2013/05/21,,1,9
2013/05/22,,1,8
2013/05/23,,1,8
2013/05/24,,1,8
2013/05/25,,1,7
2013/05/26,,1,7
2013/05/27,,,7
2013/05/28,,,6
2013/05/29,,,7
2013/05/30,,,8
2013/05/31,,,8
2013/06/01,,,8
2013/06/02,,,7
2013/06/03,,,8
2013/06/04,,,8
2013/06/05,,,8
2013/06/06,,1,9
2013/06/07,,1,9
2013/06/08,,1,9
2013/06/09,,1,9
2013/06/10,,1,9
2013/06/11,,1,7
2013/06/12,,1,7
2013/06/13,,1,6
2013/06/14,,1,7
2013/06/15,,2,8
2013/06/16,,2,8
2013/06/17,,2,8
2013/06/18,,2,9
2013/06/19,,2,10
2013/06/20,,2,9
2013/06/21,,2,8
2013/06/22,,2,8
2013/06/23,,2,8
2013/06/24,,2,8
2013/06/25,,2,8
2013/06/26,,2,8
2013/06/27,,2,8
2013/06/28,,3,9
2013/06/29,,3,8
2013/06/30,,3,9
2013/07/01,,3,9
2013/07/02,,3,10
2013/07/03,,3,9
2013/07/04,,3,10
2013/07/05,,3,10
2013/07/06,,2,9
2013/07/07,,2,10
2013/07/08,,2,10
2013/07/09,,2,10
2013/07/10,,2,10
2013/07/11,,2,11
2013/07/12,,2,12
2013/07/13,,2,12
2013/07/14,,2,11
2013/07/15,,1,11
2013/07/16,,1,12
2013/07/17,,1,12
2013/07/18,,1,11
2013/07/19,,1,11
2013/07/20,,1,11
2013/07/21,,1,12
2013/07/22,,1,12
2013/07/23,,1,14
2013/07/24,,1,14
2013/07/25,,1,15
2013/07/26,,1,15
2013/07/27,,1,15
2013/07/28,,,14
2013/07/29,,,14
2013/07/30,,,15
2013/07/31,,,15
2013/08/01,,1,15
2013/08/02,,1,15
2013/08/03,,1,15
2013/08/04,,1,15
2013/08/05,,1,15
2013/08/06,,1,16
2013/08/07,,1,16
2013/08/08,,1,16
2013/08/09,,1,17
2013/08/10,,1,16
2013/08/11,,1,15
2013/08/12,,1,15
2013/08/13,,1,16
2013/08/14,,1,16
2013/08/15,,1,16
2013/08/16,,1,16
2013/08/17,,2,17
2013/08/18,,2,16
2013/08/19,,2,17
2013/08/20,,2,15
2013/08/21,,2,15
2013/08/22,,2,13
2013/08/23,,2,13
2013/08/24,,2,12
2013/08/25,,2,14
2013/08/26,,2,14
2013/08/27,,2,14
2013/08/28,,2,14
2013/08/29,,2,13
2013/08/30,,2,12
2013/08/31,,1,11
2013/09/01,,1,11
2013/09/02,,1,10
2013/09/03,,1,12
2013/09/04,,1,12
2013/09/05,,1,12
2013/09/06,,1,11
2013/09/07,,1,11
2013/09/08,,1,10
2013/09/09,,1,11
2013/09/10,,1,11
2013/09/11,,1,12
2013/09/12,,1,11
2013/09/13,,1,11
2013/09/14,,1,10
2013/09/15,,1,10
2013/09/16,,,10
2013/09/17,,,9
2013/09/18,,,8
2013/09/19,,1,8
2013/09/20,,1,8
2013/09/21,,1,8
2013/09/22,,1,9
2013/09/23,,1,9
2013/09/24,,1,8
2013/09/25,,1,9
2013/09/26,,1,9
2013/09/27,,2,10
2013/09/28,,2,10
2013/09/29,,2,10
2013/09/30,,2,10
2013/10/01,,2,10
2013/10/02,,2,10
2013/10/03,,2,8
2013/10/04,,2,9
2013/10/05,,2,9
2013/10/06,,2,10
2013/10/07,,2,11
2013/10/08,,2,11
2013/10/09,,2,11
2013/10/10,,2,11
2013/10/11,,2,10
2013/10/12,,2,10
2013/10/13,,2,10
2013/10/14,,2,10
2013/10/15,,2,10
2013/10/16,,2,11
2013/10/17,,2,11
2013/10/18,,2,11
2013/10/19,,1,11
2013/10/20,,1,11
2013/10/21,,1,11
2013/10/22,,1,12
2013/10/23,,1,11
2013/10/24,,1,11
2013/10/25,,1,10
2013/10/26,,1,10
2013/10/27,,,9
2013/10/28,,,9
2013/10/29,,,8
2013/10/30,,,9
2013/10/31,,,9
2013/11/01,,,9
2013/11/02,,,9
2013/11/03,,,8
2013/11/04,,,8
2013/11/05,,,7
2013/11/06,,,7
2013/11/07,,,7
2013/11/08,,,7
2013/11/09,,,7
2013/11/10,,,7
2013/11/11,,,8
2013/11/12,,,8
2013/11/13,,,9
2013/11/14,,,10
2013/11/15,,,9
2013/11/16,,,11
2013/11/17,,,11
2013/11/18,,1,12
2013/11/19,,1,13
2013/11/20,,1,13
2013/11/21,,1,11
2013/11/22,,1,10
2013/11/23,,1,10
2013/11/24,,1,10
2013/11/25,,1,10
2013/11/26,,1,10
2013/11/27,,1,11
2013/11/28,,1,11
2013/11/29,,1,10
2013/11/30,,1,10
2013/12/01,,1,10
2013/12/02,,1,10
2013/12/03,,1,10
2013/12/04,,2,10
2013/12/05,,2,10
2013/12/06,,2,9
2013/12/07,,2,9
2013/12/08,,2,9
2013/12/09,,2,9
2013/12/10,,2,10
2013/12/11,,2,10
2013/12/12,,2,10
2013/12/13,,1,10
2013/12/14,,1,10
2013/12/15,,1,9
2013/12/16,,1,8
2013/12/17,,1,8
2013/12/18,,,8
2013/12/19,,,8
2013/12/20,,,7
2013/12/21,,,7
2013/12/22,,,7
2013/12/23,,,7
2013/12/24,,,7
2013/12/25,,,8
2013/12/26,,,8
2013/12/27,,1,10
2013/12/28,,1,10
2013/12/29,,1,10
2013/12/30,,1,10
2013/12/31,,,10
2014/01/01,,,10
2014/01/02,,,10
2014/01/03,,,9
2014/01/04,,,9
2014/01/05,,,9
2014/01/06,,,9
2014/01/07,,,10
2014/01/08,,,10
2014/01/09,,,8
2014/01/10,,,8
2014/01/11,,,8
2014/01/12,,,8
2014/01/13,,,7
2014/01/14,,1,10
2014/01/15,,1,9
2014/01/16,,1,10
2014/01/17,,1,10
2014/01/18,,1,10
2014/01/19,,1,10
2014/01/20,,1,10
2014/01/21,,2,11
2014/01/22,,2,11
2014/01/23,,2,11
2014/01/24,,2,10
2014/01/25,,2,11
2014/01/26,,2,9
2014/01/27,,2,10
2014/01/28,,2,10
2014/01/29,,2,11
2014/01/30,,2,12
2014/01/31,,2,13
2014/02/01,,2,15
2014/02/02,,2,15
2014/02/03,,2,16
2014/02/04,,2,16
2014/02/05,,2,16
2014/02/06,,2,15
2014/02/07,,2,15
2014/02/08,,3,17
2014/02/09,,4,18
2014/02/10,,4,19
2014/02/11,,4,19
2014/02/12,,4,19
2014/02/13,,4,18
2014/02/14,,4,18
2014/02/15,,4,17
2014/02/16,,4,17
2014/02/17,,4,18
2014/02/18,,4,18
2014/02/19,,4,18
2014/02/20,,3,17
2014/02/21,,3,17
2014/02/22,,3,17
2014/02/23,,3,17
2014/02/24,,3,16
2014/02/25,,3,19
2014/02/26,,3,19
2014/02/27,,3,20
2014/02/28,,3,20
2014/03/01,,3,19
2014/03/02,,3,18
2014/03/03,,3,16
2014/03/04,,4,17
2014/03/05,,4,16
2014/03/06,,4,16
2014/03/07,,5,17
2014/03/08,,6,17
2014/03/09,,6,17
2014/03/10,,4,14
2014/03/11,,3,13
2014/03/12,,3,14
2014/03/13,,3,14
2014/03/14,,3,16
2014/03/15,,3,18
2014/03/16,,3,18
2014/03/17,,3,18
2014/03/18,,3,18
2014/03/19,,3,18
2014/03/20,,4,19
2014/03/21,,4,20
2014/03/22,,4,21
2014/03/23,,5,25
2014/03/24,,6,25
2014/03/25,,6,25
2014/03/26,,5,26
2014/03/27,,5,23
2014/03/28,,5,22
2014/03/29,,5,22
2014/03/30,,5,22
2014/03/31,,5,22
2014/04/01,,5,22
2014/04/02,,5,22
2014/04/03,,4,22
2014/04/04,,4,22
2014/04/05,,4,22
2014/04/06,,3,21
2014/04/07,,3,21
2014/04/08,,3,21
2014/04/09,,3,21
2014/04/10,,3,21
2014/04/11,,3,19
2014/04/12,,3,18
2014/04/13,,3,17
2014/04/14,,3,15
2014/04/15,,3,16
2014/04/16,,3,15
2014/04/17,,2,16
2014/04/18,,2,16
2014/04/19,,2,14
2014/04/20,,2,13
2014/04/21,,3,12
2014/04/22,,2,9
2014/04/23,,1,8
2014/04/24,,1,8
2014/04/25,,1,8
2014/04/26,,1,8
2014/04/27,,1,11
2014/04/28,,1,11
2014/04/29,,1,13
2014/04/30,,1,13
2014/05/01,,1,12
2014/05/02,,1,13
2014/05/03,,1,11
2014/05/04,,1,11
2014/05/05,,1,11
2014/05/06,,1,12
2014/05/07,,1,13
2014/05/08,,1,13
2014/05/09,,1,12
2014/05/10,,1,12
2014/05/11,,1,12
2014/05/12,,1,14
2014/05/13,,1,14
2014/05/14,,1,14
2014/05/15,,1,13
2014/05/16,,1,13
2014/05/17,,1,12
2014/05/18,,1,12
2014/05/19,,1,13
2014/05/20,,1,13
2014/05/21,,1,14
2014/05/22,,1,14
2014/05/23,,1,14
2014/05/24,,1,14
2014/05/25,,1,14
2014/05/26,,1,15
2014/05/27,,1,13
2014/05/28,,1,14
2014/05/29,,1,12
2014/05/30,,1,12
2014/05/31,,1,12
2014/06/01,,1,11
2014/06/02,,1,11
2014/06/03,,1,11
2014/06/04,,1,11
2014/06/05,,1,10
2014/06/06,,1,9
2014/06/07,,1,9
2014/06/08,,1,10
2014/06/09,,1,10
2014/06/10,,1,10
2014/06/11,,1,9
2014/06/12,,1,9
2014/06/13,,1,9
2014/06/14,,1,9
2014/06/15,,1,10
2014/06/16,,,11
2014/06/17,,,12
2014/06/18,,,11
2014/06/19,,,12
2014/06/20,,,12
2014/06/21,,,12
2014/06/22,,,13
2014/06/23,,,13
2014/06/24,,,12
2014/06/25,,,11
2014/06/26,,,10
2014/06/27,,,9
2014/06/28,,,9
2014/06/29,,,9
2014/06/30,,,9
2014/07/01,,,9
2014/07/02,,,9
2014/07/03,,,9
2014/07/04,,,10
2014/07/05,,,10
2014/07/06,,,11
2014/07/07,,,11
2014/07/08,,,10
2014/07/09,,,10
2014/07/10,,,10
2014/07/11,,,9
2014/07/12,,,9
2014/07/13,,,9
2014/07/14,,,9
2014/07/15,,,8
2014/07/16,,,7
2014/07/17,,,7
2014/07/18,,,7
2014/07/19,,,6
2014/07/20,,,7
2014/07/21,,,6
2014/07/22,,,5
2014/07/23,,,5
2014/07/24,,,5
2014/07/25,,,5
2014/07/26,,,5
2014/07/27,,,5
2014/07/28,,,5
2014/07/29,,,6
2014/07/30,,,6
2014/07/31,,,6
2014/08/01,,,6
2014/08/02,,,8
2014/08/03,,,7
2014/08/04,,,8
2014/08/05,,,8
2014/08/06,,,8
2014/08/07,,,8
2014/08/08,,,9
2014/08/09,,,9
2014/08/10,,,9
2014/08/11,,,9
2014/08/12,,,9
2014/08/13,,,9
2014/08/14,,,9
2014/08/15,,,9
2014/08/16,,,8
2014/08/17,,,9
2014/08/18,,,9
2014/08/19,,,7
2014/08/20,,,7
2014/08/21,,,7
2014/08/22,,,8
2014/08/23,,,9
2014/08/24,,,9
2014/08/25,,,9
2014/08/26,,,9
2014/08/27,,,9
2014/08/28,,,8
2014/08/29,,,8
2014/08/30,,,8
2014/08/31,,,8
2014/09/01,,,6
2014/09/02,,,7
2014/09/03,,,6
2014/09/04,,,6
2014/09/05,,,5
2014/09/06,,,5
2014/09/07,,,4
2014/09/08,,,4
2014/09/09,,,4
2014/09/10,,,4
2014/09/11,,,4
2014/09/12,,,4
2014/09/13,,,4
2014/09/14,,1,5
2014/09/15,,1,6
2014/09/16,,1,5
2014/09/17,,1,5
2014/09/18,,1,5
2014/09/19,,1,5
2014/09/20,,1,5
2014/09/21,,1,4
2014/09/22,,1,3
2014/09/23,,1,3
2014/09/24,,1,3
2014/09/25,,1,3
2014/09/26,,2,4
2014/09/27,,2,4
2014/09/28,,2,5
2014/09/29,,2,5
2014/09/30,,2,6
2014/10/01,,2,6
2014/10/02,,2,5
2014/10/03,,2,5
2014/10/04,,2,6
2014/10/05,,2,6
2014/10/06,,2,6
2014/10/07,,2,7
2014/10/08,,2,7
2014/10/09,,2,7
2014/10/10,,3,7
2014/10/11,,3,7
2014/10/12,,3,7
2014/10/13,,3,8
2014/10/14,,3,8
2014/10/15,,3,8
2014/10/16,,3,8
2014/10/17,,3,8
2014/10/18,,3,8
2014/10/19,,3,9
2014/10/20,,3,10
2014/10/21,,3,10
2014/10/22,,3,10
2014/10/23,,3,10
2014/10/24,,3,10
2014/10/25,,3,10
2014/10/26,,2,9
2014/10/27,,1,9
2014/10/28,,1,9
2014/10/29,,1,9
2014/10/30,,1,8
2014/10/31,,1,8
2014/11/01,,1,8
2014/11/02,,1,8
2014/11/03,,1,7
2014/11/04,,1,6
2014/11/05,,1,6
2014/11/06,,1,6
2014/11/07,,1,6
2014/11/08,,1,6
2014/11/09,,,8
2014/11/10,,,6
2014/11/11,,,7
2014/11/12,,,6
2014/11/13,,,7
2014/11/14,,,7
2014/11/15,,,8
2014/11/16,,,8
2014/11/17,,,8
2014/11/18,,,7
2014/11/19,,,7
2014/11/20,,,7
2014/11/21,,,7
2014/11/22,,,7
2014/11/23,,,7
2014/11/24,,,8
2014/11/25,,,8
2014/11/26,,,8
2014/11/27,,,8
2014/11/28,,,8
2014/11/29,,,8
2014/11/30,,,8
2014/12/01,,,8
2014/12/02,,,9
2014/12/03,,,10
2014/12/04,,,11
2014/12/05,,,11
2014/12/06,,,10
2014/12/07,,,10
2014/12/08,,,10
2014/12/09,,,10
2014/12/10,,,10
2014/12/11,,,9
2014/12/12,,,9
2014/12/13,,,7
2014/12/14,,,7
2014/12/15,,,6
2014/12/16,,,7
2014/12/17,,,7
2014/12/18,,,7
2014/12/19,,,8
2014/12/20,,,9
2014/12/21,,,10
2014/12/22,,,12
2014/12/23,,,13
2014/12/24,,,12
2014/12/25,,,12
2014/12/26,,,12
2014/12/27,,,12
2014/12/28,,1,12
2014/12/29,,1,12
2014/12/30,,1,12
2014/12/31,,1,12
2015/01/01,,1,11
2015/01/02,,1,12
2015/01/03,,1,11
2015/01/04,,1,11
2015/01/05,,1,11
2015/01/06,,1,10
2015/01/07,,1,11
2015/01/08,,,13
2015/01/09,,,13
2015/01/10,,,13
2015/01/11,,,13
2015/01/12,,,13
2015/01/13,,,13
2015/01/14,,,13
2015/01/15,,,12
2015/01/16,,,13
2015/01/17,,,13
2015/01/18,,,12
2015/01/19,,,12
2015/01/20,,,12
2015/01/21,,1,11
2015/01/22,,1,10
2015/01/23,,1,10
2015/01/24,,1,10
2015/01/25,,1,10
2015/01/26,,1,10
2015/01/27,,1,11
2015/01/28,,1,11
2015/01/29,,1,11
2015/01/30,,1,11
2015/01/31,,1,11
2015/02/01,,1,9
2015/02/02,,1,9
2015/02/03,,1,9
2015/02/04,,2,10
2015/02/05,,2,11
2015/02/06,,2,10
2015/02/07,,2,8
2015/02/08,,2,8
2015/02/09,,2,8
2015/02/10,,2,8
2015/02/11,,2,8
2015/02/12,,2,10
2015/02/13,,2,9
2015/02/14,,2,9
2015/02/15,,2,10
2015/02/16,,2,12
2015/02/17,,2,12
2015/02/18,,2,13
2015/02/19,,2,16
2015/02/20,,1,17
2015/02/21,,1,17
2015/02/22,,1,18
2015/02/23,,1,18
2015/02/24,,1,18
2015/02/25,,1,20
2015/02/26,,,19
2015/02/27,,,20
2015/02/28,,,20
2015/03/01,,,20
2015/03/02,,,21
2015/03/03,,,21
2015/03/04,,,21
2015/03/05,,,21
2015/03/06,,,19
2015/03/07,,,18
2015/03/08,,,18
2015/03/09,,,18
2015/03/10,,,19
2015/03/11,,1,20
2015/03/12,,1,20
2015/03/13,,1,20
2015/03/14,,2,20
2015/03/15,,2,20
2015/03/16,,2,21
2015/03/17,,2,19
2015/03/18,,2,17
2015/03/19,,3,18
2015/03/20,,3,17
2015/03/21,,4,15
2015/03/22,,4,14
2015/03/23,1,7,17
2015/03/24,1,9,21
2015/03/25,1,9,21
2015/03/26,1,9,21
2015/03/27,1,9,20
2015/03/28,1,9,20
2015/03/29,1,9,18
2015/03/30,1,9,18
2015/03/31,1,9,18
2015/04/01,1,10,18
2015/04/02,1,10,18
2015/04/03,1,10,18
2015/04/04,1,10,18
2015/04/05,1,10,20
2015/04/06,1,10,20
2015/04/07,1,10,20
2015/04/08,1,10,20
2015/04/09,1,10,19
2015/04/10,1,10,18
2015/04/11,1,10,18
2015/04/12,1,11,19
2015/04/13,1,10,20
2015/04/14,1,10,20
2015/04/15,1,11,20
2015/04/16,1,11,21
2015/04/17,1,11,22
2015/04/18,1,10,21
2015/04/19,1,11,22
2015/04/20,1,11,22
2015/04/21,1,11,22
2015/04/22,,8,18
2015/04/23,,6,14
2015/04/24,,5,16
2015/04/25,,5,17
2015/04/26,,4,18
2015/04/27,,4,18
2015/04/28,,4,18
2015/04/29,,4,19
2015/04/30,,4,20
2015/05/01,,3,19
2015/05/02,,3,19
2015/05/03,,3,19
2015/05/04,,3,18
2015/05/05,,3,17
2015/05/06,,2,16
2015/05/07,,2,16
2015/05/08,,2,16
2015/05/09,,2,18
2015/05/10,,2,19
2015/05/11,,2,19
2015/05/12,,1,19
2015/05/13,,1,19
2015/05/14,,1,19
2015/05/15,,1,19
2015/05/16,,2,17
2015/05/17,,1,16
2015/05/18,,1,16
2015/05/19,,,15
2015/05/20,,,15
2015/05/21,,,14
2015/05/22,,,14
2015/05/23,,,13
2015/05/24,,,11
2015/05/25,,1,11
2015/05/26,,1,10
2015/05/27,,1,10
2015/05/28,,1,10
2015/05/29,,1,10
2015/05/30,,1,10
2015/05/31,,1,12
2015/06/01,,1,12
2015/06/02,,1,12
2015/06/03,,1,10
2015/06/04,,1,10
2015/06/05,,1,10
2015/06/06,,1,10
2015/06/07,,1,9
2015/06/08,,1,8
2015/06/09,,1,9
2015/06/10,,1,9
2015/06/11,,1,10
2015/06/12,,1,10
2015/06/13,,1,10
2015/06/14,,1,10
2015/06/15,,1,9
2015/06/16,,1,9
2015/06/17,,1,8
2015/06/18,,1,8
2015/06/19,,2,10
2015/06/20,,3,12
2015/06/21,,3,12
2015/06/22,,3,12
2015/06/23,,3,12
2015/06/24,,2,12
2015/06/25,,2,12
2015/06/26,,2,12
2015/06/27,,2,12
2015/06/28,,2,12
2015/06/29,,2,12
2015/06/30,,2,11
2015/07/01,,2,11
2015/07/02,,2,11
2015/07/03,,2,12
2015/07/04,,2,14
2015/07/05,,2,14
2015/07/06,,2,15
2015/07/07,,2,15
2015/07/08,,2,14
2015/07/09,,2,13
2015/07/10,,2,13
2015/07/11,,2,13
2015/07/12,,2,13
2015/07/13,,2,12
2015/07/14,,2,12
2015/07/15,,2,12
2015/07/16,,2,13
2015/07/17,,2,13
2015/07/18,,2,13
2015/07/19,,1,12
2015/07/20,,1,9
2015/07/21,,1,10
2015/07/22,,1,10
2015/07/23,,1,10
2015/07/24,,1,9
2015/07/25,,,9
2015/07/26,,,9
2015/07/27,,,10
2015/07/28,,,10
2015/07/29,,,9
2015/07/30,,,8
2015/07/31,,,7
2015/08/01,,,8
2015/08/02,,,7
2015/08/03,,,6
2015/08/04,,,6
2015/08/05,,,7
2015/08/06,,,8
2015/08/07,,,9
2015/08/08,,,9
2015/08/09,,,10
2015/08/10,,,11
2015/08/11,,,12
2015/08/12,,,12
2015/08/13,,,12
2015/08/14,,,12
2015/08/15,,,11
2015/08/16,,,11
2015/08/17,,,11
2015/08/18,,,11
2015/08/19,,,13
2015/08/20,,,12
2015/08/21,,,13
2015/08/22,,,13
2015/08/23,,,13
2015/08/24,,,13
2015/08/25,,,13
2015/08/26,,,12
2015/08/27,,,12
2015/08/28,,1,13
2015/08/29,,1,13
2015/08/30,,1,14
2015/08/31,,1,14
2015/09/01,,1,14
2015/09/02,,1,14
2015/09/03,,2,15
2015/09/04,,2,14
2015/09/05,,2,13
2015/09/06,,2,12
2015/09/07,,2,12
2015/09/08,,1,12
2015/09/09,,1,12
2015/09/10,,1,12
2015/09/11,,1,12
2015/09/12,,1,12
2015/09/13,,1,12
2015/09/14,,1,12
2015/09/15,,1,12
2015/09/16,,1,12
2015/09/17,,1,12
2015/09/18,,1,10
2015/09/19,,1,10
2015/09/20,,1,9
2015/09/21,,1,9
2015/09/22,,1,9
2015/09/23,,1,8
2015/09/24,,1,8
2015/09/25,,1,9
2015/09/26,,1,10
2015/09/27,,,9
2015/09/28,,,9
2015/09/29,,,8
2015/09/30,,,8
2015/10/01,,,8
2015/10/02,,,8
2015/10/03,,,6
2015/10/04,,,5
2015/10/05,,,6
2015/10/06,,,6
2015/10/07,,,6
2015/10/08,,,6
2015/10/09,,,5
2015/10/10,,,5
2015/10/11,,,5
2015/10/12,,,5
2015/10/13,,1,6
2015/10/14,1,2,7
2015/10/15,1,2,7
2015/10/16,1,2,7
2015/10/17,1,2,7
2015/10/18,1,2,7
2015/10/19,1,2,7
2015/10/20,1,2,9
2015/10/21,1,2,9
2015/10/22,1,2,9
2015/10/23,1,2,9
2015/10/24,1,2,10
2015/10/25,1,2,10
2015/10/26,1,2,9
2015/10/27,1,2,9
2015/10/28,1,2,9
2015/10/29,1,2,9
2015/10/30,1,2,9
2015/10/31,1,2,9
2015/11/01,1,2,9
2015/11/02,1,2,9
2015/11/03,1,2,9
2015/11/04,1,2,8
2015/11/05,1,2,8
