date,frwiki (100+),frwiki (5+),frwiki (all)
2013/01/22,867,5488,16548
2013/01/23,872,5515,16618
2013/01/24,872,5544,16807
2013/01/25,884,5573,16990
2013/01/26,877,5592,17080
2013/01/27,873,5574,17082
2013/01/28,887,5582,17141
2013/01/29,880,5620,17235
2013/01/30,868,5624,17272
2013/01/31,863,5626,17359
2013/02/01,862,5640,17461
2013/02/02,856,5625,17436
2013/02/03,849,5590,17377
2013/02/04,843,5557,17332
2013/02/05,838,5533,17384
2013/02/06,827,5522,17347
2013/02/07,826,5514,17379
2013/02/08,825,5500,17324
2013/02/09,816,5483,17287
2013/02/10,821,5458,17201
2013/02/11,814,5466,17189
2013/02/12,820,5463,17256
2013/02/13,807,5440,17278
2013/02/14,803,5457,17219
2013/02/15,807,5475,17181
2013/02/16,803,5450,17144
2013/02/17,808,5450,17101
2013/02/18,808,5461,17111
2013/02/19,805,5473,17153
2013/02/20,804,5469,17099
2013/02/21,804,5466,17110
2013/02/22,807,5467,17099
2013/02/23,812,5441,17097
2013/02/24,812,5422,17035
2013/02/25,820,5424,17090
2013/02/26,820,5463,17149
2013/02/27,820,5458,17156
2013/02/28,821,5466,17144
2013/03/01,815,5485,17147
2013/03/02,820,5487,17121
2013/03/03,821,5493,17017
2013/03/04,829,5470,16950
2013/03/05,832,5477,16965
2013/03/06,830,5473,16989
2013/03/07,827,5483,16916
2013/03/08,832,5470,16841
2013/03/09,835,5476,16785
2013/03/10,835,5453,16733
2013/03/11,836,5449,16726
2013/03/12,848,5459,16813
2013/03/13,843,5468,16801
2013/03/14,833,5467,16836
2013/03/15,824,5450,16875
2013/03/16,823,5437,16866
2013/03/17,837,5424,16825
2013/03/18,841,5453,16825
2013/03/19,839,5476,16894
2013/03/20,837,5456,16872
2013/03/21,842,5447,16847
2013/03/22,840,5443,16844
2013/03/23,834,5431,16778
2013/03/24,833,5445,16726
2013/03/25,848,5454,16699
2013/03/26,850,5471,16713
2013/03/27,855,5467,16691
2013/03/28,847,5451,16672
2013/03/29,843,5466,16615
2013/03/30,840,5444,16505
2013/03/31,828,5436,16416
2013/04/01,829,5426,16320
2013/04/02,836,5440,16345
2013/04/03,835,5427,16403
2013/04/04,838,5430,16436
2013/04/05,825,5395,16435
2013/04/06,818,5374,16451
2013/04/07,826,5374,16482
2013/04/08,828,5389,16494
2013/04/09,820,5438,16629
2013/04/10,815,5464,16689
2013/04/11,810,5483,16695
2013/04/12,809,5471,16686
2013/04/13,814,5494,16595
2013/04/14,811,5465,16487
2013/04/15,817,5451,16421
2013/04/16,814,5425,16463
2013/04/17,810,5426,16487
2013/04/18,803,5418,16459
2013/04/19,802,5445,16436
2013/04/20,804,5424,16383
2013/04/21,809,5402,16324
2013/04/22,816,5400,16281
2013/04/23,809,5412,16357
2013/04/24,806,5419,16391
2013/04/25,812,5417,16396
2013/04/26,808,5391,16348
2013/04/27,804,5368,16332
2013/04/28,809,5357,16292
2013/04/29,809,5336,16240
2013/04/30,800,5325,16373
2013/05/01,803,5358,16457
2013/05/02,799,5357,16465
2013/05/03,795,5348,16413
2013/05/04,793,5343,16349
2013/05/05,801,5312,16309
2013/05/06,801,5328,16288
2013/05/07,809,5331,16320
2013/05/08,810,5309,16289
2013/05/09,812,5272,16224
2013/05/10,823,5262,16114
2013/05/11,817,5242,16026
2013/05/12,810,5219,15947
2013/05/13,815,5202,15952
2013/05/14,815,5198,16048
2013/05/15,815,5194,16133
2013/05/16,808,5219,16121
2013/05/17,804,5218,16106
2013/05/18,806,5192,16025
2013/05/19,807,5197,15983
2013/05/20,805,5225,16017
2013/05/21,801,5249,16131
2013/05/22,797,5262,16192
2013/05/23,800,5249,16183
2013/05/24,799,5236,16154
2013/05/25,793,5238,16098
2013/05/26,801,5253,16057
2013/05/27,806,5243,16068
2013/05/28,809,5244,16121
2013/05/29,799,5250,16193
2013/05/30,803,5261,16206
2013/05/31,799,5252,16223
2013/06/01,793,5260,16209
2013/06/02,790,5244,16159
2013/06/03,785,5223,16108
2013/06/04,779,5261,16175
2013/06/05,782,5257,16232
2013/06/06,775,5242,16239
2013/06/07,775,5251,16273
2013/06/08,771,5226,16183
2013/06/09,770,5202,16092
2013/06/10,773,5190,16068
2013/06/11,777,5212,16125
2013/06/12,773,5202,16124
2013/06/13,774,5203,16052
2013/06/14,779,5193,15981
2013/06/15,780,5176,15919
2013/06/16,778,5171,15757
2013/06/17,785,5178,15720
2013/06/18,779,5173,15754
2013/06/19,771,5138,15738
2013/06/20,774,5108,15666
2013/06/21,765,5101,15556
2013/06/22,762,5078,15503
2013/06/23,767,5049,15431
2013/06/24,776,5063,15387
2013/06/25,770,5055,15402
2013/06/26,768,5050,15389
2013/06/27,773,5028,15337
2013/06/28,772,5005,15255
2013/06/29,773,4982,15122
2013/06/30,770,4945,15011
2013/07/01,768,4929,14884
2013/07/02,763,4955,14857
2013/07/03,764,4974,14857
2013/07/04,759,4972,14784
2013/07/05,770,4968,14739
2013/07/06,770,4960,14631
2013/07/07,766,4937,14513
2013/07/08,763,4927,14470
2013/07/09,768,4951,14513
2013/07/10,767,4933,14506
2013/07/11,751,4921,14444
2013/07/12,749,4910,14390
2013/07/13,746,4916,14331
2013/07/14,738,4886,14226
2013/07/15,734,4860,14148
2013/07/16,744,4872,14196
2013/07/17,738,4881,14220
2013/07/18,750,4855,14192
2013/07/19,750,4873,14131
2013/07/20,751,4869,14071
2013/07/21,750,4831,13987
2013/07/22,743,4809,13927
2013/07/23,745,4829,13965
2013/07/24,745,4833,14034
2013/07/25,741,4843,14004
2013/07/26,743,4795,13911
2013/07/27,732,4772,13882
2013/07/28,728,4744,13830
2013/07/29,722,4725,13827
2013/07/30,726,4761,13941
2013/07/31,727,4777,14068
2013/08/01,731,4796,14116
2013/08/02,732,4757,14103
2013/08/03,725,4741,14071
2013/08/04,724,4688,14029
2013/08/05,722,4701,14045
2013/08/06,729,4727,14135
2013/08/07,734,4762,14219
2013/08/08,736,4754,14291
2013/08/09,731,4780,14374
2013/08/10,735,4779,14400
2013/08/11,730,4769,14370
2013/08/12,728,4730,14347
2013/08/13,729,4781,14499
2013/08/14,739,4806,14584
2013/08/15,737,4819,14570
2013/08/16,730,4799,14546
2013/08/17,728,4801,14570
2013/08/18,723,4760,14520
2013/08/19,723,4727,14525
2013/08/20,730,4770,14641
2013/08/21,726,4786,14760
2013/08/22,715,4775,14802
2013/08/23,710,4775,14828
2013/08/24,707,4795,14838
2013/08/25,701,4823,14882
2013/08/26,714,4833,14924
2013/08/27,723,4875,15085
2013/08/28,729,4905,15209
2013/08/29,739,4894,15230
2013/08/30,742,4887,15217
2013/08/31,742,4888,15171
2013/09/01,743,4875,15141
2013/09/02,743,4884,15151
2013/09/03,744,4917,15296
2013/09/04,748,4908,15373
2013/09/05,753,4896,15408
2013/09/06,752,4900,15385
2013/09/07,761,4874,15349
2013/09/08,769,4854,15298
2013/09/09,763,4856,15315
2013/09/10,758,4876,15374
2013/09/11,761,4874,15427
2013/09/12,767,4864,15393
2013/09/13,768,4861,15387
2013/09/14,757,4841,15349
2013/09/15,750,4852,15364
2013/09/16,752,4859,15386
2013/09/17,750,4879,15449
2013/09/18,753,4867,15476
2013/09/19,745,4855,15475
2013/09/20,741,4874,15416
2013/09/21,749,4861,15408
2013/09/22,756,4832,15348
2013/09/23,759,4815,15333
2013/09/24,761,4811,15415
2013/09/25,751,4824,15430
2013/09/26,738,4782,15369
2013/09/27,734,4742,15313
2013/09/28,721,4709,15218
2013/09/29,725,4680,15170
2013/09/30,724,4667,15221
2013/10/01,733,4668,15270
2013/10/02,725,4668,15248
2013/10/03,723,4644,15211
2013/10/04,719,4648,15200
2013/10/05,720,4630,15180
2013/10/06,722,4633,15170
2013/10/07,721,4633,15209
2013/10/08,718,4632,15203
2013/10/09,714,4635,15232
2013/10/10,699,4658,15287
2013/10/11,700,4661,15284
2013/10/12,702,4651,15261
2013/10/13,692,4646,15252
2013/10/14,701,4657,15284
2013/10/15,698,4663,15300
2013/10/16,701,4675,15366
2013/10/17,697,4690,15376
2013/10/18,698,4684,15400
2013/10/19,698,4654,15371
2013/10/20,703,4665,15354
2013/10/21,709,4662,15323
2013/10/22,719,4676,15385
2013/10/23,712,4717,15450
2013/10/24,710,4719,15421
2013/10/25,702,4697,15409
2013/10/26,697,4680,15382
2013/10/27,696,4682,15273
2013/10/28,694,4702,15288
2013/10/29,697,4714,15356
2013/10/30,685,4729,15338
2013/10/31,685,4737,15381
2013/11/01,685,4740,15352
2013/11/02,687,4730,15310
2013/11/03,693,4723,15238
2013/11/04,709,4740,15240
2013/11/05,707,4773,15334
2013/11/06,703,4756,15331
2013/11/07,700,4764,15522
2013/11/08,701,4751,15466
2013/11/09,704,4738,15375
2013/11/10,704,4731,15340
2013/11/11,711,4745,15354
2013/11/12,718,4783,15414
2013/11/13,705,4797,15440
2013/11/14,712,4808,15426
2013/11/15,710,4778,15353
2013/11/16,708,4751,15328
2013/11/17,711,4752,15222
2013/11/18,705,4759,15278
2013/11/19,708,4759,15354
2013/11/20,712,4751,15376
2013/11/21,708,4737,15427
2013/11/22,708,4705,15359
2013/11/23,712,4673,15320
2013/11/24,712,4630,15237
2013/11/25,721,4621,15261
2013/11/26,724,4652,15391
2013/11/27,723,4651,15398
2013/11/28,722,4664,15381
2013/11/29,726,4660,15357
2013/11/30,712,4639,15248
2013/12/01,720,4643,15242
2013/12/02,724,4638,15289
2013/12/03,729,4646,15394
2013/12/04,721,4670,15402
2013/12/05,710,4666,15350
2013/12/06,715,4652,15345
2013/12/07,710,4633,15161
2013/12/08,719,4603,15091
2013/12/09,726,4634,15130
2013/12/10,720,4640,15197
2013/12/11,717,4621,15228
2013/12/12,716,4616,15223
2013/12/13,711,4616,15189
2013/12/14,712,4614,15240
2013/12/15,716,4633,15225
2013/12/16,723,4655,15255
2013/12/17,718,4669,15313
2013/12/18,721,4682,15312
2013/12/19,733,4665,15271
2013/12/20,729,4683,15249
2013/12/21,730,4685,15153
2013/12/22,736,4666,15052
2013/12/23,736,4677,15046
2013/12/24,737,4681,15039
2013/12/25,741,4662,14912
2013/12/26,734,4626,14774
2013/12/27,729,4636,14730
2013/12/28,733,4612,14688
2013/12/29,733,4612,14651
2013/12/30,742,4624,14666
2013/12/31,745,4630,14765
2014/01/01,740,4634,14692
2014/01/02,741,4614,14552
2014/01/03,744,4626,14567
2014/01/04,742,4632,14551
2014/01/05,741,4650,14551
2014/01/06,745,4673,14608
2014/01/07,742,4691,14715
2014/01/08,736,4721,14784
2014/01/09,734,4749,14802
2014/01/10,735,4762,14841
2014/01/11,728,4770,14844
2014/01/12,737,4767,14815
2014/01/13,742,4791,14813
2014/01/14,744,4813,14925
2014/01/15,746,4847,15002
2014/01/16,743,4865,15041
2014/01/17,740,4898,15069
2014/01/18,737,4929,15024
2014/01/19,744,4921,15056
2014/01/20,751,4970,15133
2014/01/21,739,5034,15295
2014/01/22,732,5057,15433
2014/01/23,737,5114,15576
2014/01/24,746,5156,15744
2014/01/25,757,5218,15926
2014/01/26,761,5233,15987
2014/01/27,762,5281,16017
2014/01/28,766,5352,16216
2014/01/29,766,5383,16324
2014/01/30,765,5409,16366
2014/01/31,761,5448,16490
2014/02/01,761,5452,16573
2014/02/02,763,5439,16507
2014/02/03,765,5429,16480
2014/02/04,754,5454,16481
2014/02/05,761,5457,16498
2014/02/06,766,5491,16544
2014/02/07,772,5503,16555
2014/02/08,773,5454,16514
2014/02/09,775,5456,16485
2014/02/10,778,5437,16430
2014/02/11,779,5463,16456
2014/02/12,779,5461,16456
2014/02/13,765,5459,16434
2014/02/14,772,5434,16424
2014/02/15,767,5443,16318
2014/02/16,764,5441,16279
2014/02/17,770,5453,16283
2014/02/18,771,5451,16306
2014/02/19,774,5459,16278
2014/02/20,770,5437,16237
2014/02/21,777,5415,16223
2014/02/22,769,5392,16130
2014/02/23,765,5381,16065
2014/02/24,766,5348,16015
2014/02/25,773,5361,16103
2014/02/26,776,5360,16081
2014/02/27,776,5327,15997
2014/02/28,780,5303,15943
2014/03/01,784,5284,15928
2014/03/02,782,5268,15837
2014/03/03,781,5284,15810
2014/03/04,787,5303,15857
2014/03/05,779,5315,15920
2014/03/06,780,5329,15892
2014/03/07,777,5297,15785
2014/03/08,771,5279,15734
2014/03/09,775,5245,15638
2014/03/10,779,5244,15613
2014/03/11,780,5233,15634
2014/03/12,772,5229,15655
2014/03/13,770,5227,15638
2014/03/14,767,5212,15602
2014/03/15,771,5217,15534
2014/03/16,769,5208,15471
2014/03/17,775,5196,15465
2014/03/18,774,5196,15479
2014/03/19,770,5202,15514
2014/03/20,765,5200,15568
2014/03/21,762,5185,15509
2014/03/22,764,5153,15416
2014/03/23,774,5138,15392
2014/03/24,770,5163,15433
2014/03/25,769,5161,15552
2014/03/26,766,5220,15655
2014/03/27,762,5218,15653
2014/03/28,761,5206,15594
2014/03/29,757,5192,15554
2014/03/30,757,5198,15532
2014/03/31,757,5205,15555
2014/04/01,754,5260,15744
2014/04/02,746,5274,15796
2014/04/03,743,5283,15825
2014/04/04,746,5284,15754
2014/04/05,750,5283,15726
2014/04/06,752,5293,15742
2014/04/07,753,5311,15739
2014/04/08,760,5333,15868
2014/04/09,757,5353,15970
2014/04/10,753,5345,15994
2014/04/11,752,5361,15964
2014/04/12,747,5351,15940
2014/04/13,751,5323,15875
2014/04/14,752,5312,15861
2014/04/15,749,5335,15910
2014/04/16,741,5345,15927
2014/04/17,738,5340,15907
2014/04/18,746,5313,15842
2014/04/19,745,5319,15755
2014/04/20,744,5302,15720
2014/04/21,747,5313,15718
2014/04/22,737,5318,15745
2014/04/23,735,5344,15729
2014/04/24,732,5336,15654
2014/04/25,726,5308,15605
2014/04/26,726,5312,15568
2014/04/27,735,5288,15554
2014/04/28,748,5298,15573
2014/04/29,760,5290,15628
2014/04/30,764,5284,15615
2014/05/01,756,5233,15463
2014/05/02,767,5216,15445
2014/05/03,770,5192,15365
2014/05/04,773,5183,15311
2014/05/05,781,5166,15309
2014/05/06,777,5143,15272
2014/05/07,774,5148,15347
2014/05/08,775,5166,15345
2014/05/09,774,5156,15334
2014/05/10,774,5148,15302
2014/05/11,785,5122,15243
2014/05/12,794,5116,15275
2014/05/13,799,5159,15414
2014/05/14,795,5187,15477
2014/05/15,795,5204,15503
2014/05/16,804,5191,15531
2014/05/17,811,5187,15557
2014/05/18,806,5179,15534
2014/05/19,809,5159,15492
2014/05/20,808,5185,15625
2014/05/21,815,5183,15751
2014/05/22,815,5193,15847
2014/05/23,809,5206,15890
2014/05/24,803,5195,15947
2014/05/25,791,5181,15912
2014/05/26,786,5176,15918
2014/05/27,791,5187,16014
2014/05/28,787,5223,16120
2014/05/29,783,5206,16093
2014/05/30,769,5187,16044
2014/05/31,761,5177,16007
2014/06/01,750,5162,15920
2014/06/02,746,5173,15928
2014/06/03,740,5185,15982
2014/06/04,736,5164,16023
2014/06/05,752,5146,16035
2014/06/06,752,5100,15946
2014/06/07,737,5082,15815
2014/06/08,733,5036,15667
2014/06/09,730,5018,15579
2014/06/10,731,5020,15636
2014/06/11,723,4974,15563
2014/06/12,720,4981,15487
2014/06/13,722,4970,15389
2014/06/14,726,4958,15289
2014/06/15,722,4940,15172
2014/06/16,721,4950,15091
2014/06/17,719,4959,15147
2014/06/18,706,4959,15161
2014/06/19,712,4947,15092
2014/06/20,711,4953,14986
2014/06/21,712,4921,14837
2014/06/22,713,4874,14677
2014/06/23,714,4837,14519
2014/06/24,717,4849,14497
2014/06/25,718,4835,14480
2014/06/26,710,4828,14385
2014/06/27,715,4823,14214
2014/06/28,711,4790,14163
2014/06/29,707,4759,14085
2014/06/30,715,4769,14026
2014/07/01,721,4767,14053
2014/07/02,718,4762,14042
2014/07/03,718,4776,13960
2014/07/04,721,4755,13877
2014/07/05,710,4726,13775
2014/07/06,713,4742,13663
2014/07/07,730,4741,13643
2014/07/08,723,4755,13708
2014/07/09,724,4790,13759
2014/07/10,727,4790,13689
2014/07/11,722,4772,13665
2014/07/12,724,4774,13641
2014/07/13,731,4736,13548
2014/07/14,727,4736,13543
2014/07/15,729,4764,13612
2014/07/16,715,4770,13627
2014/07/17,715,4765,13645
2014/07/18,721,4769,13646
2014/07/19,716,4757,13664
2014/07/20,707,4744,13606
2014/07/21,711,4748,13597
2014/07/22,713,4790,13691
2014/07/23,717,4806,13719
2014/07/24,710,4816,13753
2014/07/25,707,4803,13739
2014/07/26,708,4802,13732
2014/07/27,704,4788,13727
2014/07/28,712,4787,13742
2014/07/29,713,4796,13795
2014/07/30,714,4825,13870
2014/07/31,717,4822,13906
2014/08/01,730,4822,13888
2014/08/02,729,4814,13872
2014/08/03,723,4803,13843
2014/08/04,723,4824,13876
2014/08/05,726,4852,13908
2014/08/06,717,4857,13928
2014/08/07,720,4857,13897
2014/08/08,718,4852,13888
2014/08/09,713,4854,13878
2014/08/10,705,4846,13851
2014/08/11,710,4855,13851
2014/08/12,710,4872,13973
2014/08/13,709,4883,13988
2014/08/14,719,4883,13966
2014/08/15,710,4900,13976
2014/08/16,713,4875,13932
2014/08/17,706,4843,13857
2014/08/18,708,4844,13807
2014/08/19,720,4863,13897
2014/08/20,720,4881,13961
2014/08/21,727,4873,13954
2014/08/22,725,4875,13997
2014/08/23,729,4893,13985
2014/08/24,735,4873,13952
2014/08/25,736,4869,13917
2014/08/26,745,4928,13968
2014/08/27,745,4962,14035
2014/08/28,746,4961,14072
2014/08/29,746,4929,14032
2014/08/30,746,4941,14036
2014/08/31,752,4920,14011
2014/09/01,750,4906,14037
2014/09/02,758,4939,14114
2014/09/03,762,4935,14131
2014/09/04,767,4952,14180
2014/09/05,769,4968,14150
2014/09/06,766,4949,14130
2014/09/07,759,4910,14069
2014/09/08,751,4882,14111
2014/09/09,751,4875,14196
2014/09/10,748,4894,14234
2014/09/11,748,4877,14184
2014/09/12,742,4837,14152
2014/09/13,739,4833,14112
2014/09/14,734,4824,14107
2014/09/15,736,4823,14146
2014/09/16,744,4851,14255
2014/09/17,746,4838,14288
2014/09/18,741,4829,14307
2014/09/19,732,4803,14281
2014/09/20,734,4781,14254
2014/09/21,731,4733,14187
2014/09/22,730,4717,14139
2014/09/23,732,4726,14140
2014/09/24,729,4739,14149
2014/09/25,726,4732,14128
2014/09/26,716,4702,14063
2014/09/27,709,4621,13963
2014/09/28,708,4596,13914
2014/09/29,712,4585,13895
2014/09/30,705,4590,13942
2014/10/01,700,4590,13931
2014/10/02,698,4581,13888
2014/10/03,687,4567,13872
2014/10/04,684,4568,13874
2014/10/05,684,4562,13895
2014/10/06,677,4594,13913
2014/10/07,677,4598,13980
2014/10/08,675,4627,13991
2014/10/09,677,4654,14055
2014/10/10,676,4652,14078
2014/10/11,677,4665,14065
2014/10/12,677,4671,14119
2014/10/13,694,4702,14184
2014/10/14,697,4702,14216
2014/10/15,695,4718,14265
2014/10/16,693,4743,14283
2014/10/17,691,4731,14225
2014/10/18,687,4704,14168
2014/10/19,686,4732,14167
2014/10/20,694,4766,14173
2014/10/21,689,4791,14242
2014/10/22,685,4789,14300
2014/10/23,694,4804,14323
2014/10/24,693,4830,14357
2014/10/25,698,4823,14337
2014/10/26,700,4818,14374
2014/10/27,707,4851,14444
2014/10/28,719,4873,14519
2014/10/29,709,4901,14509
2014/10/30,707,4912,14530
2014/10/31,717,4935,14545
2014/11/01,720,4922,14587
2014/11/02,725,4936,14589
2014/11/03,730,4942,14637
2014/11/04,735,4983,14749
2014/11/05,739,4986,14788
2014/11/06,743,4982,14816
2014/11/07,744,4986,14829
2014/11/08,745,4978,14811
2014/11/09,754,4976,14744
2014/11/10,755,5009,14813
