date,fowiki (100+),fowiki (5+),fowiki (all)
2015/07/27,1,6,22
2015/07/28,1,6,22
2015/07/29,1,6,21
2015/07/30,1,6,22
2015/07/31,1,6,21
2015/08/01,1,5,20
2015/08/02,1,5,23
2015/08/03,1,6,24
2015/08/04,1,6,23
2015/08/05,1,8,26
2015/08/06,1,8,27
2015/08/07,1,9,28
2015/08/08,1,9,30
2015/08/09,1,9,34
2015/08/10,1,9,35
2015/08/11,1,9,36
2015/08/12,1,10,37
2015/08/13,1,11,39
2015/08/14,1,11,41
2015/08/15,1,11,41
2015/08/16,1,10,40
2015/08/17,1,10,40
2015/08/18,1,10,39
2015/08/19,1,10,39
2015/08/20,2,10,39
2015/08/21,2,10,39
2015/08/22,2,9,37
2015/08/23,2,9,37
2015/08/24,2,9,37
2015/08/25,2,10,36
2015/08/26,2,10,35
2015/08/27,1,10,35
2015/08/28,1,10,36
2015/08/29,1,10,34
2015/08/30,1,10,34
2015/08/31,1,10,35
2015/09/01,2,11,33
2015/09/02,1,11,34
2015/09/03,2,12,35
2015/09/04,2,11,32
2015/09/05,2,11,31
2015/09/06,2,11,33
2015/09/07,2,13,33
2015/09/08,2,13,32
2015/09/09,2,13,31
2015/09/10,2,13,34
2015/09/11,2,12,34
2015/09/12,2,12,35
2015/09/13,2,13,36
2015/09/14,2,13,36
2015/09/15,2,13,36
2015/09/16,2,13,36
2015/09/17,2,13,37
2015/09/18,2,15,38
2015/09/19,1,14,37
2015/09/20,1,14,37
2015/09/21,1,15,38
2015/09/22,1,15,37
2015/09/23,1,15,36
2015/09/24,1,14,37
2015/09/25,1,15,38
2015/09/26,1,15,38
2015/09/27,1,15,38
2015/09/28,1,15,38
2015/09/29,1,15,38
2015/09/30,1,16,39
2015/10/01,1,15,38
2015/10/02,1,15,36
2015/10/03,1,15,39
2015/10/04,1,15,40
2015/10/05,1,14,41
2015/10/06,1,13,39
2015/10/07,1,13,39
2015/10/08,1,13,36
2015/10/09,1,12,36
2015/10/10,1,13,32
2015/10/11,1,11,32
2015/10/12,1,9,31
2015/10/13,1,8,29
2015/10/14,1,8,29
2015/10/15,1,8,30
2015/10/16,1,8,30
2015/10/17,1,9,30
2015/10/18,1,9,28
2015/10/19,1,9,29
2015/10/20,1,10,30
2015/10/21,1,9,31
2015/10/22,1,9,28
2015/10/23,1,9,28
2015/10/24,1,10,29
2015/10/25,1,9,31
2015/10/26,1,9,32
2015/10/27,1,9,32
2015/10/28,1,9,33
2015/10/29,1,9,35
2015/10/30,1,9,33
2015/10/31,1,9,34
2015/11/01,1,9,36
2015/11/02,1,8,38
2015/11/03,1,9,36
2015/11/04,1,8,36
2015/11/05,1,8,36
2015/11/06,1,9,35
2015/11/07,1,9,36
2015/11/08,1,9,38
2015/11/09,1,9,37
2015/11/10,1,10,37
2015/11/11,1,10,37
2015/11/12,1,10,38
2015/11/13,1,10,38
2015/11/14,1,10,37
2015/11/15,1,10,39
2015/11/16,1,10,39
2015/11/17,1,11,39
2015/11/18,1,10,40
2015/11/19,1,8,40
2015/11/20,1,10,41
2015/11/21,1,10,42
2015/11/22,1,10,42
2015/11/23,1,10,41
2015/11/24,1,10,41
2015/11/25,1,8,42
2015/11/26,1,8,42
2015/11/27,1,8,41
2015/11/28,1,8,39
2015/11/29,1,8,38
2015/11/30,1,8,40
2015/12/01,2,8,39
2015/12/02,2,8,36
2015/12/03,3,7,36
2015/12/04,3,7,35
2015/12/05,3,7,37
2015/12/06,3,7,39
2015/12/07,3,8,38
2015/12/08,3,8,37
2015/12/09,3,8,37
2015/12/10,2,8,36
2015/12/11,2,8,38
2015/12/12,2,8,38
2015/12/13,2,9,39
2015/12/14,2,9,39
2015/12/15,2,9,37
2015/12/16,2,9,37
2015/12/17,2,9,38
2016/01/18,3,7,30
2016/01/19,3,7,29
2016/01/20,3,8,30
2016/01/21,3,9,33
2016/01/22,3,8,33
2016/01/23,3,8,32
2016/01/24,3,8,33
2016/01/25,3,8,32
2016/01/26,3,9,32
2016/01/27,3,9,33
2016/01/28,3,9,31
2016/01/29,2,8,31
2016/01/30,2,9,31
2016/01/31,2,9,32
2016/02/01,2,9,33
2016/02/02,2,9,33
2016/02/03,2,7,32
2016/02/04,2,7,30
2016/02/05,2,7,31
2016/02/06,2,7,32
2016/02/07,2,7,31
2016/02/08,2,7,33
2016/02/09,2,7,33
2016/02/10,2,7,33
2016/02/11,2,7,33
2016/02/12,2,7,34
2016/02/13,2,8,34
2016/02/14,2,8,35
2016/02/15,2,7,36
2016/02/16,2,7,36
2016/02/17,2,7,36
2016/02/18,2,7,36
