date,omwiki (100+),omwiki (5+),omwiki (all)
2013/04/14,,2,13
2013/04/15,,2,13
2013/04/16,,2,13
2013/04/17,,2,13
2013/04/18,,2,13
2013/04/19,,2,13
2013/04/20,,2,13
2013/04/21,,2,13
2013/04/22,,2,13
2013/04/23,,2,13
2013/04/24,,2,14
2013/04/25,,2,13
2013/04/26,,2,13
2013/04/27,,1,11
2013/04/28,,1,11
2013/04/29,,1,11
2013/04/30,,1,11
2013/05/01,,1,11
2013/05/02,,1,10
2013/05/03,,1,8
2013/05/04,,1,7
2013/05/05,,1,7
2013/05/06,,1,7
2013/05/07,,2,9
2013/05/08,,2,9
2013/05/09,,2,9
2013/05/10,,2,9
2013/05/11,,2,7
2013/05/12,,1,7
2013/05/13,,1,7
2013/05/14,,1,8
2013/05/15,,1,8
2013/05/16,,1,8
2013/05/17,,2,9
2013/05/18,,2,9
2013/05/19,,2,9
2013/05/20,,2,8
2013/05/21,,2,8
2013/05/22,,2,9
2013/05/23,,2,10
2013/05/24,,2,8
2013/05/25,,2,8
2013/05/26,,2,8
2013/05/27,,2,8
2013/05/28,,2,8
2013/05/29,,2,7
2013/05/30,,2,7
2013/05/31,,2,7
2013/06/01,,2,7
2013/06/02,,2,7
2013/06/03,,2,7
2013/06/04,,3,8
2013/06/05,,3,8
2013/06/06,,2,6
2013/06/07,,2,7
2013/06/08,,2,7
2013/06/09,,2,7
2013/06/10,,2,7
2013/06/11,,2,7
2013/06/12,,2,7
2013/06/13,,2,6
2013/06/14,,2,7
2013/06/15,,2,7
2013/06/16,,1,8
2013/06/17,,1,7
2013/06/18,,1,7
2013/06/19,,1,8
2013/06/20,,1,8
2013/06/21,,1,8
2013/06/22,,2,7
2013/06/23,,2,7
2013/06/24,,2,7
2013/06/25,,2,7
2013/06/26,,2,7
2013/06/27,,2,7
2013/06/28,,2,7
2013/06/29,,2,8
2013/06/30,,2,7
2013/07/01,,2,7
2013/07/02,,2,7
2013/07/03,,2,8
2013/07/04,,1,7
2013/07/05,,1,7
2013/07/06,,1,7
2013/07/07,,1,6
2013/07/08,,1,6
2013/07/09,,1,6
2013/07/10,,1,6
2013/07/11,,1,6
2013/07/12,,2,7
2013/07/13,,2,7
2013/07/14,,2,6
2013/07/15,,2,6
2013/07/16,,2,5
2013/07/17,,2,5
2013/07/18,,2,5
2013/07/19,,2,4
2013/07/20,,2,4
2013/07/21,,2,4
2013/07/22,,1,3
2013/07/23,,1,3
2013/07/24,,1,3
2013/07/25,,1,3
2013/07/26,,1,3
2013/07/27,,1,4
2013/07/28,,1,4
2013/07/29,,1,3
2013/07/30,,1,3
2013/07/31,,1,3
2013/08/01,,1,3
2013/08/02,,1,3
2013/08/03,,1,3
2013/08/04,,1,3
2013/08/05,,1,3
2013/08/06,,1,3
2013/08/07,,1,3
2013/08/08,,1,3
2013/08/09,,1,3
2013/08/10,,1,3
2013/08/11,,1,3
2013/08/12,,1,3
2013/08/13,,1,3
2013/08/14,,1,3
2013/08/15,,1,3
2013/08/16,,1,3
2013/08/17,,1,3
2013/08/18,,1,3
2013/08/19,,1,3
2013/08/20,,1,4
2013/08/21,,2,6
2013/08/22,,2,6
2013/08/23,,2,6
2013/08/24,,2,6
2013/08/25,,2,6
2013/08/26,,2,5
2013/08/27,,3,5
2013/08/28,,3,5
2013/08/29,,3,5
2013/08/30,,3,5
2013/08/31,,3,5
2013/09/01,,3,4
2013/09/02,,3,4
2013/09/03,,3,4
2013/09/04,,3,4
2013/09/05,,3,4
2013/09/06,,3,4
2013/09/07,,3,4
2013/09/08,,2,3
2013/09/09,,2,3
2013/09/10,,3,4
2013/09/11,,3,4
2013/09/12,,3,4
2013/09/13,,3,4
2013/09/14,,3,4
2013/09/15,,3,5
2013/09/16,,3,5
2013/09/17,,3,5
2013/09/18,,3,5
2013/09/19,,3,5
2013/09/20,,2,3
2013/09/21,,2,3
2013/09/22,,2,3
2013/09/23,,2,3
2013/09/24,,2,3
2013/09/25,,2,3
2013/09/26,,1,3
2013/09/27,,1,3
2013/09/28,,1,3
2013/09/29,,1,5
2013/09/30,,1,5
2013/10/01,,1,5
2013/10/02,,1,5
2013/10/03,,1,5
2013/10/04,,2,7
2013/10/05,,3,8
2013/10/06,,3,8
2013/10/07,,3,8
2013/10/08,,3,8
2013/10/09,,3,9
2013/10/10,,2,8
2013/10/11,,2,8
2013/10/12,,2,8
2013/10/13,,2,8
2013/10/14,,2,8
2013/10/15,,2,7
2013/10/16,,2,9
2013/10/17,,2,9
2013/10/18,,2,9
2013/10/19,,2,9
2013/10/20,,2,9
2013/10/21,,2,9
2013/10/22,,2,9
2013/10/23,,2,9
2013/10/24,,2,9
2013/10/25,,2,9
2013/10/26,,2,9
2013/10/27,,2,8
2013/10/28,,2,8
2013/10/29,,2,6
2013/10/30,,2,6
2013/10/31,,2,6
2013/11/01,,2,6
2013/11/02,,2,6
2013/11/03,,1,5
2013/11/04,,1,6
2013/11/05,,1,6
2013/11/06,,1,6
2013/11/07,,1,6
2013/11/08,,1,5
2013/11/09,,1,5
2013/11/10,,1,5
2013/11/11,,1,7
2013/11/12,,1,7
2013/11/13,,1,7
2013/11/14,,1,7
2013/11/15,,1,5
2013/11/16,,1,5
2013/11/17,,1,5
2013/11/18,,,5
2013/11/19,,,4
2013/11/20,,,4
2013/11/21,,,4
2013/11/22,,,5
2013/11/23,,,5
2013/11/24,,,5
2013/11/25,,,5
2013/11/26,,,5
2013/11/27,,,5
2013/11/28,,,5
2013/11/29,,,5
2013/11/30,,,5
2013/12/01,,,5
2013/12/02,,,5
2013/12/03,,,6
2013/12/04,,,6
2013/12/05,,,6
2013/12/06,,,6
2013/12/07,,,6
2013/12/08,,1,7
2013/12/09,,1,6
2013/12/10,,1,6
2013/12/11,,,4
2013/12/12,,,5
2013/12/13,,,6
2013/12/14,,,6
2013/12/15,,,6
2013/12/16,,,6
2013/12/17,,,6
2013/12/18,,,6
2013/12/19,,1,6
2013/12/20,,1,7
2013/12/21,,1,7
2013/12/22,,1,6
2013/12/23,,1,6
2013/12/24,,1,6
2013/12/25,,1,6
2013/12/26,,1,6
2013/12/27,,1,6
2013/12/28,,2,7
2013/12/29,,2,7
2013/12/30,,2,7
2013/12/31,,2,7
2014/01/01,,2,8
2014/01/02,,2,7
2014/01/03,,2,7
2014/01/04,,2,7
2014/01/05,,2,7
2014/01/06,,2,7
2014/01/07,,2,7
2014/01/08,,2,7
2014/01/09,,2,7
2014/01/10,,2,7
2014/01/11,,2,7
2014/01/12,,2,6
2014/01/13,,2,6
2014/01/14,,2,8
2014/01/15,,2,8
2014/01/16,,2,8
