date,suwiki (100+),suwiki (5+),suwiki (all)
2012/11/17,5,23,47
2012/11/18,5,23,47
2012/11/19,5,23,51
2012/11/20,5,25,51
2012/11/21,6,26,51
2012/11/22,7,27,52
2012/11/23,7,27,53
2012/11/24,7,27,53
2012/11/25,7,27,54
2012/11/26,7,27,54
2012/11/27,7,28,55
2012/11/28,7,26,53
2012/11/29,7,26,52
2012/11/30,7,26,52
2012/12/01,7,26,54
2012/12/02,7,26,52
2012/12/03,7,26,51
2012/12/04,7,26,52
2012/12/05,7,26,52
2012/12/06,7,26,52
2012/12/07,7,25,53
2012/12/08,7,26,53
2012/12/09,7,26,53
2012/12/10,7,27,53
2012/12/11,7,27,53
2012/12/12,6,27,53
2012/12/13,6,27,53
2012/12/14,6,27,53
2012/12/15,6,27,53
2012/12/16,6,28,53
2012/12/17,6,28,53
2012/12/18,6,29,55
2012/12/19,6,29,52
2012/12/20,6,27,52
2012/12/21,6,26,51
2012/12/22,6,27,51
2012/12/23,6,26,50
2012/12/24,7,26,50
2012/12/25,7,26,52
2012/12/26,7,26,53
2012/12/27,7,25,56
2012/12/28,7,26,55
2012/12/29,7,27,55
2012/12/30,8,27,56
2012/12/31,7,27,56
2013/01/01,7,27,57
2013/01/02,7,27,57
2013/01/03,7,27,57
2013/01/04,7,28,56
2013/01/05,7,28,55
2013/01/06,7,28,54
2013/01/07,7,26,55
2013/01/08,7,26,59
2013/01/09,7,26,60
2013/01/10,7,26,62
2013/01/11,7,26,61
2013/01/12,7,27,61
2013/01/13,7,27,63
2013/01/14,7,27,60
2013/01/15,7,27,59
2013/01/16,7,28,60
2013/01/17,7,28,59
2013/01/18,7,28,60
2013/01/19,7,29,61
2013/01/20,7,28,59
2013/01/21,7,26,60
2013/01/22,7,26,61
2013/01/23,6,27,61
2013/01/24,6,27,59
2013/01/25,6,27,58
2013/01/26,6,27,56
2013/01/27,6,27,57
2013/01/28,6,26,57
2013/01/29,6,26,57
2013/01/30,7,27,58
2013/01/31,6,26,59
2013/02/01,6,26,60
2013/02/02,6,26,63
2013/02/03,6,25,64
2013/02/04,6,25,64
2013/02/05,6,26,66
2013/02/06,6,26,66
2013/02/07,6,26,64
2013/02/08,6,27,63
2013/02/09,6,26,64
2013/02/10,6,28,63
2013/02/11,7,28,61
2013/02/12,7,28,61
2013/02/13,7,28,63
2013/02/14,7,26,63
2013/02/15,7,25,62
2013/02/16,7,25,65
2013/02/17,7,26,67
2013/02/18,7,25,66
2013/02/19,7,24,65
2013/02/20,7,24,66
2013/02/21,8,25,64
2013/02/22,6,23,65
2013/02/23,6,24,65
2013/02/24,5,24,64
2013/02/25,5,24,62
2013/02/26,5,24,62
2013/02/27,5,24,64
2013/02/28,5,24,64
2013/03/01,5,24,65
2013/03/02,5,24,65
2013/03/03,5,24,66
2013/03/04,5,24,67
2013/03/05,5,24,65
2013/03/06,5,24,65
2013/03/07,5,25,63
2013/03/08,6,27,65
2013/03/09,6,27,65
2013/03/10,6,26,65
2013/03/11,7,26,68
2013/03/12,8,26,70
2013/03/13,8,26,72
2013/03/14,8,25,72
2013/03/15,8,24,69
2013/03/16,8,24,68
2013/03/17,8,24,68
2013/03/18,8,23,65
2013/03/19,7,23,63
2013/03/20,7,23,62
2013/03/21,6,22,63
2013/03/22,6,22,62
2013/03/23,6,22,63
2013/03/24,6,22,62
2013/03/25,7,20,61
2013/03/26,7,20,60
2013/03/27,7,19,61
2013/03/28,6,20,61
2013/03/29,5,19,61
2013/03/30,5,19,59
2013/03/31,5,19,58
2013/04/01,5,17,59
2013/04/02,5,17,60
2013/04/03,5,15,55
2013/04/04,4,13,55
2013/04/05,4,12,55
2013/04/06,4,10,50
2013/04/07,4,10,43
2013/04/08,4,9,44
2013/04/09,4,10,43
2013/04/10,3,9,40
2013/04/11,2,9,39
2013/04/12,2,8,38
2013/04/13,1,8,37
2013/04/14,1,8,39
2013/04/15,1,8,40
2013/04/16,1,9,40
2013/04/17,1,9,39
2013/04/18,1,10,39
2013/04/19,1,11,39
2013/04/20,1,11,38
2013/04/21,1,11,38
2013/04/22,1,10,37
2013/04/23,1,10,38
2013/04/24,1,9,37
2013/04/25,1,9,39
2013/04/26,1,9,38
2013/04/27,1,10,39
2013/04/28,1,10,38
2013/04/29,1,10,39
2013/04/30,1,10,39
2013/05/01,1,10,38
2013/05/02,1,10,36
2013/05/03,1,9,35
2013/05/04,1,10,37
2013/05/05,1,10,36
2013/05/06,1,10,35
2013/05/07,1,10,34
2013/05/08,1,10,33
2013/05/09,1,10,32
2013/05/10,1,10,33
2013/05/11,1,11,32
2013/05/12,1,10,32
2013/05/13,1,9,30
2013/05/14,2,8,30
2013/05/15,2,9,31
2013/05/16,2,8,31
2013/05/17,2,7,32
2013/05/18,2,6,31
2013/05/19,2,6,28
2013/05/20,2,6,27
2013/05/21,2,6,27
2013/05/22,2,6,27
2013/05/23,2,6,30
2013/05/24,2,6,30
2013/05/25,2,6,28
2013/05/26,2,6,28
2013/05/27,2,6,24
2013/05/28,2,6,21
2013/05/29,3,6,21
2013/05/30,3,6,22
2013/05/31,3,6,22
2013/06/01,3,6,22
2013/06/02,3,6,24
2013/06/03,3,5,23
2013/06/04,3,5,23
2013/06/05,3,5,23
2013/06/06,3,5,23
2013/06/07,3,5,23
2013/06/08,3,5,23
2013/06/09,3,5,24
2013/06/10,3,5,23
2013/06/11,3,5,23
2013/06/12,3,5,23
2013/06/13,2,5,24
2013/06/14,1,5,22
2013/06/15,1,5,23
2013/06/16,1,5,22
2013/06/17,2,5,22
2013/06/18,2,5,21
2013/06/19,2,4,21
2013/06/20,2,4,21
2013/06/21,2,5,23
2013/06/22,2,5,21
2013/06/23,2,5,21
2013/06/24,2,5,20
2013/06/25,2,5,21
2013/06/26,2,5,21
2013/06/27,2,6,21
2013/06/28,1,6,19
2013/06/29,1,5,19
2013/06/30,1,5,18
2013/07/01,1,6,19
2013/07/02,1,6,18
2013/07/03,1,6,20
2013/07/04,1,6,21
2013/07/05,1,6,22
2013/07/06,1,6,22
2013/07/07,1,6,22
2013/07/08,1,6,22
2013/07/09,1,5,23
2013/07/10,1,5,24
2013/07/11,1,6,25
2013/07/12,1,6,25
2013/07/13,1,6,24
2013/07/14,1,7,24
2013/07/15,1,8,24
2013/07/16,1,7,24
2013/07/17,,7,24
2013/07/18,,7,25
2013/07/19,,8,26
2013/07/20,,8,26
2013/07/21,,7,25
2013/07/22,,7,25
2013/07/23,,7,25
2013/07/24,,7,26
2013/07/25,,7,26
2013/07/26,,7,27
2013/07/27,,7,27
2013/07/28,,7,29
2013/07/29,,6,28
2013/07/30,,5,30
2013/07/31,,5,30
2013/08/01,,5,29
2013/08/02,,6,26
2013/08/03,,7,25
2013/08/04,,7,24
2013/08/05,,7,24
2013/08/06,,7,24
2013/08/07,,7,24
2013/08/08,,6,24
2013/08/09,,7,23
2013/08/10,,6,24
2013/08/11,,6,23
2013/08/12,,6,23
2013/08/13,,6,22
2013/08/14,,6,23
2013/08/15,,6,24
2013/08/16,,6,24
2013/08/17,,6,24
2013/08/18,,6,21
2013/08/19,1,6,21
2013/08/20,1,6,22
2013/08/21,1,6,22
2013/08/22,1,6,22
2013/08/23,1,6,22
2013/08/24,1,5,21
2013/08/25,1,5,20
2013/08/26,1,5,20
2013/08/27,1,6,19
2013/08/28,1,7,20
2013/08/29,2,8,19
2013/08/30,2,7,16
2013/08/31,2,7,20
2013/09/01,2,7,20
2013/09/02,2,7,21
2013/09/03,2,7,24
2013/09/04,2,7,25
2013/09/05,2,7,26
2013/09/06,2,7,26
2013/09/07,2,7,27
2013/09/08,2,6,27
2013/09/09,2,6,27
2013/09/10,1,6,27
2013/09/11,1,6,26
2013/09/12,1,5,26
2013/09/13,2,5,25
2013/09/14,2,5,24
2013/09/15,2,5,24
2013/09/16,2,5,24
2013/09/17,2,4,23
2013/09/18,1,4,23
2013/09/19,1,4,23
2013/09/20,1,4,23
2013/09/21,1,4,23
2013/09/22,1,4,23
2013/09/23,1,3,22
2013/09/24,1,3,23
2013/09/25,1,3,22
2013/09/26,1,2,23
2013/09/27,1,1,22
2013/09/28,,1,23
2013/09/29,,1,24
2013/09/30,,1,21
2013/10/01,,1,21
2013/10/02,,2,21
2013/10/03,,2,18
2013/10/04,,2,17
2013/10/05,,2,17
2013/10/06,,2,19
2013/10/07,,2,18
2013/10/08,,2,19
2013/10/09,,2,18
2013/10/10,,2,18
2013/10/11,,2,19
2013/10/12,,2,19
2013/10/13,,2,19
2013/10/14,,2,19
2013/10/15,,2,21
2013/10/16,,2,20
2013/10/17,,2,20
2013/10/18,,2,21
2013/10/19,,2,19
2013/10/20,,2,19
2013/10/21,,2,20
2013/10/22,,2,20
2013/10/23,,2,22
2013/10/24,,2,22
2013/10/25,,2,22
2013/10/26,,2,23
2013/10/27,,3,23
2013/10/28,,3,21
2013/10/29,,3,20
2013/10/30,,3,20
2013/10/31,,3,19
2013/11/01,,3,18
2013/11/02,,3,18
2013/11/03,,3,19
2013/11/04,,3,20
2013/11/05,,3,18
2013/11/06,,3,19
2013/11/07,,3,18
2013/11/08,,3,19
2013/11/09,,3,18
2013/11/10,,3,17
2013/11/11,,3,17
2013/11/12,,3,18
2013/11/13,,3,18
2013/11/14,,3,18
2013/11/15,,3,19
2013/11/16,,3,24
2013/11/17,,3,24
2013/11/18,,3,24
2013/11/19,,3,24
2013/11/20,,3,23
2013/11/21,,3,24
2013/11/22,,3,23
2013/11/23,,3,23
2013/11/24,,3,24
2013/11/25,,3,21
2013/11/26,,2,21
2013/11/27,,2,21
2013/11/28,,2,23
2013/11/29,,2,24
2013/11/30,,2,24
2013/12/01,,3,24
2013/12/02,,3,24
2013/12/03,,3,24
2013/12/04,,3,24
2013/12/05,,3,25
2013/12/06,,3,24
2013/12/07,,3,24
2013/12/08,,3,23
2013/12/09,,3,24
2013/12/10,,3,24
2013/12/11,,3,24
2013/12/12,,3,25
2013/12/13,,2,26
2013/12/14,,3,24
2013/12/15,,3,23
2013/12/16,,3,19
2013/12/17,,3,20
2013/12/18,,3,20
2013/12/19,,3,20
2013/12/20,,3,20
2013/12/21,,3,20
2013/12/22,,3,21
2013/12/23,,4,20
2013/12/24,,4,19
2013/12/25,,4,19
2013/12/26,,4,19
2013/12/27,,4,20
2013/12/28,,4,18
2013/12/29,,3,17
2013/12/30,,3,18
2013/12/31,,3,18
2014/01/01,,3,18
2014/01/02,,3,17
2014/01/03,,3,17
2014/01/04,,3,16
2014/01/05,,3,16
2014/01/06,,3,16
2014/01/07,,4,16
2014/01/08,,4,17
2014/01/09,,4,17
2014/01/10,,4,18
2014/01/11,,5,17
2014/01/12,,5,17
2014/01/13,,5,18
2014/01/14,1,6,19
2014/01/15,1,6,19
2014/01/16,1,6,20
2014/01/17,1,6,21
2014/01/18,1,6,22
2014/01/19,1,6,23
2014/01/20,1,6,22
2014/01/21,1,6,22
2014/01/22,1,5,24
2014/01/23,1,5,24
2014/01/24,1,5,24
2014/01/25,1,5,26
2014/01/26,1,5,25
2014/01/27,1,5,24
2014/01/28,1,5,24
2014/01/29,1,5,24
2014/01/30,1,5,24
2014/01/31,1,5,24
2014/02/01,1,5,24
2014/02/02,1,5,24
2014/02/03,1,5,24
2014/02/04,1,5,25
2014/02/05,1,6,25
2014/02/06,1,5,24
2014/02/07,1,5,23
2014/02/08,1,5,22
2014/02/09,1,5,24
2014/02/10,1,5,25
2014/02/11,1,5,26
2014/02/12,1,4,26
2014/02/13,,3,24
2014/02/14,,3,26
2014/02/15,,3,24
2014/02/16,,3,23
2014/02/17,,3,24
2014/02/18,,3,23
2014/02/19,,4,24
2014/02/20,,4,24
2014/02/21,,4,23
2014/02/22,,4,22
2014/02/23,,3,23
2014/02/24,,3,20
2014/02/25,,3,20
2014/02/26,,3,20
2014/02/27,,3,21
2014/02/28,,3,20
2014/03/01,,3,20
2014/03/02,,3,20
2014/03/03,,3,20
2014/03/04,,3,19
2014/03/05,,3,19
2014/03/06,,3,20
2014/03/07,,3,19
2014/03/08,,3,19
2014/03/09,,3,19
2014/03/10,,3,19
2014/03/11,,3,18
2014/03/12,,2,19
2014/03/13,,3,20
2014/03/14,,3,18
2014/03/15,,3,19
2014/03/16,,3,17
2014/03/17,,3,18
2014/03/18,,3,18
2014/03/19,,3,18
2014/03/20,,3,19
2014/03/21,,3,18
2014/03/22,,3,18
2014/03/23,,3,18
2014/03/24,,3,19
2014/03/25,,3,19
2014/03/26,,3,21
2014/03/27,,3,21
2014/03/28,,3,22
2014/03/29,,4,22
2014/03/30,,4,22
2014/03/31,,4,22
2014/04/01,,4,22
2014/04/02,,4,22
2014/04/03,,4,23
2014/04/04,,4,23
2014/04/05,,3,23
2014/04/06,,4,24
2014/04/07,,4,27
2014/04/08,,4,27
2014/04/09,,4,28
2014/04/10,,4,28
2014/04/11,,4,27
2014/04/12,,4,26
2014/04/13,,3,25
2014/04/14,,3,24
2014/04/15,,3,25
2014/04/16,,3,25
2014/04/17,,4,25
2014/04/18,,3,25
2014/04/19,,3,24
2014/04/20,,3,24
2014/04/21,,3,24
2014/04/22,,3,26
2014/04/23,,3,25
2014/04/24,,4,25
2014/04/25,,4,25
2014/04/26,,3,28
2014/04/27,,3,28
2014/04/28,,3,26
2014/04/29,,3,29
2014/04/30,,3,29
2014/05/01,,3,29
2014/05/02,,4,32
2014/05/03,,4,32
2014/05/04,,4,31
2014/05/05,,4,31
2014/05/06,,3,32
2014/05/07,,3,31
2014/05/08,,3,31
2014/05/09,,3,31
2014/05/10,,3,31
2014/05/11,,3,31
2014/05/12,,3,31
2014/05/13,,3,31
2014/05/14,,3,31
2014/05/15,,4,32
2014/05/16,,4,31
2014/05/17,,4,30
2014/05/18,,4,30
2014/05/19,,4,30
2014/05/20,,4,29
2014/05/21,,4,28
2014/05/22,,3,27
2014/05/23,,3,29
2014/05/24,,3,28
2014/05/25,,4,30
2014/05/26,,4,29
2014/05/27,,4,29
2014/05/28,,4,29
2014/05/29,,4,26
2014/05/30,,4,27
2014/05/31,,4,28
2014/06/01,,4,23
2014/06/02,,3,23
2014/06/03,,3,23
2014/06/04,,3,22
2014/06/05,,3,21
2014/06/06,,4,20
2014/06/07,,4,22
2014/06/08,,4,21
2014/06/09,,4,21
2014/06/10,,5,22
2014/06/11,,5,21
2014/06/12,,5,21
2014/06/13,,5,21
2014/06/14,,4,19
2014/06/15,,4,18
2014/06/16,,4,19
2014/06/17,,4,18
2014/06/18,,5,19
2014/06/19,,5,19
2014/06/20,,5,19
2014/06/21,,5,19
2014/06/22,,5,17
2014/06/23,,5,17
2014/06/24,,4,14
2014/06/25,,4,15
2014/06/26,,4,14
2014/06/27,,4,14
2014/06/28,,4,15
2014/06/29,,4,17
2014/06/30,,4,18
2014/07/01,,4,18
2014/07/02,,4,18
2014/07/03,,4,18
2014/07/04,,4,18
2014/07/05,1,4,19
2014/07/06,1,4,20
2014/07/07,1,4,19
2014/07/08,1,5,18
2014/07/09,1,5,18
2014/07/10,1,4,17
2014/07/11,1,4,17
2014/07/12,1,4,18
2014/07/13,1,4,18
2014/07/14,1,4,18
2014/07/15,1,4,19
2014/07/16,1,4,19
2014/07/17,1,5,20
2014/07/18,1,5,20
2014/07/19,1,5,21
2014/07/20,1,5,21
2014/07/21,1,5,21
2014/07/22,1,4,20
2014/07/23,1,4,19
2014/07/24,1,4,19
2014/07/25,1,5,18
2014/07/26,1,5,18
2014/07/27,1,5,18
2014/07/28,1,5,17
2014/07/29,1,5,15
2014/07/30,1,3,15
2014/07/31,1,4,16
2014/08/01,1,4,16
2014/08/02,1,4,16
2014/08/03,1,4,17
2014/08/04,1,4,17
2014/08/05,1,4,18
2014/08/06,1,4,19
2014/08/07,,2,18
2014/08/08,,2,19
2014/08/09,,2,18
2014/08/10,,2,18
2014/08/11,,2,17
2014/08/12,,2,18
2014/08/13,1,4,20
2014/08/14,1,4,21
2014/08/15,1,4,20
2014/08/16,1,4,19
2014/08/17,1,4,19
2014/08/18,1,4,18
2014/08/19,1,4,20
2014/08/20,1,5,20
2014/08/21,1,5,21
2014/08/22,1,5,23
2014/08/23,1,5,24
2014/08/24,1,5,24
2014/08/25,1,5,25
2014/08/26,1,6,25
2014/08/27,1,6,25
2014/08/28,1,6,26
2014/08/29,1,6,25
2014/08/30,1,6,24
2014/08/31,1,6,24
2014/09/01,1,6,24
2014/09/02,1,7,23
2014/09/03,1,7,24
2014/09/04,1,7,23
2014/09/05,1,7,24
2014/09/06,1,7,24
2014/09/07,1,7,24
2014/09/08,1,8,24
2014/09/09,1,8,23
2014/09/10,1,8,24
2014/09/11,1,8,26
2014/09/12,,8,26
2014/09/13,,9,26
2014/09/14,,9,26
2014/09/15,,9,30
2014/09/16,,9,29
2014/09/17,1,10,30
2014/09/18,1,10,29
2014/09/19,1,10,30
2014/09/20,1,9,29
2014/09/21,1,9,28
2014/09/22,1,10,28
2014/09/23,1,9,27
2014/09/24,1,9,27
2014/09/25,1,9,27
2014/09/26,1,10,27
2014/09/27,1,9,28
2014/09/28,1,9,28
2014/09/29,1,9,28
2014/09/30,1,10,30
2014/10/01,1,9,30
2014/10/02,1,9,31
2014/10/03,1,9,30
2014/10/04,1,9,32
2014/10/05,1,9,31
2014/10/06,1,8,30
2014/10/07,1,8,30
2014/10/08,1,8,29
2014/10/09,1,8,30
2014/10/10,1,8,30
2014/10/11,1,8,30
2014/10/12,1,8,29
2014/10/13,1,8,29
2014/10/14,1,8,29
2014/10/15,1,8,26
2014/10/16,1,8,26
2014/10/17,,7,25
2014/10/18,,7,25
2014/10/19,,7,24
2014/10/20,,7,25
2014/10/21,,6,24
2014/10/22,,6,24
2014/10/23,,6,28
2014/10/24,,6,31
2014/10/25,,7,32
2014/10/26,,7,32
2014/10/27,,7,32
2014/10/28,,7,32
2014/10/29,,7,33
2014/10/30,,9,33
2014/10/31,,8,32
2014/11/01,,7,33
2014/11/02,,7,33
2014/11/03,,8,31
2014/11/04,,8,31
2014/11/05,,8,31
2014/11/06,,10,31
2014/11/07,,10,31
2014/11/08,,11,31
2014/11/09,,11,30
2014/11/10,,11,30
2014/11/11,,11,32
2014/11/12,,11,33
2014/11/13,1,11,39
2014/11/14,1,11,41
2014/11/15,1,11,43
2014/11/16,1,12,44
2014/11/17,1,13,45
2014/11/18,1,14,44
2014/11/19,1,13,44
2014/11/20,1,13,44
2014/11/21,1,13,43
2014/11/22,1,12,41
2014/11/23,1,13,39
2014/11/24,1,12,38
2014/11/25,1,12,38
2014/11/26,1,11,38
2014/11/27,1,11,39
2014/11/28,1,11,39
2014/11/29,1,12,39
2014/11/30,1,12,40
2014/12/01,1,11,38
2014/12/02,1,11,38
2014/12/03,2,11,41
2014/12/04,2,11,41
2014/12/05,2,13,43
2014/12/06,2,13,42
2014/12/07,2,13,42
2014/12/08,2,13,41
2014/12/09,2,13,44
2014/12/10,2,13,48
2014/12/11,2,13,47
2014/12/12,2,14,47
2014/12/13,2,13,45
2014/12/14,2,13,45
2014/12/15,2,12,42
2014/12/16,2,12,46
2014/12/17,1,11,46
2014/12/18,1,10,46
2014/12/19,1,10,46
2014/12/20,2,10,46
2014/12/21,2,10,47
2014/12/22,2,11,50
2014/12/23,1,11,49
2014/12/24,2,12,49
2014/12/25,2,12,50
2014/12/26,1,12,49
2014/12/27,1,11,46
2014/12/28,1,11,45
2014/12/29,1,11,47
2014/12/30,1,11,45
2014/12/31,1,11,45
2015/01/01,1,12,45
2015/01/02,1,12,40
2015/01/03,,11,40
2015/01/04,,9,38
2015/01/05,,9,36
2015/01/06,,9,36
2015/01/07,,9,36
2015/01/08,,10,34
2015/01/09,,10,30
2015/01/10,,11,31
2015/01/11,,10,30
2015/01/12,,10,29
2015/01/13,,10,28
2015/01/14,,11,29
2015/01/15,,11,26
2015/01/16,,11,26
2015/01/17,,11,27
2015/01/18,,11,25
2015/01/19,,11,26
2015/01/20,,11,26
2015/01/21,,11,23
2015/01/22,,11,24
2015/01/23,,11,23
2015/01/24,,11,23
2015/01/25,,12,25
2015/01/26,,12,26
2015/01/27,,12,26
2015/01/28,,12,25
2015/01/29,,12,25
2015/01/30,,11,26
2015/01/31,,10,27
2015/02/01,,10,28
2015/02/02,,9,28
2015/02/03,,9,27
2015/02/04,,9,27
2015/02/05,,9,27
2015/02/06,,9,29
2015/02/07,,8,31
2015/02/08,,8,31
2015/02/09,,7,30
2015/02/10,,7,30
2015/02/11,,7,32
2015/02/12,1,7,32
2015/02/13,,8,31
2015/02/14,,8,30
2015/02/15,,8,30
2015/02/16,,8,30
2015/02/17,1,8,31
2015/02/18,1,7,34
2015/02/19,1,7,33
2015/02/20,1,7,33
2015/02/21,1,7,33
2015/02/22,1,6,34
2015/02/23,1,6,33
2015/02/24,,3,30
2015/02/25,,3,29
2015/02/26,,3,29
2015/02/27,,4,28
2015/02/28,,4,28
2015/03/01,,4,30
2015/03/02,,5,30
2015/03/03,,5,28
2015/03/04,,5,28
2015/03/05,,5,28
2015/03/06,,5,28
2015/03/07,,5,28
2015/03/08,,5,27
2015/03/09,,5,25
2015/03/10,1,5,25
2015/03/11,1,5,24
2015/03/12,1,6,24
2015/03/13,1,6,24
2015/03/14,1,6,25
2015/03/15,1,5,27
2015/03/16,1,6,26
2015/03/17,1,6,26
2015/03/18,1,6,25
2015/03/19,1,6,25
2015/03/20,1,6,24
2015/03/21,1,6,24
2015/03/22,1,6,24
2015/03/23,1,5,24
2015/03/24,1,4,23
2015/03/25,1,5,23
2015/03/26,1,5,22
2015/03/27,1,5,22
2015/03/28,,6,23
2015/03/29,,6,23
2015/03/30,,6,23
2015/03/31,,6,20
2015/04/01,,6,18
2015/04/02,,8,19
2015/04/03,,8,19
2015/04/04,,8,19
2015/04/05,,8,20
2015/04/06,,8,20
2015/04/07,,8,21
2015/04/08,,8,21
2015/04/09,,7,21
2015/04/10,,8,21
2015/04/11,,9,22
2015/04/12,,8,21
2015/04/13,,9,20
2015/04/14,,10,20
2015/04/15,,10,21
2015/04/16,,11,23
2015/04/17,1,11,24
2015/04/18,1,11,25
2015/04/19,1,10,25
2015/04/20,1,10,26
2015/04/21,1,10,25
2015/04/22,1,10,25
2015/04/23,1,10,25
2015/04/24,1,11,26
2015/04/25,1,11,26
2015/04/26,1,11,27
2015/04/27,1,11,27
2015/04/28,1,12,28
2015/04/29,1,12,29
2015/04/30,1,13,29
2015/05/01,,14,30
2015/05/02,,13,30
2015/05/03,,16,32
2015/05/04,1,16,34
2015/05/05,2,16,34
2015/05/06,2,16,36
2015/05/07,2,16,34
2015/05/08,2,17,34
2015/05/09,3,16,34
2015/05/10,3,16,35
2015/05/11,3,16,35
2015/05/12,3,16,34
2015/05/13,3,14,33
2015/05/14,3,14,33
2015/05/15,3,14,33
2015/05/16,3,13,31
2015/05/17,3,12,31
2015/05/18,3,12,30
2015/05/19,3,12,27
2015/05/20,3,12,27
2015/05/21,3,12,26
2015/05/22,3,12,27
2015/05/23,3,12,27
2015/05/24,3,13,30
2015/05/25,3,13,32
2015/05/26,3,13,31
2015/05/27,3,12,31
2015/05/28,3,12,31
2015/05/29,3,12,32
2015/05/30,3,12,32
2015/05/31,3,14,34
2015/06/01,3,15,37
2015/06/02,3,14,36
2015/06/03,3,15,35
2015/06/04,3,14,35
2015/06/05,3,14,36
2015/06/06,3,17,39
2015/06/07,3,17,39
2015/06/08,2,18,39
2015/06/09,2,18,39
2015/06/10,2,17,38
2015/06/11,2,17,38
2015/06/12,2,17,38
2015/06/13,2,15,38
2015/06/14,2,15,39
2015/06/15,2,15,41
2015/06/16,2,16,41
2015/06/17,2,16,42
2015/06/18,2,17,42
2015/06/19,2,22,49
2015/06/20,2,22,50
2015/06/21,2,22,50
2015/06/22,2,21,49
2015/06/23,2,20,45
2015/06/24,2,20,43
2015/06/25,2,20,44
2015/06/26,2,20,45
2015/06/27,2,20,47
2015/06/28,2,20,46
2015/06/29,2,21,46
2015/06/30,2,20,44
2015/07/01,2,19,44
2015/07/02,2,19,45
2015/07/03,2,26,55
2015/07/04,2,30,59
2015/07/05,2,31,57
2015/07/06,2,29,53
2015/07/07,2,29,55
2015/07/08,2,28,55
2015/07/09,4,33,60
2015/07/10,4,33,61
2015/07/11,4,34,62
2015/07/12,4,35,63
2015/07/13,4,37,65
2015/07/14,4,37,66
2015/07/15,4,37,64
2015/07/16,4,38,64
2015/07/17,4,38,64
2015/07/18,4,38,65
2015/07/19,4,34,60
2015/07/20,4,34,57
2015/07/21,4,34,57
2015/07/22,5,37,62
2015/07/23,5,36,62
2015/07/24,5,36,62
2015/07/25,5,36,63
2015/07/26,5,36,62
2015/07/27,5,36,59
2015/07/28,5,36,60
2015/07/29,5,35,60
2015/07/30,6,34,61
2015/07/31,6,35,58
2015/08/01,5,35,57
2015/08/02,6,27,48
2015/08/03,6,28,48
2015/08/04,6,28,48
2015/08/05,6,28,49
2015/08/06,6,29,48
2015/08/07,6,30,50
2015/08/08,6,27,46
2015/08/09,6,27,47
2015/08/10,6,27,49
2015/08/11,6,26,48
2015/08/12,6,26,47
2015/08/13,6,26,49
2015/08/14,6,26,49
2015/08/15,6,25,48
2015/08/16,6,25,48
2015/08/17,6,25,48
2015/08/18,6,24,48
2015/08/19,6,24,47
2015/08/20,6,24,47
2015/08/21,6,21,42
2015/08/22,6,21,43
2015/08/23,6,21,44
2015/08/24,6,21,43
2015/08/25,6,21,44
2015/08/26,6,21,44
