date,pagwiki (100+),pagwiki (5+),pagwiki (all)
2013/06/17,,2,7
2013/06/18,,2,7
2013/06/19,,2,7
2013/06/20,,2,8
2013/06/21,,2,8
2013/06/22,,2,8
2013/06/23,,2,8
2013/06/24,,2,8
2013/06/25,,2,8
2013/06/26,,2,8
2013/06/27,,2,7
2013/06/28,,2,7
2013/06/29,,2,7
2013/06/30,,2,7
2013/07/01,,2,8
2013/07/02,,2,8
2013/07/03,,2,8
2013/07/04,,1,8
2013/07/05,,1,8
2013/07/06,,1,8
2013/07/07,,1,8
2013/07/08,,1,8
2013/07/09,,1,8
2013/07/10,,1,7
2013/07/11,,1,7
2013/07/12,,1,7
2013/07/13,,1,8
2013/07/14,,1,7
2013/07/15,,1,8
2013/07/16,,1,6
2013/07/17,,1,6
2013/07/18,,1,7
2013/07/19,,1,7
2013/07/20,,1,6
2013/07/21,,1,6
2013/07/22,,1,5
2013/07/23,,1,5
2013/07/24,,1,5
2013/07/25,,1,6
2013/07/26,,1,6
2013/07/27,,1,6
2013/07/28,,1,6
2013/07/29,,1,6
2013/07/30,,1,7
2013/07/31,,1,6
2013/08/01,,1,6
2013/08/02,,1,6
2013/08/03,,1,6
2013/08/04,,1,6
2013/08/05,,1,6
2013/08/06,,1,6
2013/08/07,,1,7
2013/08/08,,1,7
2013/08/09,,1,8
2013/08/10,,1,8
2013/08/11,,1,8
2013/08/12,,1,7
2013/08/13,,1,7
2013/08/14,,1,6
2013/08/15,,1,6
2013/08/16,,1,6
2013/08/17,,1,7
2013/08/18,,1,8
2013/08/19,,1,8
2013/08/20,,1,8
2013/08/21,,1,8
2013/08/22,,1,8
2013/08/23,,1,8
2013/08/24,,1,7
2013/08/25,,1,7
2013/08/26,,1,7
2013/08/27,,1,7
2013/08/28,,1,7
2013/08/29,,1,7
2013/08/30,,1,6
2013/08/31,,1,6
2013/09/01,,1,6
2013/09/02,,1,6
2013/09/03,,1,6
2013/09/04,,1,6
2013/09/05,,1,6
2013/09/06,,1,6
2013/09/07,,1,6
2013/09/08,,1,4
2013/09/09,,,5
2013/09/10,,,5
2013/09/11,,,5
2013/09/12,,,5
2013/09/13,,,5
2013/09/14,,,5
2013/09/15,,,5
2013/09/16,,,4
2013/09/17,,,2
2013/09/18,,,2
2013/09/19,,,2
2013/09/20,,,2
2013/09/21,,,2
2013/09/22,,,2
2013/09/23,,,2
2013/09/24,,1,2
2013/09/25,,1,2
2013/09/26,,1,2
2013/09/27,,,2
2013/09/28,,,2
2013/09/29,,,2
2013/09/30,,,2
2013/10/01,,,2
2013/10/02,,,3
2013/10/03,,,3
2013/10/04,,,3
2013/10/05,,,3
2013/10/06,,,3
2013/10/07,,,3
2013/10/08,,,3
2013/10/09,,,2
2013/10/10,,,4
2013/10/11,,,4
2013/10/12,,,4
2013/10/13,,,5
2013/10/14,,,5
2013/10/15,,,5
2013/10/16,,,6
2013/10/17,,,6
2013/10/18,,,6
2013/10/19,,,6
2013/10/20,,,6
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,6
2013/10/26,,,7
2013/10/27,,,7
2013/10/28,,,7
2013/10/29,,,7
2013/10/30,,,7
2013/10/31,,,7
2013/11/01,,,7
2013/11/02,,,7
2013/11/03,,,7
2013/11/04,,,7
2013/11/05,,,7
2013/11/06,,,7
2013/11/07,,,8
2013/11/08,,,9
2013/11/09,,,8
2013/11/10,,,8
2013/11/11,,,8
2013/11/12,,,8
2013/11/13,,,8
2013/11/14,,,8
2013/11/15,,,7
2013/11/16,,,7
2013/11/17,,,7
2013/11/18,,,7
2013/11/19,,,7
2013/11/20,,,7
2013/11/21,,,7
2013/11/22,,,7
2013/11/23,,,7
2013/11/24,,,7
2013/11/25,,1,7
2013/11/26,,,6
2013/11/27,,,6
2013/11/28,,1,6
2013/11/29,,1,6
2013/11/30,,1,6
2013/12/01,,1,6
2013/12/02,,1,6
2013/12/03,,1,7
2013/12/04,,1,7
2013/12/05,,1,7
2013/12/06,,1,7
2013/12/07,,1,6
2013/12/08,,1,6
2013/12/09,,1,5
2013/12/10,,1,4
2013/12/11,,1,4
2013/12/12,,1,4
2013/12/13,,1,3
2013/12/14,,1,3
2013/12/15,,1,3
2013/12/16,,1,3
2013/12/17,,1,3
2013/12/18,,1,3
2013/12/19,,,2
2013/12/20,,,2
2013/12/21,,1,2
2013/12/22,,1,2
2013/12/23,,1,2
2013/12/24,,1,2
2013/12/25,,,2
2013/12/26,,,2
2013/12/27,,,2
2013/12/28,,,2
2013/12/29,,,2
2013/12/30,,,2
2013/12/31,,,4
2014/01/01,,,5
2014/01/02,,,4
2014/01/03,,,4
2014/01/04,,,5
2014/01/05,,,6
2014/01/06,,,6
2014/01/07,,,6
2014/01/08,,,6
2014/01/09,,,6
2014/01/10,,,6
2014/01/11,,,6
2014/01/12,,,6
2014/01/13,,,6
2014/01/14,,,6
2014/01/15,,,6
2014/01/16,,,6
2014/01/17,,,8
2014/01/18,,,9
2014/01/19,,,9
2014/01/20,,,9
2014/01/21,,,9
2014/01/22,,,9
2014/01/23,,,9
2014/01/24,,,9
2014/01/25,,,9
2014/01/26,,,9
2014/01/27,,,9
2014/01/28,,,9
2014/01/29,,,9
2014/01/30,,,8
2014/01/31,,,7
2014/02/01,,,7
2014/02/02,,,7
2014/02/03,,,6
2014/02/04,,,5
2014/02/05,,,5
2014/02/06,,,5
2014/02/07,,,6
2014/02/08,,,6
2014/02/09,,,6
2014/02/10,,,7
2014/02/11,,,7
2014/02/12,,,7
2014/02/13,,1,8
2014/02/14,,1,8
2014/02/15,,1,8
2014/02/16,,1,6
2014/02/17,,1,6
2014/02/18,1,3,9
2014/02/19,2,3,9
2014/02/20,2,3,9
2014/02/21,2,3,9
2014/02/22,2,3,10
2014/02/23,2,3,11
2014/02/24,2,3,11
2014/02/25,2,3,13
2014/02/26,2,3,13
2014/02/27,2,3,13
2014/02/28,2,3,12
2014/03/01,2,3,13
2014/03/02,2,3,13
2014/03/03,2,3,13
2014/03/04,2,3,13
2014/03/05,2,3,13
2014/03/06,2,3,13
2014/03/07,2,3,13
2014/03/08,2,3,14
2014/03/09,2,3,13
2014/03/10,2,3,13
2014/03/11,2,3,13
2014/03/12,2,3,12
2014/03/13,2,3,12
2014/03/14,2,3,12
2014/03/15,2,3,12
2014/03/16,2,3,12
2014/03/17,2,3,13
2014/03/18,2,3,13
2014/03/19,2,3,13
2014/03/20,1,2,12
2014/03/21,,1,11
2014/03/22,,1,11
2014/03/23,,1,11
2014/03/24,,2,11
2014/03/25,,2,10
2014/03/26,,2,11
2014/03/27,,1,8
2014/03/28,,2,8
2014/03/29,,2,9
2014/03/30,,2,9
2014/03/31,,2,7
2014/04/01,,2,7
2014/04/02,,2,7
2014/04/03,,2,6
2014/04/04,,2,6
2014/04/05,,2,6
2014/04/06,,2,6
2014/04/07,,2,5
2014/04/08,,2,5
2014/04/09,,2,5
2014/04/10,,2,5
2014/04/11,,2,5
2014/04/12,,2,5
2014/04/13,,2,5
2014/04/14,,2,5
2014/04/15,,2,5
2014/04/16,,1,5
2014/04/17,,1,5
2014/04/18,,1,5
2014/04/19,,1,4
2014/04/20,,1,5
2014/04/21,,1,5
2014/04/22,,1,5
2014/04/23,,,4
2014/04/24,,,5
2014/04/25,,,4
2014/04/26,,,4
2014/04/27,,,4
2014/04/28,,,3
2014/04/29,,,3
2014/04/30,,,3
2014/05/01,,,3
2014/05/02,,,3
2014/05/03,,,3
2014/05/04,,,3
2014/05/05,,,4
2014/05/06,,,5
2014/05/07,,,5
2014/05/08,,,5
2014/05/09,,,5
2014/05/10,,,5
2014/05/11,,,5
2014/05/12,,,5
2014/05/13,,,5
2014/05/14,,,5
2014/05/15,,,6
2014/05/16,,,6
2014/05/17,,,6
2014/05/18,,,6
2014/05/19,,,6
2014/05/20,,,6
2014/05/21,,,6
2014/05/22,,,6
2014/05/23,,,6
2014/05/24,,,5
2014/05/25,,,5
2014/05/26,,1,6
2014/05/27,,1,5
2014/05/28,,1,5
2014/05/29,,2,6
2014/05/30,,2,6
2014/05/31,,2,6
2014/06/01,,2,7
2014/06/02,1,3,8
2014/06/03,1,3,9
2014/06/04,1,3,8
2014/06/05,1,4,8
2014/06/06,1,4,8
2014/06/07,1,4,8
2014/06/08,1,4,8
2014/06/09,1,4,8
2014/06/10,1,5,9
2014/06/11,2,5,9
2014/06/12,2,5,9
2014/06/13,2,5,9
2014/06/14,2,5,8
2014/06/15,2,5,8
2014/06/16,2,5,8
2014/06/17,2,5,8
2014/06/18,2,5,8
2014/06/19,2,5,7
2014/06/20,2,5,7
2014/06/21,2,5,7
2014/06/22,3,6,8
2014/06/23,3,6,8
2014/06/24,3,6,8
2014/06/25,3,5,7
2014/06/26,3,5,7
2014/06/27,3,5,8
2014/06/28,3,4,8
2014/06/29,3,4,8
2014/06/30,3,4,8
2014/07/01,3,4,7
2014/07/02,3,4,7
2014/07/03,3,5,7
2014/07/04,3,4,7
2014/07/05,4,5,9
2014/07/06,4,5,9
2014/07/07,4,5,9
2014/07/08,4,5,9
2014/07/09,4,5,10
2014/07/10,4,5,9
2014/07/11,4,5,9
2014/07/12,3,4,8
2014/07/13,3,4,9
2014/07/14,3,4,9
2014/07/15,3,4,9
2014/07/16,3,4,8
2014/07/17,3,4,8
2014/07/18,3,4,8
2014/07/19,3,4,8
2014/07/20,3,4,8
2014/07/21,3,4,8
2014/07/22,3,4,8
2014/07/23,2,4,7
2014/07/24,2,4,7
2014/07/25,2,4,7
2014/07/26,2,4,7
2014/07/27,2,4,7
2014/07/28,2,4,7
2014/07/29,2,4,7
2014/07/30,2,4,7
2014/07/31,2,4,7
2014/08/01,2,4,7
2014/08/02,1,4,7
2014/08/03,1,3,7
2014/08/04,1,2,5
2014/08/05,1,2,5
2014/08/06,1,2,5
2014/08/07,1,2,5
2014/08/08,1,2,4
2014/08/09,1,2,4
2014/08/10,1,2,4
2014/08/11,1,2,4
2014/08/12,1,2,2
2014/08/13,1,2,2
2014/08/14,1,2,2
2014/08/15,1,2,2
2014/08/16,1,2,2
2014/08/17,1,2,2
2014/08/18,1,2,2
2014/08/19,1,3,3
2014/08/20,1,3,3
2014/08/21,1,3,3
2014/08/22,,1,2
2014/08/23,,1,2
2014/08/24,,1,3
2014/08/25,,1,3
2014/08/26,,8,17
2014/08/27,,8,17
2014/08/28,,10,18
2014/08/29,,10,18
2014/08/30,,10,18
2014/08/31,,10,19
2014/09/01,,10,19
2014/09/02,,10,19
2014/09/03,,11,20
2014/09/04,,11,19
2014/09/05,,11,19
2014/09/06,,11,19
2014/09/07,,11,19
2014/09/08,,11,19
2014/09/09,1,12,22
2014/09/10,1,12,22
2014/09/11,1,12,23
2014/09/12,1,12,23
2014/09/13,1,12,23
2014/09/14,1,12,23
2014/09/15,1,12,23
2014/09/16,1,12,23
2014/09/17,1,12,23
2014/09/18,1,12,23
2014/09/19,1,12,23
2014/09/20,1,11,23
2014/09/21,1,11,23
2014/09/22,1,11,23
2014/09/23,1,11,23
2014/09/24,1,11,23
2014/09/25,1,3,11
2014/09/26,1,3,10
2014/09/27,1,2,9
2014/09/28,1,2,9
2014/09/29,1,2,9
2014/09/30,1,2,8
2014/10/01,1,2,8
2014/10/02,1,2,7
2014/10/03,1,1,5
2014/10/04,1,1,5
2014/10/05,1,1,5
2014/10/06,1,1,5
2014/10/07,1,1,5
2014/10/08,1,1,5
2014/10/09,1,1,3
2014/10/10,1,1,3
2014/10/11,,,1
2014/10/12,,,1
2014/10/13,,,1
2014/10/14,,,1
2014/10/15,,,1
2014/10/16,,,2
2014/10/17,,,2
2014/10/18,,,2
2014/10/19,,,2
2014/10/20,,,2
2014/10/21,,,1
2014/10/22,,,1
2014/10/23,,,1
2014/10/24,,,1
2014/10/25,,,1
2014/10/26,,,1
2014/10/27,,,1
2014/10/28,,,1
2014/10/29,,,2
2014/10/30,,,2
2014/10/31,,,2
2014/11/01,,,2
2014/11/02,,,2
2014/11/03,,,2
2014/11/04,,,3
2014/11/05,,,3
2014/11/06,,,3
2014/11/07,,,3
2014/11/08,,,3
2014/11/09,,,4
2014/11/10,,,4
2014/11/11,,,4
2014/11/12,,,5
2014/11/13,,,5
2014/11/14,,,5
2014/11/15,,,4
2014/11/16,,,4
2014/11/17,,,4
2014/11/18,,,4
2014/11/19,,,4
2014/11/20,,,4
2014/11/21,,,4
2014/11/22,,,4
2014/11/23,,,4
2014/11/24,,,4
2014/11/25,,,4
2014/11/26,,,4
2014/11/27,,,4
2014/11/28,,,3
2014/11/29,,,3
2014/11/30,,,3
2014/12/01,,,3
2014/12/02,,,3
2014/12/03,,,3
2014/12/04,,,2
2014/12/05,,,2
2014/12/06,,,2
2014/12/07,,,2
2014/12/08,,,2
2014/12/09,,,1
2014/12/10,,,1
2014/12/11,,,1
2014/12/22,,,1
2014/12/23,,,1
2014/12/24,,,1
2014/12/25,,,1
2014/12/26,,,1
2014/12/27,,,2
2014/12/28,,,2
2014/12/29,,,2
2014/12/30,,,4
2014/12/31,,,5
2015/01/01,,,5
2015/01/02,,,5
2015/01/03,,,6
