date,kshwiki (100+),kshwiki (5+),kshwiki (all)
2013/02/19,1,3,22
2013/02/20,1,3,22
2013/02/21,1,3,22
2013/02/22,1,3,24
2013/02/23,1,3,23
2013/02/24,1,3,22
2013/02/25,1,3,22
2013/02/26,1,3,23
2013/02/27,1,3,22
2013/02/28,1,3,22
2013/03/01,1,3,21
2013/03/02,1,3,19
2013/03/03,1,3,20
2013/03/04,1,3,20
2013/03/05,1,3,20
2013/03/06,1,3,19
2013/03/07,1,3,18
2013/03/08,1,3,17
2013/03/09,1,3,18
2013/03/10,1,3,18
2013/03/11,1,3,17
2013/03/12,1,3,16
2013/03/13,1,3,16
2013/03/14,1,3,16
2013/03/15,1,3,16
2013/03/16,1,3,16
2013/03/17,1,2,16
2013/03/18,1,2,15
2013/03/19,1,2,15
2013/03/20,1,2,14
2013/03/21,1,2,12
2013/03/22,1,2,13
2013/03/23,1,2,13
2013/03/24,1,2,12
2013/03/25,1,2,12
2013/03/26,1,2,12
2013/03/27,1,2,13
2013/03/28,1,2,13
2013/03/29,1,2,13
2013/03/30,1,2,12
2013/03/31,1,2,12
2013/04/01,1,2,12
2013/04/02,1,2,12
2013/04/03,1,2,12
2013/04/04,1,2,12
2013/04/05,1,2,12
2013/04/06,1,2,11
2013/04/07,1,3,12
2013/04/08,1,3,11
2013/04/09,1,3,12
2013/04/10,1,3,11
2013/04/11,1,4,13
2013/04/12,1,4,14
2013/04/13,1,4,14
2013/04/14,1,4,13
2013/04/15,1,4,14
2013/04/16,1,4,16
2013/04/17,1,4,16
2013/04/18,1,4,16
2013/04/19,1,4,17
2013/04/20,1,4,17
2013/04/21,1,4,16
2013/04/22,1,4,16
2013/04/23,1,4,15
2013/04/24,1,4,15
2013/04/25,1,4,16
2013/04/26,1,4,15
2013/04/27,1,4,14
2013/04/28,1,4,15
2013/04/29,1,4,14
2013/04/30,1,4,15
2013/05/01,1,4,15
2013/05/02,1,4,14
2013/05/03,1,5,14
2013/05/04,1,5,14
2013/05/05,,4,15
2013/05/06,,4,15
2013/05/07,,3,14
2013/05/08,,3,14
2013/05/09,,3,13
2013/05/10,,3,13
2013/05/11,,2,11
2013/05/12,,2,11
2013/05/13,,2,12
2013/05/14,,2,12
2013/05/15,,2,12
2013/05/16,,2,11
2013/05/17,,2,11
2013/05/18,,2,11
2013/05/19,,2,10
2013/05/20,,2,10
2013/05/21,,2,11
2013/05/22,,2,11
2013/05/23,,2,11
2013/05/24,,2,11
2013/05/25,,2,11
2013/05/26,,2,12
2013/05/27,,2,12
2013/05/28,,2,11
2013/05/29,,2,12
2013/05/30,,2,11
2013/05/31,,2,11
2013/06/01,,2,11
2013/06/02,,1,11
2013/06/03,,1,11
2013/06/04,,1,10
2013/06/05,,2,11
2013/06/06,,2,12
2013/06/07,,2,12
2013/06/08,,3,12
2013/06/09,,3,12
2013/06/10,,3,12
2013/06/11,,3,11
2013/06/12,,3,10
2013/06/13,,3,10
2013/06/14,,3,9
2013/06/15,,3,8
2013/06/16,,3,9
2013/06/17,,3,9
2013/06/18,,3,12
2013/06/19,,3,12
2013/06/20,,3,11
2013/06/21,,3,11
2013/06/22,,3,11
2013/06/23,,3,11
2013/06/24,,3,11
2013/06/25,,3,10
2013/06/26,,3,10
2013/06/27,,3,11
2013/06/28,,3,9
2013/06/29,,3,9
2013/06/30,,3,9
2013/07/01,,3,9
2013/07/02,,3,9
2013/07/03,,3,9
2013/07/04,,3,10
2013/07/05,,3,10
2013/07/06,,2,8
2013/07/07,,2,8
2013/07/08,,1,8
2013/07/09,,1,8
2013/07/10,,1,8
2013/07/11,,1,8
2013/07/12,,1,8
2013/07/13,,1,8
2013/07/14,,1,10
2013/07/15,,1,10
2013/07/16,,1,10
2013/07/17,,1,10
2013/07/18,,1,8
2013/07/19,,1,8
2013/07/20,,1,9
2013/07/21,,1,9
2013/07/22,,1,9
2013/07/23,,1,9
2013/07/24,,1,9
2013/07/25,,1,10
2013/07/26,,1,11
2013/07/27,,1,10
2013/07/28,,1,10
2013/07/29,,1,10
2013/07/30,,1,10
2013/07/31,,1,10
2013/08/01,,1,10
2013/08/02,,1,10
2013/08/03,,1,9
2013/08/04,,1,8
2013/08/05,,1,8
2013/08/06,,1,8
2013/08/07,,1,8
2013/08/08,,1,8
2013/08/09,,1,9
2013/08/10,,1,9
2013/08/11,,1,9
2013/08/12,,1,9
2013/08/13,,1,7
2013/08/14,,1,7
2013/08/15,,1,7
2013/08/16,,1,8
2013/08/17,,1,8
2013/08/18,,1,8
2013/08/19,,1,7
2013/08/20,,1,7
2013/08/21,,1,7
2013/08/22,,1,7
2013/08/23,,1,7
2013/08/24,,1,7
2013/08/25,,1,6
2013/08/26,,1,7
2013/08/27,,1,7
2013/08/28,,1,7
2013/08/29,,1,7
2013/08/30,,1,7
2013/08/31,,1,7
2013/09/01,,1,8
2013/09/02,,1,9
2013/09/03,,1,9
2013/09/04,,1,9
2013/09/05,,1,9
2013/09/06,,1,9
2013/09/07,,1,9
2013/09/08,,1,7
2013/09/09,,1,7
2013/09/10,,1,7
2013/09/11,,1,7
2013/09/12,,1,7
2013/09/13,,1,7
2013/09/14,,1,6
2013/09/15,,1,5
2013/09/16,,1,4
2013/09/17,,1,5
2013/09/18,,1,7
2013/09/19,,1,7
2013/09/20,,1,7
2013/09/21,,1,7
2013/09/22,,1,8
2013/09/23,,1,8
2013/09/24,,1,8
2013/09/25,,1,7
2013/09/26,,1,8
2013/09/27,,1,8
2013/09/28,,1,8
2013/09/29,,1,8
2013/09/30,,1,9
2013/10/01,,1,8
2013/10/02,,1,8
2013/10/03,,1,8
2013/10/04,,1,9
2013/10/05,,1,11
2013/10/06,,1,11
2013/10/07,,1,11
2013/10/08,,1,11
2013/10/09,,1,12
2013/10/10,,1,12
2013/10/11,,1,12
2013/10/12,,1,13
2013/10/13,,1,13
2013/10/14,,1,14
2013/10/15,,1,15
2013/10/16,,1,15
2013/10/17,,1,14
2013/10/18,,1,13
2013/10/19,,1,13
2013/10/20,,1,13
2013/10/21,,1,13
2013/10/22,,1,12
2013/10/23,,2,13
2013/10/24,,2,14
2013/10/25,,2,15
2013/10/26,,2,14
2013/10/27,,2,14
2013/10/28,,2,15
2013/10/29,,2,16
2013/10/30,,2,15
2013/10/31,,2,15
2013/11/01,,2,15
2013/11/02,,2,16
2013/11/03,,2,15
2013/11/04,,3,16
2013/11/05,,3,16
2013/11/06,,3,16
2013/11/07,,4,16
2013/11/08,,4,16
2013/11/09,,4,16
2013/11/10,,4,16
2013/11/11,,4,15
2013/11/12,,4,15
2013/11/13,,4,15
2013/11/14,,4,14
2013/11/15,,4,13
2013/11/16,,4,13
2013/11/17,,4,13
2013/11/18,,4,13
2013/11/19,,4,13
2013/11/20,,4,13
2013/11/21,,4,13
2013/11/22,,3,12
2013/11/23,,3,11
2013/11/24,,3,11
2013/11/25,,3,11
2013/11/26,,3,11
2013/11/27,,3,11
2013/11/28,,3,11
2013/11/29,,3,11
2013/11/30,,3,11
2013/12/01,,3,12
2013/12/02,,3,12
2013/12/03,,3,12
2013/12/04,,2,10
2013/12/05,,2,10
2013/12/06,,2,10
2013/12/07,,1,10
2013/12/08,,1,9
2013/12/09,,1,10
2013/12/10,,1,11
2013/12/11,,1,11
2013/12/12,,1,11
2013/12/13,,1,10
2013/12/14,,1,10
2013/12/15,,1,10
2013/12/16,,1,10
2013/12/17,,1,9
2013/12/18,,2,10
2013/12/19,,3,10
2013/12/20,,3,10
2013/12/21,,3,10
2013/12/22,,3,10
2013/12/23,,3,10
2013/12/24,,3,9
2013/12/25,,3,9
2013/12/26,,3,9
2013/12/27,,3,8
2013/12/28,,3,8
2013/12/29,,3,8
2013/12/30,,4,9
2013/12/31,,4,8
2014/01/01,,4,8
2014/01/02,,4,8
2014/01/03,,4,8
2014/01/04,,4,8
2014/01/05,,4,9
2014/01/06,,3,9
2014/01/07,,3,9
2014/01/08,,3,8
2014/01/09,,3,7
2014/01/10,,4,8
2014/01/11,,4,8
2014/01/12,,4,8
2014/01/13,,4,9
2014/01/14,,4,9
2014/01/15,,4,9
2014/01/16,,4,10
2014/01/17,,3,9
2014/01/18,,3,9
2014/01/19,,4,10
2014/01/20,,4,10
2014/01/21,,4,11
2014/01/22,,4,11
2014/01/23,,4,11
2014/01/24,,4,11
2014/01/25,,4,12
2014/01/26,,4,12
2014/01/27,,4,11
2014/01/28,,4,11
2014/01/29,,3,10
2014/01/30,,4,11
2014/01/31,,4,11
2014/02/01,,4,10
2014/02/02,,4,10
2014/02/03,,4,10
2014/02/04,,4,10
2014/02/05,,4,9
2014/02/06,,4,9
2014/02/07,,4,9
2014/02/08,,4,10
2014/02/09,,3,10
2014/02/10,,3,10
2014/02/11,,3,10
2014/02/12,,3,10
2014/02/13,,3,10
2014/02/14,,3,10
2014/02/15,,3,10
2014/02/16,,3,10
2014/02/17,,4,14
