date,wuuwiki (100+),wuuwiki (5+),wuuwiki (all)
2012/12/12,,9,26
2012/12/13,,9,28
2012/12/14,1,9,28
2012/12/15,1,9,28
2012/12/16,1,9,29
2012/12/17,1,9,28
2012/12/18,1,9,28
2012/12/19,1,9,29
2012/12/20,1,9,28
2012/12/21,1,8,26
2012/12/22,1,8,26
2012/12/23,1,8,24
2012/12/24,1,8,26
2012/12/25,1,7,25
2012/12/26,1,6,24
2012/12/27,1,6,25
2012/12/28,1,6,24
2012/12/29,1,4,20
2012/12/30,1,4,19
2012/12/31,1,4,20
2013/01/01,1,4,20
2013/01/02,1,4,18
2013/01/03,1,4,18
2013/01/04,1,4,18
2013/01/05,1,4,18
2013/01/06,1,4,18
2013/01/07,1,4,18
2013/01/08,1,4,16
2013/01/09,1,4,16
2013/01/10,1,4,18
2013/01/11,1,4,17
2013/01/12,1,4,16
2013/01/13,1,4,16
2013/01/14,1,4,18
2013/01/15,1,4,18
2013/01/16,1,4,19
2013/01/17,1,5,19
2013/01/18,1,5,18
2013/01/19,1,5,20
2013/01/20,1,5,20
2013/01/21,1,5,20
2013/01/22,1,5,21
2013/01/23,1,4,20
2013/01/24,1,4,20
2013/01/25,1,4,19
2013/01/26,,4,17
2013/01/27,,4,17
2013/01/28,,3,17
2013/01/29,,3,19
2013/01/30,,3,18
2013/01/31,,3,19
2013/02/01,,3,20
2013/02/02,,3,22
2013/02/03,,3,22
2013/02/04,,3,22
2013/02/05,,3,24
2013/02/06,,3,25
2013/02/07,,3,24
2013/02/08,,3,23
2013/02/09,,4,23
2013/02/10,,4,23
2013/02/11,,4,23
2013/02/12,,4,23
2013/02/13,,4,20
2013/02/14,,4,20
2013/02/15,,3,19
2013/02/16,,3,20
2013/02/17,,3,20
2013/02/18,,2,19
2013/02/19,,2,20
2013/02/20,,2,21
2013/02/21,,2,23
2013/02/22,,3,23
2013/02/23,,3,24
2013/02/24,,3,23
2013/02/25,,3,23
2013/02/26,,3,23
2013/02/27,,3,23
2013/02/28,,3,21
2013/03/01,,3,21
2013/03/02,,3,21
2013/03/03,,4,22
2013/03/04,,5,24
2013/03/05,,5,26
2013/03/06,,6,27
2013/03/07,,6,25
2013/03/08,,6,23
2013/03/09,,6,23
2013/03/10,,6,23
2013/03/11,,5,22
2013/03/12,1,7,23
2013/03/13,1,7,25
2013/03/14,1,7,25
2013/03/15,1,7,25
2013/03/16,1,7,24
2013/03/17,1,7,24
2013/03/18,1,6,24
2013/03/19,1,6,24
2013/03/20,1,6,24
2013/03/21,1,6,24
2013/03/22,1,6,24
2013/03/23,1,6,22
2013/03/24,1,7,22
2013/03/25,1,7,21
2013/03/26,1,7,21
2013/03/27,1,7,21
2013/03/28,1,7,21
2013/03/29,1,7,21
2013/03/30,2,7,21
2013/03/31,2,7,21
2013/04/01,2,7,23
2013/04/02,2,8,24
2013/04/03,2,7,24
2013/04/04,2,6,24
2013/04/05,2,6,24
2013/04/06,2,6,24
2013/04/07,2,6,24
2013/04/08,2,6,25
2013/04/09,2,6,25
2013/04/10,2,6,26
2013/04/11,2,7,28
2013/04/12,2,7,26
2013/04/13,1,6,25
2013/04/14,1,7,25
2013/04/15,1,7,26
2013/04/16,1,7,27
2013/04/17,1,8,27
2013/04/18,1,9,28
2013/04/19,1,9,28
2013/04/20,1,10,30
2013/04/21,1,10,29
2013/04/22,1,10,28
2013/04/23,1,10,29
2013/04/24,1,9,28
2013/04/25,,10,30
2013/04/26,,10,30
2013/04/27,,10,30
2013/04/28,,10,30
2013/04/29,,10,29
2013/04/30,,10,30
2013/05/01,,10,28
2013/05/02,,10,26
2013/05/03,,10,25
2013/05/04,,10,23
2013/05/05,,10,24
2013/05/06,,11,26
2013/05/07,,11,26
2013/05/08,,11,25
2013/05/09,,11,25
2013/05/10,,10,28
2013/05/11,,10,28
2013/05/12,,9,28
2013/05/13,,9,27
2013/05/14,,8,27
2013/05/15,,8,26
2013/05/16,,8,25
2013/05/17,,8,24
2013/05/18,,7,23
2013/05/19,,6,22
2013/05/20,,5,19
2013/05/21,,6,20
2013/05/22,,6,20
2013/05/23,,6,20
2013/05/24,,6,20
2013/05/25,,6,19
2013/05/26,,6,19
2013/05/27,,6,19
2013/05/28,,6,20
2013/05/29,,7,20
2013/05/30,,6,18
2013/05/31,,6,18
2013/06/01,,6,18
2013/06/02,,6,18
2013/06/03,,7,19
2013/06/04,,7,18
2013/06/05,,7,18
2013/06/06,,7,18
2013/06/07,,7,18
2013/06/08,,7,18
2013/06/09,,7,16
2013/06/10,,7,18
2013/06/11,,7,20
2013/06/12,,6,19
2013/06/13,,6,19
2013/06/14,,6,19
2013/06/15,,6,18
2013/06/16,,6,19
2013/06/17,,6,19
2013/06/18,,6,20
2013/06/19,,5,21
2013/06/20,,4,20
2013/06/21,1,4,20
2013/06/22,1,4,19
2013/06/23,1,4,21
2013/06/24,1,4,20
2013/06/25,1,4,20
2013/06/26,1,4,20
2013/06/27,2,4,18
2013/06/28,2,4,18
2013/06/29,2,4,17
2013/06/30,2,4,17
2013/07/01,2,4,18
2013/07/02,2,5,19
2013/07/03,2,5,18
2013/07/04,2,5,19
2013/07/05,2,5,18
2013/07/06,2,5,18
2013/07/07,2,5,18
2013/07/08,2,5,21
2013/07/09,2,5,21
2013/07/10,2,6,20
2013/07/11,1,6,18
2013/07/12,1,6,20
2013/07/13,1,6,19
2013/07/14,1,6,20
2013/07/15,1,6,20
2013/07/16,1,6,19
2013/07/17,1,6,19
2013/07/18,1,6,18
2013/07/19,,6,19
2013/07/20,,6,19
2013/07/21,,7,20
2013/07/22,,8,22
2013/07/23,,8,21
2013/07/24,,8,22
2013/07/25,,8,22
2013/07/26,1,8,22
2013/07/27,,7,23
2013/07/28,,7,23
2013/07/29,,7,23
2013/07/30,,7,23
2013/07/31,,7,23
2013/08/01,,7,22
2013/08/02,,7,22
2013/08/03,,7,21
2013/08/04,,8,21
2013/08/05,,8,21
2013/08/06,,8,22
2013/08/07,,9,21
2013/08/08,,9,22
2013/08/09,,8,22
2013/08/10,,7,22
2013/08/11,,8,21
2013/08/12,,8,21
2013/08/13,,7,23
2013/08/14,,7,23
2013/08/15,,7,23
2013/08/16,,7,23
2013/08/17,,7,23
2013/08/18,,7,23
2013/08/19,,6,23
2013/08/20,,7,23
2013/08/21,,6,22
2013/08/22,,6,22
2013/08/23,,6,20
2013/08/24,,6,20
2013/08/25,,6,22
2013/08/26,,6,21
2013/08/27,,6,21
2013/08/28,,6,21
2013/08/29,,6,20
2013/08/30,,6,21
2013/08/31,,6,21
2013/09/01,,5,20
2013/09/02,,5,20
2013/09/03,,5,20
2013/09/04,,5,20
2013/09/05,,6,20
2013/09/06,,4,18
2013/09/07,,4,18
2013/09/08,,4,17
2013/09/09,,4,18
2013/09/10,,4,16
2013/09/11,,4,17
2013/09/12,,4,15
2013/09/13,,4,16
2013/09/14,,5,17
2013/09/15,,5,17
2013/09/16,,4,17
2013/09/17,,4,17
2013/09/18,,4,16
2013/09/19,,2,14
2013/09/20,,1,15
2013/09/21,,2,14
2013/09/22,,2,14
2013/09/23,,2,14
2013/09/24,,2,13
2013/09/25,,2,13
2013/09/26,,2,14
2013/09/27,,2,14
2013/09/28,,2,14
2013/09/29,,2,13
2013/09/30,,2,14
2013/10/01,,3,15
2013/10/02,,4,15
2013/10/03,,4,17
2013/10/04,,6,17
2013/10/05,,6,17
2013/10/06,,6,18
2013/10/07,,6,17
2013/10/08,,7,19
2013/10/09,,7,18
2013/10/10,,7,18
2013/10/11,,7,19
2013/10/12,,8,19
2013/10/13,,8,20
2013/10/14,,8,20
2013/10/15,1,8,19
2013/10/16,1,8,19
2013/10/17,1,8,19
2013/10/18,1,7,20
2013/10/19,1,8,20
2013/10/20,1,8,19
2013/10/21,1,8,21
2013/10/22,1,8,20
2013/10/23,1,8,20
2013/10/24,1,8,20
2013/10/25,1,8,20
2013/10/26,1,8,22
2013/10/27,1,8,22
2013/10/28,1,9,23
2013/10/29,1,9,23
2013/10/30,1,9,22
2013/10/31,1,8,21
2013/11/01,1,8,21
2013/11/02,1,8,21
2013/11/03,1,8,22
2013/11/04,1,8,23
2013/11/05,1,8,22
2013/11/06,1,8,23
2013/11/07,1,8,22
2013/11/08,,8,22
2013/11/09,,8,22
2013/11/10,,7,21
2013/11/11,,7,20
2013/11/12,,7,19
2013/11/13,,7,18
2013/11/14,,6,17
2013/11/15,,6,17
2013/11/16,,6,17
2013/11/17,,6,16
2013/11/18,,6,16
2013/11/19,,6,16
2013/11/20,,5,13
2013/11/21,,5,15
2013/11/22,,5,15
2013/11/23,,5,15
2013/11/24,,5,15
2013/11/25,,5,12
2013/11/26,,5,12
2013/11/27,,5,12
2013/11/28,,5,13
2013/11/29,,5,13
2013/11/30,,4,15
2013/12/01,,4,15
2013/12/02,,4,14
2013/12/03,,4,16
2013/12/04,,4,16
2013/12/05,,4,17
2013/12/06,,4,16
2013/12/07,,4,16
2013/12/08,,4,16
2013/12/09,,6,17
2013/12/10,,6,18
2013/12/11,,7,20
2013/12/12,,7,21
2013/12/13,,7,21
2013/12/14,,6,20
2013/12/15,,6,21
2013/12/16,,6,21
2013/12/17,,6,22
2013/12/18,,6,22
2013/12/19,,6,22
2013/12/20,,6,22
2013/12/21,,6,20
2013/12/22,,6,19
2013/12/23,,6,19
2013/12/24,,6,20
2013/12/25,,6,19
2013/12/26,,6,20
2013/12/27,,6,20
2013/12/28,,5,20
2013/12/29,,5,20
2013/12/30,,5,18
2013/12/31,,5,19
2014/01/01,,5,19
2014/01/02,,5,19
2014/01/03,,5,19
2014/01/04,,5,18
2014/01/05,,6,19
2014/01/06,,6,19
2014/01/07,,5,21
2014/01/08,,4,19
2014/01/09,,4,17
2014/01/10,,4,17
2014/01/11,,4,16
2014/01/12,,4,16
2014/01/13,,4,16
2014/01/14,,4,15
2014/01/15,,3,14
2014/01/16,,3,14
2014/01/17,,3,14
2014/01/18,,4,19
2014/01/19,,4,21
2014/01/20,,4,22
2014/01/21,,5,25
2014/01/22,,6,27
2014/01/23,,6,26
2014/01/24,,6,26
2014/01/25,1,6,25
2014/01/26,1,6,25
2014/01/27,1,6,25
2014/01/28,1,6,25
2014/01/29,1,6,26
2014/01/30,1,6,25
2014/01/31,2,6,25
2014/02/01,2,7,26
2014/02/02,2,7,26
2014/02/03,2,7,26
2014/02/04,1,8,27
2014/02/05,1,8,27
2014/02/06,1,8,26
2014/02/07,,7,26
2014/02/08,1,7,27
2014/02/09,1,9,27
2014/02/10,1,9,28
2014/02/11,1,9,28
2014/02/12,1,9,28
2014/02/13,1,9,29
2014/02/14,1,9,28
2014/02/15,1,9,28
2014/02/16,1,9,27
2014/02/17,1,8,23
2014/02/18,,9,22
2014/02/19,,9,24
2014/02/20,,9,22
2014/02/21,,8,21
2014/02/22,,7,21
2014/02/23,,7,23
2014/02/24,,7,22
2014/02/25,,7,23
2014/02/26,,7,24
2014/02/27,1,7,24
2014/02/28,1,7,22
2014/03/01,1,7,22
2014/03/02,1,7,22
2014/03/03,1,7,20
2014/03/04,1,7,21
2014/03/05,1,7,21
2014/03/06,,8,22
2014/03/07,,8,22
2014/03/08,,7,21
2014/03/09,,7,22
2014/03/10,,6,21
2014/03/11,,4,21
2014/03/12,,4,20
2014/03/13,,4,21
2014/03/14,,3,22
2014/03/15,,3,21
2014/03/16,,3,21
2014/03/17,,3,21
2014/03/18,,4,22
2014/03/19,,4,22
2014/03/20,,3,22
2014/03/21,,3,19
2014/03/22,,3,18
2014/03/23,,3,18
2014/03/24,,4,19
2014/03/25,,4,17
2014/03/26,,4,18
2014/03/27,,4,17
2014/03/28,,4,18
2014/03/29,,4,18
2014/03/30,,4,19
2014/03/31,,4,20
2014/04/01,,4,21
2014/04/02,,4,21
2014/04/03,,4,21
2014/04/04,,4,21
2014/04/05,,3,20
2014/04/06,,3,20
2014/04/07,,3,20
2014/04/08,,3,19
2014/04/09,,3,19
2014/04/10,,3,18
2014/04/11,,4,18
2014/04/12,,4,17
2014/04/13,,4,16
2014/04/14,,4,17
2014/04/15,,4,17
2014/04/16,,4,17
2014/04/17,,3,16
2014/04/18,,3,16
2014/04/19,,3,16
2014/04/20,,3,17
2014/04/21,,3,16
2014/04/22,,3,19
2014/04/23,,3,19
2014/04/24,,3,19
2014/04/25,,3,18
2014/04/26,,3,19
2014/04/27,,3,18
2014/04/28,,3,18
2014/04/29,,3,17
2014/04/30,,3,18
2014/05/01,,3,17
2014/05/02,,3,17
2014/05/03,,4,16
2014/05/04,,4,17
2014/05/05,,4,17
2014/05/06,,4,17
2014/05/07,,4,17
2014/05/08,,4,16
2014/05/09,,4,16
2014/05/10,,4,17
2014/05/11,,3,18
2014/05/12,,3,18
2014/05/13,,3,19
2014/05/14,,4,18
2014/05/15,,4,18
2014/05/16,,4,18
2014/05/17,,4,17
2014/05/18,,4,17
2014/05/19,,4,16
2014/05/20,,4,15
2014/05/21,,4,15
2014/05/22,,4,13
2014/05/23,,4,14
2014/05/24,,4,14
2014/05/25,,4,14
2014/05/26,,4,13
2014/05/27,,4,12
2014/05/28,,4,12
2014/05/29,,4,12
2014/05/30,,4,11
2014/05/31,,4,11
2014/06/01,,4,12
2014/06/02,,4,13
2014/06/03,,4,12
2014/06/04,,4,12
2014/06/05,,4,13
2014/06/06,,4,13
2014/06/07,,4,13
2014/06/08,,4,13
2014/06/09,,3,13
2014/06/10,,1,11
2014/06/11,,1,13
2014/06/12,,1,12
2014/06/13,,,11
2014/06/14,,,12
2014/06/15,,,13
2014/06/16,,,13
2014/06/17,,,13
2014/06/18,,1,14
2014/06/19,,1,14
2014/06/20,,1,14
2014/06/21,,1,14
2014/06/22,,1,13
2014/06/23,,1,13
2014/06/24,,1,14
2014/06/25,,1,14
2014/06/26,,1,15
2014/06/27,,1,15
2014/06/28,,1,15
2014/06/29,,1,15
2014/06/30,,2,15
2014/07/01,,2,14
2014/07/02,,2,14
2014/07/03,,2,15
2014/07/04,,2,15
2014/07/05,,2,14
2014/07/06,,2,14
2014/07/07,,2,14
2014/07/08,,2,15
2014/07/09,,2,15
2014/07/10,,2,16
2014/07/11,,2,15
2014/07/12,,2,15
2014/07/13,,2,16
2014/07/14,,2,15
2014/07/15,,2,15
2014/07/16,,2,15
2014/07/17,,2,15
2014/07/18,,2,16
2014/07/19,,4,16
2014/07/20,,5,17
2014/07/21,,5,16
2014/07/22,,5,16
2014/07/23,,5,16
2014/07/24,,5,15
2014/07/25,,5,16
2014/07/26,,5,17
2014/07/27,,5,17
2014/07/28,,5,17
2014/07/29,,5,19
2014/07/30,,5,19
2014/07/31,,5,19
2014/08/01,1,5,18
2014/08/02,1,4,18
2014/08/03,1,5,20
2014/08/04,1,5,20
2014/08/05,1,5,20
2014/08/06,1,6,20
2014/08/07,1,6,19
2014/08/08,2,7,19
2014/08/09,1,7,19
2014/08/10,1,7,19
2014/08/11,1,8,19
2014/08/12,1,9,20
2014/08/13,1,9,20
2014/08/14,1,9,20
2014/08/15,1,9,20
2014/08/16,1,9,20
2014/08/17,1,10,20
2014/08/18,1,10,20
2014/08/19,1,9,22
2014/08/20,1,9,22
2014/08/21,1,9,21
2014/08/22,1,10,21
2014/08/23,3,10,21
2014/08/24,3,10,20
2014/08/25,3,9,20
2014/08/26,3,9,20
2014/08/27,3,10,20
2014/08/28,3,11,21
2014/08/29,3,12,22
2014/08/30,3,11,22
2014/08/31,3,11,22
2014/09/01,3,10,21
2014/09/02,3,9,20
2014/09/03,3,9,18
2014/09/04,3,9,18
2014/09/05,3,9,17
2014/09/06,3,9,17
2014/09/07,3,9,17
2014/09/08,3,9,18
2014/09/09,4,10,17
2014/09/10,4,10,16
2014/09/11,3,10,15
2014/09/12,3,10,15
2014/09/13,3,10,15
2014/09/14,3,10,16
2014/09/15,3,9,17
2014/09/16,3,9,17
2014/09/17,3,9,17
2014/09/18,3,10,15
2014/09/19,3,11,15
2014/09/20,3,11,16
2014/09/21,3,12,17
2014/09/22,3,12,18
2014/09/23,3,11,18
2014/09/24,3,11,19
2014/09/25,3,10,20
2014/09/26,3,11,22
2014/09/27,3,9,21
2014/09/28,3,8,19
2014/09/29,3,8,20
2014/09/30,2,7,20
2014/10/01,2,7,20
2014/10/02,3,7,20
2014/10/03,2,7,19
2014/10/04,3,8,19
2014/10/05,2,8,19
2014/10/06,2,8,18
2014/10/07,2,8,19
2014/10/08,2,8,19
2014/10/09,1,7,19
2014/10/10,1,7,18
2014/10/11,1,7,20
2014/10/12,1,7,21
2014/10/13,1,7,22
2014/10/14,1,7,23
2014/10/15,1,7,22
2014/10/16,1,7,23
2014/10/17,1,7,23
2014/10/18,1,7,23
2014/10/19,1,7,23
2014/10/20,1,6,23
2014/10/21,1,6,23
2014/10/22,1,6,22
2014/10/23,1,6,22
2014/10/24,1,6,22
2014/10/25,1,6,21
2014/10/26,1,5,20
2014/10/27,1,5,20
2014/10/28,,5,20
2014/10/29,,5,20
2014/10/30,,6,20
2014/10/31,,6,20
2014/11/01,,6,20
2014/11/02,,6,20
2014/11/03,,6,19
2014/11/04,,7,20
2014/11/05,,7,19
2014/11/06,,7,19
2014/11/07,,7,19
2014/11/08,,7,19
2014/11/09,,7,19
2014/11/10,,7,17
2014/11/11,,7,16
2014/11/12,,7,16
2014/11/13,,7,17
2014/11/14,,8,17
2014/11/15,,8,16
2014/11/16,,8,16
2014/11/17,,8,18
2014/11/18,,8,18
2014/11/19,,7,17
2014/11/20,,8,18
2014/11/21,,8,18
2014/11/22,,8,18
2014/11/23,,8,17
2014/11/24,,8,17
2014/11/25,,8,16
2014/11/26,1,8,16
2014/11/27,1,8,16
2014/11/28,1,8,15
2014/11/29,,8,16
2014/11/30,,8,15
2014/12/01,,8,15
2014/12/02,,8,15
2014/12/03,,8,15
2014/12/04,,8,15
2014/12/05,,8,17
2014/12/06,,8,16
2014/12/07,,8,16
2014/12/08,,8,16
2014/12/09,,8,16
2014/12/10,,8,16
2014/12/11,,8,17
2014/12/12,,8,17
2014/12/13,,8,16
2014/12/14,,8,16
2014/12/15,,8,16
2014/12/16,,8,19
2014/12/17,,8,17
2014/12/18,,8,17
2014/12/19,,8,17
2014/12/20,,6,15
2014/12/21,,6,15
2014/12/22,,6,14
2014/12/23,,6,15
2014/12/24,,6,16
2014/12/25,,6,16
2014/12/26,,6,16
2014/12/27,,6,16
2014/12/28,,6,16
2014/12/29,,6,15
2014/12/30,,6,16
2014/12/31,,6,16
2015/01/01,,5,15
2015/01/02,,5,15
2015/01/03,,4,14
2015/01/04,,4,13
2015/01/05,,4,13
2015/01/06,,4,13
2015/01/07,,4,13
2015/01/08,,4,14
2015/01/09,,4,15
2015/01/10,,5,14
2015/01/11,,6,15
2015/01/12,,6,15
2015/01/13,,6,15
2015/01/14,,6,14
2015/01/15,,6,12
2015/01/16,,6,12
2015/01/17,,6,12
2015/01/18,,7,14
2015/01/19,,7,14
2015/01/20,,7,16
2015/01/21,,7,16
2015/01/22,,7,15
2015/01/23,,7,15
2015/01/24,,7,16
2015/01/25,,7,16
2015/01/26,,7,16
2015/01/27,,7,16
2015/01/28,,7,16
2015/01/29,,7,17
2015/01/30,,7,18
2015/01/31,,6,19
2015/02/01,,6,20
2015/02/02,,7,21
2015/02/03,,6,20
2015/02/04,,5,20
2015/02/05,,5,23
2015/02/06,,5,23
2015/02/07,,7,23
2015/02/08,,6,24
2015/02/09,,6,23
2015/02/10,,6,24
2015/02/11,,5,24
2015/02/12,,5,24
2015/02/13,,4,23
2015/02/14,,4,23
2015/02/15,,4,23
2015/02/16,,4,23
2015/02/17,,3,21
2015/02/18,,3,22
2015/02/19,,3,21
2015/02/20,,3,21
2015/02/21,,3,20
2015/02/22,,3,19
2015/02/23,,3,19
2015/02/24,,3,18
2015/02/25,,3,19
2015/02/26,,3,20
2015/02/27,,3,20
2015/02/28,,3,18
2015/03/01,,4,18
2015/03/02,,4,18
2015/03/03,,4,17
2015/03/04,,4,17
2015/03/05,,4,17
2015/03/06,,4,16
2015/03/07,,3,16
2015/03/08,,3,17
2015/03/09,,1,17
2015/03/10,,1,16
2015/03/11,,1,17
2015/03/12,,2,16
2015/03/13,,2,16
2015/03/14,,2,16
2015/03/15,,2,16
2015/03/16,,2,16
2015/03/17,,3,16
2015/03/18,,3,16
2015/03/19,,3,16
2015/03/20,,3,16
2015/03/21,,3,16
2015/03/22,,4,17
2015/03/23,,4,19
2015/03/24,,4,19
2015/03/25,,4,19
2015/03/26,1,5,20
2015/03/27,1,5,20
2015/03/28,1,5,19
2015/03/29,1,5,19
2015/03/30,1,5,19
2015/03/31,2,5,19
2015/04/01,2,5,20
2015/04/02,2,5,22
2015/04/03,2,5,22
2015/04/04,2,5,22
2015/04/05,2,5,22
2015/04/06,2,5,20
2015/04/07,2,5,19
2015/04/08,2,5,19
2015/04/09,2,4,20
2015/04/10,2,5,19
2015/04/11,2,5,19
2015/04/12,2,5,21
2015/04/13,2,5,22
2015/04/14,2,5,22
2015/04/15,2,5,22
2015/04/16,2,5,22
2015/04/17,2,5,22
2015/04/18,2,4,21
2015/04/19,2,4,21
2015/04/20,2,4,21
2015/04/21,2,4,20
2015/04/22,2,4,18
2015/04/23,2,4,18
2015/04/24,2,4,19
2015/04/25,1,3,19
2015/04/26,1,3,18
2015/04/27,1,3,18
2015/04/28,1,3,18
2015/04/29,1,3,17
2015/04/30,1,3,17
2015/05/01,1,3,17
2015/05/02,1,3,16
2015/05/03,1,3,17
2015/05/04,1,3,17
2015/05/05,1,3,17
2015/05/06,1,3,17
2015/05/07,1,3,16
2015/05/08,1,3,15
2015/05/09,,3,16
2015/05/10,,3,16
2015/05/11,,3,17
2015/05/12,,5,16
2015/05/13,,5,17
2015/05/14,,5,18
2015/05/15,,5,18
2015/05/16,,5,19
2015/05/17,,5,19
2015/05/18,,5,20
2015/05/19,,5,20
2015/05/20,,5,19
2015/05/21,,5,19
2015/05/22,,5,21
2015/05/23,,5,21
2015/05/24,,5,21
2015/05/25,,5,20
2015/05/26,,5,20
2015/05/27,,5,20
2015/05/28,,5,22
2015/05/29,,5,22
2015/05/30,,5,22
2015/05/31,,5,22
2015/06/01,,6,24
2015/06/02,,7,24
2015/06/03,,7,24
2015/06/04,,7,24
2015/06/05,,7,25
2015/06/06,,7,26
2015/06/07,,7,26
2015/06/08,,7,25
2015/06/09,,8,25
2015/06/10,,8,24
2015/06/11,,6,23
2015/06/12,,5,22
2015/06/13,,5,22
2015/06/14,,5,25
2015/06/15,,5,24
2015/06/16,,6,26
2015/06/17,,6,26
2015/06/18,,6,27
2015/06/19,,6,32
2015/06/20,,7,31
2015/06/21,,8,30
2015/06/22,1,8,32
2015/06/23,1,9,33
2015/06/24,1,9,37
2015/06/25,1,10,40
2015/06/26,1,10,41
2015/06/27,1,10,40
2015/06/28,1,10,39
2015/06/29,1,10,39
2015/06/30,1,10,40
2015/07/01,1,9,41
2015/07/02,1,8,44
2015/07/03,1,9,45
2015/07/04,1,9,47
2015/07/05,1,9,47
2015/07/06,1,9,47
2015/07/07,1,9,47
2015/07/08,1,8,49
2015/07/09,1,9,49
2015/07/10,1,9,49
2015/07/11,1,9,51
2015/07/12,1,9,51
2015/07/13,1,9,50
2015/07/14,1,8,49
2015/07/15,1,8,53
2015/07/16,1,8,53
2015/07/17,1,8,58
2015/07/18,1,8,58
2015/07/19,1,8,54
2015/07/20,1,7,53
2015/07/21,1,7,52
2015/07/22,1,7,52
2015/07/23,1,7,52
2015/07/24,1,7,49
2015/07/25,1,7,49
2015/07/26,1,7,47
2015/07/27,1,8,48
2015/07/28,1,7,48
2015/07/29,1,7,48
2015/07/30,1,8,50
2015/07/31,1,8,50
2015/08/01,1,8,47
2015/08/02,1,8,45
2015/08/03,1,8,43
2015/08/04,1,8,44
2015/08/05,1,9,45
2015/08/06,1,9,46
2015/08/07,1,8,48
2015/08/08,1,8,47
2015/08/09,1,8,48
2015/08/10,1,8,46
2015/08/11,1,8,48
2015/08/12,1,8,50
2015/08/13,1,8,51
2015/08/14,1,7,48
2015/08/15,1,7,46
2015/08/16,,7,42
2015/08/17,,7,41
2015/08/18,,8,42
2015/08/19,1,8,41
2015/08/20,1,7,43
2015/08/21,1,7,42
2015/08/22,1,7,42
2015/08/23,1,7,43
2015/08/24,1,7,42
2015/08/25,1,7,44
2015/08/26,1,6,43
2015/08/27,1,6,44
2015/08/28,1,6,43
2015/08/29,1,6,44
2015/08/30,1,6,42
2015/08/31,1,5,41
2015/09/01,1,5,42
2015/09/02,1,5,43
2015/09/03,1,6,44
2015/09/04,1,7,44
2015/09/05,1,7,44
2015/09/06,1,7,42
2015/09/07,1,7,42
2015/09/08,1,8,44
2015/09/09,1,8,43
2015/09/10,,9,42
2015/09/11,,9,42
2015/09/12,,8,41
2015/09/13,1,9,44
2015/09/14,1,9,43
2015/09/15,1,9,43
2015/09/16,1,9,45
2015/09/17,1,10,44
2015/09/18,1,10,46
2015/09/19,1,10,44
2015/09/20,1,10,45
2015/09/21,1,10,44
2015/09/22,2,11,44
