date,aswiki (100+),aswiki (5+),aswiki (all)
2015/08/14,1,18,40
2015/08/15,1,18,39
2015/08/16,1,19,43
2015/08/17,1,20,42
2015/08/18,1,20,44
2015/08/19,1,20,47
2015/08/20,1,21,50
2015/08/21,1,20,52
2015/08/22,1,20,51
2015/08/23,1,20,52
2015/08/24,1,20,53
