date,pamwiki (100+),pamwiki (5+),pamwiki (all)
2012/12/07,7,27,47
2012/12/08,7,27,50
2012/12/09,7,27,50
2012/12/10,7,25,49
2012/12/11,7,25,49
2012/12/12,6,25,47
2012/12/13,6,24,47
2012/12/14,8,24,46
2012/12/15,8,25,46
2012/12/16,8,25,47
2012/12/17,8,24,46
2012/12/18,8,24,46
2012/12/19,8,24,45
2012/12/20,8,24,45
2012/12/21,8,23,45
2012/12/22,8,23,44
2012/12/23,8,23,44
2012/12/24,8,23,44
2012/12/25,8,23,44
2012/12/26,8,23,45
2012/12/27,8,24,46
2012/12/28,8,25,46
2012/12/29,8,24,45
2012/12/30,8,22,43
2012/12/31,8,23,44
2013/01/01,7,21,42
2013/01/02,7,21,41
2013/01/03,8,21,41
2013/01/04,7,23,41
2013/01/05,7,22,41
2013/01/06,7,23,42
2013/01/07,8,23,41
2013/01/08,8,23,41
2013/01/09,8,23,41
2013/01/10,8,23,42
2013/01/11,8,23,43
2013/01/12,8,23,43
2013/01/13,8,25,45
2013/01/14,9,26,45
2013/01/15,9,25,46
2013/01/16,9,26,47
2013/01/17,9,28,46
2013/01/18,9,28,46
2013/01/19,9,29,46
2013/01/20,9,29,45
2013/01/21,9,28,45
2013/01/22,9,29,45
2013/01/23,9,28,45
2013/01/24,9,28,44
2013/01/25,9,28,44
2013/01/26,8,28,41
2013/01/27,9,28,41
2013/01/28,9,27,41
2013/01/29,9,27,43
2013/01/30,7,27,43
2013/01/31,7,27,43
2013/02/01,6,27,44
2013/02/02,6,28,45
2013/02/03,7,27,47
2013/02/04,7,28,50
2013/02/05,7,27,50
2013/02/06,8,31,52
2013/02/07,8,31,51
2013/02/08,7,30,51
2013/02/09,7,30,49
2013/02/10,8,31,48
2013/02/11,7,31,47
2013/02/12,6,30,46
2013/02/13,6,30,45
2013/02/14,6,30,45
2013/02/15,6,28,46
2013/02/16,6,28,49
2013/02/17,6,29,49
2013/02/18,6,27,49
2013/02/19,6,27,49
2013/02/20,6,27,50
2013/02/21,6,26,51
2013/02/22,6,26,51
2013/02/23,7,26,51
2013/02/24,7,25,50
2013/02/25,7,24,50
2013/02/26,7,25,49
2013/02/27,7,25,49
2013/02/28,7,25,48
2013/03/01,7,26,48
2013/03/02,7,26,48
2013/03/03,7,27,47
2013/03/04,7,26,48
2013/03/05,6,25,45
2013/03/06,6,24,42
2013/03/07,6,24,41
2013/03/08,7,23,38
2013/03/09,6,23,37
2013/03/10,6,22,36
2013/03/11,6,20,36
2013/03/12,7,20,38
2013/03/13,7,20,38
2013/03/14,7,20,38
2013/03/15,7,18,40
2013/03/16,7,18,37
2013/03/17,7,17,38
2013/03/18,7,17,36
2013/03/19,7,16,36
2013/03/20,7,16,35
2013/03/21,7,16,33
2013/03/22,7,16,32
2013/03/23,6,16,30
2013/03/24,6,16,30
2013/03/25,5,16,30
2013/03/26,5,16,30
2013/03/27,5,16,30
2013/03/28,5,15,30
2013/03/29,5,14,29
2013/03/30,5,14,28
2013/03/31,5,14,28
2013/04/01,4,12,29
2013/04/02,4,12,30
2013/04/03,4,11,29
2013/04/04,3,10,27
2013/04/05,3,6,26
2013/04/06,2,5,23
2013/04/07,2,4,21
2013/04/08,2,4,21
2013/04/09,2,4,21
2013/04/10,2,4,21
2013/04/11,1,5,21
2013/04/12,1,5,21
2013/04/13,1,5,20
2013/04/14,1,5,19
2013/04/15,1,6,23
2013/04/16,1,6,23
2013/04/17,1,7,26
2013/04/18,1,6,26
2013/04/19,1,6,27
2013/04/20,1,6,28
2013/04/21,1,6,28
2013/04/22,,6,28
2013/04/23,,5,28
2013/04/24,,4,28
2013/04/25,,4,28
2013/04/26,,4,29
2013/04/27,,4,28
2013/04/28,,4,27
2013/04/29,,4,27
2013/04/30,,6,29
2013/05/01,,7,27
2013/05/02,,8,26
2013/05/03,,7,25
2013/05/04,,7,25
2013/05/05,,8,26
2013/05/06,,9,25
2013/05/07,,9,25
2013/05/08,,7,24
2013/05/09,,7,24
2013/05/10,,7,24
2013/05/11,,7,24
2013/05/12,1,7,23
2013/05/13,1,7,23
2013/05/14,1,7,23
2013/05/15,1,7,20
2013/05/16,1,7,19
2013/05/17,1,6,17
2013/05/18,1,6,17
2013/05/19,1,6,16
2013/05/20,1,6,15
2013/05/21,1,6,16
2013/05/22,1,6,17
2013/05/23,1,7,18
2013/05/24,1,7,19
2013/05/25,1,7,21
2013/05/26,1,7,21
2013/05/27,1,7,21
2013/05/28,1,7,22
2013/05/29,1,7,23
2013/05/30,1,6,22
2013/05/31,1,6,21
2013/06/01,1,6,22
2013/06/02,1,7,22
2013/06/03,1,7,21
2013/06/04,1,6,18
2013/06/05,1,6,20
2013/06/06,1,6,20
2013/06/07,1,5,23
2013/06/08,1,5,22
2013/06/09,1,5,22
2013/06/10,1,5,21
2013/06/11,1,5,23
2013/06/12,1,5,24
2013/06/13,1,5,23
2013/06/14,1,4,23
2013/06/15,1,5,23
2013/06/16,1,5,23
2013/06/17,1,5,24
2013/06/18,1,6,26
2013/06/19,1,6,26
2013/06/20,1,6,25
2013/06/21,1,6,26
2013/06/22,1,4,26
2013/06/23,1,4,26
2013/06/24,1,4,26
2013/06/25,1,4,25
2013/06/26,1,4,25
2013/06/27,1,4,25
2013/06/28,1,4,23
2013/06/29,1,4,23
2013/06/30,1,4,23
2013/07/01,1,4,21
2013/07/02,1,3,21
2013/07/03,1,3,23
2013/07/04,1,3,23
2013/07/05,1,3,22
2013/07/06,1,3,22
2013/07/07,1,2,20
2013/07/08,1,1,20
2013/07/09,1,1,20
2013/07/10,1,1,22
2013/07/11,1,1,20
2013/07/12,1,1,19
2013/07/13,1,1,20
2013/07/14,1,1,19
2013/07/15,1,1,20
2013/07/16,1,1,20
2013/07/17,1,1,20
2013/07/18,1,1,20
2013/07/19,1,1,20
2013/07/20,1,1,20
2013/07/21,1,1,17
2013/07/22,,1,17
2013/07/23,,1,17
2013/07/24,,1,14
2013/07/25,1,1,14
2013/07/26,1,1,14
2013/07/27,1,1,13
2013/07/28,1,1,14
2013/07/29,1,1,15
2013/07/30,1,1,16
2013/07/31,1,1,16
2013/08/01,1,2,18
2013/08/02,1,3,17
2013/08/03,1,3,16
2013/08/04,1,4,16
2013/08/05,1,4,17
2013/08/06,1,4,18
2013/08/07,1,4,19
2013/08/08,1,4,19
2013/08/09,1,4,18
2013/08/10,1,4,19
2013/08/11,1,4,19
2013/08/12,,4,20
2013/08/13,,4,20
2013/08/14,,4,19
2013/08/15,,4,19
2013/08/16,,4,19
2013/08/17,,5,18
2013/08/18,,5,18
2013/08/19,,5,18
2013/08/20,1,5,17
2013/08/21,1,5,17
2013/08/22,1,5,17
2013/08/23,1,5,16
2013/08/24,1,5,16
2013/08/25,1,5,16
2013/08/26,1,5,16
2013/08/27,1,5,15
2013/08/28,1,5,14
2013/08/29,1,6,14
2013/08/30,1,5,13
2013/08/31,,4,10
2013/09/01,,4,10
2013/09/02,,4,11
2013/09/03,,4,10
2013/09/04,,4,10
2013/09/05,,4,9
2013/09/06,,4,9
2013/09/07,,4,8
2013/09/08,,3,8
2013/09/09,,3,7
2013/09/10,,4,8
2013/09/11,,4,7
2013/09/12,,4,7
2013/09/13,,4,7
2013/09/14,,4,7
2013/09/15,,4,8
2013/09/16,,4,9
2013/09/17,,3,9
2013/09/18,,3,9
2013/09/19,,3,10
2013/09/20,,3,10
2013/09/21,,3,11
2013/09/22,,3,10
2013/09/23,,3,11
2013/09/24,,2,11
2013/09/25,,2,12
2013/09/26,,2,12
2013/09/27,,2,12
2013/09/28,,2,12
2013/09/29,,1,12
2013/09/30,,1,12
2013/10/01,,1,13
2013/10/02,,1,12
2013/10/03,,3,13
2013/10/04,,3,12
2013/10/05,,4,12
2013/10/06,,4,12
2013/10/07,,4,13
2013/10/08,,6,16
2013/10/09,,6,17
2013/10/10,,6,18
2013/10/11,,6,18
2013/10/12,,5,17
2013/10/13,,5,17
2013/10/14,,6,19
2013/10/15,,6,19
2013/10/16,,6,18
2013/10/17,,6,18
2013/10/18,,6,18
2013/10/19,,6,17
2013/10/20,,6,23
2013/10/21,,6,22
2013/10/22,,6,22
2013/10/23,,6,21
2013/10/24,,6,22
2013/10/25,,6,22
2013/10/26,,6,23
2013/10/27,,5,23
2013/10/28,1,7,25
2013/10/29,1,7,25
2013/10/30,1,7,25
2013/10/31,1,7,23
2013/11/01,1,7,23
2013/11/02,1,7,24
2013/11/03,,7,24
2013/11/04,,7,24
2013/11/05,,7,24
2013/11/06,,7,23
2013/11/07,,5,21
2013/11/08,,5,21
2013/11/09,,5,23
2013/11/10,,5,22
2013/11/11,,5,23
2013/11/12,,5,23
2013/11/13,,6,22
2013/11/14,,6,22
2013/11/15,,6,22
2013/11/16,,5,22
2013/11/17,,5,23
2013/11/18,,5,24
2013/11/19,,5,19
2013/11/20,,5,20
2013/11/21,,5,21
2013/11/22,,5,22
2013/11/23,,5,21
2013/11/24,,5,21
2013/11/25,,5,21
2013/11/26,,5,20
2013/11/27,,3,18
2013/11/28,,3,20
2013/11/29,,3,20
2013/11/30,,3,20
2013/12/01,,3,20
2013/12/02,,3,19
2013/12/03,,3,20
2013/12/04,,2,20
2013/12/05,,2,20
2013/12/06,,2,20
2013/12/07,1,2,19
2013/12/08,1,2,19
2013/12/09,1,2,19
2013/12/10,1,3,19
2013/12/11,1,3,18
2013/12/12,1,3,19
2013/12/13,1,3,18
2013/12/14,1,2,17
2013/12/15,1,3,18
2013/12/16,1,3,19
2013/12/17,1,3,18
2013/12/18,1,4,19
2013/12/19,1,4,19
2013/12/20,1,4,19
2013/12/21,1,4,18
2013/12/22,1,4,17
2013/12/23,1,4,17
2013/12/24,1,4,18
