date,astwiki (100+),astwiki (5+),astwiki (all)
2012/12/13,10,32,85
2012/12/14,10,30,86
2012/12/15,10,31,89
2012/12/16,10,32,87
2012/12/17,10,32,91
2012/12/18,10,33,89
2012/12/19,10,33,89
2012/12/20,10,34,88
2012/12/21,10,34,86
2012/12/22,10,34,85
2012/12/23,10,34,85
2012/12/24,10,34,86
2012/12/25,9,34,85
2012/12/26,9,34,85
2012/12/27,9,33,86
2012/12/28,9,33,90
2012/12/29,9,33,91
2012/12/30,9,33,91
2012/12/31,9,36,91
2013/01/01,8,34,90
2013/01/02,8,33,91
2013/01/03,8,33,95
2013/01/04,9,32,95
2013/01/05,9,31,94
2013/01/06,9,31,94
2013/01/07,9,33,96
2013/01/08,9,33,95
2013/01/09,9,34,95
2013/01/10,9,34,97
2013/01/11,10,36,101
2013/01/12,10,40,104
2013/01/13,10,40,101
2013/01/14,10,40,101
2013/01/15,10,40,101
2013/01/16,10,39,101
2013/01/17,10,39,102
2013/01/18,10,39,103
2013/01/19,10,39,105
2013/01/20,10,40,104
2013/01/21,10,40,109
2013/01/22,10,39,108
2013/01/23,10,39,105
2013/01/24,10,39,107
2013/01/25,9,38,106
2013/01/26,9,38,104
2013/01/27,9,36,102
2013/01/28,9,37,105
2013/01/29,9,37,108
2013/01/30,8,38,105
2013/01/31,8,38,107
2013/02/01,8,38,107
2013/02/02,8,38,107
2013/02/03,8,38,106
2013/02/04,8,38,106
2013/02/05,8,38,107
2013/02/06,8,37,104
2013/02/07,8,37,103
2013/02/08,9,38,101
2013/02/09,9,37,100
2013/02/10,9,37,98
2013/02/11,9,35,96
2013/02/12,9,35,98
2013/02/13,9,35,93
2013/02/14,9,33,94
2013/02/15,8,33,90
2013/02/16,8,33,92
2013/02/17,9,33,92
2013/02/18,9,32,92
2013/02/19,9,32,92
2013/02/20,9,33,89
2013/02/21,9,33,89
2013/02/22,9,32,89
2013/02/23,9,32,88
2013/02/24,9,30,89
2013/02/25,9,30,87
2013/02/26,9,29,90
2013/02/27,9,26,89
2013/02/28,8,27,84
2013/03/01,8,26,84
2013/03/02,8,27,83
2013/03/03,8,29,85
2013/03/04,9,29,85
2013/03/05,9,29,84
2013/03/06,9,29,84
2013/03/07,10,30,82
2013/03/08,9,30,80
2013/03/09,10,31,83
2013/03/10,10,31,81
2013/03/11,10,31,78
2013/03/12,8,30,77
2013/03/13,8,30,76
2013/03/14,8,31,75
2013/03/15,8,32,75
2013/03/16,8,30,73
2013/03/17,8,29,75
2013/03/18,8,28,73
2013/03/19,8,28,71
2013/03/20,8,30,70
2013/03/21,8,27,69
2013/03/22,8,25,68
2013/03/23,8,25,70
2013/03/24,8,25,71
2013/03/25,8,25,71
2013/03/26,6,25,69
2013/03/27,6,25,69
2013/03/28,6,24,68
2013/03/29,5,24,66
2013/03/30,5,23,69
2013/03/31,5,24,68
2013/04/01,5,23,68
2013/04/02,5,21,67
2013/04/03,3,21,67
2013/04/04,3,20,74
2013/04/05,2,18,76
2013/04/06,2,16,73
2013/04/07,2,17,70
2013/04/08,1,16,69
2013/04/09,1,18,69
2013/04/10,1,18,73
2013/04/11,1,17,73
2013/04/12,1,17,74
2013/04/13,1,18,73
2013/04/14,1,17,71
2013/04/15,1,18,71
2013/04/16,1,18,71
2013/04/17,1,18,68
2013/04/18,1,18,68
2013/04/19,1,18,69
2013/04/20,1,18,70
2013/04/21,1,17,73
2013/04/22,1,18,70
2013/04/23,1,18,70
2013/04/24,1,18,70
2013/04/25,1,18,71
2013/04/26,1,18,71
2013/04/27,1,18,71
2013/04/28,1,18,71
2013/04/29,1,18,72
2013/04/30,1,18,72
2013/05/01,2,18,72
2013/05/02,2,19,73
2013/05/03,2,19,72
2013/05/04,2,19,66
2013/05/05,2,18,63
2013/05/06,2,18,65
2013/05/07,2,16,64
2013/05/08,2,16,64
2013/05/09,2,15,63
2013/05/10,2,15,67
2013/05/11,2,15,71
2013/05/12,2,17,78
2013/05/13,2,17,81
2013/05/14,2,17,84
2013/05/15,2,17,84
2013/05/16,1,17,87
2013/05/17,1,18,90
2013/05/18,1,17,91
2013/05/19,1,17,93
2013/05/20,1,16,92
2013/05/21,1,17,94
2013/05/22,1,19,99
2013/05/23,1,20,99
2013/05/24,1,20,103
2013/05/25,2,20,105
2013/05/26,2,21,111
2013/05/27,2,20,113
2013/05/28,2,20,116
2013/05/29,2,22,115
2013/05/30,2,22,117
2013/05/31,2,22,118
2013/06/01,2,22,120
2013/06/02,2,22,118
2013/06/03,3,23,120
2013/06/04,3,23,122
2013/06/05,3,24,122
2013/06/06,3,25,123
2013/06/07,3,25,125
2013/06/08,3,26,126
2013/06/09,3,26,124
2013/06/10,3,27,126
2013/06/11,3,28,124
2013/06/12,3,28,128
2013/06/13,3,28,128
2013/06/14,3,27,125
2013/06/15,3,26,125
2013/06/16,3,26,128
2013/06/17,3,26,129
2013/06/18,4,27,128
2013/06/19,4,27,132
2013/06/20,4,27,128
2013/06/21,4,27,128
2013/06/22,4,27,130
2013/06/23,3,27,133
2013/06/24,3,27,130
2013/06/25,3,27,130
2013/06/26,3,27,129
2013/06/27,3,27,127
2013/06/28,3,27,133
2013/06/29,3,29,130
2013/06/30,3,30,133
2013/07/01,3,29,130
2013/07/02,3,28,132
2013/07/03,3,25,133
2013/07/04,3,25,129
2013/07/05,3,25,127
2013/07/06,2,26,126
2013/07/07,2,25,123
2013/07/08,2,25,121
2013/07/09,2,25,119
2013/07/10,2,25,117
2013/07/11,2,25,114
2013/07/12,2,25,108
2013/07/13,2,24,104
2013/07/14,2,24,103
2013/07/15,2,24,100
2013/07/16,2,23,95
2013/07/17,2,21,92
2013/07/18,2,21,88
2013/07/19,2,20,85
2013/07/20,2,21,85
2013/07/21,2,18,82
2013/07/22,2,19,80
2013/07/23,2,18,75
2013/07/24,2,18,72
2013/07/25,2,18,68
2013/07/26,1,19,67
2013/07/27,1,19,65
2013/07/28,1,19,59
2013/07/29,1,18,62
2013/07/30,2,18,58
2013/07/31,3,18,57
2013/08/01,3,18,55
2013/08/02,3,18,53
2013/08/03,3,18,53
2013/08/04,3,19,52
2013/08/05,3,19,53
2013/08/06,3,19,54
2013/08/07,3,19,55
2013/08/08,3,19,55
2013/08/09,3,19,56
2013/08/10,3,20,57
2013/08/11,3,20,58
2013/08/12,3,21,61
2013/08/13,3,21,57
2013/08/14,3,21,59
2013/08/15,3,20,61
2013/08/16,3,19,61
2013/08/17,3,20,61
2013/08/18,2,20,62
2013/08/19,2,20,61
2013/08/20,2,20,57
2013/08/21,2,19,56
2013/08/22,2,17,56
2013/08/23,2,17,54
2013/08/24,2,16,53
2013/08/25,2,16,53
2013/08/26,2,15,53
2013/08/27,2,15,52
2013/08/28,2,17,52
2013/08/29,1,17,54
2013/08/30,,16,53
2013/08/31,,17,51
2013/09/01,,18,50
2013/09/02,,18,51
2013/09/03,,18,52
2013/09/04,,18,53
2013/09/05,,17,51
2013/09/06,1,17,51
2013/09/07,1,16,51
2013/09/08,1,14,49
2013/09/09,1,12,49
2013/09/10,1,12,47
2013/09/11,1,12,41
2013/09/12,1,13,44
2013/09/13,1,13,43
2013/09/14,1,13,42
2013/09/15,1,13,43
2013/09/16,1,13,42
2013/09/17,1,13,45
2013/09/18,1,14,47
2013/09/19,1,15,47
2013/09/20,2,13,47
2013/09/21,2,13,49
2013/09/22,1,14,50
2013/09/23,1,14,49
2013/09/24,1,14,50
2013/09/25,1,14,51
2013/09/26,1,14,52
2013/09/27,1,13,49
2013/09/28,1,13,49
2013/09/29,1,13,48
2013/09/30,1,12,48
2013/10/01,1,12,49
2013/10/02,1,11,52
2013/10/03,1,12,52
2013/10/04,1,12,50
2013/10/05,1,13,51
2013/10/06,1,13,50
2013/10/07,1,14,51
2013/10/08,1,15,53
2013/10/09,1,15,54
2013/10/10,1,15,55
2013/10/11,1,16,57
2013/10/12,1,15,54
2013/10/13,1,16,54
2013/10/14,,16,57
2013/10/15,1,16,57
2013/10/16,1,16,59
2013/10/17,1,16,60
2013/10/18,1,15,60
2013/10/19,1,15,60
2013/10/20,1,14,58
2013/10/21,1,14,58
2013/10/22,1,14,59
2013/10/23,1,14,58
2013/10/24,1,15,55
2013/10/25,1,15,54
2013/10/26,1,15,52
2013/10/27,2,14,54
2013/10/28,2,14,56
2013/10/29,2,14,54
2013/10/30,2,14,55
2013/10/31,2,14,56
2013/11/01,2,14,55
2013/11/02,2,13,55
2013/11/03,2,14,58
2013/11/04,2,13,57
2013/11/05,2,14,57
2013/11/06,2,14,57
2013/11/07,2,13,58
2013/11/08,2,13,59
2013/11/09,2,13,59
2013/11/10,2,13,62
2013/11/11,2,14,63
2013/11/12,2,13,64
2013/11/13,2,12,59
2013/11/14,2,11,57
2013/11/15,2,11,54
2013/11/16,2,11,52
2013/11/17,2,12,53
2013/11/18,2,12,55
2013/11/19,3,12,57
2013/11/20,3,12,55
2013/11/21,3,13,57
2013/11/22,3,14,57
2013/11/23,3,14,58
2013/11/24,3,14,61
2013/11/25,3,14,65
2013/11/26,3,14,64
2013/11/27,3,14,61
2013/11/28,3,14,65
2013/11/29,3,14,65
2013/11/30,3,13,66
2013/12/01,3,13,66
2013/12/02,3,13,65
2013/12/03,3,13,64
2013/12/04,3,13,64
2013/12/05,3,13,64
2013/12/06,3,12,63
2013/12/07,3,12,58
2013/12/08,3,12,56
2013/12/09,3,12,57
2013/12/10,3,12,58
2013/12/11,3,12,57
2013/12/12,3,12,57
2013/12/13,3,11,62
2013/12/14,3,11,66
2013/12/15,3,11,69
2013/12/16,3,12,73
2013/12/17,3,12,72
2013/12/18,3,13,71
2013/12/19,3,13,72
2013/12/20,3,13,73
2013/12/21,3,13,75
2013/12/22,3,13,77
2013/12/23,3,13,76
2013/12/24,3,14,71
2013/12/25,2,14,65
2013/12/26,2,15,67
2013/12/27,2,14,67
2013/12/28,2,14,64
2013/12/29,2,14,64
2013/12/30,2,14,64
2013/12/31,2,13,65
2014/01/01,2,13,66
2014/01/02,2,13,66
2014/01/03,2,13,65
2014/01/04,2,12,66
2014/01/05,3,14,67
2014/01/06,3,13,68
2014/01/07,3,13,69
2014/01/08,3,13,68
2014/01/09,2,13,70
2014/01/10,2,14,69
2014/01/11,2,14,68
2014/01/12,2,12,63
2014/01/13,2,13,62
2014/01/14,2,13,64
2014/01/15,2,13,61
2014/01/16,2,13,63
2014/01/17,2,14,65
2014/01/18,3,14,66
2014/01/19,2,14,67
2014/01/20,3,15,67
2014/01/21,3,15,65
2014/01/22,3,16,70
2014/01/23,3,16,74
2014/01/24,3,18,74
2014/01/25,3,17,72
2014/01/26,3,17,72
2014/01/27,3,19,74
2014/01/28,3,19,72
2014/01/29,3,23,75
2014/01/30,3,23,73
2014/01/31,3,23,79
2014/02/01,3,23,79
2014/02/02,3,23,80
2014/02/03,2,23,82
2014/02/04,2,23,85
2014/02/05,2,23,85
2014/02/06,2,22,83
2014/02/07,2,22,81
2014/02/08,2,22,81
2014/02/09,2,22,79
2014/02/10,2,22,79
2014/02/11,2,22,79
2014/02/12,2,22,80
2014/02/13,2,23,78
2014/02/14,2,23,77
2014/02/15,1,23,77
2014/02/16,1,23,80
2014/02/17,1,22,80
2014/02/18,1,22,81
2014/02/19,1,22,81
2014/02/20,1,22,82
2014/02/21,1,22,78
2014/02/22,1,23,77
2014/02/23,1,22,77
2014/02/24,2,22,76
2014/02/25,2,22,76
2014/02/26,2,22,73
2014/02/27,2,21,75
2014/02/28,2,18,71
2014/03/01,2,19,71
2014/03/02,2,19,66
2014/03/03,2,19,66
2014/03/04,2,19,65
2014/03/05,2,19,66
2014/03/06,2,20,65
2014/03/07,2,20,69
2014/03/08,2,20,68
2014/03/09,2,20,69
2014/03/10,2,20,71
2014/03/11,2,20,67
2014/03/12,2,19,70
2014/03/13,2,19,69
2014/03/14,2,19,67
2014/03/15,2,19,68
2014/03/16,2,21,69
2014/03/17,2,22,69
2014/03/18,2,22,70
2014/03/19,3,22,68
2014/03/20,3,23,68
2014/03/21,3,22,63
2014/03/22,3,22,63
2014/03/23,3,23,61
2014/03/24,2,23,62
2014/03/25,2,24,65
2014/03/26,2,24,68
2014/03/27,2,24,67
2014/03/28,2,25,68
2014/03/29,2,25,68
2014/03/30,2,24,69
2014/03/31,2,24,71
2014/04/01,2,24,73
2014/04/02,2,24,75
2014/04/03,2,24,78
2014/04/04,2,22,75
2014/04/05,2,23,76
2014/04/06,2,23,74
2014/04/07,2,24,77
2014/04/08,2,26,78
2014/04/09,2,26,79
2014/04/10,2,25,79
2014/04/11,2,25,78
2014/04/12,2,25,81
2014/04/13,2,25,83
2014/04/14,2,25,82
2014/04/15,2,25,80
2014/04/16,2,23,80
2014/04/17,2,22,77
2014/04/18,1,20,78
2014/04/19,1,20,77
2014/04/20,1,21,77
2014/04/21,1,21,78
2014/04/22,1,21,78
2014/04/23,,20,77
2014/04/24,1,20,76
2014/04/25,1,20,73
2014/04/26,1,19,74
2014/04/27,1,19,73
2014/04/28,1,19,73
2014/04/29,1,20,74
2014/04/30,1,18,71
2014/05/01,1,18,69
2014/05/02,1,19,70
2014/05/03,1,18,69
2014/05/04,1,18,70
2014/05/05,1,19,75
2014/05/06,1,18,73
2014/05/07,1,17,71
2014/05/08,1,16,70
2014/05/09,1,15,69
2014/05/10,1,16,69
2014/05/11,1,15,66
2014/05/12,1,14,67
2014/05/13,1,15,70
2014/05/14,1,16,69
2014/05/15,1,16,69
2014/05/16,1,16,69
2014/05/17,1,16,70
2014/05/18,1,17,72
2014/05/19,1,16,69
2014/05/20,1,17,68
2014/05/21,1,16,69
2014/05/22,1,17,69
2014/05/23,1,17,72
2014/05/24,1,17,72
2014/05/25,1,17,73
2014/05/26,1,17,73
2014/05/27,1,17,73
2014/05/28,1,18,73
2014/05/29,1,18,71
2014/05/30,2,18,73
2014/05/31,2,18,72
2014/06/01,2,18,68
2014/06/02,2,18,66
2014/06/03,2,18,65
2014/06/04,3,18,60
2014/06/05,3,18,60
2014/06/06,3,16,56
2014/06/07,3,16,55
2014/06/08,3,16,55
2014/06/09,3,16,55
2014/06/10,3,17,56
2014/06/11,3,16,55
2014/06/12,2,16,54
2014/06/13,2,16,52
2014/06/14,2,16,53
2014/06/15,2,16,55
2014/06/16,2,17,56
2014/06/17,2,16,56
2014/06/18,2,15,57
2014/06/19,2,15,57
2014/06/20,1,15,59
2014/06/21,1,14,59
2014/06/22,1,14,56
2014/06/23,1,14,58
2014/06/24,1,15,61
2014/06/25,1,14,59
2014/06/26,1,14,59
2014/06/27,1,15,62
2014/06/28,1,16,62
2014/06/29,,16,63
2014/06/30,,16,61
2014/07/01,,17,61
2014/07/02,,17,63
2014/07/03,,18,65
2014/07/04,1,19,65
2014/07/05,1,18,64
2014/07/06,1,20,66
2014/07/07,1,21,68
2014/07/08,1,21,68
2014/07/09,1,22,69
2014/07/10,1,20,67
2014/07/11,1,19,67
2014/07/12,1,19,68
2014/07/13,1,19,69
2014/07/14,1,19,68
2014/07/15,1,20,68
2014/07/16,1,19,66
2014/07/17,1,19,64
2014/07/18,1,19,65
2014/07/19,1,19,64
2014/07/20,1,19,61
2014/07/21,1,19,59
2014/07/22,1,19,56
2014/07/23,1,19,55
2014/07/24,1,18,55
2014/07/25,2,18,52
2014/07/26,2,18,50
2014/07/27,2,18,50
2014/07/28,2,18,50
2014/07/29,2,18,51
2014/07/30,2,18,53
2014/07/31,2,17,54
2014/08/01,2,17,52
2014/08/02,2,17,52
2014/08/03,2,16,51
2014/08/04,2,14,51
2014/08/05,2,14,50
2014/08/06,2,15,51
2014/08/07,2,14,51
2014/08/08,2,13,50
2014/08/09,1,11,48
2014/08/10,1,11,44
2014/08/11,1,14,45
2014/08/12,1,16,47
2014/08/13,1,15,47
2014/08/14,1,14,45
2014/08/15,1,14,46
2014/08/16,1,16,48
2014/08/17,1,17,50
2014/08/18,1,18,50
2014/08/19,1,19,52
2014/08/20,1,20,51
2014/08/21,2,20,52
2014/08/22,2,20,51
2014/08/23,2,20,51
2014/08/24,1,20,53
2014/08/25,1,20,53
2014/08/26,1,19,52
2014/08/27,1,19,52
2014/08/28,2,20,51
2014/08/29,2,20,48
2014/08/30,2,19,51
2014/08/31,2,19,52
2014/09/01,2,19,51
2014/09/02,1,19,57
2014/09/03,1,20,57
2014/09/04,1,21,60
2014/09/05,1,20,59
2014/09/06,1,20,61
2014/09/07,1,21,62
2014/09/08,1,21,64
2014/09/09,1,22,65
2014/09/10,1,21,65
2014/09/11,1,21,64
2014/09/12,1,22,63
2014/09/13,1,20,65
2014/09/14,1,20,67
2014/09/15,1,19,67
2014/09/16,1,18,63
2014/09/17,1,18,61
2014/09/18,1,16,59
2014/09/19,1,15,57
2014/09/20,1,17,55
2014/09/21,1,17,57
2014/09/22,1,17,59
2014/09/23,1,17,58
2014/09/24,1,16,58
2014/09/25,1,16,61
2014/09/26,1,16,62
2014/09/27,1,16,59
2014/09/28,1,16,61
2014/09/29,1,16,59
2014/09/30,1,17,60
2014/10/01,1,18,61
2014/10/02,1,15,58
2014/10/03,1,15,59
2014/10/04,1,14,58
2014/10/05,1,12,62
2014/10/06,1,12,60
2014/10/07,1,12,58
2014/10/08,1,12,54
2014/10/09,1,11,55
2014/10/10,1,12,55
2014/10/11,1,12,56
2014/10/12,1,11,57
2014/10/13,1,10,59
2014/10/14,1,11,56
2014/10/15,1,10,54
2014/10/16,1,10,55
2014/10/17,1,10,57
2014/10/18,,10,58
2014/10/19,,11,59
2014/10/20,,11,59
2014/10/21,,12,61
2014/10/22,,13,62
2014/10/23,,13,66
2014/10/24,,15,70
2014/10/25,,16,68
2014/10/26,,16,68
2014/10/27,,17,69
2014/10/28,,17,67
2014/10/29,,18,66
2014/10/30,,18,66
2014/10/31,,18,67
2014/11/01,,18,67
2014/11/02,,18,66
2014/11/03,1,17,67
2014/11/04,1,16,62
2014/11/05,1,17,61
2014/11/06,1,17,61
2014/11/07,1,17,60
2014/11/08,1,18,58
2014/11/09,1,17,55
2014/11/10,1,17,55
2014/11/11,1,17,54
2014/11/12,1,17,53
2014/11/13,1,17,56
2014/11/14,1,16,57
2014/11/15,1,16,59
2014/11/16,1,16,58
2014/11/17,1,16,57
2014/11/18,1,16,57
2014/11/19,1,15,57
2014/11/20,1,15,56
2014/11/21,1,14,54
2014/11/22,1,14,49
2014/11/23,1,12,45
2014/11/24,1,11,45
2014/11/25,1,11,44
2014/11/26,1,10,46
2014/11/27,1,11,46
2014/11/28,1,11,46
2014/11/29,1,11,47
2014/11/30,1,11,45
2014/12/01,1,11,44
2014/12/02,1,11,45
2014/12/03,1,11,46
2014/12/04,1,11,47
2014/12/05,1,9,49
2014/12/06,,9,51
2014/12/07,,12,53
2014/12/08,1,12,54
2014/12/09,1,12,54
2014/12/10,1,11,55
2014/12/11,2,11,56
2014/12/12,2,10,58
2014/12/13,2,8,55
2014/12/14,2,7,57
2014/12/15,2,8,58
2014/12/16,2,8,61
2014/12/17,2,9,62
2014/12/18,2,9,63
2014/12/19,2,10,64
2014/12/20,2,10,60
2014/12/21,2,10,61
2014/12/22,2,10,62
2014/12/23,2,11,63
2014/12/24,2,11,65
2014/12/25,2,11,65
2014/12/26,2,11,65
2014/12/27,2,11,64
2014/12/28,2,11,64
2014/12/29,2,11,65
2014/12/30,2,11,63
2014/12/31,2,12,65
2015/01/01,2,12,65
2015/01/02,2,13,65
2015/01/03,3,13,63
2015/01/04,3,13,64
2015/01/05,3,13,66
2015/01/06,3,11,66
2015/01/07,3,12,66
2015/01/08,3,13,67
2015/01/09,3,13,67
2015/01/10,2,13,67
2015/01/11,3,13,63
2015/01/12,3,13,62
2015/01/13,3,12,63
2015/01/14,3,11,61
2015/01/15,3,11,57
2015/01/16,3,12,58
2015/01/17,3,14,60
2015/01/18,3,13,58
2015/01/19,3,14,61
2015/01/20,3,14,63
2015/01/21,3,15,63
2015/01/22,3,15,64
2015/01/23,2,14,62
2015/01/24,2,14,64
2015/01/25,2,14,62
2015/01/26,2,14,62
2015/01/27,2,15,64
2015/01/28,1,15,64
2015/01/29,1,15,65
2015/01/30,1,15,68
2015/01/31,1,15,69
2015/02/01,1,15,69
2015/02/02,1,14,72
2015/02/03,1,16,71
2015/02/04,1,18,67
2015/02/05,1,17,69
2015/02/06,,18,69
2015/02/07,,17,68
2015/02/08,,17,69
2015/02/09,1,17,69
2015/02/10,1,18,71
2015/02/11,1,18,73
2015/02/12,1,18,75
2015/02/13,1,18,77
2015/02/14,1,18,78
2015/02/15,1,18,82
2015/02/16,2,17,80
2015/02/17,2,16,79
2015/02/18,2,17,79
2015/02/19,2,17,77
2015/02/20,2,16,77
2015/02/21,2,17,77
2015/02/22,2,17,76
2015/02/23,2,17,78
2015/02/24,2,17,76
2015/02/25,2,17,76
2015/02/26,2,16,71
2015/02/27,2,16,70
2015/02/28,2,17,69
2015/03/01,2,16,68
2015/03/02,2,16,66
2015/03/03,2,16,65
2015/03/04,2,16,63
2015/03/05,2,16,62
2015/03/06,2,15,64
2015/03/07,2,15,61
2015/03/08,2,14,62
2015/03/09,2,14,62
2015/03/10,2,14,63
2015/03/11,1,12,62
2015/03/12,1,11,59
2015/03/13,1,11,57
2015/03/14,1,11,59
2015/03/15,1,11,55
2015/03/16,1,11,58
2015/03/17,1,11,54
2015/03/18,,9,54
2015/03/19,,9,54
2015/03/20,,8,52
2015/03/21,,8,51
2015/03/22,,9,53
2015/03/23,,10,52
2015/03/24,,9,54
2015/03/25,,10,54
2015/03/26,,10,55
2015/03/27,,10,56
2015/03/28,,10,56
2015/03/29,,10,56
2015/03/30,,10,60
2015/03/31,,10,58
2015/04/01,,10,58
2015/04/02,,10,58
2015/04/03,,11,60
2015/04/04,,12,63
2015/04/05,,14,64
2015/04/06,,16,64
2015/04/07,1,15,63
2015/04/08,1,15,61
2015/04/09,1,16,62
2015/04/10,1,15,63
2015/04/11,1,16,64
2015/04/12,1,16,67
2015/04/13,1,16,63
2015/04/14,1,16,62
2015/04/15,1,16,59
2015/04/16,1,16,61
2015/04/17,1,16,62
2015/04/18,2,17,62
2015/04/19,2,20,65
2015/04/20,2,20,67
2015/04/21,2,20,66
2015/04/22,2,20,65
2015/04/23,2,20,67
2015/04/24,2,21,66
2015/04/25,2,20,66
2015/04/26,2,20,64
2015/04/27,2,20,66
2015/04/28,2,20,65
2015/04/29,2,21,64
2015/04/30,2,21,65
2015/05/01,2,22,65
2015/05/02,2,23,66
2015/05/03,2,22,67
2015/05/04,3,23,67
2015/05/05,3,22,69
2015/05/06,3,23,69
2015/05/07,2,23,67
2015/05/08,2,23,68
2015/05/09,2,25,68
2015/05/10,2,25,67
2015/05/11,2,25,67
2015/05/12,2,26,67
2015/05/13,2,24,68
2015/05/14,2,24,69
2015/05/15,2,24,69
2015/05/16,2,23,68
2015/05/17,3,24,69
2015/05/18,2,23,69
2015/05/19,2,22,68
2015/05/20,2,21,66
2015/05/21,2,20,66
2015/05/22,2,20,64
2015/05/23,2,20,65
2015/05/24,2,19,63
2015/05/25,2,19,61
2015/05/26,2,20,61
2015/05/27,2,20,63
2015/05/28,2,20,62
2015/05/29,2,19,60
2015/05/30,3,19,61
2015/05/31,3,18,61
2015/06/01,3,18,60
2015/06/02,3,18,59
2015/06/03,2,17,59
2015/06/04,2,16,55
2015/06/05,2,16,55
2015/06/06,2,15,56
2015/06/07,2,15,56
2015/06/08,2,15,55
2015/06/09,2,15,56
2015/06/10,2,15,56
2015/06/11,2,15,53
2015/06/12,2,15,51
2015/06/13,2,15,52
2015/06/14,2,15,54
2015/06/15,3,16,56
2015/06/16,3,15,55
2015/06/17,3,16,54
2015/06/18,3,18,55
2015/06/19,3,18,58
2015/06/20,3,19,60
2015/06/21,3,20,61
2015/06/22,3,21,61
2015/06/23,3,22,63
2015/06/24,3,21,65
2015/06/25,3,21,64
2015/06/26,3,21,62
2015/06/27,4,21,61
2015/06/28,4,21,62
2015/06/29,3,21,59
2015/06/30,3,24,59
2015/07/01,3,24,58
2015/07/02,2,24,59
2015/07/03,2,24,60
2015/07/04,2,25,60
2015/07/05,2,25,58
2015/07/06,2,23,56
2015/07/07,2,22,57
2015/07/08,2,22,57
2015/07/09,2,23,57
2015/07/10,2,23,57
2015/07/11,2,23,58
2015/07/12,2,23,61
2015/07/13,2,23,60
2015/07/14,2,23,57
2015/07/15,1,22,57
2015/07/16,1,22,57
2015/07/17,1,21,57
2015/07/18,1,19,57
2015/07/19,1,19,54
2015/07/20,1,18,54
2015/07/21,1,19,55
2015/07/22,1,17,54
2015/07/23,1,16,53
2015/07/24,1,14,52
2015/07/25,,13,50
2015/07/26,,13,51
2015/07/27,,11,49
2015/07/28,,11,50
2015/07/29,,11,51
2015/07/30,,9,51
2015/07/31,,9,50
