date,kawiki (100+),kawiki (5+),kawiki (all)
2014/03/29,11,64,199
2014/03/30,11,67,198
2014/03/31,11,68,200
2014/04/01,12,68,201
2014/04/02,12,66,198
2014/04/03,11,65,194
2014/04/04,12,62,192
2014/04/05,12,60,191
2014/04/06,11,59,193
2014/04/07,11,59,194
2014/04/08,11,61,194
2014/04/09,11,60,190
2014/04/10,11,60,186
2014/04/11,13,60,188
2014/04/12,14,58,188
2014/04/13,14,58,177
2014/04/14,14,58,175
2014/04/15,14,58,177
2014/04/16,15,59,179
2014/04/17,15,58,176
2014/04/18,16,56,174
