date,mkwiki (100+),mkwiki (5+),mkwiki (all)
2013/01/05,18,68,210
2013/01/06,19,70,220
2013/01/07,20,69,226
2013/01/08,20,81,243
2013/01/09,18,86,254
2013/01/10,20,90,263
2013/01/11,21,95,265
2013/01/12,21,99,270
2013/01/13,21,102,276
2013/01/14,21,102,278
2013/01/15,21,105,282
2013/01/16,21,107,282
2013/01/17,21,106,281
2013/01/18,20,106,286
2013/01/19,20,107,289
2013/01/20,18,110,288
2013/01/21,18,110,288
2013/01/22,19,110,290
2013/01/23,19,111,290
2013/01/24,19,111,294
2013/01/25,20,112,297
2013/01/26,20,112,293
2013/01/27,20,111,294
2013/01/28,20,110,299
2013/01/29,20,110,302
2013/01/30,21,108,300
2013/01/31,21,108,295
2013/02/01,21,108,293
2013/02/02,20,110,287
2013/02/03,19,111,290
2013/02/04,19,111,287
2013/02/05,19,111,281
2013/02/06,19,110,283
2013/02/07,19,102,265
2013/02/08,19,97,255
2013/02/09,19,93,248
2013/02/10,19,86,243
2013/02/11,19,84,239
2013/02/12,20,81,239
2013/02/13,20,82,240
2013/02/14,19,80,241
2013/02/15,19,79,241
2013/02/16,20,81,244
2013/02/17,20,83,244
2013/02/18,20,81,245
2013/02/19,21,79,246
2013/02/20,21,81,245
2013/02/21,20,80,244
2013/02/22,20,82,244
2013/02/23,20,84,245
2013/02/24,19,84,245
2013/02/25,19,85,241
2013/02/26,19,89,249
2013/02/27,19,93,250
2013/02/28,19,92,255
2013/03/01,19,92,259
2013/03/02,19,94,258
2013/03/03,19,93,259
2013/03/04,19,93,263
2013/03/05,20,94,258
2013/03/06,20,96,258
2013/03/07,19,96,250
2013/03/08,20,94,252
2013/03/09,20,92,253
2013/03/10,20,87,248
2013/03/11,19,89,249
2013/03/12,18,89,251
2013/03/13,19,89,250
2013/03/14,19,87,247
2013/03/15,19,87,249
2013/03/16,19,87,244
2013/03/17,19,85,243
2013/03/18,19,86,248
2013/03/19,19,80,249
2013/03/20,19,82,248
2013/03/21,18,80,242
2013/03/22,19,80,248
2013/03/23,18,83,254
2013/03/24,18,84,253
2013/03/25,18,85,252
2013/03/26,19,84,259
2013/03/27,20,85,279
2013/03/28,20,85,280
2013/03/29,20,84,283
2013/03/30,20,90,276
2013/03/31,20,88,271
2013/04/01,21,88,270
2013/04/02,20,88,272
2013/04/03,20,90,273
2013/04/04,19,87,282
2013/04/05,19,86,289
2013/04/06,18,89,291
2013/04/07,17,88,284
2013/04/08,18,89,280
2013/04/09,18,87,284
2013/04/10,17,90,288
2013/04/11,17,92,289
2013/04/12,16,92,284
2013/04/13,16,92,282
2013/04/14,16,92,274
2013/04/15,17,97,280
2013/04/16,17,98,277
2013/04/17,17,101,281
2013/04/18,17,100,284
2013/04/19,18,98,284
2013/04/20,18,98,289
2013/04/21,19,100,291
2013/04/22,19,98,292
2013/04/23,19,101,296
2013/04/24,19,103,307
2013/04/25,19,109,320
2013/04/26,20,106,323
2013/04/27,20,120,352
2013/04/28,20,135,375
2013/04/29,20,139,410
2013/04/30,20,140,416
2013/05/01,20,141,417
2013/05/02,19,138,410
2013/05/03,20,138,410
2013/05/04,18,139,404
2013/05/05,18,137,391
2013/05/06,18,135,386
2013/05/07,19,134,383
2013/05/08,19,132,389
2013/05/09,19,132,394
2013/05/10,18,136,400
2013/05/11,18,137,400
2013/05/12,19,140,401
2013/05/13,19,143,407
2013/05/14,18,148,421
2013/05/15,16,149,433
2013/05/16,16,148,439
2013/05/17,16,147,436
2013/05/18,17,148,438
2013/05/19,15,149,440
2013/05/20,15,148,431
2013/05/21,15,147,427
2013/05/22,16,146,423
2013/05/23,15,147,426
2013/05/24,15,146,429
2013/05/25,16,145,423
2013/05/26,16,151,430
2013/05/27,15,141,416
2013/05/28,15,132,398
2013/05/29,15,123,347
2013/05/30,14,121,333
2013/05/31,14,121,332
2013/06/01,14,123,333
2013/06/02,14,124,333
2013/06/03,14,125,330
2013/06/04,14,125,331
2013/06/05,14,126,333
2013/06/06,14,124,333
2013/06/07,14,125,327
2013/06/08,14,125,324
2013/06/09,15,121,323
2013/06/10,15,122,328
2013/06/11,15,123,335
2013/06/12,14,122,343
2013/06/13,14,123,337
2013/06/14,14,124,326
2013/06/15,14,123,325
2013/06/16,13,120,318
2013/06/17,13,118,312
2013/06/18,13,118,309
2013/06/19,13,118,315
2013/06/20,12,120,313
2013/06/21,14,119,314
2013/06/22,13,114,307
2013/06/23,12,113,301
2013/06/24,12,107,300
2013/06/25,11,98,287
2013/06/26,12,94,272
2013/06/27,10,86,265
2013/06/28,11,85,259
2013/06/29,12,83,254
2013/06/30,10,83,250
2013/07/01,10,82,248
2013/07/02,10,82,250
2013/07/03,11,82,250
2013/07/04,10,82,247
2013/07/05,9,83,245
2013/07/06,9,80,241
2013/07/07,8,77,239
2013/07/08,8,75,235
2013/07/09,9,74,231
2013/07/10,8,73,227
2013/07/11,10,71,215
2013/07/12,10,68,210
2013/07/13,10,68,203
2013/07/14,10,65,194
2013/07/15,10,64,194
2013/07/16,10,65,192
2013/07/17,10,62,186
2013/07/18,11,60,183
2013/07/19,10,61,178
2013/07/20,11,58,177
2013/07/21,11,58,174
2013/07/22,11,57,169
2013/07/23,10,56,165
2013/07/24,10,53,158
2013/07/25,10,51,154
2013/07/26,9,50,149
2013/07/27,8,52,148
2013/07/28,8,51,146
2013/07/29,8,53,143
2013/07/30,8,53,149
2013/07/31,8,54,153
2013/08/01,9,54,153
2013/08/02,10,56,150
2013/08/03,10,55,152
2013/08/04,10,57,153
2013/08/05,10,54,152
2013/08/06,9,56,152
2013/08/07,9,56,155
2013/08/08,9,58,153
2013/08/09,9,57,154
2013/08/10,9,56,157
2013/08/11,9,54,149
2013/08/12,9,54,149
2013/08/13,9,52,151
2013/08/14,10,50,146
2013/08/15,10,51,146
2013/08/16,10,51,147
2013/08/17,9,49,149
2013/08/18,9,48,147
2013/08/19,9,47,147
2013/08/20,9,47,143
2013/08/21,9,48,147
2013/08/22,7,47,151
2013/08/23,7,49,153
2013/08/24,7,50,157
2013/08/25,7,52,158
2013/08/26,7,52,162
2013/08/27,7,53,165
2013/08/28,7,53,164
2013/08/29,8,50,163
2013/08/30,7,48,160
2013/08/31,7,49,163
2013/09/01,7,50,167
2013/09/02,8,52,169
2013/09/03,8,51,166
2013/09/04,8,51,166
2013/09/05,8,49,166
2013/09/06,8,48,164
2013/09/07,7,47,162
2013/09/08,7,47,164
2013/09/09,7,47,160
2013/09/10,7,48,160
2013/09/11,7,49,158
2013/09/12,7,49,158
2013/09/13,7,48,163
2013/09/14,7,47,165
2013/09/15,7,47,167
2013/09/16,7,47,165
2013/09/17,8,47,163
2013/09/18,8,48,168
2013/09/19,8,49,173
2013/09/20,8,49,175
2013/09/21,8,51,175
2013/09/22,9,49,170
2013/09/23,9,51,171
2013/09/24,9,49,168
2013/09/25,11,48,166
2013/09/26,11,45,159
2013/09/27,11,46,160
2013/09/28,11,46,158
2013/09/29,10,46,159
2013/09/30,10,46,162
2013/10/01,10,46,156
2013/10/02,10,45,155
2013/10/03,10,46,154
2013/10/04,10,47,158
2013/10/05,10,48,156
2013/10/06,9,51,155
2013/10/07,9,51,154
2013/10/08,9,52,157
2013/10/09,9,53,162
2013/10/10,8,53,165
2013/10/11,8,54,165
2013/10/12,8,53,165
2013/10/13,8,53,165
2013/10/14,8,53,168
2013/10/15,8,54,166
2013/10/16,9,54,166
2013/10/17,9,53,163
2013/10/18,9,51,165
2013/10/19,10,51,162
2013/10/20,10,49,155
2013/10/21,10,48,153
2013/10/22,10,46,153
2013/10/23,9,47,147
2013/10/24,9,47,145
2013/10/25,9,46,146
2013/10/26,9,45,150
2013/10/27,10,44,152
2013/10/28,9,43,153
2013/10/29,9,43,149
2013/10/30,9,41,150
2013/10/31,9,41,149
2013/11/01,9,41,149
2013/11/02,9,40,147
2013/11/03,8,41,153
2013/11/04,7,41,155
2013/11/05,7,41,155
2013/11/06,7,42,157
2013/11/07,8,46,160
2013/11/08,8,46,164
2013/11/09,8,46,167
2013/11/10,8,47,167
2013/11/11,8,48,172
2013/11/12,8,46,166
2013/11/13,8,46,166
2013/11/14,9,44,168
2013/11/15,8,43,168
2013/11/16,7,43,171
2013/11/17,8,44,171
2013/11/18,7,45,171
2013/11/19,7,45,169
2013/11/20,8,45,171
2013/11/21,8,47,172
2013/11/22,8,47,180
2013/11/23,8,49,182
2013/11/24,9,50,180
2013/11/25,12,52,186
2013/11/26,11,53,186
2013/11/27,11,58,189
2013/11/28,11,58,200
2013/11/29,11,59,203
2013/11/30,11,64,206
2013/12/01,10,70,211
2013/12/02,9,76,220
2013/12/03,9,76,223
2013/12/04,9,77,227
2013/12/05,9,79,225
2013/12/06,9,78,233
2013/12/07,10,76,237
2013/12/08,10,76,234
2013/12/09,10,75,237
2013/12/10,10,73,241
2013/12/11,10,71,242
2013/12/12,9,74,243
2013/12/13,9,73,248
2013/12/14,9,74,248
2013/12/15,10,75,252
2013/12/16,12,75,252
2013/12/17,12,78,253
2013/12/18,12,77,249
2013/12/19,12,77,251
2013/12/20,12,79,251
2013/12/21,12,77,255
2013/12/22,12,79,251
2013/12/23,12,80,251
2013/12/24,11,81,248
2013/12/25,11,80,244
2013/12/26,11,81,248
2013/12/27,11,80,250
2013/12/28,11,76,243
2013/12/29,11,79,240
2013/12/30,11,83,256
2013/12/31,11,82,271
2014/01/01,10,81,265
2014/01/02,10,81,256
2014/01/03,10,84,253
2014/01/04,10,86,252
2014/01/05,10,85,248
2014/01/06,10,88,245
2014/01/07,10,88,239
2014/01/08,10,88,241
2014/01/09,10,88,234
2014/01/10,10,88,235
