date,urwiki (100+),urwiki (5+),urwiki (all)
2013/02/10,4,23,78
2013/02/11,5,23,77
2013/02/12,5,23,80
2013/02/13,5,24,81
2013/02/14,5,24,75
2013/02/15,4,24,75
2013/02/16,3,24,80
2013/02/17,4,23,76
2013/02/18,4,23,74
2013/02/19,5,23,73
2013/02/20,5,23,72
2013/02/21,5,23,71
2013/02/22,5,22,72
2013/02/23,6,22,73
2013/02/24,6,22,74
2013/02/25,6,22,73
2013/02/26,8,23,75
2013/02/27,8,23,78
2013/02/28,8,23,77
2013/03/01,8,24,79
2013/03/02,8,23,74
2013/03/03,8,23,74
2013/03/04,8,22,73
2013/03/05,9,23,73
2013/03/06,9,23,75
2013/03/07,9,22,76
2013/03/08,9,23,74
2013/03/09,9,24,79
2013/03/10,9,24,79
2013/03/11,9,25,81
2013/03/12,9,24,83
2013/03/13,9,25,80
2013/03/14,9,24,79
2013/03/15,9,24,77
2013/03/16,9,25,79
2013/03/17,9,25,78
2013/03/18,8,25,73
2013/03/19,8,26,73
2013/03/20,8,27,73
2013/03/21,8,28,75
2013/03/22,8,27,77
2013/03/23,8,26,75
2013/03/24,8,26,76
2013/03/25,7,26,75
2013/03/26,6,27,78
2013/03/27,5,27,79
2013/03/28,5,27,78
2013/03/29,5,27,78
2013/03/30,5,28,80
2013/03/31,5,29,83
2013/04/01,5,30,84
2013/04/02,5,31,85
2013/04/03,5,31,90
2013/04/04,4,31,90
2013/04/05,4,30,89
2013/04/06,4,29,89
2013/04/07,4,29,88
2013/04/08,4,29,87
2013/04/09,4,30,85
2013/04/10,4,30,85
2013/04/11,4,27,82
2013/04/12,4,27,83
2013/04/13,4,27,82
2013/04/14,3,26,84
2013/04/15,3,25,85
2013/04/16,3,23,82
2013/04/17,3,24,83
2013/04/18,3,23,81
2013/04/19,3,23,80
2013/04/20,3,22,77
2013/04/21,3,24,75
2013/04/22,3,24,74
2013/04/23,4,25,72
2013/04/24,4,25,73
2013/04/25,4,23,69
2013/04/26,4,23,69
2013/04/27,4,22,68
2013/04/28,2,21,67
2013/04/29,2,21,64
2013/04/30,2,20,61
2013/05/01,2,20,57
2013/05/02,2,20,56
2013/05/03,2,20,54
2013/05/04,2,21,53
2013/05/05,2,22,54
2013/05/06,2,21,53
2013/05/07,3,21,54
2013/05/08,3,20,50
2013/05/09,3,20,50
2013/05/10,4,20,50
2013/05/11,4,20,52
2013/05/12,4,21,52
2013/05/13,6,21,54
2013/05/14,6,22,54
2013/05/15,5,22,52
2013/05/16,5,22,52
2013/05/17,6,22,55
2013/05/18,6,23,56
2013/05/19,6,22,56
2013/05/20,6,21,55
2013/05/21,6,21,55
2013/05/22,5,21,56
2013/05/23,5,21,55
2013/05/24,5,21,55
2013/05/25,5,21,56
2013/05/26,5,21,55
2013/05/27,6,22,57
2013/05/28,6,21,58
2013/05/29,6,21,59
2013/05/30,7,20,58
2013/05/31,7,21,58
2013/06/01,7,21,59
2013/06/02,7,20,61
2013/06/03,7,21,61
2013/06/04,7,23,63
2013/06/05,6,25,65
2013/06/06,6,25,62
2013/06/07,6,25,62
2013/06/08,6,25,64
2013/06/09,5,27,65
2013/06/10,5,26,64
2013/06/11,4,25,64
2013/06/12,4,25,64
2013/06/13,4,24,63
2013/06/14,4,24,61
2013/06/15,4,22,65
2013/06/16,3,22,66
2013/06/17,3,22,66
2013/06/18,4,22,63
2013/06/19,4,22,65
2013/06/20,5,23,63
2013/06/21,5,24,62
2013/06/22,5,26,63
2013/06/23,5,27,65
2013/06/24,5,26,65
2013/06/25,5,26,65
2013/06/26,5,25,64
2013/06/27,5,24,63
2013/06/28,5,24,63
2013/06/29,4,24,63
2013/06/30,4,23,63
2013/07/01,4,23,62
2013/07/02,4,24,62
2013/07/03,4,23,61
2013/07/04,3,22,58
2013/07/05,3,22,58
2013/07/06,3,22,58
2013/07/07,3,22,58
2013/07/08,3,23,57
2013/07/09,3,23,57
2013/07/10,3,23,57
2013/07/11,3,22,54
2013/07/12,4,22,56
2013/07/13,3,20,56
2013/07/14,3,20,61
2013/07/15,4,22,63
2013/07/16,3,22,61
2013/07/17,4,20,59
2013/07/18,4,21,60
2013/07/19,4,21,62
2013/07/20,5,19,62
2013/07/21,5,17,62
2013/07/22,5,18,61
2013/07/23,5,18,59
2013/07/24,5,18,57
2013/07/25,5,18,60
2013/07/26,5,18,61
2013/07/27,5,19,62
2013/07/28,5,20,61
2013/07/29,5,20,60
2013/07/30,5,20,59
2013/07/31,5,20,61
2013/08/01,5,19,59
2013/08/02,4,19,61
2013/08/03,4,18,63
2013/08/04,4,17,63
2013/08/05,4,18,64
2013/08/06,4,18,65
2013/08/07,4,19,69
2013/08/08,4,19,67
2013/08/09,4,19,67
2013/08/10,4,19,67
2013/08/11,4,20,65
2013/08/12,4,20,67
2013/08/13,4,21,64
2013/08/14,4,21,64
2013/08/15,3,21,65
2013/08/16,3,21,68
2013/08/17,3,24,68
2013/08/18,4,25,66
2013/08/19,6,25,67
2013/08/20,6,25,64
2013/08/21,4,25,63
2013/08/22,4,27,65
2013/08/23,4,27,65
2013/08/24,4,26,62
2013/08/25,5,26,61
2013/08/26,5,25,59
2013/08/27,5,24,60
2013/08/28,5,24,60
2013/08/29,5,25,63
2013/08/30,5,24,61
2013/08/31,4,24,61
2013/09/01,5,23,62
2013/09/02,5,24,60
2013/09/03,5,24,58
2013/09/04,5,25,58
2013/09/05,5,25,58
2013/09/06,4,24,57
2013/09/07,4,24,58
2013/09/08,4,25,62
2013/09/09,4,25,61
2013/09/10,4,24,60
2013/09/11,5,24,58
2013/09/12,5,25,60
2013/09/13,5,24,60
2013/09/14,5,24,60
2013/09/15,5,24,59
2013/09/16,5,24,57
2013/09/17,5,23,58
2013/09/18,4,22,60
2013/09/19,4,22,61
2013/09/20,4,25,63
2013/09/21,4,24,63
2013/09/22,4,23,64
2013/09/23,4,22,64
2013/09/24,4,22,64
2013/09/25,4,22,65
2013/09/26,3,20,62
2013/09/27,3,20,63
2013/09/28,3,20,62
2013/09/29,4,18,62
2013/09/30,4,16,61
2013/10/01,3,16,63
2013/10/02,3,17,64
2013/10/03,3,17,65
2013/10/04,3,19,67
2013/10/05,3,18,66
2013/10/06,3,18,63
2013/10/07,3,18,64
2013/10/08,3,16,62
2013/10/09,3,16,64
2013/10/10,3,16,65
2013/10/11,3,16,64
2013/10/12,3,15,64
2013/10/13,3,15,67
2013/10/14,3,16,66
2013/10/15,3,16,68
2013/10/16,3,18,69
2013/10/17,3,18,70
2013/10/18,3,19,69
2013/10/19,3,19,69
2013/10/20,3,17,70
2013/10/21,3,19,68
2013/10/22,3,18,66
2013/10/23,3,19,69
2013/10/24,3,19,69
2013/10/25,2,19,71
2013/10/26,2,18,73
2013/10/27,2,19,71
2013/10/28,2,19,73
2013/10/29,2,20,74
2013/10/30,2,21,74
2013/10/31,2,20,74
2013/11/01,2,19,70
2013/11/02,2,19,70
2013/11/03,2,17,69
2013/11/04,2,18,71
2013/11/05,2,19,72
2013/11/06,2,20,72
2013/11/07,2,21,71
2013/11/08,2,21,70
2013/11/09,2,21,67
2013/11/10,2,22,69
2013/11/11,2,23,70
2013/11/12,2,23,68
2013/11/13,2,23,69
2013/11/14,2,23,71
2013/11/15,2,23,69
2013/11/16,2,23,67
2013/11/17,2,23,67
2013/11/18,2,25,64
2013/11/19,2,25,64
2013/11/20,2,24,64
2013/11/21,2,24,66
2013/11/22,2,25,65
2013/11/23,2,24,66
2013/11/24,2,22,65
2013/11/25,2,22,66
2013/11/26,2,22,69
2013/11/27,2,22,67
2013/11/28,2,24,70
2013/11/29,2,22,69
2013/11/30,3,22,70
2013/12/01,3,24,71
2013/12/02,3,25,72
2013/12/03,3,26,71
2013/12/04,3,25,72
2013/12/05,4,24,73
2013/12/06,4,24,72
2013/12/07,4,23,70
2013/12/08,4,24,72
2013/12/09,4,24,73
2013/12/10,4,24,75
2013/12/11,3,25,76
2013/12/12,3,23,81
2013/12/13,3,23,84
2013/12/14,2,26,81
2013/12/15,2,26,83
2013/12/16,2,26,84
2013/12/17,2,26,84
2013/12/18,2,24,84
2013/12/19,2,23,84
2013/12/20,2,23,84
2013/12/21,2,23,87
2013/12/22,2,24,87
2013/12/23,2,26,88
2013/12/24,2,25,85
2013/12/25,3,25,83
2013/12/26,3,25,81
2013/12/27,3,27,87
2013/12/28,4,23,83
2013/12/29,5,23,84
2013/12/30,5,25,84
2013/12/31,5,26,85
2014/01/01,5,26,85
2014/01/02,5,29,86
2014/01/03,5,30,85
2014/01/04,5,32,88
2014/01/05,5,33,88
2014/01/06,6,33,90
2014/01/07,5,34,90
2014/01/08,5,33,91
2014/01/09,5,34,91
2014/01/10,6,32,92
2014/01/11,6,32,89
2014/01/12,5,33,86
2014/01/13,5,35,89
2014/01/14,5,36,90
2014/01/15,6,38,94
2014/01/16,7,39,97
2014/01/17,7,40,96
2014/01/18,7,41,98
2014/01/19,7,43,104
2014/01/20,7,43,105
2014/01/21,6,44,106
2014/01/22,6,44,107
2014/01/23,6,46,110
2014/01/24,6,46,112
2014/01/25,5,47,118
2014/01/26,5,51,115
2014/01/27,5,52,118
2014/01/28,5,53,119
2014/01/29,5,53,121
2014/01/30,5,51,119
2014/01/31,5,52,122
2014/02/01,5,49,123
2014/02/02,5,49,128
2014/02/03,5,50,128
2014/02/04,5,49,129
2014/02/05,5,51,129
2014/02/06,5,50,129
2014/02/07,5,50,131
2014/02/08,6,49,128
2014/02/09,6,49,130
2014/02/10,6,49,129
2014/02/11,6,49,130
2014/02/12,6,50,132
2014/02/13,5,50,132
2014/02/14,3,52,133
2014/02/15,3,49,134
2014/02/16,4,49,134
2014/02/17,4,52,132
2014/02/18,3,51,130
2014/02/19,3,52,128
2014/02/20,3,53,129
2014/02/21,4,55,127
2014/02/22,3,54,127
2014/02/23,4,54,127
2014/02/24,5,55,124
2014/02/25,5,52,122
2014/02/26,5,53,118
2014/02/27,5,52,117
2014/02/28,5,53,117
2014/03/01,5,52,119
2014/03/02,5,51,120
2014/03/03,5,50,117
2014/03/04,4,49,110
2014/03/05,4,52,130
2014/03/06,4,51,129
2014/03/07,4,50,127
2014/03/08,4,50,125
2014/03/09,5,50,127
2014/03/10,5,49,128
2014/03/11,5,48,127
2014/03/12,5,48,128
2014/03/13,6,48,132
2014/03/14,7,46,133
2014/03/15,7,47,131
2014/03/16,7,45,131
2014/03/17,7,44,132
2014/03/18,7,44,133
2014/03/19,7,40,130
2014/03/20,6,37,130
2014/03/21,6,36,129
2014/03/22,6,34,131
2014/03/23,6,33,125
2014/03/24,7,35,126
2014/03/25,7,35,127
2014/03/26,7,33,124
2014/03/27,7,33,125
2014/03/28,7,35,126
2014/03/29,7,35,125
2014/03/30,7,34,124
2014/03/31,7,34,120
2014/04/01,7,34,120
2014/04/02,7,33,121
2014/04/03,7,35,121
2014/04/04,7,30,107
2014/04/05,7,32,106
2014/04/06,7,32,109
2014/04/07,6,34,113
2014/04/08,6,32,112
2014/04/09,6,31,107
2014/04/10,6,31,104
2014/04/11,5,31,105
2014/04/12,5,31,102
2014/04/13,5,31,101
2014/04/14,5,32,103
2014/04/15,5,33,104
2014/04/16,5,32,102
2014/04/17,5,32,102
2014/04/18,5,34,104
2014/04/19,5,32,104
2014/04/20,5,32,106
2014/04/21,5,31,105
2014/04/22,5,31,105
2014/04/23,4,32,106
2014/04/24,4,32,105
2014/04/25,4,33,108
2014/04/26,4,32,110
2014/04/27,3,34,112
2014/04/28,3,33,111
2014/04/29,3,33,114
2014/04/30,3,35,117
2014/05/01,4,35,115
2014/05/02,4,33,117
2014/05/03,4,32,116
2014/05/04,4,33,117
2014/05/05,4,31,119
2014/05/06,4,32,119
2014/05/07,5,35,119
2014/05/08,6,37,122
2014/05/09,5,38,124
2014/05/10,5,38,127
2014/05/11,5,40,129
2014/05/12,5,39,128
2014/05/13,5,42,131
2014/05/14,6,43,134
2014/05/15,6,42,136
2014/05/16,6,44,136
2014/05/17,6,45,140
2014/05/18,6,44,140
2014/05/19,6,44,140
2014/05/20,6,43,139
2014/05/21,6,45,140
2014/05/22,5,47,144
2014/05/23,5,47,142
2014/05/24,5,47,145
2014/05/25,5,48,145
2014/05/26,5,49,151
2014/05/27,5,50,149
2014/05/28,5,53,151
2014/05/29,5,53,150
2014/05/30,5,52,148
2014/05/31,5,52,152
2014/06/01,5,54,152
2014/06/02,5,53,152
2014/06/03,5,52,150
2014/06/04,5,52,154
2014/06/05,5,52,153
2014/06/06,5,50,149
2014/06/07,5,47,148
2014/06/08,5,48,150
2014/06/09,5,47,149
2014/06/10,6,47,150
2014/06/11,7,45,150
2014/06/12,7,46,148
2014/06/13,7,43,145
2014/06/14,7,43,139
2014/06/15,7,43,137
2014/06/16,6,42,134
2014/06/17,6,40,132
2014/06/18,5,40,133
2014/06/19,5,39,130
2014/06/20,5,36,126
2014/06/21,4,34,127
2014/06/22,5,34,125
2014/06/23,5,32,123
2014/06/24,5,30,120
2014/06/25,6,28,116
2014/06/26,6,29,116
2014/06/27,5,29,112
2014/06/28,5,27,111
2014/06/29,5,27,112
2014/06/30,5,31,115
2014/07/01,4,33,112
2014/07/02,4,32,110
2014/07/03,4,33,111
2014/07/04,4,34,105
2014/07/05,4,35,106
2014/07/06,4,35,105
2014/07/07,4,34,103
2014/07/08,4,32,101
2014/07/09,4,29,101
2014/07/10,3,30,102
2014/07/11,3,30,101
2014/07/12,4,29,100
2014/07/13,4,30,102
2014/07/14,4,31,104
2014/07/15,4,33,110
2014/07/16,4,32,113
2014/07/17,4,32,114
2014/07/18,4,32,115
2014/07/19,4,32,118
2014/07/20,4,33,117
2014/07/21,3,33,117
2014/07/22,3,35,118
2014/07/23,3,36,116
2014/07/24,3,36,116
2014/07/25,3,36,117
2014/07/26,3,37,120
2014/07/27,3,36,124
2014/07/28,3,36,122
2014/07/29,3,34,119
2014/07/30,3,29,112
2014/07/31,3,28,107
2014/08/01,3,29,108
2014/08/02,2,28,107
2014/08/03,2,28,110
2014/08/04,2,27,108
