date,ptwiki (100+),ptwiki (5+),ptwiki (all)
2013/04/22,194,1707,5268
2013/04/23,196,1707,5276
2013/04/24,197,1715,5303
2013/04/25,198,1725,5315
2013/04/26,200,1729,5334
2013/04/27,201,1736,5337
2013/04/28,206,1754,5339
2013/04/29,202,1748,5330
2013/04/30,205,1767,5324
2013/05/01,207,1767,5361
2013/05/02,203,1768,5369
2013/05/03,201,1766,5341
2013/05/04,200,1756,5321
2013/05/05,196,1760,5292
2013/05/06,199,1769,5284
2013/05/07,201,1783,5309
2013/05/08,204,1789,5341
2013/05/09,199,1778,5307
2013/05/10,201,1792,5277
2013/05/11,202,1787,5251
2013/05/12,203,1781,5219
2013/05/13,204,1762,5208
2013/05/14,200,1760,5235
2013/05/15,199,1744,5198
2013/05/16,197,1739,5188
2013/05/17,196,1743,5190
2013/05/18,198,1759,5193
2013/05/19,199,1784,5176
2013/05/20,199,1804,5218
2013/05/21,203,1816,5251
2013/05/22,203,1811,5298
2013/05/23,202,1802,5304
2013/05/24,203,1792,5304
2013/05/25,205,1785,5293
2013/05/26,206,1797,5271
2013/05/27,205,1794,5263
2013/05/28,207,1794,5278
2013/05/29,211,1807,5300
2013/05/30,208,1802,5311
2013/05/31,212,1802,5282
2013/06/01,207,1814,5298
2013/06/02,203,1827,5301
2013/06/03,209,1845,5327
2013/06/04,210,1849,5366
2013/06/05,214,1835,5389
2013/06/06,215,1837,5393
2013/06/07,210,1837,5406
2013/06/08,212,1849,5407
2013/06/09,214,1850,5406
2013/06/10,212,1842,5385
2013/06/11,214,1853,5417
2013/06/12,213,1860,5433
2013/06/13,214,1864,5443
2013/06/14,210,1870,5462
2013/06/15,207,1878,5458
2013/06/16,207,1886,5421
2013/06/17,212,1864,5436
2013/06/18,214,1866,5459
2013/06/19,213,1839,5425
2013/06/20,206,1828,5397
2013/06/21,207,1824,5367
2013/06/22,203,1810,5343
2013/06/23,202,1786,5292
2013/06/24,202,1786,5268
2013/06/25,202,1789,5266
2013/06/26,198,1791,5273
2013/06/27,202,1789,5293
2013/06/28,198,1781,5275
2013/06/29,196,1769,5238
2013/06/30,198,1750,5256
2013/07/01,196,1743,5201
2013/07/02,198,1744,5221
2013/07/03,197,1734,5231
2013/07/04,194,1710,5203
2013/07/05,190,1686,5172
2013/07/06,196,1661,5157
2013/07/07,193,1652,5105
2013/07/08,193,1648,5088
2013/07/09,192,1661,5112
2013/07/10,186,1672,5111
2013/07/11,189,1678,5093
2013/07/12,191,1683,5073
2013/07/13,195,1673,5049
2013/07/14,193,1657,5013
2013/07/15,191,1644,4974
2013/07/16,195,1641,5007
2013/07/17,192,1654,5038
2013/07/18,188,1654,5019
2013/07/19,191,1654,5017
2013/07/20,192,1663,5015
2013/07/21,193,1660,4992
2013/07/22,194,1665,4948
2013/07/23,192,1681,4962
2013/07/24,191,1679,4989
2013/07/25,196,1684,5003
2013/07/26,196,1669,4986
2013/07/27,202,1668,4967
2013/07/28,207,1667,4914
2013/07/29,209,1651,4906
2013/07/30,204,1653,4915
2013/07/31,203,1668,4957
2013/08/01,205,1669,4918
2013/08/02,205,1660,4874
2013/08/03,202,1653,4861
2013/08/04,204,1659,4852
2013/08/05,206,1661,4850
2013/08/06,206,1670,4896
2013/08/07,207,1674,4917
2013/08/08,207,1669,4895
2013/08/09,202,1658,4908
2013/08/10,204,1652,4888
2013/08/11,203,1653,4860
2013/08/12,198,1644,4849
2013/08/13,199,1648,4883
2013/08/14,202,1641,4906
2013/08/15,195,1609,4892
2013/08/16,195,1597,4845
2013/08/17,192,1587,4840
2013/08/18,191,1570,4812
2013/08/19,190,1562,4800
2013/08/20,192,1569,4821
2013/08/21,191,1566,4812
2013/08/22,192,1553,4826
2013/08/23,191,1539,4816
2013/08/24,187,1513,4812
2013/08/25,185,1505,4822
2013/08/26,181,1507,4799
2013/08/27,183,1504,4828
2013/08/28,182,1504,4823
2013/08/29,191,1480,4718
2013/08/30,186,1484,4705
2013/08/31,185,1490,4691
2013/09/01,188,1482,4680
2013/09/02,187,1480,4663
2013/09/03,183,1485,4698
2013/09/04,179,1491,4706
2013/09/05,179,1488,4684
2013/09/06,177,1468,4652
2013/09/07,178,1457,4646
2013/09/08,178,1467,4609
2013/09/09,178,1461,4570
2013/09/10,181,1452,4583
2013/09/11,177,1450,4564
2013/09/12,177,1455,4552
2013/09/13,175,1459,4539
2013/09/14,175,1445,4498
2013/09/15,176,1427,4485
2013/09/16,177,1430,4491
2013/09/17,176,1448,4501
2013/09/18,179,1452,4528
2013/09/19,176,1442,4504
2013/09/20,175,1426,4505
2013/09/21,175,1427,4481
2013/09/22,172,1430,4464
2013/09/23,173,1432,4429
2013/09/24,173,1447,4435
2013/09/25,174,1443,4470
2013/09/26,176,1439,4501
2013/09/27,175,1455,4530
2013/09/28,178,1466,4564
2013/09/29,173,1469,4535
2013/09/30,169,1450,4507
2013/10/01,168,1461,4529
2013/10/02,168,1457,4544
2013/10/03,171,1439,4543
2013/10/04,170,1437,4533
2013/10/05,169,1438,4549
2013/10/06,166,1427,4544
2013/10/07,163,1433,4591
2013/10/08,165,1435,4632
2013/10/09,164,1431,4692
2013/10/10,164,1436,4707
2013/10/11,165,1436,4741
2013/10/12,165,1429,4731
2013/10/13,167,1423,4724
2013/10/14,168,1440,4751
2013/10/15,168,1455,4794
2013/10/16,169,1456,4822
2013/10/17,168,1453,4848
2013/10/18,168,1451,4833
2013/10/19,167,1459,4869
2013/10/20,169,1464,4858
2013/10/21,167,1466,4867
2013/10/22,166,1456,4883
2013/10/23,167,1455,4916
2013/10/24,162,1444,4941
2013/10/25,161,1437,4938
2013/10/26,159,1427,4910
2013/10/27,155,1404,4868
2013/10/28,153,1405,4800
2013/10/29,152,1407,4800
2013/10/30,149,1418,4845
2013/10/31,146,1412,4825
2013/11/01,143,1414,4818
2013/11/02,147,1401,4793
2013/11/03,147,1399,4769
2013/11/04,151,1412,4758
2013/11/05,151,1421,4806
2013/11/06,154,1412,4813
2013/11/07,151,1402,4808
2013/11/08,152,1401,4773
2013/11/09,149,1401,4766
2013/11/10,152,1405,4712
2013/11/11,155,1418,4711
2013/11/12,156,1414,4778
2013/11/13,158,1418,4769
2013/11/14,153,1416,4777
2013/11/15,152,1420,4770
2013/11/16,153,1426,4750
2013/11/17,151,1439,4758
2013/11/18,150,1427,4749
2013/11/19,153,1435,4778
2013/11/20,153,1424,4795
2013/11/21,153,1430,4815
2013/11/22,150,1427,4836
2013/11/23,149,1437,4836
2013/11/24,149,1438,4805
2013/11/25,146,1448,4802
2013/11/26,148,1462,4855
2013/11/27,151,1452,4876
2013/11/28,148,1450,4899
2013/11/29,149,1445,4881
2013/11/30,150,1449,4880
2013/12/01,152,1451,4867
2013/12/02,153,1466,4871
2013/12/03,157,1478,4944
2013/12/04,154,1473,4983
2013/12/05,151,1476,4971
2013/12/06,153,1483,4957
2013/12/07,155,1474,4918
2013/12/08,157,1467,4895
2013/12/09,157,1476,4884
2013/12/10,155,1475,4908
2013/12/11,157,1479,4971
2013/12/12,156,1490,4973
2013/12/13,155,1484,4985
2013/12/14,156,1487,4982
2013/12/15,156,1491,4976
2013/12/16,156,1480,4960
2013/12/17,157,1480,4923
2013/12/18,152,1486,4982
2013/12/19,154,1492,4977
2013/12/20,158,1496,4975
2013/12/21,158,1501,4922
2013/12/22,157,1501,4893
2013/12/23,158,1488,4872
2013/12/24,161,1485,4897
2013/12/25,159,1470,4858
2013/12/26,161,1458,4799
2013/12/27,159,1456,4815
2013/12/28,159,1459,4811
2013/12/29,161,1467,4819
2013/12/30,159,1452,4784
2013/12/31,162,1470,4797
2014/01/01,161,1454,4787
2014/01/02,161,1433,4708
2014/01/03,162,1434,4693
2014/01/04,161,1449,4709
2014/01/05,162,1444,4719
2014/01/06,162,1444,4731
2014/01/07,160,1472,4814
2014/01/08,163,1483,4878
2014/01/09,162,1502,4920
2014/01/10,162,1511,4916
2014/01/11,162,1527,4905
2014/01/12,164,1536,4892
2014/01/13,163,1528,4882
2014/01/14,165,1549,4912
2014/01/15,167,1591,4983
2014/01/16,168,1602,4991
2014/01/17,167,1621,5003
2014/01/18,172,1632,5006
2014/01/19,174,1640,5033
2014/01/20,175,1651,5028
2014/01/21,178,1681,5067
2014/01/22,179,1706,5107
2014/01/23,178,1732,5116
2014/01/24,181,1761,5171
2014/01/25,184,1800,5233
2014/01/26,186,1835,5233
2014/01/27,189,1844,5263
2014/01/28,192,1863,5289
2014/01/29,189,1893,5361
2014/01/30,186,1919,5382
2014/01/31,186,1944,5402
2014/02/01,183,1983,5477
2014/02/02,181,1999,5460
2014/02/03,180,2004,5444
2014/02/04,180,2009,5466
2014/02/05,182,2029,5476
2014/02/06,182,2034,5442
2014/02/07,179,2032,5425
2014/02/08,181,2040,5407
2014/02/09,182,2039,5404
2014/02/10,186,2025,5397
2014/02/11,185,2038,5426
2014/02/12,182,2058,5460
2014/02/13,183,2057,5486
2014/02/14,186,2032,5469
2014/02/15,186,2031,5472
2014/02/16,184,2029,5431
2014/02/17,185,2036,5417
2014/02/18,185,2046,5416
2014/02/19,186,2061,5473
2014/02/20,183,2066,5495
2014/02/21,181,2089,5491
2014/02/22,182,2082,5486
2014/02/23,178,2077,5451
2014/02/24,181,2059,5437
2014/02/25,181,2067,5456
2014/02/26,181,2077,5458
2014/02/27,183,2062,5476
2014/02/28,185,2049,5462
2014/03/01,190,2048,5457
2014/03/02,192,2040,5439
2014/03/03,188,2018,5402
2014/03/04,185,2021,5435
2014/03/05,180,2042,5445
2014/03/06,175,2041,5436
2014/03/07,176,2061,5489
2014/03/08,175,2061,5479
2014/03/09,175,2065,5485
2014/03/10,174,2070,5522
2014/03/11,168,2082,5540
2014/03/12,170,2090,5579
2014/03/13,167,2078,5583
2014/03/14,168,2078,5590
2014/03/15,167,2083,5604
2014/03/16,162,2080,5579
2014/03/17,166,2081,5601
2014/03/18,164,2084,5654
2014/03/19,163,2090,5693
2014/03/20,161,2082,5684
2014/03/21,166,2092,5684
2014/03/22,171,2064,5653
2014/03/23,171,2059,5631
2014/03/24,173,2060,5610
2014/03/25,177,2085,5653
2014/03/26,174,2114,5721
2014/03/27,174,2124,5730
2014/03/28,175,2114,5709
2014/03/29,174,2117,5695
2014/03/30,173,2108,5649
2014/03/31,170,2093,5653
2014/04/01,170,2111,5678
2014/04/02,166,2111,5734
2014/04/03,169,2107,5753
2014/04/04,174,2098,5768
2014/04/05,176,2078,5738
2014/04/06,175,2066,5678
2014/04/07,174,2064,5688
2014/04/08,172,2061,5717
2014/04/09,172,2047,5708
2014/04/10,170,2042,5715
2014/04/11,169,2038,5671
2014/04/12,170,2040,5678
2014/04/13,174,2032,5624
2014/04/14,176,2031,5611
2014/04/15,174,2056,5640
2014/04/16,170,2045,5648
2014/04/17,168,2045,5658
2014/04/18,172,2030,5620
2014/04/19,174,2023,5586
2014/04/20,173,2013,5558
2014/04/21,174,2001,5512
2014/04/22,175,2000,5520
2014/04/23,172,1997,5558
2014/04/24,171,1976,5554
2014/04/25,172,1957,5529
2014/04/26,172,1927,5484
2014/04/27,170,1925,5471
2014/04/28,174,1927,5459
2014/04/29,177,1953,5507
2014/04/30,179,1950,5528
2014/05/01,176,1948,5538
2014/05/02,177,1931,5539
2014/05/03,174,1930,5548
2014/05/04,176,1935,5523
2014/05/05,177,1953,5543
2014/05/06,174,1957,5565
2014/05/07,175,1971,5588
2014/05/08,170,1975,5576
2014/05/09,171,1997,5593
2014/05/10,173,1994,5575
2014/05/11,171,1987,5562
2014/05/12,173,1994,5553
2014/05/13,171,2018,5643
2014/05/14,171,2019,5667
2014/05/15,174,2021,5675
2014/05/16,170,2049,5690
2014/05/17,174,2050,5693
2014/05/18,168,2045,5715
2014/05/19,164,2049,5746
2014/05/20,164,2051,5767
2014/05/21,162,2044,5805
2014/05/22,160,2044,5817
2014/05/23,163,2056,5798
2014/05/24,161,2046,5796
2014/05/25,159,2041,5784
2014/05/26,158,2034,5816
2014/05/27,158,2035,5837
2014/05/28,157,2038,5842
2014/05/29,155,2017,5839
2014/05/30,154,2013,5834
2014/05/31,154,2005,5774
2014/06/01,153,2014,5736
2014/06/02,149,2029,5722
2014/06/03,147,2034,5741
2014/06/04,147,2045,5764
2014/06/05,151,2057,5753
2014/06/06,147,2042,5735
2014/06/07,150,2046,5748
2014/06/08,151,2036,5727
2014/06/09,151,2025,5726
2014/06/10,143,2043,5780
2014/06/11,140,2043,5801
2014/06/12,140,2022,5739
2014/06/13,137,2014,5684
2014/06/14,137,2013,5657
2014/06/15,137,2008,5626
2014/06/16,138,2039,5668
2014/06/17,140,2072,5681
2014/06/18,143,2080,5700
2014/06/19,142,2076,5726
2014/06/20,149,2095,5728
2014/06/21,153,2094,5674
2014/06/22,157,2084,5637
2014/06/23,157,2093,5650
2014/06/24,154,2093,5647
2014/06/25,156,2111,5676
2014/06/26,157,2116,5678
2014/06/27,156,2118,5698
2014/06/28,155,2137,5688
2014/06/29,154,2112,5667
2014/06/30,151,2115,5672
2014/07/01,151,2121,5699
2014/07/02,155,2115,5703
2014/07/03,161,2112,5720
2014/07/04,161,2105,5730
2014/07/05,162,2093,5703
2014/07/06,159,2098,5669
2014/07/07,159,2081,5682
2014/07/08,158,2083,5703
2014/07/09,155,2068,5700
2014/07/10,153,2045,5673
2014/07/11,156,2052,5636
2014/07/12,159,2037,5633
2014/07/13,157,2062,5686
2014/07/14,158,2047,5712
2014/07/15,161,2044,5696
2014/07/16,160,2017,5648
2014/07/17,160,2004,5604
2014/07/18,161,2005,5610
2014/07/19,162,2010,5594
2014/07/20,162,2001,5569
2014/07/21,161,2010,5596
2014/07/22,159,2036,5658
2014/07/23,159,2044,5652
2014/07/24,158,2059,5697
2014/07/25,156,2058,5682
2014/07/26,153,2066,5683
2014/07/27,153,2056,5660
2014/07/28,153,2042,5680
2014/07/29,153,2089,5736
2014/07/30,153,2116,5803
2014/07/31,151,2124,5825
2014/08/01,153,2119,5845
2014/08/02,154,2129,5840
2014/08/03,157,2134,5829
2014/08/04,158,2148,5862
2014/08/05,158,2158,5882
2014/08/06,153,2162,5913
2014/08/07,152,2160,5904
2014/08/08,152,2171,5939
2014/08/09,150,2183,6005
2014/08/10,152,2218,6096
2014/08/11,153,2257,6183
2014/08/12,155,2273,6222
2014/08/13,153,2317,6334
2014/08/14,151,2334,6405
2014/08/15,154,2347,6447
2014/08/16,156,2355,6478
2014/08/17,154,2350,6475
2014/08/18,155,2345,6476
2014/08/19,156,2347,6518
2014/08/20,155,2351,6547
2014/08/21,158,2354,6585
2014/08/22,158,2372,6649
2014/08/23,164,2358,6647
2014/08/24,162,2349,6621
2014/08/25,160,2331,6618
2014/08/26,159,2351,6703
2014/08/27,159,2365,6707
2014/08/28,160,2348,6661
2014/08/29,162,2325,6680
2014/08/30,158,2312,6637
2014/08/31,158,2312,6613
2014/09/01,162,2316,6595
2014/09/02,162,2323,6630
2014/09/03,159,2332,6680
2014/09/04,163,2350,6726
2014/09/05,164,2349,6721
2014/09/06,168,2347,6735
2014/09/07,170,2345,6721
2014/09/08,173,2330,6674
2014/09/09,171,2305,6651
2014/09/10,176,2286,6589
2014/09/11,176,2257,6542
2014/09/12,176,2239,6470
2014/09/13,171,2224,6422
2014/09/14,169,2233,6372
2014/09/15,169,2239,6348
2014/09/16,160,2229,6345
2014/09/17,161,2228,6372
2014/09/18,166,2243,6369
2014/09/19,166,2237,6325
2014/09/20,168,2211,6274
2014/09/21,168,2185,6203
2014/09/22,168,2182,6194
2014/09/23,173,2182,6234
2014/09/24,172,2180,6244
2014/09/25,169,2197,6216
2014/09/26,166,2192,6192
2014/09/27,164,2205,6210
2014/09/28,168,2189,6168
2014/09/29,166,2178,6160
2014/09/30,166,2189,6162
2014/10/01,162,2181,6163
2014/10/02,166,2170,6182
2014/10/03,169,2162,6159
2014/10/04,166,2137,6115
2014/10/05,165,2126,6082
2014/10/06,169,2125,6059
2014/10/07,166,2130,6058
2014/10/08,164,2138,6092
2014/10/09,165,2137,6066
2014/10/10,163,2122,6070
2014/10/11,163,2124,6052
2014/10/12,162,2124,6029
2014/10/13,168,2091,6002
2014/10/14,167,2081,6027
2014/10/15,166,2082,6058
2014/10/16,165,2079,6056
2014/10/17,167,2087,6025
2014/10/18,166,2070,6028
2014/10/19,167,2086,6014
2014/10/20,170,2074,5979
2014/10/21,167,2075,5952
2014/10/22,169,2065,5940
2014/10/23,166,2069,5930
2014/10/24,170,2058,5918
2014/10/25,165,2047,5889
2014/10/26,164,2046,5860
2014/10/27,162,2035,5804
2014/10/28,163,2032,5827
2014/10/29,165,2041,5828
2014/10/30,166,2030,5815
2014/10/31,167,2029,5791
