date,myvwiki (100+),myvwiki (5+),myvwiki (all)
2013/08/06,,1,8
2013/08/07,,1,8
2013/08/08,,2,7
2013/08/09,,2,7
2013/08/10,,2,6
2013/08/11,,2,6
2013/08/12,,2,6
2013/08/13,,2,5
2013/08/14,,2,5
2013/08/15,,2,4
2013/08/16,,2,4
2013/08/17,,3,5
2013/08/18,,3,6
2013/08/19,,4,6
2013/08/20,,4,6
2013/08/21,,4,6
2013/08/22,,4,6
2013/08/23,,4,6
2013/08/24,,4,6
2013/08/25,,4,6
2013/08/26,,4,6
2013/08/27,,4,6
2013/08/28,,4,6
2013/08/29,,5,7
2013/08/30,,4,6
2013/08/31,,4,6
2013/09/01,,4,6
2013/09/02,,4,6
2013/09/03,,3,6
2013/09/04,,3,6
2013/09/05,,3,6
2013/09/06,,3,6
2013/09/07,,3,6
2013/09/08,,3,5
2013/09/09,,3,5
2013/09/10,,3,5
2013/09/11,,3,5
2013/09/12,,3,6
2013/09/13,,3,6
2013/09/14,,3,6
2013/09/15,,3,6
2013/09/16,,2,5
2013/09/17,,2,4
2013/09/18,,1,4
2013/09/19,,1,4
2013/09/20,,1,4
2013/09/21,,1,4
2013/09/22,,1,3
2013/09/23,,1,4
2013/09/24,,1,4
2013/09/25,,,4
2013/09/26,,,5
2013/09/27,,,5
2013/09/28,,,6
2013/09/29,,,6
2013/09/30,,,6
2013/10/01,,,6
2013/10/02,,,6
2013/10/03,,,6
2013/10/04,,,7
2013/10/05,,,7
2013/10/06,,,7
2013/10/07,,,7
2013/10/08,,,8
2013/10/09,,,8
2013/10/10,,,8
2013/10/11,,,7
2013/10/12,,,6
2013/10/13,,,6
2013/10/14,,,6
2013/10/15,,,6
2013/10/16,,,6
2013/10/17,,,6
2013/10/18,,,6
2013/10/19,,,6
2013/10/20,,,6
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,5
2013/10/24,,,5
2013/10/25,,1,5
2013/10/26,,1,4
2013/10/27,,1,4
2013/10/28,,1,3
2013/10/29,,1,3
2013/10/30,,1,3
2013/10/31,,1,3
2013/11/01,,1,3
2013/11/02,,1,4
2013/11/03,,1,3
2013/11/04,,1,3
2013/11/05,,1,3
2013/11/06,,1,3
2013/11/07,,1,3
2013/11/08,,1,3
2013/11/09,,1,3
2013/11/10,,1,4
2013/11/11,,1,4
2013/11/12,,1,4
2013/11/13,,1,4
2013/11/14,,1,4
2013/11/15,,1,4
2013/11/16,,1,4
2013/11/17,,1,4
2013/11/18,,1,4
2013/11/19,,1,4
2013/11/20,,1,4
2013/11/21,,1,4
2013/11/22,,1,5
2013/11/23,,1,5
2013/11/24,,1,5
2013/11/25,,1,5
2013/11/26,,1,5
2013/11/27,,1,5
2013/11/28,,,5
2013/11/29,,,5
2013/11/30,,,5
2013/12/01,,,5
2013/12/02,,,4
2013/12/03,,,4
2013/12/04,,,4
2013/12/05,,,4
2013/12/06,,,4
2013/12/07,,,4
2013/12/08,,,4
2013/12/09,,1,5
2013/12/10,,,6
2013/12/11,,,6
2013/12/12,,1,7
2013/12/13,,,6
2013/12/14,,,6
2013/12/15,,,6
2013/12/16,,,6
2013/12/17,,,6
2013/12/18,,,6
2013/12/19,,,6
2013/12/20,,1,7
2013/12/21,,1,7
2013/12/22,,1,6
2013/12/23,,1,6
