date,anwiki (100+),anwiki (5+),anwiki (all)
2013/12/13,4,15,72
2013/12/14,4,14,71
2013/12/15,4,14,73
2013/12/16,3,15,73
2013/12/17,3,15,73
2013/12/18,3,15,70
2013/12/19,3,15,66
2013/12/20,4,15,68
2013/12/21,4,16,70
2013/12/22,4,17,67
2013/12/23,4,17,67
2013/12/24,4,13,64
2013/12/25,5,15,64
2013/12/26,5,15,62
2013/12/27,5,15,62
2013/12/28,5,12,61
2013/12/29,5,12,61
2013/12/30,5,12,59
2013/12/31,5,13,59
2014/01/01,5,13,58
2014/01/02,6,12,57
2014/01/03,5,12,57
2014/01/04,5,11,58
2014/01/05,5,11,58
2014/01/06,5,12,58
2014/01/07,5,12,58
2014/01/08,5,12,58
2014/01/09,5,11,56
2014/01/10,5,11,54
2014/01/11,5,12,54
2014/01/12,5,13,56
2014/01/13,5,14,57
2014/01/14,5,13,57
2014/01/15,5,13,57
2014/01/16,5,13,58
2014/01/17,5,13,62
2014/01/18,5,13,63
2014/01/19,5,13,61
2014/01/20,5,12,60
2014/01/21,5,11,58
2014/01/22,5,11,60
2014/01/23,5,12,60
2014/01/24,4,12,59
2014/01/25,4,12,59
2014/01/26,4,12,58
2014/01/27,4,12,57
2014/01/28,4,12,58
2014/01/29,4,12,59
2014/01/30,3,12,59
2014/01/31,3,12,62
2014/02/01,2,12,61
2014/02/02,2,12,64
2014/02/03,2,12,66
2014/02/04,2,13,66
2014/02/05,2,13,67
2014/02/06,2,13,69
2014/02/07,2,13,68
2014/02/08,3,13,71
2014/02/09,3,13,73
2014/02/10,3,13,73
2014/02/11,3,12,72
2014/02/12,3,11,72
2014/02/13,3,11,72
2014/02/14,2,11,73
2014/02/15,2,12,73
2014/02/16,2,12,72
2014/02/17,2,12,72
2014/02/18,2,12,73
2014/02/19,2,12,71
2014/02/20,2,12,73
2014/02/21,2,11,72
2014/02/22,2,11,71
2014/02/23,2,9,73
2014/02/24,3,9,72
2014/02/25,3,9,71
2014/02/26,3,9,74
2014/02/27,3,9,74
2014/02/28,3,9,73
2014/03/01,3,9,76
2014/03/02,3,10,77
2014/03/03,3,9,77
2014/03/04,3,9,73
2014/03/05,3,10,71
2014/03/06,3,11,69
2014/03/07,3,11,72
2014/03/08,3,11,75
2014/03/09,3,11,76
2014/03/10,2,10,73
2014/03/11,2,11,74
2014/03/12,2,13,76
2014/03/13,2,14,77
2014/03/14,2,14,81
2014/03/15,2,14,81
2014/03/16,2,14,80
2014/03/17,2,14,79
2014/03/18,3,14,79
2014/03/19,3,14,75
2014/03/20,3,14,75
2014/03/21,3,14,75
2014/03/22,3,14,75
2014/03/23,3,13,74
2014/03/24,3,13,75
2014/03/25,3,13,76
2014/03/26,3,13,77
2014/03/27,3,12,77
2014/03/28,3,12,75
2014/03/29,3,12,76
2014/03/30,3,12,74
2014/03/31,3,11,73
2014/04/01,2,11,74
2014/04/02,2,11,72
2014/04/03,2,12,73
2014/04/04,2,13,74
2014/04/05,2,12,77
2014/04/06,2,12,75
2014/04/07,2,12,74
2014/04/08,2,13,76
2014/04/09,2,13,78
2014/04/10,2,12,76
2014/04/11,2,11,73
2014/04/12,2,11,73
2014/04/13,2,11,71
2014/04/14,2,12,73
2014/04/15,2,12,72
2014/04/16,2,12,70
2014/04/17,2,12,72
2014/04/18,2,14,73
2014/04/19,2,14,70
2014/04/20,2,14,69
2014/04/21,1,14,70
2014/04/22,1,14,72
2014/04/23,1,14,72
2014/04/24,1,14,71
2014/04/25,1,14,72
2014/04/26,1,14,74
2014/04/27,1,15,77
2014/04/28,1,17,75
2014/04/29,1,18,76
2014/04/30,1,18,76
2014/05/01,1,19,75
2014/05/02,1,19,80
2014/05/03,2,18,79
2014/05/04,2,18,77
2014/05/05,2,18,77
2014/05/06,2,19,76
2014/05/07,2,17,73
2014/05/08,2,16,72
2014/05/09,2,16,70
2014/05/10,2,16,73
2014/05/11,2,17,75
2014/05/12,2,17,73
2014/05/13,2,17,73
2014/05/14,2,17,70
2014/05/15,2,16,74
2014/05/16,2,16,76
2014/05/17,2,14,75
2014/05/18,2,14,74
2014/05/19,2,14,75
2014/05/20,2,14,79
2014/05/21,2,15,78
2014/05/22,2,15,79
2014/05/23,2,14,79
2014/05/24,2,14,78
2014/05/25,2,14,78
2014/05/26,2,14,76
2014/05/27,2,13,74
2014/05/28,2,11,74
2014/05/29,2,10,72
2014/05/30,2,10,72
2014/05/31,2,9,74
2014/06/01,1,9,72
2014/06/02,2,9,73
2014/06/03,2,9,72
2014/06/04,2,9,71
2014/06/05,2,9,69
2014/06/06,2,9,69
2014/06/07,2,8,69
2014/06/08,2,8,70
2014/06/09,1,8,69
2014/06/10,1,7,66
2014/06/11,1,8,64
2014/06/12,1,8,67
2014/06/13,1,8,66
2014/06/14,1,7,64
2014/06/15,1,7,62
2014/06/16,1,7,62
2014/06/17,1,7,60
2014/06/18,1,7,56
2014/06/19,1,6,53
2014/06/20,1,6,54
2014/06/21,1,6,52
2014/06/22,1,5,52
2014/06/23,1,5,53
2014/06/24,1,5,50
2014/06/25,1,5,52
2014/06/26,1,6,52
2014/06/27,1,6,55
2014/06/28,1,6,56
2014/06/29,1,6,59
2014/06/30,1,6,59
2014/07/01,1,6,58
2014/07/02,1,6,57
2014/07/03,1,7,61
2014/07/04,1,8,63
2014/07/05,1,9,66
2014/07/06,1,9,66
2014/07/07,1,9,69
2014/07/08,1,9,69
2014/07/09,1,10,67
2014/07/10,1,10,68
2014/07/11,1,10,70
2014/07/12,1,10,69
2014/07/13,1,10,71
2014/07/14,1,10,71
2014/07/15,1,10,70
2014/07/16,1,10,68
2014/07/17,1,10,68
2014/07/18,1,11,71
2014/07/19,1,11,73
2014/07/20,1,12,70
2014/07/21,1,12,70
2014/07/22,1,12,70
2014/07/23,1,14,68
2014/07/24,1,14,69
2014/07/25,2,14,69
2014/07/26,2,15,67
2014/07/27,3,14,65
2014/07/28,3,14,63
2014/07/29,3,15,62
2014/07/30,3,15,67
2014/07/31,3,15,66
2014/08/01,3,15,65
2014/08/02,3,13,62
2014/08/03,4,11,57
2014/08/04,4,11,58
2014/08/05,4,10,60
2014/08/06,4,10,57
2014/08/07,4,10,57
2014/08/08,4,10,55
2014/08/09,4,10,55
2014/08/10,4,10,52
2014/08/11,4,10,52
2014/08/12,4,11,54
2014/08/13,4,11,59
2014/08/14,4,11,59
2014/08/15,4,11,59
2014/08/16,4,11,59
2014/08/17,4,10,59
2014/08/18,4,9,60
2014/08/19,4,9,61
2014/08/20,4,9,59
2014/08/21,4,9,61
2014/08/22,4,8,60
2014/08/23,4,8,61
2014/08/24,4,8,61
2014/08/25,4,9,64
2014/08/26,4,10,64
2014/08/27,4,10,66
2014/08/28,4,11,66
2014/08/29,3,12,64
2014/08/30,3,12,66
2014/08/31,2,12,69
2014/09/01,2,12,68
2014/09/02,2,13,68
2014/09/03,2,13,65
2014/09/04,2,15,66
2014/09/05,2,15,66
2014/09/06,1,15,67
2014/09/07,1,15,71
2014/09/08,2,15,74
2014/09/09,3,15,75
2014/09/10,3,15,75
2014/09/11,3,17,77
2014/09/12,3,18,70
2014/09/13,3,18,71
2014/09/14,3,18,73
2014/09/15,3,18,74
2014/09/16,3,18,71
2014/09/17,3,18,69
2014/09/18,3,18,68
2014/09/19,3,18,69
2014/09/20,3,18,67
2014/09/21,3,17,66
2014/09/22,3,18,67
2014/09/23,3,17,68
2014/09/24,3,17,67
2014/09/25,3,16,67
2014/09/26,2,16,65
2014/09/27,3,15,64
2014/09/28,3,13,64
2014/09/29,3,13,62
2014/09/30,3,14,62
2014/10/01,3,13,63
2014/10/02,3,14,65
2014/10/03,3,14,65
2014/10/04,3,12,66
2014/10/05,3,12,65
2014/10/06,3,12,63
2014/10/07,3,12,61
2014/10/08,2,12,59
2014/10/09,2,12,59
2014/10/10,2,13,57
2014/10/11,2,12,57
2014/10/12,2,12,56
2014/10/13,2,11,59
2014/10/14,2,12,58
2014/10/15,2,10,56
2014/10/16,2,11,58
2014/10/17,2,11,59
2014/10/18,2,11,59
2014/10/19,2,10,59
2014/10/20,2,11,59
2014/10/21,2,13,61
2014/10/22,2,13,60
2014/10/23,2,14,60
2014/10/24,2,14,60
2014/10/25,2,14,60
2014/10/26,2,14,62
2014/10/27,2,14,63
2014/10/28,2,15,62
2014/10/29,2,14,62
2014/10/30,2,14,61
2014/10/31,2,14,62
2014/11/01,2,14,62
2014/11/02,2,14,61
2014/11/03,2,14,62
2014/11/04,2,14,63
2014/11/05,2,13,64
2014/11/06,2,14,63
2014/11/07,2,15,62
2014/11/08,2,15,61
2014/11/09,2,15,60
2014/11/10,2,16,64
2014/11/11,2,16,66
2014/11/12,2,16,64
2014/11/13,2,16,69
2014/11/14,2,16,71
2014/11/15,2,15,69
2014/11/16,2,15,68
2014/11/17,2,14,65
2014/11/18,2,14,65
2014/11/19,2,13,63
2014/11/20,2,11,59
2014/11/21,2,12,61
2014/11/22,2,13,58
2014/11/23,2,13,59
2014/11/24,2,12,59
2014/11/25,2,12,57
2014/11/26,2,12,56
2014/11/27,2,11,58
2014/11/28,2,11,58
2014/11/29,2,11,59
2014/11/30,2,11,58
2014/12/01,2,13,59
2014/12/02,2,14,58
2014/12/03,2,14,58
2014/12/04,2,13,59
2014/12/05,2,13,56
2014/12/06,2,13,58
2014/12/07,2,13,57
2014/12/08,2,13,57
2014/12/09,2,14,57
2014/12/10,2,13,55
2014/12/11,2,13,55
2014/12/12,2,13,58
2014/12/13,2,13,54
2014/12/14,2,13,52
2014/12/15,2,14,53
2014/12/16,2,14,53
2014/12/17,2,14,55
2014/12/18,2,13,54
2014/12/19,2,13,59
2014/12/20,2,13,60
2014/12/21,2,13,59
2014/12/22,2,11,58
2014/12/23,2,10,61
2014/12/24,2,10,60
2014/12/25,2,11,60
2014/12/26,2,11,61
2014/12/27,2,12,61
2014/12/28,2,11,65
2014/12/29,2,11,66
2014/12/30,2,12,62
2014/12/31,2,11,59
2015/01/01,2,11,59
2015/01/02,2,11,60
2015/01/03,2,11,59
2015/01/04,2,12,61
2015/01/05,2,12,60
2015/01/06,2,12,59
2015/01/07,2,12,59
2015/01/08,2,13,58
2015/01/09,2,13,56
2015/01/10,2,13,57
2015/01/11,2,13,56
2015/01/12,2,13,58
2015/01/13,2,13,58
2015/01/14,2,12,59
2015/01/15,2,12,58
2015/01/16,2,11,57
2015/01/17,2,12,62
2015/01/18,2,11,59
2015/01/19,2,11,59
2015/01/20,2,12,59
2015/01/21,2,11,60
2015/01/22,2,11,57
2015/01/23,2,11,59
2015/01/24,2,10,60
2015/01/25,2,9,59
2015/01/26,2,9,57
2015/01/27,2,9,57
2015/01/28,2,9,56
2015/01/29,2,9,57
2015/01/30,2,9,58
2015/01/31,2,8,57
2015/02/01,2,8,58
2015/02/02,2,7,61
2015/02/03,2,7,61
2015/02/04,2,7,64
2015/02/05,2,8,68
2015/02/06,2,8,68
2015/02/07,2,7,71
2015/02/08,2,7,69
2015/02/09,2,6,67
2015/02/10,2,6,68
2015/02/11,2,7,69
2015/02/12,2,7,68
2015/02/13,2,7,70
2015/02/14,2,8,72
2015/02/15,3,8,74
2015/02/16,3,8,71
2015/02/17,3,9,70
2015/02/18,3,9,71
2015/02/19,3,9,71
2015/02/20,3,8,72
2015/02/21,4,8,73
2015/02/22,4,9,74
2015/02/23,4,9,73
2015/02/24,4,9,75
2015/02/25,4,10,78
2015/02/26,4,10,76
2015/02/27,4,10,75
2015/02/28,4,11,77
2015/03/01,4,11,77
2015/03/02,4,11,78
2015/03/03,4,11,80
2015/03/04,4,11,75
2015/03/05,4,11,74
2015/03/06,4,11,74
2015/03/07,3,11,74
2015/03/08,3,11,77
2015/03/09,3,10,75
