date,hywiki (100+),hywiki (5+),hywiki (all)
2012/11/10,21,89,207
2012/11/11,21,89,209
2012/11/12,20,93,213
2012/11/13,20,92,217
2012/11/14,20,90,219
2012/11/15,20,90,219
2012/11/16,20,93,215
2012/11/17,20,98,223
2012/11/18,21,98,225
2012/11/19,22,96,230
2012/11/20,22,96,231
2012/11/21,22,93,231
2012/11/22,23,96,231
2012/11/23,23,96,234
2012/11/24,24,98,237
2012/11/25,26,98,236
2012/11/26,26,100,231
2012/11/27,26,100,227
2012/11/28,25,99,226
2012/11/29,26,98,224
2012/11/30,26,98,227
2012/12/01,26,96,231
2012/12/02,27,95,232
2012/12/03,28,96,230
2012/12/04,28,95,231
2012/12/05,28,95,235
2012/12/06,28,94,229
2012/12/07,28,95,230
2012/12/08,28,95,229
2012/12/09,29,96,225
2012/12/10,30,93,228
2012/12/11,30,93,228
2012/12/12,30,91,224
2012/12/13,28,92,222
2012/12/14,28,91,223
2012/12/15,28,90,224
2012/12/16,28,91,223
2012/12/17,27,90,217
2012/12/18,29,90,219
2012/12/19,28,92,214
2012/12/20,30,92,210
2012/12/21,30,91,215
2012/12/22,31,92,217
2012/12/23,31,92,215
2012/12/24,31,91,216
2012/12/25,30,90,214
2012/12/26,29,89,217
2012/12/27,29,89,220
2012/12/28,28,92,224
2012/12/29,28,94,224
2012/12/30,30,93,228
2012/12/31,30,94,228
2013/01/01,29,94,225
2013/01/02,29,94,226
2013/01/03,28,95,230
2013/01/04,28,95,227
2013/01/05,28,95,232
2013/01/06,29,97,231
2013/01/07,28,102,232
2013/01/08,28,101,232
2013/01/09,29,99,229
2013/01/10,28,97,233
2013/01/11,29,99,231
2013/01/12,28,101,238
2013/01/13,29,100,236
2013/01/14,29,98,235
2013/01/15,28,102,236
2013/01/16,28,99,233
2013/01/17,28,100,236
2013/01/18,28,101,236
2013/01/19,28,107,241
2013/01/20,29,107,239
2013/01/21,29,109,243
2013/01/22,29,107,242
2013/01/23,28,108,239
2013/01/24,27,109,242
2013/01/25,27,109,242
2013/01/26,28,106,239
2013/01/27,29,104,234
2013/01/28,30,103,237
2013/01/29,31,103,232
2013/01/30,33,104,234
2013/01/31,33,105,236
2013/02/01,33,105,236
2013/02/02,34,104,231
2013/02/03,33,103,233
2013/02/04,33,105,235
2013/02/05,33,105,239
2013/02/06,31,105,243
2013/02/07,31,105,240
2013/02/08,32,105,241
2013/02/09,32,105,240
2013/02/10,32,105,245
2013/02/11,31,103,241
2013/02/12,32,110,239
2013/02/13,32,111,239
2013/02/14,31,111,240
2013/02/15,31,109,240
2013/02/16,30,108,240
2013/02/17,30,105,241
2013/02/18,31,105,237
2013/02/19,30,105,236
2013/02/20,30,106,229
2013/02/21,30,104,231
2013/02/22,30,105,229
2013/02/23,30,101,225
2013/02/24,30,101,222
2013/02/25,29,98,216
2013/02/26,28,99,220
2013/02/27,28,99,220
2013/02/28,28,97,222
2013/03/01,27,96,219
2013/03/02,26,97,222
2013/03/03,26,96,219
2013/03/04,27,97,220
2013/03/05,26,97,215
2013/03/06,27,101,217
2013/03/07,27,100,213
2013/03/08,27,98,209
2013/03/09,27,98,212
2013/03/10,25,97,211
2013/03/11,25,98,211
2013/03/12,25,99,209
2013/03/13,27,99,209
2013/03/14,26,95,209
2013/03/15,26,94,210
2013/03/16,24,91,208
2013/03/17,23,88,206
2013/03/18,22,88,202
2013/03/19,22,90,202
2013/03/20,22,89,202
2013/03/21,22,86,204
2013/03/22,22,83,207
2013/03/23,21,82,208
2013/03/24,22,83,204
2013/03/25,22,83,205
2013/03/26,21,83,205
2013/03/27,21,80,206
2013/03/28,22,80,205
2013/03/29,21,78,204
2013/03/30,21,78,199
2013/03/31,21,76,198
2013/04/01,21,73,199
2013/04/02,19,72,201
2013/04/03,19,73,199
2013/04/04,19,70,204
2013/04/05,19,67,198
2013/04/06,18,66,196
2013/04/07,18,69,193
2013/04/08,17,68,192
2013/04/09,17,67,189
2013/04/10,17,70,188
2013/04/11,17,70,185
2013/04/12,16,69,183
2013/04/13,15,70,182
2013/04/14,15,75,194
2013/04/15,15,77,203
2013/04/16,15,82,212
2013/04/17,16,83,211
2013/04/18,16,81,210
2013/04/19,16,80,206
2013/04/20,16,80,208
2013/04/21,17,80,204
2013/04/22,17,81,207
2013/04/23,17,80,205
2013/04/24,17,80,205
2013/04/25,17,80,206
2013/04/26,18,80,203
2013/04/27,18,78,203
2013/04/28,19,82,202
2013/04/29,20,82,202
2013/04/30,18,84,202
2013/05/01,18,84,203
2013/05/02,18,84,204
2013/05/03,18,82,208
2013/05/04,17,81,205
2013/05/05,16,81,205
2013/05/06,16,78,204
2013/05/07,16,76,207
2013/05/08,17,76,208
2013/05/09,17,75,205
2013/05/10,16,72,199
2013/05/11,18,71,199
2013/05/12,20,74,201
2013/05/13,19,75,195
2013/05/14,19,72,185
2013/05/15,19,73,181
2013/05/16,18,72,183
2013/05/17,18,69,186
2013/05/18,18,68,185
2013/05/19,18,71,188
2013/05/20,18,72,186
2013/05/21,18,73,192
2013/05/22,18,73,196
2013/05/23,19,73,198
2013/05/24,18,72,196
2013/05/25,19,72,197
2013/05/26,19,74,200
2013/05/27,19,72,197
2013/05/28,19,73,195
2013/05/29,19,72,196
2013/05/30,19,74,197
2013/05/31,19,71,195
2013/06/01,19,74,193
2013/06/02,19,76,189
2013/06/03,19,74,187
2013/06/04,19,73,186
2013/06/05,20,73,183
2013/06/06,20,73,179
2013/06/07,20,76,184
2013/06/08,20,77,185
2013/06/09,19,76,186
2013/06/10,18,76,180
2013/06/11,19,75,181
2013/06/12,17,74,178
2013/06/13,18,73,179
2013/06/14,18,73,179
2013/06/15,19,72,176
2013/06/16,18,71,172
2013/06/17,18,70,173
2013/06/18,18,69,177
2013/06/19,17,70,178
2013/06/20,17,69,173
2013/06/21,17,74,166
2013/06/22,18,76,170
2013/06/23,18,75,175
2013/06/24,18,74,178
2013/06/25,19,71,172
2013/06/26,20,71,174
2013/06/27,20,69,175
2013/06/28,19,68,172
2013/06/29,20,66,165
2013/06/30,21,67,168
2013/07/01,20,72,174
2013/07/02,20,72,175
2013/07/03,20,73,179
2013/07/04,21,73,182
2013/07/05,20,75,184
2013/07/06,19,75,188
2013/07/07,19,72,182
2013/07/08,19,73,181
2013/07/09,19,73,183
2013/07/10,19,74,183
2013/07/11,19,72,182
2013/07/12,19,73,183
2013/07/13,19,73,181
2013/07/14,19,77,183
2013/07/15,19,78,182
2013/07/16,19,79,183
2013/07/17,19,77,181
2013/07/18,19,79,175
2013/07/19,19,78,176
2013/07/20,19,80,184
2013/07/21,19,78,182
2013/07/22,19,83,178
2013/07/23,19,84,169
2013/07/24,20,85,164
2013/07/25,21,83,163
2013/07/26,21,83,167
2013/07/27,20,83,167
2013/07/28,19,87,172
2013/07/29,19,88,173
2013/07/30,19,90,173
2013/07/31,19,85,172
2013/08/01,18,87,173
2013/08/02,20,86,171
2013/08/03,18,88,174
2013/08/04,17,84,177
2013/08/05,19,84,174
2013/08/06,19,82,177
2013/08/07,19,87,180
2013/08/08,19,89,179
2013/08/09,19,89,178
2013/08/10,19,94,185
2013/08/11,20,94,187
2013/08/12,19,93,190
2013/08/13,18,93,190
2013/08/14,18,93,189
2013/08/15,19,93,191
2013/08/16,19,93,189
2013/08/17,20,97,192
2013/08/18,21,95,189
2013/08/19,21,92,187
2013/08/20,19,92,182
2013/08/21,19,89,182
2013/08/22,20,87,183
2013/08/23,18,86,185
2013/08/24,19,86,187
2013/08/25,19,83,187
2013/08/26,20,83,188
2013/08/27,20,82,188
2013/08/28,21,83,185
2013/08/29,22,82,187
2013/08/30,21,78,183
2013/08/31,20,77,175
2013/09/01,20,76,171
2013/09/02,18,75,166
2013/09/03,19,74,162
2013/09/04,18,73,164
2013/09/05,19,74,162
2013/09/06,19,75,160
2013/09/07,20,73,155
2013/09/08,19,67,156
2013/09/09,17,64,152
2013/09/10,17,63,147
2013/09/11,17,61,144
2013/09/12,16,61,145
2013/09/13,16,62,144
2013/09/14,17,65,150
2013/09/15,16,71,155
2013/09/16,15,68,151
2013/09/17,15,70,152
2013/09/18,16,69,154
2013/09/19,16,69,154
2013/09/20,16,70,153
2013/09/21,15,71,153
2013/09/22,15,72,156
2013/09/23,14,72,156
2013/09/24,14,72,158
2013/09/25,14,77,165
2013/09/26,14,81,169
2013/09/27,13,80,168
2013/09/28,12,80,173
2013/09/29,13,79,174
2013/09/30,14,81,182
2013/10/01,14,81,182
2013/10/02,14,79,181
2013/10/03,14,77,181
2013/10/04,15,77,177
2013/10/05,15,79,182
2013/10/06,15,78,189
2013/10/07,16,81,192
2013/10/08,16,82,194
2013/10/09,16,82,193
2013/10/10,15,83,200
2013/10/11,15,83,203
2013/10/12,15,83,202
2013/10/13,18,88,207
2013/10/14,18,86,210
2013/10/15,18,82,206
2013/10/16,18,83,206
2013/10/17,18,80,207
2013/10/18,18,80,205
2013/10/19,19,82,209
2013/10/20,19,84,208
2013/10/21,18,86,212
2013/10/22,20,87,212
2013/10/23,21,87,210
2013/10/24,21,88,208
2013/10/25,22,83,202
2013/10/26,21,83,203
2013/10/27,21,82,203
2013/10/28,21,85,202
2013/10/29,21,87,201
2013/10/30,21,87,200
2013/10/31,20,89,198
2013/11/01,20,91,198
2013/11/02,20,90,200
2013/11/03,20,93,206
2013/11/04,20,90,206
2013/11/05,20,94,210
2013/11/06,20,95,209
2013/11/07,20,95,211
2013/11/08,20,94,212
2013/11/09,20,96,208
2013/11/10,20,96,204
2013/11/11,20,97,204
2013/11/12,20,97,201
2013/11/13,22,97,196
2013/11/14,22,97,197
2013/11/15,23,98,197
2013/11/16,23,97,195
2013/11/17,24,96,197
2013/11/18,24,95,198
2013/11/19,23,96,202
2013/11/20,23,96,201
2013/11/21,22,95,196
2013/11/22,21,92,199
2013/11/23,21,89,199
2013/11/24,22,90,200
2013/11/25,21,89,196
2013/11/26,22,88,201
2013/11/27,22,89,207
2013/11/28,22,91,211
2013/11/29,21,91,219
2013/11/30,20,94,223
2013/12/01,21,97,228
2013/12/02,21,100,232
2013/12/03,20,100,230
2013/12/04,20,102,230
2013/12/05,20,101,230
2013/12/06,20,99,234
2013/12/07,20,101,235
2013/12/08,21,103,244
2013/12/09,19,107,259
2013/12/10,21,105,264
2013/12/11,21,107,269
2013/12/12,21,108,273
2013/12/13,22,108,272
2013/12/14,23,110,280
2013/12/15,23,113,283
2013/12/16,23,115,277
2013/12/17,23,118,289
2013/12/18,25,121,295
2013/12/19,24,121,296
2013/12/20,24,125,304
2013/12/21,25,134,320
2013/12/22,25,140,324
2013/12/23,27,139,324
2013/12/24,30,136,326
2013/12/25,28,134,326
2013/12/26,27,133,323
2013/12/27,26,133,315
2013/12/28,27,131,307
2013/12/29,27,128,306
2013/12/30,28,133,307
2013/12/31,28,132,304
2014/01/01,27,131,298
2014/01/02,28,128,291
2014/01/03,29,125,288
2014/01/04,30,125,289
2014/01/05,30,125,286
2014/01/06,31,125,285
2014/01/07,31,127,278
2014/01/08,31,122,268
2014/01/09,32,120,267
2014/01/10,33,119,269
2014/01/11,32,118,257
2014/01/12,34,118,254
2014/01/13,33,117,256
2014/01/14,33,118,255
2014/01/15,32,119,258
2014/01/16,31,114,247
2014/01/17,32,113,243
2014/01/18,33,116,246
2014/01/19,33,112,235
2014/01/20,35,113,232
2014/01/21,33,112,230
2014/01/22,33,112,231
2014/01/23,32,116,230
2014/01/24,32,118,234
2014/01/25,34,116,236
2014/01/26,34,115,238
2014/01/27,34,118,237
2014/01/28,34,118,237
2014/01/29,35,118,239
2014/01/30,35,118,241
2014/01/31,35,123,244
2014/02/01,35,124,248
2014/02/02,33,124,253
2014/02/03,33,124,256
2014/02/04,33,126,262
2014/02/05,33,123,266
2014/02/06,34,122,270
2014/02/07,34,122,273
2014/02/08,34,121,267
2014/02/09,35,121,267
2014/02/10,34,118,272
2014/02/11,30,118,273
2014/02/12,29,120,270
2014/02/13,29,123,273
2014/02/14,29,121,274
2014/02/15,28,118,268
2014/02/16,28,114,267
2014/02/17,28,118,265
2014/02/18,28,116,272
2014/02/19,28,117,276
2014/02/20,28,116,281
2014/02/21,29,119,290
2014/02/22,29,117,285
2014/02/23,29,116,279
2014/02/24,28,115,281
2014/02/25,30,114,283
2014/02/26,28,116,279
2014/02/27,28,113,284
2014/02/28,27,114,290
2014/03/01,26,113,288
2014/03/02,27,113,291
2014/03/03,25,110,285
2014/03/04,25,116,292
2014/03/05,24,117,292
2014/03/06,23,117,287
2014/03/07,23,118,286
2014/03/08,23,116,284
2014/03/09,22,116,288
2014/03/10,22,117,293
2014/03/11,23,119,285
2014/03/12,22,120,287
2014/03/13,23,121,285
2014/03/14,23,120,296
2014/03/15,23,125,297
2014/03/16,25,130,304
2014/03/17,26,134,311
2014/03/18,27,136,311
2014/03/19,28,131,310
2014/03/20,28,128,306
2014/03/21,29,127,302
2014/03/22,30,131,299
2014/03/23,30,133,295
