date,mywiki (100+),mywiki (5+),mywiki (all)
2013/05/29,1,14,32
2013/05/30,1,15,33
2013/05/31,1,14,32
2013/06/01,1,14,32
2013/06/02,1,14,33
2013/06/03,1,14,34
2013/06/04,1,14,34
2013/06/05,1,14,35
2013/06/06,1,13,35
2013/06/07,1,12,35
2013/06/08,1,11,35
2013/06/09,1,11,33
2013/06/10,1,11,30
2013/06/11,1,11,30
2013/06/12,1,11,28
2013/06/13,1,11,28
2013/06/14,1,10,29
2013/06/15,1,11,32
2013/06/16,1,12,32
2013/06/17,1,12,31
2013/06/18,1,12,31
2013/06/19,1,12,30
2013/06/20,1,12,30
2013/06/21,1,11,30
2013/06/22,1,11,31
2013/06/23,1,11,32
2013/06/24,1,11,33
2013/06/25,1,11,33
2013/06/26,,12,33
2013/06/27,,11,33
2013/06/28,,11,34
2013/06/29,,11,33
2013/06/30,,10,34
2013/07/01,,11,31
2013/07/02,,10,32
2013/07/03,,11,31
2013/07/04,,11,31
2013/07/05,,10,34
2013/07/06,,11,35
2013/07/07,,10,34
2013/07/08,,12,34
2013/07/09,,11,35
2013/07/10,,11,36
2013/07/11,,11,36
2013/07/12,,11,36
2013/07/13,,11,36
2013/07/14,,11,39
2013/07/15,,11,37
2013/07/16,,10,36
2013/07/17,,11,37
2013/07/18,,10,40
2013/07/19,,10,40
2013/07/20,,10,38
2013/07/21,,9,38
2013/07/22,,9,38
2013/07/23,,9,36
2013/07/24,,8,36
2013/07/25,,8,36
2013/07/26,,8,35
2013/07/27,,8,36
2013/07/28,,8,36
2013/07/29,,8,40
2013/07/30,,8,38
2013/07/31,,7,38
2013/08/01,,7,37
2013/08/02,,7,35
2013/08/03,,8,35
2013/08/04,,8,32
2013/08/05,,7,31
2013/08/06,,7,31
2013/08/07,,6,32
2013/08/08,,7,32
2013/08/09,,8,32
2013/08/10,,9,34
2013/08/11,,9,34
2013/08/12,,9,36
2013/08/13,,9,35
2013/08/14,,8,35
2013/08/15,,9,35
2013/08/16,,8,36
2013/08/17,,10,35
2013/08/18,,10,37
2013/08/19,,10,37
2013/08/20,,11,37
2013/08/21,,11,37
2013/08/22,,11,37
2013/08/23,,11,37
2013/08/24,,10,37
2013/08/25,,10,38
2013/08/26,,11,37
2013/08/27,,11,36
2013/08/28,,11,34
2013/08/29,,12,34
2013/08/30,,11,35
2013/08/31,,11,36
2013/09/01,,10,36
2013/09/02,,12,35
2013/09/03,,12,35
2013/09/04,,11,36
2013/09/05,,12,36
2013/09/06,,13,37
2013/09/07,,12,36
2013/09/08,,12,34
2013/09/09,,10,33
2013/09/10,,11,35
2013/09/11,,12,34
2013/09/12,,10,33
2013/09/13,,10,33
2013/09/14,1,9,31
2013/09/15,1,9,31
2013/09/16,1,7,31
2013/09/17,1,8,30
2013/09/18,1,8,32
2013/09/19,1,9,34
2013/09/20,1,10,36
2013/09/21,1,10,36
2013/09/22,1,9,38
2013/09/23,1,9,38
2013/09/24,1,9,37
2013/09/25,1,9,36
2013/09/26,1,9,37
2013/09/27,1,9,38
2013/09/28,1,9,38
2013/09/29,1,9,38
2013/09/30,1,9,37
2013/10/01,1,9,37
2013/10/02,1,9,35
2013/10/03,1,9,36
2013/10/04,1,9,34
2013/10/05,1,9,35
2013/10/06,1,9,34
2013/10/07,1,7,34
2013/10/08,1,7,36
2013/10/09,1,7,36
2013/10/10,1,6,35
2013/10/11,1,5,34
2013/10/12,1,5,33
2013/10/13,1,5,33
2013/10/14,1,5,31
2013/10/15,1,6,30
2013/10/16,1,6,31
2013/10/17,1,5,31
2013/10/18,1,5,30
2013/10/19,1,5,30
2013/10/20,1,5,28
2013/10/21,1,5,29
2013/10/22,1,5,28
2013/10/23,1,5,27
2013/10/24,1,5,28
2013/10/25,1,5,29
2013/10/26,1,6,30
2013/10/27,1,6,29
2013/10/28,1,6,29
2013/10/29,1,6,27
2013/10/30,1,6,27
2013/10/31,1,6,27
2013/11/01,1,6,28
2013/11/02,1,6,28
2013/11/03,1,6,28
2013/11/04,,6,27
2013/11/05,,5,28
2013/11/06,,5,29
2013/11/07,,5,28
2013/11/08,,5,27
2013/11/09,,5,28
2013/11/10,,5,28
2013/11/11,,6,29
2013/11/12,,6,28
2013/11/13,,6,29
2013/11/14,,6,30
2013/11/15,,5,27
2013/11/16,,5,27
2013/11/17,,5,29
2013/11/18,,5,29
2013/11/19,,5,28
2013/11/20,,5,28
2013/11/21,,5,27
2013/11/22,,5,27
2013/11/23,,5,26
2013/11/24,,5,25
2013/11/25,,5,22
2013/11/26,,5,24
2013/11/27,,5,25
2013/11/28,,6,26
2013/11/29,,6,26
2013/11/30,,5,26
2013/12/01,,6,25
2013/12/02,,6,24
2013/12/03,,6,23
2013/12/04,,6,24
2013/12/05,,6,24
2013/12/06,,6,22
2013/12/07,,6,21
2013/12/08,,6,21
2013/12/09,,6,22
2013/12/10,,6,26
2013/12/11,,5,26
2013/12/12,,5,26
2013/12/13,,5,26
2013/12/14,,5,26
2013/12/15,,5,26
2013/12/16,,4,26
2013/12/17,,4,23
2013/12/18,,4,21
2013/12/19,,4,23
2013/12/20,,4,23
2013/12/21,,4,25
2013/12/22,,2,25
2013/12/23,,3,25
2013/12/24,,4,27
2013/12/25,,4,27
2013/12/26,,4,25
2013/12/27,,3,26
2013/12/28,,2,26
2013/12/29,,3,27
2013/12/30,,4,28
2013/12/31,,4,28
2014/01/01,,4,28
2014/01/02,,4,28
2014/01/03,,4,27
2014/01/04,,4,27
2014/01/05,,4,27
2014/01/06,,4,27
2014/01/07,,5,27
2014/01/08,,5,26
2014/01/09,,5,23
2014/01/10,,5,24
2014/01/11,,5,25
2014/01/12,,5,24
2014/01/13,,5,23
2014/01/14,,5,24
2014/01/15,,5,23
2014/01/16,,5,24
2014/01/17,,5,27
2014/01/18,,5,25
2014/01/19,,6,24
2014/01/20,,6,23
2014/01/21,,7,26
2014/01/22,,8,26
2014/01/23,,7,26
2014/01/24,,7,26
2014/01/25,,6,26
2014/01/26,,6,24
2014/01/27,,6,26
2014/01/28,,6,26
2014/01/29,,5,26
2014/01/30,,5,26
2014/01/31,,5,25
2014/02/01,,5,28
2014/02/02,,5,29
2014/02/03,,5,30
2014/02/04,,5,31
2014/02/05,,6,34
2014/02/06,,6,36
2014/02/07,,6,34
2014/02/08,,6,34
2014/02/09,,6,34
2014/02/10,,7,35
2014/02/11,,7,35
2014/02/12,,7,35
2014/02/13,,7,34
2014/02/14,,7,36
2014/02/15,,7,35
2014/02/16,,7,33
2014/02/17,,9,35
2014/02/18,,8,35
2014/02/19,,8,35
2014/02/20,,8,34
2014/02/21,,9,35
2014/02/22,,9,35
2014/02/23,,9,36
2014/02/24,,9,35
2014/02/25,,9,35
2014/02/26,,9,33
2014/02/27,,9,32
2014/02/28,,9,33
2014/03/01,,9,33
2014/03/02,,9,33
2014/03/03,,9,32
2014/03/04,,9,30
2014/03/05,,8,29
2014/03/06,,8,29
2014/03/07,,8,27
2014/03/08,,8,25
2014/03/09,,9,27
2014/03/10,1,9,26
2014/03/11,1,8,25
2014/03/12,1,9,24
2014/03/13,1,9,25
2014/03/14,1,8,24
2014/03/15,1,8,24
2014/03/16,1,8,23
2014/03/17,1,7,23
2014/03/18,1,7,22
2014/03/19,1,6,20
2014/03/20,1,6,21
2014/03/21,1,6,21
2014/03/22,1,6,21
2014/03/23,1,6,21
2014/03/24,1,6,21
2014/03/25,1,6,21
2014/03/26,1,6,22
2014/03/27,1,6,23
2014/03/28,1,6,23
2014/03/29,1,7,24
2014/03/30,1,8,24
2014/03/31,1,8,24
2014/04/01,1,8,26
2014/04/02,1,8,24
2014/04/03,1,8,24
2014/04/04,1,9,25
2014/04/05,1,9,26
2014/04/06,1,9,26
2014/04/07,1,9,25
2014/04/08,1,9,26
2014/04/09,1,9,26
2014/04/10,1,9,24
2014/04/11,1,9,27
2014/04/12,1,9,26
2014/04/13,1,8,26
2014/04/14,1,8,26
2014/04/15,1,8,26
2014/04/16,1,8,27
2014/04/17,1,9,29
2014/04/18,1,9,29
2014/04/19,1,9,30
2014/04/20,1,9,29
2014/04/21,1,8,30
2014/04/22,1,8,31
2014/04/23,1,9,31
2014/04/24,1,8,31
2014/04/25,1,9,32
2014/04/26,1,9,33
2014/04/27,1,10,35
2014/04/28,1,10,36
2014/04/29,1,10,35
2014/04/30,1,10,34
2014/05/01,1,10,34
2014/05/02,1,10,33
2014/05/03,1,9,33
2014/05/04,1,8,32
2014/05/05,1,9,32
2014/05/06,1,9,32
2014/05/07,1,9,33
2014/05/08,1,11,34
2014/05/09,1,11,35
2014/05/10,1,10,35
2014/05/11,1,9,34
2014/05/12,1,9,35
2014/05/13,1,9,36
2014/05/14,1,10,38
2014/05/15,1,10,38
2014/05/16,1,10,37
2014/05/17,1,10,34
2014/05/18,1,11,34
2014/05/19,1,12,33
2014/05/20,1,12,34
2014/05/21,1,12,33
2014/05/22,1,11,32
2014/05/23,1,11,32
2014/05/24,1,11,32
2014/05/25,1,11,32
2014/05/26,1,11,31
2014/05/27,1,10,26
2014/05/28,,10,25
2014/05/29,,10,25
2014/05/30,,10,26
2014/05/31,,10,26
2014/06/01,,10,27
2014/06/02,,10,28
2014/06/03,,9,29
2014/06/04,,8,27
2014/06/05,,8,29
2014/06/06,,8,27
2014/06/07,,6,24
2014/06/08,,6,23
2014/06/09,,7,23
2014/06/10,,7,25
2014/06/11,,7,28
2014/06/12,,7,28
2014/06/13,,6,28
2014/06/14,,6,28
2014/06/15,,6,26
2014/06/16,,6,26
2014/06/17,,6,26
2014/06/18,,7,28
2014/06/19,,6,28
2014/06/20,,6,28
2014/06/21,,6,30
2014/06/22,,13,50
2014/06/23,1,14,50
2014/06/24,1,14,49
2014/06/25,1,18,51
2014/06/26,1,19,53
2014/06/27,1,19,56
2014/06/28,1,19,58
2014/06/29,1,19,56
2014/06/30,1,19,56
2014/07/01,2,19,56
2014/07/02,2,20,56
2014/07/03,2,20,56
2014/07/04,2,20,56
2014/07/05,3,21,54
2014/07/06,3,21,57
2014/07/07,3,21,58
2014/07/08,3,21,61
2014/07/09,3,22,61
2014/07/10,4,25,65
2014/07/11,4,26,63
2014/07/12,4,26,64
2014/07/13,4,26,65
2014/07/14,4,26,65
2014/07/15,4,26,65
2014/07/16,4,28,68
2014/07/17,3,28,67
2014/07/18,3,28,66
2014/07/19,3,29,69
2014/07/20,3,29,70
2014/07/21,3,29,67
2014/07/22,3,25,56
2014/07/23,3,25,56
2014/07/24,3,25,56
2014/07/25,3,23,55
2014/07/26,3,22,53
2014/07/27,2,21,52
2014/07/28,2,20,51
2014/07/29,2,19,50
2014/07/30,2,19,50
2014/07/31,2,19,50
2014/08/01,2,19,48
2014/08/02,3,19,47
2014/08/03,3,19,47
2014/08/04,3,19,48
2014/08/05,3,19,45
2014/08/06,3,19,44
2014/08/07,3,19,44
2014/08/08,3,18,44
2014/08/09,3,13,39
2014/08/10,3,13,38
2014/08/11,3,12,38
2014/08/12,3,14,38
2014/08/13,3,15,39
2014/08/14,3,16,38
2014/08/15,3,16,34
2014/08/16,3,15,35
2014/08/17,3,15,36
2014/08/18,3,14,33
2014/08/19,3,14,31
2014/08/20,3,15,32
2014/08/21,3,16,32
2014/08/22,4,15,31
2014/08/23,4,15,31
2014/08/24,4,15,29
2014/08/25,4,15,30
2014/08/26,4,15,29
2014/08/27,4,16,29
2014/08/28,4,16,29
2014/08/29,4,16,29
2014/08/30,4,16,29
2014/08/31,4,15,29
2014/09/01,4,15,31
2014/09/02,4,15,31
2014/09/03,4,15,29
2014/09/04,3,15,29
2014/09/05,3,15,30
2014/09/06,3,14,28
2014/09/07,3,14,31
2014/09/08,2,14,32
2014/09/09,2,14,32
2014/09/10,2,14,33
2014/09/11,2,14,33
2014/09/12,2,14,35
2014/09/13,1,15,36
2014/09/14,1,14,35
2014/09/15,1,13,34
2014/09/16,1,13,32
2014/09/17,1,13,31
2014/09/18,1,13,31
2014/09/19,1,11,31
2014/09/20,1,10,29
2014/09/21,,10,28
2014/09/22,,10,28
2014/09/23,,8,27
2014/09/24,,8,26
2014/09/25,,7,26
2014/09/26,,8,27
2014/09/27,,8,28
2014/09/28,,8,29
2014/09/29,,8,29
2014/09/30,,7,28
2014/10/01,,7,26
2014/10/02,,7,26
2014/10/03,,7,26
2014/10/04,,8,27
2014/10/05,,8,24
2014/10/06,,8,25
2014/10/07,,8,23
2014/10/08,,8,25
2014/10/09,,8,26
2014/10/10,1,8,27
2014/10/11,1,8,27
2014/10/12,1,6,24
2014/10/13,1,6,25
2014/10/14,1,7,25
2014/10/15,1,7,27
2014/10/16,1,7,27
2014/10/17,1,9,29
2014/10/18,1,10,29
2014/10/19,1,10,32
2014/10/20,2,10,32
2014/10/21,3,10,33
2014/10/22,3,12,32
2014/10/23,3,12,32
2014/10/24,3,12,32
2014/10/25,3,12,34
2014/10/26,3,12,34
2014/10/27,3,12,35
2014/10/28,3,12,35
2014/10/29,3,12,35
2014/10/30,3,12,35
2014/10/31,3,13,41
2014/11/01,3,13,42
2014/11/02,3,13,48
2014/11/03,3,12,47
2014/11/04,3,12,48
2014/11/05,3,12,47
2014/11/06,3,13,47
2014/11/07,3,13,44
2014/11/08,3,13,43
2014/11/09,3,13,41
2014/11/10,3,13,41
2014/11/11,3,13,41
2014/11/12,3,13,41
2014/11/13,3,12,42
2014/11/14,2,13,41
2014/11/15,2,13,42
2014/11/16,2,12,40
2014/11/17,2,12,40
2014/11/18,2,11,38
2014/11/19,2,12,41
2014/11/20,2,11,43
2014/11/21,2,12,42
2014/11/22,2,13,42
2014/11/23,2,13,42
2014/11/24,2,14,40
2014/11/25,2,14,40
2014/11/26,2,13,40
2014/11/27,2,13,41
2014/11/28,2,13,40
2014/11/29,2,13,40
2014/11/30,2,12,33
2014/12/01,2,12,31
2014/12/02,2,11,26
2014/12/03,2,12,26
2014/12/04,2,12,25
2014/12/05,2,11,26
2014/12/06,2,11,27
2014/12/07,2,12,30
2014/12/08,2,12,30
2014/12/09,2,12,30
2014/12/10,2,13,30
2014/12/11,2,15,33
2014/12/12,2,15,33
2014/12/13,2,15,32
2014/12/14,2,15,33
2014/12/15,2,15,35
2014/12/16,2,15,39
2014/12/17,2,15,41
2014/12/18,2,17,40
2014/12/19,2,15,39
2014/12/20,2,13,40
2014/12/21,1,14,42
2014/12/22,1,14,42
2014/12/23,1,14,44
2014/12/24,1,15,45
2014/12/25,1,16,45
2014/12/26,1,16,44
2014/12/27,1,16,45
2014/12/28,2,17,46
2014/12/29,2,18,48
2014/12/30,2,20,52
2014/12/31,2,20,53
2015/01/01,2,19,55
2015/01/02,2,21,56
2015/01/03,2,21,59
2015/01/04,2,24,59
2015/01/05,3,24,60
2015/01/06,3,24,59
2015/01/07,3,25,60
2015/01/08,3,25,63
2015/01/09,3,25,64
2015/01/10,3,24,66
2015/01/11,3,24,65
2015/01/12,3,24,66
2015/01/13,3,24,66
2015/01/14,3,23,64
2015/01/15,3,23,62
2015/01/16,3,23,61
2015/01/17,3,21,62
2015/01/18,3,21,64
2015/01/19,4,22,68
2015/01/20,4,22,68
2015/01/21,4,22,70
2015/01/22,4,23,70
2015/01/23,4,24,72
2015/01/24,4,26,71
2015/01/25,4,27,71
2015/01/26,4,27,69
2015/01/27,3,28,69
2015/01/28,3,27,68
2015/01/29,4,27,70
2015/01/30,4,26,69
2015/01/31,4,27,69
2015/02/01,4,27,71
2015/02/02,4,27,69
2015/02/03,5,26,73
2015/02/04,5,26,71
2015/02/05,5,28,72
2015/02/06,5,29,75
2015/02/07,4,29,72
2015/02/08,4,28,70
2015/02/09,4,27,65
2015/02/10,5,27,65
2015/02/11,5,27,64
2015/02/12,5,28,64
2015/02/13,5,28,64
2015/02/14,5,29,65
2015/02/15,5,29,64
2015/02/16,5,29,64
2015/02/17,5,29,65
2015/02/18,4,28,60
2015/02/19,3,27,59
2015/02/20,3,26,61
2015/02/21,3,25,59
2015/02/22,3,24,57
2015/02/23,3,23,57
2015/02/24,2,22,59
2015/02/25,2,22,61
2015/02/26,2,23,60
2015/02/27,2,23,58
2015/02/28,2,23,56
2015/03/01,2,24,59
2015/03/02,2,23,61
2015/03/03,2,22,61
2015/03/04,2,22,61
2015/03/05,2,22,62
2015/03/06,2,22,66
2015/03/07,2,21,63
2015/03/08,2,19,59
2015/03/09,2,19,57
2015/03/10,2,19,56
2015/03/11,2,19,58
2015/03/12,2,19,57
2015/03/13,2,19,55
2015/03/14,2,18,54
2015/03/15,2,19,55
2015/03/16,2,18,55
2015/03/17,2,17,54
2015/03/18,2,18,55
2015/03/19,2,18,57
2015/03/20,3,18,57
2015/03/21,3,18,57
2015/03/22,3,18,55
2015/03/23,3,18,55
2015/03/24,3,18,54
2015/03/25,3,17,54
2015/03/26,3,17,53
2015/03/27,3,19,55
2015/03/28,3,19,55
2015/03/29,3,18,53
2015/03/30,3,21,53
2015/03/31,3,20,50
2015/04/01,3,21,50
2015/04/02,3,20,49
2015/04/03,4,22,51
2015/04/04,4,21,50
2015/04/05,3,21,47
2015/04/06,3,21,48
2015/04/07,3,22,48
2015/04/08,3,21,48
2015/04/09,3,20,49
2015/04/10,3,21,47
2015/04/11,3,21,48
2015/04/12,3,21,48
2015/04/13,3,21,48
2015/04/14,3,21,47
2015/04/15,3,21,46
2015/04/16,3,22,47
2015/04/17,3,21,45
2015/04/18,3,20,45
2015/04/19,3,20,46
2015/04/20,3,20,45
2015/04/21,3,21,46
2015/04/22,3,22,48
2015/04/23,3,23,48
2015/04/24,3,23,47
2015/04/25,3,23,46
2015/04/26,3,23,45
2015/04/27,3,23,45
2015/04/28,3,23,44
2015/04/29,3,22,46
2015/04/30,3,23,45
2015/05/01,3,22,44
2015/05/02,3,22,48
2015/05/03,3,22,46
2015/05/04,3,21,46
2015/05/05,3,21,45
2015/05/06,2,21,45
2015/05/07,2,21,44
2015/05/08,2,21,51
2015/05/09,2,22,52
2015/05/10,2,22,53
2015/05/11,2,23,53
2015/05/12,2,22,55
2015/05/13,2,22,55
2015/05/14,2,21,56
2015/05/15,2,22,57
2015/05/16,2,20,59
2015/05/17,2,20,60
2015/05/18,2,21,62
2015/05/19,2,21,64
2015/05/20,2,21,64
2015/05/21,2,21,62
2015/05/22,2,21,61
2015/05/23,2,20,63
2015/05/24,2,21,63
2015/05/25,2,21,62
2015/05/26,3,21,65
2015/05/27,3,21,64
2015/05/28,3,20,64
2015/05/29,3,19,64
2015/05/30,3,17,64
2015/05/31,3,18,63
2015/06/01,3,18,60
2015/06/02,3,17,58
2015/06/03,3,19,60
2015/06/04,3,19,60
2015/06/05,3,19,59
2015/06/06,4,20,61
2015/06/07,5,20,59
2015/06/08,5,19,57
2015/06/09,5,18,55
2015/06/10,4,18,57
2015/06/11,4,18,55
2015/06/12,4,19,55
2015/06/13,4,19,53
2015/06/14,4,16,51
2015/06/15,4,14,51
2015/06/16,4,15,50
2015/06/17,4,13,50
2015/06/18,3,14,48
2015/06/19,2,13,47
2015/06/20,2,12,47
2015/06/21,2,13,50
2015/06/22,1,12,51
2015/06/23,2,13,51
2015/06/24,2,14,52
2015/06/25,2,12,47
2015/06/26,2,12,47
2015/06/27,2,12,45
2015/06/28,2,11,44
2015/06/29,2,11,45
2015/06/30,2,11,46
2015/07/01,3,12,53
2015/07/02,3,12,53
2015/07/03,3,13,55
2015/07/04,3,13,54
2015/07/05,3,13,56
2015/07/06,2,14,57
2015/07/07,1,13,56
2015/07/08,1,14,57
2015/07/09,2,14,56
2015/07/10,3,14,56
2015/07/11,3,14,56
2015/07/12,3,13,57
2015/07/13,3,14,59
2015/07/14,3,14,61
2015/07/15,3,14,58
2015/07/16,3,14,60
2015/07/17,3,14,62
2015/07/18,3,14,64
2015/07/19,3,14,66
2015/07/20,3,14,67
2015/07/21,2,14,64
2015/07/22,2,15,68
2015/07/23,2,19,68
2015/07/24,2,18,69
2015/07/25,2,18,68
2015/07/26,2,18,69
2015/07/27,2,18,73
2015/07/28,2,18,74
2015/07/29,2,18,73
2015/07/30,2,18,73
2015/07/31,2,18,68
2015/08/01,2,17,66
2015/08/02,1,15,66
2015/08/03,1,15,67
2015/08/04,1,18,66
2015/08/05,1,18,65
2015/08/06,1,18,68
2015/08/07,2,17,66
2015/08/08,2,19,70
2015/08/09,3,20,71
2015/08/10,3,21,72
2015/08/11,3,19,72
2015/08/12,3,18,67
2015/08/13,3,19,66
2015/08/14,3,19,64
2015/08/15,3,18,64
