date,ltwiki (100+),ltwiki (5+),ltwiki (all)
2013/04/02,23,150,456
2013/04/03,23,149,455
2013/04/04,21,152,460
2013/04/05,20,151,453
2013/04/06,20,148,448
2013/04/07,20,149,444
2013/04/08,20,150,445
2013/04/09,21,149,452
2013/04/10,22,150,453
2013/04/11,21,152,444
2013/04/12,20,150,439
2013/04/13,19,151,431
2013/04/14,18,146,429
2013/04/15,18,136,418
2013/04/16,17,137,416
2013/04/17,16,137,416
2013/04/18,16,137,414
2013/04/19,15,134,422
2013/04/20,15,135,419
2013/04/21,16,134,420
2013/04/22,17,137,416
2013/04/23,17,135,410
2013/04/24,17,129,400
2013/04/25,16,129,404
2013/04/26,16,129,399
2013/04/27,17,125,391
2013/04/28,15,122,390
2013/04/29,15,121,390
2013/04/30,15,120,392
2013/05/01,14,124,389
2013/05/02,14,129,392
2013/05/03,14,131,397
2013/05/04,13,128,396
2013/05/05,14,127,386
2013/05/06,14,124,382
2013/05/07,15,125,386
2013/05/08,16,122,383
2013/05/09,16,122,373
2013/05/10,16,122,377
2013/05/11,14,120,370
2013/05/12,14,122,370
2013/05/13,15,121,375
2013/05/14,16,124,372
2013/05/15,16,122,377
2013/05/16,15,117,373
2013/05/17,14,121,383
2013/05/18,14,118,380
2013/05/19,14,120,369
2013/05/20,14,120,368
2013/05/21,15,119,373
2013/05/22,15,118,373
2013/05/23,15,115,362
2013/05/24,15,119,365
2013/05/25,15,122,368
2013/05/26,15,119,367
2013/05/27,15,118,370
2013/05/28,15,117,369
2013/05/29,16,116,374
2013/05/30,15,117,367
2013/05/31,15,115,364
2013/06/01,15,113,359
2013/06/02,15,112,357
2013/06/03,14,106,357
2013/06/04,14,106,364
2013/06/05,14,107,364
2013/06/06,15,106,360
2013/06/07,16,108,363
2013/06/08,16,109,369
2013/06/09,17,105,360
2013/06/10,17,106,363
2013/06/11,17,101,362
2013/06/12,18,101,361
2013/06/13,18,100,363
2013/06/14,19,103,356
2013/06/15,20,102,351
2013/06/16,20,99,345
2013/06/17,19,100,347
2013/06/18,19,102,345
2013/06/19,19,97,347
2013/06/20,20,98,343
2013/06/21,19,101,342
2013/06/22,17,100,346
2013/06/23,17,96,343
2013/06/24,16,95,336
2013/06/25,17,97,339
2013/06/26,17,97,338
2013/06/27,18,102,337
2013/06/28,19,101,326
2013/06/29,21,98,328
2013/06/30,21,97,329
2013/07/01,21,94,331
2013/07/02,20,97,333
2013/07/03,21,97,330
2013/07/04,21,93,330
2013/07/05,22,93,338
2013/07/06,22,97,339
2013/07/07,21,97,341
2013/07/08,20,101,343
2013/07/09,20,104,354
2013/07/10,20,106,356
2013/07/11,20,105,355
2013/07/12,20,104,354
2013/07/13,21,105,352
2013/07/14,20,107,352
2013/07/15,18,106,347
2013/07/16,18,106,346
2013/07/17,17,107,344
2013/07/18,18,107,344
2013/07/19,20,109,341
2013/07/20,21,108,345
2013/07/21,22,105,339
2013/07/22,22,109,333
2013/07/23,22,113,340
2013/07/24,23,111,341
2013/07/25,22,111,342
2013/07/26,22,115,342
2013/07/27,23,113,338
2013/07/28,23,113,344
2013/07/29,22,112,340
2013/07/30,20,110,342
2013/07/31,19,112,346
2013/08/01,19,112,340
2013/08/02,19,111,332
2013/08/03,19,111,328
2013/08/04,19,113,322
2013/08/05,19,111,325
2013/08/06,20,107,320
2013/08/07,19,104,313
2013/08/08,18,106,310
2013/08/09,18,109,304
2013/08/10,18,108,304
2013/08/11,20,108,304
2013/08/12,21,107,308
2013/08/13,21,105,303
2013/08/14,22,108,311
2013/08/15,21,105,309
2013/08/16,22,107,308
2013/08/17,22,107,305
2013/08/18,21,108,302
2013/08/19,21,106,305
2013/08/20,18,107,306
2013/08/21,19,109,311
2013/08/22,18,108,312
2013/08/23,18,104,309
2013/08/24,20,101,309
2013/08/25,20,95,306
2013/08/26,20,94,300
2013/08/27,19,95,301
2013/08/28,18,95,309
2013/08/29,18,92,315
2013/08/30,19,94,314
2013/08/31,19,95,313
2013/09/01,19,97,308
2013/09/02,20,100,307
2013/09/03,19,103,309
2013/09/04,19,105,312
2013/09/05,20,103,314
2013/09/06,20,103,310
2013/09/07,20,103,311
2013/09/08,17,104,312
2013/09/09,19,103,312
2013/09/10,18,106,314
2013/09/11,18,104,321
2013/09/12,18,104,316
2013/09/13,18,103,311
2013/09/14,18,104,313
2013/09/15,18,100,310
2013/09/16,18,99,310
2013/09/17,18,100,312
2013/09/18,17,99,320
2013/09/19,17,99,317
2013/09/20,17,98,311
2013/09/21,17,97,310
2013/09/22,16,98,304
2013/09/23,16,98,305
2013/09/24,16,100,312
2013/09/25,16,101,318
2013/09/26,17,105,320
2013/09/27,17,104,311
2013/09/28,19,101,312
2013/09/29,19,102,311
2013/09/30,19,102,314
2013/10/01,18,100,320
2013/10/02,18,100,317
2013/10/03,19,98,314
2013/10/04,19,98,306
2013/10/05,18,98,306
2013/10/06,17,100,307
2013/10/07,17,100,311
2013/10/08,16,99,314
2013/10/09,16,98,312
2013/10/10,17,97,312
2013/10/11,17,97,311
2013/10/12,16,95,314
2013/10/13,17,96,316
2013/10/14,15,95,318
2013/10/15,15,98,326
2013/10/16,16,102,331
2013/10/17,15,102,330
2013/10/18,14,103,334
2013/10/19,15,103,335
2013/10/20,15,104,343
2013/10/21,16,108,345
2013/10/22,17,109,355
2013/10/23,16,110,352
2013/10/24,16,108,346
2013/10/25,16,105,345
2013/10/26,15,108,357
2013/10/27,16,112,361
2013/10/28,15,112,360
2013/10/29,16,108,360
2013/10/30,15,110,361
2013/10/31,15,113,357
2013/11/01,16,114,356
2013/11/02,17,113,356
2013/11/03,16,114,358
2013/11/04,16,117,358
2013/11/05,16,117,360
2013/11/06,16,117,355
2013/11/07,14,118,358
2013/11/08,13,115,370
2013/11/09,13,116,371
2013/11/10,13,119,371
2013/11/11,15,120,373
2013/11/12,14,118,378
2013/11/13,14,122,381
2013/11/14,14,121,383
2013/11/15,16,121,381
2013/11/16,16,122,382
2013/11/17,15,120,382
2013/11/18,15,123,379
2013/11/19,15,122,384
2013/11/20,15,120,384
2013/11/21,15,118,378
2013/11/22,15,118,387
2013/11/23,15,120,386
2013/11/24,16,120,376
2013/11/25,16,118,369
2013/11/26,16,118,369
2013/11/27,16,121,372
2013/11/28,15,120,372
2013/11/29,15,117,369
2013/11/30,15,118,372
2013/12/01,17,117,370
2013/12/02,16,119,378
2013/12/03,17,120,379
2013/12/04,17,121,379
2013/12/05,17,120,380
2013/12/06,18,125,376
2013/12/07,18,126,373
2013/12/08,18,125,376
2013/12/09,18,126,377
2013/12/10,17,129,377
2013/12/11,17,128,377
2013/12/12,16,124,370
2013/12/13,17,121,367
2013/12/14,17,124,362
2013/12/15,18,124,371
2013/12/16,18,125,374
2013/12/17,17,124,380
2013/12/18,17,124,389
2013/12/19,17,125,387
2013/12/20,17,125,389
